,CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,Churn,TotalCharges
63,63,Male,0,50,114.49,One year,Mailed check,0,5724.5
64,64,Male,1,45,65.02,Month-to-month,Mailed check,0,2925.9
65,65,Female,0,13,94.94,Two year,Electronic check,0,1234.22
66,66,Female,1,16,84.61,Two year,Mailed check,0,1353.76
67,67,Male,1,13,67.29,One year,Bank transfer,0,874.77
68,68,Female,0,20,24.98,Two year,Credit card,0,499.6
69,69,Female,1,66,94.17,Two year,Mailed check,0,6215.22
70,70,Female,1,47,56.33,Two year,Credit card,1,2647.51
71,71,Female,0,19,42.45,Month-to-month,Electronic check,0,806.55
72,72,Male,1,45,114.83,Month-to-month,Electronic check,1,5167.35
73,73,Female,0,37,97.35,Month-to-month,Bank transfer,0,3601.95
74,74,Male,1,54,116.23,Two year,Mailed check,1,6276.42
75,75,Female,1,6,45.62,One year,Credit card,0,273.72
76,76,Female,0,14,103.58,One year,Credit card,0,1450.12
77,77,Female,0,4,80.77,One year,Credit card,0,323.08
78,78,Male,1,55,118.15,Month-to-month,Electronic check,0,6498.25
79,79,Female,1,34,114.63,Month-to-month,Mailed check,0,3897.42
80,80,Male,0,27,117.3,Month-to-month,Bank transfer,0,3167.1
81,81,Female,1,7,115.18,Month-to-month,Bank transfer,0,806.26
82,82,Male,1,3,20.77,Two year,Electronic check,0,62.31
83,83,Female,1,47,94.11,One year,Mailed check,0,4423.17
84,84,Male,1,2,47.19,One year,Bank transfer,0,94.38
85,85,Male,0,25,90.5,Month-to-month,Bank transfer,0,2262.5
86,86,Female,0,60,118.06,One year,Electronic check,0,7083.6
87,87,Male,0,24,23.94,One year,Credit card,0,574.56
88,88,Female,0,15,76.7,Month-to-month,Bank transfer,0,1150.5
89,89,Female,0,14,93.5,Month-to-month,Electronic check,0,1309.0
90,90,Female,0,54,45.34,Month-to-month,Bank transfer,0,2448.36
91,91,Female,1,6,42.51,Month-to-month,Bank transfer,0,255.06
92,92,Female,0,18,26.03,Two year,Electronic check,0,468.54
93,93,Female,1,20,29.39,One year,Electronic check,1,587.8
94,94,Female,1,62,85.67,Two year,Mailed check,1,5311.54
95,95,Female,1,40,70.52,One year,Bank transfer,0,2820.8
96,96,Female,0,39,23.01,Two year,Credit card,0,897.39
97,97,Female,1,52,116.97,Month-to-month,Credit card,0,6082.44
98,98,Female,0,32,85.6,Two year,Mailed check,0,2739.2
99,99,Male,1,27,71.55,Month-to-month,Mailed check,0,1931.85
100,100,Male,1,52,47.27,Month-to-month,Electronic check,0,2458.04
101,101,Female,0,63,85.81,Two year,Credit card,0,5406.03
102,102,Female,1,63,56.42,One year,Bank transfer,1,3554.46
103,103,Female,1,17,90.25,Two year,Electronic check,1,1534.25
104,104,Female,1,49,88.26,Month-to-month,Bank transfer,1,4324.74
105,105,Female,1,23,29.27,Month-to-month,Credit card,0,673.21
106,106,Female,0,13,110.93,One year,Electronic check,1,1442.09
107,107,Female,1,23,68.7,One year,Bank transfer,0,1580.1
108,108,Female,1,57,59.29,One year,Mailed check,0,3379.53
109,109,Male,0,62,115.55,Month-to-month,Bank transfer,1,7164.1
110,110,Female,1,54,63.82,Two year,Bank transfer,1,3446.28
111,111,Male,1,20,92.12,One year,Electronic check,0,1842.4
112,112,Female,1,52,85.51,Month-to-month,Credit card,0,4446.52
113,113,Female,1,23,36.51,Two year,Bank transfer,0,839.73
114,114,Male,0,35,119.11,One year,Bank transfer,0,4168.85
115,115,Female,1,67,66.36,Two year,Bank transfer,1,4446.12
116,116,Male,0,34,59.48,Two year,Bank transfer,0,2022.32
117,117,Female,1,33,111.96,Month-to-month,Mailed check,0,3694.68
118,118,Female,1,46,72.92,Month-to-month,Credit card,0,3354.32
119,119,Male,1,45,90.51,Month-to-month,Credit card,0,4072.95
120,120,Female,0,19,104.62,Two year,Electronic check,1,1987.78
121,121,Male,1,15,43.55,One year,Bank transfer,0,653.25
122,122,Female,1,66,36.95,One year,Electronic check,0,2438.7
123,123,Male,0,39,26.85,One year,Mailed check,1,1047.15
124,124,Male,0,18,109.71,Month-to-month,Mailed check,0,1974.78
125,125,Female,0,70,40.04,One year,Bank transfer,1,2802.8
126,126,Female,0,59,50.78,One year,Electronic check,1,2996.02
127,127,Male,1,32,48.58,Month-to-month,Electronic check,0,1554.56
128,128,Female,1,21,50.46,One year,Credit card,0,1059.66
129,129,Female,1,40,86.81,One year,Electronic check,0,3472.4
130,130,Female,1,27,115.41,One year,Mailed check,0,3116.07
131,131,Male,0,2,52.95,Two year,Mailed check,0,105.9
132,132,Male,1,39,60.76,Two year,Bank transfer,0,2369.64
133,133,Male,1,56,97.11,Month-to-month,Electronic check,0,5438.16
134,134,Male,1,13,63.23,Month-to-month,Electronic check,0,821.99
135,135,Male,1,56,112.6,Two year,Mailed check,0,6305.6
136,136,Male,0,66,70.32,Month-to-month,Bank transfer,0,4641.12
137,137,Male,1,56,54.77,Month-to-month,Credit card,0,3067.12
138,138,Male,1,28,117.16,One year,Credit card,0,3280.48
139,139,Male,1,64,62.58,Month-to-month,Bank transfer,0,4005.12
140,140,Female,0,71,43.12,Month-to-month,Bank transfer,1,3061.52
141,141,Male,0,64,37.77,One year,Credit card,0,2417.28
142,142,Female,1,56,119.52,One year,Mailed check,1,6693.12
143,143,Female,1,41,95.3,Two year,Electronic check,0,3907.3
144,144,Female,1,41,60.87,Month-to-month,Credit card,0,2495.67
145,145,Male,0,4,102.64,One year,Bank transfer,1,410.56
146,146,Male,1,57,74.68,Month-to-month,Bank transfer,0,4256.76
147,147,Male,1,30,51.74,Month-to-month,Electronic check,0,1552.2
148,148,Male,1,46,94.34,Two year,Bank transfer,0,4339.64
149,149,Female,0,56,94.59,Two year,Mailed check,0,5297.04
150,150,Male,1,31,70.02,Two year,Bank transfer,0,2170.62
151,151,Male,1,7,24.52,Two year,Electronic check,0,171.64
152,152,Male,0,54,27.7,Two year,Credit card,0,1495.8
153,153,Male,0,8,98.87,One year,Mailed check,1,790.96
154,154,Male,1,55,102.35,Two year,Bank transfer,1,5629.25
155,155,Female,0,69,87.83,One year,Electronic check,0,6060.27
156,156,Male,1,44,103.91,Two year,Credit card,1,4572.04
157,157,Female,0,13,91.95,One year,Credit card,0,1195.35
158,158,Male,0,20,109.69,Month-to-month,Electronic check,0,2193.8
159,159,Female,1,32,35.04,Two year,Credit card,1,1121.28
160,160,Male,1,60,58.77,One year,Credit card,0,3526.2
161,161,Male,1,50,66.41,Two year,Credit card,0,3320.5
162,162,Female,0,27,49.77,One year,Credit card,0,1343.79
163,163,Female,1,25,92.54,One year,Electronic check,0,2313.5
164,164,Female,1,52,111.24,Two year,Electronic check,0,5784.48
165,165,Male,1,68,61.25,One year,Bank transfer,1,4165.0
166,166,Female,1,21,114.15,Month-to-month,Bank transfer,0,2397.15
167,167,Male,1,18,71.68,Two year,Mailed check,0,1290.24
168,168,Male,0,39,72.25,Month-to-month,Credit card,0,2817.75
169,169,Female,1,15,80.02,One year,Credit card,1,1200.3
170,170,Female,1,53,46.83,One year,Mailed check,0,2481.99
171,171,Male,0,38,58.34,Two year,Electronic check,0,2216.92
172,172,Male,1,48,75.32,Month-to-month,Electronic check,1,3615.36
173,173,Female,1,52,114.2,Month-to-month,Mailed check,0,5938.4
174,174,Female,1,28,84.27,Two year,Bank transfer,0,2359.56
175,175,Female,1,16,53.31,Month-to-month,Bank transfer,0,852.96
176,176,Male,1,16,21.05,Two year,Credit card,0,336.8
177,177,Male,0,35,118.17,Two year,Bank transfer,0,4135.95
178,178,Male,0,17,69.3,One year,Electronic check,0,1178.1
179,179,Male,0,52,113.85,One year,Mailed check,0,5920.2
180,180,Male,1,12,74.93,Month-to-month,Mailed check,1,899.16
181,181,Male,0,48,80.55,Two year,Mailed check,0,3866.4
182,182,Female,1,22,91.19,Two year,Bank transfer,0,2006.18
183,183,Male,1,49,52.1,Two year,Mailed check,1,2552.9
184,184,Male,1,52,89.9,Two year,Mailed check,0,4674.8
185,185,Male,0,1,72.68,One year,Bank transfer,0,72.68
186,186,Female,0,66,87.25,Month-to-month,Electronic check,0,5758.5
187,187,Male,0,64,103.58,One year,Credit card,0,6629.12
188,188,Male,1,8,38.42,Two year,Electronic check,0,307.36
189,189,Female,0,25,81.36,Month-to-month,Bank transfer,0,2034.0
190,190,Male,1,66,25.21,Month-to-month,Mailed check,1,1663.86
191,191,Male,0,70,30.21,Two year,Credit card,0,2114.7
192,192,Male,0,51,87.46,Two year,Electronic check,0,4460.46
193,193,Male,1,53,27.09,One year,Credit card,0,1435.77
194,194,Male,1,15,79.54,One year,Electronic check,1,1193.1
195,195,Female,0,50,42.0,Two year,Electronic check,0,2100.0
196,196,Female,0,71,50.41,Two year,Bank transfer,1,3579.11
197,197,Female,0,38,32.96,One year,Electronic check,0,1252.48
198,198,Male,1,40,44.87,Month-to-month,Mailed check,0,1794.8
199,199,Male,1,66,102.13,Month-to-month,Bank transfer,0,6740.58
200,200,Male,0,39,83.89,Month-to-month,Credit card,0,3271.71
201,201,Female,0,17,114.98,One year,Bank transfer,0,1954.66
202,202,Male,1,7,24.87,Two year,Electronic check,0,174.09
203,203,Male,0,39,99.24,Month-to-month,Credit card,1,3870.36
204,204,Female,1,68,89.91,Two year,Mailed check,1,6113.88
205,205,Male,1,35,46.09,One year,Bank transfer,0,1613.15
206,206,Female,1,51,92.92,One year,Electronic check,1,4738.92
207,207,Female,1,47,91.65,Two year,Credit card,0,4307.55
208,208,Female,1,36,65.93,Two year,Mailed check,0,2373.48
209,209,Male,1,64,88.86,Two year,Mailed check,0,5687.04
210,210,Male,0,13,64.46,Two year,Bank transfer,0,837.98
211,211,Male,1,18,53.55,Month-to-month,Credit card,0,963.9
212,212,Male,1,21,66.65,Two year,Electronic check,0,1399.65
213,213,Male,0,65,109.51,Month-to-month,Credit card,1,7118.15
214,214,Male,1,8,58.46,One year,Mailed check,0,467.68
215,215,Male,0,48,60.37,Month-to-month,Credit card,1,2897.76
216,216,Female,1,43,80.84,Two year,Bank transfer,0,3476.12
217,217,Male,0,53,95.3,Month-to-month,Credit card,0,5050.9
218,218,Female,0,27,93.46,One year,Credit card,1,2523.42
219,219,Male,1,19,21.98,Two year,Bank transfer,0,417.62
220,220,Male,1,23,88.74,One year,Credit card,1,2041.02
221,221,Male,1,50,65.06,One year,Bank transfer,0,3253.0
222,222,Female,1,51,72.41,Two year,Bank transfer,1,3692.91
223,223,Female,0,43,76.17,Month-to-month,Bank transfer,0,3275.31
224,224,Female,0,51,93.17,One year,Mailed check,0,4751.67
225,225,Female,0,69,103.13,Two year,Credit card,0,7115.97
226,226,Male,1,41,84.63,One year,Bank transfer,1,3469.83
227,227,Female,0,11,76.39,Month-to-month,Electronic check,0,840.29
228,228,Male,1,52,57.38,One year,Electronic check,1,2983.76
229,229,Male,1,23,33.79,One year,Mailed check,0,777.17
230,230,Female,0,49,115.86,One year,Bank transfer,0,5677.14
231,231,Female,1,38,66.18,One year,Bank transfer,0,2514.84
232,232,Female,0,47,76.62,Month-to-month,Mailed check,0,3601.14
233,233,Female,1,7,95.11,Two year,Credit card,0,665.77
234,234,Female,0,66,26.84,One year,Bank transfer,0,1771.44
235,235,Female,1,62,105.5,Month-to-month,Bank transfer,1,6541.0
236,236,Female,0,29,99.7,One year,Electronic check,0,2891.3
237,237,Female,0,38,97.44,One year,Bank transfer,0,3702.72
238,238,Male,1,33,22.2,One year,Mailed check,0,732.6
239,239,Female,1,29,72.65,Month-to-month,Electronic check,1,2106.85
240,240,Female,0,23,25.43,One year,Mailed check,0,584.89
241,241,Male,1,3,75.09,One year,Mailed check,0,225.27
242,242,Female,1,45,91.84,Two year,Bank transfer,0,4132.8
243,243,Male,1,8,32.19,Month-to-month,Credit card,1,257.52
244,244,Male,0,29,89.49,Two year,Bank transfer,1,2595.21
245,245,Female,0,2,64.95,Two year,Credit card,1,129.9
246,246,Male,1,50,101.16,Two year,Electronic check,1,5058.0
247,247,Male,1,65,73.36,Two year,Mailed check,0,4768.4
248,248,Male,0,20,53.61,One year,Mailed check,0,1072.2
249,249,Male,1,52,53.2,Two year,Bank transfer,0,2766.4
250,250,Female,0,37,109.75,Month-to-month,Credit card,0,4060.75
251,251,Male,1,27,65.29,One year,Mailed check,0,1762.83
252,252,Female,1,47,60.58,Two year,Mailed check,0,2847.26
253,253,Male,1,6,23.99,Two year,Credit card,0,143.94
254,254,Male,0,60,56.43,Month-to-month,Mailed check,0,3385.8
255,255,Male,0,45,104.96,Month-to-month,Mailed check,0,4723.2
256,256,Male,0,44,96.1,Two year,Mailed check,0,4228.4
257,257,Female,0,18,42.09,Two year,Credit card,1,757.62
258,258,Female,1,65,61.31,Two year,Credit card,0,3985.15
259,259,Male,1,25,39.66,Two year,Electronic check,1,991.5
260,260,Male,0,27,115.42,Two year,Mailed check,0,3116.34
261,261,Female,1,7,79.81,Month-to-month,Mailed check,0,558.67
262,262,Male,1,44,95.44,Month-to-month,Electronic check,0,4199.36
263,263,Male,0,29,91.38,One year,Credit card,0,2650.02
264,264,Male,1,44,107.37,One year,Credit card,1,4724.28
265,265,Female,1,36,114.93,Month-to-month,Bank transfer,0,4137.48
266,266,Female,0,19,23.24,One year,Credit card,1,441.56
267,267,Female,1,6,117.53,Two year,Bank transfer,0,705.18
268,268,Male,1,25,107.05,One year,Electronic check,0,2676.25
269,269,Male,1,31,58.29,Two year,Credit card,0,1806.99
270,270,Female,0,9,103.71,Two year,Electronic check,0,933.39
271,271,Female,0,37,93.66,One year,Bank transfer,0,3465.42
272,272,Female,1,27,99.31,One year,Mailed check,0,2681.37
273,273,Female,1,13,42.07,Two year,Mailed check,1,546.91
274,274,Male,1,41,84.86,Month-to-month,Electronic check,0,3479.26
275,275,Female,0,66,22.59,One year,Mailed check,0,1490.94
276,276,Male,0,24,104.82,One year,Electronic check,1,2515.68
277,277,Female,0,44,115.1,Month-to-month,Bank transfer,0,5064.4
278,278,Male,1,60,86.21,One year,Mailed check,0,5172.6
279,279,Female,1,9,71.27,Two year,Bank transfer,0,641.43
280,280,Female,1,2,92.57,Month-to-month,Credit card,1,185.14
281,281,Female,1,56,52.64,Month-to-month,Mailed check,0,2947.84
282,282,Female,1,30,82.64,Two year,Mailed check,0,2479.2
283,283,Male,0,22,91.9,Two year,Mailed check,1,2021.8
284,284,Female,1,13,34.27,Two year,Electronic check,1,445.51
285,285,Male,1,71,34.01,Month-to-month,Credit card,0,2414.71
286,286,Male,1,16,91.61,Two year,Credit card,1,1465.76
287,287,Male,0,45,63.18,One year,Credit card,1,2843.1
288,288,Male,1,65,108.92,One year,Bank transfer,0,7079.8
289,289,Female,0,11,51.19,Two year,Credit card,0,563.09
290,290,Male,0,70,24.24,One year,Electronic check,0,1696.8
291,291,Male,0,20,84.99,One year,Electronic check,0,1699.8
292,292,Male,0,63,88.42,Month-to-month,Bank transfer,0,5570.46
293,293,Female,0,12,75.36,Two year,Bank transfer,0,904.32
294,294,Female,1,62,88.33,One year,Credit card,1,5476.46
295,295,Female,1,42,72.38,Two year,Credit card,0,3039.96
296,296,Female,0,69,89.26,Two year,Electronic check,0,6158.94
297,297,Male,0,58,24.39,One year,Electronic check,0,1414.62
298,298,Male,0,5,56.84,One year,Credit card,0,284.2
299,299,Female,1,27,41.08,Month-to-month,Electronic check,1,1109.16
300,300,Male,1,28,29.93,Month-to-month,Bank transfer,0,838.04
301,301,Male,0,26,43.41,Month-to-month,Electronic check,0,1128.66
302,302,Male,1,49,39.13,One year,Credit card,1,1917.37
303,303,Female,1,21,117.31,Month-to-month,Bank transfer,0,2463.51
304,304,Female,0,1,48.65,Two year,Electronic check,0,48.65
305,305,Male,0,58,43.1,Month-to-month,Bank transfer,0,2499.8
306,306,Female,1,55,103.49,Month-to-month,Credit card,0,5691.95
307,307,Female,1,26,61.91,Month-to-month,Electronic check,0,1609.66
308,308,Female,1,25,62.15,Two year,Credit card,0,1553.75
309,309,Female,0,33,64.36,Two year,Mailed check,0,2123.88
310,310,Female,0,69,61.65,One year,Credit card,1,4253.85
311,311,Male,0,6,52.66,Month-to-month,Mailed check,0,315.96
312,312,Female,1,23,48.63,Two year,Bank transfer,0,1118.49
313,313,Male,1,30,108.2,Two year,Bank transfer,0,3246.0
314,314,Male,0,54,36.17,Two year,Mailed check,0,1953.18
315,315,Female,1,11,38.11,One year,Bank transfer,0,419.21
316,316,Male,0,31,77.17,One year,Bank transfer,1,2392.27
317,317,Male,1,6,54.37,One year,Credit card,0,326.22
318,318,Male,0,11,62.15,Month-to-month,Mailed check,0,683.65
319,319,Female,1,12,100.65,Two year,Electronic check,0,1207.8
320,320,Female,1,66,110.36,One year,Bank transfer,0,7283.76
321,321,Male,0,53,99.06,One year,Bank transfer,1,5250.18
322,322,Female,0,36,43.49,Two year,Electronic check,1,1565.64
323,323,Female,0,17,118.0,Two year,Credit card,0,2006.0
324,324,Female,0,28,56.32,Month-to-month,Credit card,1,1576.96
325,325,Female,0,22,36.91,Month-to-month,Credit card,0,812.02
326,326,Male,1,7,69.95,Month-to-month,Electronic check,0,489.65
327,327,Male,0,15,92.53,One year,Credit card,1,1387.95
328,328,Female,0,11,28.33,One year,Bank transfer,0,311.63
329,329,Female,0,24,83.43,Two year,Credit card,0,2002.32
330,330,Male,0,67,105.81,Month-to-month,Bank transfer,0,7089.27
331,331,Male,0,30,46.18,Two year,Electronic check,0,1385.4
332,332,Female,1,70,89.31,Month-to-month,Credit card,0,6251.7
333,333,Male,0,66,59.99,Month-to-month,Credit card,1,3959.34
334,334,Female,0,61,61.41,Month-to-month,Bank transfer,0,3746.01
335,335,Female,0,41,48.08,Month-to-month,Electronic check,0,1971.28
336,336,Male,1,51,82.44,Two year,Credit card,0,4204.44
337,337,Male,1,44,56.1,Two year,Electronic check,0,2468.4
338,338,Female,0,13,103.09,One year,Bank transfer,1,1340.17
339,339,Female,0,12,116.29,Month-to-month,Bank transfer,1,1395.48
340,340,Male,1,9,113.51,Two year,Credit card,1,1021.59
341,341,Female,1,48,36.31,Month-to-month,Electronic check,0,1742.88
342,342,Male,1,49,21.42,Month-to-month,Bank transfer,1,1049.58
343,343,Female,0,53,63.85,One year,Electronic check,0,3384.05
344,344,Male,0,56,92.89,One year,Mailed check,0,5201.84
345,345,Male,1,40,117.75,Two year,Mailed check,1,4710.0
346,346,Male,0,24,98.34,Two year,Credit card,0,2360.16
347,347,Female,1,33,78.05,One year,Electronic check,0,2575.65
348,348,Female,1,23,22.64,Two year,Electronic check,1,520.72
349,349,Male,1,54,102.55,Two year,Bank transfer,1,5537.7
350,350,Female,0,53,37.71,One year,Electronic check,0,1998.63
351,351,Male,1,49,25.56,Month-to-month,Electronic check,1,1252.44
352,352,Male,1,49,105.04,Month-to-month,Bank transfer,1,5146.96
353,353,Female,0,60,76.63,One year,Credit card,1,4597.8
354,354,Female,1,65,32.86,Month-to-month,Bank transfer,0,2135.9
355,355,Male,0,32,58.65,Month-to-month,Mailed check,0,1876.8
356,356,Female,1,21,28.55,One year,Electronic check,1,599.55
357,357,Female,0,18,83.8,Two year,Electronic check,0,1508.4
358,358,Male,1,60,48.24,One year,Credit card,0,2894.4
359,359,Male,1,13,106.61,One year,Mailed check,0,1385.93
360,360,Female,1,24,55.78,Month-to-month,Electronic check,0,1338.72
361,361,Male,1,30,69.46,One year,Bank transfer,1,2083.8
362,362,Male,1,2,26.35,Month-to-month,Electronic check,0,52.7
363,363,Female,0,25,47.56,One year,Credit card,0,1189.0
364,364,Male,0,50,87.68,Two year,Bank transfer,1,4384.0
365,365,Male,1,14,93.63,Month-to-month,Electronic check,0,1310.82
366,366,Female,1,6,44.28,One year,Credit card,0,265.68
367,367,Female,1,30,70.38,Month-to-month,Mailed check,0,2111.4
368,368,Male,0,30,101.75,One year,Bank transfer,0,3052.5
369,369,Male,0,38,57.99,One year,Bank transfer,1,2203.62
370,370,Female,1,58,33.38,One year,Mailed check,0,1936.04
371,371,Female,0,41,63.19,Month-to-month,Bank transfer,0,2590.79
372,372,Female,1,57,80.06,Month-to-month,Credit card,1,4563.42
373,373,Female,1,36,20.74,Two year,Mailed check,0,746.64
374,374,Male,1,64,54.86,Two year,Electronic check,0,3511.04
375,375,Female,0,16,80.74,Two year,Credit card,0,1291.84
376,376,Female,1,14,115.19,Two year,Mailed check,1,1612.66
377,377,Male,1,31,60.85,One year,Electronic check,0,1886.35
378,378,Female,1,66,36.3,Month-to-month,Credit card,0,2395.8
379,379,Male,0,68,73.42,One year,Credit card,0,4992.56
380,380,Female,0,65,48.58,Month-to-month,Bank transfer,0,3157.7
381,381,Female,0,55,41.48,Month-to-month,Bank transfer,1,2281.4
382,382,Female,1,40,79.04,One year,Mailed check,0,3161.6
383,383,Male,0,25,111.59,One year,Electronic check,1,2789.75
384,384,Male,1,25,103.52,Month-to-month,Credit card,0,2588.0
385,385,Female,0,3,38.23,Two year,Credit card,1,114.69
386,386,Male,1,69,96.59,Two year,Mailed check,1,6664.71
387,387,Male,0,26,42.99,Month-to-month,Bank transfer,0,1117.74
388,388,Male,1,40,49.07,One year,Credit card,0,1962.8
389,389,Male,0,38,112.01,One year,Credit card,1,4256.38
390,390,Male,0,38,111.11,Month-to-month,Bank transfer,1,4222.18
391,391,Male,0,68,36.86,One year,Electronic check,0,2506.48
392,392,Female,1,7,26.42,Month-to-month,Electronic check,0,184.94
393,393,Female,0,30,49.31,Month-to-month,Bank transfer,1,1479.3
394,394,Male,0,19,78.18,Month-to-month,Credit card,0,1485.42
395,395,Female,0,35,107.69,One year,Bank transfer,0,3769.15
396,396,Female,0,33,31.88,Two year,Electronic check,1,1052.04
397,397,Female,1,33,61.5,Month-to-month,Mailed check,1,2029.5
398,398,Female,0,38,47.17,One year,Mailed check,1,1792.46
399,399,Male,1,10,21.49,Two year,Electronic check,0,214.9
400,400,Female,1,57,98.84,Month-to-month,Electronic check,1,5633.88
401,401,Female,1,28,101.33,Two year,Electronic check,0,2837.24
402,402,Male,1,38,42.12,One year,Bank transfer,0,1600.56
403,403,Male,0,16,35.12,Two year,Mailed check,0,561.92
404,404,Female,1,21,34.46,Two year,Electronic check,1,723.66
405,405,Female,1,6,66.39,One year,Credit card,0,398.34
406,406,Female,1,41,44.65,Month-to-month,Mailed check,1,1830.65
407,407,Female,1,15,71.14,One year,Bank transfer,1,1067.1
408,408,Female,0,3,58.49,One year,Credit card,0,175.47
409,409,Female,0,43,41.09,Month-to-month,Bank transfer,1,1766.87
410,410,Male,1,47,95.12,Month-to-month,Electronic check,1,4470.64
411,411,Female,1,14,35.04,One year,Electronic check,0,490.56
412,412,Female,1,66,99.89,Month-to-month,Electronic check,0,6592.74
413,413,Male,0,29,76.14,Month-to-month,Credit card,0,2208.06
414,414,Male,0,4,103.2,One year,Electronic check,0,412.8
415,415,Male,0,26,20.48,One year,Mailed check,1,532.48
416,416,Male,0,12,94.92,One year,Electronic check,0,1139.04
417,417,Female,0,2,25.15,One year,Mailed check,1,50.3
418,418,Female,1,17,115.01,Two year,Credit card,1,1955.17
419,419,Female,0,35,90.27,Two year,Bank transfer,0,3159.45
420,420,Female,0,10,52.02,Month-to-month,Bank transfer,0,520.2
421,421,Female,1,43,51.99,Two year,Mailed check,0,2235.57
422,422,Female,0,21,106.15,Two year,Credit card,0,2229.15
423,423,Male,0,15,110.28,Two year,Mailed check,0,1654.2
424,424,Female,0,35,109.16,Month-to-month,Electronic check,0,3820.6
425,425,Male,1,60,100.87,Two year,Electronic check,0,6052.2
426,426,Male,0,44,101.9,One year,Electronic check,0,4483.6
427,427,Female,1,5,77.28,One year,Bank transfer,1,386.4
