Date,Reference Code,Transaction Type,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Total Amount,Total Currency,Method,Source,Destination,Cost Basis,Cost Basis Currency,Bitcoin Price Amount,Bitcoin Price Currency,Transaction ID,Recurring,Tag
2025-02-07 23:37:52,ZHTNJCILT4,Buy,80.00,USD,0.00082749,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96677.91,USD,,True,
2025-02-08 23:37:51,QX3OT5U4TE,Buy,80.00,USD,0.00082535,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96928.58,USD,,True,
2025-02-09 23:38:07,7JYQPCTEFM,Buy,80.00,USD,0.00082918,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96480.86,USD,,True,
2025-02-10 23:37:50,T3XQ7EERUQ,Buy,80.00,USD,0.00081951,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,97619.31,USD,,True,
2025-02-11 23:37:50,RUHHPEMMOQ,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-02-11 23:37:50,YBPNK5HZME,Buy,80.00,USD,0.00083163,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96196.63,USD,,True,
2025-02-12 23:38:14,6L6BLHPSYQ,Buy,80.00,USD,0.00081659,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,97968.38,USD,,True,
2025-02-13 23:37:51,7U52FKMTJU,Buy,80.00,USD,0.00082677,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96762.10,USD,,True,
2025-02-14 23:38:10,S7R7EYGNSM,Buy,80.00,USD,0.00081879,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,97705.15,USD,,True,
2025-02-15 23:38:18,SB4ZE6IBOA,Buy,80.00,USD,0.00081695,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,97925.21,USD,,True,
2025-02-16 23:37:30,M7V76C7DOE,Buy,80.00,USD,0.00082986,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96401.80,USD,,True,
2025-02-17 23:38:08,3GPXXUMKIY,Buy,80.00,USD,0.00083237,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96111.10,USD,,True,
2025-02-18 23:38:11,UOXPF2VWSA,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-02-18 23:38:11,IBYCJKGN3A,Buy,80.00,USD,0.00083619,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,95672.04,USD,,True,
2025-02-19 23:37:57,RCPFM4QY3Q,Buy,80.00,USD,0.00082525,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96940.32,USD,,True,
2025-02-20 23:38:23,NP5EKI5BDU,Buy,80.00,USD,0.00080978,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,98792.26,USD,,True,
2025-02-21 19:12:35,W3MAY7I32M,Buy,1485.15,USD,0.01534638,BTC,14.85,USD,1500.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,1500.00,USD,96775.27,USD,,False,
2025-02-21 23:37:42,EV3WYFDY34,Buy,80.00,USD,0.00083086,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96285.78,USD,,True,
2025-02-22 23:38:00,GNPG26C73E,Buy,80.00,USD,0.00082551,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96909.79,USD,,True,
2025-02-23 15:38:29,CKDEHTDLBI,Buy,990.10,USD,0.01031995,BTC,9.90,USD,1000.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,1000.00,USD,95940.39,USD,,False,
2025-02-23 23:37:37,SUCEYKABV4,Buy,80.00,USD,0.00083128,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96237.13,USD,,True,
2025-02-24 20:51:03,ZYTCIDG7TM,Buy,1485.15,USD,0.01569093,BTC,14.85,USD,1500.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,1500.00,USD,94650.22,USD,,False,
2025-02-24 23:37:44,XHFMVUIYCM,Buy,80.00,USD,0.00087081,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,91868.49,USD,,True,
2025-02-25 00:12:25,RR4ZEXDYF4,Buy,990.10,USD,0.01082064,BTC,9.90,USD,1000.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,1000.00,USD,91501.06,USD,,False,
2025-02-25 10:09:00,IUHOBGKH6M,Buy,1485.15,USD,0.01672718,BTC,14.85,USD,1500.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,1500.00,USD,88786.63,USD,,False,
2025-02-25 13:34:16,KOWQGVOYOA,Send,0.03276173,BTC,,,0.00000987,BTC,0.0327716,BTC,On Chain,Bitcoin Balance,bc1qf8c5ydll6c3n8ss6s9xw45735590lp462pws0q,3190.11,USD,88965.28,USD,7bf0cb1d27d042209624dedce69cba35dd26e3a555e284d00db6ab9d7b24bce7,False,
2025-02-25 23:38:21,ESONCNQXDQ,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-02-25 23:38:21,IEPDI2K6SE,Buy,80.00,USD,0.00089904,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,88983.80,USD,,True,
2025-02-26 13:56:51,336AECYKRI,Send,0.05353048,BTC,,,0.00001692,BTC,0.0535474,BTC,On Chain,Bitcoin Balance,bc1q80q737rhr5shzsqqnzldhp3neh433er6kyuxzq,4993.64,USD,87250.20,USD,0f44d65beb860cb4c605ec6bcda1a828a0d851297c59e8640fbf73d9bd382a27,False,
2025-02-26 23:37:44,OQVIE6T6LA,Buy,80.00,USD,0.00094954,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84251.32,USD,,True,
2025-02-27 11:53:59,SBKRQVS3M4,Buy,742.57,USD,0.00855942,BTC,7.43,USD,750.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,750.00,USD,86754.71,USD,,False,
2025-02-27 12:30:17,VXL2QOAPOE,Buy,990.10,USD,0.01142234,BTC,9.90,USD,1000.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,1000.00,USD,86681.01,USD,,False,
2025-02-27 23:38:12,7PLQMHW3KA,Buy,80.00,USD,0.00094139,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84980.72,USD,,True,
2025-02-28 23:38:25,IAAITUZODE,Buy,80.00,USD,0.00094842,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84350.82,USD,,True,
2025-03-01 10:11:12,Y3VBZEPX7Q,Interest Payout,,,0.00000718,BTC,,,0.00000718,BTC,Interest Earned,Cash Balance,Bitcoin Balance,0.61,USD,85089.21,USD,,False,Interest
2025-03-01 23:38:04,NX7XUVY7VY,Buy,80.00,USD,0.00092971,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,86048.34,USD,,True,
2025-03-02 23:38:28,KXW63MZCNI,Buy,80.00,USD,0.00084563,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,94604.02,USD,,True,
2025-03-03 23:37:40,32NARJRFDY,Buy,80.00,USD,0.00092327,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,86648.54,USD,,True,
2025-03-04 23:37:31,VOENXHFQHA,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-03-04 23:37:31,W7X6COKEQA,Buy,80.00,USD,0.0009137,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,87556.09,USD,,True,
2025-03-05 23:37:39,FNYFU5QSFY,Buy,80.00,USD,0.0008804,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,90867.79,USD,,True,
2025-03-06 23:38:27,Y3GBP6QFMU,Buy,80.00,USD,0.00088113,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,90792.51,USD,,True,
2025-03-07 23:38:24,7DDCVEZXUI,Buy,80.00,USD,0.00092227,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,86742.49,USD,,True,
2025-03-08 23:37:50,AF4ZXGYDBU,Buy,80.00,USD,0.00092649,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,86347.40,USD,,True,
2025-03-09 23:38:01,ZXRDJYLD6Y,Buy,80.00,USD,0.00098714,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,81042.20,USD,,True,
2025-03-10 23:38:26,NLOWI4RPA4,Buy,80.00,USD,0.00100684,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,79456.52,USD,,True,
2025-03-11 23:38:15,ZDK7IK53F4,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-03-11 23:38:16,R2GJVOZ74E,Buy,80.00,USD,0.0009641,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82978.94,USD,,True,
2025-03-12 23:38:18,VC4ARCDCGQ,Buy,80.00,USD,0.00095427,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,83833.72,USD,,True,
2025-03-13 23:38:16,Y6ZBLGBPFM,Buy,80.00,USD,0.00098359,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,81334.70,USD,,True,
2025-03-14 23:38:15,LOLRR2LY3I,Buy,80.00,USD,0.00094775,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84410.45,USD,,True,
2025-03-15 09:16:13,HDFN4IZKOY,Send,0.03674587,BTC,,,0.00000564,BTC,0.03675151,BTC,On Chain,Bitcoin Balance,bc1q5ykdd0tk0ahh5ppufn7wyurktvnh6rfe6g0wvc,3186.86,USD,83848.63,USD,831ba85603de98b09e86ef97223b88d3923905c78d614362c657fa3b91cf8711,False,
2025-03-15 23:37:39,E7FKSJQFQ4,Buy,80.00,USD,0.00094557,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84605.05,USD,,True,
2025-03-16 23:38:21,T7X3O3U64A,Buy,80.00,USD,0.0009662,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82798.59,USD,,True,
2025-03-17 23:37:51,JGR3NQCGE4,Buy,80.00,USD,0.00094977,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84230.92,USD,,True,
2025-03-18 23:37:50,JEF5YUG3TY,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-03-18 23:37:50,R7I5LNIBGY,Buy,80.00,USD,0.00096475,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82923.04,USD,,True,
2025-03-19 23:38:03,KKP6GWUSO4,Buy,80.00,USD,0.00091812,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,87134.58,USD,,True,
2025-03-20 23:37:54,V2O656PQJE,Buy,80.00,USD,0.00094818,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84372.17,USD,,True,
2025-03-21 23:37:41,DNSK2H6R2Q,Buy,80.00,USD,0.00094847,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84346.37,USD,,True,
2025-03-22 23:38:13,LCKYYMJZJE,Buy,80.00,USD,0.00095315,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,83932.22,USD,,True,
2025-03-23 23:38:03,WM5ZDTZ73I,Buy,80.00,USD,0.00093061,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,85965.12,USD,,True,
2025-03-24 23:37:34,H6JCUURR6Q,Buy,80.00,USD,0.00091411,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,87516.82,USD,,True,
2025-03-25 23:38:05,NH5DHASO6I,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-03-25 23:38:05,WGSPSWOYOY,Buy,80.00,USD,0.00091211,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,87708.72,USD,,True,
2025-03-26 23:37:30,UHB7K4RV3A,Buy,80.00,USD,0.00091883,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,87067.25,USD,,True,
2025-03-27 23:37:44,SVC73ORFRQ,Buy,80.00,USD,0.00091386,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,87540.76,USD,,True,
2025-03-28 23:38:10,KY4CY72N4I,Buy,80.00,USD,0.00094601,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,84565.70,USD,,True,
2025-03-29 23:37:36,GY477OVBAM,Buy,80.00,USD,0.00096753,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82684.77,USD,,True,
2025-03-30 23:38:24,Q2YB5HGMQE,Buy,80.00,USD,0.0009708,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82406.26,USD,,True,
2025-03-31 23:37:45,KBO2F3AJRM,Buy,80.00,USD,0.00096703,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82727.53,USD,,True,
2025-04-01 10:09:26,2WCUTYX3FA,Interest Payout,,,0.0000083,BTC,,,0.0000083,BTC,Interest Earned,Cash Balance,Bitcoin Balance,0.70,USD,84178.97,USD,,False,Interest
2025-04-01 23:38:29,XSXZCCMWLU,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-04-01 23:38:29,X4RCLDE4UQ,Buy,80.00,USD,0.00093549,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,85516.68,USD,,True,
2025-04-02 23:37:29,57OISMUGEA,Buy,80.00,USD,0.00096669,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82756.62,USD,,True,
2025-04-03 23:38:18,VGJB7SJQLE,Buy,80.00,USD,0.00096229,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,83135.02,USD,,True,
2025-04-04 23:37:45,FGACVLDV4Q,Buy,80.00,USD,0.00095351,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,83900.54,USD,,True,
2025-04-05 23:37:30,N4QHEO5PTI,Buy,80.00,USD,0.00095816,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,83493.36,USD,,True,
2025-04-06 23:38:29,XCH37RC4VQ,Buy,80.00,USD,0.00102474,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,78068.58,USD,,True,
2025-04-07 23:38:23,BQ46KA5GSM,Buy,80.00,USD,0.00100325,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,79740.84,USD,,True,
2025-04-08 23:37:30,J2S4CBJQYQ,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-04-08 23:37:30,SQTZS4YFKI,Buy,80.00,USD,0.00104338,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,76673.89,USD,,True,
2025-04-09 23:37:48,OBXQIS7RO4,Buy,80.00,USD,0.00096446,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,82947.97,USD,,True,
2025-04-10 23:38:28,E335SVQ53U,Buy,80.00,USD,0.00100283,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,79774.24,USD,,True,
