adult,original_language,original_title,popularity,release_date,video,vote_average,vote_count,genre_ids
False,ja,ジョゼと虎と魚たち,3.2507,2020-12-25,False,8.283,561,"[16, 18, 10749]"
False,ja,劇場版 ヴァイオレット・エヴァーガーデン,3.0184,2020-09-18,False,8.283,482,"[16, 18, 14, 10749]"
False,en,Sunset Boulevard,4.1111,1950-08-10,False,8.283,2841,[18]
False,it,C'era una volta il West,7.977,1968-12-21,False,8.281,4746,"[18, 37]"
False,en,It's a Wonderful Life,8.8819,1946-12-20,False,8.276,4749,"[18, 10751, 14]"
False,fr,Intouchables,10.2635,2011-11-02,False,8.27,18093,"[18, 35]"
False,es,Contraataque,8.1201,2025-02-27,False,8.267,781,"[28, 12, 53]"
False,en,Apocalypse Now,10.0821,1979-05-19,False,8.267,8836,"[18, 10752]"
False,ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,6.4464,1997-07-19,False,8.262,1778,"[16, 878, 18, 14]"
False,ja,蛍火の杜へ,0.0029,2011-09-17,False,8.261,1193,"[10749, 16, 14]"
False,en,Paths of Glory,4.0917,1957-10-25,False,8.3,3177,"[10752, 18]"
False,es,Como caído del cielo,1.1624,2019-12-24,False,8.256,375,"[35, 18, 10402]"
False,en,City Lights,2.9244,1931-02-06,False,8.3,2378,"[35, 18, 10749]"
False,en,The Lion King,17.2742,1994-06-15,False,8.255,19316,"[10751, 16, 18, 12]"
False,tr,7. Koğuştaki Mucize,5.0948,2019-10-10,False,8.254,4512,[18]
False,ja,映画 ギヴン,6.1902,2020-08-22,False,8.251,412,"[16, 18, 10402, 10749]"
False,ja,青春ブタ野郎はゆめみる少女の夢を見ない,2.0106,2019-06-15,False,8.247,574,"[16, 10749, 18, 14]"
False,fr,Le Trou,1.8469,1960-03-18,False,8.246,539,"[18, 53, 80]"
False,it,La leggenda del pianista sull'oceano,3.8552,1998-10-28,False,8.244,2388,"[18, 10402]"
False,ko,올드보이,15.0424,2003-11-21,False,8.243,9505,"[18, 53, 9648, 28]"
False,en,Taylor Swift: Reputation Stadium Tour,1.7829,2018-12-31,False,8.2,420,[10402]
False,en,Life in a Year,2.9418,2020-11-27,False,8.2,1949,"[18, 10749]"
False,en,Clouds,3.2565,2020-10-09,False,8.239,1040,"[10402, 18, 10749]"
False,ja,君の膵臓をたべたい,10.0484,2018-09-01,False,8.238,1712,"[16, 18, 10749]"
False,en,Avengers: Endgame,19.1569,2019-04-24,False,8.2,27170,"[12, 878, 28]"
False,en,The Matrix,23.0046,1999-03-31,False,8.2,27271,"[28, 878]"
False,en,Avengers: Infinity War,31.32,2018-04-25,False,8.2,31385,"[12, 28, 878]"
False,en,The Forge,4.2852,2024-08-22,False,8.2,317,"[18, 10751]"
False,en,Klaus,4.8296,2019-11-08,False,8.225,4528,"[16, 10751, 12, 35, 14]"
False,en,Green Book,11.7544,2018-11-16,False,8.223,12528,"[18, 35, 36]"
False,it,Il sorpasso,4.3674,1962-12-05,False,8.222,820,"[18, 35, 12]"
False,en,Saving Private Ryan,12.3397,1998-07-24,False,8.221,16817,"[10752, 18, 36]"
False,en,Gladiator,16.9955,2000-05-04,False,8.221,20439,"[28, 18, 12]"
False,en,Five Feet Apart,5.9241,2019-03-14,False,8.221,5846,"[10749, 18]"
False,en,Michael Jackson's Thriller,3.2278,1983-11-14,False,8.222,733,"[27, 53, 10402]"
False,en,TAYLOR SWIFT | THE ERAS TOUR,2.7401,2023-10-13,False,8.2,502,[10402]
False,fr,Mommy,4.6528,2014-09-19,False,8.2,2803,[18]
False,ja,おおかみこどもの雨と雪,4.3842,2012-07-21,False,8.217,2419,"[16, 10751, 18, 14]"
False,en,Witness for the Prosecution,3.6618,1957-12-17,False,8.215,1602,"[18, 9648, 80]"
False,en,Inglourious Basterds,19.3445,2009-08-02,False,8.215,23642,"[18, 53, 10752]"
False,ru,Иди и смотри,6.209,1985-10-17,False,8.213,1734,"[18, 10752]"
False,en,"The Boy, the Mole, the Fox and the Horse",2.9712,2022-12-25,False,8.211,687,"[16, 10751, 12, 14]"
False,en,Justice League Dark: Apokolips War,3.6046,2020-05-05,False,8.2,1535,"[16, 28, 12, 14]"
False,en,Puss in Boots: The Last Wish,13.6451,2022-12-07,False,8.206,8585,"[16, 12, 14, 35, 10751]"
False,en,The Prestige,13.7511,2006-10-17,False,8.205,17147,"[18, 9648, 878]"
False,ja,劇場版「鬼滅の刃」無限列車編,11.1197,2020-10-16,False,8.206,4374,"[16, 28, 14]"
False,en,The Shining,14.0936,1980-05-23,False,8.2,18523,"[27, 53]"
False,en,The Help,10.4316,2011-08-09,False,8.203,8832,[18]
False,ja,砂の女,7.04,1964-02-15,False,8.2,500,"[18, 53]"
False,en,Shutter Island,16.6448,2010-02-14,False,8.201,25302,"[18, 53, 9648]"
False,en,Star Wars,20.254,1977-05-25,False,8.202,21859,"[12, 28, 878]"
False,en,Coco,22.236,2017-10-27,False,8.198,20594,"[10751, 16, 10402, 12]"
False,en,The Apartment,5.2161,1960-06-21,False,8.195,2552,"[35, 18, 10749]"
False,en,Wolfwalkers,6.5258,2020-10-26,False,8.193,1329,"[16, 10751, 12, 14]"
False,en,Hacksaw Ridge,15.2453,2016-10-07,False,8.191,14549,"[18, 36, 10752]"
False,en,Doctor Who: The Day of the Doctor,1.2727,2013-11-23,False,8.191,766,"[878, 12]"
False,ko,아가씨,13.8601,2016-06-01,False,8.191,4165,"[53, 18, 10749]"
False,ja,シン・エヴァンゲリオン劇場版:||,4.4401,2021-03-08,False,8.189,904,"[16, 28, 878, 18]"
False,en,Django Unchained,14.7734,2012-12-25,False,8.186,27474,"[18, 37]"
False,en,The Art of Racing in the Rain,4.4003,2019-08-08,False,8.185,1619,"[18, 10749]"
False,pt,Minha Mãe é uma Peça 3: O Filme,0.4299,2019-12-26,False,8.2,491,[35]
False,en,A Clockwork Orange,8.5243,1971-10-28,False,8.18,13559,"[878, 80]"
False,en,Memento,11.621,2000-10-11,False,8.176,15828,"[9648, 53]"
False,it,Ladri di biciclette,3.9488,1948-07-21,False,8.175,2584,[18]
False,en,The Usual Suspects,12.1809,1995-07-19,False,8.171,11100,"[18, 80, 53]"
False,it,Indagine su un cittadino al di sopra di ogni sospetto,0.7926,1970-10-16,False,8.166,849,"[18, 53]"
False,en,Alien,16.7247,1979-05-25,False,8.166,15940,"[27, 878]"
False,ja,さよならの朝に約束の花をかざろう,2.9646,2018-02-24,False,8.165,684,"[16, 14, 18, 12]"
False,en,Steven Universe: The Movie,2.5577,2019-10-07,False,8.2,837,"[10770, 12, 16, 14, 10402, 878, 28, 18]"
False,sv,Det sjunde inseglet,6.9792,1957-02-16,False,8.164,3253,"[14, 18]"
False,ja,東京物語,7.6078,1953-11-03,False,8.2,1174,[18]
False,en,The Departed,14.7692,2006-10-04,False,8.2,15808,"[18, 53, 80]"
False,en,Top Gun: Maverick,22.6192,2022-05-21,False,8.2,10517,"[28, 18]"
False,en,Good Will Hunting,13.9505,1997-12-05,False,8.157,13440,[18]
False,en,Scarface,18.0486,1983-12-09,False,8.156,12681,"[28, 80, 18]"
False,en,Piper,1.5742,2016-06-16,False,8.153,1701,"[10751, 16]"
False,es,Voces inocentes,2.7974,2005-01-28,False,8.153,510,"[18, 10752]"
False,en,Vertigo,5.5624,1958-05-09,False,8.151,6178,"[9648, 10749, 53]"
False,en,The Truman Show,14.4699,1998-06-04,False,8.15,19708,"[35, 18]"
False,ko,도가니,3.6112,2011-09-22,False,8.148,735,[18]
False,en,Casablanca,7.6233,1943-01-15,False,8.146,5879,"[18, 10749]"
False,en,The Kid,2.3482,1921-01-21,False,8.145,2293,"[35, 18]"
False,en,Ultraman: Rising,3.8325,2024-06-14,False,8.141,362,"[16, 878, 10751, 28]"
False,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,4.0449,2019-12-20,False,8.14,1245,"[16, 28, 14, 12]"
False,ar,کفرناحوم,8.01,2018-09-20,False,8.14,1904,[18]
False,sv,Persona,3.5207,1966-10-18,False,8.139,2356,[18]
False,ko,20세기 소녀,10.3755,2022-10-06,False,8.139,784,"[10749, 18]"
False,en,Singin' in the Rain,7.0706,1952-04-10,False,8.1,3397,"[35, 10749]"
False,en,Terminator 2: Judgment Day,13.9684,1991-07-03,False,8.139,13880,"[28, 53, 878]"
False,en,Bound by Honor,12.5488,1993-02-05,False,8.137,1478,"[80, 28, 18, 53]"
False,pt,Central do Brasil,3.608,1998-04-03,False,8.137,1013,[18]
False,en,Togo,8.3453,2019-12-20,False,8.133,2191,"[12, 10751]"
False,en,Dune: Part Two,19.8812,2024-02-27,False,8.131,7438,"[878, 12]"
False,en,Palmer,3.2796,2021-01-28,False,8.13,1849,[18]
False,en,Joker,19.2939,2019-10-01,False,8.128,27217,"[80, 53, 18]"
False,en,Taxi Driver,13.4774,1976-02-09,False,8.129,13119,"[80, 18]"
False,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.7197,1964-01-29,False,8.126,6000,"[35, 10752]"
False,it,Amici miei,4.6501,1975-10-24,False,8.124,732,[35]
False,zh,哪吒之魔童闹海,41.519,2025-01-29,False,8.121,564,"[16, 14, 12, 28]"
False,en,Full Metal Jacket,9.6958,1987-06-26,False,8.122,11186,"[18, 10752]"
False,ja,赤ひげ,1.8965,1965-03-04,False,8.1,392,[18]
False,en,Reservoir Dogs,8.981,1992-09-02,False,8.118,15094,"[80, 53]"
False,ja,劇場版 呪術廻戦 0,13.3357,2021-12-24,False,8.116,1640,"[16, 28, 14]"
False,it,8½,5.1279,1963-02-14,False,8.1,2471,[18]
False,zh,少年的你,2.7373,2019-10-25,False,8.1,524,"[18, 80, 10749]"
False,en,KPop Demon Hunters,62.8254,2025-06-20,False,8.113,2280,"[14, 10402, 35, 16]"
False,ru,Сталкер,4.4554,1979-05-25,False,8.111,2419,"[878, 18]"
False,en,Wonder,7.6925,2017-11-13,False,8.11,8141,"[10751, 18]"
False,en,WALL·E,16.6068,2008-06-22,False,8.107,19850,"[16, 10751, 878]"
False,fr,Portrait de la jeune fille en feu,6.0008,2019-09-06,False,8.106,2843,"[18, 10749]"
False,fr,Incendies,11.8242,2010-09-17,False,8.105,3125,"[18, 10752, 9648]"
False,en,Prisoners,14.3319,2013-09-19,False,8.102,12700,"[18, 53, 80]"
False,th,หลานม่า,5.3685,2024-04-04,False,8.101,353,[18]
False,en,Double Indemnity,2.9626,1944-07-06,False,8.1,1967,"[80, 53]"
False,lv,Straume,15.6477,2024-08-29,False,8.099,2584,"[16, 12, 14, 10751]"
False,en,Zack Snyder's Justice League,14.0723,2021-03-18,False,8.1,10571,"[28, 12, 14]"
False,en,"Lock, Stock and Two Smoking Barrels",3.3873,1998-08-28,False,8.1,7011,"[35, 80]"
False,de,Metropolis,4.6106,1927-01-10,False,8.101,3013,"[18, 878]"
False,it,"“I Corti” di Aldo, Giovanni e Giacomo",0.6202,1996-03-29,False,8.099,358,[35]
False,en,Soul,10.9126,2020-12-25,False,8.098,11137,"[16, 10751, 35, 14, 18, 10402]"
False,en,The Father,4.9493,2020-12-23,False,8.097,3509,[18]
False,en,Call Me by Your Name,10.0828,2017-10-01,False,8.097,12555,"[10749, 18]"
False,da,Jagten,5.7788,2012-10-25,False,8.097,4581,[18]
False,cn,花樣年華,8.5935,2000-09-29,False,8.094,3134,"[18, 10749]"
False,en,"Paris, Texas",5.4033,1984-07-16,False,8.1,2131,[18]
False,en,Mortal Kombat Legends: Scorpion's Revenge,3.2548,2020-04-12,False,8.091,1430,"[16, 28, 14]"
False,en,Eternal Sunshine of the Spotless Mind,13.2729,2004-03-19,False,8.091,15969,"[878, 18, 10749]"
False,it,C'è ancora domani,2.1047,2023-10-26,False,8.089,1481,"[18, 35, 36]"
False,it,I soliti ignoti,2.3155,1958-07-26,False,8.09,759,"[35, 80]"
False,fr,"Miraculous World : New York, les héros unis",3.1542,2020-09-25,False,8.1,1121,"[16, 10770, 14, 28]"
False,ja,かぐや姫の物語,8.545,2013-11-23,False,8.09,1925,"[16, 18, 14]"
False,ja,用心棒,3.2506,1961-04-25,False,8.089,1625,"[18, 53]"
False,ja,映画 ブラッククローバー 魔法帝の剣,4.9897,2023-06-16,False,8.088,352,"[16, 14, 28, 12]"
False,sv,Smultronstället,5.6132,1957-08-28,False,8.1,1763,[18]
False,en,Some Like It Hot,6.1116,1959-03-19,False,8.088,3762,"[35, 10749, 80]"
False,ja,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,2.1919,2019-09-06,False,8.087,436,"[18, 14, 16]"
False,en,The Hate U Give,4.6815,2018-10-19,False,8.087,2194,"[80, 18]"
False,es,Contratiempo,5.8541,2017-01-06,False,8.085,4849,"[18, 9648, 53]"
False,fr,La Haine,5.2752,1995-05-31,False,8.085,4409,[18]
False,zh,白蛇2：青蛇劫起,4.3475,2021-07-23,False,8.084,351,"[16, 14, 28, 12]"
False,de,Das Boot,3.3439,1981-09-17,False,8.084,2417,"[18, 36, 10752]"
False,en,The Shop Around the Corner,1.8615,1940-01-12,False,8.082,806,"[35, 18, 10749]"
False,en,Harry Potter and the Deathly Hallows: Part 2,19.3177,2011-07-12,False,8.081,21607,"[12, 14]"
False,ja,山椒大夫,1.2672,1954-03-31,False,8.1,411,[18]
False,en,There Will Be Blood,7.913,2007-12-26,False,8.079,7193,[18]
False,it,La grande guerra,1.6609,1959-10-28,False,8.1,363,"[35, 10752, 18]"
False,en,All About Eve,2.9118,1950-11-09,False,8.076,1646,[18]
False,en,Far from the Tree,0.958,2021-11-24,False,8.075,385,"[16, 10751]"
False,fr,Les Enfants du Paradis,3.999,1945-03-15,False,8.1,444,"[18, 10749]"
False,en,Prayers for Bobby,1.4152,2009-01-24,False,8.066,617,"[18, 36, 10770]"
False,en,The Thing,9.5652,1982-06-25,False,8.066,7666,"[27, 9648, 878]"
False,en,Doctor Who: The Time of the Doctor,1.1582,2013-12-25,False,8.065,308,"[18, 878, 10770]"
False,zh,活着,7.2153,1994-05-18,False,8.1,353,"[18, 10749, 10752]"
False,ja,となりのトトロ,11.3734,1988-04-16,False,8.065,8578,"[14, 16, 10751]"
False,it,La meglio gioventù,3.0831,2003-06-22,False,8.1,593,"[18, 36, 10749]"
False,de,M - Eine Stadt sucht einen Mörder,2.8966,1931-05-11,False,8.063,2384,"[18, 53, 80]"
False,en,"Three Billboards Outside Ebbing, Missouri",5.6541,2017-12-01,False,8.061,10655,"[80, 18]"
False,pt,Tropa de Elite,4.887,2007-10-12,False,8.06,2615,"[18, 28, 80]"
False,en,2001: A Space Odyssey,11.9975,1968-04-02,False,8.057,12292,"[878, 9648, 12]"
False,zh,新神榜：哪吒重生,4.6524,2021-02-06,False,8.055,500,"[16, 14, 28]"
False,en,A Dog's Journey,3.553,2019-05-03,False,8.053,1588,"[10751, 12, 18]"
False,ko,살인의 추억,8.5451,2003-04-25,False,8.053,4372,"[80, 18, 53]"
False,en,Purple Hearts,8.5345,2022-07-29,False,8.052,2812,"[10749, 18]"
False,en,Pride & Prejudice,11.4756,2005-09-16,False,8.052,8577,"[18, 10749]"
False,en,Memoir of a Snail,6.0128,2024-10-17,False,8.05,727,"[16, 18, 35]"
False,it,Me contro Te: Il film - La vendetta del Signor S,0.5725,2020-01-17,False,8.05,471,"[10751, 14]"
False,en,The Elephant Man,5.0573,1980-10-09,False,8.049,3809,"[18, 36]"
False,ko,신과함께-인과 연,4.9622,2018-08-01,False,8.049,723,"[28, 12, 14, 53]"
False,en,Hidden Figures,8.6882,2016-12-10,False,8.049,10233,"[18, 36]"
False,it,La dolce vita,2.9007,1960-02-05,False,8.0,1994,"[35, 18]"
False,ja,ルックバック,7.1625,2024-06-28,False,8.048,469,"[16, 18]"
False,sv,Scener ur ett äktenskap,2.601,1974-09-15,False,8.0,392,"[18, 10749]"
False,en,Sherlock Jr.,1.6715,1924-04-17,False,8.044,1121,"[28, 35, 9648]"
False,ja,羅生門,3.6157,1950-08-26,False,8.046,2444,"[80, 18, 9648]"
False,ja,映画 この素晴らしい世界に祝福を！紅伝説,5.1314,2019-08-30,False,8.044,597,"[16, 12, 35, 14]"
False,ja,乱,9.7794,1985-06-01,False,8.043,1730,"[28, 18, 36]"
False,en,How to Train Your Dragon: Homecoming,6.0463,2019-12-03,False,8.041,1080,"[16, 14, 12, 10751]"
False,en,Lion,5.8077,2016-11-24,False,8.041,6844,[18]
False,de,Das Leben der Anderen,5.0002,2006-03-23,False,8.037,3985,"[18, 53]"
False,en,Oppenheimer,25.6003,2023-07-19,False,8.0,11253,"[18, 36]"
False,it,Una giornata particolare,1.5103,1977-08-11,False,8.037,737,"[18, 10749]"
False,ko,신과함께-죄와 벌,4.3944,2017-12-20,False,8.034,1147,"[28, 12, 18, 14, 53]"
False,pt,Que Horas Ela Volta?,0.8549,2015-06-04,False,8.033,765,[18]
False,en,The Grand Budapest Hotel,12.7749,2014-02-26,False,8.033,15681,"[35, 18]"
False,en,Guillermo del Toro's Pinocchio,5.7532,2022-11-09,False,8.032,3234,"[16, 14, 12, 18]"
False,hi,My Name Is Khan,3.405,2010-02-10,False,8.032,1398,"[18, 10749]"
False,en,Believe Me: The Abduction of Lisa McVey,5.1142,2018-09-30,False,8.029,672,"[18, 10770, 80]"
False,es,Los olvidados,3.8352,1950-12-09,False,8.0,520,"[18, 80]"
False,ko,택시운전사,3.4577,2017-08-02,False,8.025,1108,"[28, 18, 36]"
False,en,The Wolf of Wall Street,17.8414,2013-12-25,False,8.026,25413,"[80, 18, 35]"
False,en,Amadeus,7.283,1984-09-19,False,8.02,4613,"[36, 10402, 18]"
False,fr,Les Quatre Cents Coups,4.7654,1959-06-03,False,8.022,2270,[18]
False,it,Sulla mia pelle,1.0,2018-09-12,False,8.021,1880,[18]
False,en,Kill Bill: The Whole Bloody Affair,6.0211,2011-03-27,False,8.02,1134,"[28, 80]"
False,en,The Sting,5.4697,1973-12-25,False,8.017,2849,"[35, 80, 18]"
False,es,"Veinteañera, divorciada y fantástica",4.2791,2020-02-14,False,8.0,390,[35]
False,tr,Ayla,4.1706,2017-10-27,False,8.017,385,"[18, 10752, 36]"
False,it,Per qualche dollaro in più,6.9779,1965-12-18,False,8.017,4297,[37]
False,it,Roma città aperta,2.3676,1945-10-08,False,8.017,956,"[18, 10752]"
False,ja,晩春,1.7721,1949-09-13,False,8.0,457,[18]
False,en,Requiem for a Dream,4.0993,2000-10-06,False,8.013,10692,"[80, 18]"
False,en,Judgment at Nuremberg,3.0586,1961-12-18,False,8.011,902,"[18, 36]"
False,en,Harry Potter and the Prisoner of Azkaban,20.5948,2004-05-31,False,8.01,22759,"[12, 14]"
False,it,"Totò, Peppino e la... malafemmina",0.6742,1956-08-23,False,8.008,367,"[35, 10749]"
False,es,Amar te duele,2.9703,2002-11-08,False,8.008,354,"[18, 10749]"
False,en,Bo Burnham: Inside,1.9532,2021-07-22,False,8.0,575,"[35, 18]"
False,en,Bo Burnham: Make Happy,0.6597,2016-06-03,False,8.0,418,"[35, 10402]"
False,en,Scooby-Doo! and KISS: Rock and Roll Mystery,1.2206,2015-07-09,False,8.007,336,"[10751, 16, 35, 9648]"
False,en,Hachi: A Dog's Tale,10.7004,2009-06-08,False,8.007,7032,"[18, 10751]"
False,en,Ford v Ferrari,11.5973,2019-11-13,False,8.006,8712,"[18, 28, 36]"
False,en,Flipped,5.5535,2010-08-06,False,8.0,3242,"[10749, 18]"
False,en,Dial M for Murder,3.6268,1954-05-29,False,8.005,2780,"[53, 80]"
False,tr,Kağıttan Hayatlar,1.9444,2021-03-12,False,7.999,405,[18]
False,en,Transformers One,10.2866,2024-09-11,False,8.003,1490,"[16, 878, 12, 10751]"
False,ja,雨月物語,1.7993,1953-03-26,False,8.0,626,"[14, 18, 9648]"
False,en,American Beauty,8.1232,1999-09-15,False,8.002,12754,[18]
False,fr,Le Salaire de la peur,2.2939,1953-04-22,False,8.0,1042,"[18, 53, 12]"
False,en,Gifted,4.8011,2017-04-07,False,8.0,5828,"[18, 35]"
False,en,Song of the Sea,4.7858,2014-06-23,False,8.0,1536,"[10751, 16, 14]"
False,en,Paperman,1.273,2012-11-02,False,7.998,1769,"[16, 10751, 10749]"
False,en,Room,4.866,2015-10-16,False,7.997,9538,"[18, 53]"
False,hi,3 Idiots,5.7898,2009-12-23,False,7.997,2623,"[18, 35]"
False,en,Black Beauty,5.617,2020-11-27,False,7.996,351,[18]
False,en,Jojo Rabbit,8.2851,2019-10-18,False,7.995,10166,"[35, 10752, 18]"
False,en,Lawrence of Arabia,6.2814,1962-12-11,False,7.995,3311,"[12, 36, 10752]"
False,fr,La Passion de Jeanne d'Arc,2.3057,1928-04-21,False,7.994,1052,"[18, 36]"
False,en,To Kill a Mockingbird,4.4199,1962-12-20,False,7.994,2777,[18]
False,en,Casino,7.9289,1995-11-22,False,7.99,6338,"[80, 18]"
False,en,Loving Vincent,3.042,2017-06-22,False,7.99,2561,"[16, 18, 9648, 36]"
False,es,El mesero,5.1616,2021-07-15,False,7.989,356,[35]
False,en,Gran Torino,5.9151,2008-12-12,False,7.988,11301,[18]
False,ko,태극기 휘날리며,21.4803,2004-02-05,False,7.989,746,"[28, 12, 18, 36, 10752]"
False,en,The Imitation Game,17.5851,2014-11-14,False,7.988,17764,"[36, 18, 53, 10752]"
False,it,Le notti di Cabiria,2.17,1957-10-03,False,8.0,838,[18]
False,it,Rocco e i suoi fratelli,1.5282,1960-10-07,False,8.0,641,"[18, 10749]"
False,en,Barry Lyndon,4.3473,1975-12-18,False,7.987,3079,"[18, 10749, 10752, 36]"
False,en,1917,12.285,2019-12-25,False,7.985,13238,"[10752, 36, 18, 28]"
