Player,REV Give Or Take,REV Rationale,REV Points Given,REV Points Taken,REV Player Richer Than Passive Partner?,DICT Give,DICT Give Rationale,PG Keep,PG Keep Rationale,Diversity Survey Taxation Preference,Gender,Parental Income,Rich Poor,Radio Left Right Political Spectrum,Political Party,Religious Practice,Spiritual Religious,Economics Major,Law School,Volunteer Hours,Volunteer Organizations
Piggy Pig,32,I choose to give some points so it can be more neural between us,30,0,no,40,"I wanted to share a substantial portion rather than keeping everyone, balance my own payff with fairness",5,"I think it's a fifty-fifty chance, it's a safe choice",no taxation,female,$50K-$100K,lower middle-class,L2,democrat,zero,both spiritual and religious,no,no,0-1,1-5
Kali Uches,0,"Regardless of taking all or giving, it will neither give me a better score than the other player so therefore, it is pointless.",0,0,no,50,Choosing to start the game off evenly ensures trust with the other student in case they are told to choose the same amount or more.,10,This is the most points that I would end up with depending on what other players decide to give.,progressive taxation,female,$50K-$100K,lower middle-class,L7,democrat,medium,both spiritual and religious,no,yes,1-10,1-5
TEMP1041,0,I choose not to give or take because neutrality avoids harming the other player while also avoiding a personal loss.,0,0,yes,50,I chose an equal split because it is fair and maximizes the chance that both participants view the outcome as reasonable and acceptable,0,"giving 10 gets multiplied to 50 and split among 10 people, so everyone (including me) gets 5 points from my contribution alone.",progressive taxation,female,$100K-$250K,upper middle-class,L3,democrat,low,spiritual but not religious,no,yes,0-1,1-5
67onthebeat,-100,"I feel really bad, but I want a grade increase and they will still have a higher score than me after this game. ",0,96,no,60,"The connotation of dictator has me weary of this circumstances, but I hope to give and receive in abundance. ",5,I will keep half of my inventory with the hope that others donated as well and if not I will at least have some points to stabilize me.,flat tax,female,<$50K,poor,L7,indep lib,zero,both spiritual and religious,no,yes,0-1,0
Retroactivity,0,I have a high standing in the class and dont want to risk it,0,0,yes,50,I see no reason to give more without an explanation as to why,0,"If I give 10 and everyone else give 5-10 (which I am presuming) I will still have > 5 points, therefore there is no point in keeping 5",progressive taxation,female,$100K-$250K,upper middle-class,L5,indep lib,zero,spiritual but not religious,no,no,1-10,1-5
Crazy Oreo,-20,I would want to benifit but I wouldn't want to take all their points.,0,17,yes,30,By keeping 70 it secures some points for myself while also being generous by giving 30 to the other person.,5,By keeping 5 and giving 5 it balances what I want and cooperation. It shows that I’m willing to cooperate while also not risking it all,flat tax,female,$50K-$100K,lower middle-class,L4,democrat,high,both spiritual and religious,no,maybe,1-10,1-5
Ben Alpine,"","","","","",50,I see no benefit in having more points then the other student. ,"","",progressive taxation,female,$100K-$250K,upper middle-class,L7,democrat,zero,spiritual but not religious,no,maybe,0-1,0
Crazy Wrestler,-100,we will be at about the same score,0,103,no,50,Want to be balanced,10,Want to be top dawg,progressive taxation,male,$100K-$250K,middle-class,L5,democrat,medium,both spiritual and religious,no,yes,0-1,0
KingJames,-100,Maximizing points. ,0,93,yes,0,Maximizing points. ,0,Maximization. ,progressive taxation,male,<$50K,lower middle-class,R3,indep cons,low,religious but not spiritual,no,yes,10+,0
Turbo Corgi,"","","","","","","","","",progressive taxation,female,$100K-$250K,upper middle-class,L5,indep lib,zero,neither spiritual nor religious,no,maybe,0-1,1-5
Charlie the dog,-100,I'm sorry I don't trust that they would not take from me,0,103,yes,0,I honestly don't trust that the partner will want to give up any points. ,5,"I don't want to give nothing because I want to contribute, but I also want to be cautious ",flat tax,female,$100K-$250K,upper middle-class,R4,indep cons,high,religious but not spiritual,no,yes,0-1,0
TEMP1031,55,im hoping they select slightly the same option so we double our scores ,52,0,no,50,equality!,5,this way all my groupmates will receive a little less than 5 points each ,progressive taxation,female,<$50K,middle-class,L6,indep lib,zero,spiritual but not religious,no,yes,0-1,0
MachiavelliPRTeam,-100,"No incentive to cooperate means best strategic decision to defect from cooperation. Given I have more pts, they are likely to steal too",0,93,yes,0,"No incentive to give points away, means I should maximize my strategy ",5,"While giving all with the hope others do the same would give best output, this is a happy medium. ",flat tax,male,<$50K,lower middle-class,R3,indep cons,medium,religious but not spiritual,no,yes,1-10,1-5
BobaLover123,0,I don't want to give or take because the percentage is confusing me,0,0,yes,40,"I can help my partner, but also secure some for myself.",5,I am able to keep some and also help out my group,progressive taxation,female,$50K-$100K,middle-class,L3,democrat,zero,neither spiritual nor religious,no,yes,0-1,0
Astro Dog,-100,Need points,0,99,no,0,Need points,5,"This balances personal gain with cooperation, increasing total group points while still retaining some for myself.",flat tax,female,$100K-$250K,upper middle-class,L3,democrat,low,neither spiritual nor religious,no,yes,1-10,1-5
dubnation2022,-100,"I don't care about how many points an anonymous person has, I want the most. ",0,105,no,0,"I am trying to win, and therefore I'll give myself the most amount of points. ",5,I chose the middle option in case the other group members decide to keep all 10. ,flat tax,female,>$250K,upper middle-class,L6,democrat,high,both spiritual and religious,no,yes,0-1,1-5
Lucy diamond,-100,They have a much better score than me ,0,107,no,0,im weary the other student won't give me as many points,5,I’d choose to keep 5 and give 5 because it balances self-interest with cooperation.,flat tax,female,<$50K,poor,L2,indep lib,medium,both spiritual and religious,no,no,1-10,1-5
Magic Raccoon,-100,"Giving points in this case does not benefit me at all, and seeing that egoists are doing better in this class, I will be selfish ",0,100,no,50,I am not sure what the point of the game is so would like to err on the safe side by keeping half,10,I don't know the students in the class well enough to trust that I would get a return on my investment ,progressive taxation,female,<$50K,upper middle-class,L5,indep lib,low,both spiritual and religious,no,yes,0-1,1-5
MCOC13,-100,aking all yields a guaranteed gain (half of 92 = +46 points) with no downside.,0,92,no,50,An equal split is fair and treats the other person as an equal. It avoids unnecessary conflict and reflects basic norms of fairness.,10,"I feel like this is similar to the Prisoners Dilemma, Im gonna act in my own self interest and give me 10 points. ",progressive taxation,male,>$250K,middle-class,L1,republican,medium,religious but not spiritual,no,yes,0-1,1-5
Fairouz,-100,hes prolly gna yoink mine,0,95,no,0,m,10,acted in self interest,progressive taxation,male,>$250K,upper middle-class,R2,indep cons,medium,spiritual but not religious,no,maybe,1-10,1-5
Rainy Day,-100,I feel like there is going to be a catch - why not take? why would I give? is there going to be like a reveal later? ,0,99,no,0,"Since this is anonymous, there's not incentive to be generous. I'm not just trying to beat them, but the class ",10,"In a worst case scenario, nobody gives points to the group. Selfishly I don't want to end up w/ the least",progressive taxation,female,>$250K,upper middle-class,L6,democrat,low,neither spiritual nor religious,no,yes,0-1,0
soup,-96,"I don't want to take, but I think my partner will. Not taking all bc she has more pts than me--it'll be evenish if she takes too",0,97,no,0,I am in the lowest third of total points I'm sorry 💔,0,"If we all give 10, we all get 50. If we all give 5, we all get 25. I am competing with the outgroup, not our group of 10.",progressive taxation,female,>$250K,middle-class,L8,indep lib,low,spiritual but not religious,no,maybe,1-10,1-5
VenusPhoenix,-100,I have to assume the worst and that they will also take all of my points. ,0,93,yes,0,Everyone is going to choose keep 100. It's actually the fairest for everyone to keep 100. ,0,"Assuming other members will keep 5, give 5, my best investment is to give all.",flat tax,female,<$50K,middle-class,L3,democrat,zero,neither spiritual nor religious,no,no,0-1,0
Rodge_Lodge,-100,I believe that my partner will do the same,0,107,no,0,There is no benefit to sharing points for either party,0,I believe that the upside is worth the risk in this case,flat tax,male,$100K-$250K,upper middle-class,L1,indep lib,low,spiritual but not religious,no,maybe,0-1,0
Queen Elizabeth,-100,"I do not know if the other player would take all my points, something I am not willing to risk. ",0,94,yes,0,I am not sure if the other person will want to give away all their points so our pay-offs will be the same.,10,I do not know if others are going to put in points.,progressive taxation,female,$50K-$100K,lower middle-class,L3,democrat,high,both spiritual and religious,no,yes,0-1,1-5
TEMP1040,"","","","","","","","","",progressive taxation,female,$100K-$250K,upper middle-class,L10,indep lib,low,neither spiritual nor religious,no,yes,1-10,1-5
Cinders1,-100,I will take all the points because the person I am paired with has way more points than me. ,0,97,no,0,If me and the other student both want to keep 100 then we shall both stay with the same points and benefit.,5,By giving 5 points I get to keep the other 5 and still give them points in case my group is not on the same page. ,flat tax,female,$50K-$100K,poor,R1,indep lib,medium,religious but not spiritual,no,no,1-10,1-5
Ryomen Sukuna,-100,"The optimal strategy here is to give all in the hope the other person also gives all, but I have no clue who this person is.",0,100,no,0,what. why would i? give? huh?,0,"if I give 10, then I'm guaranteed to at least have 5 points?",progressive taxation,male,$50K-$100K,lower middle-class,L8,democrat,low,neither spiritual nor religious,no,maybe,0-1,0
miffy bun,10,Gets some points!,10,0,yes,100,I am willing to risk all my points and hope my partner is willing to risk it too,5,Because I'll be giving out points and keeping some for myself,flat tax,female,<$50K,poor,L6,democrat,zero,neither spiritual nor religious,no,yes,1-10,1-5
PomegranateSeed,0,Take is opportunistic and give is costly altruism; 0 avoids harming my partner while not making an uncompensated transfer.,0,0,no,50,"When one person has full control, fairness seems the most defensible principle, and a 50-50 split avoids exploiting asymmetric power.",0,"This reflects how I approach collective situations: I trust shared systems, value reciprocity, and view cooperation as responsibility.",confiscatory taxation,female,<$50K,lower middle-class,L10,democrat,medium,spiritual but not religious,no,yes,0-1,1-5
proteinstyle,5,I can do without 5% of my points,5,0,yes,50,Fair,5,I am inclined to say that this is a good middle ground. It seems fair. ,progressive taxation,female,$50K-$100K,lower middle-class,L1,democrat,high,both spiritual and religious,yes,maybe,1-10,1-5
Eric Cartman,-100,I think because I have a lot of points they will most likely take all from me.,0,90,yes,30,"I want to be fair, but I also want to protect myself so I chose something kind of in the middle.",5,"I need points myself, but also know if everyone shares we will have more as a whole so I am choosing a safe option.",progressive taxation,female,$100K-$250K,middle-class,L7,democrat,zero,spiritual but not religious,no,yes,0-1,1-5
Ivy Rain,-100,"I want to be ""top dog""",0,102,no,0,I do not want to share my points. ,5,I hope that the rest of my group also gives points up. ,flat tax,female,$50K-$100K,middle-class,L2,indep lib,medium,religious but not spiritual,no,yes,1-10,1-5
Georgiana Darcy,-1,I took 1% because I'm unsure if other students will take from me and I want to keep my score up but I feel awful taking more points,0,1,yes,0,I keep 100 because of utility maximization. I don't trust the other person to be altruistic and I want to maximize my points,5,"I want to help the group, but also have a safety net for myself if the rest of the group doesn't share",progressive taxation,female,$100K-$250K,middle-class,L1,indep lib,high,both spiritual and religious,no,yes,0-1,0
Redbird,-5,taking is personally profitable here I gain half of what I take,0,5,no,30,"Just took a little 20 off the top, hopefully it does not backfire.",10,I want it all.,confiscatory taxation,male,<$50K,lower middle-class,L7,indep cons,low,religious but not spiritual,no,no,1-10,1-5
Mononoke,0,Protect my own points.,0,0,no,0,"Maximizes personal points, guarantee outcome",5,I want to support my group.,progressive taxation,female,<$50K,middle-class,L5,democrat,high,both spiritual and religious,no,no,0-1,0
Frank Rizzo,0,gaming the system here doesnt plaease me ,0,0,yes,50,safe,5,id like to optimize self interest with also helping contribute to overall benefit,flat tax,male,$100K-$250K,upper middle-class,R3,republican,medium,both spiritual and religious,no,no,0-1,0
Valencia Orange,0,"It doesn't make sense for me to take for such a low number of points, but I don't want to give away my points either",0,0,no,0,I don't trust whoever I'm paired with because I don't know who they are; there's no in-group affinity pressure,0,Rising waters raise all boats (I am still getting 2 points back and feel altruistic),progressive taxation,female,>$250K,upper middle-class,L4,democrat,low,spiritual but not religious,no,maybe,1-10,1-5
Pookie LeBron,-100,I'm just having fun!,0,102,yes,0,This is not a bad option.,5,I want to keep some points but also hope my group wants to give some like me.,flat tax,male,$100K-$250K,middle-class,R1,republican,medium,religious but not spiritual,no,maybe,0-1,0
cardio_girl,-100,"I think most people will be taking rather than giving, since there is no redistribution or further negotiation after this game. ",0,99,yes,0,I think other students are likely to make similar decisions. ,0,"In the end, the amount is equally divided -- the more I give now the more I get at the end.",progressive taxation,female,>$250K,upper middle-class,L1,indep lib,medium,religious but not spiritual,no,no,1-10,1-5
Blawg,-100,"Daniel Craig gave only about 1/3 of the time, while I gave 2/3 of the time. I will reverse this behavior here. Sorry not sorry.",0,99,no,30,"I will keep 70 because I don't trust the students to give a perfect 50-50, so I want to bias it somewhat selfishly",0,"If there are at least 20 points in the middle, I profit. Some people may exploit the group to get a marginally better score, idrc.",confiscatory taxation,male,$100K-$250K,upper middle-class,L2,indep lib,high,both spiritual and religious,no,no,0-1,0
Running Duck,-100,trying ot be strategic,0,101,no,0,i dont trust other people to give,5,Make sure I am not at 0 but still contribute to the multiplier,progressive taxation,male,$100K-$250K,middle-class,R1,indep cons,low,spiritual but not religious,no,yes,1-10,1-5
hxrt,11,i give while still having enough,12,0,yes,50,we both equally benefit,0,That just means that we overall have more points. ,flat tax,female,$50K-$100K,middle-class,R1,indep cons,high,both spiritual and religious,no,yes,1-10,1-5
awesome sauce,-100,why lose 2x ?,0,96,yes,0,if the other student chose to keep 100 I wouldn't be mad,10,"I can free ride off others and get more points. If I give, I'll lose points no matter what",progressive taxation,female,$100K-$250K,upper middle-class,L5,democrat,low,neither spiritual nor religious,no,yes,0-1,1-5
TEMP1042,-100,I want to have more points,0,96,no,50,"50/50 is fair to me, we both get the same amount which seems like a fair thing to be doing",0,"I selected this option because I feel its the most fair, if everyone gets an equal share everyone will be satisfied",flat tax,male,$50K-$100K,poor,L5,democrat,medium,religious but not spiritual,no,yes,0-1,0
Eggos,"","","","","","","",5,I think that most people will choose this option so I could start with 5 and the rest could be multiplied.,progressive taxation,male,<$50K,poor,L5,democrat,high,religious but not spiritual,no,yes,1-10,1-5
Caniac Combo,"","","","","",50,i like to be equal,0,if everyone gives all points we get the most points possible at the end,progressive taxation,male,$50K-$100K,lower middle-class,L8,indep lib,low,spiritual but not religious,no,no,0-1,1-5
FerrousTuba,-100,I dont want to be mean but I need to get my points up !! so I choose take all,0,97,no,40,I still gave the other person a lot of points but i kept 60 to myself ,5,it was a middle ground so I think it would be the best option with the best outcome,flat tax,female,$50K-$100K,poor,L9,indep lib,medium,both spiritual and religious,no,maybe,0-1,0
Rosella Bloom,-100,"I chose to take all the points because it was the only option that increased my score, even after the halving rule.",0,100,yes,20,"I chose to share only 20 points because there is no guarantee the other would share, so I wanted to be fair but also protect myself.",10,I chose to keep 10 points because it guarantees the highest personal outcome regardless of what others choose to contribute,progressive taxation,female,<$50K,lower middle-class,L5,democrat,medium,religious but not spiritual,no,yes,0-1,1-5
Mr Sandman,0,"We are even right now, no need to take",0,0,yes,50,Why not,5,this spreads risk,flat tax,male,$50K-$100K,upper middle-class,R4,republican,zero,spiritual but not religious,no,no,0-1,0
UpsideDownInsideOut,0,I don't want to mess with Ben Alpine- I hope they get to slay,0,0,yes,0,I don't know why I would need to give points away,10,I don't think I trust my peers,flat tax,female,>$250K,rich,L5,democrat,high,both spiritual and religious,no,no,0-1,1-5
bplate survivor,-100,I don't think my decision to take their points will influence their decision to give or take points.,0,100,no,0,I don't understand why I wouldn't keep the points here,0,Its only 10 points and if everyone works together we have a chance at 50,progressive taxation,male,>$250K,upper middle-class,R5,republican,high,religious but not spiritual,no,no,0-1,0
Pretty Princess,-100,i want to gain points,0,103,no,0,Gets me the most points,0,I'll still get 5 points back at least,progressive taxation,female,<$50K,poor,L7,indep lib,zero,spiritual but not religious,no,yes,1-10,1-5
365 Buttons,-100,Since this person has a lot of points I feel like they will take from my points too.,0,102,yes,0,I feel like this is fair given that I know nothing of the other student. ,5,If everyone in the group does this it's beneficial for everyone's best interests.,progressive taxation,female,$50K-$100K,middle-class,L7,democrat,low,spiritual but not religious,no,no,0-1,1-5
TheGameMan,-100,I choose take all incase they take from me so that I can get back something.,0,97,no,30,In the event the person who is choosing for me picks a low number i would still gain a good amount and I am still giving a fair amount.,5,This is a balanced choice so no matter what I still get points and can get a multiplied score with the points I gave.,progressive taxation,male,$50K-$100K,middle-class,L2,democrat,high,both spiritual and religious,no,yes,1-10,1-5
GlossBoss25,0,I don't want either of our scores to change. ,0,0,yes,50,I like the safety of knowing I'm not losing all points while my team is not also disadvantaged. ,5,I like the safety of knowing I'm not losing all possible points.,flat tax,female,$50K-$100K,middle-class,R4,indep cons,high,both spiritual and religious,no,yes,1-10,1-5
petes dragon,"","","","","","","","","",progressive taxation,female,$50K-$100K,middle-class,L7,democrat,low,both spiritual and religious,no,maybe,0-1,0
Baseball 2026,"","","","","",0,Dog eat Dog world ,0,If everyone does this we will get 50 points each guaranteed. ,flat tax,male,$50K-$100K,middle-class,L2,indep lib,zero,neither spiritual nor religious,no,yes,0-1,1-5
Red Rock,-100,classic prisoner's dilemma situation,0,99,no,0,"if we both just keep 100, we'll have max points distributed equally. also, I never come away worse than my partner.",5,I don't know what these points are for. I might need some!,progressive taxation,male,>$250K,upper middle-class,L6,democrat,high,spiritual but not religious,no,no,0-1,0
TEMP1068,"","","","","","","","","",progressive taxation,male,<$50K,poor,R1,indep cons,medium,religious but not spiritual,no,yes,0-1,1-5
Captain Obvious,-100,"I'm being greedy, because this will even the score a little so I feel less bad doing this.",0,102,no,50,It's only fair we split the points evenly,0,"Hopefully everybody/most of my team is on the same page of optimizing total points, which will in turn grant us individual points",flat tax,female,$50K-$100K,upper middle-class,L2,democrat,zero,neither spiritual nor religious,no,maybe,0-1,1-5
FtAnastasia,83,hopefully Monoke realizes when we give away points we maximize them,70,0,no,50,middle ,5,equality baby!!,progressive taxation,female,<$50K,poor,L9,democrat,high,both spiritual and religious,no,yes,10+,1-5
GoofyGoober,100,give all away for your partner,107,0,yes,50,give half away seems only fair,0,If you can convince the whole group to share equally and give more points for the betterment of the group then you will have a lot.,progressive taxation,male,$50K-$100K,middle-class,R2,indep cons,low,religious but not spiritual,no,no,0-1,0
Water Lily,40,The other student will gain twice what I give up. ,40,0,yes,50,"I feel that this is a right choice. Either way, I'd have at least half of the total amount of points. ",5,This choice will protect me if the others in my group choose to give no points. ,no taxation,female,<$50K,lower middle-class,R2,indep cons,high,both spiritual and religious,no,maybe,0-1,0
shane080898,-55,I feel like this is a safe bet assuming the same would occur to me,0,52,yes,40,"It gives a slight edge, but does not stray far from even",5,It seems like the most fair option,flat tax,female,<$50K,upper middle-class,L4,indep lib,high,neither spiritual nor religious,no,yes,0-1,0
Blue Sky,-85,I feel like everyone is going to want to take at least some points.,0,80,yes,0,This is what benefits me the most.,10,I decided to keep the 10 points since I wasn't sure how much others would contribute.,progressive taxation,female,$50K-$100K,middle-class,R1,indep cons,low,religious but not spiritual,no,yes,0-1,1-5
LBJ,"","","","","","","","","",flat tax,male,<$50K,poor,L8,democrat,low,spiritual but not religious,no,maybe,1-10,1-5
TEMP1052,"","","","","","","","","",flat tax,female,<$50K,lower middle-class,L4,democrat,high,religious but not spiritual,no,yes,0-1,1-5
magicalduck123,-100,guaranteed 49 points,0,99,no,0,I don't want to risk my partner keeping it all so I will aswell.,0,"Assuming everyone wants the highest payoff, everyone will give 10. I'm guranteed 10 points by doing this. ",progressive taxation,female,<$50K,poor,L8,democrat,zero,neither spiritual nor religious,no,maybe,1-10,>5
Carbine164,-100,Giving my points away and not stealing points serve me no benefit. However stealing minimizes the amount taken from me ,0,99,yes,50,Maximize fairness,0,Giving the points to the group will have the greatest multiplier and in return give the most points back ,no taxation,male,$50K-$100K,middle-class,L5,republican,high,religious but not spiritual,yes,no,0-1,0
MrSquiggles,-100,"im taking everything, chances are they will too and i need points more than them",0,101,no,0,why would i not keep all the points,10,if i keep my points i have a chance of gettimg free points rather than giving my points with a chance of getting nothing in return ,progressive taxation,male,$100K-$250K,middle-class,L6,indep lib,low,religious but not spiritual,no,yes,0-1,0
dealer-one-time,0,"again, all genders share same pools",0,0,yes,50,equal split feels fair,10,ill keep the points as i cannot guarantee cooperation from others ,flat tax,male,>$250K,upper middle-class,L1,indep lib,zero,neither spiritual nor religious,yes,maybe,0-1,1-5
Daniel Craig,-21,im selfish but dont want to be mean,0,20,yes,50,be fair,5,i like to be fair,progressive taxation,male,>$250K,rich,L2,democrat,zero,neither spiritual nor religious,no,maybe,0-1,0
Green Grape,-100,I will still be 45 points ahead,0,90,yes,0,"I want to maximize self-interest, and I doubt the other person will be willing to spilt their points when they can keep all theirs too",5,I want to invest in the group as much as I can while also keeping some for myself so 50/50 is the best way to go. ,progressive taxation,female,$50K-$100K,lower middle-class,L8,democrat,medium,spiritual but not religious,no,yes,1-10,1-5
ChickenNuggets,-100,"this seems very ""every payer for themselves"" ",0,94,yes,50,fairest option ,5,Best of both worlds,progressive taxation,female,$50K-$100K,lower middle-class,L9,democrat,low,spiritual but not religious,no,maybe,1-10,1-5
JustDance,-100,this person already has more points than me ,0,99,no,0,need points sorry ,10,I want 10 points ,progressive taxation,female,<$50K,lower middle-class,L5,democrat,high,both spiritual and religious,yes,yes,0-1,0
Curly Queen,-100," my bad, ik no one wants their points taken from them.",0,106,no,30,I'll give you some points and keep some for myself.,5,"I would give 5 points since it's being multiplied, but keep 5 just incase no one wants to give points.",confiscatory taxation,female,<$50K,poor,L5,democrat,low,both spiritual and religious,no,maybe,1-10,1-5
Eucalyptus,0,I hope they do not take points from me since we both have approximately the same amount of points at stake. ,0,0,no,50,I do not want to risk being paired off with someone who gives very little and end up losing all my points. ,5,I believe that most of the class will choose the 50/50 option to help out their group. ,progressive taxation,female,$50K-$100K,lower middle-class,L5,democrat,medium,both spiritual and religious,no,maybe,0-1,0
louiefrank42,0,My partner and I are both doing well so I will keep my points,0,0,yes,50,50/50 split is most fair.,10,I trust others would choose this and I will remain with a large number of points,flat tax,female,>$250K,upper middle-class,R4,republican,high,both spiritual and religious,no,no,1-10,1-5
RigatoniBallerina,-100,i get 50 points ,0,100,no,0,This is the way I can maximize my points and I am choosing how much to give them and this is my best choice. ,0,If we all give 10 then we have more points leaving then we did coming in. ,progressive taxation,female,$100K-$250K,middle-class,L1,indep lib,medium,both spiritual and religious,no,yes,0-1,1-5
White Glint,-100,Violating public goods.,0,100,no,0,I am the dictator :D,10,"Based on the concept of rational choice theory and the Nash Equilibrium, each point I give, I lose 0.5 point anyway.",flat tax,male,<$50K,lower middle-class,L1,indep lib,low,spiritual but not religious,no,maybe,0-1,1-5
Poison Ivy,-100,Taking points increases my own score,0,90,yes,50,I’d split the points evenly because it feels fair and avoids unnecessary conflict,5,"Giving 5 gets multiplied to 25 and split across 10 people, so everyone gets 2.5 points from my contribution.",no taxation,female,>$250K,upper middle-class,R1,indep cons,high,religious but not spiritual,no,yes,0-1,1-5
Chicken Tenders,-100,I dont think or trust that someone would give their points to me ,0,96,yes,0,I want my points because the other student will do the same thing and keep their points ,0,Giving more will benefit everyone including me,progressive taxation,female,$100K-$250K,middle-class,L1,indep lib,high,both spiritual and religious,no,yes,1-10,1-5
PenName001,"","","","","","","","","",progressive taxation,male,>$250K,upper middle-class,L2,indep lib,low,spiritual but not religious,no,maybe,0-1,0
pinkprincess,"","","","","",0,I dont know or trust this random student. ,10,"I only know one person in this class, and I'm not confident that anyone in the group would give at least 5 points.",flat tax,female,$100K-$250K,middle-class,L5,indep lib,high,both spiritual and religious,no,no,1-10,1-5
Hibiscusohwhateva4.,33,"Since I don't have a lot of points, I don't want to lose too many. ",18,0,no,50,There's a chance that the other student can benefit greatly while I get to keep my points; Safest option. ,5,I chose to keep 5 to give myself some points and give 5 to others on my team under the assumption that I would recieve points as well. ,flat tax,male,$100K-$250K,lower middle-class,R1,indep cons,low,spiritual but not religious,yes,no,1-10,1-5
TEMP1057,9,"They are receiving something, while I don't lose very much.",10,0,yes,50,"I want the other student to gain as well, but there is no material reason I should give more than what keep.",5,It feels like the most practical option.,no taxation,female,$50K-$100K,lower middle-class,L9,democrat,medium,spiritual but not religious,no,no,1-10,1-5
Steve Carrell,73,My pair needs points and this will benefit her. I beleive they will do the same. ,72,0,yes,0,Guarentee myself to get points,0,Well by giving 10 that is multiplied to a much greater portion and I will end up with more than 10 anyways,flat tax,male,$100K-$250K,upper middle-class,L2,republican,low,both spiritual and religious,no,no,0-1,0
Tango,-100,"Based off their previous gameplay, I can't trust them :(",0,104,no,0,Logically it doesn't make sense to give points since they aren't being multiplied,5,This will allow me to get some profit while keeping ,progressive taxation,female,$100K-$250K,middle-class,L7,democrat,medium,both spiritual and religious,no,yes,0-1,1-5
TEMP1059,"","","","","",50,Because it is fair and treats both students equally.,0,"By giving 10 points to the group, those points are multiplied by five (becoming 50) and then evenly divided among the 10 group members,",no taxation,female,<$50K,poor,L3,democrat,low,both spiritual and religious,no,maybe,10+,1-5
