Player,REV Cum Pts Available,REV Passive Partner,REV Pp Cum Pts Available,REV % Given Or Taken,REV Rationale,REV Points Given,REV Double Points Given,REV Points Taken,REV Half Points Taken,REV Player's Active Partner Score,REV Player's Passive Partner Score,REV Player Richer Than Passive Partner?,REV Player's Total Score,PREREV Cumulative Gaming Points,POSTREV Cumulative Gaming Points,Rich Poor,Gender,Political Party,Spiritual Religious,Spirituality Religiosity,Law School,Economics Major,Hogwarts House,People Trustworthy,Students Trustworthy,Yourself Trustworthy
Charlie the dog,106,TEMP1041,103,-100,I'm sorry I don't trust that they would not take from me,0,0,103,51,51,-103,yes,51,2034,2085,upper middle-class,female,indep cons,religious but not spiritual,medium,yes,no,Hufflepuff,no,no,yes
TEMP1031,94,soup,97,55,im hoping they select slightly the same option so we double our scores ,52,104,0,0,-52,104,no,-16,1885,1869,middle-class,female,indep lib,spiritual but not religious,medium,yes,no,Gryffindor,yes,yes,yes
MachiavelliPRTeam,104,Anthony Marcus,93,-100,"No incentive to cooperate means best strategic decision to defect from cooperation. Given I have more pts, they are likely to steal too",0,0,93,46,46,-93,yes,46,2018,2064,lower middle-class,male,indep cons,religious but not spiritual,high,yes,no,Gryffindor,yes,yes,yes
BobaLover123,106,TEMP1059,98,0,I don't want to give or take because the percentage is confusing me,0,0,0,0,0,0,yes,-106,2029,1923,middle-class,female,democrat,neither spiritual nor religious,zero,yes,no,Hufflepuff,yes,yes,yes
Astro Dog,91,Running Duck,99,-100,Need points,0,0,99,49,49,-99,no,49,1839,1888,upper middle-class,female,democrat,neither spiritual nor religious,low,yes,no,Hufflepuff,no,no,no
dubnation2022,97,Pookie LeBron,105,-100,"I don't care about how many points an anonymous person has, I want the most. ",0,0,105,52,52,-105,no,32,1928,1960,upper middle-class,female,democrat,both spiritual and religious,high,yes,no,Hufflepuff,yes,yes,yes
Lucy diamond,100,Rodge_Lodge,107,-100,They have a much better score than me ,0,0,107,53,53,-107,no,-47,1968,1921,poor,female,indep lib,both spiritual and religious,medium,no,no,Gryffindor,yes,yes,yes
Magic Raccoon,96,Redbird,100,-100,"Giving points in this case does not benefit me at all, and seeing that egoists are doing better in this class, I will be selfish ",0,0,100,50,50,-100,no,50,1913,1963,upper middle-class,female,indep lib,both spiritual and religious,high,yes,no,Slytherin,no,no,yes
MCOC13,90,StonePoet,92,-100,aking all yields a guaranteed gain (half of 92 = +46 points) with no downside.,0,0,92,46,46,-92,no,-44,1822,1778,middle-class,male,republican,religious but not spiritual,high,yes,no,Slytherin,no,no,no
Fairouz,89,TheGameMan,95,-100,hes prolly gna yoink mine,0,0,95,47,47,-95,no,47,1804,1851,upper middle-class,male,indep cons,spiritual but not religious,medium,maybe,no,Slytherin,no,yes,yes
Rainy Day,95,Broadway,99,-100,I feel like there is going to be a catch - why not take? why would I give? is there going to be like a reveal later? ,0,0,99,49,49,-99,no,59,1896,1955,upper middle-class,female,democrat,neither spiritual nor religious,zero,yes,no,Ravenclaw,yes,yes,yes
soup,97,Georgiana Darcy,101,-96,"I don't want to take, but I think my partner will. Not taking all bc she has more pts than me--it'll be evenish if she takes too",0,0,97,48,48,-97,no,152,1932,2084,middle-class,female,indep lib,spiritual but not religious,medium,maybe,no,Ravenclaw,no,no,no
VenusPhoenix,102,Ryomen Sukuna,93,-100,I have to assume the worst and that they will also take all of my points. ,0,0,93,46,46,-93,yes,46,1990,2036,middle-class,female,democrat,neither spiritual nor religious,zero,no,no,Hufflepuff,no,yes,no
Rodge_Lodge,107,TEMP1057,107,-100,I believe that my partner will do the same,0,0,107,53,53,-107,no,-54,2041,1987,upper middle-class,male,indep lib,spiritual but not religious,medium,maybe,no,Ravenclaw,no,yes,yes
Queen Elizabeth,104,magicalduck123,94,-100,"I do not know if the other player would take all my points, something I am not willing to risk. ",0,0,94,47,47,-94,yes,-57,2011,1954,lower middle-class,female,democrat,both spiritual and religious,medium,yes,no,Hufflepuff,no,yes,yes
TEMP1040,"","","","","","","","","","","","","",1347,1347,upper middle-class,female,indep lib,neither spiritual nor religious,zero,yes,no,Slytherin,yes,yes,yes
Cinders1,92,Pepper Angel,97,-100,I will take all the points because the person I am paired with has way more points than me. ,0,0,97,48,48,-97,no,43,1854,1897,poor,female,indep lib,religious but not spiritual,high,no,no,Hufflepuff,no,yes,yes
Ryomen Sukuna,93,Feathers Mcgraw,100,-100,"The optimal strategy here is to give all in the hope the other person also gives all, but I have no clue who this person is.",0,0,100,50,50,-100,no,-43,1875,1832,lower middle-class,male,democrat,neither spiritual nor religious,low,maybe,no,Hufflepuff,yes,yes,yes
miffy bun,101,Rodrick7,97,10,Gets some points!,10,20,0,0,-10,20,yes,-15,1977,1962,poor,female,democrat,neither spiritual nor religious,zero,yes,no,Hufflepuff,no,no,no
PomegranateSeed,99,Mr Sandman,102,0,Take is opportunistic and give is costly altruism; 0 avoids harming my partner while not making an uncompensated transfer.,0,0,0,0,0,0,no,-99,1964,1865,lower middle-class,female,democrat,spiritual but not religious,low,yes,no,Ravenclaw,yes,yes,yes
proteinstyle,99,Rainy Day,95,5,I can do without 5% of my points,5,10,0,0,-5,10,yes,-104,1962,1858,lower middle-class,female,democrat,both spiritual and religious,medium,maybe,yes,Hufflepuff,yes,yes,yes
Eric Cartman,107,MCOC13,90,-100,I think because I have a lot of points they will most likely take all from me.,0,0,90,45,45,-90,yes,121,2046,2167,middle-class,female,democrat,spiritual but not religious,low,yes,no,Ravenclaw,no,yes,yes
Ivy Rain,93,GlossBoss25,102,-100,"I want to be ""top dog""",0,0,102,51,51,-102,no,-42,1871,1829,middle-class,female,indep lib,religious but not spiritual,low,yes,no,Ravenclaw,no,yes,yes
Georgiana Darcy,101,Cool Kat,80,-1,I took 1% because I'm unsure if other students will take from me and I want to keep my score up but I feel awful taking more points,0,0,1,0,0,-1,yes,-97,1981,1884,middle-class,female,indep lib,both spiritual and religious,high,yes,no,Hufflepuff,yes,yes,yes
Redbird,100,miffy bun,101,-5,taking is personally profitable here I gain half of what I take,0,0,5,2,2,-5,no,-98,1973,1875,lower middle-class,male,indep cons,religious but not spiritual,medium,no,no,Hufflepuff,no,no,yes
Mononoke,95,Crazy Wrestler,100,0,Protect my own points.,0,0,0,0,0,0,no,140,1904,2044,middle-class,female,democrat,both spiritual and religious,high,no,no,Ravenclaw,no,no,yes
Frank Rizzo,102,GamerWorld3,98,0,gaming the system here doesnt plaease me ,0,0,0,0,0,0,yes,-102,1990,1888,upper middle-class,male,republican,both spiritual and religious,medium,no,no,Ravenclaw,no,yes,yes
Valencia Orange,90,VenusPhoenix,102,0,"It doesn't make sense for me to take for such a low number of points, but I don't want to give away my points either",0,0,0,0,0,0,no,-90,1816,1726,upper middle-class,female,democrat,spiritual but not religious,medium,maybe,no,Ravenclaw,no,no,yes
Pookie LeBron,105,Frank Rizzo,102,-100,I'm just having fun!,0,0,102,51,51,-102,yes,-54,2026,1972,middle-class,male,republican,religious but not spiritual,low,maybe,no,Hufflepuff,no,no,yes
cardio_girl,101,louiefrank42,99,-100,"I think most people will be taking rather than giving, since there is no redistribution or further negotiation after this game. ",0,0,99,49,49,-99,yes,49,1988,2037,upper middle-class,female,indep lib,religious but not spiritual,medium,no,no,Ravenclaw,yes,yes,yes
Blawg,94,Daniel Craig,99,-100,"Daniel Craig gave only about 1/3 of the time, while I gave 2/3 of the time. I will reverse this behavior here. Sorry not sorry.",0,0,99,49,49,-99,no,-45,1883,1838,upper middle-class,male,indep lib,both spiritual and religious,high,no,no,Ravenclaw,yes,yes,yes
Running Duck,99,UpsideDownInsideOut,101,-100,trying ot be strategic,0,0,101,50,50,-101,no,-49,1954,1905,middle-class,male,indep cons,spiritual but not religious,medium,yes,no,Hufflepuff,no,no,yes
hxrt,105,butterfly queen,34,11,i give while still having enough,12,24,0,0,-12,24,yes,-117,2020,1903,middle-class,female,indep cons,both spiritual and religious,high,yes,no,Slytherin,yes,yes,yes
awesome sauce,101,bplate survivor,96,-100,why lose 2x ?,0,0,96,48,48,-96,yes,68,1987,2055,upper middle-class,female,democrat,neither spiritual nor religious,zero,yes,no,Hufflepuff,no,yes,yes
TEMP1042,93,imbatman,96,-100,I want to have more points,0,0,96,48,48,-96,no,48,1875,1923,poor,male,democrat,religious but not spiritual,medium,yes,no,Hufflepuff,yes,yes,yes
Eggos,"","","","","","","","","","","","","",1781,1781,poor,male,democrat,religious but not spiritual,medium,yes,no,Gryffindor,no,yes,yes
Caniac Combo,100,Pretty Princess,97,"","","","","","","","","",0,1970,1970,lower middle-class,male,indep lib,spiritual but not religious,low,no,no,Gryffindor,yes,yes,yes
FerrousTuba,84,ariel28,97,-100,I dont want to be mean but I need to get my points up !! so I choose take all,0,0,97,48,48,-97,no,31,1729,1760,poor,female,indep lib,both spiritual and religious,medium,maybe,no,Slytherin,no,no,no
Rosella Bloom,103,Caniac Combo,100,-100,"I chose to take all the points because it was the only option that increased my score, even after the halving rule.",0,0,100,50,50,-100,yes,-53,2007,1954,lower middle-class,female,democrat,religious but not spiritual,medium,yes,no,Hufflepuff,yes,yes,yes
Mr Sandman,102,cardio_girl,101,0,"We are even right now, no need to take",0,0,0,0,0,0,yes,0,1990,1990,upper middle-class,male,republican,spiritual but not religious,medium,no,no,Slytherin,no,no,yes
UpsideDownInsideOut,101,Ben Alpine,79,0,I don't want to mess with Ben Alpine- I hope they get to slay,0,0,0,0,0,0,yes,-101,1983,1882,rich,female,democrat,both spiritual and religious,high,no,no,Hufflepuff,no,yes,yes
bplate survivor,96,Crazy Oreo,100,-100,I don't think my decision to take their points will influence their decision to give or take points.,0,0,100,50,50,-100,no,-46,1923,1877,upper middle-class,male,republican,religious but not spiritual,high,no,no,Hufflepuff,yes,yes,yes
Pretty Princess,97,Rosella Bloom,103,-100,i want to gain points,0,0,103,51,51,-103,no,51,1927,1978,poor,female,indep lib,spiritual but not religious,low,yes,no,Hufflepuff,no,no,yes
365 Buttons,111,shane080898,102,-100,Since this person has a lot of points I feel like they will take from my points too.,0,0,102,51,51,-102,yes,-60,2080,2020,middle-class,female,democrat,spiritual but not religious,low,no,no,Hufflepuff,no,yes,yes
TheGameMan,95,dealer-one-time,97,-100,I choose take all incase they take from me so that I can get back something.,0,0,97,48,48,-97,no,-47,1895,1848,middle-class,male,democrat,both spiritual and religious,high,yes,no,Hufflepuff,no,yes,yes
GlossBoss25,102,poetic justice,97,0,I don't want either of our scores to change. ,0,0,0,0,0,0,yes,-102,1990,1888,middle-class,female,indep cons,both spiritual and religious,medium,yes,no,Hufflepuff,no,no,yes
petes dragon,"","","","","","","","","","","","","",1338,1338,middle-class,female,democrat,both spiritual and religious,low,maybe,no,Hufflepuff,yes,yes,yes
Baseball 2026,85,Charlie the dog,106,"","","","","","","","","",0,1738,1738,middle-class,male,indep lib,neither spiritual nor religious,low,yes,no,Hufflepuff,no,yes,yes
Red Rock,96,PomegranateSeed,99,-100,classic prisoner's dilemma situation,0,0,99,49,49,-99,no,-47,1916,1869,upper middle-class,male,democrat,spiritual but not religious,high,no,no,Ravenclaw,no,no,no
TEMP1068,"","","","","","","","","","","","","",1419,1419,poor,male,indep cons,religious but not spiritual,medium,yes,no,Gryffindor,no,no,yes
Captain Obvious,95,Curly Queen,102,-100,"I'm being greedy, because this will even the score a little so I feel less bad doing this.",0,0,102,51,51,-102,no,-44,1900,1856,upper middle-class,female,democrat,neither spiritual nor religious,low,maybe,no,Ravenclaw,yes,yes,yes
FtAnastasia,84,Mononoke,95,83,hopefully Monoke realizes when we give away points we maximize them,70,140,0,0,-70,140,no,-70,1731,1661,poor,female,democrat,both spiritual and religious,high,yes,no,Ravenclaw,no,no,no
GoofyGoober,107,Baseball 2026,85,100,give all away for your partner,107,214,0,0,-107,214,yes,-107,2042,1935,middle-class,male,indep cons,religious but not spiritual,medium,no,no,Hufflepuff,no,yes,yes
Water Lily,99,pinkprincess,94,40,The other student will gain twice what I give up. ,40,80,0,0,-40,80,yes,-139,1961,1822,lower middle-class,female,indep cons,both spiritual and religious,high,maybe,no,Ravenclaw,no,no,no
shane080898,102,RigatoniBallerina,94,-55,I feel like this is a safe bet assuming the same would occur to me,0,0,52,26,26,-52,yes,-76,1991,1915,upper middle-class,female,indep lib,neither spiritual nor religious,low,yes,no,Gryffindor,yes,no,yes
Blue Sky,103,King Milton,94,-85,I feel like everyone is going to want to take at least some points.,0,0,80,40,40,-80,yes,-63,1999,1936,middle-class,female,indep cons,religious but not spiritual,medium,yes,no,Hufflepuff,yes,yes,yes
LBJ,"","","","","","","","","","","","","",933,933,poor,male,democrat,spiritual but not religious,low,maybe,no,Ravenclaw,no,yes,yes
TEMP1052,"","","","","","","","","","","","","",1293,1293,lower middle-class,female,democrat,religious but not spiritual,medium,yes,no,Gryffindor,no,no,no
magicalduck123,94,proteinstyle,99,-100,guaranteed 49 points,0,0,99,49,49,-99,no,-45,1890,1845,poor,female,democrat,neither spiritual nor religious,low,maybe,no,Hufflepuff,no,no,yes
Carbine164,100,Steve Carrell,99,-100,Giving my points away and not stealing points serve me no benefit. However stealing minimizes the amount taken from me ,0,0,99,49,49,-99,yes,109,1966,2075,middle-class,male,republican,religious but not spiritual,high,no,yes,Gryffindor,no,no,yes
MrSquiggles,95,kslender,101,-100,"im taking everything, chances are they will too and i need points more than them",0,0,101,50,50,-101,no,164,1904,2068,middle-class,male,indep lib,religious but not spiritual,medium,yes,no,Slytherin,no,no,no
dealer-one-time,97,Fairouz,89,0,"again, all genders share same pools",0,0,0,0,0,0,yes,-97,1931,1834,upper middle-class,male,indep lib,neither spiritual nor religious,zero,maybe,yes,Ravenclaw,no,yes,yes
Daniel Craig,99,dubnation2022,97,-21,im selfish but dont want to be mean,0,0,20,10,10,-20,yes,-89,1953,1864,rich,male,democrat,neither spiritual nor religious,zero,maybe,no,Ravenclaw,yes,yes,yes
Green Grape,94,67onthebeat,90,-100,I will still be 45 points ahead,0,0,90,45,45,-90,yes,45,1889,1934,lower middle-class,female,democrat,spiritual but not religious,medium,yes,no,Hufflepuff,yes,yes,yes
ChickenNuggets,100,Blawg,94,-100,"this seems very ""every payer for themselves"" ",0,0,94,47,47,-94,yes,-53,1967,1914,lower middle-class,female,democrat,spiritual but not religious,medium,maybe,no,Slytherin,no,yes,yes
JustDance,96,Water Lily,99,-100,this person already has more points than me ,0,0,99,49,49,-99,no,-47,1911,1864,lower middle-class,female,democrat,both spiritual and religious,medium,yes,yes,Slytherin,no,yes,yes
Curly Queen,102,BobaLover123,106,-100," my bad, ik no one wants their points taken from them.",0,0,106,53,53,-106,no,-49,1989,1940,poor,female,democrat,both spiritual and religious,high,maybe,no,Hufflepuff,no,yes,yes
Eucalyptus,100,RedWineSupernova,103,0,I hope they do not take points from me since we both have approximately the same amount of points at stake. ,0,0,0,0,0,0,no,-10,1970,1960,lower middle-class,female,democrat,both spiritual and religious,low,maybe,no,Hufflepuff,no,no,no
louiefrank42,99,TEMP1042,93,0,My partner and I are both doing well so I will keep my points,0,0,0,0,0,0,yes,-99,1963,1864,upper middle-class,female,republican,both spiritual and religious,high,no,no,Ravenclaw,no,no,yes
RigatoniBallerina,94,Lucy diamond,100,-100,i get 50 points ,0,0,100,50,50,-100,no,-2,1879,1877,middle-class,female,indep lib,both spiritual and religious,medium,yes,no,Slytherin,no,no,yes
White Glint,95,REDROVER21,100,-100,Violating public goods.,0,0,100,50,50,-100,no,156,1899,2055,lower middle-class,male,indep lib,spiritual but not religious,low,maybe,no,Hufflepuff,no,no,no
Poison Ivy,101,Valencia Orange,90,-100,Taking points increases my own score,0,0,90,45,45,-90,yes,-56,1977,1921,upper middle-class,female,indep cons,religious but not spiritual,medium,yes,no,Slytherin,no,no,yes
Chicken Tenders,99,Red Rock,96,-100,I dont think or trust that someone would give their points to me ,0,0,96,48,48,-96,yes,48,1956,2004,middle-class,female,indep lib,both spiritual and religious,medium,yes,no,Hufflepuff,no,yes,yes
PenName001,"","","","","","","","","","","","","",591,591,upper middle-class,male,indep lib,spiritual but not religious,low,maybe,no,Gryffindor,no,no,yes
pinkprincess,94,ceruleanchameleon,99,"","","","","","","","","",0,1885,1885,middle-class,female,indep lib,both spiritual and religious,high,no,no,Hufflepuff,yes,yes,yes
Hibiscusohwhateva4.,56,TEMP1031,94,33,"Since I don't have a lot of points, I don't want to lose too many. ",18,36,0,0,-18,36,no,172,1216,1388,lower middle-class,male,indep cons,spiritual but not religious,high,no,yes,Ravenclaw,yes,yes,yes
TEMP1057,107,awesome sauce,101,9,"They are receiving something, while I don't lose very much.",10,20,0,0,-10,20,yes,-117,2044,1927,lower middle-class,female,democrat,spiritual but not religious,medium,no,no,Ravenclaw,yes,yes,yes
Steve Carrell,99,Rose Skye,91,73,My pair needs points and this will benefit her. I beleive they will do the same. ,72,144,0,0,-72,144,yes,-171,1957,1786,upper middle-class,male,republican,both spiritual and religious,low,no,no,Slytherin,yes,yes,yes
Tango,101,Queen Elizabeth,104,-100,"Based off their previous gameplay, I can't trust them :(",0,0,104,52,52,-104,no,52,1978,2030,middle-class,female,democrat,both spiritual and religious,high,yes,no,Hufflepuff,yes,yes,yes
TEMP1059,98,SilverSlay,41,"","","","","","","","","",0,1951,1951,poor,female,democrat,both spiritual and religious,high,maybe,no,Hufflepuff,no,no,no
TEMP1069,106,Green Grape,94,"","","","","","","","","",0,2032,2032,upper middle-class,male,indep lib,religious but not spiritual,medium,no,yes,Gryffindor,no,no,no
bluecat3,"","","","","","","","","","","","","",1284,1284,middle-class,female,democrat,spiritual but not religious,high,maybe,no,Ravenclaw,yes,yes,yes
Cool Kat,80,Piggy Pig,95,-100,"They have points to spare, I benefit from this more than them",0,0,95,47,47,-95,no,46,1644,1690,poor,male,democrat,both spiritual and religious,low,yes,no,Slytherin,no,yes,yes
butterfly queen,34,TEMP1061,103,"","","","","","","","","",0,820,820,lower middle-class,female,democrat,religious but not spiritual,medium,yes,no,Hufflepuff,no,yes,yes
Broadway,99,Friendly Narwal,103,-100,I should take all their points to maximize my gain and lower the median.,0,0,103,51,51,-103,no,-48,1957,1909,upper middle-class,male,indep lib,neither spiritual nor religious,zero,maybe,no,Gryffindor,no,no,no
TEMP1066,101,MrSquiggles,95,56,"Giving opponent this amount of points allows them to grow, while still not reaching the amount of point I'm starting with",57,114,0,0,-57,114,yes,-67,1982,1915,middle-class,female,democrat,neither spiritual nor religious,zero,no,no,Gryffindor,no,no,yes
kslender,101,Astro Dog,91,"","","","","","","","","",0,1977,1977,poor,female,democrat,religious but not spiritual,high,yes,no,Ravenclaw,no,no,no
TEMP1061,103,hxrt,105,-100,I take an egoist approach.,0,0,105,52,52,-105,no,52,2002,2054,upper middle-class,female,indep lib,neither spiritual nor religious,zero,yes,no,Ravenclaw,yes,yes,yes
King Milton,94,Great One,98,-100,"I am taking all because I expect the other person to take points if given the chance, so this choice protects my score",0,0,98,49,49,-98,no,-31,1882,1851,upper middle-class,female,indep lib,both spiritual and religious,medium,yes,no,Slytherin,no,yes,yes
Pepper Angel,97,Captain Obvious,95,-100,I don't think they will give because they have lower points.,0,0,95,47,47,-95,yes,-50,1931,1881,middle-class,female,democrat,spiritual but not religious,medium,yes,no,Hufflepuff,no,yes,yes
poetic justice,97,goldenretriever31,38,100,Since golden retriever is struggling i would give all plus it looks like I’m doing pretty well,97,194,0,0,-97,194,yes,-97,1931,1834,lower middle-class,male,democrat,both spiritual and religious,medium,yes,no,Hufflepuff,no,yes,yes
Feathers Mcgraw,100,Chicken Tenders,99,0,We're both in a very similar boat - I just want to let us be.,0,0,0,0,0,0,yes,-100,1966,1866,upper middle-class,female,democrat,neither spiritual nor religious,low,yes,no,Slytherin,yes,yes,yes
Anthony Marcus,93,GoofyGoober,107,"","","","","","","","","",0,1868,1868,middle-class,male,indep cons,religious but not spiritual,medium,yes,no,Ravenclaw,no,yes,yes
King CDub,"","","","","","","","","","","","","",1755,1755,middle-class,male,democrat,religious but not spiritual,medium,no,no,Ravenclaw,no,no,yes
TEMP1063,82,FtAnastasia,84,"","","","","","","","","",0,1696,1696,lower middle-class,female,democrat,spiritual but not religious,medium,yes,no,Ravenclaw,no,no,yes
TEMP1064,"","","","","","","","","","","","","",1728,1728,lower middle-class,male,indep lib,neither spiritual nor religious,low,maybe,no,Gryffindor,no,yes,yes
Random Bobby,"","","","","","","","","","","","","",402,402,middle-class,male,indep cons,neither spiritual nor religious,zero,maybe,no,Hufflepuff,no,no,no
GamerWorld3,98,365 Buttons,111,-100,Top Dawg,0,0,111,55,55,-111,no,55,1941,1996,poor,female,indep cons,both spiritual and religious,medium,yes,no,Hufflepuff,no,yes,yes
REDROVER21,100,Omega Tron,105,-100,it makes the most sense,0,0,105,52,52,-105,no,-48,1970,1922,upper middle-class,male,republican,religious but not spiritual,low,no,no,Gryffindor,yes,yes,yes
water77,"","","","","","","","","","","","","",213,213,"","","","","","","","","","",""
goldenretriever31,38,Eric Cartman,107,100,"You're welcome, Eric Cartman. ",38,76,0,0,-38,76,no,156,897,1053,upper middle-class,female,indep lib,religious but not spiritual,high,maybe,no,Ravenclaw,no,yes,yes
SilverSlay,41,ChickenNuggets,100,-100,"Even if my partner chooses to take 100% of my points, I will still gain 9 points because I am guaranteed to gain 50 from them.",0,0,100,50,50,-100,no,50,956,1006,middle-class,male,democrat,both spiritual and religious,medium,yes,no,Hufflepuff,no,no,no

