Player,Born into Which Country (You),Born into Which Country (1 in 330 mio people USA),Born into Which Country Rationale,Which Income Distribution is USA?,USA Rationale
Astro Dog,nearly equal,maximally equal,Being born into a nearly equal society has the best balance between fairness and opportunity. ,somewhat unequal,Because the United States has more income inequality than Sweden but less inequality than Colombia
dubnation2022,maximally equal,very unequal,"I believe the less poor people you have, the less activism and thus less programs for the poor there will be. ",nearly equal,I do not believe that more than half of the country would be in the highest quintile I also believe 9% would be in the lowest quintile.
Lucy diamond,nearly equal,maximally equal,"I would choose the nearly equal country, because it balances fairness with incentives and opportunity.",highly unequal,The U.S. has high income concentration in the top quintile.
Magic Raccoon,maximally equal,maximally equal,"I think true equality, when not used as a mask to boost the power of leaders, is a good thing that should be encouraged ",highly unequal,"In the U.S, the top 2% hold a lot of control both over the economy and the way the country is run"
MCOC13,nearly equal,maximally equal,"A nearly equal society balances fairness with incentives, most people have access to basic security and opportunity.",highly unequal,"The U.S. has much higher income inequality than Sweden and is more top-heavy than Colombia, though not maximally unequal."
Fairouz,somewhat unequal,somewhat unequal,still ability to have vertical mobility w meritocratic attributes,somewhat unequal,a lot of the wealth is controlled by 1% but not all and there is room for vertical mobility
Rainy Day,nearly equal,nearly equal,In a perfect world wealth could be distributed equally but I think some competition is needed to avoid economic stagnation. ,somewhat unequal,"Sweden known for even wealth distribution, Colombia suffers from more poverty, U.S. struggles with wealth inequality "
soup,maximally unequal,maximally equal,I mean I think that's kind of where I already live.,nearly equal,I have no idea. I think Colombia might have the worst inequality?
VenusPhoenix,somewhat unequal,nearly equal,there must be a significant income difference in order to prioritize some more important/difficult jobs than others. ,highly unequal,There are many people in the United States that are especially rich and many in the United States that are especially poor. 
Rodge_Lodge,nearly equal,nearly equal,I think that both excessive income inequality and total income equality may lead to stagnating innovation. ,somewhat unequal,"I would guess that the US would represent the middle one, as Sweden has a heavy taxation system and Colombia has high income inequality"
Queen Elizabeth,nearly equal,maximally unequal,I chose nearly equal because it is one of the portions that have a low lowest quintile.,somewhat unequal,The United States has a very high inequality income distribution and other countries are corrupt.
TEMP1040,maximally equal,maximally equal,"I want to live in a society that treats everybody as equals. Even if it is idealistic, it is simply the most fair.",highly unequal,"Income in the United States is unevenly distributed, with a significant share going to the wealthiest group. "
Cinders1,maximally equal,maximally equal,I would like to be born in a country where everyone has equal probability of financial success.,highly unequal,The US is known to be very unequal in its income distribution so I think highly unequal fits the U.S best.
Ryomen Sukuna,nearly equal,nearly equal,"Maximally equal seems too good to be true, so I chose the next best option.",somewhat unequal,Marginally different from highly unequal. I know that the top 20 have more than 50%.
miffy bun,somewhat unequal,somewhat unequal,"Minimizes the lowest income quintile. Yet differentiates, but the highest doesn’t dominate and being born poor isn’t a life sentence.",highly unequal,The highest quintile demands disproportionate share dominantes the U.S. (even elections.) The lowest would struggle.
PomegranateSeed,maximally equal,maximally equal,"I want to minimize the role of ""luck"" at birth in determining life outcomes = increase likelihood of collective access to social goods",highly unequal,The U.S. has a much larger income share concentrated in the highest quintile than other advanced economies = less even distributions
proteinstyle,maximally equal,somewhat unequal,I think it would be cool if income distribution were equal.,highly unequal,I think that the rich are really rich to a point where it is hard for people that want to get out of the middle class to ever catch up.
Eric Cartman,nearly equal,nearly equal,I wouldn't live somewhere where one quintile has majority power as money means power. I think gridlock could happen if we are the same.,somewhat unequal,"Columbia I know has worse income inequality than the US, but the rich here still do hold a lot of power."
Ivy Rain,somewhat unequal,somewhat unequal,I would chose somewhat unequal because the reward for the highest quantile is large and the the risks are less extreme then others.,highly unequal,"The US is represented by the highly unequal option. Given the history of US inequality, I can assume that they are the extreme end."
Georgiana Darcy,nearly equal,nearly equal,"So people have a relatively stable baseline, but have room to climb up the ladder. This promotes goal-orientation and hard work.",somewhat unequal,"Through process of elimination, I think Sweden is ""nearly equal"" and Colombia is ""very unequal,"" so America would have to be the other"
Redbird,maximally equal,nearly equal,"Everyone has a shot, some may be better or worse, but the margins are better, I don't want my wellbeing dependent on luck (rich/poor).",somewhat unequal,"Sweden has historically done better than the U.S, Columbia seems a bit more unequal so I went with the middle choice."
Mononoke,maximally equal,maximally equal,"This offers better health, happiness, and opportunity for everyone.",maximally equal,It guarantees a decent life no matter where I am born.
Frank Rizzo,somewhat unequal,nearly equal,this best values a society that balances opporotunity with reward and doesn't fall to autocracy,highly unequal,top level income earns much more than everyone else
Valencia Orange,maximally equal,maximally equal,Seems the most morally correct,highly unequal,It just makes sense - I know something like 60% of people live paycheck to paycheck in the US
Pookie LeBron,maximally equal,maximally equal,I want equality when it comes to income shares.,highly unequal,"I think the richest people in America are the overwhelming majority, and this is the option where the highest quintile is the greatest."
cardio_girl,nearly equal,nearly equal,would prefer to live in a world with less inequality. ,highly unequal,The wealth-gap in the US is very large and highly unequal wealth distribution (top 1% have over the top) 
Blawg,nearly equal,nearly equal,"Historically, equal means communism or anarchy, so the best is nearly equal.",highly unequal,"The wealth inequality in the US is suffocating and killing our country. Sweden is socialist, and Columbia is just poor."
Running Duck,nearly equal,nearly equal,"I think life should include a more balanced in income among people, but capitalism works in a way of effort to reward",highly unequal,"Knowing the USA, there is large inequality"
hxrt,maximally equal,very unequal,It is the most equally distributed.,highly unequal,The gap between high earners and everyone else is wide
awesome sauce,nearly equal,nearly equal,Opportunity to have a little more than what you need sounds nice.,somewhat unequal,Highest percentile has biggest share of wealth
TEMP1042,maximally equal,nearly equal,"Im not sure I feel like this is the most normal one to live in, I feel like it has a good structure ",highly unequal,I think the U.S says we are equal but realistically we really arent and this chart demonstrates that
Eggos,maximally unequal,maximally unequal,I dont like being poor.,highly unequal,The united states is very unequal although compared to other months its seems to be equal
Caniac Combo,maximally equal,maximally equal,"Everyone has the same share of income, every person is equal",somewhat unequal,we are in a k shaped economy where the wealthy have more share of wealth and do better than everyone else
Rosella Bloom,nearly equal,maximally equal,I would choose a nearly equal country because it offers fair access to basic needs while still allowing people improve their income.,highly unequal,"The United States has significantly higher income inequality than Sweden, but less extreme than Colombia, which fits the highly unequal"
Mr Sandman,nearly equal,nearly equal,"If I understand this right, I would prefer nearly equal-unequal because there's an incentive on becoming the highest quintile? I think?",somewhat unequal,"If I had to guess, we're in the middle. "
UpsideDownInsideOut,nearly equal,nearly equal,"Although the opportunity for greater luck and life is there, I'm afraid of risking my wellbeing.",highly unequal,"Income inequality in the U.S. is most obvious in the upper class. Most Americans are not in poverty, but the divide is still large."
bplate survivor,maximally equal,somewhat unequal,I think having equal quintiles promotes hard work and ambition.,somewhat unequal,"Thinking of the top 20% of earners, I just dont think it exceeds 20% of the population."
Pretty Princess,maximally unequal,maximally unequal,"Kinda confused: I think this is the wealthiest country and thats where I'd prefer to live, less chance of being in lower quintile.",highly unequal,The U.S has an unequal distribution
365 Buttons,nearly equal,maximally equal,"Consumerism/Capitalism requires income inequity to thrive. However, I would want a less drastic inequity for a balanced economy.",highly unequal,"The U.S. has a very unequal income distribution, seeing as the wealth gap is drastic between billionaires and the lower class. "
TheGameMan,nearly equal,nearly equal,I believe that those who do more difficult and important work deserve more for their effort but that it should still be somewhat equal.,highly unequal,I think this represents the United States as it lines up with what most people know about income in the US.
GlossBoss25,nearly equal,maximally equal,It just seems like a good choice.,somewhat unequal,It seems like it would be correct.
petes dragon,nearly equal,maximally equal,"I would say I am middle to upper middle class, so nowhere near rich enough to want inequality badly enough to be evil",highly unequal,The USA is a very unequal country and we all know this
Baseball 2026,somewhat unequal,somewhat unequal,"Maximmally equal is communism, and maximally unequal is a dictatorship. I think somewhat to very unequal is more capitalist. ",highly unequal,That's capitalism. 
Red Rock,maximally equal,maximally equal,highest chance I have closest income to normal.,somewhat unequal,"The US is famous for income inequality, but I would guess that it's not the worst in the world"
TEMP1068,somewhat unequal,maximally equal,"We profit off of income inequality. Low income jobs are scarce, only occupied by people that specialize in a particular trade. ",highly unequal,The U.S. fosters a large population of immigrants along with minority groups that lack higher education to pursue careers.
Captain Obvious,somewhat unequal,maximally equal,"It's pretty equal, and seems to favor the middle class",highly unequal,"The divide between the top earners, and the middle class in the U.S. is massive"
FtAnastasia,very unequal,somewhat unequal,I choose to live in the US ,highly unequal,Its just unequal 
GoofyGoober,maximally equal,maximally equal,I feel that the playing field should be equal for everyone.,somewhat unequal,I feel that the U.S. would be the country to not keep it equal. 
Water Lily,nearly equal,maximally equal,The nearly equal country offers strong fairness and social stability while also allowing some income differences and opportunity. ,somewhat unequal,The U.S. is less equal than Sweden but not as unequal as Columbia. 
shane080898,nearly equal,nearly equal,I think that this allows for more opportunity for wealth,highly unequal,The united states has the greatest wealth disparity wth a lot of power in the higer quintile of income.
Blue Sky,nearly equal,maximally equal,Because I believe that it still allows some differences in income that can motivate people to work and improve. ,highly unequal,"Because income inequality in the U.S. is higher than in Sweden and Colombia, with a larger share of income going to the higher quintile"
TEMP1052,very unequal,nearly equal,We have numerous people here suffering from unequal inequality a very large gap.,highly unequal,"I chose highly unequal because the United States has significant income inequality, with the top quintile earning a much larger share."
magicalduck123,nearly equal,nearly equal,I would choose the nearly equal country because it gives most people a fair chance at a good life.,highly unequal,The United States is the highly unequal pie chart because the top income quintile receives a much larger share of total income.
Carbine164,nearly equal,maximally equal,Some people work harder than others and contribute more to society therefore they should awarded.,somewhat unequal,I believe the US is somewhat unequal because the rich tend to get richer while the poor struggle to survive
MrSquiggles,maximally equal,maximally equal,i would want all income quintiles to have equally shared income shares,highly unequal,i believe the US has a higher concentration of wealth and income than the other countries
dealer-one-time,nearly equal,nearly equal,provides high social stability while maintaining atleast small incentives for  innovation,highly unequal,as the US has high income inequality where the top 20% earns over half the total income
Daniel Craig,somewhat unequal,somewhat unequal,Life does not work if it is not unequal  ,somewhat unequal,sweden is the happiest 
Green Grape,maximally equal,maximally equal,I would like to have the same opportunties as everyone else and I wouldn't want to live in a country where people are struggling more. ,somewhat unequal,It is most defintely different today but I believe the income distribution in the U.S. from 2014 is somewhat to highly unequal
ChickenNuggets,maximally equal,maximally equal,Maximally equal reduces the possibility for income or power gaps which seems to be the best option throughout.,highly unequal,The US is known to have massive gaps in income inequality so I assume it would be the highly unequal chart.
JustDance,maximally equal,maximally equal,i would want finacial diversity. i think its best for the economy ,somewhat unequal,"i think that sweeden would be the most equal, and colombia the most unequal because of thier high poverty rates. so US would be middle "
Curly Queen,maximally equal,maximally equal,"If everything was equal, less people would be suffering and we would be at peace.",somewhat unequal,The U.S has inequality but it's not maximum and it's not that equal either. 
Eucalyptus,maximally equal,maximally equal,All the other options have too big of a share for the highest quintile which makes it an unappealing arrangement. ,highly unequal,The amount of shares the highest quintile seems to be the most accurate. 
louiefrank42,somewhat unequal,somewhat unequal,This choice provides societal structure without high levels of disparity.,somewhat unequal,"This seems right to me, but the low income section seems surprisingly small in all choices."
RigatoniBallerina,somewhat unequal,very unequal,"It’s important to have some level of equity where people have access to basic essentials like healthcare, education, food.",somewhat unequal,The US has a high disparity of wealth with the wealthy being extremely wealthy and the poor being very poor.
White Glint,nearly equal,maximally equal,"A nearly equal society means while having a more balanced distribution of resources, effort will still be rewarded with better life.",somewhat unequal,"The US falls somewhere in between: it is significantly more unequal than Sweden, but generally not as extreme as Colombia."
Poison Ivy,maximally unequal,maximally equal,"it gives everyone the fairest starting point, decreasing how much life chances depend on luck rather than effort",somewhat unequal,"Sweden is well known for low income inequality, Colombia has very high inequality, and the U.S. falls between them"
Chicken Tenders,somewhat unequal,nearly equal,So that people have a chance of social mobility but also have incentive to work hard and contribute to the wellbeing of the gen. pop. ,somewhat unequal,"Although democracy is present, the difference btwn opportunities in communities and education hinder an individual's ability to suceed"
pinkprincess,somewhat unequal,somewhat unequal,I think its the most reasonable option. ,maximally equal,I think there are a lot of people with the highest earning income in the US. 
TEMP1057,nearly equal,somewhat unequal,I wanted so somewhat minimize those in the lower percentile,highly unequal,This country often feels as if this these individuals who hold high wealth  are those disproportionately accommodated by law. 
Steve Carrell,nearly equal,very unequal,Giving the opportunity for growth and wealth while balancing the majority in the lower quintiles.,nearly equal,I feel like the middle class has grown largely in the US while shrinking both the upper and lower classes. 
Tango,maximally equal,maximally equal,"I think where there is equality, people can thrive better. There is no power distribution in this option.",somewhat unequal,I think those who are quite wealthy take a fair share of income. 
TEMP1059,maximally equal,maximally equal,"offers the best chances for everyone to have access to resources and opportunities, making life fairer and reducing inequality.",somewhat unequal,"its income distribution shows moderate inequality, with the top quintile earning significantly more than the bottom."
TEMP1069,very unequal,maximally equal,very unequal,highly unequal,thats usa
bluecat3,somewhat unequal,nearly equal,I think equality is good but also there need to be people to create jobs and some jobs are worth more money than others.,somewhat unequal,I think sweden is nearly equal and colombia is highly unequal so we would be the one in the middle
Cool Kat,maximally equal,nearly equal,Benefits the most amount of people the same; I know what I can expect,highly unequal,The poor really get screwed over by late stage capitalism 
butterfly queen,maximally equal,maximally equal,"I'd feel valued, appreciated and seen where I am maximally equal to others. ",highly unequal,"Right now, given the circumstances of our governments I believe we might be the lowest of the three. "
Broadway,nearly equal,nearly equal,It seems like a reasonable distribution of wealth in accordance with what we'd believe to be effort or ingenuity.,highly unequal,I believe that the U.S. has the most egregious income inequality.
TEMP1066,nearly equal,somewhat unequal,The nearly equal society still leaves some room for mobility without simultaneously hurting the masses,somewhat unequal,"the rich are very rich, there are some that can comfortably get by, but the cost of this is there are many who are greatly struggling "
kslender,nearly equal,nearly equal,I think not everything should be equal (like communism) you need some diversity some inequality but not a big gap in between. ,highly unequal,"I wouldn't say it's the most unequal but it's definitely second place, due to homelessness and high wage/income gaps"
TEMP1061,somewhat unequal,maximally equal,I would try my chances with being born into a population with more resources. ,somewhat unequal,"The top percentage of the country own a lot of resources, but there is still a large number of Americans that don't. "
King Milton,maximally equal,maximally equal,"I would prefer a country where people have equal chances in life, no matter what family they are born into",somewhat unequal,I picked this answer choice because it is not as equal as Sweden/not as extreme as Columbia
Pepper Angel,nearly equal,nearly equal,"If everything was equal, people would not ever be satisfied. ",nearly equal,"I think the US has the least amount of high income, therefore I picked the one with the least high income percent."
poetic justice,maximally equal,maximally equal,This seems like the most fair scenario. ,highly unequal,I think this represent the US the best. 
Feathers Mcgraw,maximally equal,maximally equal,Income equality focuses society to secure benefits and priviledges for all groups on an even playing field ,somewhat unequal,"Comparing it with ""very unequal"" Colombia, I concluded that the U.S. has a larger middle class"
Anthony Marcus,maximally equal,maximally equal,"I chose maximal equality because equal shares ensure fairness, stability, and equal opportunity for everyone",highly unequal,The United States has large income gaps with significant concentration of wealth at the top
King CDub,nearly equal,maximally unequal,“I would choose a nearly equal country because it combines broad fairness and social stability with some room for differences in reward,somewhat unequal,"“The United States has noticeably more income inequality than Sweden (which would match the nearly equal chart), but it is generally le"
TEMP1063,maximally equal,maximally equal,I'm not sure but I feel this is where happiness could be maximized.,highly unequal,There is so much poverty and large gaps between classes.
TEMP1064,nearly equal,maximally equal,"It balances fairness with opportunity, offering a high chance of stability while still allowing differences in income.",highly unequal,"Compared to Sweden and Colombia, the U.S has much greater income concentration at the top and weaker income equality overall."
GamerWorld3,maximally equal,maximally equal,I would think even distribution might be better.,maximally unequal,I believe the US has income up to the 1%.
REDROVER21,nearly equal,maximally equal,nothing is perfect so nearly equal,nearly equal,I am not sure 

