Sample,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Acid digest T (°C),Temperature,Acid correction factor,Reference
2020TR99-R3,-6.14 ,-12.74 ,/,0.662 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
BZG-J2z-2(1),-3.33 ,-9.66 ,/,0.529 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
BZG-J2z-2(1),-3.32 ,-9.65 ,/,0.543 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
BZG-J2z-2(1),-3.35 ,-9.68 ,/,0.502 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-J2s-07(1),-0.76 ,-7.49 ,/,0.577 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-J2s-07(1),-0.70 ,-7.30 ,/,0.536 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-J2s-07(1),-0.63 ,-7.29 ,/,0.595 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-J2s-07(2),-0.26 ,-6.29 ,/,0.549 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-J2s-07(2),-0.25 ,-6.20 ,/,0.564 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-J2s-07(2),-0.26 ,-6.25 ,/,0.587 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-01(2),-3.98 ,-11.86 ,/,0.499 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-01(2),-3.96 ,-11.90 ,/,0.497 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-01(2),-4.05 ,-11.92 ,/,0.557 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-04(1),-6.10 ,-10.33 ,/,0.547 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-04(1),-6.04 ,-10.43 ,/,0.570 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-04(1),-6.03 ,-10.44 ,/,0.579 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-04(3),-5.23 ,-10.23 ,/,0.551 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-04(3),-5.25 ,-10.25 ,/,0.574 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-04(3),-5.25 ,-10.27 ,/,0.499 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
HS-K1h-04(3),-5.25 ,-10.31 ,/,0.567 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
LX-K1-2(2),-5.43 ,-6.52 ,/,0.579 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
LX-K1-2(2),-5.42 ,-6.43 ,/,0.629 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
LX-K1-2(2),-5.43 ,-6.49 ,/,0.563 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
LX-K1-5(1),-3.04 ,-8.23 ,/,0.557 ,90,,0.088,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 236."
