Year,Month,Category,Series,Monthly Sales
2023,1,轿车,帝豪新能源,2044
2023,1,轿车,沃尔沃S90,1997
2023,1,轿车,福瑞迪,1997
2023,1,轿车,捷达VA3,1986
2023,1,轿车,奔腾B70,1882
2023,1,轿车,奔驰E级新能源,1878
2023,1,轿车,北京EU5,1725
2023,1,轿车,大众CC,1718
2023,1,轿车,凌派,1711
2023,1,轿车,大众ID.3,1614
2023,1,轿车,迈锐宝XL,1590
2023,1,轿车,君越,1583
2023,1,轿车,吉利几何A,1563
2023,1,轿车,哪吒S,1517
2023,1,轿车,骏行,1500
2023,1,轿车,迈腾GTE,1490
2023,1,轿车,凡尔赛C5 X,1441
2023,1,轿车,启辰D60EV,1406
2023,1,轿车,小鹏P5,1389
2023,1,轿车,沃尔沃S60,1378
2023,1,轿车,林肯Z,1365
2023,1,轿车,东风风神E70,1323
2023,1,轿车,福克斯,1283
2023,1,轿车,欧拉闪电猫,1283
2023,1,轿车,宝马5系新能源,1249
2023,1,轿车,逸动新能源,1182
2023,1,轿车,欧拉好猫,1148
2023,1,轿车,MG4,1098
2023,1,轿车,享域,1076
2023,1,轿车,宝马1系,1053
2023,1,轿车,凌宝BOX,1045
2023,1,轿车,小蚂蚁,1035
2023,1,轿车,小鹏P7,1022
2023,1,轿车,MG6,947
2023,1,轿车,凌尚,927
2023,1,轿车,威驰FS,917
2023,1,轿车,悦动,888
2023,1,轿车,起亚K3,810
2023,1,轿车,红旗H9,808
2023,1,轿车,羿,781
2023,1,轿车,亚洲狮,780
2023,1,轿车,雪铁龙C5 X新能源(进口),722
2023,1,轿车,骐达,676
2023,1,轿车,捷豹XEL,649
2023,1,轿车,捷豹XFL,634
2023,1,轿车,五菱Air ev晴空,632
2023,1,轿车,枫叶60s,629
2023,1,轿车,标致408,587
2023,1,轿车,风行S50EV,571
2023,1,轿车,荣威i6 MAX新能源,556
2023,1,轿车,帕萨特新能源,529
2023,1,轿车,蔚来ET7,521
2023,1,轿车,零跑T03,501
2023,1,轿车,宝骏KiWi EV,482
2023,1,轿车,LA FESTA菲斯塔,465
2023,1,轿车,凯迪拉克CT4,442
2023,1,轿车,微蓝6,431
2023,1,轿车,明锐,414
2023,1,轿车,凯迪拉克CT6,413
2023,1,轿车,奥迪A6L新能源,367
2023,1,轿车,元宝,362
2023,1,轿车,本田LIFE,358
2023,1,轿车,YOUNG光小新,353
2023,1,轿车,艾瑞泽5e,337
2023,1,轿车,启辰D60,336
2023,1,轿车,索纳塔,323
2023,1,轿车,奔驰C级新能源,319
2023,1,轿车,奥迪A7L,304
2023,1,轿车,英菲尼迪Q50L,295
2023,1,轿车,奔驰EQE,289
2023,1,轿车,沃尔沃S90新能源,284
2023,1,轿车,风光MINIEV,283
2023,1,轿车,智己L7,278
2023,1,轿车,阿特兹,277
2023,1,轿车,凌宝Uni,272
2023,1,轿车,昕锐,225
2023,1,轿车,红旗H7,214
2023,1,轿车,零跑C01,212
2023,1,轿车,起亚K5凯酷,194
2023,1,轿车,思皓花仙子,186
2023,1,轿车,极狐 阿尔法S(ARCFOX αS),184
2023,1,轿车,小虎FEV,162
2023,1,轿车,福睿斯,155
2023,1,轿车,卡罗拉双擎E+,146
2023,1,轿车,逸动DT,141
2023,1,轿车,荣威i6 MAX,139
2023,1,轿车,易至EV3,139
2023,1,轿车,逸达,130
2023,1,轿车,凯越,126
2023,1,轿车,e爱丽舍,122
2023,1,轿车,宝骏E200,111
2023,1,轿车,辉昂,110
2023,1,轿车,奔驰A级AMG,108
2023,1,轿车,速派,107
2023,1,轿车,富康ES600,104
2023,1,轿车,飞凡ER6,103
2023,1,轿车,悦纳,93
2023,1,轿车,宝骏RC-5,87
2023,1,轿车,荣威Ei5,87
2023,1,轿车,无界PRO,67
2023,1,轿车,标致508,66
2023,1,轿车,合创A06,65
2023,1,轿车,欧拉芭蕾猫,62
2023,1,轿车,沃兰多,60
2023,1,轿车,畅巡,57
2023,1,轿车,思皓爱跑,57
2023,1,轿车,吉利几何G6,56
2023,1,轿车,雪铁龙C6,55
2023,1,轿车,沃尔沃S60新能源,54
2023,1,轿车,传祺GA6,52
2023,1,轿车,易至EV2,48
2023,1,轿车,名图,39
2023,1,轿车,锐程CC,27
2023,1,轿车,焕驰,26
2023,1,轿车,名爵6新能源,20
2023,1,轿车,YARiS L 致享,11
2023,1,轿车,绎乐,10
2023,1,轿车,广汽丰田iA5,8
2023,1,轿车,传祺GA8,7
2023,1,轿车,DS 9,6
2023,1,轿车,雷凌双擎E+,5
2023,1,轿车,DS 9新能源,2
2023,1,轿车,A5翼舞,2
2023,1,轿车,宝马2系旅行车,1
2023,1,轿车,起亚K3新能源,1
2023,2,轿车,宏光MINIEV,30267
2023,2,轿车,秦PLUS,27434
2023,2,轿车,轩逸,26102
2023,2,轿车,海豚,22682
2023,2,轿车,朗逸,21269
2023,2,轿车,AION S,16827
2023,2,轿车,速腾,14527
2023,2,轿车,凯美瑞,14401
2023,2,轿车,雅阁,13218
2023,2,轿车,雷凌,13197
2023,2,轿车,卡罗拉,12777
2023,2,轿车,汉,12265
2023,2,轿车,奥迪A6L,11853
2023,2,轿车,奔驰C级,11492
2023,2,轿车,思域,10536
2023,2,轿车,宝来,10453
2023,2,轿车,奔驰E级,10407
2023,2,轿车,新帝豪,10315
2023,2,轿车,星瑞,10095
2023,2,轿车,帕萨特,9531
2023,2,轿车,长安Lumin,9105
2023,2,轿车,迈腾,8960
2023,2,轿车,宝马5系,8878
2023,2,轿车,宝马3系,8868
2023,2,轿车,威朗,8443
2023,2,轿车,Model 3,8397
2023,2,轿车,海豹,7754
2023,2,轿车,长安UNI-V,7656
2023,2,轿车,逸动,7632
2023,2,轿车,凌渡,7304
2023,2,轿车,桑塔纳,7298
2023,2,轿车,天籁,7103
2023,2,轿车,荣威i5,7071
2023,2,轿车,奥迪A4L,6935
2023,2,轿车,科鲁泽,6816
2023,2,轿车,伊兰特,6806
2023,2,轿车,吉利熊猫,6661
2023,2,轿车,蔚来ET5,6471
2023,2,轿车,飞度,6065
2023,2,轿车,YARiS L 致炫,5797
2023,2,轿车,MG5,5589
2023,2,轿车,蒙迪欧,5393
2023,2,轿车,奔驰A级,4951
2023,2,轿车,极氪001,4839
2023,2,轿车,奥迪A3,4768
2023,2,轿车,驱逐舰05,4760
2023,2,轿车,领克03,4600
2023,2,轿车,红旗H5,4578
2023,2,轿车,亚洲龙,4298
2023,2,轿车,高尔夫,4271
2023,2,轿车,深蓝SL03,4103
2023,2,轿车,捷达VA3,3740
2023,2,轿车,大众Polo,3658
2023,2,轿车,型格,3623
2023,2,轿车,红旗H5经典,3523
2023,2,轿车,威驰,3336
2023,2,轿车,艾瑞泽5,3225
2023,2,轿车,英仕派,3164
2023,2,轿车,QQ冰淇淋,3134
2023,2,轿车,秦新能源,3106
2023,2,轿车,缤瑞,3014
2023,2,轿车,宝马i3,2976
2023,2,轿车,微蓝6,2923
2023,2,轿车,奕炫,2848
2023,2,轿车,君威,2678
2023,2,轿车,思皓A5,2603
2023,2,轿车,沃尔沃S90,2576
2023,2,轿车,迈腾GTE,2566
2023,2,轿车,悦翔,2485
2023,2,轿车,红旗E-QM5,2471
2023,2,轿车,欧拉好猫,2420
2023,2,轿车,影豹,2342
2023,2,轿车,小鹏P7,2294
2023,2,轿车,北京EU5,2254
2023,2,轿车,吉利几何A,2248
2023,2,轿车,马自达3 昂克赛拉,2215
2023,2,轿车,凯迪拉克CT5,2154
2023,2,轿车,小蚂蚁,2128
2023,2,轿车,哪吒S,2048
2023,2,轿车,启辰D60EV,2039
2023,2,轿车,帝豪新能源,2032
2023,2,轿车,福瑞迪,2000
2023,2,轿车,沃尔沃S60,1937
2023,2,轿车,小鹏P5,1890
2023,2,轿车,艾瑞泽8,1833
2023,2,轿车,轩度,1806
2023,2,轿车,锐程PLUS,1751
2023,2,轿车,奔驰E级新能源,1746
2023,2,轿车,大众CC,1623
2023,2,轿车,奔腾B70,1593
2023,2,轿车,悦动,1572
2023,2,轿车,标致408,1422
2023,2,轿车,骐达,1402
2023,2,轿车,欧拉闪电猫,1330
2023,2,轿车,零跑T03,1324
2023,2,轿车,威驰FS,1226
2023,2,轿车,福克斯,1205
2023,2,轿车,红旗H9,1175
2023,2,轿车,宝马1系,1173
2023,2,轿车,凌尚,1167
2023,2,轿车,凌宝BOX,1124
2023,2,轿车,荣威i6 MAX新能源,1117
2023,2,轿车,逸动新能源,1100
2023,2,轿车,凡尔赛C5 X,1094
2023,2,轿车,MG4,1086
2023,2,轿车,大众ID.3,1062
2023,2,轿车,凌派,1037
2023,2,轿车,君越,1011
2023,2,轿车,享域,1008
2023,2,轿车,骏行,1000
2023,2,轿车,迈锐宝XL,982
2023,2,轿车,帕萨特新能源,977
2023,2,轿车,东风风神E70,956
2023,2,轿车,五菱Air ev晴空,941
2023,2,轿车,亚洲狮,905
2023,2,轿车,林肯Z,828
2023,2,轿车,本田LIFE,815
2023,2,轿车,捷豹XEL,807
2023,2,轿车,雪铁龙C5 X新能源(进口),796
2023,2,轿车,长安UNI-V 智电iDD,789
2023,2,轿车,起亚K3,774
2023,2,轿车,宝骏KiWi EV,771
2023,2,轿车,捷豹XFL,746
2023,2,轿车,宝马5系新能源,731
2023,2,轿车,逸达,715
2023,2,轿车,吉利几何G6,697
2023,2,轿车,荣威Ei5,681
2023,2,轿车,蔚来ET7,649
2023,2,轿车,MG6,623
2023,2,轿车,元宝,575
2023,2,轿车,凯迪拉克CT6,559
2023,2,轿车,凯迪拉克CT4,543
2023,2,轿车,启辰D60,517
2023,2,轿车,风光MINIEV,499
2023,2,轿车,畅巡,498
2023,2,轿车,思皓花仙子,449
2023,2,轿车,英菲尼迪Q50L,436
2023,2,轿车,英朗,434
2023,2,轿车,昕锐,429
2023,2,轿车,奔驰EQE,421
2023,2,轿车,明锐,392
2023,2,轿车,凌宝Uni,385
2023,2,轿车,LA FESTA菲斯塔,384
2023,2,轿车,奔驰C级新能源,377
2023,2,轿车,思皓爱跑,376
2023,2,轿车,沃尔沃S90新能源,317
2023,2,轿车,奥迪A6L新能源,314
2023,2,轿车,红旗H7,309
2023,2,轿车,奥迪A7L,289
2023,2,轿车,智己L7,242
2023,2,轿车,极狐 阿尔法S(ARCFOX αS),236
2023,2,轿车,索纳塔,236
2023,2,轿车,宝骏E200,233
2023,2,轿车,奔驰A级AMG,223
2023,2,轿车,悦纳,212
2023,2,轿车,YOUNG光小新,211
2023,2,轿车,艾瑞泽5e,192
2023,2,轿车,辉昂,190
2023,2,轿车,荣威i6 MAX,187
2023,2,轿车,起亚K5凯酷,180
2023,2,轿车,e爱丽舍,163
2023,2,轿车,零跑C01,162
2023,2,轿车,合创A06,158
2023,2,轿车,枫叶60s,156
2023,2,轿车,逸动DT,156
2023,2,轿车,羿,152
2023,2,轿车,传祺GA6,152
2023,2,轿车,欧拉芭蕾猫,128
2023,2,轿车,小虎FEV,127
2023,2,轿车,卡罗拉双擎E+,123
2023,2,轿车,标致508,117
2023,2,轿车,雪铁龙C6,103
2023,2,轿车,风行S50EV,102
2023,2,轿车,广汽丰田iA5,93
2023,2,轿车,阿特兹,93
2023,2,轿车,速派,92
2023,2,轿车,凯越,75
2023,2,轿车,无界PRO,72
2023,2,轿车,易至EV2,71
2023,2,轿车,宝骏RC-5,60
2023,2,轿车,沃兰多,59
2023,2,轿车,焕驰,54
2023,2,轿车,富康ES600,47
2023,2,轿车,名爵6新能源,42
2023,2,轿车,福睿斯,41
2023,2,轿车,沃尔沃S60新能源,29
2023,2,轿车,名图,25
2023,2,轿车,岚图追光,20
2023,2,轿车,DS 9,19
2023,2,轿车,易至EV3,18
2023,2,轿车,飞凡ER6,17
2023,2,轿车,科莱威CLEVER,16
2023,2,轿车,科沃兹,13
2023,2,轿车,绎乐,13
2023,2,轿车,传祺GA8,11
2023,2,轿车,YARiS L 致享,8
2023,2,轿车,DS 9新能源,7
2023,2,轿车,锐程CC,5
2023,2,轿车,雷凌双擎E+,3
2023,2,轿车,蓝鸟,2
2023,2,轿车,宝骏310,1
2023,2,轿车,起亚K3新能源,1
2023,3,轿车,秦PLUS,40215
2023,3,轿车,海豚,27687
2023,3,轿车,AION S,26392
2023,3,轿车,朗逸,24427
2023,3,轿车,轩逸,23170
2023,3,轿车,宏光MINIEV,23159
2023,3,轿车,Model 3,21726
2023,3,轿车,雅阁,20158
2023,3,轿车,速腾,17938
2023,3,轿车,卡罗拉,16833
2023,3,轿车,奥迪A6L,15203
2023,3,轿车,逸动,15035
2023,3,轿车,汉,13834
2023,3,轿车,奔驰C级,13794
2023,3,轿车,宝来,13001
2023,3,轿车,迈腾,12120
2023,3,轿车,凯美瑞,11703
2023,3,轿车,帕萨特,11200
2023,3,轿车,奔驰E级,11192
2023,3,轿车,新帝豪,11121
2023,3,轿车,宝马3系,10777
2023,3,轿车,雷凌,10702
2023,3,轿车,吉利熊猫,10550
2023,3,轿车,长安Lumin,10217
2023,3,轿车,奥迪A4L,9394
2023,3,轿车,宝马5系,9373
2023,3,轿车,伊兰特,9311
2023,3,轿车,长安UNI-V,8659
2023,3,轿车,深蓝SL03,8568
2023,3,轿车,星瑞,8334
2023,3,轿车,科鲁泽,8197
2023,3,轿车,北京EU5,8135
2023,3,轿车,亚洲龙,7418
2023,3,轿车,凌渡,6924
2023,3,轿车,桑塔纳,6738
2023,3,轿车,蔚来ET5,6437
2023,3,轿车,奥迪A3,6375
2023,3,轿车,威朗,6322
2023,3,轿车,英仕派,5713
2023,3,轿车,YARiS L 致炫,5691
2023,3,轿车,捷达VA3,5635
2023,3,轿车,思域,5603
2023,3,轿车,凯迪拉克CT5,5603
2023,3,轿车,奔驰A级,5595
2023,3,轿车,奕炫,5430
2023,3,轿车,微蓝6,5409
2023,3,轿车,红旗H5经典,5293
2023,3,轿车,海豹,5201
2023,3,轿车,领克03,5007
2023,3,轿车,极氪001,4517
2023,3,轿车,MG5,4505
2023,3,轿车,天籁,4290
2023,3,轿车,飞度,4250
2023,3,轿车,红旗H5,4150
2023,3,轿车,驱逐舰05,4136
2023,3,轿车,欧拉好猫,3970
2023,3,轿车,QQ冰淇淋,3951
2023,3,轿车,艾瑞泽5,3671
2023,3,轿车,高尔夫,3504
2023,3,轿车,威驰,3349
2023,3,轿车,君威,3345
2023,3,轿车,五菱缤果,3311
2023,3,轿车,型格,3204
2023,3,轿车,宝马i3,3147
2023,3,轿车,红旗E-QM5,3136
2023,3,轿车,艾瑞泽8,3109
2023,3,轿车,大众ID.3,3091
2023,3,轿车,小鹏P7,3030
2023,3,轿车,大众Polo,3018
2023,3,轿车,秦新能源,3015
2023,3,轿车,思皓A5,2923
2023,3,轿车,帝豪新能源,2916
2023,3,轿车,荣威i5,2783
2023,3,轿车,悦动,2770
2023,3,轿车,启辰D60EV,2743
2023,3,轿车,吉利几何A,2479
2023,3,轿车,马自达3 昂克赛拉,2419
2023,3,轿车,标致408,2412
2023,3,轿车,奔驰E级新能源,2373
2023,3,轿车,沃尔沃S90,2344
2023,3,轿车,蒙迪欧,2301
2023,3,轿车,奔腾B70,2298
2023,3,轿车,小鹏P5,2241
2023,3,轿车,哪吒S,2206
2023,3,轿车,零跑T03,2100
2023,3,轿车,君越,2077
2023,3,轿车,缤瑞,2036
2023,3,轿车,逸达,2031
2023,3,轿车,大众CC,1990
2023,3,轿车,小蚂蚁,1872
2023,3,轿车,轩度,1850
2023,3,轿车,福瑞迪,1689
2023,3,轿车,迈锐宝XL,1658
2023,3,轿车,凡尔赛C5 X,1624
2023,3,轿车,锐程PLUS,1542
2023,3,轿车,红旗H9,1524
2023,3,轿车,骏行,1500
2023,3,轿车,影豹,1496
2023,3,轿车,沃尔沃S60,1442
2023,3,轿车,宝马1系,1428
2023,3,轿车,欧拉闪电猫,1347
2023,3,轿车,迈腾GTE,1342
2023,3,轿车,极狐 阿尔法S(ARCFOX αS),1287
2023,3,轿车,雪铁龙C6,1259
2023,3,轿车,威驰FS,1240
2023,3,轿车,帕萨特新能源,1176
2023,3,轿车,荣威Ei5,1102
2023,3,轿车,长安UNI-V 智电iDD,1068
2023,3,轿车,标致508,1064
2023,3,轿车,阿特兹,1043
2023,3,轿车,享域,1030
2023,3,轿车,MG4,1005
2023,3,轿车,福克斯,997
2023,3,轿车,荣威i6 MAX新能源,989
2023,3,轿车,亚洲狮,983
2023,3,轿车,零跑C01,918
2023,3,轿车,枫叶60s,916
2023,3,轿车,凯迪拉克CT6,905
2023,3,轿车,凌尚,897
2023,3,轿车,凌派,897
2023,3,轿车,林肯Z,895
2023,3,轿车,骐达,890
2023,3,轿车,英菲尼迪Q50L,877
2023,3,轿车,捷豹XEL,822
2023,3,轿车,捷豹XFL,816
2023,3,轿车,凯迪拉克CT4,810
2023,3,轿车,蔚来ET7,738
2023,3,轿车,奔驰EQE,730
2023,3,轿车,科莱威CLEVER,724
2023,3,轿车,凌宝BOX,702
2023,3,轿车,本田LIFE,650
2023,3,轿车,东风风神E70,639
2023,3,轿车,宝骏KiWi EV,627
2023,3,轿车,宝马5系新能源,618
2023,3,轿车,畅巡,594
2023,3,轿车,五菱Air ev晴空,592
2023,3,轿车,昕锐,574
2023,3,轿车,思皓花仙子,534
2023,3,轿车,起亚K3,528
2023,3,轿车,奥迪A7L,520
2023,3,轿车,启辰D60,462
2023,3,轿车,明锐,445
2023,3,轿车,思皓爱跑,435
2023,3,轿车,奥迪A6L新能源,411
2023,3,轿车,LA FESTA菲斯塔,403
2023,3,轿车,辉昂,398
2023,3,轿车,红旗H6,394
2023,3,轿车,红旗H7,366
2023,3,轿车,风光MINIEV,356
2023,3,轿车,奔驰C级新能源,351
2023,3,轿车,沃尔沃S90新能源,335
2023,3,轿车,逸动新能源,332
2023,3,轿车,凌宝Uni,306
2023,3,轿车,元宝,301
2023,3,轿车,丰田bZ3,297
2023,3,轿车,奔驰A级AMG,296
2023,3,轿车,欧拉芭蕾猫,253
2023,3,轿车,岚图追光,246
2023,3,轿车,起亚K5凯酷,237
2023,3,轿车,YOUNG光小新,225
2023,3,轿车,宝骏E200,159
2023,3,轿车,沃兰多,152
2023,3,轿车,绅宝D50,145
2023,3,轿车,合创A06,141
2023,3,轿车,艾瑞泽5e,138
2023,3,轿车,广汽丰田iA5,128
2023,3,轿车,索纳塔,126
2023,3,轿车,MG6,119
2023,3,轿车,吉利几何G6,119
2023,3,轿车,风行S50EV,115
2023,3,轿车,易至EV2,102
2023,3,轿车,焕驰,102
2023,3,轿车,逸动DT,94
2023,3,轿车,无界PRO,94
2023,3,轿车,卡罗拉双擎E+,92
2023,3,轿车,速派,84
2023,3,轿车,英朗,75
2023,3,轿车,传祺GA8,67
2023,3,轿车,凯越,65
2023,3,轿车,宝骏RC-5,59
2023,3,轿车,e爱丽舍,50
2023,3,轿车,飞凡F7,48
2023,3,轿车,富康ES600,43
2023,3,轿车,名图,41
2023,3,轿车,A5翼舞,38
2023,3,轿车,羿,38
2023,3,轿车,DS 9,34
2023,3,轿车,标致408X,32
2023,3,轿车,沃尔沃S60新能源,30
2023,3,轿车,智己L7,29
2023,3,轿车,奔奔E-Star,14
2023,3,轿车,荣威i6 MAX,10
2023,3,轿车,绎乐,10
2023,3,轿车,易至EV3,9
2023,3,轿车,雷凌双擎E+,9
2023,3,轿车,名爵6新能源,7
2023,3,轿车,DS 9新能源,7
2023,3,轿车,锐程CC,5
2023,3,轿车,起亚K3新能源,5
2023,3,轿车,科沃兹,4
2023,3,轿车,悦纳,4
2023,3,轿车,传祺GA6,3
2023,3,轿车,蓝鸟,2
2023,3,轿车,YARiS L 致享,2
2023,3,轿车,宝骏310,1
2023,3,轿车,雷丁芒果,1
2023,3,轿车,名图 纯电动,1
2023,4,轿车,秦PLUS,39951
2023,4,轿车,海豚,29961
2023,4,轿车,轩逸,26975
2023,4,轿车,朗逸,26536
2023,4,轿车,雅阁,25590
2023,4,轿车,AION S,19569
2023,4,轿车,凯美瑞,18193
2023,4,轿车,速腾,18095
2023,4,轿车,宏光MINIEV,18086
2023,4,轿车,卡罗拉,17656
2023,4,轿车,逸动,15826
2023,4,轿车,五菱缤果,15011
2023,4,轿车,帕萨特,14866
2023,4,轿车,汉,14714
2023,4,轿车,Model 3,13196
2023,4,轿车,宝来,12988
2023,4,轿车,奔驰E级,12380
2023,4,轿车,迈腾,12257
2023,4,轿车,奥迪A6L,11964
2023,4,轿车,宝马3系,11925
2023,4,轿车,新帝豪,11557
2023,4,轿车,雷凌,11548
2023,4,轿车,吉利熊猫,10615
2023,4,轿车,长安UNI-V,10588
2023,4,轿车,亚洲龙,10486
2023,4,轿车,科鲁泽,10247
2023,4,轿车,奔驰C级,9728
2023,4,轿车,奥迪A4L,8598
2023,4,轿车,宝马5系,8331
2023,4,轿车,威朗,8196
2023,4,轿车,凌渡,8062
2023,4,轿车,凯迪拉克CT5,7866
2023,4,轿车,伊兰特,7800
2023,4,轿车,长安Lumin,7643
2023,4,轿车,欧拉好猫,7097
2023,4,轿车,星瑞,7086
2023,4,轿车,天籁,6740
2023,4,轿车,极氪001,6463
2023,4,轿车,飞度,6453
2023,4,轿车,思域,6425
2023,4,轿车,海豹,6323
2023,4,轿车,YARiS L 致炫,6317
2023,4,轿车,桑塔纳,6288
2023,4,轿车,型格,6111
2023,4,轿车,深蓝SL03,6028
2023,4,轿车,红旗H5,5914
2023,4,轿车,捷达VA3,5827
2023,4,轿车,英仕派,5183
2023,4,轿车,驱逐舰05,5133
2023,4,轿车,艾瑞泽8,5115
2023,4,轿车,红旗E-QM5,4876
2023,4,轿车,奥迪A3,4700
2023,4,轿车,领克03,4486
2023,4,轿车,蔚来ET5,4293
2023,4,轿车,QQ冰淇淋,4253
2023,4,轿车,小鹏P7,4064
2023,4,轿车,君威,4057
2023,4,轿车,思皓A5,3989
2023,4,轿车,威驰,3937
2023,4,轿车,高尔夫,3883
2023,4,轿车,君越,3814
2023,4,轿车,大众ID.3,3523
2023,4,轿车,大众Polo,3499
2023,4,轿车,奕炫,3489
2023,4,轿车,东风风神E70,3191
2023,4,轿车,宝马i3,3085
2023,4,轿车,吉利几何A,3039
2023,4,轿车,微蓝6,3033
2023,4,轿车,MG7,2949
2023,4,轿车,奔腾B70,2890
2023,4,轿车,蒙迪欧,2882
2023,4,轿车,逸达,2881
2023,4,轿车,沃尔沃S90,2868
2023,4,轿车,荣威i5,2820
2023,4,轿车,影豹,2794
2023,4,轿车,艾瑞泽5,2776
2023,4,轿车,北京EU5,2711
2023,4,轿车,秦新能源,2696
2023,4,轿车,福瑞迪,2685
2023,4,轿车,MG5,2561
2023,4,轿车,小蚂蚁,2439
2023,4,轿车,丰田bZ3,2342
2023,4,轿车,哪吒S,2237
2023,4,轿车,凡尔赛C5 X,2196
2023,4,轿车,红旗H5经典,2043
2023,4,轿车,轩度,2009
2023,4,轿车,锐程PLUS,2007
2023,4,轿车,大众CC,1992
2023,4,轿车,沃尔沃S60,1749
2023,4,轿车,长安UNI-V 智电iDD,1678
2023,4,轿车,小鹏P5,1654
2023,4,轿车,悦动,1644
2023,4,轿车,威驰FS,1544
2023,4,轿车,亚洲狮,1517
2023,4,轿车,零跑T03,1454
2023,4,轿车,宝马1系,1432
2023,4,轿车,林肯Z,1412
2023,4,轿车,迈锐宝XL,1410
2023,4,轿车,红旗H9,1330
2023,4,轿车,极狐 阿尔法S(ARCFOX αS),1289
2023,4,轿车,启辰D60EV,1284
2023,4,轿车,标致408,1240
2023,4,轿车,马自达3 昂克赛拉,1236
2023,4,轿车,凯迪拉克CT6,1219
2023,4,轿车,飞凡F7,1200
2023,4,轿车,享域,1197
2023,4,轿车,凌派,1184
2023,4,轿车,艾瑞泽5e,1176
2023,4,轿车,帕萨特新能源,1144
2023,4,轿车,零跑C01,1126
2023,4,轿车,吉利几何G6,1042
2023,4,轿车,骐达,1003
2023,4,轿车,迈腾GTE,1002
2023,4,轿车,缤瑞,1000
2023,4,轿车,骏行,1000
2023,4,轿车,捷豹XFL,994
2023,4,轿车,阿特兹,945
2023,4,轿车,凌宝BOX,902
2023,4,轿车,捷豹XEL,855
2023,4,轿车,科莱威CLEVER,855
2023,4,轿车,凌尚,852
2023,4,轿车,奥迪A7L,798
2023,4,轿车,标致508,735
2023,4,轿车,畅巡,719
2023,4,轿车,雪铁龙C5 X新能源(进口),714
2023,4,轿车,奔驰A级,702
2023,4,轿车,思皓花仙子,657
2023,4,轿车,凯迪拉克CT4,657
2023,4,轿车,蔚来ET7,652
2023,4,轿车,宝马5系新能源,619
2023,4,轿车,荣威i6 MAX新能源,615
2023,4,轿车,明锐,597
2023,4,轿车,起亚K5凯酷,552
2023,4,轿车,欧拉闪电猫,517
2023,4,轿车,本田LIFE,514
2023,4,轿车,欧拉芭蕾猫,472
2023,4,轿车,昕锐,460
2023,4,轿车,沃兰多,446
2023,4,轿车,帝豪新能源,430
2023,4,轿车,起亚K3,419
2023,4,轿车,思皓爱跑,399
2023,4,轿车,荣威Ei5,380
2023,4,轿车,宝骏KiWi EV,380
2023,4,轿车,索纳塔,375
2023,4,轿车,辉昂,368
