"txid","ordertxid","pair","aclass","subclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"TICVJ5-7KAUP-ZQT32Z","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 01:11:41.5394","buy","limit",112247.50000,5342.29517,10.68459,0.04759389,0.00000,"","LJX2VK-RZ4OY-2ITNDW,LAWNQS-GVWBW-FCPUOL","TKH2SE-M7IF5-CFI7LT","","","","","","","",5342.29517,""
"T22PJL-B7O7S-GBLMG4","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:45:45.1492","buy","limit",111000.00000,2921.08821,5.84218,0.02631611,0.00000,"","LPADZN-KABYX-OM6IF2,LVNRVE-RBO3Y-PJM22H","TKH2SE-M7IF5-CFI7LT","","","","","","","",2921.08821,""
"THTUKG-YJ2XR-B6LRDF","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:46:07.9788","buy","limit",111000.00000,1.01787,0.00204,0.00000917,0.00000,"","LHQMAC-GUREV-XPKMLP,LGGBMX-UCJYU-ZEAZLZ","TKH2SE-M7IF5-CFI7LT","","","","","","","",1.01787,""
"TP2Z5H-RLXJ2-GLHPXE","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:46:42.5985","buy","limit",111000.00000,5.70318,0.01141,0.00005138,0.00000,"","LCAGVY-DXGRK-FFHE25,LJWLPE-6NX6A-ZB75YE","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.70318,""
"TXLH3U-5IP52-UKH5TN","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:47:10.7071","buy","limit",111000.00000,192.35301,0.38471,0.00173291,0.00000,"","L55K7R-EQ3P3-7JLGNU,LIA3VO-MHMLE-FGZY7S","TKH2SE-M7IF5-CFI7LT","","","","","","","",192.35301,""
"TP6MNU-K45WZ-NVPNBJ","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:47:21.3217","buy","limit",111000.00000,71.98350,0.14397,0.00064850,0.00000,"","LWDRU3-W26FQ-7UJEAP,LFXAET-WIDRN-RGWQKC","TKH2SE-M7IF5-CFI7LT","","","","","","","",71.98350,""
"TAF4PD-EFVMX-PNS52U","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:47:28.9322","buy","limit",111000.00000,39.53265,0.07907,0.00035615,0.00000,"","LNADJ2-2ZXQC-VCDDNM,LHW2RR-GQQIH-BLPZYR","TKH2SE-M7IF5-CFI7LT","","","","","","","",39.53265,""
"TPHQYN-PAZND-EAWWEI","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:47:39.6701","buy","limit",111000.00000,2679.99954,5.36000,0.02414414,0.00000,"","LBX2M4-4MDHH-OKCH4Q,LKIJ7D-OZRV4-CKCUD7","TKH2SE-M7IF5-CFI7LT","","","","","","","",2679.99954,""
"TOHNDN-KIDSU-6RXSZW","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:47:40.7954","buy","limit",111000.00000,211.25298,0.42251,0.00190318,0.00000,"","LDOLJD-JAW2R-4IXJSJ,LQZ3PB-JEPUT-QDQQM5","TKH2SE-M7IF5-CFI7LT","","","","","","","",211.25298,""
"TKR7XT-4XIOY-POEK4G","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:49:47.5059","buy","limit",111000.00000,20.39736,0.04079,0.00018376,0.00000,"","LY3HQC-JI4JB-ENHKI3,LVJRFW-SPVXY-ZXUCVW","TKH2SE-M7IF5-CFI7LT","","","","","","","",20.39736,""
"TOWJUT-IJAI4-M7TSIZ","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:50:44.1236","buy","limit",111000.00000,3.23565,0.00647,0.00002915,0.00000,"","LOXXRH-NCYKU-2WXR37,LFROIR-NSRF7-3PHIK3","TKH2SE-M7IF5-CFI7LT","","","","","","","",3.23565,""
"TXNYTH-V5R6J-WQG4YJ","O7ALFM-K23NB-GRRFSQ","BTC/USD","forex","crypto","2025-10-25 01:51:41.2692","buy","limit",111000.00000,353.43510,0.70687,0.00318410,0.00000,"","LAX3OC-TOW3F-FFES2X,LHN5ET-M6ZCZ-2GNLMZ","TKH2SE-M7IF5-CFI7LT","","","","","","","",353.43510,""
"TKMGBJ-GWAT7-BPDUJF","OAMA54-OITY4-ZA3NTY","BTC/USD","forex","crypto","2025-11-04 21:53:01.0787","buy","limit",99359.90000,1759.44126,3.51888,0.01770776,0.00000,"","LYESTY-QJRNS-ZV64Y6,LZIJZD-HAEEF-EB6Y7K","TKH2SE-M7IF5-CFI7LT","","","","","","","",1759.44126,""
"TLWBDK-RKIUK-JNARWR","OAMA54-OITY4-ZA3NTY","BTC/USD","forex","crypto","2025-11-04 21:53:01.2152","buy","limit",99359.90000,1240.55903,2.48112,0.01248551,0.00000,"","LJL3A7-OKTIP-JDAAHN,LZQWXH-55R3B-T7FUDA","TKH2SE-M7IF5-CFI7LT","","","","","","","",1240.55903,""
"T4HUQQ-YWQWA-PYEP47","OFHBO5-PBDHZ-KQF3DH","BTC/USD","forex","crypto","2025-11-18 02:18:43.2667","buy","limit",90768.70000,1773.89633,4.43474,0.01954304,0.00000,"","LC4WBN-FCHIL-6ZU6ST,LKTS3R-NP4KR-4ZIX55","TKH2SE-M7IF5-CFI7LT","","","","","","","",1773.89633,""
"TNINAW-O6ANA-CLGWCH","OFHBO5-PBDHZ-KQF3DH","BTC/USD","forex","crypto","2025-11-18 02:18:43.3048","buy","limit",90768.70000,226.10392,0.45221,0.00249099,0.00000,"","L6JEXQ-XBEF3-MXAVNC,L23TDF-LUH4O-SGINUG","TKH2SE-M7IF5-CFI7LT","","","","","","","",226.10392,""
"TBKPVB-72MYO-5JL2HE","OWYVRW-HEZF5-V7A2KZ","BTC/USD","forex","crypto","2026-01-02 21:57:37.2785","buy","limit",90031.00000,9997.85702,39.99143,0.11104905,0.00000,"initiated","LBV4FE-4AOFR-GMXPWQ,LAWDRQ-FH5HW-3V2OOF","TKH2SE-M7IF5-CFI7LT","","","","","","","",9997.85702,""
"TSXS22-RKTAE-AW6322","OTTP3G-RGFWJ-RFUJ75","BTC/USD","forex","crypto","2026-01-04 23:28:40.2274","buy","limit",91330.60000,281.37223,0.70343,0.00308081,0.00000,"","LGD6MN-BTZ5Y-2NCZRB,LD56VW-RRVTC-MI7X33","TKH2SE-M7IF5-CFI7LT","","","","","","","",281.37223,""
"TCOCZA-PIY2O-I3FVQ3","OTTP3G-RGFWJ-RFUJ75","BTC/USD","forex","crypto","2026-01-04 23:28:40.2678","buy","limit",91330.60000,9718.62797,19.43726,0.10641152,0.00000,"","LQYBBH-XTTSS-CRPFTP,L63DJT-7C2GM-4KZEED","TKH2SE-M7IF5-CFI7LT","","","","","","","",9718.62797,""
"TUZGOZ-6BTPP-LQODCL","OCOFJX-GK6EY-N6KAJD","BTC/USD","forex","crypto","2026-01-29 15:54:04.8906","buy","limit",84542.20000,1997.99258,6.99297,0.02363308,0.00000,"initiated","LMKSVN-KONAV-VN4F4N,LSR7LA-LFQBG-EZKK2M","TKH2SE-M7IF5-CFI7LT","","","","","","","",1997.99258,""
"TQ6UMT-RWXWA-24VSTS","O2VNDT-37UJT-HWKWC6","BTC/USD","forex","crypto","2026-01-30 02:24:07.8367","buy","limit",81370.90000,6004.00068,12.00800,0.07378560,0.00000,"","LNS7NQ-7B2AX-CEVILH,LTP3IE-UOH4D-YWKF6A","TKH2SE-M7IF5-CFI7LT","","","","","","","",6004.00068,""
"TUARBV-NTR2Q-QMH6UV","OJUNMX-6G2LB-YD6U43","BTC/USD","forex","crypto","2026-01-31 22:03:35.4915","buy","limit",78269.70000,2000.00060,4.00000,0.02555268,0.00000,"","LNTDDK-CO7FM-RAAQE6,L2CDTP-NOBMC-Y5Q4JA","TKH2SE-M7IF5-CFI7LT","","","","","","","",2000.00060,""
