開倉日期,平倉日期,金屬名稱,方向,開倉部位(金額),獲利或虧損,開倉價格,平倉價格,備註
2012-02-01,2012-04-02,Silver,多 (Long),252764.0,-12083.21,33.16999817,33.10499954,策略調倉
2012-04-02,2012-05-02,Platinum,多 (Long),613572.0,-27667.37,1641.5,1560.199951,策略調倉
2012-05-02,2012-05-18,Copper,多 (Long),361520.0,-37113.75,3.829999924,3.4469999316,日內停損
2011-09-30,2012-10-01,Gold,多 (Long),265323.0,34664.42,1620.800049,1766.0,策略調倉
2012-08-30,2012-10-01,Palladium,多 (Long),487486.0,2191.06,630.9500122,644.4500122,策略調倉
2012-10-01,2012-11-01,Silver,多 (Long),358700.0,-23920.58,34.375,32.47000122,策略調倉
2012-10-01,2012-11-01,Copper,多 (Long),435425.0,-28557.6,3.753000021,3.549999952,策略調倉
2012-11-01,2012-12-03,Gold,多 (Long),689834.0,-5028.47,1722.300049,1714.900024,策略調倉
2012-11-01,2012-12-03,Platinum,多 (Long),452257.0,7277.76,1570.699951,1612.300049,策略調倉
2012-12-03,2013-02-04,Copper,多 (Long),467375.0,19670.05,3.625999928,3.76699996,策略調倉
2013-02-04,2013-03-06,Platinum,多 (Long),555043.0,-34333.38,1696.599976,1577.800049,策略調倉
2013-09-04,2013-10-03,Platinum,多 (Long),590637.0,-57842.92,1493.800049,1380.699951,策略調倉
2014-01-03,2014-03-06,Copper,多 (Long),548287.0,-29890.81,3.42750001,3.246500015,策略調倉
2014-03-06,2014-06-05,Platinum,多 (Long),689165.0,-22114.43,1486.199951,1447.099976,策略調倉
2014-07-07,2014-08-05,Platinum,多 (Long),774317.0,-21367.35,1500.0,1457.400024,策略調倉
2014-08-05,2014-09-04,Copper,多 (Long),568506.0,-23697.1,3.224999905,3.122999907,策略調倉
2012-12-03,2015-02-04,Palladium,多 (Long),369539.0,58626.19,681.5,790.75,策略調倉
2015-02-04,2015-03-06,Gold,多 (Long),345768.0,-18152.78,1262.0,1195.0,策略調倉
2015-03-06,2015-03-30,Palladium,多 (Long),383495.0,-44318.05,812.4500122,731.20501098,日內停損
2015-05-06,2015-06-16,Copper,多 (Long),239383.0,-24422.23,2.934999943,2.6414999487,日內停損
2015-05-06,2015-06-19,Palladium,多 (Long),349627.0,-35110.2,792.6500244,713.38502196,日內停損
2016-03-07,2016-04-06,Silver,多 (Long),276277.0,-10571.58,15.56999969,15.05200005,策略調倉
2016-02-04,2016-10-05,Gold,多 (Long),293289.0,25954.07,1142.5,1272.099976,策略調倉
2016-10-05,2016-11-04,Palladium,多 (Long),236247.0,-28438.47,674.5499878,624.25,策略調倉
2016-11-04,2016-11-30,Gold,多 (Long),438773.0,-43697.23,1300.0,1170.0,日內停損
2016-05-05,2016-12-07,Silver,多 (Long),258223.0,-6593.87,17.36499977,16.66500092,策略調倉
2016-12-07,2016-12-21,Palladium,多 (Long),214282.0,-21090.93,735.4500122,661.9050109799999,日內停損
2016-12-07,2018-09-11,Copper,多 (Long),177549.0,-6308.58,2.660000086,2.607500076,策略調倉
2018-11-08,2018-12-11,Platinum,多 (Long),380493.0,-42554.96,866.7000122,783.7000122,策略調倉
2018-12-11,2019-04-12,Gold,多 (Long),524267.0,17109.66,1245.800049,1293.400024,策略調倉
2019-04-12,2019-05-14,Platinum,多 (Long),344787.0,-15402.6,893.2000122,856.5,策略調倉
2019-05-14,2019-09-12,Gold,多 (Long),598222.0,79565.02,1297.800049,1499.5,策略調倉
2019-09-12,2019-10-11,Silver,多 (Long),333195.0,-10392.19,18.06999969,17.59499931,策略調倉
2019-10-11,2019-12-11,Gold,多 (Long),435785.0,-10783.31,1491.900024,1463.099976,策略調倉
2019-12-11,2020-01-13,Platinum,多 (Long),504351.0,32065.85,937.4000244,978.7999878,策略調倉
2020-01-13,2020-02-12,Gold,多 (Long),894506.0,4079.38,1557.400024,1565.199951,策略調倉
2020-02-12,2020-02-28,Platinum,多 (Long),481185.0,-58563.81,964.5,868.0500000000001,日內停損
2017-01-09,2020-05-13,Palladium,多 (Long),172951.0,321520.44,756.5499878,1785.400024,策略調倉
2020-03-13,2020-07-14,Gold,多 (Long),452746.0,60962.3,1574.900024,1791.0,策略調倉
2020-07-14,2020-12-10,Palladium,多 (Long),312559.0,31478.54,1964.099976,2332.0,策略調倉
2020-06-12,2021-07-14,Silver,多 (Long),282792.0,170239.8,17.75,26.10000038,策略調倉
2021-07-14,2021-08-17,Palladium,多 (Long),575620.0,-62594.22,2824.5,2542.05,日內停損
2021-11-10,2021-11-23,Platinum,多 (Long),520402.0,-46316.59,1075.800049,968.2200441,日內停損
2020-12-10,2022-03-14,Copper,多 (Long),658550.0,154581.8,3.473999977,4.600500107,策略調倉
2022-03-14,2022-03-16,Palladium,多 (Long),362754.0,-58133.81,2628.0,2365.2000000000003,日內停損
2022-04-12,2022-05-02,Copper,多 (Long),470759.0,-44300.12,4.665999889,4.1993999001,日內停損
2022-01-11,2022-08-12,Gold,多 (Long),926060.0,29405.11,1803.900024,1786.300049,策略調倉
2022-08-12,2022-08-22,Palladium,多 (Long),330016.0,-43246.12,2216.800049,1995.1200441,日內停損
2022-09-13,2022-10-31,Palladium,多 (Long),315139.0,-47802.85,2095.699951,1886.1299559000001,日內停損
2022-11-10,2023-01-12,Silver,多 (Long),276759.0,25822.01,21.05999947,23.80500031,策略調倉
2022-11-10,2023-02-10,Platinum,多 (Long),358509.0,-23946.54,1064.300049,957.8700441,日內停損
2023-02-13,2023-03-15,Silver,多 (Long),349321.0,-1445.31,21.78000069,21.60000038,策略調倉
2023-03-15,2023-05-15,Platinum,多 (Long),414523.0,34239.12,967.9000244,1077.800049,策略調倉
2023-01-12,2023-07-17,Gold,多 (Long),703014.0,39383.39,1877.199951,1954.0,策略調倉
2023-05-15,2023-08-15,Silver,多 (Long),469393.0,-32434.08,24.06500053,22.45499992,策略調倉
2023-07-17,2023-08-15,Copper,多 (Long),553102.0,-28288.47,3.888000011,3.676000118,策略調倉
2023-12-13,2024-01-16,Copper,多 (Long),631964.0,-9648.06,3.788000107,3.763000011,策略調倉
2023-08-15,2024-05-15,Gold,多 (Long),941039.0,200591.27,1906.0,2361.600098,策略調倉
2024-05-15,2024-06-07,Copper,多 (Long),658994.0,-66789.47,4.989999771,4.4909997939,日內停損
2024-03-15,2025-06-17,Silver,多 (Long),552570.0,228422.17,24.83499908,36.81000137,策略調倉
2024-06-14,2025-08-18,Gold,多 (Long),774247.0,337735.55,2307.0,3333.5,策略調倉
2025-08-18,2025-09-17,Silver,多 (Long),993732.0,116840.9,37.95100021,41.88999939,策略調倉
2025-09-17,2025-10-16,Gold,多 (Long),1598639.0,220831.36,3669.0,4198.799805,策略調倉
2025-10-16,2025-10-22,Silver,多 (Long),1123015.0,-84783.1,52.50999832,47.258998488,日內停損
