member_id,visit_date,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
45,2024-08-14,39,Female,Monthly,Yoga,26,208,14:20,Absent
46,2024-07-01,33,Male,Monthly,CrossFit,56,336,21:50,Absent
47,2024-12-07,40,Other,Quarterly,Yoga,92,524,19:24,Absent
48,2024-10-18,32,Female,Monthly,Cardio,63,546,18:26,Absent
49,2024-07-02,42,Male,Monthly,CrossFit,103,755,16:47,Present
50,2024-12-04,42,Other,Quarterly,Strength Training,99,746,16:19,Absent
51,2024-08-11,27,Male,Monthly,Yoga,60,337,9:43,Present
52,2024-11-22,42,Male,Annual,CrossFit,42,346,5:27,Present
53,2024-01-01,47,Male,Quarterly,CrossFit,55,286,13:54,Absent
54,2024-12-02,23,Female,Monthly,CrossFit,115,1086,21:11,Absent
55,2024-05-07,18,Male,Annual,Cardio,53,483,15:03,Absent
56,2024-03-02,22,Other,Quarterly,Cardio,44,423,18:47,Present
57,2024-06-12,37,Male,Monthly,Cardio,37,242,11:54,Present
58,2024-11-12,39,Other,Annual,Yoga,76,596,9:48,Absent
59,2024-06-14,59,Female,Monthly,HIIT,47,460,17:00,Absent
60,2024-03-08,65,Other,Annual,HIIT,57,318,19:47,Present
61,2024-01-19,54,Female,Annual,Yoga,120,751,20:44,Present
62,2024-04-08,52,Other,Monthly,Strength Training,113,878,9:42,Present
63,2024-10-10,43,Female,Quarterly,Strength Training,22,142,22:58,Absent
64,2024-09-04,55,Male,Quarterly,HIIT,33,248,5:51,Absent
65,2024-11-09,33,Other,Quarterly,HIIT,37,251,10:56,Present
66,2024-11-29,29,Male,Quarterly,Cardio,83,683,22:12,Absent
67,2024-07-17,47,Female,Monthly,Cardio,25,172,5:44,Present
68,2024-01-16,31,Other,Quarterly,Yoga,42,243,10:34,Present
69,2024-06-12,34,Male,Quarterly,Cardio,54,515,20:05,Absent
70,2024-01-18,61,Male,Monthly,CrossFit,32,304,7:12,Absent
71,2024-06-23,22,Female,Annual,Strength Training,92,715,7:12,Absent
72,2024-12-26,30,Male,Annual,Cardio,49,378,11:52,Absent
73,2024-08-29,30,Female,Monthly,HIIT,26,233,17:42,Present
74,2024-04-01,34,Male,Quarterly,HIIT,58,561,19:50,Present
75,2024-02-11,33,Female,Monthly,CrossFit,53,340,5:22,Absent
76,2024-11-22,45,Male,Quarterly,Strength Training,54,522,5:01,Absent
77,2024-02-20,27,Other,Monthly,HIIT,84,476,22:34,Present
78,2024-10-17,27,Female,Annual,Cardio,80,549,21:01,Absent
79,2024-05-10,63,Other,Quarterly,Strength Training,45,265,21:09,Present
80,2024-08-23,59,Other,Annual,CrossFit,89,502,21:53,Present
81,2024-12-17,60,Male,Quarterly,Yoga,98,630,21:54,Present
82,2024-06-03,23,Other,Quarterly,Strength Training,43,228,6:52,Absent
83,2024-10-17,44,Male,Quarterly,CrossFit,20,148,8:30,Absent
84,2024-05-26,38,Other,Quarterly,Strength Training,108,605,22:52,Absent
85,2024-01-23,25,Female,Annual,Yoga,40,364,13:59,Present
86,2024-02-10,33,Female,Quarterly,Cardio,104,997,7:43,Present
87,2024-03-04,52,Female,Monthly,CrossFit,115,1098,16:18,Absent
88,2024-12-14,19,Male,Annual,HIIT,104,713,6:35,Absent
89,2024-05-19,53,Male,Quarterly,HIIT,37,194,15:22,Present
90,2024-05-24,18,Male,Quarterly,Cardio,41,342,10:41,Absent
91,2024-04-04,48,Male,Quarterly,Yoga,71,672,13:50,Absent
92,2024-07-29,20,Other,Monthly,CrossFit,26,148,9:25,Present
93,2024-04-15,32,Female,Annual,Yoga,64,562,22:15,Present
94,2024-08-09,47,Male,Monthly,HIIT,114,937,22:33,Absent
95,2024-11-05,41,Male,Quarterly,CrossFit,110,865,16:19,Absent
96,2024-02-10,58,Other,Annual,Strength Training,101,778,10:39,Absent
97,2024-08-30,59,Female,Monthly,Yoga,110,585,22:57,Present
98,2024-11-17,58,Other,Monthly,Strength Training,98,721,12:34,Present
99,2024-01-21,33,Female,Annual,Yoga,49,465,10:14,Absent
100,2024-10-22,42,Female,Quarterly,CrossFit,69,369,18:31,Present
101,2024-03-12,51,Male,Annual,HIIT,108,856,9:04,Absent
102,2024-02-27,36,Male,Annual,CrossFit,48,459,7:03,Absent
103,2024-03-10,20,Female,Annual,Yoga,89,714,6:34,Present
104,2024-09-04,64,Male,Monthly,CrossFit,86,796,7:55,Present
105,2024-06-13,22,Other,Monthly,Strength Training,64,590,19:39,Absent
106,2024-10-14,37,Female,Annual,Strength Training,108,961,15:30,Present
107,2024-03-04,30,Other,Annual,HIIT,80,596,9:01,Absent
108,2024-10-05,64,Other,Quarterly,Cardio,73,623,10:45,Present
109,2024-10-30,31,Female,Annual,Cardio,28,236,10:08,Absent
110,2024-05-08,48,Other,Quarterly,CrossFit,25,138,14:03,Present
111,2024-07-13,18,Male,Quarterly,HIIT,62,429,18:40,Absent
112,2024-10-24,30,Female,Monthly,HIIT,65,555,19:39,Present
113,2024-10-23,37,Other,Quarterly,HIIT,120,842,20:17,Present
114,2024-12-31,42,Male,Quarterly,Yoga,88,761,5:32,Absent
115,2024-06-09,27,Other,Annual,HIIT,27,203,12:15,Present
116,2024-06-30,47,Other,Quarterly,CrossFit,42,393,20:17,Absent
117,2024-08-28,49,Other,Quarterly,Cardio,31,193,9:26,Absent
118,2024-12-25,64,Other,Quarterly,Yoga,89,668,16:33,Present
119,2024-02-06,59,Female,Annual,HIIT,39,277,5:25,Absent
120,2024-05-05,47,Male,Monthly,Strength Training,69,591,9:23,Absent
121,2024-04-11,64,Male,Annual,Yoga,32,262,8:10,Present
122,2024-11-19,19,Female,Monthly,Cardio,120,1072,20:51,Absent
123,2024-06-19,32,Male,Quarterly,CrossFit,50,498,5:42,Absent
124,2024-12-31,23,Male,Annual,CrossFit,83,748,16:54,Present
125,2024-12-28,30,Other,Quarterly,HIIT,86,774,21:09,Present
126,2024-10-17,54,Male,Annual,Yoga,37,194,19:14,Absent
127,2024-01-05,62,Male,Annual,Strength Training,87,788,11:13,Absent
128,2024-09-14,18,Other,Monthly,Yoga,28,266,14:38,Absent
129,2024-12-20,18,Male,Annual,Strength Training,53,415,15:30,Present
130,2024-08-04,61,Other,Quarterly,Cardio,103,756,5:33,Present
131,2024-01-16,37,Female,Annual,CrossFit,104,873,17:13,Absent
132,2024-04-15,18,Male,Quarterly,Cardio,88,828,6:25,Absent
133,2024-09-12,52,Male,Quarterly,HIIT,84,534,17:02,Present
134,2024-08-04,37,Other,Annual,Cardio,65,327,5:11,Absent
135,2024-03-16,59,Other,Monthly,Cardio,44,341,16:15,Absent
136,2024-02-27,65,Male,Quarterly,Strength Training,113,934,14:09,Absent
137,2024-03-18,50,Other,Monthly,Cardio,117,878,6:06,Present
138,2024-07-05,38,Other,Quarterly,Strength Training,98,578,7:43,Present
139,2024-11-03,34,Male,Annual,Cardio,42,214,20:37,Present
140,2024-02-04,51,Female,Annual,Yoga,63,466,10:46,Present
141,2024-12-13,56,Female,Annual,Cardio,67,440,13:38,Present
142,2024-03-25,38,Female,Annual,HIIT,82,816,9:38,Absent
143,2024-04-20,20,Other,Annual,Strength Training,80,403,7:40,Absent
144,2024-01-28,32,Female,Monthly,Yoga,48,476,10:24,Absent
145,2024-07-11,52,Other,Annual,Strength Training,27,155,16:55,Absent
146,2024-01-11,20,Other,Monthly,Cardio,56,405,8:19,Present
147,2024-10-24,38,Female,Quarterly,Cardio,106,808,17:12,Present
148,2024-08-17,48,Male,Monthly,Yoga,109,793,6:26,Present
149,2024-05-25,18,Male,Monthly,Strength Training,83,823,13:11,Absent
150,2024-09-11,64,Other,Quarterly,CrossFit,91,537,6:24,Present
151,2024-01-13,29,Other,Annual,Yoga,31,268,15:57,Absent
152,2024-02-10,41,Other,Quarterly,Strength Training,83,819,5:38,Present
153,2024-10-17,19,Other,Quarterly,CrossFit,65,472,17:58,Absent
154,2024-01-08,27,Male,Quarterly,CrossFit,66,469,10:50,Present
155,2024-06-16,20,Male,Annual,CrossFit,52,488,13:11,Absent
156,2024-06-12,37,Other,Annual,CrossFit,54,487,10:20,Present
157,2024-10-10,57,Other,Monthly,Strength Training,63,341,6:46,Absent
158,2024-05-24,65,Other,Monthly,Strength Training,74,667,20:48,Absent
159,2024-03-14,49,Female,Monthly,HIIT,59,367,20:38,Present
160,2024-08-29,49,Other,Monthly,HIIT,56,512,16:22,Absent
161,2024-10-04,26,Female,Annual,Strength Training,100,984,13:25,Absent
162,2024-05-09,61,Male,Monthly,CrossFit,80,553,17:39,Present
163,2024-02-05,57,Male,Annual,Yoga,111,1000,17:12,Absent
164,2024-04-01,23,Female,Quarterly,Cardio,113,645,15:36,Absent
165,2024-02-24,45,Other,Quarterly,CrossFit,59,299,8:57,Absent
166,2024-02-27,25,Other,Quarterly,Cardio,81,572,16:00,Present
167,2024-03-17,50,Female,Monthly,Cardio,47,278,18:58,Present
168,2024-12-29,47,Male,Annual,HIIT,40,227,14:39,Present
169,2024-03-19,33,Other,Monthly,CrossFit,39,299,15:27,Present
170,2024-11-01,19,Male,Monthly,CrossFit,77,402,13:29,Absent
171,2024-03-15,49,Male,Quarterly,HIIT,92,809,12:17,Absent
172,2024-12-06,45,Male,Quarterly,Cardio,76,647,11:50,Absent
173,2024-06-01,38,Male,Annual,CrossFit,28,200,7:15,Absent
174,2024-03-18,22,Other,Monthly,HIIT,109,965,11:53,Present
175,2024-12-12,38,Other,Annual,Strength Training,82,560,14:27,Present
176,2024-07-03,61,Other,Annual,HIIT,31,246,5:42,Absent
177,2024-12-06,25,Female,Quarterly,Strength Training,107,821,16:27,Present
178,2024-01-25,41,Other,Annual,CrossFit,47,395,22:22,Absent
179,2024-09-03,61,Other,Monthly,Cardio,57,408,21:12,Present
180,2024-07-06,38,Other,Quarterly,Strength Training,48,348,18:39,Present
181,2024-12-21,54,Other,Quarterly,CrossFit,69,487,19:23,Present
182,2024-03-17,58,Female,Annual,Cardio,97,862,9:21,Present
183,2024-05-26,63,Male,Monthly,Yoga,55,525,7:18,Absent
184,2024-02-06,45,Male,Annual,Cardio,118,775,17:42,Absent
185,2024-10-30,30,Other,Quarterly,Yoga,72,608,20:50,Present
186,2024-06-05,34,Male,Monthly,Yoga,94,690,6:17,Absent
187,2024-02-24,51,Other,Quarterly,HIIT,108,611,17:40,Absent
188,2024-03-05,59,Female,Monthly,HIIT,71,641,13:46,Absent
189,2024-04-14,53,Female,Quarterly,Strength Training,98,900,12:30,Absent
190,2024-12-04,60,Female,Monthly,Strength Training,109,780,11:36,Absent
191,2024-03-18,40,Female,Quarterly,Cardio,20,113,11:29,Absent
192,2024-11-18,62,Female,Monthly,Yoga,31,247,13:27,Present
193,2024-01-04,52,Male,Annual,HIIT,73,456,18:31,Absent
194,2024-08-17,55,Other,Quarterly,Cardio,105,931,12:24,Present
195,2024-01-09,30,Male,Annual,Cardio,25,212,14:50,Present
196,2024-01-31,41,Other,Annual,CrossFit,102,944,8:55,Absent
197,2024-04-16,39,Female,Quarterly,Yoga,78,666,12:57,Absent
198,2024-11-15,31,Male,Quarterly,HIIT,33,206,10:45,Present
199,2024-01-02,61,Other,Monthly,HIIT,106,706,22:05,Present
200,2024-09-10,48,Other,Quarterly,HIIT,68,565,21:24,Absent
201,2024-01-05,46,Female,Quarterly,Strength Training,27,246,6:22,Absent
202,2024-10-15,49,Male,Annual,Cardio,72,591,11:22,Absent
203,2024-03-14,39,Other,Monthly,CrossFit,52,486,10:01,Absent
204,2024-07-12,24,Male,Monthly,Cardio,51,275,11:41,Absent
205,2024-04-14,43,Male,Annual,Strength Training,36,301,14:28,Present
206,2024-02-22,56,Female,Annual,CrossFit,74,398,19:03,Present
207,2024-06-28,57,Male,Annual,Cardio,64,474,10:09,Present
208,2024-05-31,54,Female,Monthly,Strength Training,62,613,10:30,Present
209,2024-08-21,25,Male,Quarterly,Cardio,106,766,19:32,Absent
210,2024-02-25,49,Male,Annual,Cardio,120,614,15:58,Absent
211,2024-01-12,52,Other,Quarterly,Yoga,101,548,15:07,Present
212,2024-08-25,50,Female,Quarterly,HIIT,69,655,14:23,Absent
213,2024-09-22,50,Female,Quarterly,CrossFit,34,266,9:27,Present
214,2024-11-25,64,Female,Monthly,Strength Training,98,769,17:20,Absent
215,2024-11-30,38,Female,Annual,Cardio,111,1025,21:15,Present
216,2024-04-07,27,Male,Monthly,Cardio,70,540,14:34,Absent
217,2024-08-26,41,Other,Annual,Yoga,83,741,17:44,Absent
218,2024-11-07,52,Male,Annual,Strength Training,92,852,17:03,Present
219,2024-12-21,62,Other,Monthly,CrossFit,58,368,17:22,Absent
220,2024-10-21,28,Male,Annual,HIIT,26,169,15:20,Present
221,2024-05-20,58,Female,Annual,Strength Training,59,466,9:17,Present
222,2024-02-09,53,Female,Annual,Strength Training,89,593,22:39,Present
223,2024-12-23,52,Other,Monthly,HIIT,78,608,14:51,Present
224,2024-07-09,58,Female,Monthly,HIIT,23,227,22:05,Present
225,2024-03-19,27,Male,Monthly,Yoga,116,816,22:37,Present
226,2024-05-12,64,Male,Monthly,CrossFit,44,234,16:01,Absent
227,2024-05-09,24,Male,Quarterly,Strength Training,53,489,7:04,Present
228,2024-03-04,43,Male,Monthly,CrossFit,29,205,7:21,Present
229,2024-05-03,40,Other,Annual,Yoga,47,235,16:19,Absent
230,2024-05-14,41,Other,Quarterly,Cardio,85,512,7:31,Absent
231,2024-09-04,56,Other,Monthly,CrossFit,64,561,17:26,Absent
232,2024-05-13,25,Female,Annual,HIIT,45,404,12:57,Absent
233,2024-08-07,53,Male,Quarterly,HIIT,30,223,12:27,Absent
234,2024-12-02,18,Other,Annual,Cardio,42,248,11:51,Present
235,2024-11-30,20,Female,Quarterly,Strength Training,78,619,11:09,Present
236,2024-12-22,36,Female,Quarterly,Yoga,87,725,20:26,Absent
237,2024-05-26,50,Female,Annual,Yoga,117,959,11:35,Present
238,2024-01-16,62,Male,Monthly,Cardio,69,600,15:31,Absent
239,2024-01-07,36,Other,Annual,Cardio,94,735,15:39,Present
240,2024-02-23,30,Other,Annual,CrossFit,48,437,10:40,Absent
241,2024-04-03,33,Male,Annual,Yoga,101,714,11:18,Present
242,2024-07-25,55,Other,Monthly,Strength Training,105,867,5:35,Absent
243,2024-10-12,29,Other,Annual,Strength Training,112,654,16:57,Present
244,2024-01-24,64,Other,Annual,Strength Training,102,549,5:57,Absent
245,2024-01-16,44,Other,Annual,Strength Training,63,452,11:49,Absent
246,2024-01-27,18,Male,Annual,HIIT,36,328,5:12,Present
247,2024-11-29,47,Male,Quarterly,Strength Training,109,1040,19:58,Absent
248,2024-04-14,43,Male,Monthly,CrossFit,27,204,18:27,Present
249,2024-09-22,22,Male,Annual,Yoga,65,428,12:41,Absent
250,2024-02-06,50,Other,Monthly,CrossFit,58,505,22:17,Absent
251,2024-02-04,41,Other,Monthly,HIIT,68,465,21:12,Present
252,2024-04-11,60,Other,Monthly,Yoga,77,446,19:33,Absent
253,2024-04-05,29,Male,Annual,Strength Training,52,431,14:57,Present
254,2024-06-26,19,Male,Annual,Strength Training,40,362,10:13,Absent
255,2024-06-25,45,Other,Annual,Cardio,84,476,6:12,Absent
256,2024-12-19,53,Male,Monthly,Cardio,112,733,6:38,Present
257,2024-02-20,35,Male,Annual,Yoga,108,785,12:31,Present
258,2024-12-02,40,Male,Quarterly,CrossFit,92,782,8:39,Present
259,2024-04-08,49,Female,Quarterly,Cardio,87,622,18:24,Present
260,2024-12-23,24,Female,Annual,Strength Training,80,512,21:10,Absent
261,2024-02-08,45,Other,Quarterly,Cardio,56,491,6:08,Absent
262,2024-02-18,39,Female,Annual,CrossFit,31,171,15:47,Absent
263,2024-01-15,48,Female,Quarterly,Yoga,44,396,14:12,Absent
264,2024-08-30,55,Male,Monthly,Yoga,35,320,12:05,Present
265,2024-07-09,62,Female,Annual,Strength Training,75,639,17:48,Present
266,2024-08-02,64,Other,Monthly,Yoga,26,192,18:21,Present
267,2024-10-09,26,Other,Annual,Strength Training,78,500,15:38,Absent
268,2024-06-26,33,Female,Monthly,CrossFit,31,164,22:28,Absent
269,2024-03-25,49,Male,Quarterly,Strength Training,70,378,13:14,Present
270,2024-07-13,59,Female,Annual,HIIT,32,272,13:18,Absent
271,2024-08-06,63,Male,Quarterly,Yoga,120,1058,12:00,Absent
272,2024-11-19,23,Female,Quarterly,Strength Training,35,210,21:41,Absent
273,2024-12-05,65,Other,Annual,HIIT,36,279,11:56,Absent
274,2024-04-18,18,Other,Quarterly,Cardio,85,499,12:55,Absent
275,2024-03-05,53,Female,Annual,HIIT,61,415,13:41,Absent
276,2024-07-26,26,Female,Monthly,Cardio,53,429,20:38,Present
277,2024-02-04,25,Female,Quarterly,HIIT,106,640,22:52,Present
278,2024-04-19,38,Female,Quarterly,Cardio,114,1087,8:38,Absent
279,2024-11-08,21,Female,Annual,HIIT,44,302,16:00,Absent
280,2024-09-25,58,Male,Monthly,Yoga,34,201,12:40,Present
281,2024-08-16,35,Female,Quarterly,HIIT,88,618,19:08,Present
282,2024-08-29,27,Other,Annual,Cardio,32,310,13:27,Present
283,2024-09-09,24,Female,Monthly,Cardio,50,366,14:26,Absent
284,2024-08-30,19,Other,Quarterly,CrossFit,89,848,20:00,Absent
285,2024-05-15,61,Other,Monthly,Cardio,57,303,7:24,Absent
286,2024-06-11,19,Female,Annual,Cardio,98,931,16:39,Absent
287,2024-04-13,22,Other,Annual,Strength Training,114,939,5:36,Present
288,2024-01-19,53,Other,Annual,Cardio,29,177,14:50,Absent
289,2024-06-28,58,Other,Annual,Cardio,107,629,6:01,Absent
290,2024-01-05,20,Female,Monthly,HIIT,113,1049,7:49,Absent
291,2024-04-22,30,Male,Monthly,Yoga,95,668,11:28,Present
292,2024-08-23,60,Female,Quarterly,Yoga,119,994,17:54,Present
293,2024-10-12,26,Male,Annual,Strength Training,97,876,21:35,Present
294,2024-05-30,49,Female,Monthly,Cardio,89,655,13:23,Present
295,2024-12-22,64,Female,Monthly,CrossFit,54,404,5:23,Present
296,2024-10-17,41,Other,Annual,Yoga,72,642,5:02,Present
297,2024-08-23,52,Female,Quarterly,CrossFit,94,588,9:11,Absent
298,2024-03-22,24,Male,Monthly,Yoga,116,871,14:57,Absent
299,2024-09-10,47,Female,Quarterly,Cardio,120,900,10:31,Absent
300,2024-04-07,62,Other,Monthly,CrossFit,92,853,13:32,Present
301,2024-09-27,59,Male,Annual,CrossFit,42,283,22:14,Present
302,2024-12-13,38,Male,Monthly,HIIT,23,226,10:23,Absent
303,2024-10-19,50,Male,Quarterly,CrossFit,92,797,13:33,Absent
304,2024-04-11,57,Male,Annual,Cardio,108,949,6:48,Absent
305,2024-11-02,42,Other,Annual,Cardio,46,396,8:09,Present
306,2024-10-01,65,Male,Monthly,Strength Training,104,941,11:11,Absent
307,2024-04-09,23,Other,Monthly,Yoga,83,481,5:58,Present
308,2024-05-21,39,Male,Quarterly,Strength Training,91,830,22:57,Present
309,2024-07-19,19,Other,Monthly,Cardio,76,669,8:30,Present
310,2024-06-09,19,Female,Quarterly,Strength Training,46,380,12:44,Absent
311,2024-08-01,37,Other,Quarterly,CrossFit,120,964,22:42,Present
312,2024-01-24,31,Other,Quarterly,Cardio,54,441,17:00,Absent
313,2024-12-01,62,Female,Annual,HIIT,100,935,5:21,Present
314,2024-03-30,40,Other,Monthly,Yoga,99,599,11:27,Absent
315,2024-02-13,19,Male,Monthly,CrossFit,79,535,19:03,Present
316,2024-07-21,28,Other,Quarterly,Cardio,75,422,22:21,Absent
317,2024-01-07,36,Other,Monthly,Yoga,74,528,12:43,Present
318,2024-03-17,59,Female,Annual,Yoga,120,797,18:31,Present
319,2024-07-06,49,Male,Annual,HIIT,33,226,12:39,Absent
320,2024-05-14,35,Female,Monthly,Cardio,107,543,19:37,Absent
321,2024-11-13,64,Male,Annual,Yoga,98,494,7:07,Present
322,2024-11-20,61,Other,Quarterly,Strength Training,69,388,6:24,Absent
323,2024-03-31,57,Female,Quarterly,CrossFit,24,144,8:56,Absent
324,2024-02-15,47,Male,Annual,Strength Training,70,512,21:52,Present
325,2024-06-18,52,Male,Annual,HIIT,76,390,11:07,Present
326,2024-04-22,64,Male,Annual,Strength Training,35,198,21:54,Present
327,2024-07-13,50,Male,Quarterly,Yoga,31,305,9:53,Absent
328,2024-06-25,27,Male,Quarterly,CrossFit,90,551,7:48,Absent
329,2024-07-26,35,Female,Monthly,HIIT,51,453,14:58,Present
330,2024-05-19,63,Other,Annual,HIIT,47,340,5:44,Present
331,2024-11-19,56,Other,Quarterly,HIIT,62,315,22:33,Present
332,2024-03-16,57,Male,Quarterly,Yoga,64,609,13:29,Absent
333,2024-06-17,51,Female,Quarterly,CrossFit,92,599,14:54,Absent
334,2024-09-16,58,Male,Monthly,Cardio,24,168,8:41,Present
335,2024-07-04,53,Female,Annual,Cardio,80,755,14:04,Present
336,2024-01-26,34,Other,Monthly,Cardio,29,210,10:34,Absent
337,2024-01-01,57,Female,Quarterly,CrossFit,118,760,5:28,Present
338,2024-04-10,20,Female,Monthly,Cardio,116,1075,12:14,Present
339,2024-10-08,43,Other,Quarterly,CrossFit,36,285,9:34,Present
340,2024-02-14,27,Female,Quarterly,HIIT,100,750,15:38,Present
341,2024-12-08,36,Male,Monthly,CrossFit,46,257,11:09,Absent
342,2024-11-15,50,Male,Monthly,Yoga,37,327,15:34,Present
343,2024-12-14,27,Female,Monthly,Strength Training,48,354,21:09,Absent
344,2024-05-22,32,Other,Annual,CrossFit,119,1118,15:13,Absent
345,2024-06-29,44,Male,Annual,HIIT,20,180,13:36,Present
346,2024-01-08,26,Female,Quarterly,Cardio,118,813,12:44,Present
347,2024-01-24,33,Female,Quarterly,HIIT,104,814,17:55,Absent
348,2024-04-17,22,Male,Monthly,Strength Training,53,396,11:21,Absent
349,2024-08-13,36,Male,Monthly,Cardio,84,756,6:51,Present
350,2024-03-17,60,Other,Monthly,Yoga,83,750,7:21,Present
351,2024-11-19,28,Female,Monthly,Cardio,35,203,7:10,Present
352,2024-10-11,53,Other,Annual,CrossFit,79,448,15:58,Present
353,2024-01-20,58,Other,Quarterly,Cardio,25,201,18:19,Absent
354,2024-10-28,20,Male,Monthly,Cardio,116,997,19:31,Present
355,2024-08-12,46,Other,Quarterly,Cardio,66,621,17:54,Present
356,2024-02-22,65,Male,Monthly,Strength Training,73,605,13:44,Absent
357,2024-02-27,26,Female,Annual,Cardio,52,462,7:12,Absent
358,2024-11-27,48,Other,Annual,CrossFit,74,719,12:34,Absent
359,2024-04-20,59,Female,Annual,HIIT,48,332,13:08,Present
360,2024-05-30,47,Male,Quarterly,HIIT,31,192,21:19,Absent
361,2024-08-31,38,Other,Monthly,Cardio,111,900,21:55,Present
362,2024-09-18,49,Male,Quarterly,Strength Training,56,504,14:12,Present
363,2024-02-03,40,Male,Monthly,Cardio,36,272,17:17,Present
364,2024-05-04,33,Other,Monthly,HIIT,108,813,8:12,Present
365,2024-09-20,38,Male,Quarterly,Yoga,56,347,5:30,Present
366,2024-01-20,30,Male,Monthly,HIIT,80,611,18:32,Present
367,2024-08-11,22,Male,Monthly,Yoga,80,659,22:05,Present
368,2024-06-26,40,Other,Annual,HIIT,55,511,16:35,Absent
369,2024-10-19,44,Male,Monthly,CrossFit,92,642,19:37,Present
370,2024-09-20,59,Female,Monthly,Cardio,40,391,14:28,Present
371,2024-04-26,54,Female,Annual,Yoga,63,389,19:28,Present
372,2024-09-06,51,Female,Monthly,Strength Training,55,424,9:40,Present
373,2024-02-26,45,Female,Quarterly,Yoga,46,418,18:07,Present
374,2024-01-29,34,Male,Monthly,Strength Training,21,107,6:46,Absent
375,2024-02-01,51,Female,Monthly,CrossFit,63,448,15:33,Absent
376,2024-07-21,44,Male,Quarterly,Strength Training,99,671,9:12,Absent
377,2024-08-10,48,Other,Quarterly,Cardio,45,404,16:49,Absent
378,2024-10-21,18,Other,Annual,Cardio,27,158,8:44,Absent
379,2024-07-06,51,Female,Quarterly,Yoga,52,390,12:14,Absent
380,2024-09-18,51,Male,Monthly,Cardio,63,476,11:59,Present
381,2024-08-31,64,Male,Annual,Strength Training,59,369,15:39,Present
382,2024-12-22,40,Male,Quarterly,Cardio,75,671,6:07,Absent
383,2024-04-29,23,Other,Quarterly,Strength Training,35,203,7:42,Absent
384,2024-12-02,20,Other,Monthly,Cardio,85,835,5:18,Absent
385,2024-08-01,54,Other,Annual,Cardio,43,385,14:59,Absent
386,2024-07-04,59,Male,Quarterly,Cardio,71,551,16:52,Present
