期号 ,前区1,前区2,前区3,前区4,前区5,后区1,后区2,开奖日期
25110,1,15,22,30,31,2,8,9/24/2025
25109,4,8,10,13,26,9,10,9/22/2025
25108,14,18,21,24,29,3,6,9/20/2025
25107,5,7,8,15,33,6,10,9/17/2025
25106,5,6,11,26,29,5,10,9/15/2025
25105,15,16,25,28,34,10,12,9/13/2025
25104,2,6,9,22,34,2,8,9/10/2025
25103,5,8,19,32,34,4,5,9/8/2025
25102,9,10,13,26,28,2,4,9/6/2025
25101,5,7,19,26,32,8,9,9/3/2025
25100,26,28,32,34,35,2,7,9/1/2025
25099,6,12,20,26,31,2,4,8/30/2025
25098,1,7,9,10,23,10,12,8/27/2025
25097,5,24,25,32,34,1,9,8/25/2025
25096,2,11,17,22,24,7,9,8/23/2025
25095,7,13,14,19,27,6,10,8/20/2025
25094,4,9,17,30,33,5,9,8/18/2025
25093,1,7,9,16,30,2,5,8/16/2025
25092,4,10,17,25,32,5,7,8/13/2025
25091,1,19,22,25,27,3,10,8/11/2025
25090,6,14,19,22,27,1,4,8/9/2025
25089,2,11,12,32,34,3,10,8/6/2025
25088,8,9,10,11,35,5,11,8/4/2025
25087,5,13,14,16,20,3,8,8/2/2025
25086,2,6,23,24,33,1,10,7/30/2025
25085,2,5,9,14,33,4,9,7/28/2025
25084,9,11,13,18,29,4,11,7/26/2025
25083,12,17,18,20,34,2,5,7/23/2025
25082,2,3,4,12,26,1,8,7/21/2025
25081,1,4,6,15,18,2,3,7/19/2025
25080,9,10,18,22,24,3,12,7/16/2025
25079,2,14,32,34,35,5,11,7/14/2025
25078,7,10,15,21,24,5,6,7/12/2025
25077,12,14,16,19,28,1,4,7/9/2025
25076,11,18,22,25,29,4,12,7/7/2025
25075,8,12,16,19,35,6,9,7/5/2025
25074,2,11,15,18,21,5,10,7/2/2025
25073,1,4,17,33,34,3,9,6/30/2025
25072,4,7,15,24,29,1,4,6/28/2025
25071,1,8,25,31,33,5,11,6/25/2025
25070,8,9,15,20,22,4,12,6/23/2025
25069,4,6,7,33,34,9,10,6/21/2025
25068,1,4,17,20,22,4,10,6/18/2025
25067,6,10,12,21,22,1,6,6/16/2025
25066,15,18,27,28,34,3,6,6/14/2025
25065,7,25,32,33,35,4,9,6/11/2025
25064,5,10,18,20,34,1,8,6/9/2025
25063,5,18,26,29,32,7,10,6/7/2025
25062,14,20,27,28,29,6,10,6/4/2025
25061,2,11,16,23,28,5,10,6/2/2025
25060,12,14,19,33,34,1,7,5/31/2025
25059,3,9,10,11,26,1,2,5/28/2025
25058,6,11,15,21,23,1,7,5/26/2025
25057,9,10,11,12,29,1,10,5/24/2025
25056,12,15,28,29,32,8,11,5/21/2025
25055,8,10,25,29,30,1,2,5/19/2025
25054,3,12,16,21,29,1,2,5/17/2025
25053,14,23,29,30,33,6,12,5/14/2025
25052,2,4,11,29,30,2,8,5/12/2025
25051,2,4,13,29,31,5,12,5/10/2025
25050,15,18,20,21,34,4,10,5/7/2025
25049,9,20,22,29,34,3,8,5/5/2025
25048,2,6,17,23,35,6,11,5/3/2025
25047,3,10,11,12,21,2,3,4/30/2025
25046,4,10,15,20,34,4,7,4/28/2025
25045,8,11,21,23,27,3,8,4/26/2025
25044,15,17,21,22,26,2,8,4/23/2025
25043,3,16,20,21,27,9,11,4/21/2025
25042,6,8,11,18,20,5,11,4/19/2025
25041,3,4,21,22,27,5,11,4/16/2025
25040,2,8,16,31,32,4,12,4/14/2025
25039,3,7,14,15,19,6,10,4/12/2025
25038,7,8,20,26,34,8,9,4/9/2025
25037,5,20,23,27,31,4,6,4/7/2025
25036,4,7,13,27,30,2,6,4/5/2025
25035,22,25,28,29,30,4,8,4/2/2025
25034,4,15,22,28,33,6,8,3/31/2025
25033,1,2,8,10,33,10,12,3/29/2025
25032,12,22,25,27,28,1,2,3/26/2025
25031,14,18,20,25,35,1,7,3/24/2025
25030,3,9,14,24,28,6,7,3/22/2025
25029,5,9,26,31,33,3,10,3/19/2025
25028,6,8,20,25,29,3,7,3/17/2025
25027,3,6,11,13,20,1,11,3/15/2025
25026,2,3,7,17,30,1,9,3/12/2025
25025,3,6,8,10,25,3,7,3/10/2025
25024,6,12,13,16,23,5,8,3/8/2025
25023,10,20,22,24,25,9,12,3/5/2025
25022,1,11,13,27,29,4,10,3/3/2025
25021,10,18,25,30,35,3,12,3/1/2025
25020,1,9,12,22,29,5,9,2/26/2025
25019,7,8,11,18,23,3,11,2/24/2025
25018,1,7,9,20,28,1,4,2/22/2025
25017,10,12,26,28,31,3,10,2/19/2025
25016,5,7,12,20,29,8,12,2/17/2025
25015,7,10,24,31,35,1,8,2/15/2025
25014,5,19,22,29,35,2,10,2/12/2025
25013,14,16,18,20,35,2,5,2/10/2025
25012,2,18,19,21,25,2,11,2/8/2025
25011,3,6,7,11,27,2,8,1/25/2025
25010,5,21,28,30,32,7,12,1/22/2025
25009,3,19,21,30,32,6,9,1/20/2025
25008,1,5,7,13,35,5,12,1/18/2025
25007,15,22,23,25,31,1,9,1/15/2025
25006,3,4,13,19,35,3,10,1/13/2025
25005,5,6,8,31,32,9,11,1/11/2025
25004,2,5,9,13,33,1,7,1/8/2025
25003,10,25,30,32,34,4,10,1/6/2025
25002,19,21,22,28,32,6,9,1/4/2025
25001,5,8,16,17,27,4,7,1/1/2025
24152,1,2,7,8,31,2,10,12/30/2024
24151,5,12,17,19,35,10,11,12/28/2024
24150,4,11,23,25,34,5,7,12/25/2024
24149,2,5,16,18,22,7,9,12/23/2024
24148,6,9,20,32,35,8,11,12/21/2024
24147,12,18,21,22,31,1,7,12/18/2024
24146,5,20,21,22,32,3,4,12/16/2024
24145,1,6,9,22,24,1,3,12/14/2024
24144,6,7,8,21,30,1,5,12/11/2024
24143,16,20,22,24,31,4,5,12/9/2024
24142,8,21,24,33,34,3,10,12/7/2024
24141,2,6,7,16,20,2,11,12/4/2024
24140,3,6,15,23,31,1,12,12/2/2024
24139,5,12,20,23,24,5,7,11/30/2024
24138,5,17,20,28,34,4,9,11/27/2024
24137,8,15,16,17,21,2,5,11/25/2024
24136,1,17,20,29,34,7,8,11/23/2024
24135,6,8,22,24,30,3,8,11/20/2024
24134,1,4,7,13,33,5,6,11/18/2024
24133,8,10,14,22,29,4,6,11/16/2024
24132,5,6,10,16,31,6,9,11/13/2024
24131,2,3,4,21,26,2,3,11/11/2024
24130,11,21,25,31,32,4,10,11/9/2024
24129,7,19,30,31,34,5,7,11/6/2024
24128,3,7,10,29,31,1,3,11/4/2024
24127,2,3,10,16,28,7,10,11/2/2024
24126,2,10,17,28,34,7,8,10/30/2024
24125,10,14,19,24,26,1,10,10/28/2024
24124,2,3,7,10,25,1,11,10/26/2024
24123,3,9,16,30,31,8,9,10/23/2024
24122,5,6,9,15,17,3,10,10/21/2024
24121,7,15,18,24,33,4,5,10/19/2024
24120,4,12,17,23,27,2,8,10/16/2024
24119,6,12,28,30,33,2,7,10/14/2024
24118,1,3,9,16,19,5,11,10/12/2024
24117,2,10,22,26,28,2,4,10/9/2024
24116,1,3,6,16,25,1,11,10/7/2024
24115,3,4,12,19,24,8,12,10/5/2024
24114,12,27,30,34,35,5,11,9/30/2024
24113,16,18,25,26,33,4,8,9/28/2024
24112,5,15,24,31,34,3,10,9/25/2024
24111,3,9,19,27,30,7,11,9/23/2024
24110,1,7,8,18,28,4,12,9/21/2024
24109,12,23,26,27,28,3,11,9/18/2024
24108,16,17,21,31,34,3,8,9/16/2024
24107,6,14,16,18,34,3,10,9/14/2024
24106,5,11,19,22,29,2,12,9/11/2024
24105,14,20,21,28,32,9,11,9/9/2024
24104,1,4,9,13,17,6,9,9/7/2024
24103,19,21,29,32,33,6,8,9/4/2024
24102,1,5,9,14,20,5,11,9/2/2024
24101,16,19,22,27,35,6,10,8/31/2024
24100,2,12,19,22,32,5,11,8/28/2024
24099,4,10,24,31,35,5,8,8/26/2024
24098,3,10,15,19,29,9,10,8/24/2024
24097,7,11,12,14,19,2,8,8/21/2024
24096,2,3,23,27,31,1,10,8/19/2024
24095,1,7,19,26,27,3,5,8/17/2024
24094,12,13,24,29,31,2,8,8/14/2024
24093,16,24,26,28,29,8,12,8/12/2024
24092,2,4,25,26,31,1,6,8/10/2024
24091,1,8,11,17,21,1,2,8/7/2024
24090,2,3,6,28,33,7,11,8/5/2024
24089,5,6,29,30,34,7,8,8/3/2024
24088,1,2,23,28,32,3,5,7/31/2024
24087,7,10,20,28,34,5,10,7/29/2024
24086,11,12,14,22,28,7,11,7/27/2024
24085,2,9,16,29,35,1,6,7/24/2024
24084,4,11,16,17,23,5,10,7/22/2024
24083,9,11,12,13,30,7,9,7/20/2024
24082,8,21,23,24,26,4,5,7/17/2024
24081,14,15,25,27,34,1,10,7/15/2024
24080,3,5,24,27,28,9,11,7/13/2024
24079,3,8,17,18,23,6,11,7/10/2024
24078,5,7,10,14,15,4,7,7/8/2024
24077,1,3,25,26,29,6,12,7/6/2024
24076,1,6,22,27,35,7,12,7/3/2024
24075,8,17,26,28,32,1,10,7/1/2024
24074,2,10,11,21,27,9,11,6/29/2024
24073,7,9,12,21,23,5,9,6/26/2024
24072,4,17,21,23,32,1,6,6/24/2024
24071,6,10,15,34,35,2,10,6/22/2024
24070,4,20,21,32,34,2,9,6/19/2024
24069,7,9,16,20,24,3,7,6/17/2024
24068,15,20,31,32,33,5,10,6/15/2024
24067,3,11,14,20,22,6,9,6/12/2024
24066,13,19,20,24,25,6,7,6/10/2024
24065,5,10,18,26,27,3,6,6/8/2024
24064,5,12,21,32,33,8,9,6/5/2024
24063,7,12,16,33,34,1,3,6/3/2024
24062,5,14,15,16,33,3,5,6/1/2024
24061,1,12,19,31,33,5,8,5/29/2024
24060,3,21,25,28,30,1,12,5/27/2024
24059,17,18,20,25,31,3,12,5/25/2024
24058,6,10,13,20,32,1,2,5/22/2024
24057,9,25,30,33,34,3,9,5/20/2024
24056,16,17,18,27,35,6,12,5/18/2024
24055,7,17,22,30,34,5,7,5/15/2024
24054,5,6,9,11,22,1,3,5/13/2024
24053,1,7,19,20,35,3,9,5/11/2024
24052,2,3,13,22,34,4,8,5/8/2024
24051,5,21,22,23,29,1,2,5/6/2024
24050,3,4,14,18,26,7,9,5/4/2024
24049,4,6,9,10,22,1,8,5/1/2024
24048,12,18,21,26,28,8,9,4/29/2024
24047,11,19,21,26,35,10,11,4/27/2024
24046,6,12,17,29,30,7,11,4/24/2024
24045,9,10,14,31,32,3,8,4/22/2024
24044,3,13,15,17,22,6,10,4/20/2024
24043,3,4,8,14,27,5,7,4/17/2024
24042,1,8,15,23,35,5,12,4/15/2024
24041,6,8,14,16,28,3,5,4/13/2024
24040,5,12,16,29,30,3,6,4/10/2024
24039,3,10,11,20,22,6,10,4/8/2024
24038,15,22,24,25,29,1,5,4/6/2024
24037,17,19,20,29,35,7,11,4/3/2024
24036,2,5,11,32,34,6,10,4/1/2024
24035,5,13,17,29,33,5,12,3/30/2024
24034,23,26,27,29,33,5,8,3/27/2024
24033,4,8,10,11,15,7,9,3/25/2024
24032,5,15,26,33,35,1,9,3/23/2024
24031,9,12,15,30,34,5,6,3/20/2024
24030,8,9,11,19,30,6,12,3/18/2024
24029,4,19,24,28,34,4,5,3/16/2024
24028,13,18,20,26,28,4,8,3/13/2024
24027,8,9,16,22,23,7,9,3/11/2024
24026,1,18,21,26,33,2,12,3/9/2024
24025,1,2,8,18,27,4,8,3/6/2024
24024,3,5,12,17,26,1,12,3/4/2024
24023,8,10,12,14,22,5,9,3/2/2024
24022,7,9,11,31,32,4,8,2/28/2024
24021,1,12,16,20,28,7,9,2/26/2024
24020,2,4,8,19,26,2,6,2/24/2024
24019,19,20,26,29,30,3,4,2/21/2024
24018,4,12,19,25,27,1,9,2/19/2024
24017,3,7,25,27,35,1,4,2/7/2024
24016,15,18,25,27,29,6,11,2/5/2024
24015,8,11,14,24,31,5,6,2/3/2024
24014,4,5,16,21,31,9,11,1/31/2024
24013,5,22,25,28,30,3,12,1/29/2024
24012,21,22,25,26,34,1,9,1/27/2024
24011,1,3,27,32,34,1,7,1/24/2024
24010,2,8,10,15,27,2,8,1/22/2024
24009,15,18,19,24,26,5,9,1/20/2024
24008,4,6,11,20,30,3,5,1/17/2024
24007,4,5,28,34,35,4,11,1/15/2024
24006,8,13,16,17,33,2,10,1/13/2024
24005,3,5,7,9,12,5,8,1/10/2024
24004,2,6,18,19,27,8,9,1/8/2024
24003,7,9,12,23,29,1,2,1/6/2024
24002,1,6,8,27,32,3,4,1/3/2024
24001,3,9,17,26,35,2,7,1/1/2024
23150,5,6,17,18,33,11,12,12/30/2023
23149,1,16,17,21,29,1,6,12/27/2023
23148,11,12,20,21,27,2,12,12/25/2023
23147,6,7,19,33,34,3,8,12/23/2023
23146,14,18,19,26,31,2,7,12/20/2023
23145,6,10,12,32,33,6,7,12/18/2023
23144,5,14,18,25,35,1,10,12/16/2023
23143,9,20,23,29,33,2,10,12/13/2023
23142,4,13,15,17,32,10,12,12/11/2023
23141,4,22,25,30,31,4,5,12/9/2023
23140,1,2,9,19,30,1,2,12/6/2023
23139,15,16,25,31,34,5,9,12/4/2023
23138,7,12,20,28,31,9,10,12/2/2023
23137,4,19,21,30,31,6,12,11/29/2023
23136,13,23,27,30,34,6,9,11/27/2023
23135,5,18,22,28,29,9,12,11/25/2023
23134,10,15,22,27,33,1,12,11/22/2023
23133,10,18,25,28,33,5,11,11/20/2023
23132,3,4,12,15,23,2,6,11/18/2023
23131,3,7,21,22,24,6,7,11/15/2023
23130,13,20,27,29,30,1,7,11/13/2023
23129,9,23,25,27,33,6,12,11/11/2023
23128,1,5,7,12,13,2,6,11/8/2023
23127,4,7,8,18,19,2,6,11/6/2023
23126,7,12,17,26,34,2,6,11/4/2023
23125,7,25,26,29,32,2,8,11/1/2023
23124,6,18,23,27,32,6,10,10/30/2023
23123,2,14,16,28,30,2,7,10/28/2023
23122,1,7,9,25,29,10,12,10/25/2023
23121,5,11,15,23,33,1,9,10/23/2023
23120,2,8,16,31,34,1,10,10/21/2023
23119,4,8,10,14,21,4,10,10/18/2023
23118,6,7,13,25,33,5,8,10/16/2023
23117,5,7,15,18,20,3,4,10/14/2023
23116,1,3,9,18,29,4,9,10/11/2023
23115,7,10,23,31,34,2,10,10/9/2023
23114,2,25,27,30,35,1,10,10/7/2023
23113,6,8,30,32,33,3,10,9/30/2023
23112,1,11,17,22,27,2,9,9/27/2023
23111,3,12,15,28,35,2,12,9/25/2023
23110,4,9,11,13,17,7,8,9/23/2023
23109,1,12,21,22,31,2,9,9/20/2023
23108,5,6,17,30,32,2,8,9/18/2023
23107,1,12,15,16,18,3,10,9/16/2023
23106,16,24,26,28,31,1,6,9/13/2023
23105,7,8,19,20,25,2,11,9/11/2023
23104,6,15,16,32,33,8,10,9/9/2023
23103,8,11,19,31,32,8,11,9/6/2023
23102,2,4,7,16,33,7,11,9/4/2023
23101,6,14,16,17,28,7,10,9/2/2023
23100,4,6,13,19,35,9,11,8/30/2023
23099,9,11,13,22,23,6,7,8/28/2023
23098,2,7,15,30,34,5,9,8/26/2023
23097,6,7,18,20,22,3,9,8/23/2023
23096,6,7,14,21,31,3,10,8/21/2023
23095,8,19,28,32,34,3,7,8/19/2023
23094,12,19,22,28,32,8,12,8/16/2023
23093,11,14,17,19,21,1,5,8/14/2023
23092,3,16,21,26,32,3,12,8/12/2023
23091,6,16,18,28,29,7,11,8/9/2023
23090,8,11,12,19,35,11,12,8/7/2023
23089,3,12,20,26,35,2,12,8/5/2023
23088,8,14,16,22,24,9,12,8/2/2023
23087,3,4,16,19,24,4,5,7/31/2023
23086,3,11,15,20,35,7,11,7/29/2023
23085,11,12,26,31,35,5,7,7/26/2023
23084,3,5,8,24,32,7,8,7/24/2023
23083,13,15,21,25,32,9,10,7/22/2023
23082,2,8,9,15,20,3,9,7/19/2023
23081,5,6,23,28,35,7,10,7/17/2023
23080,1,2,9,16,30,1,11,7/15/2023
23079,6,8,26,29,34,5,8,7/12/2023
23078,2,3,6,26,27,7,8,7/10/2023
23077,5,16,18,26,35,3,6,7/8/2023
23076,8,9,11,26,34,2,7,7/5/2023
23075,7,17,20,23,32,5,11,7/3/2023
23074,3,13,22,29,34,2,9,7/1/2023
23073,15,25,28,30,35,8,10,6/28/2023
23072,5,6,9,11,14,2,4,6/26/2023
23071,2,11,12,32,34,10,12,6/24/2023
23070,10,26,29,32,33,3,11,6/21/2023
23069,8,20,21,25,32,5,7,6/19/2023
23068,21,22,24,27,31,7,8,6/17/2023
23067,2,28,30,33,35,2,10,6/14/2023
23066,6,11,13,30,32,1,3,6/12/2023
23065,8,14,16,21,25,3,12,6/10/2023
23064,2,6,9,31,32,3,7,6/7/2023
23063,4,18,29,31,34,6,9,6/5/2023
23062,6,8,22,24,30,1,8,6/3/2023
23061,7,11,21,30,32,5,7,5/31/2023
23060,2,7,19,24,30,9,12,5/29/2023
23059,9,13,23,25,28,4,7,5/27/2023
23058,19,22,29,32,35,5,8,5/24/2023
23057,1,5,6,19,24,5,11,5/22/2023
23056,13,22,24,33,34,1,2,5/20/2023
23055,6,8,12,13,15,1,6,5/17/2023
23054,19,25,30,31,34,7,9,5/15/2023
23053,1,3,11,14,20,2,11,5/13/2023
23052,2,8,11,30,33,5,8,5/10/2023
23051,3,11,19,29,33,3,12,5/8/2023
23050,8,9,14,25,29,4,6,5/6/2023
23049,3,17,22,26,28,7,12,5/3/2023
23048,7,13,16,25,32,9,11,5/1/2023
23047,10,12,13,24,25,11,12,4/29/2023
23046,13,21,25,28,32,2,10,4/26/2023
23045,7,10,13,28,31,4,5,4/24/2023
23044,2,6,7,8,15,7,10,4/22/2023
23043,2,4,17,20,27,1,8,4/19/2023
23042,2,16,21,23,27,1,8,4/17/2023
23041,5,8,13,26,35,5,9,4/15/2023
23040,4,5,18,22,30,5,12,4/12/2023
23039,2,24,26,30,34,6,7,4/10/2023
23038,4,10,18,27,32,10,12,4/8/2023
23037,6,8,16,20,24,7,8,4/5/2023
23036,1,13,22,26,31,2,10,4/3/2023
23035,7,14,23,25,29,2,11,4/1/2023
23034,7,9,10,15,24,4,12,3/29/2023
23033,4,6,10,11,25,7,9,3/27/2023
23032,5,6,18,28,30,2,7,3/25/2023
23031,5,7,8,16,25,3,11,3/22/2023
23030,6,11,12,20,35,5,12,3/20/2023
23029,7,25,27,34,35,9,11,3/18/2023
23028,1,3,29,30,34,4,12,3/15/2023
23027,9,10,12,15,23,3,6,3/13/2023
23026,2,13,24,27,30,1,6,3/11/2023
23025,3,9,27,30,31,11,12,3/8/2023
23024,11,15,24,27,30,1,10,3/6/2023
23023,9,21,23,25,33,3,10,3/4/2023
23022,7,11,15,26,28,8,10,3/1/2023
23021,2,9,18,23,27,3,5,2/27/2023
23020,5,6,23,25,28,6,9,2/25/2023
23019,5,8,9,11,15,6,8,2/22/2023
23018,4,8,17,26,30,3,11,2/20/2023
23017,2,5,9,22,27,10,11,2/18/2023
23016,2,4,12,31,32,7,11,2/15/2023
23015,8,16,24,25,34,8,12,2/13/2023
23014,3,8,18,22,24,1,9,2/11/2023
23013,1,2,9,23,25,2,6,2/8/2023
23012,7,16,17,18,28,2,3,2/6/2023
23011,2,7,8,17,25,1,3,2/4/2023
23010,5,6,13,23,26,1,6,2/1/2023
23009,1,5,11,15,33,1,10,1/30/2023
23008,4,9,17,22,25,1,5,1/18/2023
23007,2,3,24,30,32,1,6,1/16/2023
23006,2,4,12,27,35,6,7,1/14/2023
23005,1,3,10,20,29,6,11,1/11/2023
23004,4,13,15,20,22,4,8,1/9/2023
23003,5,6,14,21,22,2,9,1/7/2023
23002,11,14,21,26,27,2,7,1/4/2023
23001,18,19,24,27,34,11,12,1/2/2023
22150,6,7,26,29,30,3,12,12/31/2022
22149,15,19,22,26,28,2,7,12/28/2022
22148,4,5,6,26,27,7,12,12/26/2022
22147,4,12,22,28,30,9,11,12/24/2022
22146,1,21,23,28,35,7,9,12/21/2022
22145,10,20,29,30,35,6,9,12/19/2022
22144,3,4,8,15,21,4,7,12/17/2022
22143,10,13,14,27,33,7,8,12/14/2022
22142,7,12,14,29,35,1,11,12/12/2022
22141,5,6,14,24,25,2,4,12/10/2022
22140,5,15,25,26,29,4,12,12/7/2022
22139,1,13,14,22,35,2,5,12/5/2022
22138,5,13,16,27,33,7,12,12/3/2022
22137,5,6,8,15,20,7,8,11/30/2022
22136,1,11,15,17,33,3,11,11/28/2022
22135,9,10,27,31,32,1,3,11/26/2022
22134,3,16,23,27,32,3,6,11/23/2022
22133,1,2,14,30,31,6,9,11/21/2022
22132,2,27,30,34,35,9,12,11/19/2022
22131,2,6,8,10,17,5,6,11/16/2022
22130,5,7,15,18,23,5,10,11/14/2022
22129,10,17,23,34,35,1,4,11/12/2022
22128,10,19,21,23,35,4,10,11/9/2022
22127,2,3,8,9,20,4,10,11/7/2022
22126,4,5,8,22,35,1,3,11/5/2022
22125,3,7,14,16,19,1,11,11/2/2022
22124,2,4,11,25,30,6,12,10/31/2022
22123,2,20,28,29,30,7,10,10/29/2022
22122,4,15,17,19,25,6,12,10/26/2022
22121,4,15,16,20,21,4,5,10/24/2022
22120,11,22,26,30,33,3,5,10/22/2022
22119,1,9,16,25,29,4,9,10/19/2022
22118,2,5,15,17,26,2,8,10/17/2022
22117,9,12,15,21,32,2,7,10/15/2022
22116,1,7,20,22,31,7,12,10/12/2022
22115,17,19,20,23,27,3,8,10/10/2022
22114,11,21,24,27,28,5,10,10/8/2022
22113,13,15,22,31,33,5,12,10/5/2022
22112,4,11,18,20,26,6,12,9/28/2022
22111,6,12,16,19,31,6,10,9/26/2022
22110,2,13,16,18,23,3,6,9/24/2022
22109,5,9,24,29,35,5,12,9/21/2022
22108,4,7,13,26,28,7,11,9/19/2022
22107,7,9,19,28,29,8,10,9/17/2022
22106,16,17,21,28,32,4,7,9/14/2022
22105,1,8,9,21,22,1,4,9/12/2022
22104,3,5,13,19,25,2,5,9/10/2022
22103,8,12,16,21,32,1,12,9/7/2022
22102,1,5,14,20,30,2,4,9/5/2022
22101,2,4,6,7,8,3,6,9/3/2022
22100,10,19,20,23,31,3,7,8/31/2022
22099,7,18,25,27,33,4,5,8/29/2022
22098,1,3,6,11,13,3,11,8/27/2022
22097,5,13,22,28,29,5,11,8/24/2022
22096,16,19,24,27,33,1,6,8/22/2022
22095,5,8,22,25,35,2,7,8/20/2022
22094,3,4,7,12,19,2,5,8/17/2022
22093,7,11,14,21,29,7,10,8/15/2022
22092,1,4,12,23,29,5,12,8/13/2022
22091,2,11,20,22,34,4,12,8/10/2022
22090,1,20,24,25,31,9,12,8/8/2022
22089,1,20,21,31,33,3,11,8/6/2022
22088,1,8,10,20,35,6,11,8/3/2022
22087,4,6,10,24,28,6,12,8/1/2022
22086,4,10,21,28,31,8,11,7/30/2022
22085,11,16,31,33,35,6,8,7/27/2022
22084,3,11,19,25,27,4,12,7/25/2022
22083,2,9,17,26,32,4,6,7/23/2022
22082,4,26,27,30,33,2,9,7/20/2022
22081,5,10,19,31,32,9,10,7/18/2022
22080,10,17,30,31,34,3,6,7/16/2022
22079,7,10,19,26,32,8,12,7/13/2022
22078,2,3,18,20,27,1,2,7/11/2022
22077,5,10,11,16,19,1,10,7/9/2022
22076,5,17,30,34,35,2,9,7/6/2022
22075,4,12,13,17,18,7,9,7/4/2022
22074,2,6,21,25,28,2,6,7/2/2022
22073,11,18,21,25,32,2,4,6/29/2022
22072,1,12,13,15,30,3,7,6/27/2022
22071,9,15,19,25,29,8,9,6/25/2022
22070,1,7,17,23,35,7,11,6/22/2022
22069,2,3,23,28,35,2,9,6/20/2022
22068,3,6,10,15,23,3,8,6/18/2022
22067,4,14,15,32,33,10,11,6/15/2022
22066,2,24,25,26,34,3,12,6/13/2022
22065,5,10,13,22,28,1,4,6/11/2022
22064,2,19,22,25,35,5,7,6/8/2022
22063,2,3,22,26,31,6,10,6/6/2022
22062,5,9,11,12,31,7,11,6/4/2022
22061,6,9,19,22,30,1,6,6/1/2022
22060,2,6,10,11,20,3,9,5/30/2022
22059,4,15,18,32,34,4,9,5/28/2022
22058,3,4,24,26,35,7,8,5/25/2022
22057,6,12,18,21,35,7,10,5/23/2022
22056,2,11,15,17,31,7,9,5/21/2022
22055,1,2,12,15,23,4,6,5/18/2022
22054,5,16,21,23,34,7,10,5/16/2022
22053,9,17,19,20,25,1,9,5/14/2022
22052,1,13,18,29,35,4,9,5/11/2022
22051,1,16,17,19,33,5,6,5/9/2022
22050,2,10,21,24,30,8,10,5/7/2022
22049,6,10,20,28,35,1,10,5/4/2022
22048,16,22,28,29,32,8,9,5/2/2022
22047,7,10,11,12,33,3,11,4/30/2022
22046,6,7,12,22,27,3,5,4/27/2022
22045,2,3,7,12,20,1,5,4/25/2022
22044,1,2,16,17,20,3,7,4/23/2022
22043,2,16,17,24,30,9,12,4/20/2022
22042,8,10,11,29,32,2,6,4/18/2022
22041,5,15,25,26,33,6,11,4/16/2022
22040,10,19,25,29,33,8,12,4/13/2022
22039,1,8,11,22,31,5,11,4/11/2022
22038,7,9,11,12,26,9,12,4/9/2022
22037,1,9,17,20,28,6,10,4/6/2022
22036,18,19,21,26,34,6,7,4/4/2022
