country,region,year,vehicle_segment,powertrain_type,ev_sales,petrol_car_sales,diesel_car_sales,total_vehicle_sales,ev_market_share,charging_stations,fast_chargers_share,avg_ev_range_km,fuel_price_usd_per_liter,electricity_price_usd_per_kwh,gdp_per_capita,urban_population_percent,co2_emissions_transport_mt,ev_subsidy_usd,emission_regulation_score,ev_growth_rate_yoy,is_ev_dominant
Australia,Oceania,2019,commercial,ICE,468,96285,64190,160943,0.29,2610,14.6,289,1.17,0.219,54844,87.1,93.3,0,43.2,82.1,0
Australia,Oceania,2019,mass_market,ICE,5228,549725,74963,629916,0.83,2610,14.6,289,1.17,0.219,54844,87.1,93.3,0,43.2,77.82,0
Australia,Oceania,2019,premium,ICE,3179,240099,20878,264156,1.2,2610,14.6,289,1.17,0.219,54844,87.1,93.3,0,43.2,75.64,0
Australia,Oceania,2020,commercial,ICE,349,82916,55277,138542,0.25,3031,17.0,346,1.267,0.218,58442,85.9,89.6,0,45.6,-25.43,0
Australia,Oceania,2020,mass_market,ICE,4009,486451,66334,556794,0.72,3031,17.0,346,1.267,0.218,58442,85.9,89.6,0,45.6,-23.32,0
Australia,Oceania,2020,premium,ICE,2415,210605,18313,231333,1.04,3031,17.0,346,1.267,0.218,58442,85.9,89.6,0,45.6,-24.03,0
Australia,Oceania,2021,commercial,ICE,1094,92662,61774,155530,0.7,4245,19.1,367,1.397,0.223,62105,86.3,87.1,1002,47.2,213.47,0
Australia,Oceania,2021,mass_market,ICE,12285,527029,71868,611182,2.01,4245,19.1,367,1.397,0.223,62105,86.3,87.1,1002,47.2,206.44,0
Australia,Oceania,2021,premium,ICE,7441,228052,19831,255324,2.91,4245,19.1,367,1.397,0.223,62105,86.3,87.1,1002,47.2,208.12,0
Australia,Oceania,2022,commercial,ICE,4541,94469,62979,161989,2.8,4928,20.5,407,1.46,0.23,63869,86.2,89.5,1999,52.1,300.0,0
Australia,Oceania,2022,mass_market,ICE,51183,517272,70537,638992,8.01,4928,20.5,407,1.46,0.23,63869,86.2,89.5,1999,52.1,300.0,0
Australia,Oceania,2022,premium,ICE,31580,221097,19226,271903,11.61,4928,20.5,407,1.46,0.23,63869,86.2,89.5,1999,52.1,300.0,0
Australia,Oceania,2023,commercial,ICE,5073,107470,71646,184189,2.75,6741,25.8,429,1.47,0.238,62658,86.2,90.8,1998,54.7,11.72,0
Australia,Oceania,2023,mass_market,ICE,57799,595430,81195,734424,7.87,6741,25.8,429,1.47,0.238,62658,86.2,90.8,1998,54.7,12.93,0
Australia,Oceania,2023,premium,ICE,35066,250441,21778,307285,11.41,6741,25.8,429,1.47,0.238,62658,86.2,90.8,1998,54.7,11.04,0
Australia,Oceania,2024,commercial,ICE,6184,107417,71611,185212,3.34,10083,27.4,450,1.39,0.247,61661,86.6,88.1,2027,57.9,21.9,0
Australia,Oceania,2024,mass_market,ICE,69778,582248,79397,731423,9.54,10083,27.4,450,1.39,0.247,61661,86.6,88.1,2027,57.9,20.73,0
Australia,Oceania,2024,premium,ICE,42428,243146,21143,306717,13.83,10083,27.4,450,1.39,0.247,61661,86.6,88.1,2027,57.9,20.99,0
Australia,Oceania,2025,commercial,ICE,7871,106880,71254,186005,4.23,13357,31.2,479,1.32,0.258,62917,87.1,84.5,2011,61.6,27.28,0
Australia,Oceania,2025,mass_market,ICE,90872,581468,79291,751631,12.09,13357,31.2,479,1.32,0.258,62917,87.1,84.5,2011,61.6,30.23,0
Australia,Oceania,2025,premium,ICE,54396,235423,20472,310291,17.53,13357,31.2,479,1.32,0.258,62917,87.1,84.5,2011,61.6,28.21,0
Austria,Europe,2010,commercial,ICE,7,29372,19584,48963,0.01,106,3.1,123,1.25,0.183,47040,57.6,21.9,0,55.7,0.0,0
Austria,Europe,2010,mass_market,ICE,39,172919,23580,196538,0.02,106,3.1,123,1.25,0.183,47040,57.6,21.9,0,55.7,0.0,0
Austria,Europe,2010,premium,ICE,23,74257,6457,80737,0.03,106,3.1,123,1.25,0.183,47040,57.6,21.9,0,55.7,0.0,0
Austria,Europe,2011,commercial,ICE,7,29600,19734,49341,0.01,245,4.3,132,1.223,0.181,46642,57.6,22.6,570,57.3,0.0,0
Austria,Europe,2011,mass_market,ICE,77,169880,23165,193122,0.04,245,4.3,132,1.223,0.181,46642,57.6,22.6,570,57.3,97.44,0
Austria,Europe,2011,premium,ICE,47,74737,6499,81283,0.06,245,4.3,132,1.223,0.181,46642,57.6,22.6,570,57.3,104.35,0
Austria,Europe,2012,commercial,ICE,12,28680,19120,47812,0.03,399,6.0,136,1.207,0.185,45538,57.6,23.1,1145,59.0,30.93,0
Austria,Europe,2012,mass_market,ICE,135,169419,23103,192657,0.07,399,6.0,136,1.207,0.185,45538,57.6,23.1,1145,59.0,86.05,0
Austria,Europe,2012,premium,ICE,78,70738,6151,76967,0.1,399,6.0,136,1.207,0.185,45538,57.6,23.1,1145,59.0,84.15,0
Austria,Europe,2013,commercial,ICE,16,27821,18547,46384,0.03,515,7.0,145,1.2,0.192,44093,58.0,23.4,1707,61.1,31.73,0
Austria,Europe,2013,mass_market,ICE,189,165919,22625,188733,0.1,515,7.0,145,1.2,0.192,44093,58.0,23.4,1707,61.1,40.0,0
Austria,Europe,2013,premium,ICE,114,72526,6307,78947,0.14,515,7.0,145,1.2,0.192,44093,58.0,23.4,1707,61.1,70.5,0
Austria,Europe,2014,commercial,ICE,47,27797,18531,46375,0.1,1521,8.7,155,1.197,0.196,44555,57.6,23.2,2323,62.8,88.65,0
Austria,Europe,2014,mass_market,ICE,543,164197,22391,187131,0.29,1521,8.7,155,1.197,0.196,44555,57.6,23.2,2323,62.8,187.3,0
Austria,Europe,2014,premium,ICE,332,72229,6281,78842,0.42,1521,8.7,155,1.197,0.196,44555,57.6,23.2,2323,62.8,191.23,0
Austria,Europe,2015,commercial,ICE,76,29553,19702,49331,0.15,2292,10.3,171,1.193,0.202,43327,57.6,23.2,2801,64.4,85.02,0
Austria,Europe,2015,mass_market,ICE,861,171452,23380,195693,0.44,2292,10.3,171,1.193,0.202,43327,57.6,23.2,2801,64.4,58.56,0
Austria,Europe,2015,premium,ICE,528,75598,6574,82700,0.64,2292,10.3,171,1.193,0.202,43327,57.6,23.2,2801,64.4,59.04,0
Austria,Europe,2016,commercial,ICE,162,30504,20336,51002,0.32,3438,11.3,190,1.2,0.207,44927,58.1,23.2,3445,67.6,116.34,0
Austria,Europe,2016,mass_market,ICE,1848,177091,24149,203088,0.91,3438,11.3,190,1.2,0.207,44927,58.1,23.2,3445,67.6,114.63,0
Austria,Europe,2016,premium,ICE,1112,76505,6653,84270,1.32,3438,11.3,190,1.2,0.207,44927,58.1,23.2,3445,67.6,110.61,0
Austria,Europe,2017,commercial,ICE,263,30505,20337,51105,0.51,4874,12.7,206,1.207,0.214,46311,58.0,23.4,3997,70.4,62.35,0
Austria,Europe,2017,mass_market,ICE,3040,179289,24448,206777,1.47,4874,12.7,206,1.207,0.214,46311,58.0,23.4,3997,70.4,64.5,0
Austria,Europe,2017,premium,ICE,1835,77526,6741,86102,2.13,4874,12.7,206,1.207,0.214,46311,58.0,23.4,3997,70.4,65.02,0
Austria,Europe,2018,commercial,ICE,387,30164,20110,50661,0.76,6365,14.4,263,1.227,0.214,47724,58.5,23.8,4486,74.2,47.15,0
Austria,Europe,2018,mass_market,ICE,4440,175305,23905,203650,2.18,6365,14.4,263,1.227,0.214,47724,58.5,23.8,4486,74.2,46.05,0
Austria,Europe,2018,premium,ICE,2675,75406,6557,84638,3.16,6365,14.4,263,1.227,0.214,47724,58.5,23.8,4486,74.2,45.78,0
Austria,Europe,2019,commercial,ICE,516,28807,19204,48527,1.06,8257,16.7,308,1.313,0.215,48850,58.4,22.9,5026,75.9,33.33,0
Austria,Europe,2019,mass_market,ICE,5924,166261,22672,194857,3.04,8257,16.7,308,1.313,0.215,48850,58.4,22.9,5026,75.9,33.42,0
Austria,Europe,2019,premium,ICE,3582,71458,6214,81254,4.41,8257,16.7,308,1.313,0.215,48850,58.4,22.9,5026,75.9,33.91,0
Austria,Europe,2020,commercial,ICE,1419,21523,14349,37291,3.81,10082,18.7,337,1.453,0.238,51354,58.6,22.2,5141,79.9,175.0,0
Austria,Europe,2020,mass_market,ICE,16251,117264,15990,149505,10.87,10082,18.7,337,1.453,0.238,51354,58.6,22.2,5141,79.9,174.32,0
Austria,Europe,2020,premium,ICE,9963,48991,4260,63214,15.76,10082,18.7,337,1.453,0.238,51354,58.6,22.2,5141,79.9,178.14,0
Austria,Europe,2021,commercial,ICE,2442,20095,13397,35934,6.8,13094,20.5,366,1.647,0.286,51589,59.1,21.2,5048,82.6,72.09,0
Austria,Europe,2021,mass_market,ICE,27900,101875,13892,143667,19.42,13094,20.5,366,1.647,0.286,51589,59.1,21.2,5048,82.6,71.68,0
Austria,Europe,2021,premium,ICE,16545,38835,3377,58757,28.16,13094,20.5,366,1.647,0.286,51589,59.1,21.2,5048,82.6,66.06,0
Austria,Europe,2022,commercial,ICE,2154,18047,12031,32232,6.68,16353,22.4,401,1.737,0.326,52184,59.1,21.3,5053,84.8,-11.79,0
Austria,Europe,2022,mass_market,ICE,25143,93777,12788,131708,19.09,16353,22.4,401,1.737,0.326,52184,59.1,21.3,5053,84.8,-9.88,0
Austria,Europe,2022,premium,ICE,14797,35566,3093,53456,27.68,16353,22.4,401,1.737,0.326,52184,59.1,21.3,5053,84.8,-10.57,0
Austria,Europe,2023,commercial,ICE,2330,20460,13640,36430,6.4,20878,23.5,422,1.757,0.333,52958,59.1,20.9,5032,87.2,8.17,0
Austria,Europe,2023,mass_market,ICE,26115,102806,14019,142940,18.27,20878,23.5,422,1.757,0.333,52958,59.1,20.9,5032,87.2,3.87,0
Austria,Europe,2023,premium,ICE,16147,41220,3584,60951,26.49,20878,23.5,422,1.757,0.333,52958,59.1,20.9,5032,87.2,9.12,0
Austria,Europe,2024,commercial,ICE,2990,20158,13439,36587,8.17,26311,25.7,445,1.68,0.308,56638,59.3,20.1,5071,90.2,28.33,0
Austria,Europe,2024,mass_market,ICE,34343,99208,13528,147079,23.35,26311,25.7,445,1.68,0.308,56638,59.3,20.1,5071,90.2,31.51,0
Austria,Europe,2024,premium,ICE,21233,38162,3318,62713,33.86,26311,25.7,445,1.68,0.308,56638,59.3,20.1,5071,90.2,31.5,0
Austria,Europe,2025,commercial,ICE,3416,21178,14119,38713,8.82,28762,28.8,481,1.6,0.277,57542,59.2,19.2,5068,92.5,14.25,0
Austria,Europe,2025,mass_market,ICE,40120,104742,14283,159145,25.21,28762,28.8,481,1.6,0.277,57542,59.2,19.2,5068,92.5,16.82,0
Austria,Europe,2025,premium,ICE,23485,37500,3261,64246,36.55,28762,28.8,481,1.6,0.277,57542,59.2,19.2,5068,92.5,10.61,0
Belgium,Europe,2010,commercial,ICE,6,50107,33405,83518,0.01,101,2.0,125,1.53,0.216,45291,97.5,26.4,0,55.1,0.0,0
Belgium,Europe,2010,mass_market,ICE,66,292245,39852,332163,0.02,101,2.0,125,1.53,0.216,45291,97.5,26.4,0,55.1,0.0,0
Belgium,Europe,2010,premium,ICE,40,125953,10952,136945,0.03,101,2.0,125,1.53,0.216,45291,97.5,26.4,0,55.1,0.0,0
Belgium,Europe,2011,commercial,ICE,11,47677,31785,79473,0.01,221,2.7,135,1.493,0.223,43513,97.7,25.9,705,56.0,83.33,0
Belgium,Europe,2011,mass_market,ICE,126,276670,37728,314524,0.04,221,2.7,135,1.493,0.223,43513,97.7,25.9,705,56.0,90.91,0
Belgium,Europe,2011,premium,ICE,75,118827,10333,129235,0.06,221,2.7,135,1.493,0.223,43513,97.7,25.9,705,56.0,87.5,0
Belgium,Europe,2012,commercial,ICE,18,44566,29711,74295,0.02,380,3.4,146,1.477,0.228,42820,98.2,25.5,1388,58.0,73.21,0
Belgium,Europe,2012,mass_market,ICE,210,263740,35965,299915,0.07,380,3.4,146,1.477,0.228,42820,98.2,25.5,1388,58.0,66.67,0
Belgium,Europe,2012,premium,ICE,128,116159,10101,126388,0.1,380,3.4,146,1.477,0.228,42820,98.2,25.5,1388,58.0,78.89,0
Belgium,Europe,2013,commercial,ICE,26,44672,29782,74480,0.03,512,4.3,142,1.44,0.232,42187,97.8,25.2,2108,60.6,63.03,0
Belgium,Europe,2013,mass_market,ICE,301,264841,36115,301257,0.1,512,4.3,142,1.44,0.232,42187,97.8,25.2,2108,60.6,43.33,0
Belgium,Europe,2013,premium,ICE,177,111996,9739,121912,0.15,512,4.3,142,1.44,0.232,42187,97.8,25.2,2108,60.6,38.28,0
Belgium,Europe,2014,commercial,ICE,92,43958,29305,73355,0.13,1241,4.9,153,1.433,0.236,40760,97.8,25.2,2822,62.4,102.99,0
Belgium,Europe,2014,mass_market,ICE,1079,262762,35831,299672,0.36,1241,4.9,153,1.433,0.236,40760,97.8,25.2,2822,62.4,258.47,0
Belgium,Europe,2014,premium,ICE,639,111985,9738,122362,0.52,1241,4.9,153,1.433,0.236,40760,97.8,25.2,2822,62.4,261.02,0
Belgium,Europe,2015,commercial,ICE,161,45037,30024,75222,0.21,2036,5.8,173,1.427,0.24,40432,97.2,25.1,3577,64.4,107.58,0
Belgium,Europe,2015,mass_market,ICE,1835,263036,35868,300739,0.61,2036,5.8,173,1.427,0.24,40432,97.2,25.1,3577,64.4,70.06,0
Belgium,Europe,2015,premium,ICE,1108,114211,9931,125250,0.88,2036,5.8,173,1.427,0.24,40432,97.2,25.1,3577,64.4,73.4,0
Belgium,Europe,2016,commercial,ICE,307,46430,30954,77691,0.4,3544,7.4,192,1.447,0.246,42098,97.8,24.7,3536,66.3,90.68,0
Belgium,Europe,2016,mass_market,ICE,3545,272960,37222,313727,1.13,3544,7.4,192,1.447,0.246,42098,97.8,24.7,3536,66.3,93.19,0
Belgium,Europe,2016,premium,ICE,2143,118364,10292,130799,1.64,3544,7.4,192,1.447,0.246,42098,97.8,24.7,3536,66.3,93.41,0
Belgium,Europe,2017,commercial,ICE,459,49834,33223,83516,0.55,4987,8.0,224,1.493,0.254,43789,97.9,24.5,3486,71.1,49.51,0
Belgium,Europe,2017,mass_market,ICE,5235,288837,39387,333459,1.57,4987,8.0,224,1.493,0.254,43789,97.9,24.5,3486,71.1,47.67,0
Belgium,Europe,2017,premium,ICE,3111,122846,10682,136639,2.28,4987,8.0,224,1.493,0.254,43789,97.9,24.5,3486,71.1,45.17,0
Belgium,Europe,2018,commercial,ICE,755,48593,32396,81744,0.92,6279,10.1,263,1.52,0.266,44627,98.1,24.1,3543,71.6,64.49,0
Belgium,Europe,2018,mass_market,ICE,8772,284684,38820,332276,2.64,6279,10.1,263,1.52,0.266,44627,98.1,24.1,3543,71.6,67.56,0
Belgium,Europe,2018,premium,ICE,5319,122949,10691,138959,3.83,6279,10.1,263,1.52,0.266,44627,98.1,24.1,3543,71.6,70.97,0
Belgium,Europe,2019,commercial,ICE,1043,50613,33742,85398,1.22,7817,10.2,298,1.59,0.274,46608,98.5,22.5,3471,76.0,38.15,0
Belgium,Europe,2019,mass_market,ICE,11748,285886,38984,336618,3.49,7817,10.2,298,1.59,0.274,46608,98.5,22.5,3471,76.0,33.93,0
Belgium,Europe,2019,premium,ICE,7127,123006,10696,140829,5.06,7817,10.2,298,1.59,0.274,46608,98.5,22.5,3471,76.0,33.99,0
Belgium,Europe,2020,commercial,ICE,2312,37094,24730,64136,3.6,12649,11.9,337,1.733,0.298,46763,98.2,21.1,3535,77.8,121.67,0
Belgium,Europe,2020,mass_market,ICE,26441,202631,27632,256704,10.3,12649,11.9,337,1.733,0.298,46763,98.2,21.1,3535,77.8,125.07,0
Belgium,Europe,2020,premium,ICE,15953,83592,7269,106814,14.94,12649,11.9,337,1.733,0.298,46763,98.2,21.1,3535,77.8,123.84,0
Belgium,Europe,2021,commercial,ICE,4589,34726,23150,62465,7.35,17869,13.3,382,1.893,0.33,47860,97.6,20.6,3520,80.3,98.49,0
Belgium,Europe,2021,mass_market,ICE,52193,172887,23576,248656,20.99,17869,13.3,382,1.893,0.33,47860,97.6,20.6,3520,80.3,97.39,0
Belgium,Europe,2021,premium,ICE,31513,66265,5762,103540,30.44,17869,13.3,382,1.893,0.33,47860,97.6,20.6,3520,80.3,97.54,0
Belgium,Europe,2022,commercial,ICE,4620,32806,21871,59297,7.79,21777,15.6,394,2.007,0.356,49999,98.4,20.9,3484,82.8,0.68,0
Belgium,Europe,2022,mass_market,ICE,52147,160264,21854,234265,22.26,21777,15.6,394,2.007,0.356,49999,98.4,20.9,3484,82.8,-0.09,0
Belgium,Europe,2022,premium,ICE,30972,59786,5199,95957,32.28,21777,15.6,394,2.007,0.356,49999,98.4,20.9,3484,82.8,-1.72,0
Belgium,Europe,2023,commercial,ICE,5218,35843,23896,64957,8.03,29142,17.8,423,1.983,0.351,50951,98.1,20.9,1753,85.7,12.94,0
Belgium,Europe,2023,mass_market,ICE,58836,173825,23703,256364,22.95,29142,17.8,423,1.983,0.351,50951,98.1,20.9,1753,85.7,12.83,0
Belgium,Europe,2023,premium,ICE,35470,65429,5689,106588,33.28,29142,17.8,423,1.983,0.351,50951,98.1,20.9,1753,85.7,14.52,0
Belgium,Europe,2024,commercial,ICE,5766,37419,24946,68131,8.46,36474,20.9,452,1.93,0.328,51956,98.2,20.1,0,87.4,10.5,0
Belgium,Europe,2024,mass_market,ICE,66415,183264,24991,274670,24.18,36474,20.9,452,1.93,0.328,51956,98.2,20.1,0,87.4,12.88,0
Belgium,Europe,2024,premium,ICE,40030,68211,5931,114172,35.06,36474,20.9,452,1.93,0.328,51956,98.2,20.1,0,87.4,12.86,0
Belgium,Europe,2025,commercial,ICE,6878,37346,24897,69121,9.95,41981,21.1,477,1.86,0.305,54510,97.9,19.5,0,89.3,19.29,0
Belgium,Europe,2025,mass_market,ICE,76756,170040,23187,269983,28.43,41981,21.1,477,1.86,0.305,54510,97.9,19.5,0,89.3,15.57,0
Belgium,Europe,2025,premium,BEV,46876,61490,5347,113713,41.22,41981,21.1,477,1.86,0.305,54510,97.9,19.5,0,89.3,17.1,0
Brazil,South America,2010,commercial,ICE,5,319187,212794,531986,0.0,0,0.0,106,1.28,0.123,11198,84.3,174.5,0,22.2,0.0,0
Brazil,South America,2010,mass_market,ICE,15,1842149,251204,2093368,0.0,0,0.0,106,1.28,0.123,11198,84.3,174.5,0,22.2,0.0,0
Brazil,South America,2010,premium,ICE,10,813977,70782,884769,0.0,0,0.0,106,1.28,0.123,11198,84.3,174.5,0,22.2,0.0,0
Brazil,South America,2011,commercial,ICE,5,322673,215118,537796,0.0,21,1.0,122,1.213,0.127,10739,84.4,180.8,0,22.5,0.0,0
Brazil,South America,2011,mass_market,ICE,17,1917857,261528,2179402,0.0,21,1.0,122,1.213,0.127,10739,84.4,180.8,0,22.5,13.33,0
Brazil,South America,2011,premium,ICE,11,834630,72577,907218,0.0,21,1.0,122,1.213,0.127,10739,84.4,180.8,0,22.5,10.0,0
Brazil,South America,2012,commercial,ICE,5,333101,222071,555177,0.0,39,1.8,136,1.147,0.129,10127,84.8,186.5,0,24.7,0.0,0
Brazil,South America,2012,mass_market,ICE,42,1944648,265185,2209875,0.0,39,1.8,136,1.147,0.129,10127,84.8,186.5,0,24.7,67.33,0
Brazil,South America,2012,premium,ICE,21,851497,74045,925563,0.0,39,1.8,136,1.147,0.129,10127,84.8,186.5,0,24.7,44.91,0
Brazil,South America,2013,commercial,ICE,7,342112,228079,570198,0.0,58,2.9,135,1.11,0.133,9771,84.6,190.3,0,24.5,11.87,0
Brazil,South America,2013,mass_market,ICE,88,1978022,269742,2247852,0.0,58,2.9,135,1.11,0.133,9771,84.6,190.3,0,24.5,80.36,0
Brazil,South America,2013,premium,ICE,48,874267,76027,950342,0.01,58,2.9,135,1.11,0.133,9771,84.6,190.3,0,24.5,68.69,0
Brazil,South America,2014,commercial,ICE,17,294781,196520,491318,0.0,82,4.1,147,1.067,0.136,9341,84.6,194.4,0,27.2,50.37,0
Brazil,South America,2014,mass_market,ICE,202,1775725,242144,2018071,0.01,82,4.1,147,1.067,0.136,9341,84.6,194.4,0,27.2,128.19,0
Brazil,South America,2014,premium,ICE,118,749039,65134,814291,0.01,82,4.1,147,1.067,0.136,9341,84.6,194.4,0,27.2,120.54,0
Brazil,South America,2015,commercial,ICE,28,236048,157366,393442,0.01,103,4.9,160,1.06,0.137,8745,84.7,196.0,0,28.8,77.58,0
Brazil,South America,2015,mass_market,ICE,314,1383162,188613,1572089,0.02,103,4.9,160,1.06,0.137,8745,84.7,196.0,0,28.8,55.45,0
Brazil,South America,2015,premium,ICE,188,596673,51885,648746,0.03,103,4.9,160,1.06,0.137,8745,84.7,196.0,0,28.8,59.32,0
Brazil,South America,2016,commercial,ICE,38,218858,145905,364801,0.01,158,6.5,186,1.05,0.134,8965,85.3,196.7,0,29.4,75.75,0
Brazil,South America,2016,mass_market,ICE,436,1279628,174495,1454559,0.03,158,6.5,186,1.05,0.134,8965,85.3,196.7,0,29.4,38.85,0
Brazil,South America,2016,premium,ICE,263,555950,48343,604556,0.04,158,6.5,186,1.05,0.134,8965,85.3,196.7,0,29.4,39.89,0
Brazil,South America,2017,commercial,ICE,47,200788,133859,334694,0.01,234,6.8,207,1.067,0.128,8722,86.3,198.6,0,33.9,40.35,0
Brazil,South America,2017,mass_market,ICE,534,1174606,160173,1335313,0.04,234,6.8,207,1.067,0.128,8722,86.3,198.6,0,33.9,22.48,0
Brazil,South America,2017,premium,ICE,331,524885,45642,570858,0.06,234,6.8,207,1.067,0.128,8722,86.3,198.6,0,33.9,25.86,0
Brazil,South America,2018,commercial,ICE,79,226414,150943,377436,0.02,309,8.9,243,1.083,0.123,8712,86.1,202.9,0,33.6,41.3,0
Brazil,South America,2018,mass_market,ICE,926,1356860,185026,1542812,0.06,309,8.9,243,1.083,0.123,8712,86.1,202.9,0,33.6,73.41,0
Brazil,South America,2018,premium,ICE,554,584907,50861,636322,0.09,309,8.9,243,1.083,0.123,8712,86.1,202.9,0,33.6,67.37,0
Brazil,South America,2019,commercial,ICE,116,248191,165461,413768,0.03,615,9.3,288,1.16,0.117,8765,86.6,197.5,0,35.4,45.06,0
Brazil,South America,2019,mass_market,ICE,1330,1462023,199367,1662720,0.08,615,9.3,288,1.16,0.117,8765,86.6,197.5,0,35.4,43.63,0
Brazil,South America,2019,premium,ICE,792,627722,54584,683098,0.12,615,9.3,288,1.16,0.117,8765,86.6,197.5,0,35.4,42.96,0
Brazil,South America,2020,commercial,ICE,109,187246,124830,312185,0.03,991,11.2,309,1.22,0.114,8816,87.0,193.1,0,38.0,-6.03,0
Brazil,South America,2020,mass_market,ICE,1233,1083768,147787,1232788,0.1,991,11.2,309,1.22,0.114,8816,87.0,193.1,0,38.0,-7.29,0
Brazil,South America,2020,premium,ICE,766,485161,42188,528115,0.15,991,11.2,309,1.22,0.114,8816,87.0,193.1,0,38.0,-3.28,0
Brazil,South America,2021,commercial,ICE,271,193657,129105,323033,0.08,2165,12.6,351,1.303,0.114,8900,87.0,193.8,0,39.2,148.62,0
Brazil,South America,2021,mass_market,ICE,3081,1126855,153662,1283598,0.24,2165,12.6,351,1.303,0.114,8900,87.0,193.8,0,39.2,149.88,0
Brazil,South America,2021,premium,ICE,1845,486182,42277,530304,0.35,2165,12.6,351,1.303,0.114,8900,87.0,193.8,0,39.2,140.86,0
