From,To,Distance,Duration
ha-er-bin-DC,chang-chun-shi,281,220
bei-jing-DC,chang-chun-shi,989,764
ning-bo-DC,chang-chun-shi,2203,1383
chong-qing-DC,chang-chun-shi,2734,1746
nei-lu-CDC,chang-sha-DC,1461,1026
gang-kou-CDC,chang-sha-DC,889,649
cheng-du-DC,chang-sha-shi,1187,875
dong-guan-DC,chang-sha-shi,722,524
guang-zhou-DC,chang-sha-shi,704,506
nei-lu-CDC,chang-sha-shi,1461,1026
nan-jing-DC,chang-sha-shi,907,703
qing-dao-DC,chang-sha-shi,1454,1029
gang-kou-CDC,chang-sha-shi,889,649
shang-hai-DC,chang-sha-shi,1103,820
shen-zhen-DC,chang-sha-shi,787,600
tian-jin-DC,chang-sha-shi,1467,1051
xi-an-DC,chang-sha-shi,994,793
chang-sha-DC,chang-sha-shi,0,0
zheng-zhou-DC,chang-sha-shi,825,656
hang-zhou-DC,chang-sha-shi,900,647
wu-han-DC,chang-sha-shi,355,288
da-lian-DC,chang-sha-shi,2285,1506
ha-er-bin-DC,chang-sha-shi,2687,1689
bei-jing-DC,chang-sha-shi,1482,1047
ning-bo-DC,chang-sha-shi,1019,723
chong-qing-DC,chang-sha-shi,894,707
cheng-du-DC,chang-zhou-shi,1798,1189
dong-guan-DC,chang-zhou-shi,1439,997
guang-zhou-DC,chang-zhou-shi,1446,999
nei-lu-CDC,chang-zhou-shi,1031,815
nan-jing-DC,chang-zhou-shi,134,132
qing-dao-DC,chang-zhou-shi,625,476
gang-kou-CDC,chang-zhou-shi,1093,837
shang-hai-DC,chang-zhou-shi,177,196
shen-zhen-DC,chang-zhou-shi,1449,1006
tian-jin-DC,chang-zhou-shi,956,745
xi-an-DC,chang-zhou-shi,1222,874
chang-sha-DC,chang-zhou-shi,1008,768
zheng-zhou-DC,chang-zhou-shi,775,538
hang-zhou-DC,chang-zhou-shi,281,248
wu-han-DC,chang-zhou-shi,667,519
da-lian-DC,chang-zhou-shi,1762,1261
ha-er-bin-DC,chang-zhou-shi,2164,1427
bei-jing-DC,chang-zhou-shi,1081,847
ning-bo-DC,chang-zhou-shi,329,254
chong-qing-DC,chang-zhou-shi,1573,1082
cheng-du-DC,cheng-de-shi,2098,1427
dong-guan-DC,cheng-de-shi,2389,1494
guang-zhou-DC,cheng-de-shi,2378,1488
nei-lu-CDC,cheng-de-shi,299,268
nan-jing-DC,cheng-de-shi,1218,904
qing-dao-DC,cheng-de-shi,815,670
gang-kou-CDC,cheng-de-shi,2286,1461
shang-hai-DC,cheng-de-shi,1370,1014
shen-zhen-DC,cheng-de-shi,2407,1504
tian-jin-DC,cheng-de-shi,306,259
xi-an-DC,cheng-de-shi,1330,995
chang-sha-DC,cheng-de-shi,1720,1170
zheng-zhou-DC,cheng-de-shi,924,688
hang-zhou-DC,cheng-de-shi,1491,1042
wu-han-DC,cheng-de-shi,1392,978
da-lian-DC,cheng-de-shi,748,578
ha-er-bin-DC,cheng-de-shi,1067,800
bei-jing-DC,cheng-de-shi,228,201
ning-bo-DC,cheng-de-shi,1539,1044
chong-qing-DC,cheng-de-shi,2008,1386
nei-lu-CDC,cheng-du-DC,1841,1279
gang-kou-CDC,cheng-du-DC,2055,1349
cheng-du-DC,cheng-du-shi,0,0
dong-guan-DC,cheng-du-shi,1659,1116
guang-zhou-DC,cheng-du-shi,1579,1087
nei-lu-CDC,cheng-du-shi,1841,1279
nan-jing-DC,cheng-du-shi,1672,1156
qing-dao-DC,cheng-du-shi,1951,1360
gang-kou-CDC,cheng-du-shi,2055,1349
shang-hai-DC,cheng-du-shi,1958,1344
shen-zhen-DC,cheng-du-shi,1718,1156
tian-jin-DC,cheng-du-shi,1882,1315
xi-an-DC,cheng-du-shi,783,655
chang-sha-DC,cheng-du-shi,1192,901
zheng-zhou-DC,cheng-du-shi,1253,957
hang-zhou-DC,cheng-du-shi,1892,1309
wu-han-DC,cheng-du-shi,1162,864
da-lian-DC,cheng-du-shi,2664,1771
ha-er-bin-DC,cheng-du-shi,3066,1956
bei-jing-DC,cheng-du-shi,1847,1272
ning-bo-DC,cheng-du-shi,2052,1361
chong-qing-DC,cheng-du-shi,309,234
nei-lu-CDC,chong-qing-DC,1752,1247
gang-kou-CDC,chong-qing-DC,1753,1209
cheng-du-DC,chong-qing-shi,317,248
dong-guan-DC,chong-qing-shi,1395,986
guang-zhou-DC,chong-qing-shi,1315,959
nei-lu-CDC,chong-qing-shi,1752,1247
nan-jing-DC,chong-qing-shi,1446,1052
qing-dao-DC,chong-qing-shi,1867,1274
gang-kou-CDC,chong-qing-shi,1753,1209
shang-hai-DC,chong-qing-shi,1733,1233
shen-zhen-DC,chong-qing-shi,1454,1042
tian-jin-DC,chong-qing-shi,1825,1289
xi-an-DC,chong-qing-shi,713,616
chang-sha-DC,chong-qing-shi,911,757
zheng-zhou-DC,chong-qing-shi,1164,923
hang-zhou-DC,chong-qing-shi,1667,1190
wu-han-DC,chong-qing-shi,937,716
da-lian-DC,chong-qing-shi,2575,1743
ha-er-bin-DC,chong-qing-shi,2977,1929
bei-jing-DC,chong-qing-shi,1758,1259
ning-bo-DC,chong-qing-shi,1826,1256
chong-qing-DC,chong-qing-shi,0,0
cheng-du-DC,chu-zhou-shi,1657,1122
dong-guan-DC,chu-zhou-shi,1372,947
guang-zhou-DC,chu-zhou-shi,1361,959
nei-lu-CDC,chu-zhou-shi,951,726
nan-jing-DC,chu-zhou-shi,90,125
qing-dao-DC,chu-zhou-shi,592,476
gang-kou-CDC,chu-zhou-shi,1221,871
shang-hai-DC,chu-zhou-shi,366,327
shen-zhen-DC,chu-zhou-shi,1390,963
tian-jin-DC,chu-zhou-shi,899,702
xi-an-DC,chu-zhou-shi,1047,792
chang-sha-DC,chu-zhou-shi,872,674
zheng-zhou-DC,chu-zhou-shi,612,447
hang-zhou-DC,chu-zhou-shi,369,332
wu-han-DC,chu-zhou-shi,527,422
da-lian-DC,chu-zhou-shi,1706,1223
ha-er-bin-DC,chu-zhou-shi,2108,1392
bei-jing-DC,chu-zhou-shi,979,753
ning-bo-DC,chu-zhou-shi,519,385
chong-qing-DC,chu-zhou-shi,1433,1020
nei-lu-CDC,da-lian-DC,837,682
gang-kou-CDC,da-lian-DC,2805,1732
cheng-du-DC,da-lian-shi,2676,1733
dong-guan-DC,da-lian-shi,2955,1780
guang-zhou-DC,da-lian-shi,2944,1787
nei-lu-CDC,da-lian-shi,837,682
nan-jing-DC,da-lian-shi,1734,1166
qing-dao-DC,da-lian-shi,399,775
gang-kou-CDC,da-lian-shi,2805,1732
shang-hai-DC,da-lian-shi,1886,1272
shen-zhen-DC,da-lian-shi,2973,1788
tian-jin-DC,da-lian-shi,824,654
xi-an-DC,da-lian-shi,1906,1282
chang-sha-DC,da-lian-shi,2286,1469
zheng-zhou-DC,da-lian-shi,1502,1040
hang-zhou-DC,da-lian-shi,2010,1303
wu-han-DC,da-lian-shi,1958,1260
da-lian-DC,da-lian-shi,0,0
ha-er-bin-DC,da-lian-shi,951,706
bei-jing-DC,da-lian-shi,841,660
ning-bo-DC,da-lian-shi,2055,1313
chong-qing-DC,da-lian-shi,2586,1677
cheng-du-DC,da-qing-shi,3101,1944
dong-guan-DC,da-qing-shi,3381,2001
guang-zhou-DC,da-qing-shi,3370,2015
nei-lu-CDC,da-qing-shi,1262,935
nan-jing-DC,da-qing-shi,2160,1395
qing-dao-DC,da-qing-shi,1757,1212
gang-kou-CDC,da-qing-shi,3228,1964
shang-hai-DC,da-qing-shi,2312,1497
shen-zhen-DC,da-qing-shi,3398,2012
tian-jin-DC,da-qing-shi,1249,916
xi-an-DC,da-qing-shi,2331,1506
chang-sha-DC,da-qing-shi,2711,1690
zheng-zhou-DC,da-qing-shi,1928,1269
hang-zhou-DC,da-qing-shi,2433,1534
wu-han-DC,da-qing-shi,2381,1488
da-lian-DC,da-qing-shi,990,741
ha-er-bin-DC,da-qing-shi,158,135
bei-jing-DC,da-qing-shi,1242,882
ning-bo-DC,da-qing-shi,2481,1535
chong-qing-DC,da-qing-shi,3012,1903
cheng-du-DC,de-zhou-shi,1688,1188
dong-guan-DC,de-zhou-shi,1899,1220
guang-zhou-DC,de-zhou-shi,1887,1225
nei-lu-CDC,de-zhou-shi,276,227
nan-jing-DC,de-zhou-shi,765,566
qing-dao-DC,de-zhou-shi,503,389
gang-kou-CDC,de-zhou-shi,1766,1174
shang-hai-DC,de-zhou-shi,985,791
shen-zhen-DC,de-zhou-shi,1916,1239
tian-jin-DC,de-zhou-shi,224,204
xi-an-DC,de-zhou-shi,917,730
chang-sha-DC,de-zhou-shi,1232,903
zheng-zhou-DC,de-zhou-shi,468,377
hang-zhou-DC,de-zhou-shi,1044,796
wu-han-DC,de-zhou-shi,899,683
da-lian-DC,de-zhou-shi,1030,847
ha-er-bin-DC,de-zhou-shi,1432,1021
bei-jing-DC,de-zhou-shi,342,261
ning-bo-DC,de-zhou-shi,1154,832
chong-qing-DC,de-zhou-shi,1594,1130
nei-lu-CDC,dong-guan-DC,2131,1386
gang-kou-CDC,dong-guan-DC,598,421
cheng-du-DC,dong-guan-shi,1650,1108
dong-guan-DC,dong-guan-shi,0,0
guang-zhou-DC,dong-guan-shi,63,100
nei-lu-CDC,dong-guan-shi,2131,1386
nan-jing-DC,dong-guan-shi,1363,972
qing-dao-DC,dong-guan-shi,1923,1276
gang-kou-CDC,dong-guan-shi,598,421
shang-hai-DC,dong-guan-shi,1439,1026
shen-zhen-DC,dong-guan-shi,78,114
tian-jin-DC,dong-guan-shi,2136,1417
xi-an-DC,dong-guan-shi,1671,1189
chang-sha-DC,dong-guan-shi,720,558
zheng-zhou-DC,dong-guan-shi,1510,1071
hang-zhou-DC,dong-guan-shi,1255,893
wu-han-DC,dong-guan-shi,1023,803
da-lian-DC,dong-guan-shi,2955,1875
ha-er-bin-DC,dong-guan-shi,3356,2065
bei-jing-DC,dong-guan-shi,2153,1407
ning-bo-DC,dong-guan-shi,1356,941
chong-qing-DC,dong-guan-shi,1377,963
cheng-du-DC,dong-ying-shi,1874,1311
dong-guan-DC,dong-ying-shi,2033,1298
guang-zhou-DC,dong-ying-shi,2021,1304
nei-lu-CDC,dong-ying-shi,395,320
nan-jing-DC,dong-ying-shi,680,494
qing-dao-DC,dong-ying-shi,274,219
gang-kou-CDC,dong-ying-shi,1803,1199
shang-hai-DC,dong-ying-shi,832,657
shen-zhen-DC,dong-ying-shi,2050,1311
tian-jin-DC,dong-ying-shi,271,240
xi-an-DC,dong-ying-shi,1127,875
chang-sha-DC,dong-ying-shi,1402,998
zheng-zhou-DC,dong-ying-shi,656,504
hang-zhou-DC,dong-ying-shi,953,705
wu-han-DC,dong-ying-shi,1069,791
da-lian-DC,dong-ying-shi,1078,878
ha-er-bin-DC,dong-ying-shi,1480,1042
bei-jing-DC,dong-ying-shi,397,350
ning-bo-DC,dong-ying-shi,1001,710
chong-qing-DC,dong-ying-shi,1782,1235
cheng-du-DC,fo-shan-shi,1571,1075
dong-guan-DC,fo-shan-shi,92,116
guang-zhou-DC,fo-shan-shi,34,68
nei-lu-CDC,fo-shan-shi,2157,1414
nan-jing-DC,fo-shan-shi,1388,991
qing-dao-DC,fo-shan-shi,1948,1305
gang-kou-CDC,fo-shan-shi,690,476
shang-hai-DC,fo-shan-shi,1465,1043
shen-zhen-DC,fo-shan-shi,147,158
tian-jin-DC,fo-shan-shi,2162,1419
xi-an-DC,fo-shan-shi,1702,1198
chang-sha-DC,fo-shan-shi,746,547
zheng-zhou-DC,fo-shan-shi,1511,1090
hang-zhou-DC,fo-shan-shi,1280,913
wu-han-DC,fo-shan-shi,1023,808
da-lian-DC,fo-shan-shi,2980,1894
ha-er-bin-DC,fo-shan-shi,3382,2077
bei-jing-DC,fo-shan-shi,2178,1422
ning-bo-DC,fo-shan-shi,1381,960
chong-qing-DC,fo-shan-shi,1298,931
cheng-du-DC,fu-yang-shi,1442,1019
dong-guan-DC,fu-yang-shi,1360,932
guang-zhou-DC,fu-yang-shi,1349,935
nei-lu-CDC,fu-yang-shi,836,630
nan-jing-DC,fu-yang-shi,349,246
qing-dao-DC,fu-yang-shi,716,549
gang-kou-CDC,fu-yang-shi,1223,871
shang-hai-DC,fu-yang-shi,626,466
shen-zhen-DC,fu-yang-shi,1377,937
tian-jin-DC,fu-yang-shi,790,620
xi-an-DC,fu-yang-shi,779,600
chang-sha-DC,fu-yang-shi,758,576
zheng-zhou-DC,fu-yang-shi,359,273
hang-zhou-DC,fu-yang-shi,629,468
wu-han-DC,fu-yang-shi,407,323
da-lian-DC,fu-yang-shi,1596,1151
ha-er-bin-DC,fu-yang-shi,1998,1321
bei-jing-DC,fu-yang-shi,857,660
ning-bo-DC,fu-yang-shi,778,525
chong-qing-DC,fu-yang-shi,1254,944
cheng-du-DC,fu-zhou-shi,2042,1372
dong-guan-DC,fu-zhou-shi,831,585
guang-zhou-DC,fu-zhou-shi,880,611
nei-lu-CDC,fu-zhou-shi,1849,1267
nan-jing-DC,fu-zhou-shi,895,703
qing-dao-DC,fu-zhou-shi,1439,1040
gang-kou-CDC,fu-zhou-shi,261,201
shang-hai-DC,fu-zhou-shi,771,634
shen-zhen-DC,fu-zhou-shi,828,567
tian-jin-DC,fu-zhou-shi,1821,1261
xi-an-DC,fu-zhou-shi,1648,1163
chang-sha-DC,fu-zhou-shi,855,665
zheng-zhou-DC,fu-zhou-shi,1372,984
hang-zhou-DC,fu-zhou-shi,635,506
wu-han-DC,fu-zhou-shi,903,710
da-lian-DC,fu-zhou-shi,2628,1748
ha-er-bin-DC,fu-zhou-shi,3030,1911
bei-jing-DC,fu-zhou-shi,1871,1277
ning-bo-DC,fu-zhou-shi,571,439
chong-qing-DC,fu-zhou-shi,1748,1218
cheng-du-DC,gan-zhou-shi,1650,1137
dong-guan-DC,gan-zhou-shi,444,313
guang-zhou-DC,gan-zhou-shi,432,324
nei-lu-CDC,gan-zhou-shi,1724,1177
nan-jing-DC,gan-zhou-shi,966,725
qing-dao-DC,gan-zhou-shi,1516,1054
gang-kou-CDC,gan-zhou-shi,439,332
shang-hai-DC,gan-zhou-shi,1043,784
shen-zhen-DC,gan-zhou-shi,447,338
tian-jin-DC,gan-zhou-shi,1730,1179
xi-an-DC,gan-zhou-shi,1406,1034
chang-sha-DC,gan-zhou-shi,506,392
zheng-zhou-DC,gan-zhou-shi,1171,874
hang-zhou-DC,gan-zhou-shi,858,623
wu-han-DC,gan-zhou-shi,656,516
da-lian-DC,gan-zhou-shi,2548,1654
ha-er-bin-DC,gan-zhou-shi,2950,1840
bei-jing-DC,gan-zhou-shi,1746,1171
ning-bo-DC,gan-zhou-shi,959,687
chong-qing-DC,gan-zhou-shi,1336,970
nei-lu-CDC,gang-kou-CDC,2018,1371
gang-kou-CDC,gang-kou-CDC,0,0
cheng-du-DC,gang-kou-CDC-suo-zai-cheng-shi,2030,1356
dong-guan-DC,gang-kou-CDC-suo-zai-cheng-shi,597,426
guang-zhou-DC,gang-kou-CDC-suo-zai-cheng-shi,646,452
nei-lu-CDC,gang-kou-CDC-suo-zai-cheng-shi,2018,1371
nan-jing-DC,gang-kou-CDC-suo-zai-cheng-shi,1092,856
qing-dao-DC,gang-kou-CDC-suo-zai-cheng-shi,1656,1163
gang-kou-CDC,gang-kou-CDC-suo-zai-cheng-shi,0,0
shang-hai-DC,gang-kou-CDC-suo-zai-cheng-shi,1062,850
shen-zhen-DC,gang-kou-CDC-suo-zai-cheng-shi,577,414
tian-jin-DC,gang-kou-CDC-suo-zai-cheng-shi,1989,1347
xi-an-DC,gang-kou-CDC-suo-zai-cheng-shi,1782,1242
chang-sha-DC,gang-kou-CDC-suo-zai-cheng-shi,886,684
zheng-zhou-DC,gang-kou-CDC-suo-zai-cheng-shi,1532,1055
hang-zhou-DC,gang-kou-CDC-suo-zai-cheng-shi,877,673
wu-han-DC,gang-kou-CDC-suo-zai-cheng-shi,1037,783
da-lian-DC,gang-kou-CDC-suo-zai-cheng-shi,2796,1842
ha-er-bin-DC,gang-kou-CDC-suo-zai-cheng-shi,3198,2022
bei-jing-DC,gang-kou-CDC-suo-zai-cheng-shi,2039,1378
ning-bo-DC,gang-kou-CDC-suo-zai-cheng-shi,822,610
chong-qing-DC,gang-kou-CDC-suo-zai-cheng-shi,1715,1187
nei-lu-CDC,guang-zhou-DC,2122,1391
gang-kou-CDC,guang-zhou-DC,648,449
cheng-du-DC,guang-zhou-shi,1573,1076
dong-guan-DC,guang-zhou-shi,64,97
guang-zhou-DC,guang-zhou-shi,0,0
nei-lu-CDC,guang-zhou-shi,2122,1391
nan-jing-DC,guang-zhou-shi,1354,973
qing-dao-DC,guang-zhou-shi,1914,1277
gang-kou-CDC,guang-zhou-shi,648,449
shang-hai-DC,guang-zhou-shi,1430,1015
shen-zhen-DC,guang-zhou-shi,143,157
tian-jin-DC,guang-zhou-shi,2128,1403
xi-an-DC,guang-zhou-shi,1645,1184
chang-sha-DC,guang-zhou-shi,694,559
zheng-zhou-DC,guang-zhou-shi,1484,1067
hang-zhou-DC,guang-zhou-shi,1246,896
wu-han-DC,guang-zhou-shi,996,805
da-lian-DC,guang-zhou-shi,2944,1855
ha-er-bin-DC,guang-zhou-shi,3348,2062
bei-jing-DC,guang-zhou-shi,2144,1408
ning-bo-DC,guang-zhou-shi,1347,943
chong-qing-DC,guang-zhou-shi,1300,936
cheng-du-DC,gui-yang-shi,637,454
dong-guan-DC,gui-yang-shi,1024,734
guang-zhou-DC,gui-yang-shi,945,707
nei-lu-CDC,gui-yang-shi,2055,1389
nan-jing-DC,gui-yang-shi,1583,1131
qing-dao-DC,gui-yang-shi,2104,1417
gang-kou-CDC,gui-yang-shi,1468,1028
shang-hai-DC,gui-yang-shi,1805,1255
shen-zhen-DC,gui-yang-shi,1084,804
tian-jin-DC,gui-yang-shi,2061,1408
xi-an-DC,gui-yang-shi,1115,897
chang-sha-DC,gui-yang-shi,795,648
zheng-zhou-DC,gui-yang-shi,1420,1045
hang-zhou-DC,gui-yang-shi,1674,1132
wu-han-DC,gui-yang-shi,1041,835
da-lian-DC,gui-yang-shi,2877,1847
ha-er-bin-DC,gui-yang-shi,3281,2057
bei-jing-DC,gui-yang-shi,2077,1396
ning-bo-DC,gui-yang-shi,1776,1179
chong-qing-DC,gui-yang-shi,407,330
nei-lu-CDC,ha-er-bin-DC,1346,1003
gang-kou-CDC,ha-er-bin-DC,3311,2024
cheng-du-DC,ha-er-bin-shi,3185,2014
dong-guan-DC,ha-er-bin-shi,3465,2065
guang-zhou-DC,ha-er-bin-shi,3453,2078
nei-lu-CDC,ha-er-bin-shi,1346,1003
nan-jing-DC,ha-er-bin-shi,2244,1458
qing-dao-DC,ha-er-bin-shi,1841,1278
gang-kou-CDC,ha-er-bin-shi,3311,2024
shang-hai-DC,ha-er-bin-shi,2396,1565
shen-zhen-DC,ha-er-bin-shi,3482,2069
tian-jin-DC,ha-er-bin-shi,1333,983
xi-an-DC,ha-er-bin-shi,2415,1568
chang-sha-DC,ha-er-bin-shi,2795,1754
zheng-zhou-DC,ha-er-bin-shi,2012,1329
hang-zhou-DC,ha-er-bin-shi,2517,1599
wu-han-DC,ha-er-bin-shi,2464,1557
da-lian-DC,ha-er-bin-shi,1056,800
ha-er-bin-DC,ha-er-bin-shi,0,0
bei-jing-DC,ha-er-bin-shi,1269,961
ning-bo-DC,ha-er-bin-shi,2564,1600
chong-qing-DC,ha-er-bin-shi,3096,1967
cheng-du-DC,han-dan-shi,1437,1057
dong-guan-DC,han-dan-shi,1739,1145
guang-zhou-DC,han-dan-shi,1735,1146
nei-lu-CDC,han-dan-shi,447,323
nan-jing-DC,han-dan-shi,782,567
qing-dao-DC,han-dan-shi,598,464
gang-kou-CDC,han-dan-shi,1740,1132
shang-hai-DC,han-dan-shi,1040,814
shen-zhen-DC,han-dan-shi,1773,1158
tian-jin-DC,han-dan-shi,459,357
xi-an-DC,han-dan-shi,667,553
chang-sha-DC,han-dan-shi,1052,808
zheng-zhou-DC,han-dan-shi,248,229
hang-zhou-DC,han-dan-shi,1061,804
wu-han-DC,han-dan-shi,732,567
da-lian-DC,han-dan-shi,1271,942
ha-er-bin-DC,han-dan-shi,1673,1132
bei-jing-DC,han-dan-shi,454,334
ning-bo-DC,han-dan-shi,1200,844
chong-qing-DC,han-dan-shi,1348,1025
nei-lu-CDC,hang-zhou-DC,1276,949
gang-kou-CDC,hang-zhou-DC,934,696
cheng-du-DC,hang-zhou-shi,1887,1251
dong-guan-DC,hang-zhou-shi,1244,886
guang-zhou-DC,hang-zhou-shi,1252,890
nei-lu-CDC,hang-zhou-shi,1276,949
nan-jing-DC,hang-zhou-shi,278,247
qing-dao-DC,hang-zhou-shi,846,642
gang-kou-CDC,hang-zhou-shi,934,696
shang-hai-DC,hang-zhou-shi,177,199
shen-zhen-DC,hang-zhou-shi,1254,891
tian-jin-DC,hang-zhou-shi,1201,896
xi-an-DC,hang-zhou-shi,1324,966
chang-sha-DC,hang-zhou-shi,899,650
zheng-zhou-DC,hang-zhou-shi,930,675
hang-zhou-DC,hang-zhou-shi,0,0
wu-han-DC,hang-zhou-shi,760,596
da-lian-DC,hang-zhou-shi,2008,1380
ha-er-bin-DC,hang-zhou-shi,2410,1549
bei-jing-DC,hang-zhou-shi,1297,931
