dt,position_name_cn,business_type,dsp_name,position_type,discovery_cnt_num,click_cnt_num,consume_amount
20260105,极速版-激励视频-福利页唤端,adsounds,?,极速版,33518,12511,371.418505
20260124,激励视频-时长模式,效果广告,瑞狮,时长模式,17598,17046,1462.87626
20260127,极速版免费领章节激励视频,效果广告,穿山甲（模板）,极速版,5,0,0.045
20260120,激励视频-福利页-唤端广告,效果广告,广推,福利页,292,121,7.87586
20260112,激励视频-时长模式,品牌广告,汇川,时长模式,172707,160079,13687.71632
20260120,激励视频-福利页-唤端广告,品牌广告,快手UG,福利页,302,113,4.5566
20260101,福利页-提取现金-激励视频,效果广告,美数_v2,福利页,100,104,3.37242
20260128,福利页-下载任务,声播,?,福利页,7,0,0.0
20260119,收听时长-激励视频,效果广告,穿山甲（模板）,极速版,3528,2128,56.448
20260127,激励视频-福利页,效果广告,荣耀_他方,福利页,188553,184979,5935.80709
20260122,激励视频-唤端广告,效果广告,快友V2,时长模式,6276,832,174.80213
20260125,激励视频-时长模式,品牌广告,汇川,时长模式,152567,141335,14124.54555
20260122,激励视频-听书任务,adsounds,?,主app-其他,8050,552,177.567067
20260110,激励视频-听书任务,声播,?,主app-其他,430,43,5.665192
20260111,激励视频-福利页-唤端广告,效果广告,华夏乐游,福利页,1,1,0.00748
20260110,极速版-激励视频-福利页唤端,效果广告,穿山甲（开屏/自渲染）,极速版,49474,26987,1318.7348
20260105,激励视频-福利页,效果广告,布鲁肯,福利页,208318,202128,4195.85314
20260108,积分中心激励视频,效果广告,广点通,福利页,99620,76861,5212.51406
20260113,极速版免费领章节激励视频,效果广告,穿山甲（模板）,极速版,8,3,0.072
20260102,激励视频-福利页-唤端广告,效果广告,穿山甲（开屏/自渲染）,福利页,371514,326411,5299.01941
20260125,激励视频-福利页-唤端广告,效果广告,易点天下,福利页,31818,28485,377.65659
20260108,激励视频-听书任务,效果广告,广点通,主app-其他,24423,18107,311.69737
20260111,激励视频-福利页-唤端广告,品牌广告,手淘_巨浪,福利页,148,72,3.38986
20260125,激励视频-时长模式,效果广告,墨果,时长模式,3078,3035,334.93513
20260119,收听失效奖励激励视频,效果广告,穿山甲（模板）,极速版,8,0,0.024
20260102,收听时长-激励视频,效果广告,广点通,极速版,194,49,2.91
20260123,激励视频-福利页,效果广告,fancy-v2,福利页,61123,56726,1652.46338
20260116,激励视频-福利页,品牌广告,手淘_巨浪,福利页,1370,858,128.66873
20260112,激励视频-福利页-唤端广告,效果广告,穿山甲（开屏/自渲染）,福利页,325180,285353,3029.10166
20260105,激励视频-福利页-唤端广告,效果广告,墨果,福利页,10253,9090,146.86742
20260118,福利页-领现金-激励视频,声播,?,福利页,65,52,1.025539
20260126,极速版免费领时长激励视频,品牌广告,汇川,极速版,2154,2027,105.13985
20260107,收听时长-超级翻倍-激励视频,效果广告,广点通,极速版,58790,40538,727.07723
20260120,答题活动激励视频,adsounds,?,极速版,13402,13644,112.205763
20260115,极速版-福利页-愉悦赚H5,效果广告,,极速版,,,819.1306001055832
20260108,激励视频-福利页,效果广告,华夏乐游,福利页,142,90,14.01447
20260102,亮屏贴片,效果广告,fancy-v2,主app-其他,1,1,0.01235
20260111,激励视频-福利页-唤端广告,效果广告,旺脉2,福利页,10860,7187,118.75911
20260103,激励视频-福利页-唤端广告,效果广告,百度SDK,福利页,145713,126037,2063.65194
20260109,积分中心激励视频,声播,?,福利页,683,90,9.6961999993001
20260119,激励视频-唤端广告,品牌广告,手淘_巨浪,时长模式,2448,664,78.18252
20260117,激励视频-福利页,效果广告,广推,福利页,2749,2722,76.09627
20260112,前插视频,adsounds,?,主app-其他,17212,2589,600.379254
20260126,激励视频-福利页-唤端广告,效果广告,穿山甲（开屏/自渲染）,福利页,406915,329362,6557.18217
20260123,福利页-领现金-激励视频,效果广告,广点通,福利页,51,17,6.42887
20260115,激励视频-唤端广告,效果广告,佳投-v2,时长模式,3288,306,41.00019
20260111,分享奖励弹窗-激励视频,效果广告,穿山甲（模板）,极速版,820,632,8.2
20260110,激励视频-时长模式,效果广告,爱奇艺,时长模式,77579,72239,5697.52504
20260120,激励视频-短剧模式,声播,?,主app-其他,2,2,0.052018
20260109,激励视频-福利页-唤端广告,效果广告,枫岚rtb,福利页,5664,4544,145.2214
20260105,答题活动激励视频,声播,?,极速版,3573,6270,51.328145
20260105,激励视频-时长模式,效果广告,Magic,时长模式,1,0,0.038
20260103,首页金币播报-激励视频,效果广告,穿山甲（模板）,极速版,25,13,0.224
20260118,极速版免费领时长激励视频,效果广告,穿山甲聚合SDK,极速版,175913,119309,12437.33414
20260118,激励视频-唤端广告,效果广告,亿典v2,时长模式,215,9,3.88407
20260125,激励视频-福利页,效果广告,快友V2,福利页,12493,12173,525.66037
20260121,答题活动激励视频,adsounds,?,极速版,12410,12698,144.070593
20260103,激励视频-福利页,效果广告,佳投-v2,福利页,20061,19659,386.31604
20260113,激励视频-福利页-唤端广告,效果广告,枫岚rtb,福利页,4312,3483,86.16306
20260124,激励视频-福利页,效果广告,吉欣,福利页,11443,11303,157.47149
20260110,福利页-领现金-激励视频,adsounds,?,福利页,282,114,2.486038
20260119,激励视频-福利页-唤端广告,品牌广告,快手UG,福利页,370,117,5.83363
20260106,激励视频-福利页,效果广告,爱奇艺,福利页,330652,324460,7797.12714
20260127,激励视频-听书任务,效果广告,fancy-v2,主app-其他,930,849,11.40542
20260123,激励视频-时长模式,效果广告,华夏乐游,时长模式,40,39,1.60749
20260111,极速版免费领时长激励视频,效果广告,墨果,极速版,70,115,3.65994
20260124,激励视频-福利页,效果广告,穿山甲（模板）,福利页,2124292,1402116,87282.90762
20260107,激励视频-听书任务,效果广告,fancy-v2,主app-其他,909,818,9.66887
20260118,极速版-激励视频-福利页,效果广告,穿山甲（模板）,极速版,158138,114619,2543.1381
20260103,福利页-领现金-激励视频,效果广告,穿山甲（模板）,福利页,129,37,12.71435
20260106,激励视频-福利页,效果广告,华夏乐游,福利页,146,94,13.77645
20260106,激励视频-福利页-唤端广告,品牌广告,快手UG,福利页,277,225,5.81053
20260122,前插视频,声播,?,主app-其他,1465,1145,37.0788440001013
20260116,激励视频-唤端广告,品牌广告,汇川,时长模式,4337,589,21.18325
20260126,激励视频-听书任务,效果广告,穿山甲（模板）,主app-其他,25933,18671,400.95338
20260122,激励视频-福利页,效果广告,方歌,福利页,84060,80112,2171.18664
20260105,喝水打卡激励视频,效果广告,广点通,极速版,94361,83015,1219.64468
20260127,激励视频-时长模式,效果广告,墨果,时长模式,5061,4999,543.55633
20260124,激励视频-唤端广告,效果广告,旺脉2,时长模式,31839,9121,1458.61192
20260126,积分中心-任务-banner,效果广告,旺脉2,福利页,17748,17667,325.75251
20260105,收听时长-超级翻倍-激励视频,效果广告,穿山甲聚合SDK,极速版,98152,78537,1919.38406
20260107,奇迹小说-看视频任务激励视频,效果广告,穿山甲（模板）,极速版,14,11,0.126
20260125,激励视频-唤端广告,效果广告,海贝（嗨量）,时长模式,19273,2674,286.85402
20260113,收听时长-超级翻倍-激励视频,效果广告,广点通,极速版,58746,39847,727.53915
20260127,激励视频-时长模式,品牌广告,京东,时长模式,6,15,1.44
20260127,福利页-提取现金-激励视频,声播,?,福利页,650,629,49.835776
20260107,激励视频-福利页,效果广告,软告V2,福利页,217,210,4.80565
20260122,极速版免费领时长激励视频,效果广告,ToBid聚合SDK,极速版,10246,7172,549.26152
20260103,分享奖励弹窗-激励视频,效果广告,穿山甲（模板）,极速版,850,661,8.5
20260113,激励视频-唤端广告,效果广告,海贝（嗨量）,时长模式,49557,4960,728.3878
20260104,激励视频-时长模式,效果广告,星梵,时长模式,513,475,26.63726
20260124,收听时长-激励视频,声播,?,极速版,5,9,0.149817
20260110,激励视频-福利页-唤端广告,效果广告,快友V2,福利页,555,450,10.26902
20260114,激励视频-时长模式,效果广告,星梵,时长模式,5009,4600,414.93143
20260116,激励视频-福利页-唤端广告,效果广告,fancy-v2,福利页,9727,5916,168.61146
20260111,喝水打卡激励视频,声播,?,极速版,1214,1985,13.292541
20260120,收听气泡超级翻倍激励视频,效果广告,广点通,极速版,812,26,3.425
20260128,激励视频-唤端广告,效果广告,海贝（嗨量）,时长模式,23666,2877,333.71833
20260119,激励视频-福利页-唤端广告,效果广告,布鲁肯,福利页,3622,2386,77.25242
20260105,激励视频-福利页-唤端广告,效果广告,fancy-v2,福利页,10154,8049,177.57971
20260128,激励视频-时长模式,效果广告,布鲁肯,时长模式,34789,32071,2850.51648
20260101,福利页-下载任务,效果广告,爱奇艺,福利页,161,11,2.17091
20260126,激励视频-唤端广告,效果广告,荣耀_他方,时长模式,549,34,5.85873
20260110,激励视频-福利页,效果广告,广推,福利页,1988,1967,47.4814
20260117,激励视频-福利页,效果广告,墨果,福利页,7436,7272,189.97142
20260124,激励视频-福利页,效果广告,佳投-v2,福利页,36621,36363,832.7481
20260120,福利页-下载任务,效果广告,爱奇艺,福利页,1,0,0.01212
20260114,喝水打卡激励视频,声播,?,极速版,596,950,9.28002
20260116,福利页-领现金-激励视频,声播,?,福利页,118,101,2.452288
20260111,激励视频-福利页-唤端广告,效果广告,方歌,福利页,1577,1413,44.32875
20260102,激励视频-金币模式,效果广告,佳投-v2,福利页,7,6,0.01909
20260117,激励视频-时长模式,效果广告,华夏乐游,时长模式,99,94,8.1774
20260102,激励视频-唤端广告,效果广告,海贝（嗨量）,时长模式,45026,4875,537.16678
20260128,激励视频-唤端广告,品牌广告,Tap-tap,时长模式,14039,4250,381.57011
20260120,极速版免费领时长激励视频,声播,?,极速版,50,86,1.051175
20260104,激励视频-福利页,品牌广告,快手UG,福利页,1224,1086,27.56316
20260101,激励视频-时长模式,效果广告,软告V2,时长模式,35667,32068,2147.42248
20260122,激励视频-福利页,效果广告,VIVO,福利页,76991,71163,2988.88847
20260128,激励视频-金币模式,adsounds,?,福利页,493,71,15.8689710000003
20260110,分享奖励弹窗-激励视频,效果广告,广点通,极速版,723,715,7.23
20260107,收听时长-超级翻倍-激励视频-卡友,效果广告,穿山甲（模板）,极速版,14,5,0.126
20260117,收听时长-超级翻倍-激励视频,adsounds,?,极速版,2159,2186,21.398337
20260117,激励视频-福利页-唤端广告,效果广告,佳投-v2,福利页,7938,6462,163.3896
20260116,积分中心-任务-banner,效果广告,讯飞,福利页,82729,82559,1603.8748
20260124,激励视频-时长模式,效果广告,新义-v2,时长模式,3215,2979,301.78675
20260127,激励视频-福利页-唤端广告,效果广告,荣耀_他方,福利页,7115,6453,220.69021
20260115,福利页-提取现金-激励视频,效果广告,美数_v2,福利页,18,22,1.40628
20260111,极速版-信息流激励视频,效果广告,广点通,极速版,15229,12968,234.243
20260101,小说-阅读器免广告激励视频,效果广告,穿山甲（模板）,极速版,20,3,1.44
20260123,福利页-领现金-激励视频,效果广告,美数_v2,福利页,1,1,0.02015
20260117,答题成就激励视频,效果广告,穿山甲（模板）,极速版,10,3,0.12
20260125,激励视频-福利页,效果广告,爱奇艺,福利页,278114,272598,7880.05473
20260109,激励视频-福利页-唤端广告,品牌广告,汇川,福利页,108,70,0.66293
20260107,福利页-愉悦赚H5,效果广告,,福利页,,,7005.275001548225
20260115,激励视频-时长模式,效果广告,快友V2,时长模式,8000,7569,812.77784
20260128,极速版免费领时长激励视频,声播,?,极速版,51,85,1.168786
20260102,激励视频-福利页,效果广告,广推,福利页,1627,1549,49.99429
20260110,极速版-激励视频-福利页唤端,声播,?,极速版,45586,28647,887.008586
20260119,激励视频-福利页,效果广告,吉欣,福利页,13034,12839,207.8272
20260118,激励视频-时长模式,效果广告,美数_v2,时长模式,5880,4953,570.11817
20260126,极速版-信息流激励视频,效果广告,广点通,极速版,15179,12672,233.955
20260101,积分中心-任务-banner,adsounds,?,福利页,30203,21656,11142.641824
20260121,激励视频-福利页,效果广告,广点通,福利页,1528893,1006098,54564.62884
20260115,激励视频-时长模式,效果广告,旺脉2,时长模式,35723,32369,2603.30213
20260105,激励视频-时长模式,效果广告,瑞狮,时长模式,18286,17883,1055.8869
20260112,极速版-激励视频-福利页唤端,adsounds,?,极速版,29615,11586,130.881644
20260119,极速版-激励视频-福利页,声播,?,极速版,11512,12010,102.985985
20260102,激励视频-福利页,效果广告,方歌,福利页,93784,89750,2265.0897
20260125,激励视频-时长模式,效果广告,VIVO,时长模式,76204,67471,6492.28189
20260112,前插视频,效果广告,广点通,主app-其他,5,2,0.182
20260107,激励视频-时长模式,效果广告,新义-v2,时长模式,2227,2117,155.21615
20260104,福利页-领现金-激励视频,品牌广告,汇川,福利页,84,69,3.18219
20260111,激励视频-福利页,效果广告,fancy-v2,福利页,72446,69013,1626.31415
20260118,福利页-领现金-激励视频,效果广告,广点通,福利页,116,68,17.98727
20260101,收听时长-超级翻倍-激励视频,声播,?,极速版,880,1627,12.12743
20260115,激励视频-时长模式,效果广告,讯飞,时长模式,117247,106557,4519.54054
20260123,极速版免费领章节激励视频,效果广告,穿山甲（模板）,极速版,10,8,0.09
20260118,极速版-激励视频-福利页唤端,adsounds,?,极速版,26138,9540,168.214078
20260111,激励视频-唤端广告,效果广告,亿典v2,时长模式,43,3,0.48672
20260108,激励视频-福利页-唤端广告,声播,?,福利页,23,0,0.0
20260106,收听时长-激励视频,效果广告,广点通,极速版,198,74,2.97
20260122,激励视频-时长模式,效果广告,布鲁肯,时长模式,28337,22553,2106.84156
20260126,激励视频-时长模式,效果广告,吉欣,时长模式,862,834,46.75546
20260121,激励视频-唤端广告,效果广告,舜飞,时长模式,149,16,4.4411
20260118,激励视频-福利页,品牌广告,汇川,福利页,250450,240687,6295.25711
20260122,激励视频-短剧模式,声播,?,主app-其他,8,8,1.207578
20260116,激励视频-唤端广告,效果广告,易点天下,时长模式,1198,132,15.03815
20260118,首页金币播报-激励视频,adsounds,?,极速版,1,0,0.0
20260123,极速版-激励视频-福利页,品牌广告,汇川,极速版,13681,13595,102.64545
20260106,激励视频-时长模式,效果广告,荣耀_他方,时长模式,41482,37348,3051.76114
20260116,激励视频-时长模式,品牌广告,Tap-tap,时长模式,115821,103554,6473.38535
20260124,答题成就激励视频,效果广告,穿山甲（模板）,极速版,6,0,0.072
20260115,激励视频-唤端广告,品牌广告,快手UG,时长模式,3611,648,47.18858
20260113,激励视频-福利页-唤端广告,效果广告,墨果,福利页,4193,3254,75.47897
20260107,激励视频-福利页,效果广告,舜飞,福利页,13204,12841,448.60012
20260125,激励视频-金币模式,效果广告,穿山甲（模板）,福利页,2145,1229,220.3975
20260123,喝水打卡激励视频,声播,?,极速版,357,679,9.697401
20260112,激励视频-福利页-唤端广告,效果广告,吉欣,福利页,29,3,0.57006
20260124,激励视频-唤端广告,效果广告,布鲁肯,时长模式,388,27,7.77762
20260121,激励视频-听书任务,效果广告,fancy-v2,主app-其他,835,725,9.27819
20260125,极速版免费领时长激励视频,效果广告,穿山甲（模板）,极速版,27280,17143,1334.42168
20260125,极速版-激励视频-福利页,效果广告,穿山甲（模板）,极速版,151590,111684,2598.51608
20260120,激励视频-听书任务,adsounds,?,主app-其他,10385,588,28.074136
20260114,激励视频-时长模式,效果广告,舜飞,时长模式,22108,20181,1312.06186
20260111,激励视频-唤端广告,效果广告,百度SDK,时长模式,54016,9875,766.29824
20260104,激励视频-唤端广告,效果广告,枫岚rtb,时长模式,33815,7450,613.39413
20260102,福利页-下载任务,效果广告,荣耀_他方,福利页,4819,1582,183.21943
20260111,收听气泡超级翻倍激励视频,效果广告,广点通,极速版,799,21,2.942
20260122,激励视频-福利页,效果广告,荣耀_他方,福利页,195323,190871,4958.86139
20260101,分享奖励弹窗-激励视频,效果广告,穿山甲（模板）,极速版,822,766,8.22
20260112,积分中心激励视频,效果广告,穿山甲（模板）,福利页,70241,41355,4398.63416
20260119,激励视频-唤端广告,品牌广告,Tap-tap,时长模式,17568,5794,601.49582
20260107,极速版-激励视频-福利页唤端,效果广告,广点通,极速版,56858,33008,1238.52075
20260102,奇迹小说-宝箱激励视频,效果广告,穿山甲（模板）,极速版,219,55,1.533
20260109,激励视频-时长模式,效果广告,舜飞,时长模式,31512,28048,1883.51422
20260127,福利页-领现金-激励视频,品牌广告,快手UG,福利页,4,2,0.11787
20260125,激励视频-唤端广告,品牌广告,快手UG,时长模式,2775,481,34.48387
20260106,收听时长-超级翻倍-激励视频,效果广告,穿山甲（模板）,极速版,54216,39434,780.43587
20260123,激励视频-福利页,效果广告,墨果,福利页,38843,38124,608.73648
20260110,收听时长-激励视频,adsounds,?,极速版,145,139,1.623189
20260104,收听时长-超级翻倍-激励视频,效果广告,穿山甲（模板）,极速版,52600,38210,777.86889
20260109,极速版免费领时长激励视频,效果广告,墨果,极速版,62,84,3.85907
20260111,激励视频-福利页,效果广告,华为,福利页,22467,22275,499.61069
20260128,边听边看-看广免广,adsounds,?,主app-其他,876,51,2.725521
20260108,福利页-小游戏,效果广告,广点通,主app-其他,599,131,6.74322
20260106,激励视频-时长模式,品牌广告,Tap-tap,时长模式,71716,61070,4306.85324
20260111,激励视频-唤端广告,效果广告,吉欣,时长模式,1043,270,51.20961
20260124,激励视频-福利页,效果广告,VIVO,福利页,81764,76170,3162.98017
20260120,极速版-激励视频-福利页,效果广告,广点通,极速版,132201,130580,1292.28426
20260111,激励视频-福利页-唤端广告,效果广告,荣耀_他方,福利页,8803,7922,164.2676
20260124,收听时长-超级翻倍-激励视频-卡友,效果广告,广点通,极速版,2096,1830,39.824
20260117,激励视频-福利页,效果广告,海贝（嗨量）,福利页,155525,149474,3668.92779
20260121,激励视频-唤端广告,效果广告,佳投-v2,时长模式,4624,479,67.08533
20260121,极速版免费领时长激励视频,adsounds,?,极速版,1297,1168,33.573029
20260111,激励视频-福利页-唤端广告,效果广告,快友V2,福利页,2379,1929,79.99434
20260124,极速版免费领时长激励视频,效果广告,点思,极速版,1282,1205,113.29626
20260114,极速版免费领时长激励视频,效果广告,穿山甲（模板）,极速版,24574,15476,1173.44861
20260104,极速版-激励视频-福利页,品牌广告,汇川,极速版,6869,6785,68.27287
20260106,激励视频-时长模式,效果广告,推啊-ADX,时长模式,1,0,0.05913
20260109,激励视频-福利页,效果广告,百度SDK,福利页,648777,649092,13052.13015
20260118,激励视频-福利页,效果广告,OPPO-API,福利页,41969,35193,1634.60889
20260128,福利页-愉悦赚H5,效果广告,,福利页,,,4700.54299999812
20260124,激励视频-福利页-唤端广告,效果广告,佳投-v2,福利页,4684,3234,114.05801
20260120,奇迹小说-宝箱激励视频,效果广告,穿山甲（模板）,极速版,145,48,1.015
20260118,福利页-提取现金-激励视频,效果广告,广推,福利页,30,37,4.36211
20260106,激励视频-福利页,效果广告,点思,福利页,6951,6904,146.01422
20260122,奇迹小说-看视频任务激励视频,效果广告,穿山甲（模板）,极速版,3,2,0.027
20260112,极速版-激励视频-福利页,效果广告,穿山甲（模板）,极速版,146019,106342,2008.23224
20260108,极速版免费领时长激励视频,声播,?,极速版,70,154,5.554912
20260104,福利页-下载任务,品牌广告,Tap-tap,福利页,299,9,3.09483
20260108,激励视频-听书任务,效果广告,广推,主app-其他,249,226,2.95614
20260126,激励视频-福利页-唤端广告,效果广告,广点通,福利页,305232,245508,3677.94396
