下单数量,购买时间,昨日销售数量,过去七天平均销售数量,过去30天平均销售数量,昨日退回数量,过去七天平均退回数量,过去30天平均退回数量,昨日返利金额,过去七天平均返利金额,过去30天平均返利金额,昨日折扣金额,过去七天平均折扣金额,过去30天平均折扣金额,过去七天平均特批数量,过去30天平均特批数量,过去七天平均特批价格,一周的第几天,距离五一多少日,距离十一多少日,距离双11多少日,距离内购会多少日,距离春节多少日,距离奥运会多少日,距离世界杯多少日,过去7天客户价变动次数,过去7天价格里使用的固定折扣点值
4110,2018-06-02,8184.0,9962.0,11361.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5247.0,6320.0,568546.0,6,32,121,162,93,107,1147,12,707.0,1.5550000000000004
2327,2018-06-03,4110.0,8613.0,10702.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4588.0,5965.0,554729.0,7,33,120,161,92,108,1146,11,642.0,1.535
5557,2018-06-04,2327.0,6470.0,10004.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3852.0,5550.0,521960.0,1,34,119,160,91,109,1145,10,545.0,1.915
9131,2018-06-05,5557.0,6369.0,9662.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3606.0,5316.0,496030.0,2,35,118,159,90,110,1144,9,450.0,1.775
5360,2018-06-06,9131.0,6358.0,9624.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3483.0,5272.0,400364.0,3,36,117,158,89,111,1143,8,372.0,1.675
3573,2018-06-07,5360.0,6041.0,9339.0,0.0,4.0,4.0,0.0,0.0,0.0,54.95,8.0,4.0,3285.0,5111.0,406095.0,4,37,116,157,88,112,1142,7,244.0,1.57
11535,2018-06-08,3573.0,5463.0,8979.0,14.0,6.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,2949.0,4904.0,405472.0,5,38,115,156,87,113,1141,6,226.0,2.04
6524,2018-06-09,11535.0,5942.0,9129.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,2773.0,4860.0,480053.0,6,39,114,155,86,114,1140,5,161.0,2.3000000000000003
13596,2018-06-10,6524.0,6287.0,8985.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,2748.0,4714.0,509160.0,7,40,113,154,85,115,1139,4,148.0,1.9000000000000004
4667,2018-06-11,13596.0,7897.0,9227.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,3302.0,4722.0,514055.0,1,41,112,153,84,116,1138,3,164.0,2.0600000000000005
3389,2018-06-12,4667.0,7769.0,8999.0,78.0,15.0,8.0,0.0,0.0,0.0,0.0,8.0,3.0,3241.0,4590.0,531037.0,2,42,111,152,83,117,1137,2,180.0,1.9880000000000004
10475,2018-06-13,3389.0,6949.0,8732.0,3.0,15.0,8.0,0.0,0.0,0.0,0.0,8.0,3.0,2751.0,4432.0,510883.0,3,43,110,151,82,118,1136,1,209.0,4.282
1820,2018-06-14,10475.0,7680.0,8811.0,3.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2714.0,4349.0,533117.0,4,44,109,150,81,119,1135,0,171.0,4.476
12985,2018-06-15,1820.0,7429.0,8507.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2620.0,4209.0,508715.0,5,45,108,149,80,120,1134,1620,171.0,4.566
4045,2018-06-16,12985.0,7637.0,8694.0,9.0,14.0,8.0,0.0,0.0,0.0,19.6,3.0,3.0,2876.0,4281.0,497448.0,6,46,107,148,79,121,1133,1619,202.0,4.876
2549,2018-06-17,4045.0,7282.0,8508.0,3.0,14.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,2886.0,4202.0,494245.0,7,47,106,147,78,122,1132,1618,202.0,5.3660000000000005
1729,2018-06-18,2549.0,5704.0,8279.0,20.0,17.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,2391.0,4094.0,489771.0,1,48,105,146,77,123,1131,1617,209.0,5.206
2437,2018-06-19,1729.0,5285.0,8036.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,2222.0,3976.0,456745.0,2,49,104,145,76,124,1130,1616,215.0,4.926
5924,2018-06-20,2437.0,5149.0,7836.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,2224.0,3880.0,468618.0,3,50,103,144,75,125,1129,1615,222.0,4.958
10520,2018-06-21,5924.0,4498.0,7770.0,1.0,6.0,8.0,0.0,0.0,0.0,122.0,20.0,7.0,2218.0,3834.0,421677.0,4,51,102,143,74,126,1128,1614,219.0,2.9440000000000013
7446,2018-06-22,10520.0,5741.0,7862.0,649.0,99.0,29.0,0.0,0.0,0.0,112.8,36.0,10.0,2660.0,3847.0,448241.0,5,52,101,142,73,127,1127,1613,238.0,3.0040000000000013
2263,2018-06-23,7446.0,4950.0,7384.0,3.0,98.0,29.0,0.0,0.0,0.0,0.0,34.0,10.0,2392.0,3531.0,392117.0,6,53,100,141,72,128,1126,1612,216.0,2.8340000000000014
4408,2018-06-24,2263.0,4695.0,7015.0,0.0,98.0,29.0,0.0,0.0,0.0,0.0,34.0,10.0,2285.0,3313.0,365352.0,7,54,99,140,71,129,1125,1611,170.0,2.2620000000000013
3251,2018-06-25,4408.0,4961.0,6870.0,1.0,95.0,29.0,0.0,0.0,0.0,99.0,48.0,14.0,2355.0,3215.0,355513.0,1,55,98,139,70,130,1124,1610,190.0,1.6620000000000017
6194,2018-06-26,3251.0,5178.0,6527.0,2.0,94.0,29.0,0.0,0.0,0.0,0.0,48.0,14.0,2509.0,3047.0,455722.0,2,56,97,138,69,131,1123,1609,214.0,1.8670000000000015
57791,2018-06-27,6194.0,5715.0,6156.0,19.0,96.0,29.0,0.0,0.0,0.0,0.0,48.0,14.0,3009.0,3002.0,500629.0,3,57,96,137,68,132,1122,1608,251.0,1.9870000000000017
49193,2018-06-28,57791.0,13125.0,7873.0,24.0,100.0,30.0,0.0,0.0,0.0,0.0,30.0,14.0,9907.0,4556.0,540784.0,4,58,95,136,67,133,1121,1607,274.0,2.5040000000000022
22756,2018-06-29,49193.0,18649.0,9206.0,4.0,8.0,30.0,0.0,0.0,0.0,38.1,20.0,15.0,16113.0,5959.0,585339.0,5,59,94,135,66,134,1120,1606,262.0,4.046000000000001
3542,2018-06-30,22756.0,20837.0,9712.0,0.0,7.0,29.0,0.0,0.0,0.0,0.0,20.0,15.0,18471.0,6504.0,610350.0,6,60,93,134,65,135,1119,1605,258.0,3.992000000000001
6492,2018-07-01,3542.0,21019.0,9576.0,0.0,7.0,29.0,0.0,0.0,0.0,0.0,20.0,15.0,18451.0,6413.0,614384.0,7,61,92,133,64,136,1118,1604,258.0,4.017000000000001
379,2018-07-02,6492.0,21317.0,9520.0,1.0,7.0,29.0,3229.5,461.0,108.0,51.0,13.0,17.0,18473.0,6302.0,670134.0,1,62,91,132,63,137,1117,1603,253.0,3.809000000000001
12859,2018-07-03,379.0,20907.0,9395.0,0.0,7.0,29.0,0.0,461.0,108.0,0.0,13.0,17.0,18214.0,6227.0,539236.0,2,63,90,131,62,138,1116,1602,256.0,3.5790000000000006
9226,2018-07-04,12859.0,21859.0,9746.0,8.0,5.0,29.0,7291.3,1503.0,351.0,247.37,48.0,25.0,18798.0,6489.0,573969.0,3,64,89,130,61,139,1115,1601,329.0,3.4840000000000004
13880,2018-07-05,9226.0,14921.0,9869.0,37.0,7.0,30.0,89970.76000000001,14356.0,3350.0,267.2,86.0,34.0,12201.0,6562.0,657579.0,4,65,88,129,60,140,1114,1600,328.0,3.659
9124,2018-07-06,13880.0,9876.0,10027.0,23.0,10.0,31.0,2471.31,14709.0,3432.0,182.92,107.0,40.0,5905.0,6524.0,728060.0,5,66,87,128,59,141,1113,1599,309.0,3.2420000000000013
36058,2018-07-07,9124.0,7929.0,10152.0,114.0,26.0,35.0,16002.619999999999,16995.0,3966.0,1583.8799999999999,333.0,91.0,3341.0,6517.0,753878.0,6,67,86,127,58,142,1112,1598,333.0,2.263000000000001
3598,2018-07-08,36058.0,12574.0,11235.0,207.0,56.0,41.0,39318.75,22612.0,5276.0,1957.05,613.0,156.0,3730.0,6595.0,877566.0,7,68,85,126,57,143,1111,1597,337.0,2.063000000000001
2181,2018-07-09,3598.0,12161.0,10971.0,3.0,56.0,41.0,5507.0,22937.0,5460.0,0.0,605.0,156.0,3685.0,6514.0,894286.0,1,69,84,125,56,144,1110,1596,359.0,1.9680000000000009
552,2018-07-10,2181.0,12418.0,10826.0,0.0,56.0,41.0,1900.0,23209.0,5523.0,0.0,605.0,156.0,3870.0,6488.0,926835.0,2,70,83,124,55,145,1109,1595,361.0,1.9680000000000009
29063,2018-07-11,552.0,10660.0,10391.0,0.0,55.0,41.0,0.0,22167.0,5523.0,0.0,570.0,156.0,2626.0,6332.0,798855.0,3,71,82,123,54,146,1108,1594,487.0,2.3080000000000007
12348,2018-07-12,29063.0,13494.0,11204.0,399.0,107.0,52.0,42561.25,15394.0,6942.0,529.95,608.0,174.0,3146.0,6539.0,840717.0,4,72,81,122,53,147,1107,1593,497.0,2.5380000000000007
21074,2018-07-13,12348.0,13275.0,11503.0,43.0,109.0,53.0,10320.0,16516.0,7286.0,0.0,582.0,174.0,3070.0,6599.0,792789.0,5,73,80,121,52,148,1106,1592,569.0,2.2430000000000008
13298,2018-07-14,21074.0,14982.0,11856.0,138.0,113.0,57.0,41991.0,20228.0,8685.0,76.93,366.0,176.0,3104.0,6608.0,827188.0,6,74,79,120,51,149,1105,1591,648.0,2.273000000000001
9478,2018-07-15,13298.0,11731.0,12239.0,20.0,86.0,58.0,35656.0,19705.0,9874.0,0.0,87.0,176.0,2752.0,6626.0,736656.0,7,75,78,119,50,150,1104,1590,976.0,1.5180000000000011
4207,2018-07-16,9478.0,12571.0,12122.0,110.0,101.0,61.0,214865.0,49613.0,17036.0,0.0,87.0,176.0,3003.0,6544.0,696848.0,1,76,77,118,49,151,1103,1589,1011.0,1.6530000000000011
20453,2018-07-17,4207.0,12860.0,12127.0,11.0,103.0,62.0,0.0,49342.0,17036.0,0.0,87.0,176.0,3003.0,6516.0,716314.0,2,77,76,117,48,152,1102,1588,1220.0,2.3470000000000013
14069,2018-07-18,20453.0,15703.0,12724.0,81.0,115.0,64.0,76550.0,60278.0,19588.0,0.0,87.0,176.0,3419.0,6572.0,836641.0,3,78,75,116,47,153,1101,1587,1484.0,2.8750000000000013
9373,2018-07-19,14069.0,13561.0,13135.0,235.0,91.0,71.0,46943.5,60904.0,21153.0,69.5,21.0,178.0,2716.0,6655.0,716796.0,4,79,74,115,46,154,1100,1586,1716.0,2.4850000000000008
12098,2018-07-20,9373.0,13136.0,13367.0,25.0,89.0,72.0,268520.0,97789.0,30103.0,0.0,21.0,178.0,2661.0,6701.0,779621.0,5,80,73,114,45,155,1099,1585,1808.0,2.775000000000001
25967,2018-07-21,12098.0,11854.0,13572.0,68.0,79.0,74.0,44499.0,98148.0,31587.0,269.5,48.0,183.0,2511.0,6676.0,728566.0,6,81,72,113,44,156,1098,1584,1917.0,2.9150000000000014
3374,2018-07-22,25967.0,13664.0,14087.0,27.0,80.0,53.0,27829.95,97030.0,32514.0,0.0,48.0,179.0,2589.0,6610.0,744066.0,7,82,71,112,43,157,1097,1583,1876.0,2.3850000000000016
6026,2018-07-23,3374.0,12792.0,13952.0,2.0,64.0,53.0,5100.0,67063.0,32684.0,0.0,48.0,179.0,2317.0,6526.0,773266.0,1,83,70,111,42,158,1096,1582,1552.0,2.1770000000000014
42370,2018-07-24,6026.0,13051.0,14077.0,4.0,63.0,54.0,499.0,67134.0,32701.0,0.0,48.0,179.0,2292.0,6517.0,773899.0,2,84,69,110,41,159,1095,1581,1724.0,2.0420000000000016
21346,2018-07-25,42370.0,16182.0,15342.0,141.0,72.0,58.0,8300.0,57384.0,32978.0,0.0,48.0,176.0,2573.0,6622.0,821109.0,3,85,68,109,40,160,1094,1580,1709.0,2.0680000000000014
7425,2018-07-26,21346.0,17222.0,15946.0,14.0,40.0,59.0,34464.1,55602.0,34126.0,0.0,38.0,176.0,3752.0,6945.0,996090.0,4,86,67,108,39,161,1093,1579,2309.0,1.7800000000000016
18053,2018-07-27,7425.0,16944.0,15987.0,38.0,42.0,59.0,537213.0,93986.0,52033.0,0.0,38.0,176.0,3856.0,6899.0,956411.0,5,87,66,107,38,162,1092,1578,2366.0,2.2940000000000014
208927,2018-07-28,18053.0,17794.0,14662.0,48.0,39.0,60.0,656962.45,181481.0,73932.0,232.5,33.0,184.0,5211.0,5581.0,977859.0,6,88,65,106,37,163,1091,1577,3016.0,1.8590000000000009
45440,2018-07-29,208927.0,43932.0,19987.0,71.0,45.0,62.0,336054.88,225513.0,85134.0,122.02,51.0,186.0,5626.0,4163.0,1020113.0,7,89,64,105,36,164,1090,1576,3106.0,3.6290000000000013
7127,2018-07-30,45440.0,49941.0,20743.0,12.0,47.0,63.0,78501.5,235999.0,87751.0,0.0,51.0,186.0,11551.0,4912.0,1004702.0,1,90,63,104,35,165,1089,1575,3166.0,3.8190000000000013
1741,2018-07-31,7127.0,50098.0,20862.0,0.0,46.0,63.0,11269.0,237538.0,88126.0,0.0,51.0,186.0,11750.0,4954.0,1021325.0,2,91,62,103,34,166,1088,1574,3136.0,3.8190000000000013
25689,2018-08-01,1741.0,44294.0,20704.0,0.0,26.0,63.0,945.0,236487.0,88050.0,0.0,51.0,185.0,11248.0,4936.0,855618.0,3,92,61,102,33,167,1087,1573,3081.0,3.8190000000000013
30272,2018-08-02,25689.0,44915.0,21547.0,166.0,48.0,68.0,46926.0,238267.0,89614.0,0.0,51.0,185.0,9835.0,4990.0,630962.0,4,93,60,101,32,168,1086,1572,3125.0,3.0490000000000013
18586,2018-08-03,30272.0,48178.0,22128.0,229.0,75.0,76.0,40179.42,167263.0,90711.0,0.0,51.0,176.0,10042.0,4855.0,732375.0,5,94,59,100,31,169,1085,1571,2358.0,3.1730000000000014
18007,2018-08-04,18586.0,48255.0,22440.0,20.0,71.0,75.0,29084.0,77566.0,88681.0,0.0,17.0,167.0,8835.0,4795.0,740723.0,6,95,58,99,30,170,1084,1570,2038.0,3.2710000000000012
3431,2018-08-05,18007.0,20980.0,22577.0,56.0,69.0,76.0,80498.0,41058.0,91282.0,0.0,0.0,161.0,8960.0,4876.0,691130.0,7,96,57,98,29,171,1083,1569,1235.0,3.256000000000001
2969,2018-08-06,3431.0,14979.0,22388.0,13.0,69.0,73.0,281093.0,69999.0,100118.0,0.0,0.0,109.0,3018.0,4836.0,710925.0,1,97,56,97,28,172,1082,1568,944.0,1.5260000000000011
26365,2018-08-07,2969.0,14385.0,21285.0,0.0,69.0,66.0,3680.0,68915.0,98930.0,0.0,0.0,43.0,2929.0,4767.0,744357.0,2,98,55,96,27,173,1081,1567,885.0,1.4560000000000013
14920,2018-08-08,26365.0,17903.0,22044.0,84.0,81.0,68.0,12610.0,70581.0,99167.0,0.0,0.0,43.0,3055.0,4790.0,816857.0,3,99,54,95,26,174,1080,1566,1040.0,1.6360000000000012
5862,2018-08-09,14920.0,16364.0,22468.0,14.0,59.0,69.0,55964.0,71873.0,100969.0,187.9,27.0,50.0,3110.0,4812.0,818873.0,4,100,53,94,25,175,1079,1565,881.0,1.8760000000000008
80757,2018-08-10,5862.0,12877.0,22645.0,0.0,27.0,69.0,0.0,66133.0,100969.0,0.0,27.0,50.0,2796.0,4895.0,598531.0,5,101,52,93,24,176,1078,1564,786.0,2.3240000000000007
2940,2018-08-11,80757.0,21759.0,24368.0,6614.0,969.0,276.0,18272.0,64588.0,100160.0,0.0,27.0,32.0,2910.0,4740.0,573406.0,6,102,51,92,23,177,1077,1563,710.0,2.140000000000001
1934,2018-08-12,2940.0,19606.0,24055.0,4.0,961.0,275.0,79733.0,64479.0,102473.0,0.0,27.0,32.0,2153.0,4661.0,502349.0,7,103,50,91,22,178,1076,1562,600.0,1.5280000000000014
14055,2018-08-13,1934.0,19392.0,23417.0,0.0,959.0,270.0,11124.0,25912.0,101445.0,0.0,27.0,29.0,2002.0,4579.0,428771.0,1,104,49,90,21,179,1075,1561,616.0,1.6780000000000015
1250,2018-08-14,14055.0,20976.0,23442.0,11120.0,2548.0,640.0,8332.0,26576.0,100534.0,0.0,27.0,29.0,1948.0,4579.0,380419.0,2,105,48,89,20,180,1074,1560,595.0,1.4980000000000016
29384,2018-08-15,1250.0,17388.0,23168.0,0.0,2536.0,637.0,2200.0,25089.0,93445.0,0.0,27.0,29.0,1732.0,4493.0,325456.0,3,106,47,88,19,181,1073,1559,708.0,1.3780000000000014
91198,2018-08-16,29384.0,19455.0,24007.0,51.0,2541.0,638.0,54359.0,24860.0,95257.0,0.0,0.0,29.0,1682.0,4504.0,377883.0,4,107,46,87,18,182,1072,1558,881.0,1.7480000000000016
27803,2018-08-17,91198.0,31645.0,26365.0,47.0,2548.0,637.0,55882.20000000001,32843.0,94568.0,326.19,47.0,40.0,3007.0,4799.0,557118.0,5,108,45,86,17,183,1071,1557,1321.0,1.5080000000000016
19126,2018-08-18,27803.0,24081.0,26823.0,40.0,1609.0,630.0,193616.0,57892.0,99457.0,0.0,47.0,38.0,4838.0,5235.0,614516.0,6,109,44,85,16,184,1070,1556,1244.0,1.3600000000000017
9322,2018-08-19,19126.0,26393.0,27148.0,87.0,1621.0,632.0,29977.0,50784.0,91506.0,0.0,47.0,38.0,6319.0,5515.0,666691.0,7,110,43,84,15,185,1069,1555,1344.0,1.1800000000000015
15813,2018-08-20,9322.0,27448.0,27056.0,4.0,1621.0,630.0,156654.0,71574.0,95244.0,0.0,47.0,29.0,6463.0,5501.0,697324.0,1,111,42,83,14,186,1068,1554,1468.0,1.6540000000000017
28994,2018-08-21,15813.0,27699.0,26717.0,3.0,33.0,629.0,215869.0,101222.0,101512.0,0.0,47.0,29.0,8360.0,5926.0,677187.0,2,112,41,82,13,187,1067,1553,1765.0,5.394000000000005
21191,2018-08-22,28994.0,31663.0,27571.0,29.0,37.0,630.0,180641.2,126714.0,107363.0,0.0,47.0,29.0,9086.0,6072.0,742130.0,3,113,40,81,12,188,1066,1552,2037.0,5.759000000000005
11158,2018-08-23,21191.0,30492.0,28077.0,700.0,130.0,654.0,10115822.0,1564066.0,444541.0,1080.0,201.0,65.0,10752.0,6478.0,3666711.0,4,114,39,80,11,189,1065,1551,2128.0,7.0960000000000045
5538,2018-08-24,11158.0,19058.0,27036.0,12.0,125.0,649.0,68612.0,1565884.0,446551.0,0.0,154.0,65.0,9283.0,6365.0,3561254.0,5,115,38,79,10,190,1064,1550,2152.0,6.7660000000000045
40336,2018-08-25,5538.0,15877.0,26509.0,24.0,123.0,650.0,79398.8,1549568.0,448049.0,0.0,154.0,65.0,7179.0,6035.0,3490209.0,6,116,37,78,9,191,1063,1549,2115.0,7.340000000000005
15115,2018-08-26,40336.0,18907.0,27606.0,1232.0,286.0,689.0,7076.0,1546296.0,430378.0,0.0,154.0,65.0,5824.0,5974.0,3489708.0,7,117,36,77,8,192,1062,1548,2236.0,7.190000000000006
55528,2018-08-27,15115.0,19735.0,27508.0,15.0,288.0,688.0,155334.0,1546108.0,413657.0,0.0,154.0,57.0,5968.0,5678.0,3509542.0,1,118,35,76,7,193,1061,1547,2672.0,7.334000000000006
19023,2018-08-28,55528.0,25409.0,22395.0,45.0,294.0,687.0,87048.45,1527705.0,405357.0,0.0,154.0,53.0,4114.0,5573.0,3592756.0,2,119,34,75,6,194,1060,1546,2856.0,6.980000000000006
26360,2018-08-29,19023.0,23984.0,21514.0,34.0,295.0,688.0,66240.1,1511362.0,404948.0,0.0,154.0,53.0,4489.0,4425.0,3616477.0,3,120,33,74,5,195,1059,1545,3014.0,3.594000000000003
252126,2018-08-30,26360.0,24723.0,22156.0,169.0,219.0,694.0,71949.0,76523.0,406971.0,0.0,0.0,53.0,3303.0,4507.0,712498.0,4,121,32,73,4,196,1058,1544,3270.0,3.727000000000003
14986,2018-08-31,252126.0,59147.0,30502.0,42.0,223.0,695.0,58283.5,75047.0,408882.0,0.0,0.0,53.0,3541.0,4566.0,759228.0,5,122,31,72,3,197,1057,1543,3617.0,2.610000000000003
12466,2018-09-01,14986.0,60496.0,30145.0,44.0,226.0,691.0,274773.51,102958.0,416477.0,0.0,0.0,53.0,3738.0,4612.0,890549.0,6,123,30,71,2,198,1056,1542,3507.0,2.390000000000003
7257,2018-09-02,12466.0,56515.0,29551.0,60.0,58.0,685.0,36904.5,107219.0,416368.0,0.0,0.0,53.0,3719.0,4499.0,960129.0,7,124,29,70,1,199,1055,1541,3247.0,1.8160000000000027
1280,2018-09-03,7257.0,55392.0,29174.0,1.0,56.0,685.0,38263.0,90495.0,416674.0,0.0,0.0,53.0,3939.0,4536.0,996809.0,1,125,28,69,0,200,1054,1540,3045.0,3.074000000000003
5231,2018-09-04,1280.0,47643.0,28616.0,14.0,52.0,683.0,0.0,78059.0,413990.0,0.0,0.0,53.0,3781.0,4365.0,914232.0,2,126,27,68,1,201,1053,1539,2584.0,2.930000000000003
10292,2018-09-05,5231.0,45672.0,28676.0,4.0,48.0,683.0,36161.0,73762.0,405826.0,0.0,0.0,53.0,2669.0,4343.0,820308.0,3,127,26,67,2,202,1052,1538,2269.0,3.094000000000003
844,2018-09-06,10292.0,43377.0,28920.0,11.0,25.0,683.0,13824.0,65459.0,406164.0,149.92,21.0,58.0,2564.0,4422.0,752971.0,4,128,25,66,3,203,1051,1537,1755.0,2.654000000000003
6712,2018-09-07,844.0,7479.0,28070.0,0.0,19.0,681.0,18811.0,59820.0,406371.0,0.0,21.0,58.0,2175.0,4361.0,616176.0,5,129,24,65,4,204,1050,1536,1235.0,2.401000000000004
4486,2018-09-08,6712.0,6297.0,27796.0,103.0,28.0,684.0,2250.0,20888.0,404580.0,0.0,21.0,52.0,2419.0,4451.0,547221.0,6,130,23,64,5,205,1049,1535,624.0,2.6820000000000035
43281,2018-09-09,4486.0,5157.0,27750.0,4.0,20.0,684.0,6000.0,16473.0,404780.0,0.0,21.0,52.0,2587.0,4450.0,487579.0,7,131,22,63,6,206,1048,1534,370.0,2.6820000000000035
11035,2018-09-10,43281.0,10304.0,26501.0,168.0,43.0,469.0,45555.0,17514.0,405690.0,0.0,21.0,52.0,2065.0,4338.0,436613.0,1,132,21,62,7,207,1047,1533,247.0,2.8320000000000034
28618,2018-09-11,11035.0,11697.0,26771.0,70.0,51.0,471.0,228157.0,50108.0,410637.0,0.0,21.0,52.0,2183.0,4372.0,528235.0,2,133,20,61,8,208,1046,1532,277.0,1.6990000000000032
15729,2018-09-12,28618.0,15038.0,27660.0,96.0,65.0,474.0,51317.0,52273.0,411977.0,0.0,21.0,52.0,2353.0,4425.0,620268.0,3,134,19,60,9,209,1045,1531,217.0,1.9150000000000031
17049,2018-09-13,15729.0,15815.0,27716.0,29.0,67.0,105.0,36629.0,55531.0,412920.0,0.0,0.0,52.0,2088.0,4455.0,659638.0,4,135,18,59,10,210,1044,1530,223.0,1.7240000000000033
25371,2018-09-14,17049.0,18130.0,28243.0,11.0,69.0,105.0,95710.6,66517.0,416037.0,0.0,0.0,52.0,2432.0,4524.0,761493.0,5,136,17,58,11,211,1043,1529,266.0,1.5400000000000031
75967,2018-09-15,25371.0,20796.0,28109.0,59.0,62.0,105.0,43753.5,72446.0,415684.0,0.0,0.0,52.0,2279.0,4591.0,660743.0,6,137,16,57,12,212,1042,1528,393.0,2.9600000000000035
2763,2018-09-16,75967.0,31007.0,27601.0,69.0,72.0,106.0,19124.0,74321.0,414458.0,0.0,0.0,41.0,2217.0,4266.0,674020.0,7,138,15,56,13,213,1041,1527,434.0,3.184000000000004
116,2018-09-17,2763.0,25219.0,26767.0,71.0,58.0,107.0,437930.70000000007,130375.0,422602.0,202.0,29.0,48.0,2316.0,3750.0,664233.0,1,139,14,55,14,214,1040,1526,425.0,3.616000000000004
9313,2018-09-18,116.0,23659.0,26133.0,3.0,48.0,104.0,0.0,97781.0,421603.0,0.0,29.0,48.0,2088.0,3385.0,536553.0,2,140,13,54,15,215,1039,1525,455.0,3.596000000000004
102248,2018-09-19,9313.0,20901.0,26133.0,3.0,35.0,104.0,0.0,90450.0,416381.0,0.0,29.0,48.0,2186.0,3427.0,720067.0,3,141,12,53,16,216,1038,1524,466.0,4.091000000000003
37403,2018-09-20,102248.0,33261.0,29014.0,192.0,58.0,110.0,11782.0,86900.0,409578.0,0.0,29.0,48.0,2914.0,3184.0,719958.0,4,142,11,52,17,217,1037,1523,553.0,3.875000000000002
49772,2018-09-21,37403.0,36169.0,29294.0,17.0,59.0,110.0,429791.5,134626.0,417883.0,0.0,29.0,48.0,2585.0,3007.0,797361.0,5,143,10,51,18,218,1036,1522,860.0,5.514000000000002
15714,2018-09-22,49772.0,39655.0,30247.0,248.0,86.0,95.0,205644.0,157753.0,87544.0,29.97,33.0,13.0,2970.0,2775.0,1166015.0,6,144,9,50,19,219,1035,1521,907.0,5.8240000000000025
4594,2018-09-23,15714.0,31047.0,30399.0,60.0,85.0,97.0,75804.3,165850.0,87784.0,0.0,33.0,13.0,3151.0,2835.0,1171918.0,7,145,8,49,20,220,1034,1520,1454.0,4.1590000000000025
