,CSI800,HS300,SP500,GOLD,STBOND,OIL,COPPER,BOND10Y
2011/7/31,3259.544,2972.079,1292.28,334,0.1,95.68,9650.464285714286,2.82
2011/8/31,3121.627,2846.776,1218.89,377.69,0.02,88.81,8997.988636363636,2.23
2011/9/30,2800.623,2581.351,1131.42,338.49,0.02,78.93,8300.136363636364,1.92
2011/10/31,2919.09,2695.307,1253.3,350.49,0.01,93.19,7394.190476190476,2.17
2011/11/30,2745.509,2521.52,1246.96,351.77,0.01,100.36,7581.022727272727,2.08
2011/12/31,2500.652,2345.742,1257.6,319.8,0.02,98.83,7558.875,1.89
2012/1/31,2601.39,2464.26,1312.41,354.16,0.06,98.46,8061.916666666667,1.83
2012/2/29,2813.294,2634.143,1365.68,361.96,0.08,107.08,8441.488095238095,1.98
2012/3/31,2616.708,2454.899,1408.47,339.04,0.07,103.03,8470.784090909092,2.23
2012/4/30,2801.004,2626.157,1397.91,336.09,0.1,104.89,8285.526315789473,1.95
2012/5/31,2822.318,2632.042,1310.33,321.75,0.07,86.52,7896.909090909091,1.59
2012/6/30,2632.19,2461.612,1362.16,322.49,0.09,85.04,7428.289473684211,1.67
2012/7/31,2470.537,2332.922,1379.32,332.35,0.11,88.08,7584.261363636364,1.51
2012/8/31,2363.29,2204.868,1406.58,339.69,0.09,96.47,7510.431818181818,1.57
2012/9/30,2445.815,2293.106,1440.67,360.03,0.1,92.18,8087.7425,1.65
2012/10/31,2408.992,2254.82,1412.16,343.94,0.11,86.23,8062.032608695652,1.72
2012/11/30,2250.984,2139.661,1416.18,346.02,0.08,88.54,7711.227272727273,1.62
2012/12/31,2645.858,2522.952,1426.19,334.5,0.05,91.83,7966.486842105263,1.78
2013/1/31,2816.12,2686.882,1498.11,336.8,0.07,97.65,8053.738636363636,2.02
2013/2/28,2828.576,2673.327,1514.68,323.99,0.11,92.03,8060.925,1.89
2013/3/31,2654.527,2495.083,1569.19,320.23,0.07,97.24,7652.375,1.87
2013/4/30,2601.244,2447.306,1597.57,296.5,0.05,93.22,7221.161904761905,1.7
2013/5/31,2816.734,2606.426,1630.74,281.5,0.04,91.93,7248.714285714286,2.16
2013/6/30,2376.891,2200.639,1606.28,243.5,0.04,96.36,7000.2375,2.52
2013/7/31,2405.944,2193.021,1685.73,265.76,0.04,105.1,6906.641304347826,2.6
2013/8/31,2546.584,2313.91,1632.97,277.6,0.03,107.98,7186.25,2.78
2013/9/30,2661.781,2409.037,1681.55,265.65,0.02,102.36,7159.269047619048,2.64
2013/10/31,2604.35,2373.718,1756.54,262.25,0.04,96.29,7203.021739130435,2.57
2013/11/30,2699.416,2438.944,1805.81,244.71,0.06,92.55,7070.654761904762,2.75
2013/12/31,2589.353,2330.026,1848.36,236.46,0.07,98.17,7214.9,3.04
2014/1/31,2494.149,2202.45,1782.59,246.37,0.02,97.55,7291.465909090909,2.67
2014/2/28,2490.651,2178.971,1859.45,262.73,0.05,102.88,7149.2125,2.66
2014/3/31,2440.037,2146.305,1872.34,257.8,0.05,101.57,6650.035714285714,2.73
2014/4/30,2437.184,2158.659,1883.95,260.26,0.03,100.07,6673.5625,2.67
2014/5/31,2446.42,2156.464,1923.57,252.8,0.04,103.4,6891.125,2.48
2014/6/30,2470.195,2165.118,1960.23,261.86,0.04,106.07,6821.142857142857,2.53
2014/7/31,2680.803,2350.251,1930.67,257.79,0.03,98.23,7113.380434782609,2.58
2014/8/31,2700.522,2338.287,2003.37,255.04,0.03,97.86,7001.8375,2.35
2014/9/30,2878.333,2450.988,1972.29,241.24,0.02,91.17,6872.215909090909,2.52
2014/10/31,2937.906,2508.325,2018.05,230.44,0.01,80.53,6737.478260869565,2.35
2014/11/30,3231.131,2808.819,2067.56,235.5,0.02,65.94,6712.85,2.18
2014/12/31,3839.385,3533.705,2058.9,240.59,0.04,53.45,6446.452380952381,2.17
2015/1/31,3813.397,3434.39,1994.99,253.19,0.02,47.79,5830.535714285714,1.68
2015/2/28,3995.426,3572.843,2104.5,244.83,0.02,49.84,5729.275,2
2015/3/31,4606.897,4051.204,2067.89,235.55,0.03,47.72,5939.670454545455,1.94
2015/4/30,5395.306,4749.886,2085.51,239.93,0.01,59.62,6042.0875,2.05
2015/5/31,5736.511,4840.829,2107.39,237.59,0.01,60.25,6294.776315789474,2.12
2015/6/30,5249.5186,4472.9976,2063.11,234.94,0.01,59.48,5833.011363636364,2.35
2015/7/31,4501.5725,3816.6993,2103.84,216.87,0.08,47.11,5456.75,2.2
2015/8/31,3929.8969,3366.5359,1972.18,233.75,0.08,49.2,5127.3,2.21
2015/9/30,3714.9701,3202.9475,1920.03,230.5,-0.01,45.06,5217.25,2.06
2015/10/31,4156.0863,3534.0788,2079.36,233.91,0.08,46.6,5216.090909090909,2.16
2015/11/30,4239.1057,3566.4122,2080.41,218.02,0.22,40.43,4799.904761904762,2.21
2015/12/31,4411.9755,3731.0047,2043.94,222.86,0.16,37.13,4638.833333333333,2.27
2016/1/31,3387.1124,2946.0902,1940.24,236.48,0.32,33.66,4471.7875,1.94
2016/2/29,3309.7601,2877.4666,1932.23,258.86,0.33,32.74,4598.619047619048,1.74
2016/3/31,3731.9846,3218.0879,2059.74,255.7,0.21,36.94,4953.797619047619,1.78
2016/4/30,3651.5521,3156.7451,2065.3,266.32,0.22,45.98,4872.738095238095,1.83
2016/5/31,3655.3274,3169.5598,2096.96,256.9,0.34,49.1,4694.5375,1.84
2016/6/30,3674.2338,3153.921,2098.86,281.5,0.26,48.27,4641.965909090909,1.49
2016/7/31,3729.2649,3203.9304,2173.6,285.83,0.27,41.54,4864.904761904762,1.46
2016/8/31,3871.8927,3327.7938,2170.95,283.19,0.33,44.68,4751.670454545455,1.58
2016/9/30,3792.1095,3253.2848,2168.27,284.95,0.28,47.72,4722.204545454545,1.6
2016/10/31,3882.0435,3336.2778,2126.15,278.93,0.34,46.83,4731.261904761905,1.84
2016/11/30,4069.9228,3538.001,2198.81,267.91,0.48,49.41,5450.931818181818,2.37
2016/12/31,3826.4674,3310.0808,2238.83,263.9,0.5,53.75,5660.35,2.45
2017/1/31,3882.2192,3387.9606,2278.87,266.25,0.52,52.75,5754.559523809524,2.45
2017/2/28,3976.3278,3452.8103,2363.64,281.83,0.53,54,5940.9125,2.36
2017/3/31,3969.9205,3456.0455,2362.72,277.81,0.75,50.54,5824.630434782609,2.4
2017/4/30,3921.9682,3439.753,2384.2,283.45,0.79,49.31,5683.902777777778,2.29
2017/5/31,3893.9788,3492.8845,2411.8,279,0.96,48.29,5599.559523809524,2.21
2017/6/30,4092.3013,3666.7977,2423.41,273.1,1.01,46.02,5719.761363636364,2.31
2017/7/31,4179.1812,3737.8732,2470.3,275.1,1.05,50.21,5985.119047619048,2.3
2017/8/31,4278.9868,3822.0928,2471.65,277.91,0.99,47.26,6485.625,2.12
2017/9/30,4315.1711,3836.5013,2519.36,277.45,1.04,51.67,6577.166666666667,2.33
2017/10/31,4444.4285,4006.7179,2575.26,273.94,1.13,54.36,6807.602272727273,2.38
2017/11/30,4388.9977,4006.0993,2647.58,274.39,1.25,57.4,6826.545454545455,2.42
2017/12/31,4406.6233,4030.8549,2673.61,273,1.37,60.46,6833.894736842105,2.4
2018/1/31,4592.8593,4275.8986,2823.81,274.05,1.44,64.82,7065.852272727273,2.72
2018/2/28,4358.8168,4023.6415,2713.83,270.3,1.63,61.43,7006.525,2.87
2018/3/31,4274.7961,3898.4977,2640.87,270.56,1.7,64.87,6799.178571428571,2.74
2018/4/30,4113.6475,3756.8765,2648.05,270.3,1.84,68.56,6851.5125,2.95
2018/5/31,4130.6058,3802.3759,2705.27,269.54,1.89,66.98,6825.27380952381,2.83
2018/6/30,3796.4916,3510.9845,2718.37,267.38,1.89,74.13,6965.857142857143,2.85
2018/7/31,3796.6122,3517.6568,2816.29,268.65,1.99,69.88,6250.75,2.96
2018/8/31,3580.066,3334.5036,2901.52,266.47,2.07,69.84,6051.045454545455,2.86
2018/9/30,3662.1132,3438.8649,2913.98,264.06,2.15,73.16,6050.7625,3.05
2018/10/31,3334.8586,3153.8234,2711.74,273.8,2.29,65.31,6219.586956521739,3.15
2018/11/30,3369.1018,3172.69,2760.17,274.65,2.32,50.78,6195.920454545455,3.01
2018/12/31,3199.9371,3010.6536,2506.85,284.6,2.4,45.15,6075.315789473684,2.69
2019/1/31,3355.2379,3201.6331,2704.1,286.7,2.36,53.84,5939.102272727273,2.63
2019/2/28,3889.8856,3669.3703,2784.49,286.02,2.4,57.21,6300.4875,2.73
2019/3/31,4150.6033,3872.3412,2834.4,281,2.35,60.19,6439.464285714286,2.41
2019/4/30,4138.7118,3913.211,2945.83,280.88,2.38,63.83,6438.3625,2.51
2019/5/31,3836.8755,3629.7893,2752.06,290.8,2.3,53.49,6017.904761904762,2.14
2019/6/30,4001.3371,3825.5873,2941.76,314.43,2.08,58.2,5882.225,2
2019/7/31,4000.1475,3835.3589,2980.38,319.94,2.04,58.53,5941.195652173913,2.02
2019/8/31,3968.3579,3799.5863,2926.46,354.09,1.95,55.07,5709.440476190476,1.5
2019/9/30,3990.6885,3814.5282,2976.74,344.49,1.84,54.09,5759.25,1.68
2019/10/31,4043.9964,3886.7519,3037.56,340.3,1.51,54.02,5757.297826086957,1.69
2019/11/30,3993.2715,3828.6706,3140.98,331.69,1.56,58.12,5859.952380952381,1.78
2019/12/31,4278.5332,4096.5821,3230.78,340.8,1.52,61.14,6077.0625,1.92
2020/1/31,4225.9429,4003.9013,3225.52,347.88,1.52,51.58,6031.209090909091,1.51
2020/2/29,4189.3127,3940.0488,2954.22,365.36,1.25,44.83,5687.75,1.13
2020/3/31,3908.102,3686.1551,2584.59,364.27,0.11,20.51,5182.631818181818,0.7
2020/4/30,4148.6885,3912.5772,2912.43,380.94,0.09,19.23,5057.972,0.64
2020/5/31,4122.5237,3867.0232,3044.31,391.93,0.14,35.57,5239.826315789474,0.65
2020/6/30,4447.165,4163.9637,3100.29,397.76,0.16,39.27,5754.595454545455,0.66
2020/7/31,5008.1974,4695.0462,3271.12,428.97,0.09,40.1,6372.460869565217,0.55
2020/8/31,5122.1329,4816.2153,3500.31,419,0.11,42.61,6508.392857142857,0.72
2020/9/30,4848.6801,4587.3953,3363,402.97,0.1,40.05,6704.9,0.69
2020/10/31,4919.8791,4695.3338,3269.96,397.21,0.09,35.64,6713.811363636364,0.88
2020/11/30,5171.8433,4960.2519,3621.63,370.58,0.08,45.2,7068.907142857143,0.84
2020/12/31,5381.8875,5211.2885,3756.07,390,0.09,48.35,7772.238095238095,0.93
2021/1/31,5490.7549,5351.9646,3714.24,384.5,0.06,52.16,7972.1475,1.11
2021/2/28,5482.0288,5336.7609,3811.15,368.26,0.04,61.55,8470.94,1.44
2021/3/31,5229.9111,5048.3607,3972.89,356.79,0.03,59.19,8988.247826086958,1.74
2021/4/30,5333.919,5123.489,4181.17,370.97,0.01,63.5,9324.8175,1.65
2021/5/31,5546.7479,5331.5696,4204.11,391.1,0.01,66.31,10166.285,1.58
2021/6/30,5474.6707,5224.041,4297.5,365.82,0.05,73.52,9631.5,1.45
2021/7/31,5131.0726,4811.1695,4395.26,380.9,0.06,73.93,9450.820454545456,1.24
2021/8/31,5214.0293,4805.6099,4522.68,377.55,0.04,68.43,9370.138571428572,1.3
2021/9/30,5236.1974,4866.3826,4307.54,362.14,0.04,75.22,9324.709545454543,1.52
2021/10/31,5256.1172,4908.7701,4605.38,370.19,0.05,83.5,9829.219047619048,1.55
2021/11/30,5235.1342,4832.026,4567,368.51,0.05,66.14,9728.904545454545,1.43
2021/12/31,5341.2201,4940.3733,4766.18,373.85,0.06,75.33,9551.18,1.52
2022/1/31,4896.0119,4563.772,4515.55,369.04,0.24,89.16,9782.3375,1.79
2022/2/28,4958.2712,4581.6459,4373.94,386.7,0.37,96.13,9943.175,1.83
2022/3/31,4571.2411,4222.5968,4530.41,394.14,0.51,100.53,10230.89391304348,2.32
2022/4/30,4280.2806,4016.241,4131.93,405.2,0.83,104.59,10174.34761904762,2.89
2022/5/31,4411.4897,4091.5176,4132.15,398.35,1.13,114.38,9395.027272727271,2.85
2022/6/30,4808.7306,4485.0108,3785.38,391.7,1.66,107.76,9067.55181818182,2.98
2022/7/31,4523.3149,4170.1019,4130.29,383.96,2.34,101.31,7544.809523809524,2.67
2022/8/31,4424.209,4078.8402,3955,386.83,2.87,90.09,7990.812173913043,3.15
2022/9/30,4122.0351,3804.8853,3585.62,390,3.22,79.91,7746.011363636364,3.83
2022/10/31,3896.8741,3508.7034,3871.98,391.76,4.06,86.54,7651.082857142857,4.1
2022/11/30,4239.9952,3853.0365,4080.11,405.76,4.27,80.48,8049.861363636364,3.68
2022/12/31,4202.6813,3871.6338,3839.5,410.49,4.3,80.16,8371.091363636364,3.88
2023/1/31,4510.9567,4156.8578,4076.6,418.33,4.58,78.95,9007.346363636363,3.52
2023/2/28,4452.6866,4069.4587,3970.15,412.69,4.72,76.88,8936.587,3.92
2023/3/31,4434.4583,4050.9257,4109.31,440.74,4.68,75.68,8856.310869565217,3.48
2023/4/30,4398.8026,4029.0858,4169.48,443.37,4.95,76.78,8809.1575,3.44
2023/5/31,4177.0255,3798.5434,4179.83,449.62,5.26,68.11,8243.156086956522,3.64
2023/6/30,4203.5054,3842.4516,4450.38,448.47,5.17,70.66,8396.517727272727,3.81
2023/7/31,4358.6673,4014.6301,4588.96,455.35,5.28,81.8,8476.679047619047,3.97
2023/8/31,4093.3641,3765.2678,4507.66,464.16,5.32,83.55,8347.828260869564,4.09
2023/9/30,4023.3779,3689.5172,4288.05,447.1,5.32,90.77,8276.71380952381,4.59
2023/10/31,3899.0949,3572.5056,4193.8,476.86,5.33,81.64,7941.355909090909,4.88
2023/11/30,3840.7555,3496.2028,4567.8,474.04,5.25,75.66,8189.587727272727,4.37
2023/12/31,3766.7283,3431.1099,4769.83,479.59,5.2,71.89,8407.900476190476,3.88
2024/1/31,3456.9892,3215.3518,4845.65,480,5.22,76.28,8351.339565217391,3.99
2024/2/29,3819.5299,3516.0826,5096.27,480.96,5.25,79.22,8304.950476190475,4.25
2024/3/31,3825.4195,3537.4843,5254.35,527.54,5.23,83.96,8692.819047619048,4.2
2024/4/30,3908.0132,3604.3943,5035.69,545.8,5.25,83.49,9445.593636363636,4.69
2024/5/31,3863.6474,3579.9247,5277.51,553.6,5.25,77.97,10117.163478260873,4.51
2024/6/30,3700.3495,3461.657,5460.48,549.88,5.22,82.83,9648.167,4.36
2024/7/31,3674.1012,3442.0844,5522.3,563.26,5.15,79.36,9385.31304347826,4.09
2024/8/31,3531.0653,3321.4323,5648.4,573.44,4.98,74.52,8981.117727272727,3.91
2024/9/30,4296.0827,4017.8545,5762.48,595.25,4.52,68.75,9259.128571428571,3.81
2024/10/31,4224.1468,3891.0396,5705.45,634,4.44,69.58,9533.991304347826,4.28
2024/11/30,4235.3558,3916.5832,6032.38,614.88,4.39,68.26,9075.727142857144,4.18
2024/12/31,4226.3752,3934.9109,5881.63,614.8,4.23,72.44,8909.907727272726,4.58
2025/1/31,4106.4027,3817.0802,6040.53,643.1,4.2,72.84,8976.68043478261,4.58
2025/2/28,4215.6269,3890.0487,5954.5,670.78,4.2,69.97,9330.975,4.24
2025/3/31,4213.0342,3887.3056,5611.85,730.8,4.21,71.87,9735.823333333332,4.23
2025/4/30,4077.1505,3770.5705,5569.06,780.19,4.2,59.55,9172.695909090908,4.17
2025/5/31,4140.3272,3840.2323,5911.69,768.79,4.25,61.46,9531.200909090909,4.41
2025/6/30,4262.9555,3936.0791,6204.95,764.43,4.24,66.3,9835.068095238095,4.24
2025/7/31,4433.0655,4075.5912,6339.39,767.36,4.24,70.36,9770.580434782609,4.37
2025/8/31,4923.8672,4496.7591,6460.26,781.71,4.05,64.36,9671.875714285714,4.23
2025/9/30,5108.2652,4640.6935,6688.46,871.86,3.86,63.17,9994.773181818182,4.16
2025/10/31,5092.9833,4640.6676,6840.2,921.5,3.73,61.75,10739.91826086957,4.11
2025/11/30,4945.4881,4526.6616,6849.09,948.15,3.73,58.58,10812.028,4.02
2025/12/31,5109.1745,4629.9395,6845.5,974.9,3.57,57.26,11790.96409090909,4.18
,,,,,,,,
