gameid,usd,eur,gbp,jpy,rub,date_acquired
713783,4.99,4.99,4.19,,442.0,2025-02-22
712187,4.99,4.99,4.19,,442.0,2025-02-22
713027,,31.99,,,,2025-02-22
723180,4.99,4.89,4.99,,416.0,2025-02-22
712188,4.99,4.99,4.19,,442.0,2025-02-22
745401,39.99,39.99,34.99,,,2025-02-22
597922,,,,,,2025-02-22
736287,4.99,4.99,4.19,,,2025-02-22
653531,,,,,,2025-02-22
746777,29.99,29.99,24.99,,2658.0,2025-02-22
744426,9.99,9.99,8.39,,886.0,2025-02-22
745830,4.99,4.99,4.19,,,2025-02-22
746658,11.99,11.99,9.99,,1063.0,2025-02-22
743687,,,,,,2025-02-22
742754,29.99,29.99,24.99,,2658.0,2025-02-22
743836,9.99,9.99,8.39,,886.0,2025-02-22
745756,19.99,19.49,16.74,,655.0,2025-02-22
169268,4.79,,3.99,,,2025-02-22
742669,24.99,24.99,20.99,,2215.0,2025-02-22
738556,,,,,,2025-02-22
667238,4.99,4.99,4.19,,442.0,2025-02-22
746281,4.99,4.99,4.19,,,2025-02-22
739473,4.99,4.99,4.19,,442.0,2025-02-22
739362,14.99,14.99,12.49,,1329.0,2025-02-22
746250,2.99,2.99,2.51,,265.0,2025-02-22
745398,14.99,14.99,12.49,,1018.0,2025-02-22
170347,19.99,19.99,15.99,,1772.0,2025-02-22
739402,4.99,4.99,4.19,,,2025-02-22
743677,39.99,39.99,34.99,,2747.0,2025-02-22
738595,11.99,11.99,9.99,,1063.0,2025-02-22
738929,14.99,14.99,11.99,,1329.0,2025-02-22
739409,9.99,9.99,8.39,,886.0,2025-02-22
702268,4.99,4.99,4.19,,442.0,2025-02-22
746657,9.99,9.99,8.39,,886.0,2025-02-22
184897,6.99,6.99,5.79,,743.0,2025-02-22
667239,4.99,4.99,4.19,,442.0,2025-02-22
712955,9.99,9.99,8.39,,886.0,2025-02-22
492777,49.99,49.99,41.74,,4431.0,2025-02-22
717719,4.99,4.99,4.99,,442.0,2025-02-22
15358,14.99,14.99,11.99,,1329.0,2025-02-22
592428,49.99,49.99,41.74,,4431.0,2025-02-22
718031,11.99,11.99,9.99,,1063.0,2025-02-22
598418,,,,,,2025-02-22
719911,17.99,17.99,14.99,,1595.0,2025-02-22
718344,3.99,3.99,3.29,,354.0,2025-02-22
717928,7.49,7.49,6.29,,664.0,2025-02-22
712983,19.99,19.99,16.74,,1772.0,2025-02-22
738287,4.24,4.24,3.56,,376.0,2025-02-22
736226,9.99,9.99,8.39,,886.0,2025-02-22
734203,8.99,8.99,7.49,,797.0,2025-02-22
735766,29.99,29.99,24.99,,2658.0,2025-02-22
712622,19.99,19.99,16.99,,1772.0,2025-02-22
735789,19.99,19.99,16.74,,1772.0,2025-02-22
733784,49.99,49.99,44.99,,,2025-02-22
712618,4.99,4.99,4.19,,442.0,2025-02-22
731959,4.99,4.99,4.19,,,2025-02-22
730975,,,,,,2025-02-22
730871,49.99,49.99,44.9,,3456.0,2025-02-22
733567,24.99,20.99,19.74,,2215.0,2025-02-22
735971,9.99,9.99,8.39,,886.0,2025-02-22
737242,5.99,5.99,5.99,,531.0,2025-02-22
334407,29.99,29.99,24.99,,2658.0,2025-02-22
738273,,,,,,2025-02-22
407976,49.99,49.99,41.74,,4431.0,2025-02-22
736228,6.99,6.99,5.79,,620.0,2025-02-22
733346,19.99,19.99,16.74,,1772.0,2025-02-22
731958,4.99,4.99,4.19,,442.0,2025-02-22
738075,29.99,29.99,24.99,,2658.0,2025-02-22
752820,4.99,4.99,4.19,,442.0,2025-02-22
733893,19.99,19.99,16.74,,1772.0,2025-02-22
712184,2.99,2.99,2.49,,265.0,2025-02-22
737542,39.99,39.99,34.99,,,2025-02-22
712438,,,,,3545.0,2025-02-22
635481,49.99,49.99,42.99,,2038.0,2025-02-22
730772,24.99,24.49,20.99,,974.0,2025-02-22
711783,9.99,9.99,8.39,,886.0,2025-02-22
424153,9.99,9.99,7.99,,886.0,2025-02-22
711824,14.99,14.99,12.99,,1329.0,2025-02-22
735592,4.99,4.99,4.19,,442.0,2025-02-22
712183,17.99,17.99,14.99,,1595.0,2025-02-22
711995,24.99,24.99,20.99,,2215.0,2025-02-22
711180,24.99,24.99,20.99,,2215.0,2025-02-22
572596,4.99,4.99,4.19,,442.0,2025-02-22
712587,17.99,17.99,14.99,,1595.0,2025-02-22
634992,,,,,,2025-02-22
476540,4.99,4.99,4.19,,442.0,2025-02-22
659315,3.49,3.49,2.93,,309.0,2025-02-22
716072,4.99,4.99,4.19,,442.0,2025-02-22
708332,,,,,,2025-02-22
728778,24.99,22.99,20.99,,2215.0,2025-02-22
619081,49.99,49.99,41.74,,4431.0,2025-02-22
730960,49.99,39.99,39.99,,4431.0,2025-02-22
708524,9.99,9.99,8.39,,886.0,2025-02-22
711176,12.99,12.99,10.74,,1151.0,2025-02-22
711179,4.99,4.99,4.19,,442.0,2025-02-22
727843,3.99,3.99,3.29,,354.0,2025-02-22
706925,10.49,10.49,8.79,,930.0,2025-02-22
706771,29.99,29.99,24.99,,2658.0,2025-02-22
705867,19.99,19.99,16.74,,1772.0,2025-02-22
701729,59.99,69.99,59.99,,5318.0,2025-02-22
700349,,,,,,2025-02-22
700322,24.99,24.99,20.99,,2215.0,2025-02-22
752774,2.99,2.99,2.49,,265.0,2025-02-22
708775,4.99,4.99,4.19,,,2025-02-22
706616,9.99,9.99,8.39,,886.0,2025-02-22
701886,19.99,19.99,16.74,,1772.0,2025-02-22
706615,5.99,5.99,4.99,,531.0,2025-02-22
403780,5.99,5.99,4.49,,531.0,2025-02-22
620544,19.99,17.99,15.49,,1196.0,2025-02-22
705034,,,,,,2025-02-22
708681,39.99,39.99,34.99,,,2025-02-22
692773,24.99,,21.74,,,2025-02-22
708349,19.99,19.99,16.74,,1772.0,2025-02-22
330027,24.99,24.99,19.99,,2657.0,2025-02-22
708312,4.99,4.99,4.19,,442.0,2025-02-22
707936,29.99,39.99,34.99,,3545.0,2025-02-22
387878,5.99,5.99,4.49,,531.0,2025-02-22
525234,7.99,7.99,6.49,,708.0,2025-02-22
478064,9.99,9.99,7.99,,886.0,2025-02-22
707376,,,,,,2025-02-22
706613,24.99,24.99,20.99,,2215.0,2025-02-22
707377,4.99,4.99,4.19,,442.0,2025-02-22
706871,4.99,4.99,4.19,,442.0,2025-02-22
706840,24.99,24.99,20.99,,2215.0,2025-02-22
706768,19.99,19.99,16.74,,1772.0,2025-02-22
706612,19.99,19.99,16.74,,1772.0,2025-02-22
649233,69.99,69.99,59.98,,6204.0,2025-02-22
705375,4.99,4.99,4.99,,442.0,2025-02-22
707196,29.99,,24.99,,,2025-02-22
705010,11.99,11.99,9.99,,1063.0,2025-02-22
707195,5.99,5.99,4.99,,531.0,2025-02-22
704774,7.99,7.99,6.69,,708.0,2025-02-22
701824,14.99,14.99,12.49,,1329.0,2025-02-22
705006,39.99,39.99,33.49,,3545.0,2025-02-22
700236,18.99,18.99,15.74,,1683.0,2025-02-22
699762,9.99,9.99,8.39,,886.0,2025-02-22
706182,2.74,2.74,2.3,,243.0,2025-02-22
704757,14.99,14.99,12.49,,1329.0,2025-02-22
705976,,,,,,2025-02-22
697783,24.99,24.99,20.99,,,2025-02-22
700309,19.49,19.49,16.24,,,2025-02-22
700852,9.99,9.99,8.39,,886.0,2025-02-22
695833,23.99,23.99,19.99,,2126.0,2025-02-22
659058,9.99,9.99,8.39,,886.0,2025-02-22
694331,9.99,9.99,8.39,,886.0,2025-02-22
694312,7.99,7.99,6.99,,708.0,2025-02-22
693026,24.99,24.99,20.99,,2215.0,2025-02-22
694332,9.99,9.99,8.39,,886.0,2025-02-22
696618,9.99,9.99,8.39,,886.0,2025-02-22
698638,14.99,15.49,12.49,,1329.0,2025-02-22
696571,29.99,29.99,23.79,,1329.0,2025-02-22
584876,4.99,4.99,4.19,,442.0,2025-02-22
694722,24.99,24.99,20.99,,2215.0,2025-02-22
699763,9.99,9.99,8.39,,886.0,2025-02-22
696258,11.99,11.99,9.99,,1063.0,2025-02-22
698248,12.99,12.99,10.74,,1151.0,2025-02-22
698259,24.99,24.99,16.99,,2215.0,2025-02-22
657190,,,,,,2025-02-22
585497,9.99,9.99,8.39,,886.0,2025-02-22
696696,9.99,9.99,8.39,,886.0,2025-02-22
698792,,,,,,2025-02-22
696789,9.99,9.99,8.39,,886.0,2025-02-22
696922,29.99,27.99,23.49,,2481.0,2025-02-22
664989,4.99,4.99,4.19,,442.0,2025-02-22
698637,9.99,9.99,8.39,,886.0,2025-02-22
698089,19.99,19.99,16.74,,,2025-02-22
696072,4.99,4.99,4.19,,442.0,2025-02-22
696074,,39.99,,,,2025-02-22
695457,19.99,19.99,17.99,,1772.0,2025-02-22
696617,9.99,9.99,8.39,,886.0,2025-02-22
696377,29.99,29.99,24.99,,2658.0,2025-02-22
696299,12.99,12.99,10.74,,1151.0,2025-02-22
697441,,,,,,2025-02-22
694855,9.99,9.99,8.39,,886.0,2025-02-22
694587,5.99,5.99,5.99,,531.0,2025-02-22
691447,4.99,4.99,4.19,,442.0,2025-02-22
694585,5.99,5.99,5.99,,531.0,2025-02-22
695153,4.99,4.99,4.19,,442.0,2025-02-22
694251,5.99,5.99,5.99,,531.0,2025-02-22
694537,35.99,35.99,29.99,,3190.0,2025-02-22
694237,19.99,19.99,16.74,,1772.0,2025-02-22
694848,5.99,5.99,5.99,,531.0,2025-02-22
693750,19.99,,16.74,,,2025-02-22
656184,7.99,7.99,6.69,,708.0,2025-02-22
686143,4.99,4.99,4.19,,442.0,2025-02-22
703751,9.99,9.99,8.39,,886.0,2025-02-22
694856,9.99,9.99,8.39,,886.0,2025-02-22
692891,11.99,11.99,9.99,,1063.0,2025-02-22
692892,11.99,11.99,9.99,,1063.0,2025-02-22
692117,10.49,10.49,8.79,,930.0,2025-02-22
702375,7.99,7.99,6.69,,708.0,2025-02-22
691169,,,,,,2025-02-22
702623,39.99,,33.49,,3545.0,2025-02-22
689235,19.99,19.99,16.74,,1772.0,2025-02-22
632582,4.99,4.99,4.19,,442.0,2025-02-22
703750,9.99,9.99,8.39,,886.0,2025-02-22
689336,9.99,,8.39,,,2025-02-22
690006,14.99,14.99,11.99,,1329.0,2025-02-22
610004,4.99,4.99,4.19,,442.0,2025-02-22
576623,4.99,4.99,4.19,,442.0,2025-02-22
627637,4.99,4.99,4.19,,442.0,2025-02-22
689562,29.99,29.99,24.99,,2658.0,2025-02-22
673692,4.99,4.99,4.19,,442.0,2025-02-22
749159,4.99,4.99,4.19,,442.0,2025-02-22
689563,9.99,9.99,8.39,,886.0,2025-02-22
689189,17.99,17.99,14.99,,1595.0,2025-02-22
673865,4.99,4.99,4.19,,442.0,2025-02-22
497887,4.99,4.99,4.19,,442.0,2025-02-22
657765,4.99,4.99,4.19,,442.0,2025-02-22
658341,4.99,4.99,4.19,,442.0,2025-02-22
3437,,,,,,2025-02-22
597093,4.99,4.99,4.19,,442.0,2025-02-22
640486,,,,,,2025-02-22
692240,4.99,4.99,4.99,,442.0,2025-02-22
675060,4.99,4.99,4.19,,442.0,2025-02-22
689513,12.99,12.99,10.74,,575.0,2025-02-22
510198,6.99,6.99,5.79,,620.0,2025-02-22
572819,4.99,4.99,4.19,,442.0,2025-02-22
691343,29.99,29.99,24.99,,,2025-02-22
690753,12.49,12.49,9.99,,,2025-02-22
563466,9.99,4.99,4.19,,442.0,2025-02-22
690534,39.99,38.99,33.74,,1284.0,2025-02-22
692234,5.99,5.99,4.99,,531.0,2025-02-22
691502,14.99,15.49,12.49,,1329.0,2025-02-22
690523,39.99,39.99,33.49,,3545.0,2025-02-22
691393,13.99,14.49,11.74,,1240.0,2025-02-22
690332,39.99,39.99,33.49,,3545.0,2025-02-22
690632,,,,,,2025-02-22
687811,4.99,4.99,4.19,,442.0,2025-02-22
702639,14.99,14.99,12.49,,1329.0,2025-02-22
576486,24.99,24.99,20.99,,2215.0,2025-02-22
703098,69.99,69.99,59.99,,6204.0,2025-02-22
690476,19.99,19.99,16.74,,1772.0,2025-02-22
703579,24.99,24.99,20.99,,2215.0,2025-02-22
703666,,,,,,2025-02-22
697578,1.99,1.99,1.67,,176.0,2025-02-22
684378,19.99,19.99,16.24,,1772.0,2025-02-22
687554,9.99,9.99,8.39,,886.0,2025-02-22
460144,19.99,19.99,16.74,,2126.0,2025-02-22
684168,34.99,34.99,29.99,,3190.0,2025-02-22
673097,9.99,9.99,7.99,,886.0,2025-02-22
687567,19.99,19.99,16.99,,,2025-02-22
17708,,,,,,2025-02-22
702632,19.99,19.99,16.74,,1772.0,2025-02-22
702198,19.99,19.99,16.74,,1772.0,2025-02-22
689302,4.99,4.99,4.19,,442.0,2025-02-22
701873,19.99,19.99,16.99,,1772.0,2025-02-22
686735,12.99,12.99,10.74,,1151.0,2025-02-22
686362,12.49,12.49,10.49,,1107.0,2025-02-22
652330,14.99,14.99,12.99,,1373.0,2025-02-22
685961,9.99,9.99,8.39,,886.0,2025-02-22
646081,,,,,,2025-02-22
685644,19.99,24.99,20.99,,2215.0,2025-02-22
684966,4.99,4.99,4.19,,442.0,2025-02-22
686280,10.49,10.49,8.74,,930.0,2025-02-22
688306,4.99,4.99,4.19,,442.0,2025-02-22
686416,,,,,,2025-02-22
688281,4.99,4.99,4.19,,442.0,2025-02-22
688503,4.99,4.99,4.99,,442.0,2025-02-22
686656,24.99,24.99,20.99,,2215.0,2025-02-22
652436,4.99,4.99,4.19,,442.0,2025-02-22
682463,4.99,4.99,4.19,,442.0,2025-02-22
688088,10.49,10.49,8.79,,930.0,2025-02-22
688032,29.99,29.99,24.99,,2658.0,2025-02-22
688064,4.99,4.99,4.19,,442.0,2025-02-22
688073,4.99,4.99,4.19,,442.0,2025-02-22
618601,4.99,4.99,4.19,,442.0,2025-02-22
651978,19.99,19.99,16.74,,1772.0,2025-02-22
625306,5.49,5.49,4.59,,487.0,2025-02-22
688033,12.99,12.99,10.74,,1151.0,2025-02-22
612313,5.49,8.89,4.59,,487.0,2025-02-22
644631,4.99,4.99,4.19,,442.0,2025-02-22
688072,4.99,4.99,4.19,,442.0,2025-02-22
611063,4.99,4.99,4.19,,442.0,2025-02-22
686886,4.99,4.99,4.19,,442.0,2025-02-22
688305,9.99,9.99,8.39,,886.0,2025-02-22
501774,9.99,9.99,8.39,,1062.0,2025-02-22
672196,4.99,4.99,4.19,,442.0,2025-02-22
686862,9.99,9.99,8.39,,886.0,2025-02-22
672191,9.99,9.99,8.39,,886.0,2025-02-22
668079,4.99,4.99,4.19,,442.0,2025-02-22
660974,14.99,14.99,12.49,,1329.0,2025-02-22
677920,4.99,4.99,4.19,,442.0,2025-02-22
680572,19.99,18.99,15.74,,1683.0,2025-02-22
686772,19.99,19.99,16.74,,1772.0,2025-02-22
678838,24.99,21.99,17.98,,2215.0,2025-02-22
660976,9.99,9.99,8.39,,886.0,2025-02-22
192028,39.99,39.99,34.99,,3545.0,2025-02-22
450890,29.99,29.99,24.99,,2658.0,2025-02-22
427047,9.99,9.99,8.39,,886.0,2025-02-22
679907,3.99,3.99,3.29,,354.0,2025-02-22
677918,9.99,9.99,8.39,,886.0,2025-02-22
622720,29.99,29.99,24.99,,2658.0,2025-02-22
668580,9.99,9.99,8.39,,886.0,2025-02-22
677919,9.99,9.99,7.99,,886.0,2025-02-22
677880,11.99,11.99,9.99,,1063.0,2025-02-22
634111,,,,,,2025-02-22
664787,4.99,4.99,4.19,,442.0,2025-02-22
472252,29.99,29.99,24.99,,3189.0,2025-02-22
670182,19.99,19.99,16.74,,1772.0,2025-02-22
683516,3.99,3.99,3.29,,354.0,2025-02-22
624937,69.99,69.99,59.99,,6204.0,2025-02-22
669663,2.99,2.99,2.49,,265.0,2025-02-22
681306,10.49,10.49,8.79,,930.0,2025-02-22
168948,,,,,,2025-02-22
680258,39.99,39.99,33.49,,3545.0,2025-02-22
681611,19.99,19.99,16.74,,1772.0,2025-02-22
551317,11.99,11.99,9.99,,1063.0,2025-02-22
680194,9.99,9.99,8.39,,886.0,2025-02-22
670014,14.99,14.99,11.99,,1329.0,2025-02-22
655326,3.49,3.49,2.93,,309.0,2025-02-22
679437,11.99,11.99,9.99,,1063.0,2025-02-22
409637,,,,,,2025-02-22
678886,29.99,29.99,26.74,,2658.0,2025-02-22
670215,11.99,11.99,9.99,,1063.0,2025-02-22
452812,3.99,3.99,3.29,,354.0,2025-02-22
679706,14.99,14.99,12.49,,1329.0,2025-02-22
672590,4.99,4.99,4.19,,442.0,2025-02-22
679163,29.99,29.99,24.99,,2658.0,2025-02-22
669496,,,,,,2025-02-22
684146,34.99,34.99,29.24,,3102.0,2025-02-22
677654,3.99,3.99,3.59,,354.0,2025-02-22
679574,14.99,14.99,12.49,,,2025-02-22
677833,29.04,26.24,21.57,,2574.0,2025-02-22
683515,4.99,4.99,4.99,,442.0,2025-02-22
668642,9.99,9.99,8.39,,886.0,2025-02-22
683806,14.99,14.99,12.49,,1329.0,2025-02-22
668831,9.99,9.99,8.39,,,2025-02-22
668517,14.99,14.99,12.49,,1329.0,2025-02-22
683517,4.99,4.99,4.19,,442.0,2025-02-22
575931,69.99,69.99,59.99,,6204.0,2025-02-22
683285,4.99,4.99,4.19,,442.0,2025-02-22
13422,19.99,19.99,16.74,,,2025-02-22
673864,11.99,11.99,9.99,,1063.0,2025-02-22
661039,23.99,23.99,19.99,,2126.0,2025-02-22
673411,24.99,24.99,20.99,,2215.0,2025-02-22
1443,,,,,,2025-02-22
676828,49.99,49.99,49.99,,4431.0,2025-02-22
682439,19.99,19.99,16.74,,1772.0,2025-02-22
675880,44.99,44.99,37.49,,,2025-02-22
674493,19.99,19.49,16.24,,1728.0,2025-02-22
683028,9.99,9.99,8.39,,886.0,2025-02-22
617131,,,,,,2025-02-22
676010,9.99,9.99,7.99,,886.0,2025-02-22
135220,19.99,19.99,16.74,,,2025-02-22
19170,19.99,19.99,16.74,,,2025-02-22
666979,9.99,9.99,8.39,,886.0,2025-02-22
668006,14.99,14.99,12.49,,1329.0,2025-02-22
588120,4.99,4.99,4.19,,442.0,2025-02-22
667536,1.99,2.09,1.69,,176.0,2025-02-22
636711,4.99,4.99,4.19,,442.0,2025-02-22
683076,11.99,11.99,9.99,,1063.0,2025-02-22
667787,19.99,14.99,14.99,,1772.0,2025-02-22
668082,19.99,19.99,16.74,,1772.0,2025-02-22
682612,9.99,9.99,8.39,,886.0,2025-02-22
666890,19.99,19.99,16.74,,1772.0,2025-02-22
571128,2.99,2.99,2.51,,265.0,2025-02-22
682347,7.99,7.99,6.69,,708.0,2025-02-22
666597,19.99,19.99,16.99,,1772.0,2025-02-22
668123,19.99,19.99,17.99,,,2025-02-22
681920,19.99,16.99,15.49,,1772.0,2025-02-22
672416,4.99,4.99,4.19,,442.0,2025-02-22
682740,,,,,,2025-02-22
681643,12.99,12.99,10.74,,1151.0,2025-02-22
666767,11.99,11.99,9.99,,1063.0,2025-02-22
681705,19.99,19.99,16.74,,1772.0,2025-02-22
676177,9.99,9.99,8.39,,886.0,2025-02-22
676114,9.99,9.99,8.39,,886.0,2025-02-22
601882,,,,,,2025-02-22
675949,39.99,,34.99,,,2025-02-22
676908,17.99,17.99,15.49,,1595.0,2025-02-22
667114,4.99,4.99,4.19,,442.0,2025-02-22
677055,5.99,5.99,4.99,,531.0,2025-02-22
674877,10.49,11.99,10.49,,,2025-02-22
661255,4.99,4.99,4.99,,442.0,2025-02-22
674404,4.99,4.99,4.99,,442.0,2025-02-22
675339,9.99,9.99,8.39,,886.0,2025-02-22
674145,4.99,4.99,4.19,,442.0,2025-02-22
673645,19.99,19.99,16.74,,1772.0,2025-02-22
660346,17.99,17.99,14.99,,1595.0,2025-02-22
655217,9.99,9.99,8.39,,886.0,2025-02-22
712589,49.99,49.99,44.99,,4431.0,2025-02-22
674001,11.99,11.99,9.99,,1063.0,2025-02-22
636578,,,,,,2025-02-22
673897,29.99,29.99,24.99,,2658.0,2025-02-22
661436,,,,,,2025-02-22
658909,49.99,69.99,59.99,,6204.0,2025-02-22
660702,34.99,34.99,29.24,,3102.0,2025-02-22
649355,14.99,11.99,9.99,,797.0,2025-02-22
372434,5.99,5.99,4.99,,531.0,2025-02-22
660581,69.99,74.99,61.99,,6204.0,2025-02-22
554216,8.79,8.79,8.79,,,2025-02-22
657294,59.99,59.99,54.99,,,2025-02-22
659103,9.99,9.99,8.39,,886.0,2025-02-22
658548,11.99,11.99,9.99,,1063.0,2025-02-22
16294,7.99,7.78,6.39,,849.0,2025-02-22
657687,24.99,24.99,19.99,,2215.0,2025-02-22
657406,,,,,,2025-02-22
659056,39.99,,34.99,,,2025-02-22
657065,19.99,19.99,15.99,,,2025-02-22
658610,,,,,,2025-02-22
657304,14.99,14.99,12.99,,1329.0,2025-02-22
656442,,,,,,2025-02-22
655651,,,,,,2025-02-22
655045,14.99,14.99,12.99,,,2025-02-22
628141,9.99,7.99,6.69,,531.0,2025-02-22
654173,23.99,23.99,19.99,,,2025-02-22
656873,29.99,29.99,24.99,,2658.0,2025-02-22
654127,3.99,3.99,3.29,,354.0,2025-02-22
655513,11.99,11.99,9.99,,1063.0,2025-02-22
655510,11.99,11.99,9.99,,1063.0,2025-02-22
572571,24.99,24.99,21.74,,1329.0,2025-02-22
635482,19.99,19.99,16.99,,1772.0,2025-02-22
655388,11.99,11.99,9.99,,1063.0,2025-02-22
630037,29.99,29.99,24.99,,2126.0,2025-02-22
503811,4.99,4.99,4.19,,442.0,2025-02-22
635914,29.99,29.99,24.99,,2658.0,2025-02-22
635251,2.99,2.99,2.51,,265.0,2025-02-22
634770,9.99,9.99,8.39,,886.0,2025-02-22
607307,4.99,4.99,4.19,,442.0,2025-02-22
635252,17.99,17.99,14.99,,1595.0,2025-02-22
634458,9.99,9.99,8.39,,886.0,2025-02-22
653680,12.99,12.99,10.74,,1151.0,2025-02-22
635241,14.99,14.99,12.49,,1329.0,2025-02-22
653914,9.99,9.99,8.39,,886.0,2025-02-22
636019,9.99,9.99,7.99,,886.0,2025-02-22
635016,19.99,19.99,16.74,,1772.0,2025-02-22
645082,9.99,9.99,8.39,,,2025-02-22
649351,4.99,4.99,4.19,,442.0,2025-02-22
652763,10.99,10.99,10.74,,974.0,2025-02-22
647509,39.99,39.99,34.99,,3545.0,2025-02-22
607723,4.99,4.99,4.19,,442.0,2025-02-22
644948,39.99,39.99,34.99,,2747.0,2025-02-22
634019,9.99,9.99,8.39,,886.0,2025-02-22
645815,,,,,,2025-02-22
650453,4.99,4.99,4.19,,442.0,2025-02-22
633737,24.99,24.99,19.99,,2215.0,2025-02-22
650194,19.24,19.24,19.24,,,2025-02-22
634016,4.99,4.99,4.19,,442.0,2025-02-22
645271,19.99,19.99,15.99,,1772.0,2025-02-22
649350,4.99,4.99,4.19,,442.0,2025-02-22
633911,12.99,12.99,10.74,,1151.0,2025-02-22
649352,4.99,4.99,4.19,,442.0,2025-02-22
555676,5.99,5.99,4.99,,531.0,2025-02-22
649121,11.99,11.99,9.99,,1063.0,2025-02-22
648424,19.99,19.99,16.74,,1772.0,2025-02-22
649509,6.99,6.99,5.79,,620.0,2025-02-22
638957,4.49,4.49,3.79,,398.0,2025-02-22
649920,9.99,9.99,8.39,,886.0,2025-02-22
647863,14.99,14.99,12.49,,1329.0,2025-02-22
647442,4.99,4.99,4.19,,442.0,2025-02-22
646768,19.99,19.99,13.74,,1772.0,2025-02-22
647679,5.99,5.99,4.99,,531.0,2025-02-22
646387,4.99,4.99,4.19,,442.0,2025-02-22
645997,4.99,4.99,4.19,,442.0,2025-02-22
647791,14.99,14.99,12.49,,1329.0,2025-02-22
645899,19.99,19.99,16.74,,1772.0,2025-02-22
645724,9.99,9.99,7.99,,886.0,2025-02-22
433250,29.99,29.99,24.99,,3189.0,2025-02-22
645721,14.99,14.99,12.49,,1329.0,2025-02-22
647441,24.99,24.99,20.99,,2215.0,2025-02-22
646386,5.99,5.99,4.99,,531.0,2025-02-22
645723,19.99,19.99,16.74,,1772.0,2025-02-22
405689,,,,,,2025-02-22
653132,14.99,14.99,12.49,,1329.0,2025-02-22
653403,39.99,39.99,33.49,,3545.0,2025-02-22
652767,19.99,19.99,14.99,,1772.0,2025-02-22
652431,9.99,9.99,8.39,,886.0,2025-02-22
644499,4.99,4.99,4.99,,442.0,2025-02-22
645230,12.99,12.99,10.74,,,2025-02-22
645425,4.89,4.89,4.09,,433.0,2025-02-22
652173,9.99,9.99,8.58,,886.0,2025-02-22
652067,8.24,7.41,6.7,,730.0,2025-02-22
651963,4.99,4.99,4.19,,442.0,2025-02-22
417202,,,,,,2025-02-22
644289,14.99,14.99,12.49,,1329.0,2025-02-22
629567,29.99,29.99,24.99,,2658.0,2025-02-22
632888,,,,,,2025-02-22
653003,5.99,5.99,5.99,,531.0,2025-02-22
650731,39.99,39.99,34.99,,3545.0,2025-02-22
631199,19.99,19.99,16.74,,1772.0,2025-02-22
630132,,,,,,2025-02-22
631512,19.99,19.99,16.74,,1772.0,2025-02-22
333262,,,,,,2025-02-22
643866,9.99,9.99,8.39,,886.0,2025-02-22
462403,,,,,,2025-02-22
631265,29.99,29.99,26.99,,2658.0,2025-02-22
651142,4.99,4.99,4.19,,442.0,2025-02-22
628878,19.99,19.99,14.99,,,2025-02-22
643367,4.99,4.99,4.99,,442.0,2025-02-22
651675,39.99,49.99,44.99,,3545.0,2025-02-22
548186,,,,,,2025-02-22
617110,,,,,,2025-02-22
651594,14.99,14.99,12.49,,593.0,2025-02-22
