gameid,title,developers,publishers,genres,supported_languages,release_date
722997,Spiral,,,,,2024-10-11
653553,ROUNDS,"['Friendly Foe', 'Landfall Games']",['Landfall Games'],['Party'],,2024-02-21
456131,Hell Let Loose,"['Black Matter', 'Team17 Software']",['Team17 Software'],['First Person Shooter'],,2021-10-05
717371,Quartz Caverns,['MerakiDev'],['MerakiDev'],['Platformer'],,2024-10-16
703642,Alpacapaca Dash (Windows),['Synnergy Circle Games'],['Synnergy Circle Games'],['Platformer'],,2024-09-04
717252,Retreat To Enen,['Head West'],['indie.io'],['Survival'],,2024-10-30
716287,Kong: Survivor Instinct,['7Levels'],['7Levels'],['Platformer'],,2024-10-22
716357,Amanda the Adventurer,['MANGLEDmaw Games'],['DreadXP'],['Puzzle'],,2024-10-10
689933,Elon and the Divine Proof,['DERIK DF'],['DERIK DF'],['Platformer'],,2024-09-04
707197,Dark Elven Legacy,['Old School Vibes'],['Old School Vibes'],['Platformer'],,2024-09-18
708080,Dark Elven Legacy,['Old School Vibes'],['Old School Vibes'],['Platformer'],,2024-09-18
715064,Flint: Treasure of Oblivion,['Savage Level'],['Microids'],"['Strategy', 'Turn Based']",,2024-10-24
597922,Puzzle Quest 3,['Infinity Plus 2'],['505 Games'],"['Puzzle', 'Role Playing']",,2023-05-31
713121,Cats with Guns,['Synnergy Circle Games'],['Synnergy Circle Games'],"['Roguelite', ""Shoot 'em up""]",,2024-10-01
713783,Cats With Guns (Windows),['Synnergy Circle Games'],['Synnergy Circle Games'],"['Roguelite', ""Shoot 'em up""]",,2024-10-01
713122,Block & Shot,['17Studio'],['17Studio'],['Puzzle'],,2024-10-04
713027,NHL 25,['EA Vancouver'],['Electronic Arts'],"['Sports', 'Hockey']",,2024-10-04
712187,Cat in Rain,['Maria'],['Phoenix Reborn Games'],['Platformer'],,2024-09-25
712188,Cat in Rain,['Maria'],['Phoenix Reborn Games'],['Platformer'],,2024-09-25
723180,It Could Happen To You,['Pixel Noire Games'],['Ratalaika Games'],['Visual Novel'],,2024-10-18
745830,Godsvivors,['Titan'],['AFIL Games'],"['Roguelite', ""Shoot 'em up""]",,2024-12-04
745401,Railroads Online,['Stefan Kelnberger'],['astragon Entertainment'],['Sandbox'],,2024-12-05
736287,Check and Slash,['Gate of Madness'],['AFIL Games'],"['Action-Adventure', 'Roguelite']",,2024-11-15
746777,Magical Bakery,['SUPERLUMEN'],['SOEDESCO'],['Simulation'],,2024-11-07
746281,Godsvivors,['Titan'],['AFIL Games'],"['Roguelite', ""Shoot 'em up""]",,2024-12-04
746658,Aery - Peace of Mind 2,['EpiXR Games'],['EpiXR Games'],,,2025-01-24
743687,まつろぱれっと,,,,,2024-11-15
744426,Tell Me Your Story,['RedDeerGames'],['RedDeerGames'],['Puzzle'],,2024-11-14
743836,Repit,['17Studio'],['17Studio'],['Platformer'],,2024-11-15
742669,Metal Slug Tactics,['Leikir Studio'],['Dotemu'],"['Role Playing', 'Strategy', 'Turn Based']",,2024-11-05
745756,The Rise of the Golden Idol,['Color Gray Games'],['PlayStack'],"['Puzzle', 'Adventure', 'Point & Click']",,2024-11-12
667238,Beats of Montezuma,,,,,2024-04-19
742754,Songs of Silence,['Chimera Entertainment'],['Chimera Entertainment'],"['Strategy', 'Turn Based']",,2024-11-13
738556,Grim Idle,['EvilCharm Games'],['Desert Water Games'],['Management'],,2024-11-08
169268,On A Roll 3D,['Battenberg Software'],['Battenberg Software'],['Indie'],,2018-12-07
739473,Pyramid Platformer - The Gem Heist,['Fabrizio Abreu'],['Fa Games'],['Platformer'],,2024-11-06
170347,Kingdom Two Crowns,['Coatsink'],['Raw Fury'],['strategy'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (simplified)']",2018-12-11
745398,Beat the Machine Rebooted,['Sanguine Studios'],['Sanguine Studios'],"[""Shoot 'em up""]",,2024-12-06
746250,Cat in Rain (Windows),['Maria'],['Phoenix Reborn Games'],['Platformer'],,2024-11-15
743677,DEATH STRANDING DIRECTOR'S CUT,['Kojima Productions'],['505 Games'],"['Stealth', 'Open World']",,2024-11-07
739362,Shines Over: The Damned,['Firenut Games'],['Firenut Games'],['Adventure'],,2024-11-29
702268,Arrowstorm Ascendant [Windows],['Synnergy Circle Games'],['Synnergy Circle Games'],"['Roguelite', ""Shoot 'em up""]",,2024-08-28
739409,Cursed Feed,['Playstige Interactive'],['Playstige Interactive'],['Adventure'],,2024-11-29
739402,Duck Run,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06
492777,Crusader Kings III,,,,,2022-03-29
738595,Food Boy,['Dopamin Game Studio'],['Short N Sweet'],['Action'],,2024-11-13
738929,ELDERBORN,['Hyperstrange'],['Hyperstrange'],"['Action-RPG', 'Role Playing']",,2024-11-08
712955,Dagon: Complete Edition,['Bit Golem'],['Feardemic'],['Adventure'],,2024-10-10
746657,Endless Deaths,['EpiXR Games'],['EpiXR Games'],"[""Shoot 'em up""]",,2024-12-06
667239,Beats of Montezuma,,,,,2024-04-19
184897,2URVIVE,['2BAD GAMES'],['2BAD GAMES'],['Indie'],['French'],2019-06-12
15358,Stardew Valley,['ConcernedApe'],['Chucklefish'],"['strategy', 'Simulation', 'Role-Playing Games (RPG)']",,2016-12-14
717928,Soul Stalker,"['Radhood', 'Origami Panda Studio']",['Radhood'],['Roguelite'],,2024-10-24
718344,Hidden Cats in Spooky Town,['Nukearts Studio'],['Silesia Games'],['Puzzle'],,2024-10-23
719911,SlavicPunk: Oldtimer,"['Gaming Factory', 'Red Square Games']",['Gaming Factory'],['Action-Adventure'],,2024-11-06
718031,Beautiful Sakura: Running Club,['Cropware'],['Cropware'],['Visual Novel'],,2024-11-13
717719,Massi,['Farid Iberraken'],['Ratalaika Games'],['Platformer'],,2024-10-08
598418,Diablo IV,['Blizzard Entertainment'],['Blizzard Entertainment'],"['Action-RPG', 'Role Playing', 'Open World', 'Hack & Slash', 'Dungeon Crawler']",,2023-06-05
592428,Age of Wonders 4,['Triumph Studios'],['Paradox Interactive'],"['Strategy', 'Turn Based']",,2023-05-02
712983,Five Nights at Freddy's Into the Pit,['Mega Cat Studios'],['Mega Cat Studios'],['Adventure'],,2024-09-27
712622,Lunacy: Saint Rhodes,['Stormling Studios'],['Iceberg Interactive'],['Adventure'],,2024-09-26
712618,Ballotron Galaxy (Windows),['Cool-Two Interactive'],['Desert Water Games'],['Action'],,2024-10-04
738287,Pancho's Mission,['Chepurniy Yevgeniy'],['TERNOX'],['Platformer'],,2024-11-05
736226,Rumours From Elsewhere,['Notte Studio Games'],['Notte Studio Games'],['Platformer'],,2024-10-31
738273,Phasmophobia,,,,,2024-10-04
735766,Fae Farm,['Phoenix Labs'],['Phoenix Labs'],"['Simulation', 'Management']",,2024-10-24
734203,Bard's Gold - X Edition,,,,,2024-10-23
735789,Neon Blood,['ChaoticBrain Studio'],['Meridiem Games'],['Adventure'],,2024-11-26
733784,SONIC X SHADOW GENERATIONS,['Sonic Team'],"['SEGA', 'Limited Run Games']","['Platformer', 'Collection']",,2024-10-25
735971,Iron Heart,,,,,2024-10-25
730871,Unknown 9: Awakening,['Reflector Entertainment'],['Bandai Namco Entertainment'],['Action-Adventure'],,2024-10-18
731959,Say Cheese!,,,,,2024-10-23
730975,RetroRealms Arcade,['WayForward Technologies'],['Boss Team Games'],['Platformer'],,2024-10-18
737242,Jetpack Kiwi,['Pitigamedev'],['Ratalaika Games'],"[""Shoot 'em up""]",,2024-11-08
736228,Cell Scientists: Beyond,['R-Next'],['R-Next'],['Puzzle'],,2024-10-30
733893,Fear the Spotlight,['Cozy Game Pals'],['Blumhouse Games'],['Adventure'],,2024-10-22
733567,Wildermyth: Console Edition,['Worldwalker Games'],['Auroch Digital'],"['Strategy', 'Turn Based']",,2024-10-22
334407,Dead by Daylight,['Behaviour Digital Inc.'],['Starbreeze Studios'],['Action'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (simplified)', 'Portuguese (Brazil)']",2019-10-31
733346,Great God Grove,['LimboLane'],['Fellow Traveller'],['Action-Adventure'],,2024-11-15
407976,Crusader Kings III,,,,,2020-09-01
730772,ANIMAL WELL,['Billy Basso'],['Bigmode'],"['Platformer', 'Metroidvania']",,2024-10-17
731958,Pyramid Platformer - The Gem Heist,['Fabrizio Abreu'],['Fa Games'],['Platformer'],,2024-11-06
737542,Monster High‎ Skulltimate Secrets,,,,,2024-10-29
738075,Beyond Hanwell,['Steel Arts Software'],['Steel Arts Software'],['Survival Horror'],,2024-11-28
752820,Lord of the Click 4 (Xbox One),['HugePixel'],['Desert Water Games'],['Management'],,2024-12-06
424153,Skycadia,['Studio Nisse LLC'],['Studio Nisse LLC'],['Simulation'],,2021-01-22
712587,FINAL FANTASY IV,"['Square Enix', 'Tose']",['Square Enix'],"['Role Playing', 'Turn Based']",,2024-09-26
712438,Let's Sing 2025,['Voxler'],['PLAION'],['Music & Rhythm'],,2024-11-05
712184,Cats and Seek : Osaka,['Noobzilla'],['Silesia Games'],['Puzzle'],,2024-10-09
712183,Dark Light,['Mirari & Co.'],['Mirari & Co.'],['Platformer'],,2024-09-26
635481,"Warhammer 40,000: Rogue Trader",['Owlcat Games'],['Owlcat Games'],"['Role Playing', 'Strategy', 'Turn Based']",,2023-12-07
711995,The House of Da Vinci 3,['Blue Brain Games'],['Blue Brain Games'],['Puzzle'],,2024-09-19
711824,Anarkade,['Pixelatom'],['Blowfish Studios'],['Party'],,2024-09-23
711783,Paper Plane Arena - Lost Places,['EpiXR Games'],['EpiXR Games'],['Adventure'],,2024-09-20
711178,Cube Railway,['Colossus Game Studio'],['Colossus Game Studio'],['Puzzle'],,2024-09-27
711180,Ctrl Alt Ego,['MindThunk'],['Klabater'],['Puzzle'],,2024-09-24
711176,Iron Sea Defenders,['Creobit'],['8Floor'],"['Strategy', 'Tower Defence']",,2024-09-27
504484,Lab Crisis,['Lovixsama'],['TERNOX'],['Puzzle'],,2022-05-25
735592,Escape from the Dungeon,['Joffre Macedo Neto'],['JM Neto Game Dev'],['Platformer'],,2024-10-25
716072,Escape from the Dungeon,['Joffre Macedo Neto'],['JM Neto Game Dev'],['Platformer'],,2024-10-03
476540,Lost Snowmen,"['Half-Face Games', 'SilenGames']",['SilenGames'],['Platformer'],,2021-12-29
572596,ReactorX 2,['Lovixsama'],['TERNOX'],['Puzzle'],,2023-02-01
659315,Space Moves,['grin robot'],['Desert Water Games'],['Puzzle'],,2024-03-22
634992,Pinball M,['Zen Studios'],['Zen Studios'],['Pinball'],,2023-11-30
619081,Harvest Moon: The Winds of Anthos,"['Natsume', 'Appci']",['Natsume'],['Simulation'],,2023-09-26
711179,Ducky Dash,['Old School Vibes'],['Old School Vibes'],['Platformer'],,2024-09-25
730960,Miraculous - Paris Under Siege,['Petit Fabrik'],['GameMill Entertainment'],['Action-Adventure'],,2024-10-25
708332,EA SPORTS FC 25 Xbox Series X|S,['EA Vancouver'],['Electronic Arts'],"['Sports', 'Football']",,2024-09-27
728778,Card-en-Ciel,['Inti CREATES'],['Inti CREATES'],"['Roguelite', 'Collectable Card Game']",,2024-10-24
706925,Coffee Plis XS Edition,,,,,2024-09-13
727843,Hidden Paws Mystery,['Manic Hyena'],['Silesia Games'],['Puzzle'],,2024-10-30
700322,[REDACTED],,,,,2024-10-31
706616,Creepy Tale: Some Other Place (Xbox Series X|S),,,,,2024-09-26
706615,Byte The Bullet,,,,,2024-09-19
706771,Selfloss,,,,,2024-09-12
705867,Exographer,['SciFunGames'],['Abylight Studios'],"['Platformer', 'Metroidvania']",,2024-09-26
701886,Edge of Sanity,,,,,2024-09-13
705034,Welcome to Empyreum,,,,,2024-09-20
708775,Beyond Border,['DuDeeki Studio'],['AFIL Games'],"[""Shoot 'em up"", 'Tower Defence']",,2024-10-16
752774,Moo & Move: Extra Grazing Grounds,['Everynot Games Studio'],['Everynot Games Studio'],,,2025-01-03
692773,Ticket to Ride,,,,,2024-07-24
403780,Golf With Your Friends,['Blacklight Interactive'],['Blacklight Interactive'],['Indie'],,2020-07-23
387878,Golf With Your Friends,['Blacklight Interactive'],['Blacklight Interactive'],['Indie'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Chinese (simplified)', 'Portuguese (Brazil)']",2020-05-19
330027,Risk of Rain 2,['Hopoo Games LLC'],['Gearbox Publishing'],['Indie'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (simplified)', 'Portuguese (Brazil)']",2019-08-30
525234,Ynglet,['Nifflas'],['Triple Topping Games'],['Platformer'],,2022-08-10
620544,Party Animals,['Recreate Games'],['Source Technology'],['Party'],,2023-09-20
708681,Matchbox Driving Adventures,['Casual Brothers Games'],['Outright Games'],"['Arcade Racing', 'Automobile']",,2024-09-20
708349,Keylocker,['MOONANA'],['Serenity Forge'],"['Role Playing', 'Strategy', 'Turn Based']",,2024-09-18
708312,Cozy Designer,['Lucky Raccoon Games'],['Lucky Raccoon Games'],['Simulation'],,2024-09-18
707936,Arsene Lupin - Once A Thief,['Blazing Griffin'],['Microids'],"['Adventure', 'Point & Click']",,2024-10-17
707377,Farmer Survivors,['AFIL Games'],['AFIL Games'],['Roguelite'],,2024-09-25
707376,Zombie Survivors,['Cube Games'],['Cube Games'],['Roguelite'],,2024-10-24
707196,Broken Sword - Shadow of the Templars: Reforged,['Revolution Software'],"['Revolution Software', 'Red Art Games']","['Adventure', 'Point & Click']",,2024-09-19
707195,pureya,['Majorariatto'],['Mameshiba Games'],['Action'],,2024-09-19
706871,Andromeda Survivors,"['DevDumb', 'Aleo Games']",['AFIL Games'],"['Roguelite', ""Shoot 'em up""]",,2024-09-19
706840,Fabledom,['Grenaa Games'],['Dear Villagers'],['Management'],,2024-09-12
706768,Home Safety Hotline,['Night Signal Entertainment'],['Torture Star Video'],['Simulation'],,2024-09-20
478064,Who's Your Daddy?!,['Evil Tortilla Games'],['Evil Tortilla Games'],['Action'],,2024-09-12
706613,Melobot - A Last Song,['Anomalie Studio'],['Microids'],['Action-Adventure'],,2024-09-16
706612,The Jackbox Naughty Pack,['Jackbox Games'],['Jackbox Games'],"['Collection', 'Party']",,2024-09-12
706182,Johnny Trigger,['Estoty'],['QubicGames'],['Action'],,2024-10-04
705976,Ara: History Untold,['Oxide Games'],['Xbox Game Studios'],"['Strategy', 'Turn Based']",,2024-09-24
649233,Persona 3 Reload,['Atlus'],['SEGA'],"['Role Playing', 'Turn Based']",,2024-02-02
705375,Samurai Kento,['lightUP'],['Ratalaika Games'],['Platformer'],,2024-09-13
705006,Albatroz,['Among Giants'],['SOEDESCO'],['Adventure'],,2024-11-01
705010,Elasto Mania II,"['Elasto Mania Team', 'Balazs Rozsa']",['Infinite Zone'],['Platformer'],,2024-09-18
704757,Shogun Showdown,['Roboatino'],['Entalto Studios'],"['Strategy', 'Turn Based']",,2024-09-05
704774,Tiny Battles,['MyDreamForever'],['Samustai'],['Action'],,2024-08-30
701824,Operation: Polygon Storm,['Toxic Studio'],['Untold Tales'],['Strategy'],,2024-08-23
700852,Cubic 2 3 4 Player Games,['CubeCube Sports'],['CubeCube Sports'],['Party'],,2024-08-28
700309,Raging Loop,['KEMCO'],['KEMCO'],['Visual Novel'],,2024-08-30
700236,Espresso Tycoon,,,,,2024-08-28
699762,Billy’s Game Show,,,,,2024-09-04
694332,Cat’s Request,,,,,2024-08-14
694331,Cat’s Request (Xbox Series X|S),,,,,2024-08-14
693026,Cultist Simulator: Initiate Edition,,,,,2024-08-08
659058,Re:Touring (Xbox Series X|S),['Malte Weiß'],['Sometimes You'],['Puzzle'],,2024-03-29
697783,Green Hell Xbox Series X|S,['Creepy Jar'],['Creepy Jar'],['Survival'],,2024-08-14
696618,Cat’s Request,,,,,2024-08-14
695833,Farewell North,,,,,2024-08-16
694722,Creatures of Ava,,,,,2024-08-07
694312,Castaway,,,,,2024-08-16
696258,Rewind or Die,,,,,2024-08-16
699763,Billy’s Game Show,,,,,2024-09-04
696571,Deathbound,,,,,2024-08-08
584876,Shapik: The Quest,['Rapid Snail'],['Xitilon'],"['Adventure', 'Point & Click']",,2023-03-30
698638,Dadish 3D,['Thomas K. Young'],['Thomas K. Young'],['Platformer'],,2024-08-21
698637,Soviet Project,['17Studio'],['17Studio'],['Adventure'],,2024-08-23
698259,The Mortuary Assistant,['DarkStone Digital'],['DreadXP'],['Adventure'],,2024-08-15
698248,Mad Experiments 2: Escape Room,['PlayTogether Studio'],['Nejcraft\u202c'],['Puzzle'],,2024-08-28
698089,Just Crow Things,['Unbound Creations'],['Unbound Creations'],['Adventure'],,2024-08-15
585497,Secret Agent : Cold War Espionage,['Kungfu Takeaway'],['Kungfu Takeaway'],['Stealth'],,2023-04-19
664989,Perfect Ninja Painter 2,['SilenGames'],['SilenGames'],['Puzzle'],,2024-04-09
657190,Sokobalien (Windows),"['Cavylabs', 'MadCat Corp']",['AFIL Games'],['Puzzle'],,2024-03-07
697441,Madden NFL 25,['EA Orlando'],['Electronic Arts'],"['Sports', 'American Football']",,2013-11-22
696922,ExoCross,['Orontes Games'],['iRacing.com Motorsport Simulations'],"['Simulation Racing', 'Automobile']",,2024-08-07
696696,112 Operator,"['Jutsu Games', 'Ultimate Games']",['Ultimate Games'],['Simulation'],,2024-08-30
696789,Medieval Defenders,['Creobit'],['8Floor'],"['Strategy', 'Tower Defence']",,2024-08-09
696617,Turn to Mine,['Philipp Lehner'],['Sometimes You'],['Puzzle'],,2024-08-16
696377,SteamWorld Heist II,['Thunderful Games'],['Thunderful Publishing'],"['Strategy', 'Turn Based']",,2024-08-08
696299,Love Is All Around,['intiny'],['NiuGamer'],['Visual Novel'],,2024-08-07
696072,Mangavania 2,['Alexander Nikolaev'],['Sometimes You'],['Platformer'],,2024-08-21
696074,Wer weiß denn sowas? - Das 3. Spiel,['Twigames'],['bitComposer Games'],['Educational & Trivia'],,2024-08-29
695153,HoneyLand,['CAIO FLAVIO'],['AFIL Games'],['Puzzle'],,2024-08-08
695457,Shadow of the Ninja - Reborn,"['Tengo Project', 'Natsume']",['United Games Entertainment'],['Platformer'],,2024-08-29
694856,Turn to Mine,['Philipp Lehner'],['Sometimes You'],['Puzzle'],,2024-08-16
691447,HoneyLand,['CAIO FLAVIO'],['AFIL Games'],['Puzzle'],,2024-08-08
694855,Turn to Mine,['Philipp Lehner'],['Sometimes You'],['Puzzle'],,2024-08-16
694848,Aero The Acro-Bat 2,"['Shinyuden', 'Sunsoft']",['Ratalaika Games'],['Platformer'],,2024-09-06
694587,Aero The Acro-Bat: Rascal Rival Revenge,"['Shinyuden', 'Sunsoft']",['Ratalaika Games'],['Platformer'],,2024-11-01
694537,Pneumata,['Deadbolt Interactive'],['Perp Games'],['Adventure'],,2024-09-20
694585,Zero the Kamikaze Squirrel,"['Shinyuden', 'Sunsoft']",['Ratalaika Games'],['Platformer'],,2024-10-04
694251,Aero The Acro-Bat,"['Shinyuden', 'Sunsoft']",['Ratalaika Games'],['Platformer'],,2024-08-02
694237,Crypt Custodian,['Kyle Thompson'],['Top Hat Studios'],"['Action-RPG', 'Role Playing']",,2024-08-27
693750,Sam & Max: The Devil's Playhouse,['Skunkape Games'],['Skunkape Games'],"['Adventure', 'Point & Click']",,2024-08-14
632582,Trash is Fun,['Martian Teapots'],['Brinemedia'],['Adventure'],,2023-11-24
656184,Stunt Paradise,['Brinemedia'],['Brinemedia'],['Platformer'],,2024-03-21
686143,Little Bear,['Old School Vibes'],['Old School Vibes'],['Platformer'],,2024-06-26
692892,Forest Camp Story,['Kairosoft'],['Kairosoft'],['Management'],,2024-08-01
692891,Beastie Bay DX,['Kairosoft'],['Kairosoft'],['Management'],,2024-08-01
703751,The Last Shot (Xbox Series X|S),['Rumata Lab'],['Sometimes You'],['Platformer'],,2024-09-18
702623,The Smurfs – Dreams,,,,,2024-10-24
703750,The Last Shot,,,,,2024-09-18
692117,Bloodhound,,,,,2024-08-16
749159,Unwording,['Frostwood Interactive'],['Nejcraft\u202c'],['Puzzle'],,2024-12-10
689235,Volgarr the Viking II,,,,,2024-08-06
689336,ExhaustedMan,,,,,2024-07-25
673692,Ziggy,,,,,2024-05-14
597093,Zombie Derby 2,['Brinemedia'],['Brinemedia'],['Action'],,2023-06-01
690006,Aerial_Knight's We Never Yield,['Aerial_Knight'],['Headup Games'],['Action'],,2024-07-16
610004,Zombie Derby,['Brinemedia'],['Brinemedia'],['Action'],,2023-08-24
576623,Zombie Derby: Pixel Survival,['Brinemedia'],['Brinemedia'],['Action'],,2023-03-09
627637,Excessive Trim,"['Panda Indie Studio', 'eastasiasoft']",['eastasiasoft'],['Action'],,2023-11-08
689562,Tchia,['Awaceb'],['Kepler Interactive'],"['Adventure', 'Open World']",,2024-07-11
689563,Mists of Noyah,['Pyxeralia'],['QUByte Interactive'],['Action-Adventure'],,2024-07-25
689513,Lifeless Moon,['Stage 2 Studios'],['Serenity Forge'],['Adventure'],,2024-07-09
673865,Ziggy (Windows),"['Antonio Filipe', 'AFIL Games']",['AFIL Games'],['Platformer'],,2024-05-14
689189,Lakeview Cabin Collection,['Roope Tamminen'],['Torture Star Video'],['Action'],,2024-07-25
497887,Happi Basudei,['Xeneder Team'],['Xeneder Team'],['Platformer'],,2022-04-12
657765,DARKGEMS,['Xeneder Team'],['Xeneder Team'],['Action'],,2024-03-22
572819,Prizma Puzzle Prime,['SilenGames'],['SilenGames'],['Puzzle'],,2023-02-08
658341,Storyblocks: The King,"['Ostra Entertainment', 'Bee Legacy Publishing']",['AFIL Games'],['Puzzle'],,2024-03-14
675060,Cat Pipes,['Tribus Games'],['AFIL Games'],['Puzzle'],,2024-05-23
640486,Stumble Guys,['Scopely'],['Scopely'],['Platformer'],,2024-01-23
692240,Steel Racer,['lightUP'],['Ratalaika Games'],"['Arcade Racing', 'Automobile']",,2024-07-26
692234,Tilting Tiles,['TreeFall Studios'],['TreeFall Studios'],['Puzzle'],,2024-08-07
510198,Spacewing War,"['eastasiasoft', 'Pneuma Games']",['eastasiasoft'],"[""Shoot 'em up""]",,2022-06-08
691502,Booom-Slang!,['Skermunkel'],['Skermunkel'],"[""Shoot 'em up""]",,2024-07-19
691343,CYGNI: All Guns Blazing,['KeelWorks'],['Konami Digital Entertainment'],"[""Shoot 'em up""]",,2024-08-06
691393,Landnama,['Sonderland'],['Pineapple Works'],['Management'],,2024-08-01
690753,Nobody Wants to Die,['Critical Hit Games'],['PLAION'],['Adventure'],,2024-07-17
563466,One Step After Fall,['TBGS Indie Studio'],"[""The Bergson's Games Studios""]",['Adventure'],,2023-01-05
690632,MONOPOLY,"['Engine Software', 'Ubisoft']",['Ubisoft'],['Card & Board'],,2024-09-26
690534,Darkest Dungeon II,['Red Hook Studios'],['Red Hook Studios'],"['Role Playing', 'Turn Based']",,2024-07-15
690523,Seed of Life,['Nyx Digital'],['GS2 Games'],['Action-Adventure'],,2024-08-06
690476,Let's School,['Pathea Games'],['PM Studios'],['Management'],,2024-07-16
690332,Flintlock: The Siege of Dawn,['A44 Games'],['Kepler Interactive'],"['Action-RPG', 'Role Playing', 'Open World']",,2024-07-18
703666,NBA 2K25,['Visual Concepts'],['2K Games'],"['Sports', 'Basketball']",,2024-09-06
703579,DROS,['emergeWorlds'],['RedDeerGames'],"['Puzzle', 'Platformer']",,2024-09-19
687811,SokoPenguin,"['Vergiu Games', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,2024-08-28
703098,"Warhammer 40,000: Space Marine 2",['Relic Entertainment'],"['THQ', 'SEGA']",['Third Person Shooter'],,2024-09-09
702639,Live Factory,['17Studio'],['17Studio'],['Platformer'],,2024-09-06
576486,Not For Broadcast,['NotGames'],['tinyBuild'],['Simulation'],,2023-03-23
702632,Valfaris: Mecha Therion,['Steel Mantis'],['Big Sugar'],['Run & Gun'],,2024-08-29
697578,Sokolab (Windows),"['Antonio Filipe', 'AFIL Games']",['AFIL Games'],['Puzzle'],,2024-08-15
684378,Core Keeper,['Pugstorm'],['Fireshine Games'],['Survival'],,2024-08-27
460144,Tangle Tower,['SFB Games'],['SFB Games'],"['Adventure', 'Point & Click']",,2021-10-06
687554,Tents & Trees,,,,,2024-10-09
684168,Still Wakes the Deep,,,,,2024-06-18
687567,Bō: Path of the Teal Lotus,,,,,2024-07-17
17708,Dead by Daylight: Special Edition,['Behaviour Digital Inc.'],['Starbreeze Studios'],['Action'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (simplified)', 'Portuguese (Brazil)']",2017-06-20
673097,Fantasy Blacksmith,,,,,2022-10-19
686362,Scholar's Mate,,,,,2024-07-04
652330,A Little to the Left,,,,,2024-02-15
702198,METRO QUESTER | OSAKA,['Thousand Games'],['KEMCO'],"['Role Playing', 'Turn Based']",,2024-09-13
689302,Mining Mechs,"['Delayed Victory', 'eastasiasoft']",['eastasiasoft'],['Sandbox'],,2024-09-04
701873,The Eightfold Path,['Friendly Llama'],['Starseed Forest'],['Puzzle'],,2024-08-23
686735,Royal Defense,['Good Games'],['8Floor'],"['Strategy', 'Tower Defence']",,2024-06-28
686656,SCHiM,"['Ewoud van der Werf', 'Nils Slijkerman']",['Extra Nice'],"['Puzzle', 'Platformer']",,2024-07-18
686416,Bleach: Brave Souls,['KLabGames'],['KLabGames'],['Action-Adventure'],,2024-06-27
646081,Palworld,['Pocketpair'],['Pocketpair'],"['Survival', 'Open World', 'Management']",,2024-01-19
