playerid,nickname
2199833,IX Bricktop XI
461259,tjayars
4009724,DarkLord Zephyr
848657,The Fury I84I
848612,BurgerKingOP
847767,Trune
2503302,Trombonafide
847453,Wookiee Hairem
848563,DOA
847316,MasterJoaoFelip
847816,Patrizia84
847897,Skelix
848607,labyrinth8
2097992,a holy chainsaw
848546,IKV91
4561442,Danno Omen
848001,Mr BungBung
2219801,Hitman Marko
848087,Shadow80380
846740,Rich 92 F1
834609,iz illmotion
848207,Tears of Fenrir
848286,SuperS0nicSam
847684,VixyNyan
847776,ixnay37
848289,Wishwash182
848354,Heuler
848547,HeresOuty
848588,MightyLordSeth
846050,Andre BigBoss 2
847314,pikblonds
1994652,SS4GOKU2425
847614,ezdoesit510
846685,MLGMakun
848590,DaRealShady
1279785,UnfurledEmu75
844041,Darth RaLLe
847137,P33D0H11TL3R
2351261,AssassinDK
848529,TricKyRicKy xD
3286719,The Allslayer
848604,Streak Leader
848395,xX jeffouil Xx
848031,Fatality Sh4rk
3289508,DastardlyPIP
848619,Shiney Cheese
1357275,DackTe
848184,Facial La Fleur
847729,phenom57
1326437,evil terrorr
2666167,Grumpertson
848083,Auston53
848441,Je suis le X
1304471,KARMAgoesHARD
845999,liker66
848327,M Scofi3ld
848622,Liquidmoves
848410,Aliosghof
461280,Outlander Henri
848469,PINGOWSKI
848009,Astariah
848175,renzobox
848017,KungFuStu72
2091149,Angel XC
1357401,Bedholm
1476400,Cremasterfan
847481,Onsidic
848176,LCDS Scooter
841786,MadMassacre510
3228521,Mo Shizzy
848269,dante2236
845633,Loadstar2s9
847814,Dragoner28
846743,dakisbac
848628,KALYS 187
847999,temario
3234340,HateMe4141
848189,Emperor4408
848044,ExOtIc FaNtAsY
847898,Yui Shojei
847459,Roose91
2269265,Chui
846832,calamari foo
847503,Onechien
848428,II Kazz II
2309828,ShinIzanagi
847620,Clutch Rino
845688,KooshMoose
847512,negiis
847961,Tubby94
848244,Draco719
848652,Zyx
847399,Sean Reinhardl
2468773,BAD T0AST
1659171,ChampionOfLight
848147,REB3L
844872,Lonsta DaMonsta
1326982,naughtyoscar234
846506,DEaThTIlLTHeEnD
2468802,Ghost m0de
848519,MechaHertz
847726,Steve Shep
847989,NCRRANGER1254
847244,Shinta M81
847452,Naizen Hyata
848168,AirNath
2335696,Bastian Reader
844927,UniQ G4M3R NL
4047469,Ultima Jekkt
848033,KOTOR Legend
845801,SaidaiKanpeki
848340,LaRScH78
845928,FLACZEK15
847070,Big Ell
847651,TwinklyJesus
840890,Gottle
848500,DAZTK
848201,J Dog1521
847891,FifthBloodHell
846864,STARS OF TEARS
848463,SmokenRocket
847725,Jakez123
848518,Zulghinlour
848294,jonnyyy
848205,Rider 7G
2478684,Tez555
848451,broxy bear
2944149,XpertNoodles
847925,ProjectJeff85
4422792,Anowie
847908,PrinceOfEternia
848230,Its Uncle Kev
848331,grubbE
2086454,sameyan00
848580,Chief On Kush
2891686,naoya0831
847702,Chad and Jessie
4471906,Dark CaptCarrot
848472,B0BCAT
2089559,VidGamiac
848481,Matty to tha G
847029,Seyji
3127869,MarianasRest
2185620,dwdta
848694,xXCorrado80Xx
848292,TRACKEY
848275,Wing Palomo
845978,Necromorph11
847483,ReplacedShanga
848467,Dakthore
848488,VodkaFlockaFlme
848345,monlienNH3
847752,TheAaronLad
848343,ukinspro
1139050,UnwillingERK
848542,Clarissalover
848029,erod550
3281757,SERPENT SUICIDE
844522,ネメシス8876
847355,FleshMechanicCZ
2165240,DemonSpawn2714
848079,CAICHOU
2817847,Cortanarama
4419839,Martel18
848616,Rekikssa
848039,LGS I Hitman
848699,CRT Matt45
3927760,DragonLordTL
848187,Y2Kasper10
4345381,Eagle 0ne
847761,idleblue
846611,Ahayzo
2121775,PlayUltimate711
848370,Mr BlackMagik
4370198,FrostBear 95
848130,Flames806019
845471,Docl88
848642,i1i Reaper i1i
847518,segagamer
848493,Lavindathar
848268,Serious X Devil
848198,ox0 Shad0w 0xo
4143767,RumbleFish10
848223,Axiom Candy
1143900,IAMMRDARKSIDE
845845,PERRO LOKO
1332549,kenyou01
824237,ReiZero2
2321967,Ink Splitters
846907,MAGIC DANY91
847782,Lord Agrius
845364,Icefiretn
845054,devilOdegov
848178,Jinksie EPR
846502,ELVIS3003
2335671,PekoJiro
844928,wazza92toonyze
2696194,LadyLopEared
2876880,Anime J Fan
2716652,Rob Minion
847238,mric82
848008,Otibana
847228,Blueglue78
847661,TheBiohazard187
2475542,o Heres Jonny o
846162,Games Master
4292501,CindeeLauper
847686,XI AlphaMale IX
847669,SlightlyErotic
847756,Gir Draxa
848632,z0mb13k1773r
847477,The Autisto
846838,Plasmids BioBOX
847391,RetiredRinne
848649,allhands238
2056446,ConjureCurse
840038,Skeptical Mario
4550346,I am da L1quor
848543,Buckswana
847609,Panitos
848505,RayvenMorrigana
848589,Sharpe
1444207,Sasquach11235
848072,Shawn1991
848402,PhobicRaptor
843099,ICE Faux Pirate
2516055,Cheney007
1332791,Riconoclast
848496,xpressbanana
4513005,Sp4rrkz
847360,jrddd
2367314,Jaigoro
3280216,boldyno1
848100,New Paralyzer
848474,Jay Insomniak
1278032,doomedtolive
847735,Fluffytoast
4677148,MikeProcurator
4601178,Shadykilla420
848080,Zashule 1765
848392,SilentBobsClone
848288,DaOverUnder
846327,Rhyneodon
847900,Seoulcrusher
1891366,Heyks
848158,NJDuke007
848277,juanramonh
1908093,ShadowlessAU
848445,MaliciousGhost
847127,YazFromAlcatraz
847648,Rusty Nail zh
848270,AlezidioX
848263,Muetschens
846365,djj
848489,SpeckObst
848339,oVo Pandora oVo
848575,Dj Wiz Kid 360
848341,Kyusei
848146,Maka91
846791,Kitty Skies
1520291,aka Stulle
843998,Zerotheundead
3284248,Spiderman Noire
2060132,FranJLima9100
848468,MajinFro
1199564,XxFrAsZeRxX
4015901,slayermonei
846121,MattiasAnderson
847772,TNT Djal
1127138,Tatey
1269363,Lavsma
848059,So many Bears
847642,UplandMartin
847804,Jobber
848303,Wicelow
847880,RF117
848636,DeathGuard 123
2748182,enigma69games
3160891,RavenXXXCore
847902,fronkdegronk
847760,Ash2X
2121813,cosmologyx
846898,MkMaster13
846521,Jalutaja
846906,x jjaldana 2 x
848665,SonicSayin
847934,antonio2PL
4377067,Lordacris
842339,BluEagleRising
848419,Nova Toad
847743,Blue n Gold Eel
847038,F3AR Avenger
848215,Priit3
847430,MondoBondo
3948947,Ta Specter
840990,Giffy 1988
846472,Basement Cheese
1642362,TrashMan677
842048,morrison rnd
848485,IG Frosch
1234722,ZARPYDOW
847259,Doc Buddha
847810,omgeezus
848560,Omega Deez
2113952,teppy7997
848539,kingrich06
4389035,FEAR PointMan24
847981,ComesBrothers
847374,Deddotaimu
848617,SH4D0WWULF
848644,DJ2e
845305,SHAKES19
848243,Mohawk Chris
2275647,Tender Pantyz
848086,II TITCH II
846723,Yonotch
848382,LawlessBagel
2795826,SiNNeR sLoTh
848440,Ryot Control
848262,ROBBERT DHT
847397,FxxIMxxxD
1360227,Flobb212
847748,ZORBS
1938339,Marcelo Perondi
845387,Arcane Insanity
848317,Majinbro
3212604,WhiskeyWarriors
848561,FFJUNKEY
848041,Killface8800
847655,xvd4ever
848417,xRogue 5x
845256,MASTER1IVE
848096,Fox1278
848394,Vader XXX
3081237,Snitty 1
847489,dr Misiu
846772,X Lord Doom X
1125254,Strive
836671,xGuizimxDx
848251,Team Brether
844328,Garbar05
848042,EpicSure Shot
4578099,DevRoHD
848056,NEO CRIMS0N
845438,The Manic Moose
848065,xTheJoker85x
846273,Qioxis
848448,Striker 805
1271670,Dr Tinus NL
4012717,Fuzzy Dem0n
1322293,killers4life147
847695,jacky rooster
845170,GoyetteQC
846669,I Blox
2202419,Algarve6775
4013276,Phoenixrap
3939867,Themanzack
2121811,MarioToo
841117,vzr326
1165091,xZEDKHAWAHNx
848352,Pare ESP
2917664,CJ Goncalves
848614,Sky360
847750,Croaker111
848633,Aging Fanboy
844633,CountBrandon
1472326,TimPhoeniX
847183,Ichiban Noob
846556,Adm1ral Awe5ome
847356,Ham Man 89
3931924,AdamJLink
1446607,Icexn
848511,Taipei Kindom
1647520,Woodster 86
847410,Pocrage
848495,ZAKKE WYLDE
847531,Abeyant Spirit
2494623,FINezula
848376,prowlerdante
1188929,Lord Omega
845821,s e b 1 0 0 0 G
848439,B1lly Styles
2797407,GrimMoroFang22
846697,vSully
2034002,VSlaven
848624,A7X Unleashed
847984,killa9113
2977973,sabby boy
847815,AR15 Smoke
846713,Synn0919
848459,MILINKYO
847710,SpiritedPims
3586437,Sir Paulygon
844227,Ratpoizen
3234445,airrr13
848110,INNAMORAMENTO68
847969,TokyoFist
4685534,Perdiep
848434,drtuga93
848585,Robo Fail Boat
847128,ATCS
847717,AlmightySparrow
845327,K1ck
847739,stuntmanjbc
847896,demi
845575,Segaswirl
847933,Th3 Dude 17
845233,Fixelbucket
848305,mga74
846132,o Titeuf50 o
4062564,Achvement
847766,AL1
2895263,Mountain Thrust
847634,Catatonic Nali
848208,WhiteHellSpawn
2531358,sonictails
4624800,AuxiliaryJack
846462,MrZombieChicken
820805,ALEXXANDRERJ
1321194,Chris1984uk
4007928,BrutalGuitar
846642,Grando Smokio
848613,The Mascal
2531488,gamerfrlife
847931,LethalScorpionx
847451,Thijs
848717,Matt DB87
847131,MC PHILABUSTA
847823,xaero
845753,KSANDR88
847282,Jhony k
845802,superjek
848108,Cees
2976181,ErnaP
1170812,D7HI
846570,Erutaerc
848222,Jess Stryker
848598,OldMan Kaens
848324,A 0 UB3RLOZ3R
847650,Little Pencil
846376,MushaConvoy
2207484,Alyssiya
848515,TWiSTeD 3XTREME
843657,Wriggy
4311264,D Strife 7
847608,hucas95
847260,Ashen Seraph
847928,UDGuy
847003,crazy W01F 816
2387052,Tankk OG
842178,Vanillacake13
848271,Cursed7068
847117,Tandar1
846802,yamayamayaamaa
847667,Aturyon
848308,frenchdawg
1163738,Mr Gscore
847879,Halidoc
1602775,青岛丶OGGamer2230
847163,RadiantViper
847842,SPIDERxxxxxMAN
846812,AKOJames
2495191,Aumanh
848435,BrutishMuffin
848195,MR BIG DOGG 90
847624,Slam Shot Sam
846498,Kimitchii
848557,STr8 HUSTL1N
4236614,Bacha Han
795091,dresinos
848491,biglightlionfc
848548,CheerfulTunes
848060,Molneze
2000626,ChewieOnIce
2334146,Kora 2210
2329820,Mr Zill
846318,Holy Murderer5
847618,liner bronson
847395,BAYTAN ONE
848361,Slim Panatella
847421,ArhiAngelRus
848265,RedBlinky
847770,XReeSX
847476,MuscularTea
2531443,Dingadilly
3275895,buddz1234
846679,pantyhamster
848157,Tressilation
2986519,GBCheesehead
847910,GrimaceTheGrey
4047486,Mercbenz360
2900285,Lord Roaring
846347,F3N0M4RK
2779370,TalkLoudHitHard
1176434,death metal jay
847838,C64 Mat
4503189,Swinny Costello
848173,TCV
2458861,ProTC77
2149312,Assassin T82
847372,superjas
847996,ScaRFacE T8
1128774,InfernalRoadkil
846983,absoluteHELL
847239,Eric From Cali
848129,Son of Kyuss
848049,SourKraut1944
848526,Aggressive dog
1825116,Not MJC
848090,TheFamousScouse
846789,ThirdEcheIon
839909,KinectKid333
848603,SepticSchizo
2157761,Zedarboy
847132,Van Uden
848197,DEATHSTROKE5168
2995030,LRD SOTH
846986,Shimapan Senpai
844924,wellingtonbalbo
2803466,ToasterChan2129
846994,Redders 420
2475495,Pixie Ninja
847858,CrimsonGhostUK
847786,Meta1ingus
848355,St Tony22
2208447,bobbybobinho
848057,BlackEyedMonkey
847030,a s p a
845404,jasonlc3221
848438,Doom Angel
848180,Arsenic 17
1306806,pithiviers
847708,Knuck13z1
846821,The SCHWARTZ 00
845111,Skanker irl
848296,DivineWind72
845588,NEVER MIND DIE
847000,SIR ALONNE30
848196,PurpleG Jedi
1357283,WarL opop845
845891,Robhill
1602022,RED047
843251,Blue Radium
1138140,Darren XBL
847963,Elem3ntal80
2133497,amenazamenor JF
848465,SCOTTISH F0RCE
847857,Tag Im It
848144,jackanape
2163518,LAS7 WeemaN
2235397,TrueArtist1
846715,Nico8912
848127,PIERRE IMPORT
846971,Epsilon Theta
844660,Olav Sand
846130,Light994
848398,KiloOscarZulu
848484,OutProduceman
2475533,Chris Scarce
4113047,theshadow
847066,The Lord Peanut
848453,V Purified Soul
2177800,Lyzyrd
2208141,PensiveOregonad
844836,RedJonin1
843781,WithTheDawn
847571,EmDeeGee
3614379,DEATH14796
844090,StraightRun
848290,mcsteel31
4310630,Matticus Caesar
2531391,Cartoon Morgoth
4593190,FuzionXD4
4508801,Luuc
845929,Nerunegeter
844598,Solieyu Belmont
848124,woo984
3280205,TA x MerKzz
845975,RSA BR SA
845711,sn1Xen
848291,Beanpotter
848499,KOSTAS A M GR
1226035,VAS taijyn
3208849,SincereSeeker6
848522,The Primal 1
1221578,IAmTheDude360
847668,nomimi1
2325147,Elbow 338
473615,Fedeguitar
848099,Polished Turd69
1610706,Laverdur86
848479,WOODY2211
848257,I Mr City I
847712,WarmedxMints
840705,ssippiee
844340,ZUIKEN 53
2209716,dubdeetwothree
4035300,JCDRANZER
2325154,lonchasmelon
843149,The Dead Dragon
847119,MagicalChild
848073,Kolokon88
848183,Marty da stooge
2157302,わたぬき1659
848329,TomoyoN
848562,SILVERsifDURFER
846511,OldMateClown
846343,GARAKUTA774
847589,Eblio
4326760,Carlos N Roses
2181267,MontySATX
1183809,HyRoad v2
847629,Squ4rex
824632,BandoHussle
848492,the jeffmeister
3197286,mcnolty
846749,zout15
848407,drunkdaddy69
2025332,I King Leo I
847049,xxA MONEY XXLxx
1143829,Aew4life5183
845923,R3NEG4D3
848389,Spazpol
847644,finallife6
848119,LC5
1222074,SneezeSomeMilk
846587,DcupsOfJustice
2011767,Lantern Man USA
848553,xtantss
847353,Biomasterhazard
848069,Bam Bam YUTAKA
847546,winstonpeak
846856,Destrier
2169966,外国人2928
845996,snake42069
846857,CtrlAltL337
845352,Beachy259
1305607,Zneq
2543179,Kuvei
847687,Mada Man 87
847541,AP E JC
848381,Thanat0sZA
845133,Vahliya
844355,Ra1D3nHUN
848046,Mister BOUT
4526748,TheSign88
4513022,lB r o IL y
847393,SR PiMienTa
3265148,Saurvivalist
847245,Nomstuff
848064,Arron114
848430,outerhaven168
847944,Astute Vagabond
2194099,KawiNinjaRider7
1281013,CraftyReaper
845788,Wolf Ali
846329,Debrimba
848618,StophJ
1130675,MattHLow
1141514,Klaxosaur002134
848357,mikemnsn
845901,JACKBALORDOX
847337,Sfisher62
1919649,DrWatsonBSI
848153,King of Fool
848386,NikiBaby219
847086,Herr Bambi
848169,castler0ck
2334104,wismoon20
1834064,BamsenevE
847865,IIIDarkmasterII
847558,Morroc420
846724,Survivor1975
848455,LifeExpectancy
848211,Petrified
847375,ZW
847711,Evil Alucard
848023,silent 3rd
1631294,rawkerdude5012
2310531,byBAD WOLFbk
1214230,nathanonym
4716366,FasterThanFTL
829117,FalconRedux
845087,The Ju1ce
848021,Hoff 07
4361362,Snook410
4136333,JuanmaEiroa
1368063,Skrubits
3586961,TheVicVoss
848436,N1NJ4
3097018,Salsbar
847812,qione
847317,wildwest08
846872,Refused II
3301981,HATRED REMAINS
4649012,Red Soda Man
848414,Gerbubber
843672,Master Calv1n
1947392,Cluck
3188825,Tukraz
2023210,Morbid237
3106782,Medieval Dead
848400,Arran R W
846890,Sneaky G Wizard
847004,Luigi256
848356,elSmitmyster
845195,abc LiYong
847247,CorbsCO
1122999,PseudoPsychoMan
2622601,Loxim
847588,SpartanTwelve
1265118,British Legends
2904958,The Dirktator
846718,Shadow Kisuragi
848235,DogZebra208
844671,kiasano
846271,vK Knave
846951,Stinkman68
847636,II The Beard II
847640,Dacoto
846523,Hairy Cabbage
848408,KriKiller
845446,SkinnyBin
847982,Irvine669
848134,Adol BR
847817,xNSHD
847916,MaeSe RoB
480752,Seven Of Nine07
843937,Anubseth
844745,xxscottusxx
847220,Vander10
834412,Obama PeaceDuke
841723,Bloody Renji
2335699,lunch1922
847072,iceyz
3815568,IrishBeatdown
3268337,X Jagstang X
846060,boydo1990
848216,CauldronOfDeath
845221,Haiko728
2534086,kkod
2864710,VISTRON
844502,CKY Kraid
3170694,Poolsharker
848123,AKA Swede
843389,Jblacq
838384,ArcCsc
848315,RunSmith14
1472320,InjuryProne19
846215,Wombat x360a
3116504,Chris Hirschy
847628,Lord Von Chimp
843330,GnX GoodReapv7
847214,XD41INUYASHA
848388,Janewayfan
846850,Stahp
840686,z3nith
