Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Yao, Chen; Yang, Xiaokang; Wang, Jia; Song, Li; Zhai, Guangtao; ",Patch-driven colorization,Optical Engineering,49,1,017001-017001-5,2010,Society of Photo-Optical Instrumentation Engineers
"Zhou, Zhiyuan; Yang, Xiaokang; Chen, Li; Zhai, Guangtao; Zhang, Wenjun; ",Example-based image contrast enhancement,2011 IEEE 13th International Workshop on Multimedia Signal Processing,,,1-6,2011,IEEE
"Xu, Hongteng; Zhai, Guangtao; ",ECG data compression based on wave atom transform,2011 IEEE 13th International Workshop on Multimedia Signal Processing,,,1-5,2011,IEEE
"Zhai, Guangtao; Wu, Xiaolin; ",Video super-resolution for dual-mode digital cameras via scene-matched learning,2010 IEEE International Workshop on Multimedia Signal Processing,,,438-442,2010,IEEE
"Zhai, Guangtao; Lin, Weisi; Cai, Jianfei; Yang, Xiaokang; Zhang, Wenjun; Etoh, Minoru; ",Cross-dimensional quality assessment for low bitrate video,2008 IEEE International Symposium on Circuits and Systems (ISCAS),,,400-403,2008,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Xu, Yi; ",Modeling blocking visual sensitivity profile,2006 IEEE International Conference on Multimedia and Expo,,,485-488,2006,IEEE
"Zhai, Guangtao; Sun, Fengrong; Song, Haohao; Zhang, Mingqiang; Liu, Li; Wang, Changyu; ",Fast reconstruction algorithm from modules maxima of signal wavelet transform and its application in enhancement of medical images,Third International Symposium on Multispectral Image Processing and Pattern Recognition,5286,,265-270,2003,SPIE
"Zhai, Guangtao; Wu, Xiaolin; Niu, Yi; ",A psychovisually tuned image codec,2011 IEEE 13th International Workshop on Multimedia Signal Processing,,,1-6,2011,IEEE
"Zhang, Yang; Zhai, Guangtao; ",Wavelet-based fractal image compression,Third International Symposium on Multispectral Image Processing and Pattern Recognition,5286,,396-399,2003,SPIE
"Yao, Wang; Zhai, Guangtao; Cai, Jianfei; ",An effective dissolve detection approach with temporal and spatial considerations,"2008 10th International Conference on Control, Automation, Robotics and Vision",,,1283-1286,2008,IEEE
"Wu, Xiaolin; Zhai, Guangtao; ",Temporal psychovisual modulation: A new paradigm of information display [exploratory dsp],IEEE signal processing magazine,30,1,136-141,2012,IEEE
"Gu, Ke; Zhang, Wenjun; Wang, Ci; Zhai, Guangtao; ",Full-reference image quality assessment via region-based analysis,2011 4th International Congress on Image and Signal Processing,3,,1711-1715,2011,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Lin, Weisi; Xu, Yi; ",Unified deblocking for discrete cosine transfer compressed images,Journal of Electronic Imaging,17,4,043021-043021-14,2008,Society of Photo-Optical Instrumentation Engineers
"Chen, Xiaolin; Yang, Xiaokang; Zheng, Shibao; Lin, Weiyao; Zhang, Rui; Zhai, Guangtao; ",New image quality assessment method using wavelet leader pyramids,Optical Engineering,50,6,067011-067011-8,2011,Society of Photo-Optical Instrumentation Engineers
"Zhai, Guangtao; Wu, Xiaolin; ",Hybrid parametric-nonparametric modeling with application to natural image upsampling,2011 18th IEEE International Conference on Image Processing,,,1393-1396,2011,IEEE
"Zhai, Guangtao; Wu, Xiaolin; ",Noise estimation using statistics of natural images,2011 18th IEEE International Conference on Image Processing,,,1857-1860,2011,IEEE
"Zhou, Zhiyuan; Yang, Xiaokang; Chen, Li; Zhai, Guangtao; Zhang, Wenjun; ",An improved contrast-tone mapping algorithm for image contrast enhancement,"2011 8th International Conference on Information, Communications & Signal Processing",,,1-5,2011,IEEE
"Liu, Xianming; Zhai, Deming; Zhai, Guangtao; Zhao, Debin; Xiong, Ruiqin; Gao, Wen; ",Multi-scale Spatial Error Concealment via Hybrid Bayesian Regression,2012 Data Compression Conference,,,169-178,2012,IEEE
"Xu, Hongteng; Zhai, Guangtao; Chen, Li; Yang, Xiaokang; ",Automatic movie restoration based on wave atom transform and nonparametric model,EURASIP Journal on Advances in Signal Processing,2012,1,132,2012,Springer International Publishing Cham
"Zhai, Guangtao; Wu, Xiaolin; ",On monotonicity of image quality metrics,"2012 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,1157-1160,2012,IEEE
"Liu, Xianming; Zhai, Deming; Zhai, Guangtao; Zhao, Debin; Gao, Wen; ",Web image interpolation via weighted total least squares regression,"2012 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,925-928,2012,IEEE
"Tang, Chongwu; Yang, Xiaokang; Zhai, Guangtao; ",Dual-transform based noise estimation,2012 IEEE International Conference on Multimedia and Expo,,,991-996,2012,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",No‐Reference Stereoscopic IQA Approach: From Nonlinear Effect to Parallax Compensation,Journal of Electrical and Computer Engineering,2012,1,436031,2012,Hindawi Publishing Corporation
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Chen, Li; Zhang, Wenjun; ",Nonlinear additive model based saliency map weighting strategy for image quality assessment,2012 IEEE 14th International Workshop on Multimedia Signal Processing (MMSP),,,313-318,2012,IEEE
"Wu, Xiaolin; Zhai, Guangtao; ",Backward compatible stereoscopic displays via temporal psychovisual modulation,SIGGRAPH Asia 2012 Emerging Technologies,,,1-4,2012,
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",An improved full-reference image quality metric based on structure compensation,Proceedings of The 2012 Asia Pacific Signal and Information Processing Association Annual Summit and Conference,,,1-6,2012,IEEE
"Wu, Xiaolin; Zhai, Guangtao; ",Image/information display system and method based on temporal psycho-visual modulation,,,,,2017,"US Patent 9,578,314"
"Tang, Chongwu; Yang, Xiaokang; Zhai, Guangtao; ",Robust noise estimation based on noise injection,Journal of Signal Processing Systems,74,1,69-78,2014,Springer US Boston
"Xu, Hongteng; Zhai, Guangtao; Yang, Xiaokang; ",No reference measurement of contrast distortion and optimal contrast enhancement,Proceedings of the 21st International Conference on Pattern Recognition (ICPR2012),,,1981-1984,2012,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",A new no-reference stereoscopic image quality assessment based on ocular dominance theory and degree of parallax,Proceedings of the 21st International Conference on Pattern Recognition (ICPR2012),,,206-209,2012,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",A new psychovisual paradigm for image quality assessment: From differentiating distortion types to discriminating quality conditions,"Signal, Image and Video Processing",7,3,423-436,2013,Springer-Verlag London
"Zhai, Guangtao; Kaup, Andre; ",Comparative image quality assessment using free energy minimization,"2013 IEEE International Conference on Acoustics, Speech and Signal Processing",,,1884-1888,2013,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Self-adaptive scale transform for IQA metric,2013 IEEE international symposium on circuits and systems (ISCAS),,,2365-2368,2013,IEEE
"Liu, Jing; Yang, Xiaokang; Zhai, Guangtao; Chen, Li; ",Hybrid image interpolation with soft-decision kernel regression,2013 IEEE International Symposium on Circuits and Systems (ISCAS),,,765-768,2013,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",A new reduced-reference image quality assessment using structural degradation model,2013 IEEE international symposium on circuits and systems (ISCAS),,,1095-1098,2013,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; Liu, Min; ",Subjective and objective quality assessment for images with contrast change,2013 IEEE International Conference on Image Processing,,,383-387,2013,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; Liang, Longfei; ",No-reference image quality assessment metric by combining free energy theory and structural degradation model,2013 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2013,IEEE
"Xu, Hongteng; Zhai, Guangtao; Wu, Xiaolin; Yang, Xiaokang; ",Generalized Equalization Model for Image Enhancement,IEEE Transactions on Multimedia,16,1,68-82,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; Liu, Min; ",Structural similarity weighting for image quality assessment,2013 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,1-6,2013,IEEE
"Xu, H; Zhai, G; Yang, X; ",Single image super-resolution with detail enhancement based on local fractal analysis of gradient,IEEE Transactions on Circuits and System for Video Technology,23,10,1740 - 1754,2013,IEEE
"Gu, Ke; Zhai, Guangtao; Liu, Min; Yang, Xiaokang; Zhang, Wenjun; Sun, Xianghui; Chen, Wanhong; Zuo, Ying; ",FISBLIM: A five-step blind metric for quality assessment of multiply distorted images,SiPS 2013 Proceedings,,,241-246,2013,IEEE
"Liu, Min; Zhai, Guangtao; Gu, Ke; Xu, Qi; Yang, Xiaokang; Sun, Xianghui; Chen, Wanhong; Zuo, Ying; ",A new image quality metric based on MIx-Scale transform,SiPS 2013 Proceedings,,,266-271,2013,IEEE
"Gu, Ke; Zhai, Guangtao; Liu, Min; Xu, Qi; Yang, Xiaokang; Zhou, Jun; Zhang, Wenjun; ",Adaptive high-frequency clipping for improved image quality assessment,2013 visual communications and image processing (VCIP),,,1-5,2013,IEEE
"Jing, Liu; Yang, Xiaokang; Zhai, Guangtao; Chen, Li; Sun, Xianghui; Chen, Wanhong; Zuo, Ying; ",Lossless predictive coding with Bayesian treatment,2013 Visual Communications and Image Processing (VCIP),,,1-6,2013,IEEE
"Zhai, Guangtao; Kaup, Andre; Wang, Jia; Yang, Xiaokang; ",Retina model inspired image quality assessment,2013 Visual Communications and Image Processing (VCIP),,,1-6,2013,IEEE
"Gu, Ke; Zhai, Guangtao; Liu, Min; Min, Xiongkuo; Yang, Xiaokang; Zhang, Wenjun; ",Brightness preserving video contrast enhancement using S-shaped transfer function,2013 Visual Communications and Image Processing (VCIP),,,1-6,2013,IEEE
"Zhai, Guangtao; Kaup, Andre; Wang, Jia; Yang, Xiaokang; ",A dual-model approach to blind quality assessment of noisy images,"Picture Coding Symposium (PCS), 2013",,,29-32,2013,IEEE
"Liu, Xianming; Zhai, Deming; Zhao, Debin; Zhai, Guangtao; Gao, Wen; ",Progressive image denoising through hybrid graph laplacian regularization: a unified framework.,IEEE transactions on image processing,23,4,1491-1503,2014,IEEE
"Zhai, G; Wu, X; ",Defeating Camcorder Piracy by Temporal Psychovisual Modulation,IEEE Journal of Display Technology,10,9,754 - 757,2014,IEEE
"Tang, Chongwu; Yang, Xiaokang; Zhai, Guangtao; ",Image quality/distortion metric based on α-stable model similarity in wavelet domain,Journal of Visual Communication and Image Representation,25,7,1746-1757,2014,Academic Press
"Gao, Zhongpai; Zhai, Guangtao; Min, Xiongkuo; ",Information security display system based on temporal psychovisual modulation,2014 IEEE International Symposium on Circuits and Systems (ISCAS),,,449-452,2014,IEEE
"Min, Xiongkuo; Zhai, Guangtao; Gao, Zhongpai; Gu, Ke; ",Visual attention data for image quality assessment databases,2014 IEEE International Symposium on Circuits and Systems (ISCAS),,,894-897,2014,IEEE
"Liu, Jing; Zhai, Guangtao; Yang, Xiaokang; Yang, Bing; Chen, Li; ",Spatial error concealment with an adaptive linear predictor,IEEE Transactions on Circuits and Systems for Video Technology,25,3,353-366,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Liu, Min; Yang, Xiaokang; Zhang, Wenjun; ",Details preservation inspired blind quality metric of tone mapping methods,2014 IEEE International Symposium on Circuits and Systems (ISCAS),,,518-521,2014,IEEE
"Liu, Min; Zhai, Guangtao; Zhang, Zhenyu; Sun, Yuntao; Gu, Ke; Yang, Xiaokang; ",Blind image quality assessment for noise,2014 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,,,1-5,2014,IEEE
"Hu, Chunjia; Zhai, Guangtao; Gao, Zhongpai; Min, Xiongkuo; ",Simultaneous dual-subtitles exhibition via spatial psychovisual modulation,2014 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,,,1-4,2014,IEEE
"Xu, Qi; Zhai, Guangtao; Liu, Min; Gu, Ke; ",Using structural degradation and parallax for reduced-reference quality assessment of 3D images,2014 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,,,1-6,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Liu, Min; Yang, Xiaokang; Zhang, Wenjun; ",Using JPEG and JPEG2000 compressions for fast image quality metrics based on free energy theory,2014 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,,,1-5,2014,IEEE
"Zhai, Guangtao; Wu, Xiaolin; ",Multiuser collaborative viewport via temporal psychovisual modulation [applications corner],IEEE Signal Processing Magazine,31,5,144-149,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Hybrid no-reference quality metric for singly and multiply distorted images,IEEE Transactions on Broadcasting,60,3,,2014,IEEE
"Zhou, Jiantao; Au, O; Zhai, Guangtao; Tang, Y; Liu, Xianming; ",Scalable Compression of Stream Cipher Encrypted Images through Context-Adaptive Sampling,IEEE Transactions on Information Forensics and Security,9,11,,2014,IEEE
"Hu, Chunjia; Zhai, Guangtao; Gao, Zhongpai; Min, Xiongkuo; ",Information security display system based on spatial psychovisual modulation,2014 IEEE International Conference on Multimedia and Expo (ICME),,,1-4,2014,IEEE
"Liu, Min; Zhai, Guangtao; Zhang, Zhili; Tan, Shen; Gu, Ke; Yang, Xiaokang; ",Using image signature for effective and efficient reduced-reference image quality assessment,2014 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,1-6,2014,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Min, Xiongkuo; Hu, Chunjia; ",Uncrowded window inspired information security display,2014 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,1-2,2014,IEEE
"Min, Xiongkuo; Zhai, Guangtao; Gao, Zhongpai; Hu, Chunjia; ",Influence of compression artifacts on visual attention,2014 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2014,IEEE
"Liu, Min; Zhai, Guangtao; Tan, Shen; Zhang, Zhili; Gu, Ke; Yang, Xiaokang; ",HDR2014-A high dynamic range image quality database,2014 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,1-6,2014,IEEE
"Hu, Chunjia; Zhai, Guangtao; Gao, Zhongpai; Min, Xiongkuo; ",Simultaneous triple subtitles exhibition via temporal psychovisual modulation,2014 9th IEEE Conference on Industrial Electronics and Applications,,,944-947,2014,IEEE
"Liu, Jing; Zhai, Guangtao; Yang, Xiaokang; Chen, Li; ",Lossless Predictive Coding for Images with Bayesian Treatment,IEEE Transactions on Image Processing,23,12,,2014,IEEE
"Zhai, Guangtao; ",Recent advances in image quality assessment,Visual Signal Quality Assessment: Quality of Experience (QoE),,,73-97,2014,Springer International Publishing Cham
"Fang, Yuming; Ma, Kede; Wang, Zhou; Lin, Weisi; Fang, Zhijun; Zhai, Guangtao; ",No-reference quality assessment of contrast-distorted images based on natural scene statistics,IEEE Signal Processing Letters,22,7,838-842,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Automatic contrast enhancement technology with saliency preservation,IEEE Transactions on Circuits and Systems for Video Technology,25,9,,2015,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Using Free Energy Principle For Blind Image Quality Assessment,IEEE Transactions on Multimedia,17,1,50-63,2015,IEEE
"Liu, Min; Zhai, Guangtao; Gu, Ke; Yang, Xiaokang; ",EFFECTIVE PREPROCESSING STAGE IN THE FOURIER TRANSFORM DOMAIN FOR IMAGE QUALITY ASSESSMENT,"Quality of Multimedia Experience (QoMEX), 2014 Sixth International Workshop on",,,189-194,2014,
"Min, Xiongkuo; Zhai, Guangtao; Gao, Zhongpai; Hu, Chunjia; Yang, Xiaokang; ",SOUND INFLUENCES VISUAL ATTENTION DISCRIMINATELY IN VIDEOS,"Quality of Multimedia Experience (QoMEX), 2014 Sixth International Workshop on",,,153-158,2014,
"Tang, Chongwu; Yang, Xiaokang; Zhai, Guangtao; ",Noise Estimation of Natural Images via Statistical Analysis and Noise Injection,IEEE Transactions on Circuits and Systems for Video Technology,25,8,1283 - 1294,2014,IEEE
"Zhang, Liangpei; Zhang, Jianqing; Liao, Mingsheng; ",MIPPR 2005: SAR and Multispectral Image Processing,MIPPR 2005: SAR and Multispectral Image Processing,6043,,,2005,
"Tang, Chongwu; Yang, Xiaokang; Zhai, Guangtao; ",Image quality/distortion metric based on α-stable model similarity,2014 IEEE International Conference on Image Processing (ICIP),,,516-520,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",An efficient color image quality metric with local-tuned-global model,2014 IEEE International Conference on Image Processing (ICIP),,,506-510,2014,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Hu, Chunjia; Min, Xiongkuo; ",Dual-view medical image visualization based on spatial-temporal psychovisual modulation,2014 IEEE International Conference on Image Processing (ICIP),,,2168-2170,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Deep learning network for blind image quality assessment,2014 IEEE international conference on image processing (ICIP),,,511-515,2014,IEEE
"Tang, Chongwu; Yang, Xiaokang; Zhai, Guangtao; ",Wavelet-based hybrid natural image modeling using generalized Gaussian and α-stable distributions,Journal of Visual Communication and Image Representation,29,,61-70,2015,Academic Press
"Liu, Min; Zhai, Guangtao; Gu, Ke; Yang, Xiaokang; ",Learning to integrate local and global features for a blind image quality measure,2014 International Conference on Smart Computing,,,49-53,2014,IEEE
"Li, Duo; Zhai, Guangtao; Yang, Xiaokang; ",Ultra high definition video saliency database,2014 IEEE Visual Communications and Image Processing Conference,,,97-100,2014,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Zhou, Jiantao; Min, Xiongkuo; Hu, Chunjia; ",Information security display via uncrowded window,2014 IEEE Visual Communications and Image Processing Conference,,,454-457,2014,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Wu, Xiaolin; Min, Xiongkuo; Zhi, Cheng; ",DLP based anti-piracy display system,2014 IEEE Visual Communications and Image Processing Conference,,,145-148,2014,IEEE
"Tang, Chongwu; Yang, Xiaokang; Zhai, Guangtao; ",Hybrid modeling of natural image in wavelet domain,2014 IEEE Visual Communications and Image Processing Conference,,,49-52,2014,IEEE
"Gu, Ke; Zhai, Guangtao; Lin, Weisi; Liu, Min; ",The analysis of image contrast: From quality assessment to automatic enhancement,IEEE transactions on cybernetics,46,1,284-297,2016,IEEE
"Gu, Ke; Zhai, Guangtao; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; ",Visual saliency detection with free energy theory,IEEE Signal Processing Letters,22,10,1552-1555,2015,IEEE
"Liu, Xianming; Gao, Xinwei; Zhao, Debin; Zhou, Jiantao; Zhai, Guangtao; Gao, Wen; ",Model-based low bit-rate video coding for resource-deficient wireless visual communication,Neurocomputing,162,,180-190,2015,Elsevier
"Gu, Ke; Zhai, Guangtao; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; ",No-reference image sharpness assessment in autoregressive parameter space,IEEE Transactions on Image Processing,24,10,3218-3231,2015,IEEE
"Gao, Zhongpai; Zhai, Guangtao; ",Uncrowded Window Inspired Ultra High Definition Television Display,2015 IEEE International Conference on Multimedia Big Data,,,401-405,2015,IEEE
"Gu, Ke; Wang, Shiqi; Ζhai, Guangtao; Ma, Siwei; Lin, Weisi; ",Screen image quality assessment incorporating structural degradation measurement,2015 IEEE International Symposium on Circuits and Systems (ISCAS),,,125-128,2015,IEEE
"Wang, Lihao; Zhai, Guangtao; ",Constrained nmf for multiple exhibition on a single display,2015 Picture Coding Symposium (PCS),,,292-296,2015,IEEE
"Hu, Chunjia; Zhai, Guangtao; Li, Duo; ",An Augmented-Reality night vision enhancement application for see-through glasses,2015 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),,,1-6,2015,IEEE
