country_code,country_name,year,cybercrime_regulation_score,region,income_level
GMB,"Gambia, The",2020,0.8445016163793104,Africa,Low Income
GMB,"Gambia, The",2024,0.6864285714285713,Africa,Low Income
GEO,Georgia,2020,0.9327505387931035,Asia,Upper Middle Income
GEO,Georgia,2024,1.0,Asia,Upper Middle Income
DEU,Germany,2020,1.0,Europe,High Income
DEU,Germany,2024,1.0,Europe,High Income
GHA,Ghana,2020,1.0,Africa,Lower Middle Income
GHA,Ghana,2024,1.0,Africa,Lower Middle Income
GRC,Greece,2020,1.0,Europe,High Income
GRC,Greece,2024,1.0,Europe,High Income
GRD,Grenada,2020,0.4997413793103448,North America,Upper Middle Income
GRD,Grenada,2024,0.5522857142857143,North America,Upper Middle Income
GTM,Guatemala,2020,0.0789816810344827,North America,Upper Middle Income
GTM,Guatemala,2024,0.1557142857142857,North America,Upper Middle Income
GIN,Guinea,2020,0.416228448275862,Africa,Low Income
GIN,Guinea,2024,0.6475714285714285,Africa,Low Income
GNB,Guinea-Bissau,2020,0.0,Africa,Low Income
GNB,Guinea-Bissau,2024,0.0,Africa,Low Income
GUY,Guyana,2020,0.3635102370689655,South America,Upper Middle Income
GUY,Guyana,2024,0.8094285714285715,South America,Upper Middle Income
HTI,Haiti,2020,0.0789816810344827,North America,Low Income
HTI,Haiti,2024,0.2637142857142857,North America,Low Income
VAT,Holy See (Vatican City State),2020,0.0,Other,Not Classified
VAT,Holy See (Vatican City State),2024,0.1327142857142857,Other,Not Classified
HND,Honduras,2020,0.0789816810344827,North America,Lower Middle Income
HND,Honduras,2024,0.7579999999999999,North America,Lower Middle Income
HUN,Hungary,2020,1.0,Europe,High Income
HUN,Hungary,2024,1.0,Europe,High Income
ISL,Iceland,2020,1.0,Europe,High Income
ISL,Iceland,2024,1.0,Europe,High Income
IND,India,2020,1.0,Asia,Lower Middle Income
IND,India,2024,1.0,Asia,Lower Middle Income
IDN,Indonesia,2020,1.0,Asia,Upper Middle Income
IDN,Indonesia,2024,1.0,Asia,Upper Middle Income
IRN,"Iran, Islamic Rep.",2020,0.7095029633620691,Middle East,Upper Middle Income
IRN,"Iran, Islamic Rep.",2024,0.7917142857142857,Middle East,Upper Middle Income
IRQ,Iraq,2020,0.0,Middle East,Upper Middle Income
IRQ,Iraq,2024,0.3582857142857143,Middle East,Upper Middle Income
IRL,Ireland,2020,1.0,Europe,High Income
IRL,Ireland,2024,1.0,Europe,High Income
ISR,Israel,2020,1.0,Middle East,High Income
ISR,Israel,2024,1.0,Middle East,High Income
ITA,Italy,2020,1.0,Europe,High Income
ITA,Italy,2024,1.0,Europe,High Income
JAM,Jamaica,2020,0.3489789870689655,North America,Upper Middle Income
JAM,Jamaica,2024,0.6608571428571427,North America,Upper Middle Income
JPN,Japan,2020,1.0,Asia,High Income
JPN,Japan,2024,1.0,Asia,High Income
JOR,Jordan,2020,1.0,Middle East,Upper Middle Income
JOR,Jordan,2024,1.0,Middle East,Upper Middle Income
KAZ,Kazakhstan,2020,1.0,Asia,Upper Middle Income
KAZ,Kazakhstan,2024,1.0,Asia,Upper Middle Income
KEN,Kenya,2020,1.0,Africa,Lower Middle Income
KEN,Kenya,2024,0.9545714285714286,Africa,Lower Middle Income
KIR,Kiribati,2020,0.0,Oceania,Lower Middle Income
KIR,Kiribati,2024,0.7664285714285713,Oceania,Lower Middle Income
PRK,"Korea, Dem. People's Rep.",2020,0.0,Asia,Low Income
PRK,"Korea, Dem. People's Rep.",2024,0.0,Asia,Low Income
KOR,"Korea, Rep.",2020,1.0,Asia,High Income
KOR,"Korea, Rep.",2024,1.0,Asia,High Income
KWT,Kuwait,2020,0.8505495689655174,Middle East,High Income
KWT,Kuwait,2024,0.7075714285714284,Middle East,High Income
KGZ,Kyrgyz Republic,2020,0.6391918103448276,Asia,Lower Middle Income
KGZ,Kyrgyz Republic,2024,0.6898571428571428,Asia,Lower Middle Income
LAO,Lao PDR,2020,0.4923033405172414,Asia,Lower Middle Income
LAO,Lao PDR,2024,0.476,Asia,Lower Middle Income
LVA,Latvia,2020,1.0,Europe,High Income
LVA,Latvia,2024,1.0,Europe,High Income
LBN,Lebanon,2020,0.416228448275862,Other,Not Classified
LBN,Lebanon,2024,0.5522857142857143,Other,Not Classified
LSO,Lesotho,2020,0.7228098060344827,Africa,Lower Middle Income
LSO,Lesotho,2024,0.2675714285714285,Africa,Lower Middle Income
LBR,Liberia,2020,0.2139803340517241,Africa,Low Income
LBR,Liberia,2024,0.2837142857142857,Africa,Low Income
LBY,Libya,2020,0.3447225215517241,Africa,Upper Middle Income
LBY,Libya,2024,0.6932857142857142,Africa,Upper Middle Income
LIE,Liechtenstein,2020,0.416228448275862,Other,Not Classified
LIE,Liechtenstein,2024,0.9501428571428572,Other,Not Classified
LTU,Lithuania,2020,1.0,Europe,High Income
LTU,Lithuania,2024,0.7917142857142857,Europe,High Income
LUX,Luxembourg,2020,1.0,Europe,High Income
LUX,Luxembourg,2024,1.0,Europe,High Income
MDG,Madagascar,2020,0.3489789870689655,Africa,Low Income
MDG,Madagascar,2024,0.4748571428571428,Africa,Low Income
MWI,Malawi,2020,0.5717268318965517,Africa,Low Income
MWI,Malawi,2024,0.826,Africa,Low Income
MYS,Malaysia,2020,1.0,Asia,Upper Middle Income
MYS,Malaysia,2024,1.0,Asia,Upper Middle Income
MDV,Maldives,2020,0.0,Asia,Upper Middle Income
MDV,Maldives,2024,0.3421428571428571,Asia,Upper Middle Income
MLI,Mali,2020,0.3489789870689655,Africa,Low Income
MLI,Mali,2024,0.4405714285714285,Africa,Low Income
MLT,Malta,2020,1.0,Europe,High Income
MLT,Malta,2024,1.0,Europe,High Income
MHL,Marshall Islands,2020,0.0,Oceania,Upper Middle Income
MHL,Marshall Islands,2024,0.0537142857142857,Oceania,Upper Middle Income
MRT,Mauritania,2020,0.416228448275862,Africa,Lower Middle Income
MRT,Mauritania,2024,0.796142857142857,Africa,Lower Middle Income
MUS,Mauritius,2020,0.9327505387931035,Africa,Upper Middle Income
MUS,Mauritius,2024,1.0,Africa,Upper Middle Income
MEX,Mexico,2020,0.7946901939655173,North America,Upper Middle Income
MEX,Mexico,2024,0.8482857142857142,North America,Upper Middle Income
FSM,"Micronesia, Fed. Sts.",2020,0.0,Oceania,Lower Middle Income
FSM,"Micronesia, Fed. Sts.",2024,0.0,Oceania,Lower Middle Income
MDA,Moldova,2020,0.9327505387931035,Europe,Upper Middle Income
MDA,Moldova,2024,1.0,Europe,Upper Middle Income
MCO,Monaco,2020,1.0,Other,Not Classified
MCO,Monaco,2024,0.8682857142857143,Other,Not Classified
MNG,Mongolia,2020,0.3019450431034483,Asia,Upper Middle Income
MNG,Mongolia,2024,0.9225714285714286,Asia,Upper Middle Income
MNE,Montenegro,2020,0.6539278017241379,Europe,Upper Middle Income
MNE,Montenegro,2024,0.9002857142857142,Europe,Upper Middle Income
MAR,Morocco,2020,1.0,Africa,Lower Middle Income
MAR,Morocco,2024,1.0,Africa,Lower Middle Income
MOZ,Mozambique,2020,0.1462311422413793,Africa,Low Income
MOZ,Mozambique,2024,0.7262857142857142,Africa,Low Income
MMR,Myanmar,2020,0.0789816810344827,Asia,Lower Middle Income
MMR,Myanmar,2024,0.5602857142857143,Asia,Lower Middle Income
NAM,Namibia,2020,0.112606411637931,Africa,Upper Middle Income
NAM,Namibia,2024,0.2347142857142857,Africa,Upper Middle Income
NRU,Nauru,2020,0.0672494612068965,Other,Not Classified
NRU,Nauru,2024,0.1848571428571428,Other,Not Classified
NPL,Nepal,2020,1.0,Asia,Lower Middle Income
NPL,Nepal,2024,0.9257142857142856,Asia,Lower Middle Income
NLD,Netherlands,2020,1.0,Europe,High Income
NLD,Netherlands,2024,1.0,Europe,High Income
NZL,New Zealand,2020,0.9296188038793104,Oceania,High Income
NZL,New Zealand,2024,0.9501428571428572,Oceania,High Income
NIC,Nicaragua,2020,0.3489789870689655,North America,Lower Middle Income
NIC,Nicaragua,2024,0.5755714285714286,North America,Lower Middle Income
NER,Niger,2020,0.542556573275862,Africa,Low Income
NER,Niger,2024,0.7805714285714285,Africa,Low Income
NGA,Nigeria,2020,1.0,Africa,Lower Middle Income
NGA,Nigeria,2024,0.9545714285714286,Africa,Lower Middle Income
MKD,North Macedonia,2020,1.0,Europe,Upper Middle Income
MKD,North Macedonia,2024,0.9257142857142856,Europe,Upper Middle Income
NOR,Norway,2020,1.0,Europe,High Income
NOR,Norway,2024,1.0,Europe,High Income
OMN,Oman,2020,1.0,Middle East,High Income
OMN,Oman,2024,0.9612857142857144,Middle East,High Income
PAK,Pakistan,2020,0.6273019935344828,Asia,Lower Middle Income
PAK,Pakistan,2024,1.0,Asia,Lower Middle Income
PAN,Panama,2020,0.3489789870689655,Other,Not Classified
PAN,Panama,2024,0.7351428571428571,Other,Not Classified
PNG,Papua New Guinea,2020,0.0672494612068965,Oceania,Lower Middle Income
PNG,Papua New Guinea,2024,0.6634285714285714,Oceania,Lower Middle Income
PRY,Paraguay,2020,0.8650013469827588,South America,Upper Middle Income
PRY,Paraguay,2024,0.7929999999999998,South America,Upper Middle Income
PER,Peru,2020,1.0,South America,Upper Middle Income
PER,Peru,2024,1.0,South America,Upper Middle Income
PHL,Philippines,2020,1.0,Asia,Lower Middle Income
PHL,Philippines,2024,1.0,Asia,Lower Middle Income
POL,Poland,2020,1.0,Europe,High Income
POL,Poland,2024,1.0,Europe,High Income
PRT,Portugal,2020,1.0,Europe,High Income
PRT,Portugal,2024,1.0,Europe,High Income
QAT,Qatar,2020,1.0,Middle East,High Income
QAT,Qatar,2024,1.0,Middle East,High Income
ROU,Romania,2020,1.0,Europe,High Income
ROU,Romania,2024,1.0,Europe,High Income
RUS,Russian Federation,2020,1.0,Europe,Upper Middle Income
RUS,Russian Federation,2024,1.0,Europe,Upper Middle Income
RWA,Rwanda,2020,1.0,Africa,Low Income
RWA,Rwanda,2024,1.0,Africa,Low Income
WSM,Samoa,2020,0.2417389547413793,Oceania,Lower Middle Income
WSM,Samoa,2024,0.2868571428571428,Oceania,Lower Middle Income
SMR,San Marino,2020,0.3489789870689655,Other,Not Classified
SMR,San Marino,2024,0.6332857142857142,Other,Not Classified
STP,Sao Tome and Principe,2020,0.2699973060344827,Other,Not Classified
STP,Sao Tome and Principe,2024,0.4238571428571429,Other,Not Classified
SAU,Saudi Arabia,2020,1.0,Middle East,High Income
SAU,Saudi Arabia,2024,1.0,Middle East,High Income
SEN,Senegal,2020,0.3489789870689655,Africa,Lower Middle Income
SEN,Senegal,2024,0.6654285714285714,Africa,Lower Middle Income
SRB,Serbia,2020,1.0,Europe,Upper Middle Income
SRB,Serbia,2024,1.0,Europe,Upper Middle Income
SYC,Seychelles,2020,0.2550808189655172,Other,Not Classified
SYC,Seychelles,2024,0.8304285714285714,Other,Not Classified
SLE,Sierra Leone,2020,0.1804040948275862,Africa,Low Income
SLE,Sierra Leone,2024,0.7444285714285714,Africa,Low Income
SGP,Singapore,2020,1.0,Asia,High Income
SGP,Singapore,2024,1.0,Asia,High Income
SVK,Slovak Republic,2020,1.0,Europe,High Income
SVK,Slovak Republic,2024,1.0,Europe,High Income
SVN,Slovenia,2020,1.0,Europe,High Income
SVN,Slovenia,2024,1.0,Europe,High Income
SLB,Solomon Islands,2020,0.0,Oceania,Lower Middle Income
SLB,Solomon Islands,2024,0.0537142857142857,Oceania,Lower Middle Income
SOM,Somalia,2020,0.0,Africa,Low Income
SOM,Somalia,2024,0.4898571428571429,Africa,Low Income
ZAF,South Africa,2020,0.8592376077586208,Africa,Upper Middle Income
ZAF,South Africa,2024,1.0,Africa,Upper Middle Income
SSD,South Sudan,2020,0.0,Africa,Low Income
SSD,South Sudan,2024,0.3734285714285714,Africa,Low Income
ESP,Spain,2020,1.0,Europe,High Income
ESP,Spain,2024,1.0,Europe,High Income
LKA,Sri Lanka,2020,0.5924420797413793,Asia,Upper Middle Income
LKA,Sri Lanka,2024,0.9257142857142856,Asia,Upper Middle Income
KNA,St. Kitts and Nevis,2020,0.0789816810344827,Other,Not Classified
KNA,St. Kitts and Nevis,2024,0.5522857142857143,Other,Not Classified
LCA,St. Lucia,2020,0.3826037176724138,North America,Upper Middle Income
LCA,St. Lucia,2024,0.549142857142857,North America,Upper Middle Income
VCT,St. Vincent and the Grenadines,2020,0.2227478448275862,Other,Not Classified
VCT,St. Vincent and the Grenadines,2024,0.3427142857142857,Other,Not Classified
SDN,Sudan,2020,0.3694787176724138,Africa,Low Income
SDN,Sudan,2024,0.5821428571428572,Africa,Low Income
SUR,Suriname,2020,0.3166352370689655,South America,Upper Middle Income
SUR,Suriname,2024,0.5481428571428573,South America,Upper Middle Income
SWE,Sweden,2020,1.0,Europe,High Income
SWE,Sweden,2024,1.0,Europe,High Income
CHE,Switzerland,2020,0.4939776400862069,Europe,High Income
CHE,Switzerland,2024,1.0,Europe,High Income
SYR,Syrian Arab Republic,2020,0.3634307650862069,Middle East,Low Income
SYR,Syrian Arab Republic,2024,0.5847142857142856,Middle East,Low Income
TJK,Tajikistan,2020,0.3489789870689655,Asia,Low Income
TJK,Tajikistan,2024,0.3674285714285714,Asia,Low Income
TZA,Tanzania,2020,0.8650013469827588,Africa,Lower Middle Income
TZA,Tanzania,2024,1.0,Africa,Lower Middle Income
THA,Thailand,2020,0.9177990301724138,Asia,Upper Middle Income
THA,Thailand,2024,1.0,Asia,Upper Middle Income
TLS,Timor-Leste,2020,0.0,Asia,Lower Middle Income
TLS,Timor-Leste,2024,0.1434285714285714,Asia,Lower Middle Income
TGO,Togo,2020,0.9252747844827584,Africa,Low Income
TGO,Togo,2024,1.0,Africa,Low Income
TON,Tonga,2020,0.0,Oceania,Upper Middle Income
TON,Tonga,2024,0.128,Oceania,Upper Middle Income
TTO,Trinidad and Tobago,2020,0.2699973060344827,Other,Not Classified
TTO,Trinidad and Tobago,2024,0.2352857142857142,Other,Not Classified
TUN,Tunisia,2020,1.0,Africa,Lower Middle Income
TUN,Tunisia,2024,0.9225714285714286,Africa,Lower Middle Income
TUR,Turkiye,2020,1.0,Middle East,Upper Middle Income
TUR,Turkiye,2024,1.0,Middle East,Upper Middle Income
TKM,Turkmenistan,2020,0.3489789870689655,Other,Not Classified
TKM,Turkmenistan,2024,0.3674285714285714,Other,Not Classified
TUV,Tuvalu,2020,0.0,Oceania,Upper Middle Income
TUV,Tuvalu,2024,0.1047142857142856,Oceania,Upper Middle Income
UGA,Uganda,2020,0.7770366379310345,Africa,Low Income
UGA,Uganda,2024,0.6608571428571427,Africa,Low Income
UKR,Ukraine,2020,1.0,Europe,Lower Middle Income
UKR,Ukraine,2024,0.9457142857142856,Europe,Lower Middle Income
ARE,United Arab Emirates,2020,1.0,Middle East,High Income
ARE,United Arab Emirates,2024,1.0,Middle East,High Income
GBR,United Kingdom,2020,1.0,Europe,High Income
GBR,United Kingdom,2024,1.0,Europe,High Income
USA,United States,2020,1.0,North America,High Income
USA,United States,2024,1.0,North America,High Income
URY,Uruguay,2020,0.8550013469827586,South America,High Income
URY,Uruguay,2024,0.9612857142857144,South America,High Income
UZB,Uzbekistan,2020,0.9327505387931035,Asia,Lower Middle Income
UZB,Uzbekistan,2024,0.9612857142857144,Asia,Lower Middle Income
VUT,Vanuatu,2020,0.2699973060344827,Oceania,Lower Middle Income
VUT,Vanuatu,2024,0.63,Oceania,Lower Middle Income
VEN,"Venezuela, RB",2020,0.2139803340517241,Other,Not Classified
VEN,"Venezuela, RB",2024,0.5294285714285712,Other,Not Classified
VNM,Viet Nam,2020,1.0,Asia,Lower Middle Income
VNM,Viet Nam,2024,1.0,Asia,Lower Middle Income
PSE,West Bank and Gaza,2020,0.2842914870689655,Middle East,Lower Middle Income
PSE,West Bank and Gaza,2024,0.4564285714285714,Middle East,Lower Middle Income
YEM,"Yemen, Rep.",2020,0.0,Middle East,Low Income
YEM,"Yemen, Rep.",2024,0.2347142857142857,Middle East,Low Income
ZMB,Zambia,2020,1.0,Africa,Lower Middle Income
ZMB,Zambia,2024,1.0,Africa,Lower Middle Income
ZWE,Zimbabwe,2020,0.6980549568965517,Africa,Lower Middle Income
ZWE,Zimbabwe,2024,0.7351428571428571,Africa,Lower Middle Income
