customer_id,country,age_range,signup_date
220,Germany,26-35,2025-01-30
221,Germany,36-45,2025-02-05
222,Netherlands,16-25,2024-08-05
223,Germany,16-25,2025-03-27
224,France,36-45,2024-02-13
225,France,26-35,2025-03-12
226,Netherlands,16-25,2025-02-16
227,France,46-55,2025-04-23
228,Germany,36-45,2024-06-10
229,France,46-55,2024-07-20
230,France,56-65,2025-02-26
231,France,16-25,2025-02-21
232,Spain,56-65,2025-03-21
233,France,26-35,2025-03-27
234,Italy,26-35,2025-02-11
235,Italy,56-65,2025-04-08
236,Netherlands,46-55,2024-09-26
237,Germany,46-55,2025-02-14
238,France,16-25,2024-12-16
239,Netherlands,46-55,2024-10-30
240,Netherlands,26-35,2024-09-27
241,Spain,46-55,2025-03-27
242,Netherlands,46-55,2025-04-11
243,Germany,16-25,2025-01-27
244,Netherlands,36-45,2025-03-13
245,France,26-35,2024-08-02
246,Spain,26-35,2025-05-02
247,Netherlands,46-55,2025-02-14
248,Germany,46-55,2024-09-08
249,Netherlands,46-55,2024-07-08
250,Netherlands,36-45,2024-10-22
251,Italy,16-25,2024-07-31
252,Italy,16-25,2025-03-02
253,France,26-35,2025-04-01
254,Italy,36-45,2025-04-21
255,Spain,26-35,2024-07-26
256,Italy,16-25,2025-05-13
257,Germany,26-35,2024-08-24
258,Netherlands,46-55,2025-05-26
259,Germany,36-45,2025-03-25
260,Netherlands,36-45,2024-12-03
261,France,56-65,2025-01-01
262,Netherlands,26-35,2024-02-22
263,France,16-25,2025-04-11
264,Netherlands,56-65,2025-03-23
265,Italy,46-55,2025-03-29
266,Italy,46-55,2024-10-06
267,Spain,46-55,2025-02-13
268,Germany,46-55,2025-02-19
269,Spain,36-45,2025-02-27
270,Germany,26-35,2025-02-27
271,Germany,16-25,2025-03-13
272,Netherlands,56-65,2025-05-25
273,France,16-25,2025-03-01
274,Germany,16-25,2025-04-02
275,Germany,26-35,2024-08-04
276,France,36-45,2024-09-08
277,Italy,16-25,2025-02-26
278,Spain,56-65,2024-07-06
279,France,36-45,2025-04-09
280,Germany,26-35,2025-02-15
281,Germany,46-55,2025-01-14
282,Italy,16-25,2024-02-10
283,France,56-65,2025-04-13
284,Italy,16-25,2025-03-27
285,France,16-25,2025-02-10
286,Italy,26-35,2024-06-05
287,France,26-35,2024-01-15
288,Italy,36-45,2025-02-05
289,Netherlands,46-55,2025-04-30
290,Italy,16-25,2024-10-27
291,Germany,16-25,2024-03-05
292,Germany,16-25,2024-12-10
293,Italy,56-65,2024-11-22
294,Italy,16-25,2025-05-18
295,France,16-25,2024-01-09
296,France,16-25,2025-06-02
297,France,56-65,2024-12-09
298,Germany,16-25,2025-05-03
299,Italy,26-35,2024-05-08
300,France,56-65,2024-05-15
301,France,26-35,2025-03-24
302,Germany,56-65,2025-03-13
303,Germany,46-55,2024-03-03
304,France,36-45,2025-03-13
305,Germany,46-55,2025-02-09
306,Germany,26-35,2024-05-18
307,Italy,56-65,2024-03-21
308,Netherlands,36-45,2025-01-26
309,Spain,46-55,2025-04-18
310,Spain,56-65,2024-06-11
311,Italy,26-35,2025-02-22
312,Germany,46-55,2024-10-15
313,France,16-25,2025-01-13
314,Germany,26-35,2025-03-19
315,Netherlands,46-55,2024-09-17
316,France,36-45,2025-02-15
317,Italy,46-55,2024-08-18
318,France,46-55,2025-02-20
319,Germany,46-55,2024-02-10
320,Italy,46-55,2024-01-28
321,Germany,36-45,2025-04-27
322,Netherlands,26-35,2024-05-14
323,Netherlands,26-35,2025-04-03
324,Italy,46-55,2024-07-19
325,Germany,36-45,2025-03-26
326,Italy,26-35,2025-06-09
327,France,26-35,2025-01-31
328,Germany,46-55,2024-11-23
329,Netherlands,26-35,2024-09-24
330,Germany,16-25,2025-02-21
331,Spain,56-65,2025-04-02
332,Netherlands,46-55,2024-02-02
333,Netherlands,16-25,2024-02-17
334,France,16-25,2025-02-10
335,Germany,16-25,2024-03-02
336,Italy,46-55,2025-02-16
337,Spain,46-55,2024-08-03
338,Spain,26-35,2025-04-04
339,France,16-25,2025-04-16
340,Italy,46-55,2025-03-18
341,France,16-25,2025-04-20
342,Netherlands,36-45,2025-04-24
343,France,26-35,2024-10-19
344,Netherlands,16-25,2025-04-03
345,Netherlands,36-45,2024-04-08
346,Italy,56-65,2025-01-26
347,Netherlands,36-45,2024-06-20
348,Germany,36-45,2025-02-19
349,Germany,26-35,2025-03-20
350,France,36-45,2025-02-27
351,France,36-45,2024-12-25
352,Netherlands,46-55,2024-08-01
353,Germany,36-45,2024-02-04
354,Germany,36-45,2025-02-05
355,Spain,36-45,2025-03-24
356,Germany,46-55,2024-08-14
357,Italy,36-45,2025-02-20
358,Germany,36-45,2024-04-10
359,France,16-25,2025-03-31
360,France,16-25,2025-03-06
361,Netherlands,26-35,2025-03-29
362,Spain,56-65,2024-05-10
363,Netherlands,56-65,2024-09-13
364,Spain,46-55,2024-01-05
365,France,56-65,2025-03-24
366,France,26-35,2024-08-05
367,Netherlands,46-55,2025-03-19
368,France,26-35,2024-09-11
369,Netherlands,36-45,2025-04-01
370,Netherlands,26-35,2025-01-23
371,Netherlands,36-45,2025-02-01
372,Italy,36-45,2024-12-24
373,Spain,56-65,2025-02-25
374,Italy,16-25,2025-03-03
375,Germany,36-45,2025-02-28
376,Germany,36-45,2025-04-16
377,Spain,16-25,2025-02-03
378,France,56-65,2024-10-09
379,Germany,46-55,2025-04-03
380,Italy,46-55,2025-03-15
381,Germany,26-35,2025-01-27
382,Netherlands,56-65,2024-07-25
383,France,46-55,2024-01-15
384,Germany,16-25,2025-04-22
385,Germany,46-55,2025-04-11
386,France,36-45,2025-03-28
387,France,46-55,2025-02-04
388,France,26-35,2025-04-09
389,Italy,16-25,2024-12-11
390,Germany,46-55,2025-03-26
391,Spain,36-45,2024-02-11
392,Netherlands,36-45,2025-02-20
393,France,46-55,2025-04-09
394,Spain,56-65,2025-03-03
395,Spain,26-35,2025-01-14
396,Netherlands,36-45,2025-04-07
397,France,36-45,2025-02-08
398,Spain,16-25,2025-01-26
399,Italy,56-65,2024-06-27
400,Netherlands,16-25,2025-02-16
401,France,26-35,2025-04-19
402,Italy,16-25,2025-04-29
403,Germany,26-35,2025-03-24
404,Germany,56-65,2025-03-26
405,Germany,26-35,2024-03-03
406,Spain,36-45,2024-12-17
407,Italy,16-25,2025-02-22
408,Germany,46-55,2025-03-29
409,Netherlands,46-55,2024-08-18
410,Spain,16-25,2024-08-28
411,Germany,56-65,2025-04-13
412,France,46-55,2024-02-21
413,France,16-25,2025-04-29
414,Germany,46-55,2025-03-29
415,France,36-45,2025-03-08
416,France,46-55,2025-04-01
417,Spain,36-45,2025-03-03
418,France,36-45,2025-02-15
419,Spain,36-45,2025-03-28
420,Germany,36-45,2025-03-07
421,Germany,16-25,2024-04-05
422,Netherlands,46-55,2025-02-25
423,Italy,16-25,2025-01-22
424,Italy,36-45,2024-08-09
425,Italy,46-55,2025-02-10
426,Spain,56-65,2024-08-18
427,Spain,26-35,2025-03-26
428,Spain,56-65,2025-04-18
429,France,36-45,2024-08-24
430,France,46-55,2024-05-22
431,France,46-55,2024-06-19
432,Germany,36-45,2025-01-22
433,France,16-25,2024-01-29
434,France,16-25,2024-02-05
435,Netherlands,36-45,2025-02-17
436,Germany,26-35,2025-03-10
437,Italy,36-45,2024-01-13
438,Germany,16-25,2025-05-21
439,Germany,36-45,2025-05-11
440,Italy,16-25,2024-06-08
441,Germany,36-45,2024-11-22
442,Germany,16-25,2025-04-22
443,Spain,16-25,2024-07-05
444,Germany,26-35,2025-01-28
445,Italy,46-55,2025-03-25
446,Spain,46-55,2024-08-30
447,France,26-35,2025-03-19
448,France,26-35,2024-03-26
449,Italy,46-55,2024-10-10
450,Spain,46-55,2024-03-06
451,France,36-45,2025-05-09
452,France,56-65,2024-06-18
453,France,16-25,2025-02-08
454,Italy,16-25,2024-02-14
455,Netherlands,36-45,2025-04-07
456,Italy,26-35,2025-01-31
457,Germany,16-25,2025-04-23
458,Italy,56-65,2024-03-02
459,France,46-55,2025-04-18
460,Netherlands,56-65,2025-02-24
461,Germany,26-35,2025-03-27
462,Italy,36-45,2025-03-08
463,Spain,16-25,2025-03-16
464,Germany,36-45,2025-04-14
465,Germany,26-35,2024-05-13
466,Germany,16-25,2024-10-10
467,Spain,26-35,2025-06-09
468,Germany,36-45,2024-01-28
469,Italy,26-35,2025-04-02
470,Italy,56-65,2025-04-05
471,Netherlands,56-65,2025-03-11
472,France,36-45,2025-03-16
473,France,16-25,2025-02-08
474,France,36-45,2025-03-28
475,Italy,26-35,2025-03-15
476,Germany,56-65,2025-03-03
477,Spain,16-25,2025-02-23
478,Germany,56-65,2024-04-17
479,Netherlands,56-65,2024-02-13
480,Spain,16-25,2024-12-05
481,France,56-65,2025-05-09
482,Italy,56-65,2024-10-12
483,Netherlands,16-25,2025-03-21
484,France,56-65,2025-04-26
485,Netherlands,36-45,2025-02-11
486,Netherlands,56-65,2024-11-26
487,Germany,16-25,2024-05-07
488,Germany,46-55,2025-04-06
489,Germany,56-65,2025-05-17
490,Germany,56-65,2025-01-22
491,France,36-45,2024-12-13
492,Germany,26-35,2025-02-27
493,Germany,56-65,2025-02-17
494,Italy,36-45,2024-08-18
495,Germany,36-45,2024-07-08
496,Italy,16-25,2025-03-31
497,Germany,36-45,2025-02-10
498,France,46-55,2024-08-12
499,France,36-45,2025-05-06
500,Germany,56-65,2025-04-20
501,Italy,36-45,2025-03-19
502,France,16-25,2025-01-19
503,Italy,16-25,2025-04-08
504,Netherlands,16-25,2025-04-21
505,Germany,26-35,2025-03-28
506,France,26-35,2025-05-22
507,France,56-65,2025-01-11
508,Italy,16-25,2025-03-18
509,Netherlands,36-45,2025-01-29
510,France,16-25,2025-03-18
511,France,16-25,2025-04-18
512,Germany,56-65,2025-02-01
513,France,46-55,2025-06-12
514,France,56-65,2024-10-09
515,Germany,56-65,2025-03-21
516,Germany,36-45,2025-03-27
517,Netherlands,26-35,2025-02-03
518,Germany,46-55,2025-03-29
519,Italy,16-25,2025-02-10
520,Netherlands,16-25,2024-04-30
521,France,46-55,2025-03-18
522,Spain,16-25,2025-02-12
523,France,26-35,2024-04-25
524,France,16-25,2024-08-20
525,Italy,16-25,2025-04-23
526,France,26-35,2024-09-15
527,France,46-55,2024-12-24
528,Spain,36-45,2024-07-16
529,Netherlands,56-65,2025-02-14
530,Spain,26-35,2024-05-16
531,Spain,26-35,2025-04-01
532,France,26-35,2024-11-13
533,Spain,46-55,2024-06-13
534,Italy,56-65,2024-08-12
535,Germany,56-65,2024-11-02
536,France,56-65,2024-08-21
537,Netherlands,36-45,2024-06-20
538,Netherlands,46-55,2025-04-01
539,Germany,26-35,2024-05-31
540,Germany,56-65,2024-11-10
541,France,56-65,2025-04-17
542,France,46-55,2025-01-08
543,Germany,36-45,2024-06-08
544,Germany,26-35,2024-04-05
545,Germany,16-25,2025-04-22
546,France,36-45,2024-08-20
547,France,36-45,2025-05-22
548,Germany,36-45,2025-03-09
549,Spain,46-55,2024-06-28
550,Germany,56-65,2024-04-22
551,France,16-25,2025-03-11
552,France,46-55,2024-11-13
553,France,36-45,2025-03-17
554,France,56-65,2025-02-22
555,Spain,26-35,2024-02-21
556,Italy,16-25,2025-03-27
557,Spain,56-65,2025-01-22
558,Italy,46-55,2024-09-24
559,Italy,26-35,2024-10-21
560,Germany,26-35,2025-04-10
561,France,26-35,2025-03-24
562,Germany,16-25,2025-04-30
563,Netherlands,46-55,2025-04-06
564,Italy,26-35,2025-02-23
565,Spain,46-55,2025-05-08
566,Italy,36-45,2025-02-11
567,Netherlands,26-35,2025-04-19
568,Netherlands,26-35,2025-01-20
569,France,36-45,2025-03-18
570,Spain,16-25,2025-04-13
571,Netherlands,56-65,2025-01-21
572,Netherlands,56-65,2025-02-06
573,Italy,36-45,2024-04-22
574,Italy,16-25,2025-04-25
575,Netherlands,26-35,2025-04-15
576,Germany,46-55,2024-04-10
577,Netherlands,26-35,2025-04-29
578,Germany,16-25,2025-04-03
579,France,46-55,2024-04-22
580,Italy,46-55,2025-05-06
581,Germany,56-65,2025-05-27
582,France,36-45,2025-03-15
583,Netherlands,36-45,2024-03-21
584,Italy,26-35,2024-07-05
585,Portugal,16-25,2024-04-22
586,Portugal,56-65,2024-01-02
587,Germany,36-45,2025-05-09
588,Portugal,56-65,2025-04-12
589,Italy,16-25,2024-05-09
590,Germany,26-35,2024-08-07
591,Germany,36-45,2024-02-23
592,France,16-25,2024-12-08
593,France,26-35,2025-03-11
594,Spain,56-65,2024-08-11
595,Italy,26-35,2024-08-12
596,Italy,26-35,2025-05-15
597,Netherlands,36-45,2025-01-19
598,Portugal,16-25,2025-02-06
599,Italy,36-45,2024-05-05
600,Italy,36-45,2024-05-09
601,Germany,56-65,2025-04-13
602,Portugal,16-25,2025-05-09
603,Germany,16-25,2024-02-22
604,Italy,46-55,2025-04-17
605,Spain,26-35,2025-03-24
606,Germany,36-45,2024-06-20
607,France,36-45,2025-02-17
608,France,26-35,2025-02-12
609,Italy,56-65,2025-02-13
610,France,16-25,2025-04-12
611,Spain,36-45,2025-04-18
612,Italy,36-45,2025-02-06
613,Netherlands,16-25,2025-05-12
614,Netherlands,26-35,2024-08-05
615,Portugal,46-55,2025-04-06
616,Germany,46-55,2024-06-08
617,Netherlands,26-35,2025-03-30
618,Netherlands,16-25,2024-07-16
619,Italy,26-35,2025-02-19
620,Netherlands,56-65,2025-04-20
621,Italy,36-45,2024-09-03
622,Netherlands,26-35,2024-11-19
623,Netherlands,16-25,2025-03-14
624,Spain,36-45,2025-03-11
625,Portugal,46-55,2025-01-28
626,Italy,36-45,2025-02-19
627,Netherlands,36-45,2024-07-21
628,France,46-55,2025-02-21
629,Italy,26-35,2024-07-02
630,Portugal,16-25,2024-05-02
631,Portugal,36-45,2025-02-04
632,Portugal,46-55,2024-09-11
633,Spain,56-65,2025-03-11
634,Portugal,46-55,2025-03-03
635,Portugal,36-45,2024-10-20
636,Spain,56-65,2025-03-18
637,Portugal,56-65,2024-10-06
638,France,46-55,2025-04-11
639,Italy,56-65,2025-03-26
640,France,26-35,2025-01-20
641,Spain,36-45,2025-03-21
642,Portugal,46-55,2025-05-14
643,Portugal,16-25,2025-02-26
644,Portugal,36-45,2024-11-20
645,Portugal,26-35,2025-01-06
646,Spain,56-65,2025-02-17
647,France,16-25,2025-05-23
648,Germany,36-45,2025-02-18
649,Italy,56-65,2025-02-23
650,Italy,36-45,2024-04-07
651,France,16-25,2024-07-16
652,Germany,56-65,2025-03-15
653,Portugal,36-45,2025-05-12
654,Italy,56-65,2025-05-05
655,Italy,56-65,2025-03-20
656,Germany,56-65,2025-03-24
657,Italy,26-35,2025-03-16
658,Italy,36-45,2025-03-08
659,Portugal,46-55,2025-03-19
660,Italy,56-65,2025-04-23
661,Spain,16-25,2025-01-29
662,Italy,36-45,2025-03-05
663,Netherlands,26-35,2025-03-08
664,France,56-65,2025-04-18
665,Portugal,26-35,2025-04-06
666,Germany,16-25,2024-08-27
667,Netherlands,36-45,2024-05-23
668,Spain,26-35,2024-04-06
669,Netherlands,36-45,2024-07-19
670,Italy,36-45,2025-04-21
671,Netherlands,26-35,2024-05-03
672,Germany,56-65,2025-01-23
673,Germany,36-45,2025-04-16
674,Netherlands,26-35,2024-07-05
675,Italy,36-45,2025-01-19
676,Portugal,26-35,2025-04-26
677,Portugal,36-45,2025-03-12
678,Italy,46-55,2024-11-21
679,Portugal,26-35,2024-12-14
680,Spain,56-65,2024-09-15
681,Germany,16-25,2025-02-07
682,Portugal,16-25,2025-03-10
683,France,36-45,2024-05-27
684,Netherlands,56-65,2025-04-06
685,Spain,36-45,2025-04-14
686,Netherlands,16-25,2025-04-11
687,France,26-35,2025-05-09
688,Italy,46-55,2025-04-02
689,Spain,56-65,2025-03-19
690,Spain,46-55,2025-04-30
691,Italy,46-55,2025-04-04
692,France,56-65,2025-05-05
693,Netherlands,26-35,2025-03-13
694,Netherlands,46-55,2024-09-08
695,Spain,56-65,2025-02-17
696,France,46-55,2025-03-18
697,Germany,56-65,2025-03-31
698,Portugal,36-45,2025-04-05
699,Netherlands,56-65,2025-02-25
700,Portugal,16-25,2025-03-08
701,Spain,26-35,2025-02-06
702,Portugal,46-55,2025-06-08
703,Germany,16-25,2025-03-30
704,Germany,16-25,2025-04-10
705,Spain,26-35,2025-02-23
706,France,36-45,2025-04-26
707,France,46-55,2025-02-06
708,Netherlands,36-45,2024-12-11
709,Germany,36-45,2025-03-26
710,France,36-45,2025-02-05
711,France,16-25,2025-05-04
712,Germany,36-45,2024-05-26
713,France,36-45,2024-05-27
714,Portugal,46-55,2025-03-22
715,Germany,26-35,2024-12-17
716,France,26-35,2024-07-17
717,Spain,46-55,2024-11-03
718,Italy,16-25,2025-04-01
719,Italy,26-35,2025-02-20
720,Spain,46-55,2025-03-21
721,Netherlands,16-25,2025-02-27
722,Italy,26-35,2024-05-07
723,Italy,56-65,2024-02-08
724,France,56-65,2024-12-03
725,Spain,36-45,2025-04-14
726,Germany,56-65,2025-04-03
727,Portugal,26-35,2025-03-09
728,Netherlands,56-65,2025-04-02
729,Portugal,36-45,2025-04-24
730,Spain,16-25,2025-02-16
731,Portugal,36-45,2024-12-25
732,Germany,16-25,2024-05-08
733,Germany,26-35,2025-04-02
734,Netherlands,46-55,2025-03-28
735,France,26-35,2025-04-02
736,Germany,26-35,2025-02-19
737,Italy,46-55,2024-09-23
738,Netherlands,26-35,2025-03-16
739,Portugal,26-35,2025-02-09
740,Spain,16-25,2025-03-09
741,Portugal,16-25,2025-03-23
742,Portugal,56-65,2024-05-30
743,Netherlands,16-25,2025-05-04
744,Italy,36-45,2025-02-18
745,Italy,46-55,2025-04-10
746,Italy,36-45,2024-10-24
747,Spain,36-45,2024-04-08
748,Netherlands,46-55,2025-03-09
749,Spain,56-65,2025-03-28
750,Spain,46-55,2025-04-10
751,France,56-65,2025-04-17
752,Italy,56-65,2025-04-08
753,Netherlands,36-45,2024-09-19
754,Spain,26-35,2025-01-20
755,France,26-35,2024-09-08
756,France,56-65,2024-05-23
757,Italy,36-45,2024-12-11
758,Portugal,36-45,2025-03-15
759,France,36-45,2025-02-09
760,Portugal,56-65,2024-04-21
761,Netherlands,36-45,2025-04-15
762,Spain,36-45,2025-03-25
763,Spain,26-35,2024-02-29
764,France,26-35,2025-05-12
765,Spain,56-65,2025-01-03
766,Spain,56-65,2024-01-02
767,Netherlands,36-45,2025-05-01
768,France,36-45,2025-01-19
769,Italy,46-55,2025-04-19
770,Portugal,36-45,2025-03-28
771,Portugal,16-25,2025-02-21
772,Spain,16-25,2025-01-29
773,Spain,46-55,2025-04-06
774,Portugal,46-55,2025-05-21
775,Portugal,16-25,2024-10-30
776,Portugal,56-65,2025-03-18
777,Spain,36-45,2025-05-02
778,Italy,56-65,2024-09-10
779,Netherlands,36-45,2025-04-12
780,Portugal,16-25,2025-03-28
781,Netherlands,56-65,2024-05-19
782,Italy,56-65,2025-03-28
783,Italy,36-45,2025-03-03
784,Netherlands,56-65,2024-02-06
785,France,56-65,2025-03-18
786,Spain,56-65,2024-06-08
787,Italy,46-55,2025-02-19
788,Germany,16-25,2024-01-09
789,Portugal,16-25,2024-08-20
790,France,16-25,2025-04-26
791,Portugal,16-25,2025-04-05
792,Italy,16-25,2025-03-06
793,Italy,36-45,2025-05-10
794,Italy,56-65,2024-04-08
795,Germany,36-45,2025-05-13
796,Netherlands,16-25,2025-03-03
797,Netherlands,46-55,2024-05-26
798,Portugal,46-55,2025-03-14
799,France,36-45,2024-10-30
800,Netherlands,36-45,2025-05-02
801,Netherlands,46-55,2025-01-27
802,Spain,36-45,2025-03-03
803,Italy,36-45,2024-07-26
804,Italy,26-35,2025-05-05
805,Germany,26-35,2025-02-21
806,Italy,26-35,2025-05-02
807,Germany,16-25,2025-04-14
808,Netherlands,26-35,2024-05-10
809,France,36-45,2025-02-07
810,Netherlands,26-35,2024-05-31
811,France,26-35,2025-01-22
812,Spain,56-65,2024-02-23
813,Germany,26-35,2025-02-23
814,Italy,46-55,2024-04-29
815,Spain,26-35,2024-06-09
816,Netherlands,16-25,2025-02-04
817,Netherlands,56-65,2025-02-11
818,France,46-55,2025-03-05
819,Italy,46-55,2025-03-06
820,Spain,56-65,2025-01-29
821,Italy,46-55,2024-04-25
822,Germany,56-65,2025-04-30
823,Germany,46-55,2025-05-10
824,Italy,46-55,2024-03-15
825,Netherlands,26-35,2025-02-09
