country,product_id,stock_quantity
France,184,36
France,185,18
France,186,71
France,187,46
France,188,60
France,189,53
France,190,33
France,191,88
France,192,68
France,193,41
France,194,97
France,195,2
France,196,71
France,197,67
France,198,61
France,199,4
France,200,48
France,201,11
France,202,12
France,203,65
France,204,5
France,205,68
France,206,11
France,207,11
France,208,5
France,209,96
France,210,3
France,211,28
France,212,11
France,213,62
France,214,53
France,215,99
France,216,41
France,217,79
France,218,41
France,219,2
France,220,64
France,221,84
France,222,65
France,223,26
France,224,47
France,225,33
France,226,78
France,227,79
France,228,95
France,229,20
France,230,25
France,231,3
France,232,68
France,233,79
France,234,5
France,235,12
France,236,29
France,237,68
France,238,45
France,239,28
France,240,99
France,241,76
France,242,28
France,243,3
France,244,80
France,245,4
France,246,42
France,247,49
France,248,48
France,249,91
France,250,10
France,251,20
France,252,66
France,253,98
France,254,59
France,255,1
France,256,40
France,257,51
France,258,16
France,259,25
France,260,99
France,261,69
France,262,11
France,263,10
France,264,57
France,265,21
France,266,78
France,267,46
France,268,41
France,269,18
France,270,28
France,271,57
France,272,89
France,273,12
France,274,29
France,275,33
France,276,63
France,277,42
France,278,33
France,279,84
France,280,1
France,281,45
France,282,47
France,283,93
France,284,98
France,285,34
France,286,27
France,287,91
France,288,75
France,289,63
France,290,4
France,291,89
France,292,70
France,293,1
France,294,42
France,295,77
France,296,42
France,297,23
France,298,30
France,299,57
France,300,29
France,301,17
France,302,16
France,303,76
France,304,26
France,305,42
France,306,3
France,307,85
France,308,68
France,309,5
France,310,31
France,311,39
France,312,47
France,313,2
France,314,63
France,315,17
France,316,36
France,317,36
France,318,30
France,319,39
France,320,4
France,321,73
France,322,78
France,323,70
France,324,57
France,325,28
France,326,13
France,327,44
France,328,73
France,329,58
France,330,26
France,331,53
France,332,3
France,333,55
France,334,15
France,335,46
France,336,33
France,337,55
France,338,62
France,339,69
France,340,72
France,341,4
France,342,41
France,343,96
France,344,3
France,345,76
France,346,27
France,347,34
France,348,63
France,349,67
France,350,76
France,351,55
France,352,33
France,353,41
France,354,4
France,355,95
France,356,32
France,357,75
France,358,2
France,359,11
France,360,99
France,361,26
France,362,42
France,363,18
France,364,52
France,365,57
France,366,48
France,367,51
France,368,35
France,369,59
France,370,2
France,371,33
France,372,22
France,373,69
France,374,16
France,375,66
France,376,45
France,377,54
France,378,29
France,379,74
France,380,17
France,381,25
France,382,23
France,383,85
France,384,96
France,385,24
France,386,75
France,387,41
France,388,96
France,389,72
France,390,95
France,391,60
France,392,34
France,393,67
France,394,72
France,395,71
France,396,31
France,397,67
France,398,67
France,399,5
France,400,2
France,401,1
France,402,51
France,403,79
France,404,1
France,405,63
France,406,69
France,407,17
France,408,62
France,409,69
France,410,14
France,411,77
France,412,15
France,413,56
France,414,64
France,415,49
France,416,61
France,417,25
France,418,22
France,419,39
France,420,28
France,421,26
France,422,72
France,423,28
France,424,67
France,425,1
France,426,99
France,427,99
France,428,71
France,429,32
France,430,18
France,431,21
France,432,10
France,433,67
France,434,3
France,435,43
France,436,57
France,437,98
France,438,10
France,439,25
France,440,70
France,441,73
France,442,72
France,443,78
France,444,31
France,445,76
France,446,85
France,447,35
France,448,25
France,449,60
France,450,95
France,451,66
France,452,1
France,453,87
France,454,78
France,455,56
France,456,71
France,457,78
France,458,85
France,459,25
France,460,99
France,461,99
France,462,57
France,463,94
France,464,48
France,465,42
France,466,32
France,467,19
France,468,78
France,469,43
France,470,61
France,471,5
France,472,28
France,473,67
France,474,10
France,475,78
France,476,13
France,477,25
France,478,33
France,479,89
France,480,11
France,481,41
France,482,93
France,483,33
France,484,21
France,485,59
France,486,44
France,487,42
France,488,42
France,489,70
France,490,60
France,491,52
France,492,21
France,493,76
France,494,74
France,495,42
France,496,5
France,497,83
France,498,52
France,499,53
France,500,38
Germany,1,1
Germany,2,1
Germany,3,1
Germany,4,1
Germany,5,1
Germany,6,1
Germany,7,1
Germany,8,1
Germany,9,1
Germany,10,1
Germany,11,1
Germany,12,1
Germany,13,1
Germany,14,1
Germany,15,1
Germany,16,1
Germany,17,1
Germany,18,1
Germany,19,1
Germany,20,1
Germany,21,1
Germany,22,1
Germany,23,1
Germany,24,1
Germany,25,1
Germany,26,1
Germany,27,1
Germany,28,1
Germany,29,1
Germany,30,1
Germany,31,1
Germany,32,1
Germany,33,1
Germany,34,1
Germany,35,1
Germany,36,1
Germany,37,1
Germany,38,1
Germany,39,1
Germany,40,1
Germany,41,1
Germany,42,1
Germany,43,1
Germany,44,1
Germany,45,1
Germany,46,1
Germany,47,1
Germany,48,1
Germany,49,1
Germany,50,1
Germany,51,1
Germany,52,1
Germany,53,1
Germany,54,1
Germany,55,1
Germany,56,1
Germany,57,1
Germany,58,1
Germany,59,1
Germany,60,1
Germany,61,1
Germany,62,1
Germany,63,1
Germany,64,1
Germany,65,1
Germany,66,1
Germany,67,1
Germany,68,1
Germany,69,1
Germany,70,1
Germany,71,1
Germany,72,1
Germany,73,1
Germany,74,1
Germany,75,1
Germany,76,1
Germany,77,1
Germany,78,1
Germany,79,1
Germany,80,1
Germany,81,1
Germany,82,1
Germany,83,1
Germany,84,1
Germany,85,1
Germany,86,1
Germany,87,1
Germany,88,1
Germany,89,1
Germany,90,1
Germany,91,1
Germany,92,1
Germany,93,1
Germany,94,1
Germany,95,1
Germany,96,1
Germany,97,1
Germany,98,1
Germany,99,1
Germany,100,1
Germany,101,1
Germany,102,1
Germany,103,1
Germany,104,1
Germany,105,1
Germany,106,1
Germany,107,1
Germany,108,1
Germany,109,1
Germany,110,1
Germany,111,1
Germany,112,1
Germany,113,1
Germany,114,1
Germany,115,1
Germany,116,1
Germany,117,1
Germany,118,1
Germany,119,1
Germany,120,1
Germany,121,1
Germany,122,1
Germany,123,1
Germany,124,1
Germany,125,1
Germany,126,1
Germany,127,1
Germany,128,1
Germany,129,1
Germany,130,1
Germany,131,1
Germany,132,1
Germany,133,1
Germany,134,1
Germany,135,1
Germany,136,1
Germany,137,1
Germany,138,1
Germany,139,1
Germany,140,1
Germany,141,1
Germany,142,1
Germany,143,1
Germany,144,1
Germany,145,1
Germany,146,1
Germany,147,1
Germany,148,1
Germany,149,1
Germany,150,1
Germany,151,1
Germany,152,1
Germany,153,1
Germany,154,1
Germany,155,1
Germany,156,1
Germany,157,1
Germany,158,1
Germany,159,1
Germany,160,1
Germany,161,1
Germany,162,1
Germany,163,1
Germany,164,1
Germany,165,1
Germany,166,1
Germany,167,1
Germany,168,1
Germany,169,1
Germany,170,1
Germany,171,1
Germany,172,1
Germany,173,1
Germany,174,1
Germany,175,1
Germany,176,1
Germany,177,1
Germany,178,1
Germany,179,1
Germany,180,1
Germany,181,1
Germany,182,1
Germany,183,1
Germany,184,1
Germany,185,1
Germany,186,1
Germany,187,1
Germany,188,1
Germany,189,1
Germany,190,1
Germany,191,1
Germany,192,1
Germany,193,1
Germany,194,1
Germany,195,1
Germany,196,1
Germany,197,1
Germany,198,1
Germany,199,1
Germany,200,1
Germany,201,1
Germany,202,1
Germany,203,1
Germany,204,1
Germany,205,1
Germany,206,1
Germany,207,1
Germany,208,1
Germany,209,1
Germany,210,1
Germany,211,1
Germany,212,1
Germany,213,1
Germany,214,1
Germany,215,1
Germany,216,1
Germany,217,1
Germany,218,1
Germany,219,1
Germany,220,1
Germany,221,1
Germany,222,1
Germany,223,1
Germany,224,1
Germany,225,1
Germany,226,1
Germany,227,1
Germany,228,1
Germany,229,1
Germany,230,1
Germany,231,1
Germany,232,1
Germany,233,1
Germany,234,1
Germany,235,1
Germany,236,1
Germany,237,1
Germany,238,1
Germany,239,1
Germany,240,1
Germany,241,1
Germany,242,1
Germany,243,1
Germany,244,1
Germany,245,1
Germany,246,1
Germany,247,1
Germany,248,1
Germany,249,1
Germany,250,1
Germany,251,1
Germany,252,1
Germany,253,1
Germany,254,1
Germany,255,1
Germany,256,1
Germany,257,1
Germany,258,1
Germany,259,1
Germany,260,1
Germany,261,1
Germany,262,1
Germany,263,1
Germany,264,1
Germany,265,1
Germany,266,1
Germany,267,1
Germany,268,1
Germany,269,1
Germany,270,1
Germany,271,1
Germany,272,1
Germany,273,1
Germany,274,1
Germany,275,1
Germany,276,1
Germany,277,1
Germany,278,1
Germany,279,1
Germany,280,1
Germany,281,1
Germany,282,1
Germany,283,1
Germany,284,1
Germany,285,1
Germany,286,1
Germany,287,1
Germany,288,1
Germany,289,1
Germany,290,1
Germany,291,1
Germany,292,1
Germany,293,1
Germany,294,1
Germany,295,1
Germany,296,1
Germany,297,1
Germany,298,1
Germany,299,1
Germany,300,1
Germany,301,1
Germany,302,1
Germany,303,1
Germany,304,1
Germany,305,1
Germany,306,1
Germany,307,1
Germany,308,1
Germany,309,1
Germany,310,1
Germany,311,1
Germany,312,1
Germany,313,1
Germany,314,1
Germany,315,1
Germany,316,1
Germany,317,1
Germany,318,1
Germany,319,1
Germany,320,1
Germany,321,1
Germany,322,1
Germany,323,1
Germany,324,1
Germany,325,1
Germany,326,1
Germany,327,1
Germany,328,1
Germany,329,1
Germany,330,1
Germany,331,1
Germany,332,1
Germany,333,1
Germany,334,1
Germany,335,1
Germany,336,1
Germany,337,1
Germany,338,1
Germany,339,1
Germany,340,1
Germany,341,1
Germany,342,1
Germany,343,1
Germany,344,1
Germany,345,1
Germany,346,1
Germany,347,1
Germany,348,1
Germany,349,1
Germany,350,1
Germany,351,1
Germany,352,1
Germany,353,1
Germany,354,1
Germany,355,1
Germany,356,1
Germany,357,1
Germany,358,1
Germany,359,1
Germany,360,1
Germany,361,1
Germany,362,1
Germany,363,1
Germany,364,1
Germany,365,1
Germany,366,1
Germany,367,1
Germany,368,1
Germany,369,1
Germany,370,1
Germany,371,1
Germany,372,1
Germany,373,1
Germany,374,1
Germany,375,1
Germany,376,1
Germany,377,1
Germany,378,1
Germany,379,1
Germany,380,1
Germany,381,1
Germany,382,1
Germany,383,1
Germany,384,1
Germany,385,1
Germany,386,1
Germany,387,1
Germany,388,1
Germany,389,1
Germany,390,1
Germany,391,1
Germany,392,1
Germany,393,1
Germany,394,1
Germany,395,1
Germany,396,1
Germany,397,1
Germany,398,1
Germany,399,1
Germany,400,1
Germany,401,1
Germany,402,1
Germany,403,1
Germany,404,1
Germany,405,1
Germany,406,1
Germany,407,1
Germany,408,1
Germany,409,1
Germany,410,1
Germany,411,1
Germany,412,1
Germany,413,1
Germany,414,1
Germany,415,1
Germany,416,1
Germany,417,1
Germany,418,1
Germany,419,1
Germany,420,1
Germany,421,1
Germany,422,1
Germany,423,1
Germany,424,1
Germany,425,1
Germany,426,1
Germany,427,1
Germany,428,1
Germany,429,1
Germany,430,1
Germany,431,1
Germany,432,1
Germany,433,1
Germany,434,1
Germany,435,1
Germany,436,1
Germany,437,1
Germany,438,1
Germany,439,1
Germany,440,1
Germany,441,1
Germany,442,1
Germany,443,1
Germany,444,1
Germany,445,1
Germany,446,1
Germany,447,1
Germany,448,1
Germany,449,1
Germany,450,1
Germany,451,1
Germany,452,1
Germany,453,1
Germany,454,1
Germany,455,1
Germany,456,1
Germany,457,1
Germany,458,1
Germany,459,1
Germany,460,1
Germany,461,1
Germany,462,1
Germany,463,1
Germany,464,1
Germany,465,1
Germany,466,1
Germany,467,1
Germany,468,1
Germany,469,1
Germany,470,1
Germany,471,1
Germany,472,1
Germany,473,1
Germany,474,1
Germany,475,1
Germany,476,1
Germany,477,1
Germany,478,1
Germany,479,1
Germany,480,1
Germany,481,1
Germany,482,1
Germany,483,1
Germany,484,1
Germany,485,1
Germany,486,1
Germany,487,1
Germany,488,1
Germany,489,1
Germany,490,1
Germany,491,1
Germany,492,1
Germany,493,1
Germany,494,1
Germany,495,1
Germany,496,1
Germany,497,1
Germany,498,1
Germany,499,1
Germany,500,1
