Employee_ID,MBTI,Dimension_EI,Dimension_SN,Dimension_TF,Dimension_JP,Department,Role,Seniority,Tenure_Years,AI_Tool_Usage_Daily_Hours,AI_Tool_Preference,Tool_Adoption_Score,Meeting_Hours_Weekly,Focus_Time_Hours_Weekly,Collaboration_Intensity,Context_Switching_Index,Project_Completion_Rate,Process_Adherence_Score,Innovation_Output_Score,Stakeholder_Satisfaction_Score,Weekly_Report_Submission_Offset,Overtime_Hours_Weekly,Learning_Hours_Monthly,Rework_Rate_Percent
EMP1027,INFJ,Introvert,Intuitive,Feeling,Judging,Product,UX Research,Mid,2.7,4.8,Visualization,70.0,9.9,18.5,71.5,2.0,74.8,65.4,69.5,82.3,6.0,1.2,11.4,8.8
EMP1028,INFJ,Introvert,Intuitive,Feeling,Judging,Operations,Ops,Lead,11.4,2.6,Automation Script,71.6,13.6,31.5,47.7,1.1,85.1,61.1,73.5,81.0,5.4,2.9,7.6,8.0
EMP1029,ESFJ,Extravert,Sensing,Feeling,Judging,Sales,Account Manager,Lead,13.0,2.1,LLM Chatbot,43.2,24.6,6.0,85.7,5.1,70.4,91.1,41.6,77.0,4.7,9.0,5.6,1.0
EMP1030,ISTP,Introvert,Sensing,Thinking,Perceiving,Product,PM,Mid,2.9,3.5,Search/Research,57.8,7.9,16.9,53.8,5.5,76.8,74.9,55.7,55.1,-3.0,0.9,7.7,10.2
EMP1031,ESTP,Extravert,Sensing,Thinking,Perceiving,Operations,Ops,Mid,3.3,1.6,Automation Script,76.1,8.2,11.0,65.8,7.4,70.3,63.6,31.8,63.0,5.7,5.9,8.0,8.7
EMP1032,ESFP,Extravert,Sensing,Feeling,Perceiving,Product,PM,Mid,2.0,3.4,Search/Research,59.0,8.6,17.8,69.4,7.6,60.6,64.0,58.9,64.6,5.4,2.1,7.3,10.3
EMP1033,ISFP,Introvert,Sensing,Feeling,Perceiving,Marketing,Growth,Mid,3.7,1.3,Search/Research,69.3,9.1,18.9,74.3,6.2,68.9,66.3,73.7,69.6,1.0,3.2,4.0,11.9
EMP1034,ESTP,Extravert,Sensing,Thinking,Perceiving,Sales,AE,Junior,1.7,2.4,LLM Chatbot,37.0,16.4,10.1,58.6,9.4,55.1,53.0,56.7,58.8,3.9,1.7,7.3,9.3
EMP1035,ISTP,Introvert,Sensing,Thinking,Perceiving,Sales,SDR,Senior,7.9,1.1,LLM Chatbot,51.9,16.4,13.5,50.1,6.5,87.4,47.3,38.9,60.8,-0.5,0.2,7.5,8.4
EMP1036,ISFP,Introvert,Sensing,Feeling,Perceiving,HR,HRBP,Junior,1.1,1.8,Search/Research,47.1,16.3,11.3,61.9,6.0,97.5,52.9,45.0,78.7,-0.3,7.5,3.5,7.3
EMP1037,ISFP,Introvert,Sensing,Feeling,Perceiving,Operations,Supply Ops,Lead,10.0,3.0,Search/Research,46.4,14.2,16.1,59.6,4.6,72.8,71.5,58.1,77.9,3.3,7.5,8.7,10.0
EMP1038,INTJ,Introvert,Intuitive,Thinking,Judging,Product,PM,Mid,2.8,3.9,Code Assistant,64.5,15.6,16.2,36.4,1.7,73.8,56.4,69.5,61.1,3.6,0.2,8.1,8.5
EMP1039,ENTJ,Extravert,Intuitive,Thinking,Judging,Marketing,Brand,Senior,5.3,3.5,Search/Research,60.1,21.4,6.7,72.3,5.7,89.8,71.9,58.9,67.7,8.0,5.3,7.8,8.8
EMP1040,ESFP,Extravert,Sensing,Feeling,Perceiving,HR,L&D,Mid,3.8,2.1,Automation Script,40.7,17.0,16.0,80.3,7.2,54.5,65.4,54.3,72.2,-3.9,8.9,5.4,9.3
EMP1041,ESFJ,Extravert,Sensing,Feeling,Judging,Sales,AE,Mid,3.3,2.3,Automation Script,44.6,20.3,15.3,79.5,3.1,77.3,76.0,38.8,74.9,5.3,0.4,4.9,3.1
EMP1042,ISTJ,Introvert,Sensing,Thinking,Judging,Operations,Supply Ops,Senior,5.8,2.1,Automation Script,46.7,6.9,27.0,71.1,0.0,81.5,95.0,28.9,73.7,5.9,8.8,5.2,13.1
EMP1043,ISFP,Introvert,Sensing,Feeling,Perceiving,HR,HRBP,Mid,4.5,1.9,Visualization,40.6,14.4,17.5,53.4,2.0,61.5,69.0,40.9,70.3,4.8,3.1,9.4,6.7
EMP1044,INTJ,Introvert,Intuitive,Thinking,Judging,Operations,Ops,Mid,2.6,2.5,Code Assistant,70.2,7.2,18.6,52.2,1.3,44.0,85.0,43.3,68.5,6.5,9.5,9.7,2.9
EMP1045,ESTJ,Extravert,Sensing,Thinking,Judging,Marketing,Growth,Mid,3.6,1.9,Search/Research,66.9,18.8,16.7,70.0,6.3,89.9,80.2,39.7,73.6,3.3,0.4,10.1,1.0
EMP1046,ENTJ,Extravert,Intuitive,Thinking,Judging,Product,UX Research,Junior,1.5,4.3,Visualization,61.9,7.8,19.7,79.1,3.6,89.3,57.7,67.7,69.9,5.5,4.7,11.0,1.0
EMP1047,ENFP,Extravert,Intuitive,Feeling,Perceiving,Marketing,Growth,Mid,4.7,3.5,Visualization,67.0,14.4,14.7,82.3,7.3,75.5,34.9,82.2,71.7,1.4,3.8,9.9,9.8
EMP1048,INFJ,Introvert,Intuitive,Feeling,Judging,Product,Design,Mid,2.5,4.6,Visualization,71.3,12.3,18.9,55.2,1.3,98.9,66.6,63.7,87.2,7.7,7.1,8.1,1.0
EMP1049,ISTP,Introvert,Sensing,Thinking,Perceiving,Operations,Finance Ops,Mid,4.0,1.6,Search/Research,32.7,5.6,19.2,41.7,4.2,90.4,74.4,51.7,57.9,-1.1,5.0,4.9,5.3
EMP1050,ISFP,Introvert,Sensing,Feeling,Perceiving,HR,HRBP,Senior,5.5,1.9,LLM Chatbot,58.3,13.4,20.6,71.8,2.2,73.9,64.8,37.5,73.9,-3.8,0.5,6.6,5.7
EMP1051,ISFJ,Introvert,Sensing,Feeling,Judging,Product,UX Research,Mid,4.7,3.8,Search/Research,61.2,11.8,16.9,64.8,2.2,82.9,80.7,33.5,76.5,6.6,5.6,8.6,1.0
EMP1052,INFJ,Introvert,Intuitive,Feeling,Judging,Marketing,Growth,Mid,3.6,2.9,Search/Research,61.3,10.5,21.3,66.4,0.8,65.8,79.4,62.0,68.2,6.1,0.0,8.0,6.2
EMP1053,INFJ,Introvert,Intuitive,Feeling,Judging,HR,Recruiter,Junior,0.5,2.6,Automation Script,53.0,18.8,14.0,67.9,1.5,68.3,78.6,53.8,79.8,1.6,1.3,7.0,8.9
EMP1054,INFJ,Introvert,Intuitive,Feeling,Judging,Operations,Ops,Senior,7.5,2.7,Visualization,54.4,9.0,26.3,80.7,2.8,72.9,83.4,67.1,70.8,0.1,2.2,7.6,4.0
EMP1055,ESTJ,Extravert,Sensing,Thinking,Judging,Sales,SDR,Senior,5.7,2.3,Search/Research,59.0,18.1,17.2,69.6,3.6,91.9,80.2,25.1,73.2,6.0,1.3,9.1,1.6
EMP1056,ESFJ,Extravert,Sensing,Feeling,Judging,Sales,SDR,Mid,2.4,1.5,LLM Chatbot,47.3,19.3,18.5,87.8,5.2,94.5,85.9,25.8,86.7,8.2,3.9,6.6,1.0
EMP1057,ESTP,Extravert,Sensing,Thinking,Perceiving,Sales,Account Manager,Lead,9.0,1.6,Code Assistant,44.8,23.4,6.0,66.8,10.0,52.5,59.8,54.6,64.0,2.9,2.7,6.8,4.4
EMP1058,ESFJ,Extravert,Sensing,Feeling,Judging,Marketing,Brand,Lead,9.0,2.5,Visualization,50.8,20.4,15.9,84.9,5.3,100.0,70.5,41.1,78.3,5.1,3.1,10.9,3.3
EMP1059,ESFP,Extravert,Sensing,Feeling,Perceiving,HR,HRBP,Mid,3.0,0.7,Visualization,60.3,18.3,11.3,72.9,8.8,52.9,70.2,47.9,80.5,-0.6,1.4,10.4,12.0
EMP1060,ISFJ,Introvert,Sensing,Feeling,Judging,R&D,QA,Senior,5.2,3.7,Automation Script,43.1,16.4,23.8,68.2,1.8,91.0,75.4,57.7,73.3,6.6,3.5,8.1,5.3
EMP1061,ENFJ,Extravert,Intuitive,Feeling,Judging,R&D,QA,Mid,4.4,3.8,Automation Script,72.8,8.7,13.3,62.7,4.8,82.4,75.2,85.3,77.5,3.2,3.8,10.7,6.6
EMP1062,ISFJ,Introvert,Sensing,Feeling,Judging,HR,Recruiter,Senior,5.7,1.5,Automation Script,39.9,10.6,26.7,52.2,4.6,96.9,95.0,38.1,81.3,5.3,0.3,5.3,5.1
EMP1063,ISFP,Introvert,Sensing,Feeling,Perceiving,Marketing,Brand,Mid,4.6,3.1,Code Assistant,63.5,10.0,15.3,73.0,7.7,76.6,58.7,71.9,61.1,-4.7,10.2,9.0,8.0
EMP1064,INTJ,Introvert,Intuitive,Thinking,Judging,Sales,SDR,Mid,4.4,2.8,Code Assistant,70.4,16.5,21.4,74.7,2.4,81.1,63.2,50.3,69.9,4.1,2.5,7.2,4.8
EMP1065,INTP,Introvert,Intuitive,Thinking,Perceiving,Marketing,Brand,Lead,8.0,2.7,Search/Research,50.1,13.1,16.3,56.9,7.0,92.7,44.2,79.6,62.4,0.7,8.2,9.8,9.9
EMP1066,ENFP,Extravert,Intuitive,Feeling,Perceiving,Marketing,Content,Junior,0.8,3.5,LLM Chatbot,57.1,9.1,10.6,68.4,8.6,55.1,30.6,73.4,79.8,-0.2,1.9,5.8,6.9
EMP1067,INFP,Introvert,Intuitive,Feeling,Perceiving,R&D,QA,Junior,1.9,4.2,Search/Research,69.2,7.8,21.5,53.6,4.0,64.6,43.4,82.5,73.7,-4.4,3.1,10.6,9.1
EMP1068,ENFP,Extravert,Intuitive,Feeling,Perceiving,Product,PM,Senior,5.0,4.0,Code Assistant,77.1,14.3,13.8,70.5,6.8,51.7,27.4,86.2,59.9,-1.9,0.1,10.4,15.0
EMP1069,ISFP,Introvert,Sensing,Feeling,Perceiving,Operations,Ops,Lead,11.5,1.4,Visualization,60.6,14.3,16.7,67.3,2.9,65.9,56.2,57.3,60.9,-1.3,1.7,3.5,7.7
EMP1070,ESTJ,Extravert,Sensing,Thinking,Judging,Product,PM,Senior,6.5,3.5,Visualization,67.7,11.9,16.3,83.4,2.9,74.9,95.0,46.0,72.1,6.1,1.6,7.1,4.8
EMP1071,ENTP,Extravert,Intuitive,Thinking,Perceiving,HR,Recruiter,Mid,3.2,2.6,Code Assistant,66.4,17.6,7.7,86.4,7.4,81.9,52.5,88.8,61.5,-3.4,6.7,6.1,5.9
EMP1072,ESTJ,Extravert,Sensing,Thinking,Judging,R&D,QA,Senior,7.2,3.9,Code Assistant,66.2,9.3,14.2,61.6,2.5,65.9,87.3,39.4,69.0,8.6,3.9,8.5,7.5
EMP1073,INTP,Introvert,Intuitive,Thinking,Perceiving,Operations,Supply Ops,Mid,2.3,3.0,LLM Chatbot,57.1,4.0,23.1,50.2,5.9,62.3,48.5,55.7,70.7,-2.7,4.0,8.4,6.0
EMP1074,ENFJ,Extravert,Intuitive,Feeling,Judging,HR,Recruiter,Lead,8.6,2.9,Visualization,49.6,19.5,7.0,68.7,4.7,91.9,71.7,50.8,77.4,4.8,1.8,6.0,8.5
EMP1075,ENTJ,Extravert,Intuitive,Thinking,Judging,Sales,SDR,Lead,12.1,3.1,LLM Chatbot,53.6,19.5,20.4,73.7,5.9,72.5,73.5,63.3,71.7,2.2,7.5,8.2,4.2
EMP1076,ENFJ,Extravert,Intuitive,Feeling,Judging,HR,Recruiter,Senior,6.5,2.4,LLM Chatbot,58.6,20.5,18.9,90.3,4.1,59.9,83.3,73.7,73.3,5.4,1.6,8.9,8.4
EMP1077,ENTJ,Extravert,Intuitive,Thinking,Judging,Product,Design,Mid,4.3,4.2,Visualization,67.6,12.6,16.0,81.2,6.3,76.7,62.9,75.3,73.1,4.1,5.6,10.5,8.9
EMP1078,ISTP,Introvert,Sensing,Thinking,Perceiving,Operations,Ops,Senior,5.5,2.5,Automation Script,41.5,6.8,23.0,52.5,5.1,66.4,50.9,45.8,47.8,0.8,0.7,8.4,5.1
EMP1079,ENFJ,Extravert,Intuitive,Feeling,Judging,HR,L&D,Senior,6.6,1.7,Automation Script,50.2,23.2,6.0,83.1,4.5,87.1,72.3,42.7,77.5,7.0,2.6,6.5,4.5
EMP1080,ISFP,Introvert,Sensing,Feeling,Perceiving,HR,HRBP,Mid,3.2,2.0,Visualization,64.5,14.6,17.5,74.6,0.6,51.0,62.8,45.5,76.5,2.7,1.6,4.3,13.0
EMP1081,ESFP,Extravert,Sensing,Feeling,Perceiving,R&D,QA,Senior,7.6,3.4,Automation Script,64.1,7.2,21.3,95.0,5.0,75.1,50.5,53.7,84.5,3.2,4.3,8.9,8.5
EMP1082,ESTP,Extravert,Sensing,Thinking,Perceiving,Sales,AE,Mid,4.5,1.4,LLM Chatbot,25.6,17.8,6.0,72.1,8.2,68.1,52.3,34.2,65.2,1.0,0.3,6.3,8.1
EMP1083,INFJ,Introvert,Intuitive,Feeling,Judging,Operations,Supply Ops,Mid,4.4,2.5,Visualization,76.8,8.4,22.5,53.1,1.2,76.4,70.7,37.2,80.0,5.4,0.6,8.2,12.4
EMP1084,ENTP,Extravert,Intuitive,Thinking,Perceiving,HR,HRBP,Senior,7.6,3.3,LLM Chatbot,58.8,17.4,11.9,60.7,8.7,68.5,48.8,55.1,67.8,1.6,2.0,7.2,11.5
EMP1085,ESTJ,Extravert,Sensing,Thinking,Judging,Product,PM,Senior,5.9,3.2,LLM Chatbot,65.9,11.6,15.1,68.1,3.3,98.5,81.1,61.2,85.4,2.7,0.7,6.5,9.1
EMP1086,ESFP,Extravert,Sensing,Feeling,Perceiving,Sales,Account Manager,Junior,1.6,2.5,LLM Chatbot,34.5,17.1,16.1,90.6,5.8,59.0,61.8,45.0,71.6,-0.2,6.6,7.2,13.1
EMP1087,ENFP,Extravert,Intuitive,Feeling,Perceiving,Operations,Finance Ops,Lead,8.1,1.9,Automation Script,72.5,12.5,14.5,74.2,5.0,67.9,58.7,83.0,77.9,8.2,2.4,4.8,11.1
EMP1088,ENFJ,Extravert,Intuitive,Feeling,Judging,HR,L&D,Mid,2.9,2.8,LLM Chatbot,79.5,15.2,15.0,78.0,2.1,81.0,66.2,70.1,86.0,1.7,1.4,3.5,6.3
EMP1089,ISTJ,Introvert,Sensing,Thinking,Judging,Product,Design,Senior,7.8,3.6,Visualization,53.6,10.6,23.2,39.6,4.6,72.5,79.3,57.6,67.3,7.1,2.0,5.1,3.1
EMP1090,ESTP,Extravert,Sensing,Thinking,Perceiving,Product,Design,Junior,1.0,3.7,Visualization,61.6,15.7,12.7,74.0,5.4,79.7,51.0,42.3,59.6,2.3,1.3,8.2,1.3
EMP1091,ISFJ,Introvert,Sensing,Feeling,Judging,Product,PM,Mid,4.4,3.7,Automation Script,55.0,11.0,23.0,70.7,3.3,85.7,91.2,52.1,80.9,6.6,2.5,8.0,4.7
EMP1092,ESTJ,Extravert,Sensing,Thinking,Judging,Marketing,Brand,Junior,1.7,2.1,LLM Chatbot,69.5,15.2,18.7,64.1,4.4,85.3,69.8,35.2,73.1,1.3,0.1,5.8,1.0
EMP1093,ESFP,Extravert,Sensing,Feeling,Perceiving,Product,PM,Junior,1.6,2.5,Visualization,66.0,13.5,9.7,79.2,9.2,71.0,58.0,63.6,79.2,-2.1,3.0,11.4,3.5
EMP1094,ENFJ,Extravert,Intuitive,Feeling,Judging,Sales,AE,Lead,9.4,3.0,Visualization,53.2,18.1,16.1,89.2,6.9,100.0,70.4,62.9,83.8,7.3,4.3,8.0,1.0
EMP1095,ENFJ,Extravert,Intuitive,Feeling,Judging,HR,L&D,Mid,2.5,1.6,LLM Chatbot,76.5,16.9,14.7,90.5,3.4,61.9,68.6,64.5,71.7,4.8,1.5,7.6,4.2
EMP1096,ENTP,Extravert,Intuitive,Thinking,Perceiving,Marketing,Content,Mid,2.6,2.7,Search/Research,73.4,19.5,6.0,83.2,9.3,53.0,27.5,95.0,58.5,1.3,1.1,8.7,6.8
EMP1097,ENFJ,Extravert,Intuitive,Feeling,Judging,Marketing,Growth,Senior,6.2,2.4,Code Assistant,59.6,14.7,15.4,68.1,5.3,68.0,53.1,66.8,86.0,0.7,5.3,12.3,7.2
EMP1098,ESTJ,Extravert,Sensing,Thinking,Judging,Sales,AE,Mid,4.7,2.9,Automation Script,48.8,20.3,20.6,80.4,6.3,52.5,78.6,30.2,78.4,2.8,0.5,5.7,9.4
EMP1099,ENTJ,Extravert,Intuitive,Thinking,Judging,Product,Design,Mid,2.6,4.6,LLM Chatbot,64.3,14.2,17.7,63.1,5.2,75.3,61.8,71.1,68.6,8.3,0.1,9.8,1.1
EMP1100,ISFJ,Introvert,Sensing,Feeling,Judging,Product,Design,Junior,1.1,3.9,LLM Chatbot,68.6,9.6,24.3,57.4,0.0,59.7,95.0,56.7,69.3,6.4,2.4,7.4,8.2
EMP1101,ENTP,Extravert,Intuitive,Thinking,Perceiving,Sales,Account Manager,Mid,3.7,1.5,Code Assistant,62.8,19.9,6.0,78.2,10.0,65.8,45.7,85.7,65.9,-0.9,0.7,7.4,17.1
EMP1102,ENTJ,Extravert,Intuitive,Thinking,Judging,Marketing,Brand,Mid,2.2,2.7,Visualization,73.7,17.4,14.3,75.4,4.5,90.6,69.2,81.3,56.6,6.2,3.1,12.2,5.0
EMP1103,ENFJ,Extravert,Intuitive,Feeling,Judging,R&D,QA,Mid,3.3,3.2,Automation Script,83.6,16.0,14.5,91.4,4.7,79.6,56.0,66.3,79.1,6.1,3.8,9.1,6.6
EMP1104,ISTP,Introvert,Sensing,Thinking,Perceiving,R&D,Frontend,Senior,6.7,3.7,Automation Script,57.2,4.8,18.8,52.4,3.7,73.0,61.1,56.5,63.6,2.2,3.8,6.5,7.1
EMP1105,ISFJ,Introvert,Sensing,Feeling,Judging,R&D,Data,Senior,6.1,4.7,Automation Script,56.1,8.3,28.1,64.0,2.7,90.7,75.8,32.7,78.0,3.6,3.5,8.2,7.8
EMP1106,ENTP,Extravert,Intuitive,Thinking,Perceiving,HR,L&D,Junior,1.9,2.6,Automation Script,34.9,15.3,11.5,63.9,6.1,48.1,53.2,81.9,54.4,3.1,2.7,5.7,11.4
EMP1107,ENFP,Extravert,Intuitive,Feeling,Perceiving,Marketing,Brand,Junior,1.7,2.7,Search/Research,68.9,22.6,11.9,89.5,7.5,62.9,35.6,93.0,67.8,0.5,1.7,7.3,11.9
EMP1108,INFJ,Introvert,Intuitive,Feeling,Judging,Marketing,Growth,Senior,6.2,2.5,Visualization,70.0,17.3,23.9,63.4,5.6,88.3,60.1,84.7,84.0,7.1,1.6,9.3,7.6
EMP1109,ESTP,Extravert,Sensing,Thinking,Perceiving,Operations,Supply Ops,Junior,1.5,2.1,Visualization,61.3,14.4,6.0,64.6,10.0,44.8,67.1,70.6,57.8,2.0,2.0,7.9,11.8
EMP1110,ESFP,Extravert,Sensing,Feeling,Perceiving,R&D,Backend,Mid,2.9,4.0,LLM Chatbot,47.1,12.1,20.1,72.1,7.0,50.5,53.2,70.6,57.2,0.4,9.2,8.5,12.9
EMP1111,ESTP,Extravert,Sensing,Thinking,Perceiving,HR,L&D,Mid,4.3,1.6,LLM Chatbot,71.5,18.7,10.0,61.5,7.7,60.4,67.0,50.0,74.2,0.4,4.3,9.4,9.1
EMP1112,ESTP,Extravert,Sensing,Thinking,Perceiving,Sales,Account Manager,Mid,4.2,2.1,LLM Chatbot,35.4,19.0,14.1,90.9,8.1,63.2,59.7,51.8,56.6,-2.9,3.2,6.3,12.4
EMP1113,ENFJ,Extravert,Intuitive,Feeling,Judging,Marketing,Brand,Senior,6.1,3.6,LLM Chatbot,46.6,15.0,18.1,77.1,5.9,91.3,61.1,71.3,74.8,5.3,1.2,12.3,7.4
EMP1114,ISFJ,Introvert,Sensing,Feeling,Judging,Sales,SDR,Mid,4.4,2.9,Search/Research,48.0,22.2,12.0,66.7,3.1,70.9,83.4,55.1,85.5,5.7,0.9,6.4,5.5
EMP1115,ISTP,Introvert,Sensing,Thinking,Perceiving,Product,Design,Lead,10.2,3.6,Search/Research,63.4,17.1,19.1,58.0,3.7,37.5,51.1,64.8,55.1,3.8,3.9,9.1,12.9
EMP1116,INFP,Introvert,Intuitive,Feeling,Perceiving,Operations,Ops,Senior,7.5,2.2,Search/Research,64.1,12.3,13.2,73.6,6.3,25.8,53.5,78.0,53.1,-4.2,4.4,8.8,11.4
EMP1117,INFJ,Introvert,Intuitive,Feeling,Judging,Marketing,Growth,Lead,9.9,3.3,Visualization,71.8,13.2,24.7,55.4,2.8,82.2,71.5,66.5,74.5,5.1,3.3,9.0,9.8
EMP1118,INTJ,Introvert,Intuitive,Thinking,Judging,Product,PM,Mid,4.8,4.9,Visualization,56.6,10.8,26.3,61.9,1.6,88.9,77.6,71.2,69.1,7.4,1.7,9.2,5.6
EMP1119,INFP,Introvert,Intuitive,Feeling,Perceiving,HR,HRBP,Senior,7.4,1.7,Code Assistant,52.6,17.7,14.9,69.8,6.6,45.9,45.3,85.1,65.0,2.8,0.9,7.9,7.4
EMP1120,ENTP,Extravert,Intuitive,Thinking,Perceiving,Operations,Ops,Junior,0.3,2.1,Automation Script,59.2,11.8,15.0,80.8,7.2,43.4,52.5,59.9,62.8,1.4,0.5,11.6,12.5
