,,,成分,,,,,工艺,,,,,,可以不用预测,性能,,
,,,94.28,0,1.06,4.66,0,350,24,350,20,0,0,294.8,208.1,24.3,
,,,93.91659531,0,3.505507725,2.577896965,0,540,15,330,26.9,0,0,282,192,24,
,,,94.28,0,1.06,4.66,0,350,24,300,20,0,0,297.9,215.3,23.3,
,,,97,0,3,0,0,520,20,450,25,0,0,237,117,23.2,
,,,95.4,0,4.6,0,0,560,8,300,16,0,0,214,173.2,22.8,
,,,93.65 ,4.25,0,1.53,0.57,0,0,450,30,0,0,196.4,273.8,22.6,
,,,92.73,0,0.96,5.94,0.37,400,29,450,25,0,0,325.1,247.1,22.3,
,,,99.1,0.4,0,0,0.5,0,0,0,0,0,0,144.6,52.2,22.1,
,,,86.50 ,11,1,1,0.5,480,16,0,0,0,0,121,150,21.5,
,,,90.23 ,7.89,1.43,0,0.45,520,24,470,9,0,0,176,281,21.1,
,,,90.7,0,3.59,5.3,0.41,400,29,450,25,0,0,330.2,292.4,20.7,
,,,86.06,9.27,0,4.23,0.44,430,12,400,15,0,0,265,196,20.6,
,,,95.60 ,2,1.2,1,0.2,500,12,0,0,200,0,149,283,20.6,
,,,97.46,0,0,2.54,0,400,24,265,14,0,0,246,149,20.4,
,,,88.9,0,4.4,6.1,0.6,400,29,450,11,0,0,283,243,20.3,
Wang 等 - 2012 - Influence of the morphology of long-period stacking ordered phase on the mechanical properties of as.txt,10.1016/j.msea.2012.06.059,Mg–5Zn–5Y–0.6Zr,89.4,0,5,5,0.6,0,0,450,11,0,0,271,335,20.3,~7.6 µm
,,,93.13,0,0,6.31,0.56,400,24,400,16,0,0,340,272,20,
Liu - Effects of heat treatment on mechanical properties of an extruded Mg-4.3Gd-3.2Y-1.2Zn-0.5Zr alloy an.txt,10.1016/j.jma.2020.09.023,Mg-4.3Gd-3.2Y-1.2Zn-0.5Zr,90.8,4.3,3.2,1.2,0.5,0,0,380,36,200,52,303,351,20,2.8 μm
,,,94.65,0,0,5.35,0,400,24,265,14,0,0,299.4,188.5,19.9,
"Li 等 - 2011 - Development of high-strength magnesium alloys via combined processes of extrusion, rolling and agein.txt",10.1016/j.scriptamat.2011.01.042,Mg–14Gd–0.5Zr,85.5,14,0,0,0.5,505,24,505,28,0,0,190,295,19.5,20 μm
,,,93.5,0,0,6.01,0.49,400,29,450,25,0,0,315,210.3,19.3,
Zhang 等 - 2015 - Effects of phase composition and content on the microstructures and mechanical properties of high st.txt,10.1016/j.matdes.2015.09.087,Mg–12Y–3Zn–0.6Zr,84.4,0,12,3,0.6,0,0,0,0,0,0,200,316,19,not reported
,,,93,0,1,6,0,420,12,350,16,0,0,264.27,169.18,18.97,
,,,84.02,0,2.95,13.03,0,350,24,350,20,0,0,322.9,203.7,18.9,
,,,98.05,0,0.36,1.59,0,350,24,300,20,0,0,302.5,281.9,18.9,
2019 - Effect of Zn content on the microstructure and mechanical properties of Mg-Gd-Y-Zr alloys.txt,10.1016/j.msea.2018.12.088,Mg-10.5Gd-5Y-0.5Zr-0Zn,84,10.5,5,0,0.5,520,12,400,0,0,0,237,391,18.9,
,,,84.00 ,10.5,5,0,0.5,520,12,400,16,0,0,237,391,18.9,
Liu - Effects of heat treatment on mechanical properties of an extruded Mg-4.3Gd-3.2Y-1.2Zn-0.5Zr alloy an.txt,10.1016/j.jma.2020.09.023,Mg-4.3Gd-3.2Y-1.2Zn-0.5Zr,90.8,4.3,3.2,1.2,0.5,0,0,380,36,0,0,195,287,18.5,9.2 µm
,,,95.8,0,0.6,3,0.6,0,0,0,0,0,0,205.9243,155.0373,18.4975,
,,,94.75,0,0.75,4.5,0,420,12,350,16,0,0,256.34,159.9,18.22,
,,,90.04,0,4.74,4.61,0.61,400,29,450,25,0,0,345.2,323.5,18.1,
,,,90.1,0,4.7,4.6,0.6,400,29,450,11,0,0,344.6,321.5,18.1,
,,,81.43740929,0,3.412203968,15.15038674,0,400,10,250,10,0,0,321,213,18,
,,,86.97701301,0,2.679202469,10.34378452,0,400,10,250,10,0,0,297,197,18,
Zheng 等 - 2011 - Microstructures and mechanical properties of Mg–10Gd–6Y–2Zn–0.6Zr(wt.%) alloy.txt,10.1016/j.jallcom.2011.06.090,Mg–10Gd–6Y–2Zn–0.6Zr,81.4,10,6,2,0.6,520,16,480,20,0,0,270,360,18,4.7 µm
,,,92,0,1.5,6,0.5,400,18,350,10,180,48,334.7,289.6,17.9,
,,,85.33 ,10.05,3.05,0.98,0.59,520,8,0,0,0,0,162,254,17.8,
,,,93.95,0.91,0,5.14,0,400,24,420,14,0,0,275.3,180.3,17.7,
,,,87,8.8,3.1,0.6,0.5,520,10,250,16,0,0,297,208,17.6,
,,,96.5,0,0.5,3,0,420,12,350,16,0,0,232.06,134.13,17.43,
,,,94.65,0,0,5.35,0,400,24,400,14,0,0,277,183,17.4,
,,,97.46,0,0,2.54,0,400,24,400,14,0,0,234,149,17.4,
,,,91.7,0,5.1,2.6,0.6,400,29,450,11,0,0,290.4,233.6,17.1,
,,,88.50 ,5.5,4.4,1.1,0.5,510,36,400,36,0,0,284,338,17,
,,,92,0,1.5,6,0.5,400,18,400,10,180,48,327.4,276.5,16.9,
,,,92.67,0,0.8,5.94,0.59,400,48,300,8.34,0,0,289.9,193.6,16.8,
,,,83.35 ,10.5,5,0.65,0.5,520,12,400,16,0,0,284,421,16.8,
,,,90.64926713,0,6.836868439,2.513864435,0,0,0,366,10,0,0,333,263,16.7,
,,,93.61,0,0,5.65,0.74,0,0,390,10,0,0,316.5,213.1,16.3,
She 等 - 2019 - Development of high strength and ductility in Mg–2Zn extruded alloy by high content Mn-alloying.txt,10.1016/j.msea.2019.138203,Mg–2Zn,98,0,0,2,0,0,0,280,0,0,0,173,255,16,~20 µm
,,,91.01 ,6.02,2.97,0,0,520,12,450,10,0,0,170,262,16,
,,,85.78 ,10.1,2.98,0.53,0.61,520,8,0,0,0,0,160,248,16,
,,,93.95,0.91,0,5.14,0,400,24,280,14,0,0,287.2,191.2,15.8,
,,,96,0,0,4,0,0,0,0,0,0,0,216.8,58,15.8,
,,,84.77 ,10.06,2.98,1.58,0.61,520,8,0,0,0,0,158,246,15.8,
,,,94.58,0,1.31,4.11,0,0,0,0,0,0,0,160.78,85.46,15.74,
,,,93.56,0,0,5.97,0.47,0,0,320,18,200,12,355,326,15.6,
,,,92,0,1.5,6,0.5,400,18,300,10,180,48,337.7,290,15.5,
,,,85.44 ,8.97,4.23,0.92,0.44,520,12,400,9,0,0,355,421,15.4,
,,,93.46 ,6.09,0,0,0.45,475,10,0,0,0,0,96.4,180.5,15.4,
,,,93.95,0.91,0,5.14,0,400,24,400,14,0,0,279.2,185.2,15.3,
He 等 - 2007 - Microstructure and strengthening mechanism of high strength Mg–10Gd–2Y–0.5Zr alloy.txt,10.1016/j.jallcom.2006.03.089,Mg–10Gd–2Y–0.5Zr,87.5,10,2,0,0.5,0,0,400,9.3,225,10,311,403,15.3,7 µm
,,,90.46 ,5.3,4.11,0,0.13,0,0,430,25,0,0,172.7,272.69,15.25,
,,,82.80 ,10.5,5,1.2,0.5,520,12,400,16,0,0,285,424,15.2,
,,,95.8,0,0.6,3,0.6,350,8,0,0,0,0,222.1748,156.1548,15.0525,
,,,92.78,0,1.4,5.15,0.67,0,0,380,16,0,0,351,302,15,
,,,86.98,0,2.68,10.34,0,0,0,400,10,0,0,330,262,15,
,,,87.10 ,8.1,4.5,0,0.3,0,0,400,25,0,0,245,331,15,
,,,85.38,11.4,0,2.77,0.45,430,12,400,15,0,0,338,230,14.9,
,,,96.5,0,0.5,3,0,420,12,350,32,0,0,308.22,223.64,14.87,
Li 等 - 2013 - Enhanced strength and ductility of Mg–Gd–Y–Zr alloys by secondary extrusion.txt,10.1016/j.jma.2013.02.006,Mg-12Gd-3Y-0.6Zr,84.4,12,3,0,0.6,525,10,430,16,0,0,298,405,14.8,3 µm
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-8.2Gd-3.8Y-1Zn-0.4Zr,86.6,8.2,3.8,1,0.4,510,12,400,10,0,0,379,442,14.7,
,,,86.60 ,8.2,3.8,1,0.4,510,12,400,10,0,0,379,442,14.7,
,,,92,0,1.5,6,0.5,400,18,400,10,0,0,327.1,257.6,14.6,
,,,94.26,0,0.67,5.07,0,400,24,300,14,0,0,287.9,190.9,14.6,
,,,93.52,0,0,5.91,0.57,0,0,320,8,0,0,362,315,14.5,
,,,92.50 ,3,4,0,0.5,500,6,0,0,225,16,102,189,14.5,
,,,93,0,1,6,0,420,12,350,32,0,0,336.68,237.54,14.46,
,,,86.60 ,10,3,0,0.4,520,6,0,0,0,0,131,247,14.4,
,,,87,8.8,3.1,0.6,0.5,520,10,250,16,200,126,407,320,14.3,
,,,89.1,8.44,2.29,0,0.17,500,12,400,12,0,0,342,287,14.2,
2019 - Effect of trace zinc on the microstructure and mechanical properties of extruded Mg-Gd-Y-Zr alloy.txt,10.1016/j.jallcom.2019.03.066,Mg-8.5Gd-2.5Y-0.3Zr,88.7,8.5,2.5,0,0.3,500,12,400,12,0,0,287,342,14.2,36 µm (pre-heated state)
,,,89.10 ,8.44,2.29,0,0.17,0,0,400,12,0,0,287,342,14.2,
,,,87.00 ,10.5,1,1,0.5,480,16,0,0,0,0,172,234,14.1,
,,,93.5,0,0,6,0.5,0,0,300,7,0,0,382,342,14,
,,,85.90 ,8.5,4.5,0.7,0.4,0,0,400,25,0,0,305,369,14,
,,,90.03 ,6.47,3.35,0.15,0,540,24,400,18,0,0,160,352,14,
,,,89.20 ,9.5,0,0.9,0.4,515,24,0,0,0,0,139,240,14,
,,,91.81 ,6.8,0.89,0,0.5,475,10,0,0,0,0,112.6,192.5,14,
,,,93.56,0,0,5.97,0.47,0,0,320,18,180,25.5,366,342,13.9,
,,,95,0,5,0,0,530,8,300,9,0,0,290.2,249.4,13.9,
,,,86.00 ,10.5,2,1,0.5,460,12,0,0,0,0,149,208,13.9,
,,,94.75,0,0.75,4.5,0,420,12,350,32,0,0,319.95,226.54,13.86,
,,,91.50 ,3,4,1,0.5,500,12,0,0,0,0,108,216,13.8,
,,,87.8,4.91,0,6.87,0.42,430,12,400,15,0,0,350,285,13.6,
,,,91.50 ,3,4,1,0.5,500,14,0,0,225,28,120,216,13.6,
,,,92.86 ,6.21,0.43,0,0.5,475,10,0,0,0,0,109.1,185.8,13.5,
,,,95.2,0,1,3.8,0,0,0,350,12.75,0,0,353.6,265.9,13.4,
,,,93.11,0,1.05,5.84,0,0,0,0,0,0,0,294.69,103.19,13.33,
,,,89.98,0,3.69,5.47,0.86,0,0,390,10,0,0,316.3,218.4,13.3,
,,,94.26,0,0.67,5.07,0,400,24,420,14,0,0,286.9,210.9,13,
,,,80,20,0,0,0,0,0,0,0,0,0,254,254,13,
Liu 等 - 2008 - Effects of ageing treatment on microstructures and properties of Mg–Gd–Y–Zr alloys with and without.txt,10.1016/j.jallcom.2007.10.042,Mg–10Gd–3Y–0.5Zr,86.5,10,3,0,0.5,0,0,400,8,0,0,192,290,13,
,,,85.84 ,10.4,3.3,0,0.46,500,6,400,8,0,0,192,290,13,
,,,87,8.8,3.1,0.6,0.5,520,10,250,16,200,100,422,340,12.9,
He 等 - 2007 - Microstructure and strengthening mechanism of high strength Mg–10Gd–2Y–0.5Zr alloy.txt,10.1016/j.jallcom.2006.03.089,Mg–10Gd–2Y–0.5Zr,87.5,10,2,0,0.5,0,0,350,9.3,225,10,331,397,12.8,4 µm
,,,91.50 ,3,4,1,0.5,500,14,0,0,200,36,124,226,12.8,
,,,87.50 ,10,1,1,0.5,480,16,0,0,200,24,140,158,12.8,
,,,94.26,0,0.67,5.07,0,400,24,400,14,0,0,285.1,196.2,12.6,
,,,93.56,0,0,5.97,0.47,0,0,320,18,0,0,362,317,12.5,
,,,91.83,0,1.72,5.72,0.73,0,0,390,10,0,0,344.9,231,12.4,
,,,91.04,0,2.57,5.57,0.82,0,0,390,10,0,0,333.1,231,12.4,
Park 等 - 2014 - Effects of extrusion parameters on the microstructure and mechanical properties of Mg–Zn–(Mn)–CeGd.txt,10.1016/j.msea.2014.01.074,Mg–2Zn–1.5Gd,96.5,1.5,0,2,0,520,12,0,7.35,0,0,187,257,12.3,7.0 µm
,,,86.60 ,7,5,0.6,0.8,520,10,0,0,0,0,149,269.9,12.3,
,,,98,0,0,2,0,0,0,0,0,0,0,145,27,12.23,
,,,90.64926643,0,6.836869155,2.513864416,0,0,0,0,0,0,0,201,76,12.2,
,,,87.00 ,10.5,1,1,0.5,460,12,0,0,0,0,153,210,12.2,
,,,88.88 ,6,3,1.5,0.62,500,5,0,0,0,0,139,224,12.1,
,,,93.13,0,0,6.31,0.56,400,24,300,16,0,0,352,286,12,
,,,81.61,0,3.22,15.17,0,0,0,400,10,0,0,335,252,12,
,,,91.3,0,2.3,5.82,0.58,400,48,300,8.34,0,0,311,230.8,12,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-5Y-5Zn-0.6Zr,89.4,0,5,5,0.6,400,29,500,89,0,0,380,412,12,
,,,92.40 ,6,0,1,0.6,0,0,0,0,0,0,127,220,12,
,,,90.89,0,2.99,6.12,0,0,0,0,0,0,0,279,129,11.9,
,,,89.89 ,6.51,3.1,0,0.5,475,10,0,0,0,0,136.2,211,11.9,
,,,93.56,0,0,5.97,0.47,0,0,360,18,200,12,377,353,11.8,
,,,92.03,0,1.5,5.88,0.59,400,48,300,8.34,0,0,295.6,216.6,11.8,
,,,93.4,0,0,6,0.6,400,48,300,8.34,0,0,268.8,161.2,11.8,
Wang 等 - 2012 - Influence of the morphology of long-period stacking ordered phase on the mechanical properties of as.txt,10.1016/j.msea.2012.06.059,Mg–5Zn–5Y–0.6Zr,89.4,0,5,5,0.6,0,0,500,89,0,0,380,412,11.8,~4.0 µm
,,,86.00 ,10.5,2,1,0.5,480,16,0,0,200,24,166,220,11.8,
,,,86.50 ,11,1,1,0.5,480,16,0,0,200,24,167,218,11.8,
,,,93.56,0,0,5.97,0.47,0,0,360,18,200,38,361,337,11.7,
Park 等 - 2014 - Effects of extrusion parameters on the microstructure and mechanical properties of Mg–Zn–(Mn)–CeGd.txt,10.1016/j.msea.2014.01.074,Mg–2Zn–1.5Gd,96.5,1.5,0,2,0,520,12,0,7.35,0,0,215,266,11.7,5.6 µm
,,,86.60 ,7,5,0.6,0.8,520,10,0,0,210,0.5,149.8,267.5,11.7,
,,,91,0,3,6,0,0,0,350,12.75,0,0,353.6,223,11.5,
,,,91.86,0,1.7,5.85,0.59,400,48,300,8.34,0,0,304.7,216.7,11.5,
,,,93.56,0,0,5.97,0.47,0,0,360,18,180,25.5,378,358,11.3,
,,,84.02,0,2.95,13.03,0,350,24,300,20,0,0,335.5,236.1,11.3,
,,,96.4,0,1,2,0.6,0,0,0,0,0,0,174,124.7,11.3,
,,,93.56,0,0,5.97,0.47,0,0,290,18,0,0,371,338,11.1,
,,,99,0,1,0,0,530,8,300,9,0,0,273.2,237.7,11.1,
,,,96.53,0.94,0,2.53,0,400,24,500,14,0,0,262.6,210.9,11.1,
,,,86.50 ,10,2,1,0.5,480,16,0,0,0,0,172,221,11.1,
,,,93.56,0,0,5.97,0.47,0,0,360,18,200,24,378,355,11,
,,,92.59,0,0.92,5.69,0.8,0,0,390,10,0,0,325.2,216.3,11,
2008 - Effects of ageing treatment on microstructures and properties of Mg–Gd–Y–Zr alloys with and without.txt,10.1016/j.jallcom.2007.10.047,Mg–10Gd–3Y–0.5Zr-1Zn,85.5,10,3,1,0.5,0,0,400,8,0,0,231,347,11,
,,,87.00 ,8,4,1,0,520,14,430,21.8,0,0,303,373,11,
,,,85.48 ,9.8,3.2,1.1,0.42,500,10,400,8,0,0,231,347,11,
,,,84.50 ,12,3,0,0.5,500,8,0,0,0,0,195.7,239.6,11,
,,,90.09630037,0,6.807093794,2.502916244,0.593689589,0,0,0,0,0,0,236.8,138.9,10.9,
,,,92.42,0,1.65,5.26,0.67,0,0,320,18,0,0,392,362,10.8,
,,,92,0,1.5,6,0.5,400,18,350,10,0,0,337.7,278.4,10.8,
,,,93.23,0,0.2,5.97,0.6,400,48,300,8.34,0,0,277.7,187.1,10.8,
Yu 等 - 2017 - Effects of pre-annealing on microstructure and mechanical properties of as-extruded Mg-Gd-Y-Zn-Zr al.txt,10.1016/j.jallcom.2017.09.214,Mg-11.5Gd-4.5Y-1.5Zn-0.4Zr,82.1,11.5,4.5,1.5,0.4,520,48,420,10,0,0,377,442,10.8,
,,,85.24 ,9.85,2.94,1.57,0.4,520,8,0,0,0,0,155,236,10.8,
,,,82.20 ,10.5,5,1.8,0.5,520,12,400,16,0,0,297,404,10.7,
,,,91.50 ,3,4,1,0.5,0,0,0,0,0,0,115,201,10.7,
,,,90.46 ,5.3,4.11,0,0.13,0,0,430,25,200,12,192.8,296.7,10.67,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-8.2Gd-3.8Y-1Zn-0.4Zr,86.6,8.2,3.8,1,0.4,510,12,400,10,200,40,462,520,10.6,
,,,86.60 ,8.2,3.8,1,0.4,510,12,400,10,200,40,462,520,10.6,
,,,83.08 ,11.71,4.9,0,0.31,520,48,480,10,0,0,317,388,10.6,
,,,92.72,0,1.17,5.43,0.68,0,0,390,10,0,0,342.5,237.3,10.5,
,,,86.25 ,9.02,2.83,1.4,0.5,430,12,350,12,0,0,261,350,10.5,
,,,85.36 ,10.25,1.06,2.78,0.55,0,0,0,0,0,0,69.6,115.7,10.47,
,,,94.94,0,1.47,3.59,0,0,0,0,0,0,0,240.69,90.1,10.35,
,,,88.03,8.5,2.58,0.5,0.39,500,12,400,12,0,0,392,330,10.3,
,,,93.56,0,0,5.97,0.47,0,0,320,18,200,38,367,336,10.3,
2019 - Effect of trace zinc on the microstructure and mechanical properties of extruded Mg-Gd-Y-Zr alloy.txt,10.1016/j.jallcom.2019.03.066,Mg-8.5Gd-2.5Y-0.5Zn-0.3Zr,88.2,8.5,2.5,0.5,0.3,500,12,400,12,0,0,330,392,10.3,53 µm (pre-heated state)
,,,96.28 ,1.92,1.17,0.48,0.15,510,8,400,10,0,0,361,420,10.3,
,,,87.98 ,8.5,2.58,0.55,0.39,0,0,400,12,0,0,330,392,10.3,
,,,87.98 ,8.5,2.58,0.55,0.39,500,12,400,12,0,0,330,392,10.3,
,,,89.10 ,7.33,3.57,0,0,520,12,450,10,0,0,210,295,10.3,
,,,92,0,1.5,6,0.5,400,18,300,10,0,0,342,284.8,10.2,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-12Gd-3Y-0.6Zr,84.4,12,3,0,0.6,525,10,430,16,225,12,350,446,10.2,
Li 等 - 2013 - Enhanced strength and ductility of Mg–Gd–Y–Zr alloys by secondary extrusion.txt,10.1016/j.jma.2013.02.006,Mg-12Gd-3Y-0.6Zr,84.4,12,3,0,0.6,525,10,430,16,225,12,350,446,10.2,3 µm
,,,93.56,0,0,5.97,0.47,0,0,360,18,0,0,367,332,10,
,,,98.99,0,1.01,0,0,0,0,0,0,0,0,75,25,10,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-15Gd-1Zn-0.4Zr,83.6,15,0,1,0.4,520,12,490,9,0,0,359,423,10,
,,,86.60 ,8.2,3.8,1,0.4,540,4,400,11,200,50,322,500,10,
,,,96.44,0,0.88,2.68,0,400,24,450,14,0,0,286.6,239.7,9.97,
,,,85.50 ,11,2,1,0.5,460,12,0,0,0,0,169,212,9.9,
,,,92.3,0,1.2,5.91,0.59,400,48,300,8.34,0,0,287.3,208.9,9.8,
,,,90.46 ,5.3,4.11,0,0.13,0,0,430,25,200,24,199.7,306.7,9.72,
,,,93.56,0,0,5.97,0.47,0,0,305,18,180,72,383,368,9.6,
,,,87,8.8,3.1,0.6,0.5,520,10,250,16,200,63,430,375,9.5,
,,,84.50 ,12,3,0,0.5,475,8,0,0,0,0,230.2,267.5,9.4,
,,,85.54 ,9.53,3.24,1.69,0,520,8,0,0,0,0,143,219,9.4,
,,,91.51 ,5.25,2.73,0,0.51,0,0,0,0,0,0,121,172,9.39,
,,,93.56,0,0,5.97,0.47,0,0,320,18,200,24,375,347,9.3,
,,,82.29 ,11.49,4.31,1.53,0.38,520,48,480,10,0,0,317,392,9.3,
,,,93.56,0,0,5.97,0.47,0,0,305,18,200,24,391,370,9.2,
,,,93.56,0,0,5.97,0.47,0,0,305,18,0,0,368,338,9.2,
,,,96.53,0.94,0,2.53,0,400,24,400,14,0,0,284.8,236,9.2,
,,,84.50 ,12,3,0,0.5,0,0,0,0,230,20,449.5,533.3,9.2,
,,,97.82 ,1.02,0.97,0.19,0,500,24,430,11,0,0,291,380,9.2,
,,,88.50 ,5.5,4.4,1.1,0.5,510,36,400,7.1,0,0,255,338,9.2,
,,,93.56,0,0,5.97,0.47,0,0,305,18,200,48,381,360,9.1,
,,,92.50 ,3,4,0,0.5,480,10,0,0,225,20,128,218,9.1,
,,,86.20037978,0,8.933357352,4.866262867,0,0,0,0,0,0,0,265,120,9,
Liu 等 - 2008 - Effects of ageing treatment on microstructures and properties of Mg–Gd–Y–Zr alloys with and without.txt,10.1016/j.jallcom.2007.10.042,Mg–10Gd–3Y–0.5Zr,86.5,10,3,0,0.5,480,6,400,8,225,40,261,383,9,
Dong 等 - 2022 - Microstructure evolution and mechanical properties of industrial scale samples of Mg–Gd–Y–Zn–Zr allo.txt,10.1016/j.jmrt.2022.10.038,Mg–9Gd–3Y–2Zn–0.4Zr,85.6,9,3,2,0.4,520,9,0,0,0,0,242,357,9,12.7 µm
Zhen 等 - 2013 - Effect of heat treatment on the microstructures and mechanical properties of the extruded Mg–11Gd–1Z.txt,10.1016/j.jallcom.2012.08.044,Mg–11Gd–1Zn,88,11,0,1,0,0,0,430,0,0,0,191,335,9,
,,,86.60 ,8,4,1,0.4,520,12,400,25,200,72,382,444,8.8,
,,,92.53 ,7,0,0,0.47,525,6,0,0,225,10,213,288,8.7,
,,,87.50 ,9,2,1,0.5,480,16,0,0,200,24,139,183,8.5,
,,,96.7901,0,1.549,1.217,0.4439,450,10,0,0,0,0,139,85,8.4,
,,,84.50 ,12,3,0,0.5,0,0,0,0,230,8,424.5,462.7,8.4,
,,,86.60 ,7,5,0.6,0.8,520,10,0,0,210,20,156.4,277.6,8.4,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-11.5Gd-4.5Y-1.5Zn0.4Zr,82.1,11.5,4.5,1.5,0.4,520,48,420,10,0,0,387,453,8.3,
Wang 等 - 2012 - Influence of the morphology of long-period stacking ordered phase on the mechanical properties of as.txt,10.1016/j.msea.2012.06.059,Mg–5Zn–5Y–0.6Zr,89.4,0,5,5,0.6,0,0,480,25,0,0,353,376,8.3,~3.7 µm
,,,82.10 ,11.5,4.5,1.5,0.4,520,48,420,10,0,0,387,453,8.3,
,,,82.10 ,11.5,4.5,1.5,0.4,535,24,410,13,200,72,387,453,8.3,
,,,97.01 ,1,1.02,0.97,0,0,0,430,11,0,0,175,306,8.3,
,,,90.46 ,5.3,4.11,0,0.13,0,0,0,0,0,0,133.7,228.35,8.3,
,,,92.42,0,1.65,5.26,0.67,0,0,305,32,0,0,401,371,8.2,
,,,97.42 ,1.03,0.97,0.58,0,500,24,430,11,0,0,237,339,8.2,
,,,90.46 ,5.3,4.11,0,0.13,0,0,430,25,200,64,275,405,8.12,
,,,85.90 ,8.5,4.5,0.7,0.4,0,0,400,25,200,28,378,468,8.1,
,,,87.50 ,9,2,1,0.5,460,12,0,0,0,0,119,161,8.1,
,,,85.36 ,10.25,1.06,2.78,0.55,0,0,0,0,225,16,124,181.8,8.07,
,,,87.54031962,0,10.00674456,2.452935823,0,500,10,350,10,0,0,406.3,341.1,8,
