产品名称,年份,厂家,规格,终端类型,销售额
丙硫氧嘧啶片,2023,德国海默尼药业,50mg,乡镇卫生,40000
丙硫氧嘧啶片,2023,精华制药集团,50mg,乡镇卫生,30000
丙硫氧嘧啶片,2024,上海朝晖药业,50mg,乡镇卫生,550000
丙硫氧嘧啶片,2024,广州康和药业,50mg,乡镇卫生,520000
丙硫氧嘧啶片,2024,德国海默尼药业,50mg,乡镇卫生,40000
丙硫氧嘧啶片,2024,精华制药集团,50mg,乡镇卫生,40000
丙硫氧嘧啶片,2025,上海朝晖药业,50mg,乡镇卫生,250000
丙硫氧嘧啶片,2025,广州康和药业,50mg,乡镇卫生,410000
丙硫氧嘧啶片,2025,德国海默尼药业,50mg,乡镇卫生,20000
丙硫氧嘧啶片,2025,精华制药集团,50mg,乡镇卫生,20000
丙硫氧嘧啶片,2013,湖南汉森制药,100mg,乡镇卫生,236730
丙硫氧嘧啶片,2014,湖南汉森制药,100mg,乡镇卫生,95121
丙硫氧嘧啶片,2015,湖南汉森制药,100mg,乡镇卫生,215
丙硫氧嘧啶片,2013,Hemony,50mg,县级公立,4397173
丙硫氧嘧啶片,2013,上海朝晖药业,50mg,县级公立,2332300
丙硫氧嘧啶片,2013,广东华南药业集团,50mg,县级公立,1766623
丙硫氧嘧啶片,2013,广州康和药业,50mg,县级公立,237095
丙硫氧嘧啶片,2013,深圳中联制药,50mg,县级公立,205315
丙硫氧嘧啶片,2013,湖南迪诺制药,50mg,县级公立,417072
丙硫氧嘧啶片,2013,精华制药集团,50mg,县级公立,726444
丙硫氧嘧啶片,2014,Hemony,50mg,县级公立,4916748
丙硫氧嘧啶片,2014,上海朝晖药业,50mg,县级公立,2474248
丙硫氧嘧啶片,2014,国药控股星鲨制药(厦门),50mg,县级公立,139154
丙硫氧嘧啶片,2014,广东华南药业集团,50mg,县级公立,597161
丙硫氧嘧啶片,2014,广州康和药业,50mg,县级公立,1356261
丙硫氧嘧啶片,2014,深圳中联制药,50mg,县级公立,97137
丙硫氧嘧啶片,2014,湖南迪诺制药,50mg,县级公立,95180
丙硫氧嘧啶片,2014,精华制药集团,50mg,县级公立,1788271
丙硫氧嘧啶片,2014,苏州东瑞制药,50mg,县级公立,20151
丙硫氧嘧啶片,2015,Hemony,50mg,县级公立,1475311
丙硫氧嘧啶片,2015,上海朝晖药业,50mg,县级公立,2285878
丙硫氧嘧啶片,2015,上药信谊药厂,50mg,县级公立,4356
丙硫氧嘧啶片,2015,国药控股星鲨制药(厦门),50mg,县级公立,80682
丙硫氧嘧啶片,2015,广东华南药业集团,50mg,县级公立,121103
丙硫氧嘧啶片,2015,广州康和药业,50mg,县级公立,1889503
丙硫氧嘧啶片,2015,深圳中联制药,50mg,县级公立,23357
丙硫氧嘧啶片,2015,湖南迪诺制药,50mg,县级公立,35638
丙硫氧嘧啶片,2015,精华制药集团,50mg,县级公立,3651311
丙硫氧嘧啶片,2015,苏州东瑞制药,50mg,县级公立,44704
丙硫氧嘧啶片,2016,Hemony,50mg,县级公立,754607
丙硫氧嘧啶片,2016,上海朝晖药业,50mg,县级公立,3793100
丙硫氧嘧啶片,2016,上药信谊药厂,50mg,县级公立,4092
丙硫氧嘧啶片,2016,国药控股星鲨制药(厦门),50mg,县级公立,21365
丙硫氧嘧啶片,2016,广东华南药业集团,50mg,县级公立,190922
丙硫氧嘧啶片,2016,广州康和药业,50mg,县级公立,2008834
丙硫氧嘧啶片,2016,湖南迪诺制药,50mg,县级公立,83868
丙硫氧嘧啶片,2016,精华制药集团,50mg,县级公立,2147880
丙硫氧嘧啶片,2016,苏州东瑞制药,50mg,县级公立,37586
丙硫氧嘧啶片,2017,Hemony,50mg,县级公立,1058196
丙硫氧嘧啶片,2017,上海朝晖药业,50mg,县级公立,4254236
丙硫氧嘧啶片,2017,上药信谊药厂,50mg,县级公立,4034
丙硫氧嘧啶片,2017,国药控股星鲨制药(厦门),50mg,县级公立,21348
丙硫氧嘧啶片,2017,广东华南药业集团,50mg,县级公立,202988
丙硫氧嘧啶片,2017,广州康和药业,50mg,县级公立,2141172
丙硫氧嘧啶片,2017,深圳中联制药,50mg,县级公立,5652
丙硫氧嘧啶片,2017,湖南迪诺制药,50mg,县级公立,66179
丙硫氧嘧啶片,2017,精华制药集团,50mg,县级公立,2117624
丙硫氧嘧啶片,2017,苏州东瑞制药,50mg,县级公立,40316
丙硫氧嘧啶片,2018,Hemony,50mg,县级公立,829367
丙硫氧嘧啶片,2018,上海朝晖药业,50mg,县级公立,5446844
丙硫氧嘧啶片,2018,上药信谊药厂,50mg,县级公立,4182
丙硫氧嘧啶片,2018,国药控股星鲨制药(厦门),50mg,县级公立,21830
丙硫氧嘧啶片,2018,广东华南药业集团,50mg,县级公立,223232
丙硫氧嘧啶片,2018,广州康和药业,50mg,县级公立,2224326
丙硫氧嘧啶片,2018,湖南迪诺制药,50mg,县级公立,3604
丙硫氧嘧啶片,2018,精华制药集团,50mg,县级公立,2401053
丙硫氧嘧啶片,2018,苏州东瑞制药,50mg,县级公立,69832
丙硫氧嘧啶片,2019,Hemony,50mg,县级公立,1346904
丙硫氧嘧啶片,2019,上海朝晖药业,50mg,县级公立,4707758
丙硫氧嘧啶片,2019,广东华南药业集团,50mg,县级公立,50578
丙硫氧嘧啶片,2019,广州康和药业,50mg,县级公立,2097032
丙硫氧嘧啶片,2019,精华制药集团,50mg,县级公立,1631646
丙硫氧嘧啶片,2019,苏州东瑞制药,50mg,县级公立,314882
丙硫氧嘧啶片,2020,Hemony,50mg,县级公立,1370271
丙硫氧嘧啶片,2020,上海朝晖药业,50mg,县级公立,4531954
丙硫氧嘧啶片,2020,广州康和药业,50mg,县级公立,2050066
丙硫氧嘧啶片,2020,精华制药集团,50mg,县级公立,1173567
丙硫氧嘧啶片,2021,Hemony,50mg,县级公立,1996486
丙硫氧嘧啶片,2021,上海朝晖药业,50mg,县级公立,5932708
丙硫氧嘧啶片,2021,广东华南药业集团,50mg,县级公立,3540
丙硫氧嘧啶片,2021,广州康和药业,50mg,县级公立,4049441
丙硫氧嘧啶片,2021,精华制药集团,50mg,县级公立,1855375
丙硫氧嘧啶片,2022,上海朝晖药业,50mg,县级公立,7230000
丙硫氧嘧啶片,2022,广州康和药业,50mg,县级公立,2280000
丙硫氧嘧啶片,2022,德国海默尼药业,50mg,县级公立,2890000
丙硫氧嘧啶片,2022,精华制药集团,50mg,县级公立,1970000
丙硫氧嘧啶片,2023,上海朝晖药业,50mg,县级公立,8170000
丙硫氧嘧啶片,2023,广州康和药业,50mg,县级公立,5640000
丙硫氧嘧啶片,2023,德国海默尼药业,50mg,县级公立,2160000
丙硫氧嘧啶片,2023,精华制药集团,50mg,县级公立,1910000
丙硫氧嘧啶片,2024,上海朝晖药业,50mg,县级公立,10560000
丙硫氧嘧啶片,2024,广州康和药业,50mg,县级公立,5440000
丙硫氧嘧啶片,2024,德国海默尼药业,50mg,县级公立,1680000
丙硫氧嘧啶片,2024,精华制药集团,50mg,县级公立,1650000
丙硫氧嘧啶片,2025,上海朝晖药业,50mg,县级公立,6070000
丙硫氧嘧啶片,2025,广州康和药业,50mg,县级公立,2720000
丙硫氧嘧啶片,2025,德国海默尼药业,50mg,县级公立,1260000
丙硫氧嘧啶片,2025,精华制药集团,50mg,县级公立,1140000
丙硫氧嘧啶片,2013,湖南汉森制药,100mg,县级公立,126671
丙硫氧嘧啶片,2014,湖南汉森制药,100mg,县级公立,90775
丙硫氧嘧啶片,2015,湖南汉森制药,100mg,县级公立,112907
丙硫氧嘧啶片,2013,Hemony,50mg,城市公立,5014810
丙硫氧嘧啶片,2013,上海朝晖药业,50mg,城市公立,5502705
丙硫氧嘧啶片,2013,上药信谊药厂,50mg,城市公立,37592
丙硫氧嘧啶片,2013,国药控股星鲨制药(厦门),50mg,城市公立,5560
丙硫氧嘧啶片,2013,广东华南药业集团,50mg,城市公立,4590185
丙硫氧嘧啶片,2013,广州康和药业,50mg,城市公立,744922
丙硫氧嘧啶片,2013,深圳中联制药,50mg,城市公立,840618
丙硫氧嘧啶片,2013,湖南迪诺制药,50mg,城市公立,305124
丙硫氧嘧啶片,2013,精华制药集团,50mg,城市公立,904931
丙硫氧嘧啶片,2013,苏州东瑞制药,50mg,城市公立,99114
丙硫氧嘧啶片,2013,集成药厂,50mg,城市公立,6596
丙硫氧嘧啶片,2014,Hemony,50mg,城市公立,4527480
丙硫氧嘧啶片,2014,上海朝晖药业,50mg,城市公立,6113398
丙硫氧嘧啶片,2014,上药信谊药厂,50mg,城市公立,20148
丙硫氧嘧啶片,2014,国药控股星鲨制药(厦门),50mg,城市公立,125389
丙硫氧嘧啶片,2014,广东华南药业集团,50mg,城市公立,1653071
丙硫氧嘧啶片,2014,广州康和药业,50mg,城市公立,1638201
丙硫氧嘧啶片,2014,深圳中联制药,50mg,城市公立,129207
丙硫氧嘧啶片,2014,湖南迪诺制药,50mg,城市公立,141253
丙硫氧嘧啶片,2014,精华制药集团,50mg,城市公立,1499428
丙硫氧嘧啶片,2014,苏州东瑞制药,50mg,城市公立,38357
丙硫氧嘧啶片,2014,集成药厂,50mg,城市公立,5160
丙硫氧嘧啶片,2015,Hemony,50mg,城市公立,2974909
丙硫氧嘧啶片,2015,上海朝晖药业,50mg,城市公立,5553812
丙硫氧嘧啶片,2015,上药信谊药厂,50mg,城市公立,11680
丙硫氧嘧啶片,2015,国药控股星鲨制药(厦门),50mg,城市公立,131509
丙硫氧嘧啶片,2015,广东华南药业集团,50mg,城市公立,370725
丙硫氧嘧啶片,2015,广州康和药业,50mg,城市公立,1712271
丙硫氧嘧啶片,2015,深圳中联制药,50mg,城市公立,53013
丙硫氧嘧啶片,2015,湖南迪诺制药,50mg,城市公立,23920
丙硫氧嘧啶片,2015,精华制药集团,50mg,城市公立,2613120
丙硫氧嘧啶片,2015,苏州东瑞制药,50mg,城市公立,77793
丙硫氧嘧啶片,2016,Hemony,50mg,城市公立,3734202
丙硫氧嘧啶片,2016,上海朝晖药业,50mg,城市公立,6495902
丙硫氧嘧啶片,2016,上药信谊药厂,50mg,城市公立,13270
丙硫氧嘧啶片,2016,国药控股星鲨制药(厦门),50mg,城市公立,30818
丙硫氧嘧啶片,2016,广东华南药业集团,50mg,城市公立,321062
丙硫氧嘧啶片,2016,广州康和药业,50mg,城市公立,1782881
丙硫氧嘧啶片,2016,深圳中联制药,50mg,城市公立,8894
丙硫氧嘧啶片,2016,湖南迪诺制药,50mg,城市公立,15993
丙硫氧嘧啶片,2016,精华制药集团,50mg,城市公立,2354386
丙硫氧嘧啶片,2016,苏州东瑞制药,50mg,城市公立,57296
丙硫氧嘧啶片,2017,Hemony,50mg,城市公立,7508244
丙硫氧嘧啶片,2017,上海朝晖药业,50mg,城市公立,5540284
丙硫氧嘧啶片,2017,上药信谊药厂,50mg,城市公立,34472
丙硫氧嘧啶片,2017,国药控股星鲨制药(厦门),50mg,城市公立,25100
丙硫氧嘧啶片,2017,广东华南药业集团,50mg,城市公立,228955
丙硫氧嘧啶片,2017,广州康和药业,50mg,城市公立,1557228
丙硫氧嘧啶片,2017,深圳中联制药,50mg,城市公立,2093
丙硫氧嘧啶片,2017,湖南迪诺制药,50mg,城市公立,48397
丙硫氧嘧啶片,2017,精华制药集团,50mg,城市公立,2396121
丙硫氧嘧啶片,2017,苏州东瑞制药,50mg,城市公立,232188
丙硫氧嘧啶片,2018,Hemony,50mg,城市公立,11459058
丙硫氧嘧啶片,2018,上海朝晖药业,50mg,城市公立,6993177
丙硫氧嘧啶片,2018,上药信谊药厂,50mg,城市公立,7017
丙硫氧嘧啶片,2018,广东华南药业集团,50mg,城市公立,306147
丙硫氧嘧啶片,2018,广州康和药业,50mg,城市公立,820939
丙硫氧嘧啶片,2018,深圳中联制药,50mg,城市公立,8043
丙硫氧嘧啶片,2018,湖南迪诺制药,50mg,城市公立,4049
丙硫氧嘧啶片,2018,精华制药集团,50mg,城市公立,1998098
丙硫氧嘧啶片,2018,苏州东瑞制药,50mg,城市公立,102925
丙硫氧嘧啶片,2019,Hemony,50mg,城市公立,12711018
丙硫氧嘧啶片,2019,上海朝晖药业,50mg,城市公立,9365588
丙硫氧嘧啶片,2019,上药信谊药厂,50mg,城市公立,18410
丙硫氧嘧啶片,2019,广东华南药业集团,50mg,城市公立,487130
丙硫氧嘧啶片,2019,广州康和药业,50mg,城市公立,327253
丙硫氧嘧啶片,2019,深圳中联制药,50mg,城市公立,4495
丙硫氧嘧啶片,2019,精华制药集团,50mg,城市公立,2766232
丙硫氧嘧啶片,2019,苏州东瑞制药,50mg,城市公立,34135
丙硫氧嘧啶片,2020,Hemony,50mg,城市公立,19512933
丙硫氧嘧啶片,2020,上海朝晖药业,50mg,城市公立,9641575
丙硫氧嘧啶片,2020,上药信谊药厂,50mg,城市公立,13516
丙硫氧嘧啶片,2020,广东华南药业集团,50mg,城市公立,-324
丙硫氧嘧啶片,2020,广州康和药业,50mg,城市公立,239056
丙硫氧嘧啶片,2020,深圳中联制药,50mg,城市公立,3344
丙硫氧嘧啶片,2020,精华制药集团,50mg,城市公立,2457028
丙硫氧嘧啶片,2021,Hemony,50mg,城市公立,31384498
丙硫氧嘧啶片,2021,上海朝晖药业,50mg,城市公立,12275862
丙硫氧嘧啶片,2021,上药信谊药厂,50mg,城市公立,15849
丙硫氧嘧啶片,2021,广东华南药业集团,50mg,城市公立,273135
丙硫氧嘧啶片,2021,广州康和药业,50mg,城市公立,654513
丙硫氧嘧啶片,2021,深圳中联制药,50mg,城市公立,1898
丙硫氧嘧啶片,2021,精华制药集团,50mg,城市公立,3239471
丙硫氧嘧啶片,2022,上海朝晖药业,50mg,城市公立,13270000
丙硫氧嘧啶片,2022,广东华南药业集团,50mg,城市公立,310000
丙硫氧嘧啶片,2022,广州康和药业,50mg,城市公立,550000
丙硫氧嘧啶片,2022,德国海默尼药业,50mg,城市公立,32800000
丙硫氧嘧啶片,2022,精华制药集团,50mg,城市公立,3420000
丙硫氧嘧啶片,2023,上海朝晖药业,50mg,城市公立,15490000
丙硫氧嘧啶片,2023,广东华南药业集团,50mg,城市公立,230000
丙硫氧嘧啶片,2023,广州康和药业,50mg,城市公立,1190000
丙硫氧嘧啶片,2023,德国海默尼药业,50mg,城市公立,32350000
丙硫氧嘧啶片,2023,精华制药集团,50mg,城市公立,3000000
丙硫氧嘧啶片,2024,上海朝晖药业,50mg,城市公立,15070000
丙硫氧嘧啶片,2024,广东华南药业集团,50mg,城市公立,250000
丙硫氧嘧啶片,2024,广州康和药业,50mg,城市公立,1260000
丙硫氧嘧啶片,2024,德国海默尼药业,50mg,城市公立,35270000
丙硫氧嘧啶片,2024,精华制药集团,50mg,城市公立,3250000
丙硫氧嘧啶片,2025,上海朝晖药业,50mg,城市公立,5540000
丙硫氧嘧啶片,2025,广东华南药业集团,50mg,城市公立,150000
丙硫氧嘧啶片,2025,广州康和药业,50mg,城市公立,550000
丙硫氧嘧啶片,2025,德国海默尼药业,50mg,城市公立,25110000
丙硫氧嘧啶片,2025,精华制药集团,50mg,城市公立,1350000
丙硫氧嘧啶片,2013,湖南汉森制药,100mg,城市公立,263403
丙硫氧嘧啶片,2014,湖南汉森制药,100mg,城市公立,56805
丙硫氧嘧啶片,2015,湖南汉森制药,100mg,城市公立,37727
丙硫氧嘧啶片,2020,湖南汉森制药,100mg,城市公立,5638
丙硫氧嘧啶片,2013,Hemony,50mg,城市社区,645
丙硫氧嘧啶片,2013,上海朝晖药业,50mg,城市社区,49394
丙硫氧嘧啶片,2013,上药信谊药厂,50mg,城市社区,7489
丙硫氧嘧啶片,2013,广东华南药业集团,50mg,城市社区,220527
丙硫氧嘧啶片,2013,广州康和药业,50mg,城市社区,19756
丙硫氧嘧啶片,2013,深圳中联制药,50mg,城市社区,1404
丙硫氧嘧啶片,2013,湖南迪诺制药,50mg,城市社区,20901
丙硫氧嘧啶片,2013,精华制药集团,50mg,城市社区,17954
丙硫氧嘧啶片,2013,苏州东瑞制药,50mg,城市社区,389
丙硫氧嘧啶片,2014,上海朝晖药业,50mg,城市社区,133592
丙硫氧嘧啶片,2014,上药信谊药厂,50mg,城市社区,664
丙硫氧嘧啶片,2014,国药控股星鲨制药(厦门),50mg,城市社区,4774
丙硫氧嘧啶片,2014,广东华南药业集团,50mg,城市社区,73866
丙硫氧嘧啶片,2014,广州康和药业,50mg,城市社区,106123
丙硫氧嘧啶片,2014,深圳中联制药,50mg,城市社区,1250
丙硫氧嘧啶片,2014,湖南迪诺制药,50mg,城市社区,14916
丙硫氧嘧啶片,2014,精华制药集团,50mg,城市社区,31413
丙硫氧嘧啶片,2014,苏州东瑞制药,50mg,城市社区,3225
丙硫氧嘧啶片,2015,Hemony,50mg,城市社区,1084
丙硫氧嘧啶片,2015,上海朝晖药业,50mg,城市社区,76837
丙硫氧嘧啶片,2015,上药信谊药厂,50mg,城市社区,66
丙硫氧嘧啶片,2015,国药控股星鲨制药(厦门),50mg,城市社区,725
丙硫氧嘧啶片,2015,广东华南药业集团,50mg,城市社区,2600
丙硫氧嘧啶片,2015,广州康和药业,50mg,城市社区,63017
丙硫氧嘧啶片,2015,深圳中联制药,50mg,城市社区,1261
丙硫氧嘧啶片,2015,湖南迪诺制药,50mg,城市社区,146
丙硫氧嘧啶片,2015,精华制药集团,50mg,城市社区,36279
丙硫氧嘧啶片,2015,苏州东瑞制药,50mg,城市社区,1223
丙硫氧嘧啶片,2016,Hemony,50mg,城市社区,1111
丙硫氧嘧啶片,2016,上海朝晖药业,50mg,城市社区,94333
丙硫氧嘧啶片,2016,国药控股星鲨制药(厦门),50mg,城市社区,143
丙硫氧嘧啶片,2016,广东华南药业集团,50mg,城市社区,684
丙硫氧嘧啶片,2016,广州康和药业,50mg,城市社区,65105
丙硫氧嘧啶片,2016,湖南迪诺制药,50mg,城市社区,263
丙硫氧嘧啶片,2016,精华制药集团,50mg,城市社区,157644
丙硫氧嘧啶片,2016,苏州东瑞制药,50mg,城市社区,576
丙硫氧嘧啶片,2017,Hemony,50mg,城市社区,48973
丙硫氧嘧啶片,2017,上海朝晖药业,50mg,城市社区,70562
丙硫氧嘧啶片,2017,上药信谊药厂,50mg,城市社区,131
丙硫氧嘧啶片,2017,国药控股星鲨制药(厦门),50mg,城市社区,140
丙硫氧嘧啶片,2017,广东华南药业集团,50mg,城市社区,489
丙硫氧嘧啶片,2017,广州康和药业,50mg,城市社区,59928
丙硫氧嘧啶片,2017,湖南迪诺制药,50mg,城市社区,159
丙硫氧嘧啶片,2017,精华制药集团,50mg,城市社区,125044
丙硫氧嘧啶片,2017,苏州东瑞制药,50mg,城市社区,669
丙硫氧嘧啶片,2018,Hemony,50mg,城市社区,58522
丙硫氧嘧啶片,2018,上海朝晖药业,50mg,城市社区,100329
丙硫氧嘧啶片,2018,广东华南药业集团,50mg,城市社区,455
丙硫氧嘧啶片,2018,广州康和药业,50mg,城市社区,54344
丙硫氧嘧啶片,2018,湖南迪诺制药,50mg,城市社区,233
丙硫氧嘧啶片,2018,精华制药集团,50mg,城市社区,115819
丙硫氧嘧啶片,2018,苏州东瑞制药,50mg,城市社区,542
丙硫氧嘧啶片,2019,Hemony,50mg,城市社区,60767
丙硫氧嘧啶片,2019,上海朝晖药业,50mg,城市社区,45349
丙硫氧嘧啶片,2019,广州康和药业,50mg,城市社区,62257
丙硫氧嘧啶片,2019,精华制药集团,50mg,城市社区,29414
丙硫氧嘧啶片,2019,苏州东瑞制药,50mg,城市社区,813
丙硫氧嘧啶片,2020,Hemony,50mg,城市社区,113101
丙硫氧嘧啶片,2020,上海朝晖药业,50mg,城市社区,64065
丙硫氧嘧啶片,2020,广州康和药业,50mg,城市社区,52912
丙硫氧嘧啶片,2020,精华制药集团,50mg,城市社区,14062
丙硫氧嘧啶片,2021,Hemony,50mg,城市社区,109793
丙硫氧嘧啶片,2021,上海朝晖药业,50mg,城市社区,134220
丙硫氧嘧啶片,2021,广州康和药业,50mg,城市社区,103611
丙硫氧嘧啶片,2021,精华制药集团,50mg,城市社区,18821
丙硫氧嘧啶片,2021,苏州东瑞制药,50mg,城市社区,130
丙硫氧嘧啶片,2022,上海朝晖药业,50mg,城市社区,110000
丙硫氧嘧啶片,2022,德国海默尼药业,50mg,城市社区,90000
丙硫氧嘧啶片,2023,上海朝晖药业,50mg,城市社区,120000
丙硫氧嘧啶片,2023,德国海默尼药业,50mg,城市社区,170000
丙硫氧嘧啶片,2024,上海朝晖药业,50mg,城市社区,80000
丙硫氧嘧啶片,2024,德国海默尼药业,50mg,城市社区,160000
丙硫氧嘧啶片,2025,上海朝晖药业,50mg,城市社区,60000
丙硫氧嘧啶片,2025,德国海默尼药业,50mg,城市社区,90000
丙硫氧嘧啶片,2013,湖南汉森制药,100mg,城市社区,13512
丙硫氧嘧啶片,2014,湖南汉森制药,100mg,城市社区,51062
丙硫氧嘧啶片,2015,湖南汉森制药,100mg,城市社区,7719
丙硫氧嘧啶片,2016,湖南汉森制药,100mg,城市社区,233
