season,celebrity_name,avg_judge_score,avg_judge_percent,avg_fan_percent,avg_fan_rank,avg_judge_rank,weeks_survived,ballroom_partner,celebrity_industry,celebrity_age,age_group,industry_group,placement,celebrity_homecountry,is_us
4,Clyde Drexler,15.6,0.07546895817305124,0.04193537221239792,8.4,9.4,5,Elena Grinenko,Athlete,44,35-45,Athlete,8,United States,US
4,Heather Mills,22.166666666666668,0.11184908310227037,0.09865020130321851,4.833333333333333,4.166666666666667,6,Jonathan Roberts,Model,39,35-45,Model,7,England,International
4,Ian Ziering,24.27777777777778,0.14582436905010476,0.15594485478583836,3.2222222222222223,3.7777777777777777,9,Cheryl Burke,Actor/Actress,42,35-45,Actor/Actress,4,United States,US
4,Joey Fatone,26.76665,0.1768065828621398,0.1899285280068927,2.4,2.1,10,Kym Johnson,Singer/Rapper,30,25-35,Musician,2,United States,US
4,John Ratzenberger,19.071428571428573,0.10055152917957648,0.06817772646856582,6.714285714285714,7.0,7,Edyta Sliwinska,Actor/Actress,59,55+,Actor/Actress,6,United States,US
4,Laila Ali,26.233320000000003,0.17359518273537347,0.18739708106676317,2.8,3.0,10,Maksim Chmerkoskiy,Athlete,29,25-35,Athlete,3,United States,US
4,Leeza Gibbons,19.0,0.0882080222824809,0.0710671315655543,8.0,7.5,4,Tony Dovolani,TV Personality,50,45-55,TV Personality,9,United States,US
4,Paulina Porizkova,20.0,0.08897364771151176,0.03145764031410505,10.0,7.0,2,Alec Mazo,Model,41,35-45,Model,11,Czechoslovakia,International
4,Shandi Finnessey,20.0,0.09006531266644001,0.04867055331435094,8.0,8.0,3,Brian Fortuna,Beauty Pagent,28,25-35,Model,10,United States,US
5,Albert Reed,21.0,0.08497367818722815,0.0647602740389422,9.0,5.0,2,Anna Trebunskaya,Model,22,Under 25,Model,11,United States,US
5,Cameron Mathison,24.25,0.12606079060930925,0.12206946181336349,4.5,4.5,8,Edyta Sliwinska,Actor/Actress,38,35-45,Actor/Actress,5,Canada,International
5,Floyd Mayweather Jr. ,20.75,0.08610772792517313,0.06703985886953935,8.5,8.5,4,Karina Smirnoff,Athlete,30,25-35,Athlete,9,United States,US
5,Helio Castroneves,26.649990000000003,0.16904060282997008,0.21182616195606047,2.5,2.7,10,Julianne Hough,Racing Driver,32,25-35,Athlete,1,Brazil,International
5,Jane Seymour,24.428571428571427,0.11697631847770029,0.1020056909202057,4.714285714285714,4.857142857142857,7,Tony Dovolani,Actor/Actress,56,55+,Actor/Actress,6,England,International
5,Jennie Garth,25.27777777777778,0.1419550927241508,0.16150518605346273,3.888888888888889,4.555555555555555,9,Derek Hough,Actor/Actress,35,25-35,Actor/Actress,4,United States,US
5,Josie Maran,16.0,0.0622568093385214,0.0039989245369242,12.0,12.0,1,Alec Mazo,Model,29,25-35,Model,12,United States,US
5,Marie Osmond,24.25,0.1517967048487998,0.0907559635881369,5.4,5.1,10,Jonathan Roberts,Singer/Rapper,47,45-55,Musician,3,United States,US
5,Mark Cuban,20.4,0.08811381098677981,0.058260647412254396,8.6,9.0,5,Kym Johnson,TV Personality,49,45-55,TV Personality,8,United States,US
5,Mel B,27.23332,0.17260581647909704,0.2253267651237664,2.3,2.5,10,Maksim Chmerkoskiy,Singer/Rapper,32,25-35,Musician,2,England,International
5,Sabrina Bryan,27.0,0.12186320977218612,0.12361394715783836,3.0,2.3333333333333335,6,Mark Ballas,Actor/Actress,23,Under 25,Actor/Actress,7,United States,US
5,Wayne Newton,17.333333333333332,0.07075632623496947,0.04736768659652624,9.666666666666666,10.333333333333334,3,Cheryl Burke,Singer/Rapper,65,55+,Musician,10,United States,US
6,Adam Carolla,18.5,0.07805201593839038,0.059714352856338304,8.5,8.75,4,Julianne Hough,Radio Personality,43,35-45,Other,9,United States,US
6,Cristian de la Fuente,24.75,0.158138060411869,0.21454333134039474,3.1,4.1,10,Cheryl Burke,Actor/Actress,34,25-35,Actor/Actress,3,Chile,International
6,Jason Taylor,26.15,0.16564760507522,0.17070665013207337,2.7,2.8,10,Edyta Sliwinska,Athlete,33,25-35,Athlete,2,United States,US
6,Kristi Yamaguchi,28.2,0.17729755545368892,0.1989251776380044,1.6,1.4,10,Mark Ballas,Athlete,36,35-45,Athlete,1,United States,US
6,Mario,25.25,0.1319457188804115,0.1316131208543818,4.125,3.625,8,Karina Smirnoff,Singer/Rapper,21,Under 25,Musician,5,United States,US
6,Marissa Jaret Winokur,23.22222222222222,0.13384376710864554,0.09902263175157722,5.888888888888889,5.555555555555555,9,Tony Dovolani,Actor/Actress,35,25-35,Actor/Actress,4,United States,US
6,Marlee Matlin,22.333333333333332,0.10193394798034365,0.08048246032168062,6.666666666666667,6.333333333333333,6,Fabian Sanchez,Actor/Actress,42,35-45,Actor/Actress,7,United States,US
6,Monica Seles,15.0,0.060047076908296054,0.0139170719612223,12.0,12.0,2,Jonathan Roberts,Athlete,34,25-35,Athlete,11,Yugoslavia,International
6,Penn Jillette,16.5,0.0659957406606779,0.030816479191849946,11.0,10.0,2,Kym Johnson,Magician,53,45-55,Other,12,United States,US
6,Priscilla Presley,22.8,0.09988664339910154,0.08272441288896558,6.4,5.6,5,Louis van Amstel,Actor/Actress,62,55+,Actor/Actress,8,United States,US
6,Shannon Elizabeth,24.214285714285715,0.11789162646164955,0.12709243882901972,4.428571428571429,5.142857142857143,7,Derek Hough,Actor/Actress,34,25-35,Actor/Actress,6,United States,US
6,Steve Guttenberg,18.333333333333332,0.07614538219016337,0.03321711479549157,9.666666666666666,9.666666666666666,3,Anna Trebunskaya,Actor/Actress,49,45-55,Actor/Actress,10,United States,US
7,Brooke Burke,26.95,0.18023099694907904,0.26020322168461074,1.0,1.2,10,Derek Hough,TV Personality,37,35-45,TV Personality,1,United States,US
7,Cloris Leachman,17.5,0.08693067810641604,0.05361584346545773,7.833333333333333,8.5,6,Corky Ballas,Actor/Actress,82,55+,Actor/Actress,7,United States,US
7,Cody Linley,22.833333333333332,0.13881006495904347,0.15360233196500292,3.5555555555555554,4.333333333333333,9,Julianne Hough,Actor/Actress,18,Under 25,Actor/Actress,4,United States,US
7,Jeffrey Ross,12.0,0.0476190476190476,0.0254310132025134,12.0,13.0,1,Edyta Sliwinska,Comedian,43,35-45,Actor/Actress,13,United States,US
7,Kim Kardashian,17.75,0.07516788766788765,0.0651870200551854,9.0,8.5,2,Mark Ballas,TV Personality,27,25-35,TV Personality,11,United States,US
7,Lance Bass,24.35,0.16641470470197925,0.170524171655765,3.2,3.3,10,Lacey Schwimmer,Singer/Rapper,29,25-35,Musician,3,United States,US
7,Maurice Greene,22.4375,0.12631173067660206,0.13302186188498977,4.875,5.375,8,Cheryl Burke,Athlete,34,25-35,Athlete,5,United States,US
7,Misty May-Treanor,21.0,0.0833333333333333,0.103774351303006,4.0,5.0,1,Maksim Chmerkoskiy,Athlete,31,25-35,Athlete,10,United States,US
7,Rocco DiSpirito,17.875,0.08275377444785585,0.06172602062328715,8.25,9.5,4,Karina Smirnoff,TV Personality,41,35-45,TV Personality,9,United States,US
7,Susan Lucci,21.928571428571427,0.11600362585231792,0.08251711939556786,6.428571428571429,5.571428571428571,7,Tony Dovolani,Actor/Actress,61,55+,Actor/Actress,6,United States,US
7,Ted McGinley,18.5,0.0734126984126984,0.0218036305286183,13.0,10.0,1,Inna Brayer,Actor/Actress,50,45-55,Actor/Actress,12,United States,US
7,Toni Braxton,22.3,0.10502115467036414,0.0774594754359461,6.6,4.4,5,Alec Mazo,Singer/Rapper,40,35-45,Musician,8,United States,US
7,Warren Sapp,24.25,0.16343047535619973,0.14312307924521867,3.4,3.6,10,Kym Johnson,Athlete,35,25-35,Athlete,2,United States,US
8,Belinda Carlisle,17.5,0.0689416880192561,0.046441139721658045,11.5,9.0,2,Jonathan Roberts,Singer/Rapper,50,45-55,Musician,13,United States,US
8,Chuck Wicks,22.9375,0.11052867589864032,0.11526731646216548,5.125,5.125,8,Julianne Hough,Singer/Rapper,29,25-35,Musician,6,United States,US
8,David Alan Grier,20.8,0.08649988569102449,0.07789497291570638,7.6,7.0,5,Kym Johnson,Actor/Actress,52,45-55,Actor/Actress,9,United States,US
8,Denise Richards,18.333333333333332,0.07210382769239794,0.0730608912631224,8.0,7.333333333333333,3,Maksim Chmerkoskiy,Actor/Actress,38,35-45,Actor/Actress,12,United States,US
8,Gilles Marini,27.681818181818183,0.16805193319526646,0.20182335408444063,1.7272727272727273,1.7272727272727273,11,Cheryl Burke,Actor/Actress,33,25-35,Actor/Actress,2,France,International
8,Holly Madison,17.25,0.0687608596783918,0.07158768027599742,9.0,9.0,4,Dmitry Chaplin,TV Personality,30,25-35,TV Personality,11,United States,US
8,Lawrence Taylor,19.714285714285715,0.08963859345744253,0.06435869430542256,7.857142857142857,7.857142857142857,7,Edyta Sliwinska,Athlete,50,45-55,Athlete,7,United States,US
8,Lil' Kim,25.555555555555557,0.13051729839671675,0.1471475682269716,3.111111111111111,3.111111111111111,9,Derek Hough,Singer/Rapper,34,25-35,Musician,5,United States,US
8,Melissa Rycroft,26.681818181818183,0.16183834428096242,0.16542950425169148,2.3636363636363638,2.5454545454545454,11,Tony Dovolani,TV Personality,26,25-35,TV Personality,3,United States,US
8,Shawn Johnson,26.454545454545453,0.16247556953709433,0.17799586125916686,2.909090909090909,2.8181818181818183,11,Mark Ballas,Athlete,17,Under 25,Athlete,1,United States,US
8,Steve Wozniak,13.0,0.05165143534567977,0.038248815937903725,11.5,12.0,4,Karina Smirnoff,Entrepreneur,58,55+,Other,10,United States,US
8,Steve-O,15.833333333333334,0.06926056944851945,0.07036133908856175,8.333333333333334,10.166666666666666,6,Lacey Schwimmer,TV Personality,34,25-35,TV Personality,8,England,International
8,Ty Murray,21.8,0.12137135515335391,0.07422327413754899,6.9,6.5,10,Chelsie Hightower,Athlete,39,35-45,Athlete,4,United States,US
9,Aaron Carter,25.812462500000002,0.11179539919125137,0.11851785111448807,3.5,3.5,8,Karina Smirnoff,Singer/Rapper,21,Under 25,Musician,5,United States,US
9,Ashley Hamiliton,18.9999,0.0467979676767199,0.0200572016083798,15.0,15.0,1,Edyta Sliwinska,Actor/Actress,34,25-35,Actor/Actress,16,United States,US
9,Chuck Liddell,18.75,0.06373816568932583,0.051472985879015276,10.75,9.5,4,Anna Trebunskaya,Athlete,39,35-45,Athlete,11,United States,US
9,Debi Mazar,20.0,0.06383581665381373,0.06394407172470463,8.666666666666666,8.666666666666666,3,Maksim Chmerkoskiy,Actor/Actress,45,35-45,Actor/Actress,12,United States,US
9,Donny Osmond,26.46662,0.15000757980423834,0.14171809133535024,3.9,3.6,10,Kym Johnson,Singer/Rapper,51,45-55,Musician,1,United States,US
9,Joanna Krupa,27.055533333333333,0.13269843738143736,0.13826575189115292,3.2222222222222223,2.7777777777777777,9,Derek Hough,Model,30,25-35,Model,4,Poland,International
9,Kathy Ireland,18.99995,0.055242760683243,0.0158837230863309,14.0,12.5,2,Tony Dovolani,Model,46,45-55,Model,14,United States,US
9,Kelly Osbourne,24.47216,0.1400940819894791,0.1830731896396198,3.9,5.1,10,Louis van Amstel,TV Personality,24,Under 25,TV Personality,3,England,International
9,Louie Vito,21.333299999999998,0.07633004465501095,0.06085666496202746,8.333333333333334,8.333333333333334,6,Chelsie Hightower,Athlete,21,Under 25,Athlete,8,United States,US
9,Macy Gray,18.9999,0.0467979676767199,0.0068122816780396,16.0,16.0,1,Jonathan Roberts,Singer/Rapper,42,35-45,Musician,15,United States,US
9,Mark Dacascos,24.214257142857143,0.09379370752241219,0.1032666792317113,5.571428571428571,5.857142857142857,7,Lacey Schwimmer,Actor/Actress,45,35-45,Actor/Actress,6,United States,US
9,Melissa Joan Hart,22.833316666666665,0.0834057039194666,0.07363387650364321,7.833333333333333,7.5,6,Mark Ballas,Actor/Actress,33,25-35,Actor/Actress,9,United States,US
9,Michael Irvin,19.357114285714285,0.07721422784684506,0.05463695198869234,9.0,10.142857142857142,7,Anna Demidova,Athlete,43,35-45,Athlete,7,United States,US
9,Mya,28.433299999999996,0.1606908945003098,0.17275282970891717,2.4,2.1,10,Dmitry Chaplin,Singer/Rapper,29,25-35,Musician,2,United States,US
9,Natalie Coughlin,23.999959999999998,0.08575772847524668,0.0783582620858535,6.6,6.0,5,Alec Mazo,Athlete,27,25-35,Athlete,10,United States,US
9,Tom DeLay,18.99995,0.055242760683243,0.03580162565473525,12.5,13.5,2,Cheryl Burke,Politician,62,55+,Other,13,United States,US
10,Aiden Turner,17.625,0.08640123146038631,0.07833020635483487,7.75,8.25,4,Edyta Sliwinska,Actor/Actress,32,25-35,Actor/Actress,9,England,International
10,Buzz Aldrin,13.0,0.06185683644848793,0.027709566940664898,10.0,10.666666666666666,3,Ashly DelGrosso,Astronaut,80,55+,Other,10,United States,US
10,Chad Ochocinco,22.166655555555554,0.13372228059886332,0.14670281186889478,4.444444444444445,5.222222222222222,9,Cheryl Burke,Athlete,32,25-35,Athlete,4,United States,US
10,Erin Andrews,24.94998,0.16611665531538986,0.22667663865164864,1.9,3.0,10,Maksim Chmerkoskiy,Sports Broadcaster,32,25-35,TV Personality,3,United States,US
10,Evan Lysacek,26.288869999999996,0.1742085620374247,0.14576872893777112,3.2,2.1,10,Anna Trebunskaya,Athlete,24,Under 25,Athlete,2,United States,US
10,Jake Pavelka,21.333316666666665,0.10750702443465608,0.10932111863128081,5.333333333333333,5.166666666666667,6,Chelsie Hightower,TV Personality,32,25-35,TV Personality,7,United States,US
10,Kate Gosselin,15.4,0.07831740786108048,0.049658076413959876,9.0,9.0,5,Tony Dovolani,TV Personality,35,25-35,TV Personality,8,United States,US
10,Nicole Scherzinger,28.07776,0.1850856566668425,0.2330442700464317,1.3,1.5,10,Derek Hough,Singer/Rapper,31,25-35,Musician,1,United States,US
10,Niecy Nash,20.999975,0.11725332805427546,0.07355372807791184,5.875,6.0,8,Louis van Amstel,Actor/Actress,40,35-45,Actor/Actress,5,United States,US
10,Pamela Anderson,23.428542857142855,0.12278942800801976,0.09234658553548258,5.714285714285714,4.428571428571429,7,Damian Whitewood,Model,42,35-45,Model,6,Canada,International
10,Shannen Doherty,19.0,0.08851674641148324,0.04462788667546925,9.5,7.5,2,Mark Ballas,Actor/Actress,38,35-45,Actor/Actress,11,United States,US
11,Audrina Patridge,24.333299999999998,0.11914567876486021,0.11767748550103396,3.8333333333333335,3.0,6,Tony Dovolani,TV Personality,25,Under 25,TV Personality,7,United States,US
11,Brandy,27.6111,0.15571542180078643,0.17319896695507034,2.5555555555555554,2.0,9,Maksim Chmerkoskiy,Singer/Rapper,31,25-35,Musician,4,United States,US
11,Bristol Palin,22.91664,0.14632941020599977,0.09894220814002988,5.3,5.9,10,Mark Ballas,TV Personality,19,Under 25,TV Personality,3,United States,US
11,David Hasselhoff,15.0,0.066079295154185,0.0391531109117264,11.0,10.0,1,Kym Johnson,Actor/Actress,58,55+,Actor/Actress,12,United States,US
11,Florence Henderson,19.1,0.09378314418668458,0.07417147231658464,7.6,7.0,5,Corky Ballas,Actor/Actress,76,55+,Actor/Actress,8,United States,US
11,Jennifer Grey,27.9,0.1771564593352613,0.23408934563904707,1.5,1.9,10,Derek Hough,Actor/Actress,50,45-55,Actor/Actress,1,United States,US
11,Kurt Warner,23.1249875,0.12061418931402328,0.0984433520193976,6.125,5.125,8,Anna Trebunskaya,Athlete,39,35-45,Athlete,5,United States,US
11,Kyle Massey,25.58331,0.16271856307473426,0.1807535582332806,3.3,4.0,10,Lacey Schwimmer,Actor/Actress,19,Under 25,Actor/Actress,2,United States,US
11,Margaret Cho,17.0,0.07632507425199826,0.0458927208636453,9.666666666666666,10.0,3,Louis van Amstel,Comedian,41,35-45,Actor/Actress,10,United States,US
11,Michael Bolton,14.0,0.062391612015866946,0.02554748413152045,11.5,10.0,2,Chelsie Hightower,Singer/Rapper,57,55+,Musician,11,United States,US
11,Rick Fox,25.0,0.12167693437740552,0.13821773229992576,4.142857142857143,4.428571428571429,7,Cheryl Burke,Athlete,41,35-45,Athlete,6,Canada,International
11,The Situation,16.75,0.07905932175361105,0.060859679667824074,8.5,9.75,4,Karina Smirnoff,TV Personality,28,25-35,TV Personality,9,United States,US
12,Chelsea Kane,26.76666,0.17396818438865874,0.22076594713009695,2.7,2.3,10,Mark Ballas,Actor/Actress,22,Under 25,Actor/Actress,3,United States,US
12,Chris Jericho,22.333333333333332,0.11071551473871993,0.1383173477271826,3.6666666666666665,4.166666666666667,6,Cheryl Burke,Athlete,40,35-45,Athlete,7,United States,US
12,Hines Ward,26.76666,0.17130602381203966,0.23818626305049614,1.5,2.0,10,Kym Johnson,Athlete,35,25-35,Athlete,1,South Korea,International
12,Kendra Wilkinson,22.214285714285715,0.11198134646646019,0.10189836719506692,5.714285714285714,5.857142857142857,7,Louis van Amstel,TV Personality,25,Under 25,TV Personality,6,United States,US
12,Kirstie Alley,24.64999,0.15850267869054852,0.13374317185336143,3.9,4.3,10,Maksim Chmerkoskiy,Actor/Actress,60,55+,Actor/Actress,2,United States,US
12,Mike Catherwood,15.0,0.07075281803542671,0.0314202219068379,11.0,10.0,2,Lacey Schwimmer,Radio Personality,32,25-35,Other,11,United States,US
12,Petra Nemcova,21.2,0.10243296645431381,0.05762159045421884,7.6,6.0,5,Dmitry Chaplin,Model,31,25-35,Model,8,Czechoslovakia,International
12,Ralph Macchio,24.11111111111111,0.13729271332095105,0.12253108746585926,4.222222222222222,4.444444444444445,9,Karina Smirnoff,Actor/Actress,49,45-55,Actor/Actress,4,United States,US
12,Romeo,24.375,0.13151308977541792,0.10423905360650795,5.375,4.875,8,Chelsie Hightower,Singer/Rapper,21,Under 25,Musician,5,United States,US
12,Sugar Ray Leonard,18.75,0.08905724976662177,0.03344769073195693,9.25,9.0,4,Anna Trebunskaya,Athlete,54,45-55,Athlete,9,United States,US
12,Wendy Williams,15.333333333333334,0.07214333729639157,0.0361407159581644,9.0,10.333333333333334,3,Tony Dovolani,TV Personality,46,45-55,TV Personality,10,United States,US
13,Carson Kressley,19.4,0.09057250516155443,0.0543386376544827,8.6,8.2,5,Anna Trebunskaya,TV Personality,41,35-45,TV Personality,8,United States,US
13,Chaz Bono,18.833333333333332,0.09286033210906526,0.08408939321259201,7.0,8.166666666666666,6,Lacey Schwimmer,TV Personality,42,35-45,TV Personality,7,United States,US
13,Chynna Phillips,22.5,0.10143400057910973,0.09420365661613338,5.0,3.5,4,Tony Dovolani,Singer/Rapper,43,35-45,Musician,9,United States,US
13,David Arquette,22.071428571428573,0.11527470911506832,0.11081499197045633,5.571428571428571,5.142857142857143,7,Kym Johnson,Actor/Actress,40,35-45,Actor/Actress,6,United States,US
13,Elisabetta Canalis,18.0,0.08164741377528875,0.03240521954918525,11.5,8.0,2,Valentin Chmerkovskiy,Actor/Actress,33,25-35,Actor/Actress,11,Italy,International
13,Hope Solo,23.055533333333333,0.13604297250086403,0.13198720211028991,4.222222222222222,4.222222222222222,9,Maksim Chmerkoskiy,Athlete,30,25-35,Athlete,4,United States,US
13,J.R. Martinez,26.31665,0.17228823305570423,0.17004409294367595,2.0,2.1,10,Karina Smirnoff,Actor/Actress,28,25-35,Actor/Actress,1,United States,US
13,Kristin Cavallari,21.666666666666668,0.09582604499720843,0.09206946560304774,6.0,4.666666666666667,3,Mark Ballas,TV Personality,24,Under 25,TV Personality,10,United States,US
13,Metta World Peace (Ron),14.0,0.064516129032258,0.0212488673684823,11.0,12.0,1,Peta Murgatroyd,Athlete,31,25-35,Athlete,12,United States,US
13,Nancy Grace,21.125,0.11733044931434669,0.10321809674412072,5.75,6.5,8,Tristan MacManus,TV Personality,51,45-55,TV Personality,5,United States,US
13,Ricki Lake,26.59998,0.17460649887765323,0.19523615256952584,2.0,2.2,10,Derek Hough,Actor/Actress,42,35-45,Actor/Actress,3,United States,US
13,Rob Kardashian,24.3833,0.16300497574853304,0.20425511308407152,4.0,4.5,10,Cheryl Burke,TV Personality,24,Under 25,TV Personality,2,United States,US
14,Donald Driver,27.11665,0.15205779859660234,0.1605579717822146,4.0,3.6,10,Peta Murgatroyd,Athlete,37,35-45,Athlete,1,United States,US
14,Gavin DeGraw,21.4,0.08427782984197214,0.07044970629570092,7.8,7.8,5,Karina Smirnoff,Singer/Rapper,35,25-35,Musician,9,United States,US
14,Gladys Knight,22.0,0.08643435749142347,0.0600098713672201,7.833333333333333,8.0,6,Tristan MacManus,Singer/Rapper,67,55+,Musician,8,United States,US
14,Jack Wagner,22.666666666666668,0.08298879513253733,0.061779323449169865,9.0,7.666666666666667,3,Anna Trebunskaya,Actor/Actress,52,45-55,Actor/Actress,11,United States,US
14,Jaleel White,25.928542857142855,0.10732927135350825,0.11157251731565335,5.0,4.714285714285714,7,Kym Johnson,Actor/Actress,35,25-35,Actor/Actress,7,United States,US
14,Katherine Jenkins,28.54999,0.1574787731602889,0.17411508346061316,2.4,2.1,10,Mark Ballas,Singer/Rapper,31,25-35,Musician,2,Wales,International
14,Maria Menounos,26.72221111111111,0.13216227203192116,0.15238207640102447,3.0,3.7777777777777777,9,Derek Hough,TV Personality,33,25-35,TV Personality,4,United States,US
14,Martina Navratilova,18.5,0.0686355500481894,0.013559015305355599,12.0,11.5,2,Tony Dovolani,Athlete,55,45-55,Athlete,12,Czechoslovakia,International
14,Melissa Gilbert,23.25,0.10282706076596479,0.06326082202909379,7.875,8.125,8,Maksim Chmerkoskiy,Actor/Actress,47,45-55,Actor/Actress,5,United States,US
14,Roshon Fegan,25.999975,0.1150318041170195,0.10471867353501711,5.0,4.5,8,Chelsie Hightower,Actor/Actress,20,Under 25,Actor/Actress,6,United States,US
14,Sherri Sheperd,22.75,0.08663252125008425,0.06625512930505242,8.5,8.25,4,Valentin Chmerkovskiy,Actor/Actress,44,35-45,Actor/Actress,10,United States,US
14,William Levy,27.76666,0.1548235150952632,0.19672028963797825,2.3,3.2,10,Cheryl Burke,Actor/Actress,31,25-35,Actor/Actress,3,Cuba,International
15,Apolo Anton Ohno,28.4043,0.12371348609950189,0.13452428601912625,3.7777777777777777,3.6666666666666665,9,Karina Smirnoff,Athlete,30,25-35,Athlete,5,United States,US
15,Bristol Palin,23.0,0.07905262310336747,0.05061520521196665,9.5,10.5,4,Mark Ballas,TV Personality,21,Under 25,TV Personality,9,United States,US
15,Drew Lachey,22.666666666666668,0.0818701199116184,0.06440812172336913,8.666666666666666,7.333333333333333,3,Anna Trebunskaya,Singer/Rapper,36,35-45,Musician,11,United States,US
15,Emmitt Smith,28.117255555555555,0.12168099313699421,0.12046472755473522,4.555555555555555,5.444444444444445,9,Cheryl Burke,Athlete,43,35-45,Athlete,4,United States,US
15,Gilles Marini,29.1284375,0.11598974485832388,0.1145642443838012,4.25,3.25,8,Peta Murgatroyd,Actor/Actress,36,35-45,Actor/Actress,6,France,International
