company,industry,country,continent,layoff_date,layoff_count,workforce_percentage,funding_stage,total_funding_million_usd,stock_price_change_7d,hiring_status,reason,revenue_growth_percent,market_cap_billion_usd,company_size,layoff_severity_score,ai_automation_flag,economic_cycle_flag
Company_43,FinTech,Singapore,Asia,2021-10-06,37,4.79,Seed,1231.94,-12.14,Hiring,AI Automation,5.87,495.03,Enterprise,177.23,1,Pandemic Impact
Company_44,Finance,India,Asia,2022-08-21,218,13.58,Series C,1698.1,11.23,Slowdown,AI Automation,11.75,68.4,Startup,2960.44,1,Tech Correction
Company_45,Tech,India,Asia,2024-09-13,571,32.57,IPO,1621.18,3.98,Slowdown,Market Downturn,5.36,433.55,Enterprise,18597.47,0,AI Restructuring
Company_46,AI,Germany,Europe,2023-07-10,75,32.13,Series A,1301.68,-1.59,Freeze,AI Automation,8.48,351.01,Mid-size,2409.75,1,Tech Correction
Company_47,AI,Japan,Asia,2023-07-19,56,2.08,Seed,1159.84,6.61,Freeze,Restructuring,-13.0,219.29,Startup,116.48,0,Tech Correction
Company_48,Finance,India,Asia,2026-01-11,392,22.16,Series A,576.65,5.71,Freeze,AI Automation,-2.08,295.46,Enterprise,8686.72,1,AI Restructuring
Company_49,Manufacturing,India,Asia,2022-09-27,369,13.74,Series B,1656.6,1.15,Hiring,Overexpansion,4.29,135.84,Mid-size,5070.06,0,Tech Correction
Company_50,FinTech,Canada,North America,2026-11-10,24,3.02,IPO,1065.05,3.63,Slowdown,Restructuring,25.45,270.36,Startup,72.48,0,AI Restructuring
Company_51,AI,India,Asia,2021-07-04,142,38.81,Series B,1430.62,-18.92,Hiring,M&A Activity,-14.62,20.63,Startup,5511.02,0,Pandemic Impact
Company_52,FinTech,UK,Europe,2023-01-20,52,4.06,Series B,55.57,3.93,Hiring,M&A Activity,12.57,481.33,Enterprise,211.11999999999998,0,Tech Correction
Company_53,Manufacturing,Germany,Europe,2022-12-17,39,3.27,IPO,1830.85,-4.64,Freeze,Cost Cutting,0.21,221.23,Mid-size,127.53,0,Tech Correction
Company_54,Finance,Australia,Oceania,2023-02-07,257,37.45,Seed,1278.35,12.39,Freeze,AI Automation,-6.81,258.4,Startup,9624.650000000001,1,Tech Correction
Company_55,AI,UK,Europe,2024-12-14,157,17.36,IPO,499.22,11.98,Freeze,Restructuring,1.44,178.05,Enterprise,2725.52,0,AI Restructuring
Company_56,Tech,India,Asia,2020-11-04,97,30.77,Series A,1614.79,-6.99,Hiring,Market Downturn,36.7,173.22,Enterprise,2984.69,0,Pandemic Impact
Company_57,FinTech,UK,Europe,2024-10-26,459,25.02,Series A,1272.01,-14.49,Freeze,Market Downturn,26.62,22.75,Startup,11484.18,0,AI Restructuring
Company_58,Tech,Brazil,South America,2022-05-10,552,20.54,Series A,1081.06,-1.81,Hiring,Market Downturn,13.52,342.01,Enterprise,11338.08,0,Tech Correction
Company_59,FinTech,Australia,Oceania,2026-12-17,6,2.03,Series A,1173.62,7.24,Hiring,AI Automation,-23.46,470.12,Startup,12.18,1,AI Restructuring
Company_60,Energy,USA,North America,2022-01-04,157,6.01,Series B,1623.35,0.58,Slowdown,M&A Activity,22.06,410.34,Mid-size,943.5699999999999,0,Tech Correction
Company_61,Retail,Canada,North America,2021-10-14,468,36.31,Seed,395.6,-7.98,Hiring,Overexpansion,9.21,34.77,Mid-size,16993.08,0,Pandemic Impact
Company_62,Retail,Germany,Europe,2025-02-28,238,26.57,Series B,773.87,-9.6,Hiring,AI Automation,-13.57,340.84,Mid-size,6323.66,1,AI Restructuring
Company_63,Tech,Germany,Europe,2024-06-20,110,5.61,Series B,1394.99,1.65,Hiring,Market Downturn,10.43,314.51,Mid-size,617.1,0,AI Restructuring
Company_64,Manufacturing,Singapore,Asia,2024-06-25,522,38.74,IPO,1098.2,10.5,Hiring,Cost Cutting,33.06,211.79,Mid-size,20222.280000000002,0,AI Restructuring
Company_65,AI,UK,Europe,2026-07-06,200,17.09,Series B,747.18,-4.62,Hiring,Restructuring,13.21,388.23,Startup,3418.0,0,AI Restructuring
Company_66,Energy,Brazil,South America,2023-07-08,24,10.31,Series C,1361.29,-13.74,Slowdown,Cost Cutting,-4.4,369.98,Enterprise,247.44,0,Tech Correction
Company_67,Energy,Germany,Europe,2022-11-09,470,20.37,Seed,782.29,-4.0,Freeze,Cost Cutting,10.88,148.89,Enterprise,9573.9,0,Tech Correction
Company_68,FinTech,Singapore,Asia,2022-03-18,1135,38.07,Series B,1149.01,-6.57,Hiring,M&A Activity,-21.88,315.96,Mid-size,43209.45,0,Tech Correction
Company_69,Manufacturing,Brazil,South America,2021-05-25,259,22.59,Series B,429.39,-1.01,Freeze,M&A Activity,-0.14,473.1,Enterprise,5850.81,0,Pandemic Impact
Company_70,Energy,Brazil,South America,2024-07-06,358,20.28,Series B,119.83,-4.18,Hiring,AI Automation,19.63,274.81,Enterprise,7260.240000000001,1,AI Restructuring
Company_71,Energy,Australia,Oceania,2021-12-13,95,28.53,IPO,1937.46,-2.34,Freeze,Overexpansion,6.35,344.05,Enterprise,2710.35,0,Pandemic Impact
Company_72,FinTech,USA,North America,2023-05-29,306,17.62,Series B,449.04,-2.37,Freeze,Restructuring,-18.72,198.39,Startup,5391.72,0,Tech Correction
Company_73,Manufacturing,Japan,Asia,2024-12-14,268,15.6,Series C,744.43,7.88,Hiring,Restructuring,-4.96,406.42,Enterprise,4180.8,0,AI Restructuring
Company_74,EdTech,UK,Europe,2020-12-13,85,15.74,Series B,1411.64,-18.01,Slowdown,M&A Activity,-5.87,124.44,Enterprise,1337.9,0,Pandemic Impact
Company_75,Manufacturing,India,Asia,2022-08-20,5,1.44,Series B,939.98,3.17,Hiring,AI Automation,24.07,28.25,Startup,7.199999999999999,1,Tech Correction
Company_76,Tech,USA,North America,2022-09-29,225,10.26,Series C,803.44,-9.75,Hiring,Overexpansion,5.86,238.91,Enterprise,2308.5,0,Tech Correction
Company_77,Energy,Germany,Europe,2024-04-21,458,38.57,Series C,29.25,-2.9,Hiring,AI Automation,8.36,484.94,Mid-size,17665.06,1,AI Restructuring
Company_78,Tech,India,Asia,2024-10-07,141,10.87,Series A,1392.35,-7.45,Slowdown,Restructuring,-2.08,37.81,Startup,1532.6699999999998,0,AI Restructuring
Company_79,EdTech,USA,North America,2026-04-02,227,18.73,Series A,1256.98,4.81,Freeze,AI Automation,3.34,292.2,Startup,4251.71,1,AI Restructuring
Company_80,EdTech,Singapore,Asia,2026-04-08,101,14.09,IPO,343.51,-7.47,Freeze,Restructuring,-15.29,323.46,Mid-size,1423.09,0,AI Restructuring
Company_81,FinTech,Australia,Oceania,2026-02-22,23,4.03,Series C,1948.92,12.01,Slowdown,Overexpansion,10.13,493.11,Startup,92.69000000000001,0,AI Restructuring
Company_82,EdTech,Canada,North America,2022-10-09,192,17.04,Series B,1207.55,2.19,Freeze,M&A Activity,3.16,135.55,Enterprise,3271.68,0,Tech Correction
Company_83,Retail,Canada,North America,2024-12-06,188,24.92,Seed,839.39,-5.26,Freeze,AI Automation,3.9,466.37,Enterprise,4684.96,1,AI Restructuring
Company_84,AI,Brazil,South America,2023-08-02,945,39.5,IPO,305.08,-3.69,Hiring,AI Automation,10.11,297.11,Startup,37327.5,1,Tech Correction
Company_85,Retail,Australia,Oceania,2021-09-17,207,23.19,Series A,131.71,-6.88,Freeze,Overexpansion,8.28,18.51,Startup,4800.33,0,Pandemic Impact
Company_86,Manufacturing,Singapore,Asia,2025-03-23,303,39.99,Series C,1993.29,1.98,Hiring,Overexpansion,-1.75,277.76,Startup,12116.970000000001,0,AI Restructuring
Company_87,Energy,USA,North America,2026-06-16,103,9.0,Series C,506.63,-5.06,Hiring,Market Downturn,10.0,137.44,Mid-size,927.0,0,AI Restructuring
Company_88,AI,Australia,Oceania,2024-09-12,134,25.11,IPO,719.53,13.38,Slowdown,Restructuring,8.64,56.87,Enterprise,3364.74,0,AI Restructuring
Company_89,Retail,Japan,Asia,2022-06-17,790,33.42,Series B,619.02,7.74,Freeze,Cost Cutting,11.21,408.21,Mid-size,26401.800000000003,0,Tech Correction
Company_90,Energy,Brazil,South America,2024-07-14,17,2.12,Series A,1511.5,2.49,Hiring,Restructuring,-9.47,310.19,Mid-size,36.04,0,AI Restructuring
Company_91,FinTech,USA,North America,2024-06-01,374,25.07,IPO,1961.02,13.42,Slowdown,Cost Cutting,17.35,304.08,Enterprise,9376.18,0,AI Restructuring
Company_92,Finance,Australia,Oceania,2021-07-09,193,36.26,Series C,699.77,7.68,Hiring,Market Downturn,-2.3,257.04,Startup,6998.179999999999,0,Pandemic Impact
Company_93,Energy,Brazil,South America,2022-05-16,205,21.42,Series C,1396.8,-4.15,Freeze,Overexpansion,23.18,398.26,Mid-size,4391.1,0,Tech Correction
Company_94,AI,Australia,Oceania,2022-10-30,392,18.91,Seed,1960.16,-14.53,Hiring,M&A Activity,21.84,246.36,Mid-size,7412.72,0,Tech Correction
Company_95,FinTech,USA,North America,2023-12-04,462,21.95,Series A,922.94,-9.5,Hiring,M&A Activity,29.18,292.42,Enterprise,10140.9,0,Tech Correction
Company_96,Tech,USA,North America,2022-10-09,88,8.09,Series A,694.61,-5.55,Slowdown,AI Automation,35.83,448.4,Startup,711.92,1,Tech Correction
Company_97,Retail,UK,Europe,2025-04-23,9,8.5,Seed,86.53,-7.47,Hiring,Overexpansion,-7.23,84.55,Enterprise,76.5,0,AI Restructuring
Company_98,AI,Brazil,South America,2021-11-18,53,5.7,IPO,924.25,-21.26,Slowdown,M&A Activity,5.86,103.25,Enterprise,302.1,0,Pandemic Impact
Company_99,Finance,UK,Europe,2023-06-28,275,13.54,Seed,189.12,12.79,Hiring,Market Downturn,6.84,240.62,Enterprise,3723.4999999999995,0,Tech Correction
Company_100,Energy,Australia,Oceania,2022-03-23,112,36.91,Seed,126.85,3.06,Slowdown,M&A Activity,14.21,138.51,Enterprise,4133.92,0,Tech Correction
Company_101,Retail,India,Asia,2023-05-20,582,39.46,IPO,1075.5,-9.24,Slowdown,Cost Cutting,16.53,462.03,Startup,22965.72,0,Tech Correction
Company_102,Manufacturing,Singapore,Asia,2024-10-20,24,19.04,Series B,1496.2,-10.9,Slowdown,M&A Activity,17.77,18.44,Startup,456.96,0,AI Restructuring
Company_103,Manufacturing,USA,North America,2024-09-16,575,33.93,Series C,1500.48,4.21,Freeze,Market Downturn,-0.37,15.33,Startup,19509.75,0,AI Restructuring
Company_104,EdTech,UK,Europe,2024-11-18,204,10.46,Series A,542.14,-11.65,Slowdown,M&A Activity,-4.7,188.7,Enterprise,2133.84,0,AI Restructuring
Company_105,AI,Singapore,Asia,2025-06-03,86,10.1,Series C,689.14,-13.46,Slowdown,Restructuring,25.15,237.04,Mid-size,868.6,0,AI Restructuring
Company_106,AI,Brazil,South America,2022-10-02,60,4.39,Seed,1076.53,9.66,Freeze,AI Automation,-1.61,293.46,Mid-size,263.4,1,Tech Correction
Company_107,EdTech,Australia,Oceania,2023-10-09,448,15.77,Seed,678.21,1.76,Freeze,AI Automation,-16.23,449.83,Mid-size,7064.96,1,Tech Correction
Company_108,EdTech,Germany,Europe,2023-12-24,1011,39.47,Series B,1213.52,-6.9,Freeze,Restructuring,-4.76,118.69,Mid-size,39904.17,0,Tech Correction
Company_109,AI,Singapore,Asia,2020-02-11,41,4.43,IPO,1612.7,-1.84,Hiring,AI Automation,16.96,27.92,Startup,181.63,1,Pandemic Impact
Company_110,Energy,Japan,Asia,2026-03-24,631,32.87,Series A,519.52,-1.34,Freeze,M&A Activity,12.92,85.53,Enterprise,20740.969999999998,0,AI Restructuring
Company_111,EdTech,Japan,Asia,2020-03-11,206,21.87,Seed,955.86,2.11,Hiring,Overexpansion,-8.65,419.31,Mid-size,4505.22,0,Pandemic Impact
Company_112,Retail,Canada,North America,2026-07-10,60,10.45,Series B,234.1,-16.29,Slowdown,Restructuring,14.58,305.35,Mid-size,627.0,0,AI Restructuring
Company_113,Manufacturing,Australia,Oceania,2026-03-04,70,37.35,Series B,644.68,-20.11,Slowdown,Overexpansion,-6.22,296.98,Mid-size,2614.5,0,AI Restructuring
Company_114,AI,Canada,North America,2022-10-26,15,3.47,Series A,1979.97,3.08,Slowdown,AI Automation,-4.03,161.24,Startup,52.050000000000004,1,Tech Correction
Company_115,Manufacturing,India,Asia,2026-01-03,18,1.11,Series A,237.81,0.72,Hiring,M&A Activity,24.33,236.64,Startup,19.98,0,AI Restructuring
Company_116,EdTech,Canada,North America,2026-08-11,435,37.25,IPO,1662.09,-7.83,Freeze,Cost Cutting,10.57,482.52,Enterprise,16203.75,0,AI Restructuring
Company_117,Retail,Canada,North America,2022-07-20,122,9.0,Series B,761.56,0.98,Freeze,Cost Cutting,13.69,463.23,Startup,1098.0,0,Tech Correction
Company_118,FinTech,UK,Europe,2023-01-28,128,8.86,Seed,331.49,5.28,Slowdown,Market Downturn,13.15,82.22,Startup,1134.08,0,Tech Correction
Company_119,Healthcare,Japan,Asia,2021-02-24,100,14.99,Seed,1755.02,7.41,Freeze,Overexpansion,1.25,196.28,Enterprise,1499.0,0,Pandemic Impact
Company_120,EdTech,Japan,Asia,2023-10-27,588,22.05,Series A,880.3,-15.91,Freeze,Overexpansion,-13.16,288.79,Startup,12965.4,0,Tech Correction
Company_121,Finance,India,Asia,2024-06-29,316,36.35,Series C,1250.35,1.55,Slowdown,M&A Activity,7.48,58.54,Startup,11486.6,0,AI Restructuring
Company_122,Tech,UK,Europe,2021-09-03,41,6.43,IPO,1589.08,-2.34,Hiring,AI Automation,19.49,310.07,Mid-size,263.63,1,Pandemic Impact
Company_123,Finance,Singapore,Asia,2024-08-31,187,39.91,IPO,1506.04,0.1,Slowdown,AI Automation,-2.45,353.52,Enterprise,7463.169999999999,1,AI Restructuring
Company_124,FinTech,Australia,Oceania,2025-01-19,56,23.23,Series C,1526.11,-7.08,Slowdown,Overexpansion,20.56,438.4,Mid-size,1300.88,0,AI Restructuring
Company_125,AI,USA,North America,2026-11-02,194,15.77,Seed,916.72,-1.54,Slowdown,AI Automation,52.62,302.02,Startup,3059.38,1,AI Restructuring
Company_126,AI,India,Asia,2021-10-05,127,9.94,Series A,1445.89,5.07,Slowdown,Cost Cutting,25.79,360.05,Startup,1262.3799999999999,0,Pandemic Impact
Company_127,Healthcare,USA,North America,2024-07-31,394,28.93,Series C,1200.06,-0.39,Slowdown,Overexpansion,3.32,413.42,Enterprise,11398.42,0,AI Restructuring
Company_128,AI,USA,North America,2022-08-06,159,17.52,Series B,579.42,-6.52,Freeze,M&A Activity,0.97,307.51,Enterprise,2785.68,0,Tech Correction
Company_129,EdTech,India,Asia,2022-08-14,643,35.01,Series B,1864.58,-1.21,Slowdown,M&A Activity,12.22,282.61,Enterprise,22511.43,0,Tech Correction
Company_130,Retail,Australia,Oceania,2021-04-15,15,6.95,IPO,1154.7,-7.09,Slowdown,AI Automation,28.9,303.4,Startup,104.25,1,Pandemic Impact
Company_131,AI,UK,Europe,2020-10-19,479,33.78,Seed,1821.82,-6.96,Freeze,Restructuring,-4.41,61.49,Startup,16180.62,0,Pandemic Impact
Company_132,AI,Japan,Asia,2021-05-24,30,5.86,Series C,1842.08,1.19,Freeze,M&A Activity,43.08,434.96,Enterprise,175.8,0,Pandemic Impact
Company_133,Energy,Canada,North America,2025-08-11,112,15.79,IPO,1489.78,7.55,Freeze,Cost Cutting,12.13,102.87,Mid-size,1768.48,0,AI Restructuring
Company_134,Tech,Australia,Oceania,2023-08-13,132,17.17,IPO,1727.72,-25.28,Hiring,Cost Cutting,-18.34,461.49,Mid-size,2266.44,0,Tech Correction
Company_135,Retail,USA,North America,2023-01-08,483,18.64,IPO,453.09,-5.18,Hiring,Overexpansion,1.31,226.27,Startup,9003.12,0,Tech Correction
Company_136,FinTech,Japan,Asia,2023-02-13,163,7.46,Series A,72.59,4.25,Freeze,M&A Activity,-5.77,155.81,Enterprise,1215.98,0,Tech Correction
Company_137,EdTech,India,Asia,2025-04-09,10,1.51,Series B,1328.76,-4.32,Freeze,Market Downturn,-6.99,89.1,Mid-size,15.1,0,AI Restructuring
Company_138,Finance,UK,Europe,2023-09-12,157,8.19,Series C,602.69,-18.29,Freeze,Market Downturn,-15.44,155.04,Enterprise,1285.83,0,Tech Correction
Company_139,Energy,Singapore,Asia,2020-05-30,378,36.02,Series C,414.25,-7.35,Freeze,Market Downturn,4.51,95.42,Startup,13615.560000000001,0,Pandemic Impact
Company_140,Manufacturing,India,Asia,2024-07-13,357,23.91,IPO,591.62,12.6,Slowdown,Restructuring,41.45,357.06,Startup,8535.87,0,AI Restructuring
Company_141,EdTech,Australia,Oceania,2020-08-10,205,16.63,Series A,1121.48,-5.04,Freeze,Restructuring,9.35,77.7,Enterprise,3409.1499999999996,0,Pandemic Impact
Company_142,EdTech,Japan,Asia,2020-07-30,104,11.62,Series A,1795.37,-20.39,Slowdown,AI Automation,23.33,263.34,Mid-size,1208.48,1,Pandemic Impact
Company_143,AI,Japan,Asia,2025-06-08,190,10.01,Seed,1345.43,-4.04,Slowdown,Restructuring,6.48,9.95,Startup,1901.8999999999999,0,AI Restructuring
Company_144,Retail,UK,Europe,2023-06-26,1006,35.61,IPO,1115.66,0.36,Slowdown,Overexpansion,23.75,360.43,Startup,35823.659999999996,0,Tech Correction
Company_145,Finance,Germany,Europe,2021-04-09,208,37.83,Series C,286.46,-5.06,Slowdown,AI Automation,-4.05,203.26,Startup,7868.639999999999,1,Pandemic Impact
Company_146,EdTech,Canada,North America,2025-09-15,16,4.33,Series B,419.73,-13.01,Freeze,Overexpansion,9.89,13.36,Mid-size,69.28,0,AI Restructuring
Company_147,Retail,Japan,Asia,2026-03-07,213,28.45,Series A,1821.69,-7.06,Hiring,Restructuring,20.08,312.42,Mid-size,6059.849999999999,0,AI Restructuring
Company_148,FinTech,UK,Europe,2020-10-12,193,24.02,Series B,539.79,-20.36,Freeze,Restructuring,23.7,312.11,Mid-size,4635.86,0,Pandemic Impact
Company_149,AI,USA,North America,2023-03-04,159,12.48,Series B,1897.16,-3.25,Slowdown,M&A Activity,19.58,381.83,Enterprise,1984.3200000000002,0,Tech Correction
Company_150,EdTech,UK,Europe,2025-01-03,14,8.1,IPO,972.13,5.46,Freeze,Market Downturn,18.05,256.28,Mid-size,113.39999999999999,0,AI Restructuring
Company_151,FinTech,Singapore,Asia,2024-03-25,149,11.06,Series C,283.02,-0.22,Hiring,M&A Activity,5.28,417.48,Mid-size,1647.94,0,AI Restructuring
Company_152,Retail,Australia,Oceania,2022-08-14,331,11.62,Series C,41.69,-10.83,Freeze,M&A Activity,7.94,457.16,Startup,3846.22,0,Tech Correction
Company_153,EdTech,Australia,Oceania,2024-04-30,35,3.62,Series A,813.47,-0.49,Hiring,AI Automation,-3.42,248.78,Mid-size,126.7,1,AI Restructuring
Company_154,FinTech,Brazil,South America,2021-02-15,27,6.34,Series C,1800.54,9.56,Slowdown,Overexpansion,29.31,436.96,Startup,171.18,0,Pandemic Impact
Company_155,Tech,UK,Europe,2024-08-06,68,7.84,Series A,1829.25,-21.96,Freeze,Market Downturn,10.75,209.44,Startup,533.12,0,AI Restructuring
Company_156,Manufacturing,Australia,Oceania,2020-11-24,17,7.49,Series B,1477.38,1.65,Slowdown,Overexpansion,-16.52,41.49,Enterprise,127.33,0,Pandemic Impact
Company_157,Manufacturing,Japan,Asia,2026-01-25,66,33.65,Seed,877.2,9.01,Hiring,AI Automation,16.22,457.77,Enterprise,2220.9,1,AI Restructuring
Company_158,AI,Germany,Europe,2021-01-05,280,19.57,Series C,1329.02,2.6,Slowdown,M&A Activity,-7.88,468.42,Startup,5479.6,0,Pandemic Impact
Company_159,Finance,Japan,Asia,2021-11-12,95,11.23,Series B,1192.18,-3.77,Hiring,Market Downturn,43.4,25.81,Startup,1066.8500000000001,0,Pandemic Impact
Company_160,Tech,Canada,North America,2024-01-08,134,25.31,Series B,951.1,-17.24,Hiring,AI Automation,-10.69,172.26,Mid-size,3391.54,1,AI Restructuring
Company_161,FinTech,Australia,Oceania,2026-05-07,30,27.85,Series A,872.48,1.26,Hiring,Cost Cutting,12.5,123.28,Startup,835.5,0,AI Restructuring
Company_162,Energy,Germany,Europe,2025-07-31,85,38.74,IPO,15.48,-7.76,Hiring,Overexpansion,19.79,51.64,Startup,3292.9,0,AI Restructuring
