产品名称,给药途径,剂型,年份,厂家,规格,终端类型,销售额
盐酸特拉唑嗪片,口服,片,2019,雅培,2mg,乡镇卫生,1431441
盐酸特拉唑嗪片,口服,片,2020,上海中华药业,2mg,乡镇卫生,22656
盐酸特拉唑嗪片,口服,片,2020,华润赛科药业,2mg,乡镇卫生,2328510
盐酸特拉唑嗪片,口服,片,2020,常州制药,2mg,乡镇卫生,51702
盐酸特拉唑嗪片,口服,片,2020,扬州一洋制药,2mg,乡镇卫生,886
盐酸特拉唑嗪片,口服,片,2020,武汉东信医药,2mg,乡镇卫生,154348
盐酸特拉唑嗪片,口服,片,2020,浙江亚太药业,2mg,乡镇卫生,72495
盐酸特拉唑嗪片,口服,片,2020,海南绿岛制药,2mg,乡镇卫生,220834
盐酸特拉唑嗪片,口服,片,2020,苏州东瑞制药,2mg,乡镇卫生,479204
盐酸特拉唑嗪片,口服,片,2020,郑州瑞康制药,2mg,乡镇卫生,18416
盐酸特拉唑嗪片,口服,片,2020,雅培,2mg,乡镇卫生,854586
盐酸特拉唑嗪片,口服,片,2021,华润赛科药业,2mg,乡镇卫生,4032715
盐酸特拉唑嗪片,口服,片,2021,常州制药,2mg,乡镇卫生,11922
盐酸特拉唑嗪片,口服,片,2021,武汉东信医药,2mg,乡镇卫生,141738
盐酸特拉唑嗪片,口服,片,2021,浙江亚太药业,2mg,乡镇卫生,18133
盐酸特拉唑嗪片,口服,片,2021,海南绿岛制药,2mg,乡镇卫生,3979
盐酸特拉唑嗪片,口服,片,2021,苏州东瑞制药,2mg,乡镇卫生,147832
盐酸特拉唑嗪片,口服,片,2021,郑州瑞康制药,2mg,乡镇卫生,49157
盐酸特拉唑嗪片,口服,片,2021,雅培,2mg,乡镇卫生,202679
盐酸特拉唑嗪片,口服,片,2022,华润赛科药业,2mg,乡镇卫生,3660000
盐酸特拉唑嗪片,口服,片,2022,武汉东信医药,2mg,乡镇卫生,10000
盐酸特拉唑嗪片,口服,片,2022,海南绿岛制药,2mg,乡镇卫生,40000
盐酸特拉唑嗪片,口服,片,2022,苏州东瑞制药,2mg,乡镇卫生,20000
盐酸特拉唑嗪片,口服,片,2022,雅培,2mg,乡镇卫生,210000
盐酸特拉唑嗪片,口服,片,2023,华润赛科药业,2mg,乡镇卫生,2670000
盐酸特拉唑嗪片,口服,片,2023,常州制药,2mg,乡镇卫生,90000
盐酸特拉唑嗪片,口服,片,2023,武汉东信医药,2mg,乡镇卫生,40000
盐酸特拉唑嗪片,口服,片,2023,海南绿岛制药,2mg,乡镇卫生,390000
盐酸特拉唑嗪片,口服,片,2023,雅培,2mg,乡镇卫生,410000
盐酸特拉唑嗪片,口服,片,2024,华润赛科药业,2mg,乡镇卫生,2120000
盐酸特拉唑嗪片,口服,片,2024,常州制药,2mg,乡镇卫生,180000
盐酸特拉唑嗪片,口服,片,2024,武汉东信医药,2mg,乡镇卫生,40000
盐酸特拉唑嗪片,口服,片,2024,海南绿岛制药,2mg,乡镇卫生,450000
盐酸特拉唑嗪片,口服,片,2024,雅培,2mg,乡镇卫生,330000
盐酸特拉唑嗪片,口服,片,2025 H1,华润赛科药业,2mg,乡镇卫生,910000
盐酸特拉唑嗪片,口服,片,2025 H1,常州制药,2mg,乡镇卫生,80000
盐酸特拉唑嗪片,口服,片,2025 H1,武汉东信医药,2mg,乡镇卫生,20000
盐酸特拉唑嗪片,口服,片,2025 H1,海南绿岛制药,2mg,乡镇卫生,270000
盐酸特拉唑嗪片,口服,片,2025 H1,雅培,2mg,乡镇卫生,220000
盐酸特拉唑嗪胶囊,口服,胶囊,2017,哈尔滨一洲制药,2mg,乡镇卫生,36096
盐酸特拉唑嗪胶囊,口服,胶囊,2017,哈药制药总厂,2mg,乡镇卫生,83722
盐酸特拉唑嗪胶囊,口服,胶囊,2017,国药国瑞药业,2mg,乡镇卫生,247863
盐酸特拉唑嗪胶囊,口服,胶囊,2017,天津中天制药,2mg,乡镇卫生,1320
盐酸特拉唑嗪胶囊,口服,胶囊,2017,扬子江江苏制药,2mg,乡镇卫生,76323
盐酸特拉唑嗪胶囊,口服,胶囊,2017,扬州三药制药,2mg,乡镇卫生,65519
盐酸特拉唑嗪胶囊,口服,胶囊,2017,浙江诚意药业,2mg,乡镇卫生,13984
盐酸特拉唑嗪胶囊,口服,胶囊,2017,重庆华森制药,2mg,乡镇卫生,98565
盐酸特拉唑嗪胶囊,口服,胶囊,2017,齐鲁制药,2mg,乡镇卫生,775479
盐酸特拉唑嗪胶囊,口服,胶囊,2018,世贸天阶制药(江苏),2mg,乡镇卫生,2741
盐酸特拉唑嗪胶囊,口服,胶囊,2018,哈尔滨一洲制药,2mg,乡镇卫生,17422
盐酸特拉唑嗪胶囊,口服,胶囊,2018,哈药制药总厂,2mg,乡镇卫生,34373
盐酸特拉唑嗪胶囊,口服,胶囊,2018,国药国瑞药业,2mg,乡镇卫生,205007
盐酸特拉唑嗪胶囊,口服,胶囊,2018,天津中天制药,2mg,乡镇卫生,5705
盐酸特拉唑嗪胶囊,口服,胶囊,2018,扬子江江苏制药,2mg,乡镇卫生,60611
盐酸特拉唑嗪胶囊,口服,胶囊,2018,扬州三药制药,2mg,乡镇卫生,65940
盐酸特拉唑嗪胶囊,口服,胶囊,2018,浙江诚意药业,2mg,乡镇卫生,36920
盐酸特拉唑嗪胶囊,口服,胶囊,2018,淄博万杰制药,2mg,乡镇卫生,6006
盐酸特拉唑嗪胶囊,口服,胶囊,2018,重庆华森制药,2mg,乡镇卫生,137633
盐酸特拉唑嗪胶囊,口服,胶囊,2018,齐鲁制药,2mg,乡镇卫生,734344
盐酸特拉唑嗪胶囊,口服,胶囊,2019,哈药制药总厂,2mg,乡镇卫生,6234
盐酸特拉唑嗪胶囊,口服,胶囊,2019,国药国瑞药业,2mg,乡镇卫生,180613
盐酸特拉唑嗪胶囊,口服,胶囊,2019,扬子江江苏制药,2mg,乡镇卫生,105908
盐酸特拉唑嗪胶囊,口服,胶囊,2019,扬州三药制药,2mg,乡镇卫生,76480
盐酸特拉唑嗪胶囊,口服,胶囊,2019,浙江诚意药业,2mg,乡镇卫生,25352
盐酸特拉唑嗪胶囊,口服,胶囊,2019,淄博万杰制药,2mg,乡镇卫生,6842
盐酸特拉唑嗪胶囊,口服,胶囊,2019,重庆华森制药,2mg,乡镇卫生,151290
盐酸特拉唑嗪胶囊,口服,胶囊,2019,齐鲁制药,2mg,乡镇卫生,502702
盐酸特拉唑嗪胶囊,口服,胶囊,2020,国药国瑞药业,2mg,乡镇卫生,43680
盐酸特拉唑嗪胶囊,口服,胶囊,2020,扬子江江苏制药,2mg,乡镇卫生,868361
盐酸特拉唑嗪胶囊,口服,胶囊,2020,扬州三药制药,2mg,乡镇卫生,56661
盐酸特拉唑嗪胶囊,口服,胶囊,2020,浙江诚意药业,2mg,乡镇卫生,9049
盐酸特拉唑嗪胶囊,口服,胶囊,2020,重庆华森制药,2mg,乡镇卫生,97562
盐酸特拉唑嗪胶囊,口服,胶囊,2020,齐鲁制药,2mg,乡镇卫生,231931
盐酸特拉唑嗪胶囊,口服,胶囊,2021,国药国瑞药业,2mg,乡镇卫生,3868
盐酸特拉唑嗪胶囊,口服,胶囊,2021,扬子江江苏制药,2mg,乡镇卫生,1945310
盐酸特拉唑嗪胶囊,口服,胶囊,2021,扬州三药制药,2mg,乡镇卫生,3183
盐酸特拉唑嗪胶囊,口服,胶囊,2021,浙江诚意药业,2mg,乡镇卫生,2475
盐酸特拉唑嗪胶囊,口服,胶囊,2021,重庆华森制药,2mg,乡镇卫生,43059
盐酸特拉唑嗪胶囊,口服,胶囊,2021,齐鲁制药,2mg,乡镇卫生,143426
盐酸特拉唑嗪胶囊,口服,胶囊,2022,扬子江江苏制药,2mg,乡镇卫生,1870000
盐酸特拉唑嗪胶囊,口服,胶囊,2022,重庆华森制药,2mg,乡镇卫生,30000
盐酸特拉唑嗪胶囊,口服,胶囊,2022,齐鲁制药,2mg,乡镇卫生,190000
盐酸特拉唑嗪胶囊,口服,胶囊,2023,扬子江江苏制药,2mg,乡镇卫生,2310000
盐酸特拉唑嗪胶囊,口服,胶囊,2023,重庆华森制药,2mg,乡镇卫生,300000
盐酸特拉唑嗪胶囊,口服,胶囊,2023,齐鲁制药,2mg,乡镇卫生,30000
盐酸特拉唑嗪胶囊,口服,胶囊,2024,扬子江江苏制药,2mg,乡镇卫生,2850000
盐酸特拉唑嗪胶囊,口服,胶囊,2024,重庆华森制药,2mg,乡镇卫生,530000
盐酸特拉唑嗪胶囊,口服,胶囊,2024,齐鲁制药,2mg,乡镇卫生,80000
盐酸特拉唑嗪胶囊,口服,胶囊,2025 H1,扬子江江苏制药,2mg,乡镇卫生,1350000
盐酸特拉唑嗪胶囊,口服,胶囊,2025 H1,重庆华森制药,2mg,乡镇卫生,230000
盐酸特拉唑嗪胶囊,口服,胶囊,2025 H1,齐鲁制药,2mg,乡镇卫生,40000
艾普拉唑肠溶片,口服,肠溶片,2017,丽珠集团丽珠制药,5mg,乡镇卫生,214283
艾普拉唑肠溶片,口服,肠溶片,2018,丽珠集团丽珠制药,5mg,乡镇卫生,293688
艾普拉唑肠溶片,口服,肠溶片,2019,丽珠集团丽珠制药,5mg,乡镇卫生,779794
艾普拉唑肠溶片,口服,肠溶片,2020,丽珠集团丽珠制药,5mg,乡镇卫生,3361061
艾普拉唑肠溶片,口服,肠溶片,2021,丽珠集团丽珠制药,5mg,乡镇卫生,6088427
艾普拉唑肠溶片,口服,肠溶片,2022,丽珠集团丽珠制药,5mg,乡镇卫生,6750000
艾普拉唑肠溶片,口服,肠溶片,2023,丽珠集团丽珠制药,5mg,乡镇卫生,9100000
艾普拉唑肠溶片,口服,肠溶片,2024,丽珠集团丽珠制药,5mg,乡镇卫生,10010000
艾普拉唑肠溶片,口服,肠溶片,2025 H1,丽珠集团丽珠制药,5mg,乡镇卫生,4090000
奥美拉唑肠溶片,口服,肠溶片,2017,信合援生制药,10mg,乡镇卫生,15697319
奥美拉唑肠溶片,口服,肠溶片,2017,山东新时代药业,10mg,乡镇卫生,1451010
奥美拉唑肠溶片,口服,肠溶片,2017,辰欣药业,10mg,乡镇卫生,26302589
奥美拉唑肠溶片,口服,肠溶片,2017,青岛双鲸药业,10mg,乡镇卫生,965004
奥美拉唑肠溶片,口服,肠溶片,2018,信合援生制药,10mg,乡镇卫生,17192466
奥美拉唑肠溶片,口服,肠溶片,2018,山东新时代药业,10mg,乡镇卫生,4544528
奥美拉唑肠溶片,口服,肠溶片,2018,辰欣药业,10mg,乡镇卫生,14695916
奥美拉唑肠溶片,口服,肠溶片,2018,青岛双鲸药业,10mg,乡镇卫生,1080882
奥美拉唑肠溶片,口服,肠溶片,2019,信合援生制药,10mg,乡镇卫生,19847827
奥美拉唑肠溶片,口服,肠溶片,2019,山东新时代药业,10mg,乡镇卫生,10179487
奥美拉唑肠溶片,口服,肠溶片,2019,辰欣药业,10mg,乡镇卫生,4434878
奥美拉唑肠溶片,口服,肠溶片,2019,青岛双鲸药业,10mg,乡镇卫生,621500
奥美拉唑肠溶片,口服,肠溶片,2020,信合援生制药,10mg,乡镇卫生,20781988
奥美拉唑肠溶片,口服,肠溶片,2020,山东新时代药业,10mg,乡镇卫生,10433881
奥美拉唑肠溶片,口服,肠溶片,2020,辰欣药业,10mg,乡镇卫生,412053
奥美拉唑肠溶片,口服,肠溶片,2020,青岛双鲸药业,10mg,乡镇卫生,592430
奥美拉唑肠溶片,口服,肠溶片,2021,信合援生制药,10mg,乡镇卫生,3378977
奥美拉唑肠溶片,口服,肠溶片,2021,山东新时代药业,10mg,乡镇卫生,22625106
奥美拉唑肠溶片,口服,肠溶片,2021,辰欣药业,10mg,乡镇卫生,292959
奥美拉唑肠溶片,口服,肠溶片,2021,青岛双鲸药业,10mg,乡镇卫生,81292
奥美拉唑肠溶片,口服,肠溶片,2022,信合援生制药,10mg,乡镇卫生,1760000
奥美拉唑肠溶片,口服,肠溶片,2022,山东新时代药业,10mg,乡镇卫生,6730000
奥美拉唑肠溶片,口服,肠溶片,2022,辰欣药业,10mg,乡镇卫生,70000
奥美拉唑肠溶片,口服,肠溶片,2023,信合援生制药,10mg,乡镇卫生,1830000
奥美拉唑肠溶片,口服,肠溶片,2023,山东新时代药业,10mg,乡镇卫生,5010000
奥美拉唑肠溶片,口服,肠溶片,2024,信合援生制药,10mg,乡镇卫生,2150000
奥美拉唑肠溶片,口服,肠溶片,2024,山东新时代药业,10mg,乡镇卫生,3550000
奥美拉唑肠溶片,口服,肠溶片,2025 H1,信合援生制药,10mg,乡镇卫生,1450000
奥美拉唑肠溶片,口服,肠溶片,2025 H1,山东新时代药业,10mg,乡镇卫生,2060000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2017,山东罗欣药业集团,10mg,乡镇卫生,15038135
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2017,常州四药制药,10mg,乡镇卫生,182216
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2017,悦康药业集团,10mg,乡镇卫生,6057579
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2017,海南葫芦娃药业集团,10mg,乡镇卫生,1533524
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2017,淄博万杰制药,10mg,乡镇卫生,2749478
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2017,金华康恩贝生物制药,10mg,乡镇卫生,47193814
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2018,山东罗欣药业集团,10mg,乡镇卫生,19001024
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2018,常州四药制药,10mg,乡镇卫生,1093152
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2018,悦康药业集团,10mg,乡镇卫生,5718412
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2018,海南葫芦娃药业集团,10mg,乡镇卫生,5798232
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2018,淄博万杰制药,10mg,乡镇卫生,4104363
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2018,金华康恩贝生物制药,10mg,乡镇卫生,51975818
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2019,山东罗欣药业集团,10mg,乡镇卫生,15622470
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2019,常州四药制药,10mg,乡镇卫生,2131315
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2019,悦康药业集团,10mg,乡镇卫生,6360473
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2019,海南葫芦娃药业集团,10mg,乡镇卫生,12197203
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2019,淄博万杰制药,10mg,乡镇卫生,7110178
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2019,金华康恩贝生物制药,10mg,乡镇卫生,31978590
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,山东罗欣药业集团,10mg,乡镇卫生,14984347
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,常州四药制药,10mg,乡镇卫生,989669
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,悦康药业集团,10mg,乡镇卫生,2373255
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,海南葫芦娃药业集团,10mg,乡镇卫生,13817492
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,淄博万杰制药,10mg,乡镇卫生,669375
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,金华康恩贝生物制药,10mg,乡镇卫生,20086880
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,山东罗欣药业集团,10mg,乡镇卫生,44321945
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,常州四药制药,10mg,乡镇卫生,359
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,悦康药业集团,10mg,乡镇卫生,2073554
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,海南葫芦娃药业集团,10mg,乡镇卫生,4581832
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,淄博万杰制药,10mg,乡镇卫生,89909
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,金华康恩贝生物制药,10mg,乡镇卫生,5280628
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,山东罗欣药业集团,10mg,乡镇卫生,17160000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,悦康药业集团,10mg,乡镇卫生,620000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,海南葫芦娃药业集团,10mg,乡镇卫生,490000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,金华康恩贝生物制药,10mg,乡镇卫生,12240000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,山东罗欣药业集团,10mg,乡镇卫生,15400000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,悦康药业集团,10mg,乡镇卫生,90000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,金华康恩贝生物制药,10mg,乡镇卫生,1110000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,山东罗欣药业集团,10mg,乡镇卫生,15110000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,山东罗欣药业集团,10mg,乡镇卫生,6350000
奥美拉唑钠肠溶片,口服,肠溶片,2017,苏州中化药品,10mg,乡镇卫生,7260683
奥美拉唑钠肠溶片,口服,肠溶片,2018,苏州中化药品,10mg,乡镇卫生,6596945
奥美拉唑钠肠溶片,口服,肠溶片,2019,苏州中化药品,10mg,乡镇卫生,6768980
奥美拉唑钠肠溶片,口服,肠溶片,2020,苏州中化药品,10mg,乡镇卫生,1496580
奥美拉唑钠肠溶片,口服,肠溶片,2021,苏州中化药品,10mg,乡镇卫生,254724
奥美拉唑钠肠溶片,口服,肠溶片,2022,苏州中化药品,10mg,乡镇卫生,400000
奥美拉唑钠肠溶片,口服,肠溶片,2023,苏州中化药品,10mg,乡镇卫生,50000
奥美拉唑钠肠溶片,口服,肠溶片,2024,苏州中化药品,10mg,乡镇卫生,40000
奥美拉唑钠肠溶片,口服,肠溶片,2025 H1,苏州中化药品,10mg,乡镇卫生,20000
奥美拉唑镁肠溶片,口服,肠溶片,2017,许昌高新制药,10mg,乡镇卫生,14632169
奥美拉唑镁肠溶片,口服,肠溶片,2017,阿斯利康,10mg,乡镇卫生,191287
奥美拉唑镁肠溶片,口服,肠溶片,2018,许昌高新制药,10mg,乡镇卫生,14537233
奥美拉唑镁肠溶片,口服,肠溶片,2018,阿斯利康,10mg,乡镇卫生,1138282
奥美拉唑镁肠溶片,口服,肠溶片,2019,许昌高新制药,10mg,乡镇卫生,22661745
奥美拉唑镁肠溶片,口服,肠溶片,2019,阿斯利康,10mg,乡镇卫生,1845782
奥美拉唑镁肠溶片,口服,肠溶片,2020,许昌高新制药,10mg,乡镇卫生,19442982
奥美拉唑镁肠溶片,口服,肠溶片,2020,阿斯利康,10mg,乡镇卫生,1714247
奥美拉唑镁肠溶片,口服,肠溶片,2021,许昌高新制药,10mg,乡镇卫生,6585221
奥美拉唑镁肠溶片,口服,肠溶片,2021,阿斯利康,10mg,乡镇卫生,731361
奥美拉唑镁肠溶片,口服,肠溶片,2022,许昌高新制药,10mg,乡镇卫生,2170000
奥美拉唑镁肠溶片,口服,肠溶片,2022,阿斯利康,10mg,乡镇卫生,570000
奥美拉唑镁肠溶片,口服,肠溶片,2023,修正药业天汉药业,10mg,乡镇卫生,1760000
奥美拉唑镁肠溶片,口服,肠溶片,2023,阿斯利康,10mg,乡镇卫生,530000
奥美拉唑镁肠溶片,口服,肠溶片,2024,修正药业天汉药业,10mg,乡镇卫生,1380000
奥美拉唑镁肠溶片,口服,肠溶片,2024,阿斯利康,10mg,乡镇卫生,380000
奥美拉唑镁肠溶片,口服,肠溶片,2025 H1,修正药业天汉药业,10mg,乡镇卫生,650000
奥美拉唑镁肠溶片,口服,肠溶片,2025 H1,阿斯利康,10mg,乡镇卫生,110000
注射用艾普拉唑钠,注射,粉针,2020,丽珠集团丽珠制药,10mg,乡镇卫生,3451366
注射用艾普拉唑钠,注射,粉针,2021,丽珠集团丽珠制药,10mg,乡镇卫生,4107949
注射用艾普拉唑钠,注射,粉针,2022,丽珠集团丽珠制药,10mg,乡镇卫生,5220000
注射用艾普拉唑钠,注射,粉针,2023,丽珠集团丽珠制药,10mg,乡镇卫生,7730000
注射用艾普拉唑钠,注射,粉针,2024,丽珠集团丽珠制药,10mg,乡镇卫生,11960000
注射用艾普拉唑钠,注射,粉针,2025 H1,丽珠集团丽珠制药,10mg,乡镇卫生,5460000
艾司奥美拉唑镁肠溶干混悬剂,口服,肠溶干混悬剂,2024,江苏奥赛康药业,10mg,乡镇卫生,40000
艾司奥美拉唑镁肠溶干混悬剂,口服,肠溶干混悬剂,2025 H1,江苏奥赛康药业,10mg,乡镇卫生,20000
雷贝拉唑钠肠溶片,口服,肠溶片,2017,上药信谊药厂,10mg,乡镇卫生,11637820
雷贝拉唑钠肠溶片,口服,肠溶片,2017,卫材,10mg,乡镇卫生,67830
雷贝拉唑钠肠溶片,口服,肠溶片,2017,双鹤药业(海南),10mg,乡镇卫生,23830
雷贝拉唑钠肠溶片,口服,肠溶片,2017,山东新华制药,10mg,乡镇卫生,5415329
雷贝拉唑钠肠溶片,口服,肠溶片,2017,江苏豪森药业集团,10mg,乡镇卫生,22419532
雷贝拉唑钠肠溶片,口服,肠溶片,2018,上药信谊药厂,10mg,乡镇卫生,18070889
雷贝拉唑钠肠溶片,口服,肠溶片,2018,卫材,10mg,乡镇卫生,578884
雷贝拉唑钠肠溶片,口服,肠溶片,2018,双鹤药业(海南),10mg,乡镇卫生,109432
雷贝拉唑钠肠溶片,口服,肠溶片,2018,山东新华制药,10mg,乡镇卫生,5620761
雷贝拉唑钠肠溶片,口服,肠溶片,2018,江苏豪森药业集团,10mg,乡镇卫生,14661431
雷贝拉唑钠肠溶片,口服,肠溶片,2019,上药信谊药厂,10mg,乡镇卫生,13743586
雷贝拉唑钠肠溶片,口服,肠溶片,2019,卫材,10mg,乡镇卫生,620090
雷贝拉唑钠肠溶片,口服,肠溶片,2019,双鹤药业(海南),10mg,乡镇卫生,912237
雷贝拉唑钠肠溶片,口服,肠溶片,2019,山东新华制药,10mg,乡镇卫生,5663782
雷贝拉唑钠肠溶片,口服,肠溶片,2019,江苏豪森药业集团,10mg,乡镇卫生,15449470
雷贝拉唑钠肠溶片,口服,肠溶片,2020,上药信谊药厂,10mg,乡镇卫生,14034501
雷贝拉唑钠肠溶片,口服,肠溶片,2020,卫材,10mg,乡镇卫生,315621
