merchant_id,label_is_bad,total_fraud_loss,label_generated_ts,label_generated_stage
m_00567,0,1.74,,
m_00568,0,1.65,,
m_00569,0,2.14,,
m_00570,0,3.19,,
m_00571,0,4.62,,
m_00572,0,0.99,,
m_00573,0,0.07,,
m_00574,0,5.46,,
m_00575,0,4.06,,
m_00576,0,1.93,,
m_00577,0,6.15,,
m_00578,1,3.2,2025-09-16 07:00:00,post onboarding
m_00579,0,229.78,,
m_00580,0,4.87,,
m_00581,1,322.71,2025-05-05 00:00:00,onboarding
m_00582,1,1.91,2025-09-01 07:00:00,post onboarding
m_00583,0,3.39,,
m_00584,0,3.01,,
m_00585,0,0.34,,
m_00586,0,5.66,,
m_00587,0,6.9,,
m_00588,0,0.34,,
m_00589,0,1.38,,
m_00590,0,1.79,,
m_00591,0,1.33,,
m_00592,0,0.91,,
m_00593,0,2.91,,
m_00594,0,4.24,,
m_00595,0,2.36,,
m_00596,0,7.85,,
m_00597,0,1.63,,
m_00598,0,15.33,,
m_00599,1,4.44,2025-10-19 08:00:00,post onboarding
m_00600,0,2.06,,
m_00601,0,2.92,,
m_00602,0,0.33,,
m_00603,0,344.51,,
m_00604,0,0.33,,
m_00605,0,1.45,,
m_00606,0,0.37,,
m_00607,0,2.34,,
m_00608,0,3.27,,
m_00609,0,0.07,,
m_00610,0,2.59,,
m_00611,0,2.4,,
m_00612,0,88.83,,
m_00613,1,938.63,2025-04-10 00:00:00,post onboarding
m_00614,0,0.4,,
m_00615,0,1.92,,
m_00616,0,0.51,,
m_00617,0,12.49,,
m_00618,0,0.68,,
m_00619,0,171.7,,
m_00620,0,0.96,,
m_00621,0,0.71,,
m_00622,0,3.5,,
m_00623,0,99.24,,
m_00624,0,0.4,,
m_00625,0,2.45,,
m_00626,0,1.37,,
m_00627,0,6.09,,
m_00628,0,1.73,,
m_00629,0,122.94,,
m_00630,0,1.47,,
m_00631,0,0.18,,
m_00632,0,357.37,,
m_00633,0,1.8,,
m_00634,0,29.05,,
m_00635,0,0.33,,
m_00636,1,41.86,2025-11-01 08:00:00,post onboarding
m_00637,0,2.55,,
m_00638,0,185.11,,
m_00639,0,2.94,,
m_00640,0,141.3,,
m_00641,0,4.07,,
m_00642,0,1.23,,
m_00643,0,1.79,,
m_00644,0,9.13,,
m_00645,0,0.51,,
m_00646,0,2.79,,
m_00647,0,1.5,,
m_00648,0,228.95,,
m_00649,0,120.9,,
m_00650,0,1.94,,
m_00651,0,3.77,,
m_00652,0,1.37,,
m_00653,0,177.41,,
m_00654,0,0.72,,
m_00655,0,0.68,,
m_00656,0,0.74,,
m_00657,0,3.46,,
m_00658,0,0.67,,
m_00659,0,18.43,,
m_00660,0,0.85,,
m_00661,1,0.93,2025-06-04 00:00:00,onboarding
m_00662,0,0.95,,
m_00663,0,15.52,,
m_00664,0,1.29,,
m_00665,0,4.83,,
m_00666,0,2.85,,
m_00667,0,4.92,,
m_00668,0,3.48,,
m_00669,0,120.29,,
m_00670,0,0.24,,
m_00671,0,0.95,,
m_00672,0,0.29,,
m_00673,0,2.1,,
m_00674,0,0.69,,
m_00675,0,3.28,,
m_00676,0,0.4,,
m_00677,0,5.01,,
m_00678,0,8.53,,
m_00679,0,1.97,,
m_00680,0,1.95,,
m_00681,0,6.73,,
m_00682,1,1.78,2026-03-28 08:00:00,post onboarding
m_00683,0,4.08,,
m_00684,0,1.36,,
m_00685,0,14.42,,
m_00686,0,9.44,,
m_00687,0,2.84,,
m_00688,0,431.62,,
m_00689,0,0.24,,
m_00690,0,122.4,,
m_00691,0,135.28,,
m_00692,0,7.12,,
m_00693,1,0.36,2025-10-21 00:00:00,onboarding
m_00694,0,1.6,,
m_00695,0,5.28,,
m_00696,0,2.33,,
m_00697,0,5.16,,
m_00698,0,22.62,,
m_00699,0,4.4,,
m_00700,0,219.35,,
m_00701,0,86.41,,
m_00702,0,0.05,,
m_00703,0,1.3,,
m_00704,0,4.28,,
m_00705,0,2.58,,
m_00706,0,3.11,,
m_00707,0,1.21,,
m_00708,0,0.27,,
m_00709,0,0.11,,
m_00710,0,0.57,,
m_00711,0,0.03,,
m_00712,0,50.91,,
m_00713,0,6.3,,
m_00714,1,1483.05,2025-09-09 06:00:00,post onboarding
m_00715,0,3.85,,
m_00716,0,1.6,,
m_00717,0,1.11,,
m_00718,0,5.15,,
m_00719,0,2.17,,
m_00720,0,4.26,,
m_00721,0,2.01,,
m_00722,0,2.16,,
m_00723,0,0.68,,
m_00724,1,22.54,2025-04-23 03:00:00,post onboarding
m_00725,0,0.7,,
m_00726,0,1.89,,
m_00727,0,2.43,,
m_00728,0,61.88,,
m_00729,0,13.3,,
m_00730,0,2.35,,
m_00731,0,2.58,,
m_00732,0,0.95,,
m_00733,0,1.57,,
m_00734,0,8.61,,
m_00735,0,1.12,,
m_00736,0,6.58,,
m_00737,0,0.63,,
m_00738,0,76.49,,
m_00739,0,1.56,,
m_00740,0,4.74,,
m_00741,0,0.41,,
m_00742,0,2.55,,
m_00743,0,1.53,,
m_00744,0,3.92,,
m_00745,0,1.33,,
m_00746,0,1.53,,
m_00747,0,0.58,,
m_00748,0,1.87,,
m_00749,0,4.21,,
m_00750,0,0.87,,
m_00751,0,2.85,,
m_00752,0,117.65,,
m_00753,0,2.78,,
m_00754,0,2.1,,
m_00755,0,3.71,,
m_00756,0,190.27,,
m_00757,0,3.79,,
m_00758,0,52.99,,
m_00759,0,0.94,,
m_00760,0,3.16,,
m_00761,0,15.29,,
m_00762,0,0.42,,
m_00763,0,0.95,,
m_00764,0,1.03,,
m_00765,0,0.84,,
m_00766,0,0.91,,
m_00767,0,0.97,,
m_00768,0,58.08,,
m_00769,1,0.49,2025-06-09 20:00:00,post onboarding
m_00770,0,3.66,,
m_00771,0,1.69,,
m_00772,0,3.57,,
m_00773,0,1.26,,
m_00774,0,1.4,,
m_00775,0,3.05,,
m_00776,0,0.47,,
m_00777,0,2.28,,
m_00778,0,0.15,,
m_00779,0,1.59,,
m_00780,0,4.17,,
m_00781,0,2.73,,
m_00782,0,4.61,,
m_00783,0,1.14,,
m_00784,0,2.43,,
m_00785,0,1.1,,
m_00786,0,1.35,,
m_00787,0,0.12,,
m_00788,0,0.03,,
m_00789,0,1.97,,
m_00790,0,10.42,,
m_00791,0,9.08,,
m_00792,0,7.66,,
m_00793,0,3.13,,
m_00794,0,0.67,,
m_00795,0,1.49,,
m_00796,0,213.45,,
m_00797,0,2.0,,
m_00798,0,2.97,,
m_00799,0,2.82,,
m_00800,0,5.24,,
m_00801,0,0.98,,
m_00802,0,0.78,,
m_00803,0,0.11,,
m_00804,0,1.46,,
m_00805,0,2.32,,
m_00806,0,6.35,,
m_00807,0,0.69,,
m_00808,0,5.86,,
m_00809,0,3.53,,
m_00810,0,3.76,,
m_00811,0,9.46,,
m_00812,0,0.71,,
m_00813,0,2.89,,
m_00814,0,3.41,,
m_00815,0,1.64,,
m_00816,0,104.56,,
m_00817,0,0.54,,
m_00818,0,0.38,,
m_00819,0,2.2,,
m_00820,0,2.23,,
m_00821,0,2.65,,
m_00822,0,9.48,,
m_00823,1,16.95,2025-06-24 20:00:00,post onboarding
m_00824,0,0.3,,
m_00825,0,0.76,,
m_00826,0,5.92,,
m_00827,0,5.32,,
m_00828,0,0.56,,
m_00829,0,2.25,,
m_00830,0,1.79,,
m_00831,0,44.68,,
m_00832,0,3.46,,
m_00833,0,2.5,,
m_00834,0,2.87,,
m_00835,0,2.95,,
m_00836,0,1.66,,
m_00837,0,5.11,,
m_00838,0,0.14,,
m_00839,0,1.49,,
m_00840,0,3.96,,
m_00841,0,0.15,,
m_00842,0,0.09,,
m_00843,0,4.2,,
m_00844,0,146.85,,
m_00845,0,3.04,,
m_00846,0,0.15,,
m_00847,0,1.38,,
m_00848,0,4.97,,
m_00849,0,1.19,,
m_00850,0,3.63,,
m_00851,0,0.93,,
m_00852,0,4.02,,
m_00853,0,0.39,,
m_00854,0,2.08,,
m_00855,0,4.07,,
m_00856,0,0.46,,
m_00857,0,1.18,,
m_00858,0,0.8,,
m_00859,0,15.78,,
m_00860,0,0.28,,
m_00861,0,0.26,,
m_00862,0,1.79,,
m_00863,0,2.52,,
m_00864,0,431.06,,
m_00865,0,0.12,,
m_00866,0,9.72,,
m_00867,0,2.02,,
m_00868,0,1.76,,
m_00869,0,0.83,,
m_00870,0,8.28,,
m_00871,0,7.42,,
m_00872,0,2.31,,
m_00873,1,0.98,2026-02-24 09:00:00,post onboarding
m_00874,0,7.84,,
m_00875,0,0.26,,
m_00876,0,3.37,,
m_00877,0,0.41,,
m_00878,0,1.84,,
m_00879,1,3.03,2025-06-30 17:00:00,post onboarding
m_00880,0,8.48,,
m_00881,0,118.62,,
m_00882,0,1.71,,
m_00883,0,2.18,,
m_00884,0,2.01,,
m_00885,0,1.3,,
m_00886,0,8.93,,
m_00887,0,265.97,,
m_00888,0,0.81,,
m_00889,0,62.3,,
m_00890,1,9.31,2025-06-09 18:00:00,post onboarding
m_00891,0,42.26,,
m_00892,0,1.91,,
m_00893,0,3.9,,
m_00894,0,6.66,,
m_00895,0,5.87,,
m_00896,0,6.78,,
m_00897,0,8.66,,
m_00898,0,0.39,,
m_00899,0,1.6,,
m_00900,0,78.22,,
m_00901,0,2.28,,
m_00902,0,1.19,,
m_00903,0,2.51,,
m_00904,0,1.02,,
m_00905,0,5.87,,
m_00906,0,3.62,,
m_00907,0,3.28,,
m_00908,0,2.21,,
m_00909,0,6.98,,
m_00910,0,1.25,,
m_00911,0,2.74,,
m_00912,0,3.27,,
m_00913,0,0.98,,
m_00914,0,2.43,,
m_00915,0,2.59,,
m_00916,0,4.86,,
m_00917,0,35.24,,
m_00918,0,0.81,,
m_00919,0,84.68,,
m_00920,0,1.26,,
m_00921,0,6.81,,
m_00922,0,3.31,,
m_00923,0,1.54,,
m_00924,0,0.87,,
m_00925,0,2.64,,
m_00926,0,2.58,,
m_00927,0,1.42,,
m_00928,0,7.98,,
m_00929,0,0.8,,
m_00930,0,0.23,,
m_00931,0,0.26,,
m_00932,0,5.29,,
m_00933,0,0.72,,
m_00934,0,4.26,,
m_00935,0,17.47,,
m_00936,0,4.6,,
m_00937,0,6.43,,
m_00938,0,2.79,,
m_00939,0,2.74,,
m_00940,0,254.31,,
m_00941,0,1.25,,
m_00942,0,2.94,,
m_00943,0,0.02,,
m_00944,0,1.68,,
m_00945,0,1.06,,
m_00946,0,3.68,,
m_00947,0,3.09,,
m_00948,0,1.3,,
m_00949,0,4.22,,
m_00950,0,1.32,,
m_00951,0,0.13,,
m_00952,0,60.48,,
m_00953,0,230.23,,
m_00954,0,1.58,,
m_00955,0,314.1,,
m_00956,0,64.61,,
m_00957,0,2.71,,
m_00958,1,1.16,2025-06-27 09:00:00,post onboarding
m_00959,0,6.46,,
m_00960,0,23.17,,
m_00961,0,1.96,,
m_00962,0,0.03,,
m_00963,0,1.04,,
m_00964,0,378.27,,
m_00965,0,0.31,,
m_00966,0,2.29,,
m_00967,0,2.23,,
m_00968,0,6.74,,
m_00969,0,28.08,,
m_00970,0,0.03,,
m_00971,0,1.85,,
m_00972,0,2.88,,
m_00973,0,108.56,,
m_00974,0,2.38,,
m_00975,0,2.14,,
m_00976,0,226.49,,
m_00977,0,0.87,,
m_00978,0,1.64,,
m_00979,0,25.99,,
m_00980,0,6.4,,
m_00981,0,4.4,,
m_00982,0,4.83,,
m_00983,0,4.22,,
m_00984,0,1.69,,
m_00985,0,1.91,,
m_00986,0,0.8,,
m_00987,0,1.1,,
m_00988,0,99.66,,
m_00989,0,0.11,,
m_00990,0,7.15,,
m_00991,0,6.4,,
m_00992,0,0.23,,
m_00993,0,0.73,,
m_00994,0,0.46,,
m_00995,0,0.06,,
m_00996,1,7.44,2025-09-15 00:00:00,post onboarding
m_00997,0,0.56,,
m_00998,0,5.76,,
m_00999,0,90.86,,
m_01000,0,3.47,,
m_01001,0,7.3,,
m_01002,0,0.78,,
m_01003,0,3.6,,
m_01004,0,8.94,,
m_01005,0,3.86,,
m_01006,0,5.18,,
m_01007,0,1.07,,
m_01008,0,0.87,,
m_01009,0,0.51,,
m_01010,1,0.07,2025-01-21 00:00:00,onboarding
m_01011,0,2.79,,
m_01012,0,0.76,,
