dispute_id,transaction_id,merchant_id,dispute_open_ts,dispute_amount,dispute_reason,dispute_outcome,dispute_close_ts,is_fraud_dispute
d_0000023,t_0002250,m_00146,2026-02-27 13:02:00,282.89,fraud,won,2026-04-12 13:02:00,True
d_0000024,t_0002259,m_00146,2026-03-31 17:18:00,341.89,not_as_described,lost,2026-04-12 17:18:00,False
d_0000025,t_0002277,m_00148,2026-05-20 20:23:00,1216.78,not_as_described,won,2026-06-06 20:23:00,False
d_0000026,t_0002331,m_00158,2025-03-04 07:18:00,189.43,fraud,won,2025-04-02 07:18:00,True
d_0000027,t_0002366,m_00161,2026-02-07 17:11:00,39.17,not_received,lost,2026-02-17 17:11:00,False
d_0000028,t_0002377,m_00161,2026-05-17 20:52:00,88.65,fraud,lost,2026-06-10 20:52:00,True
d_0000029,t_0002504,m_00169,2025-07-16 06:03:00,333.21,other,pending,,False
d_0000030,t_0002554,m_00171,2026-03-04 19:04:00,946.52,fraud,lost,2026-03-15 19:04:00,True
d_0000031,t_0002635,m_00177,2025-08-01 10:30:00,127.08,other,won,2025-09-11 10:30:00,False
d_0000032,t_0002690,m_00178,2025-10-22 12:38:00,103.43,fraud,lost,2025-11-28 12:38:00,True
d_0000033,t_0002724,m_00179,2025-11-05 13:32:00,122.61,fraud,lost,2025-12-08 13:32:00,True
d_0000034,t_0002736,m_00179,2025-11-29 21:37:00,178.28,not_received,won,2026-01-11 21:37:00,False
d_0000035,t_0002755,m_00181,2025-06-18 05:21:00,194.3,not_received,pending,,False
d_0000036,t_0002802,m_00183,2025-06-04 22:24:00,354.1,fraud,won,2025-07-05 22:24:00,True
d_0000037,t_0002850,m_00185,2025-06-01 09:29:00,331.42,not_received,won,2025-06-26 09:29:00,False
d_0000038,t_0003126,m_00202,2026-01-01 15:35:00,102.17,fraud,lost,2026-02-07 15:35:00,True
d_0000039,t_0003165,m_00203,2025-10-10 01:35:00,363.34,not_as_described,lost,2025-11-15 01:35:00,False
d_0000040,t_0003230,m_00206,2025-12-27 22:10:00,191.01,other,lost,2026-01-27 22:10:00,False
d_0000041,t_0003260,m_00208,2025-09-09 00:46:00,170.08,not_received,pending,,False
d_0000042,t_0003303,m_00215,2025-11-15 10:39:00,285.72,fraud,lost,2025-11-30 10:39:00,True
d_0000043,t_0003315,m_00215,2026-01-01 20:31:00,29.94,not_as_described,won,2026-01-15 20:31:00,False
d_0000044,t_0003434,m_00227,2025-11-27 23:23:00,25.21,other,won,2026-01-06 23:23:00,False
d_0000045,t_0003622,m_00239,2026-04-24 21:46:00,108.82,processing_error,lost,2026-05-15 21:46:00,False
d_0000046,t_0003631,m_00242,2025-10-08 21:20:00,176.02,fraud,pending,,True
d_0000047,t_0003752,m_00250,2025-09-11 04:53:00,102.97,other,won,2025-10-08 04:53:00,False
d_0000048,t_0003819,m_00255,2025-07-20 14:32:00,151.05,other,won,2025-08-10 14:32:00,False
d_0000049,t_0003908,m_00262,2026-03-24 14:49:00,44.27,fraud,won,2026-04-12 14:49:00,True
d_0000050,t_0003921,m_00262,2026-04-17 20:20:00,76.0,not_as_described,won,2026-05-09 20:20:00,False
d_0000051,t_0003962,m_00263,2026-04-23 23:36:00,229.73,fraud,lost,2026-06-05 23:36:00,True
d_0000052,t_0003988,m_00264,2025-12-02 03:30:00,98.86,other,won,2025-12-28 03:30:00,False
d_0000053,t_0004233,m_00276,2026-02-07 22:53:00,925.82,not_received,lost,2026-03-21 22:53:00,False
d_0000054,t_0004297,m_00280,2026-01-29 08:32:00,105.57,fraud,won,2026-03-13 08:32:00,True
d_0000055,t_0004302,m_00280,2026-01-29 06:05:00,131.45,other,pending,,False
d_0000056,t_0004521,m_00288,2025-06-17 12:46:00,223.49,processing_error,lost,2025-07-05 12:46:00,True
d_0000057,t_0004669,m_00300,2025-07-25 20:36:00,104.59,not_as_described,lost,2025-08-24 20:36:00,False
d_0000058,t_0004737,m_00307,2025-06-16 14:51:00,196.47,processing_error,lost,2025-07-27 14:51:00,False
d_0000059,t_0004903,m_00314,2026-02-04 00:52:00,428.13,not_received,pending,,False
d_0000060,t_0004933,m_00321,2026-02-24 22:30:00,643.78,fraud,won,2026-04-02 22:30:00,True
d_0000061,t_0005022,m_00326,2025-08-10 02:52:00,942.77,not_as_described,lost,2025-08-22 02:52:00,False
d_0000062,t_0005081,m_00335,2025-10-13 07:25:00,891.19,fraud,lost,2025-11-12 07:25:00,True
d_0000063,t_0005115,m_00336,2025-05-02 10:06:00,172.37,other,lost,2025-05-14 10:06:00,False
d_0000064,t_0005136,m_00338,2025-05-07 09:41:00,96.13,other,pending,,False
d_0000065,t_0005498,m_00362,2026-01-25 18:30:00,369.21,processing_error,won,2026-02-07 18:30:00,False
d_0000066,t_0005566,m_00366,2026-04-07 17:36:00,69.42,not_received,lost,2026-05-19 17:36:00,False
d_0000067,t_0005613,m_00368,2026-02-25 10:31:00,322.31,processing_error,lost,2026-04-06 10:31:00,False
d_0000068,t_0005778,m_00381,2025-10-12 19:31:00,372.14,fraud,lost,2025-11-19 19:31:00,True
d_0000069,t_0005887,m_00386,2025-09-20 02:28:00,1323.74,fraud,lost,2025-10-01 02:28:00,True
d_0000070,t_0005890,m_00386,2025-11-25 08:06:00,323.08,fraud,won,2025-12-21 08:06:00,True
d_0000071,t_0005927,m_00388,2025-11-11 05:00:00,339.39,fraud,lost,2025-12-18 05:00:00,True
d_0000072,t_0006260,m_00422,2025-08-09 10:54:00,147.22,fraud,lost,2025-09-14 10:54:00,True
d_0000073,t_0006366,m_00429,2026-01-10 21:28:00,74.13,fraud,pending,,True
d_0000074,t_0006398,m_00429,2026-01-17 00:50:00,123.4,other,lost,2026-02-19 00:50:00,False
d_0000075,t_0006458,m_00432,2025-09-02 05:58:00,278.82,not_as_described,lost,2025-09-27 05:58:00,False
d_0000076,t_0006612,m_00439,2026-03-12 09:29:00,307.93,fraud,won,2026-04-19 09:29:00,True
d_0000077,t_0006700,m_00443,2025-09-29 19:25:00,111.38,fraud,pending,,True
d_0000078,t_0006741,m_00447,2026-03-16 10:02:00,139.93,other,lost,2026-03-30 10:02:00,False
d_0000079,t_0006749,m_00447,2026-04-09 20:24:00,170.47,processing_error,won,2026-04-24 20:24:00,False
d_0000080,t_0006860,m_00460,2026-04-16 08:11:00,594.34,fraud,lost,2026-05-27 08:11:00,True
d_0000081,t_0006902,m_00461,2025-12-15 07:27:00,466.5,not_as_described,lost,2026-01-23 07:27:00,False
d_0000082,t_0007115,m_00474,2025-07-13 07:37:00,350.0,not_as_described,pending,,False
d_0000083,t_0007162,m_00475,2026-04-08 17:38:00,54.63,fraud,lost,2026-05-16 17:38:00,True
d_0000084,t_0007196,m_00477,2026-01-07 22:50:00,728.41,processing_error,pending,,False
d_0000085,t_0007241,m_00483,2025-03-03 08:12:00,310.43,fraud,lost,2025-03-29 08:12:00,True
d_0000086,t_0007260,m_00487,2025-06-11 04:36:00,701.24,fraud,lost,2025-07-23 04:36:00,True
d_0000087,t_0007263,m_00487,2025-05-23 20:08:00,1641.47,processing_error,won,2025-07-01 20:08:00,False
d_0000088,t_0007289,m_00487,2025-09-20 11:12:00,1522.04,not_received,lost,2025-10-31 11:12:00,False
d_0000089,t_0007701,m_00519,2025-09-04 22:03:00,118.59,other,won,2025-09-16 22:03:00,False
d_0000090,t_0007723,m_00521,2025-02-17 17:58:00,729.29,other,won,2025-03-10 17:58:00,False
d_0000091,t_0007757,m_00523,2026-03-15 18:02:00,102.26,not_as_described,pending,,False
d_0000092,t_0007770,m_00526,2025-07-03 07:02:00,882.28,not_as_described,won,2025-07-26 07:02:00,False
d_0000093,t_0007893,m_00534,2025-11-01 12:49:00,579.9,not_received,pending,,False
d_0000094,t_0007929,m_00536,2025-04-19 14:24:00,194.07,fraud,lost,2025-05-28 14:24:00,True
d_0000095,t_0008001,m_00544,2026-02-06 13:09:00,240.91,fraud,lost,2026-02-23 13:09:00,True
d_0000096,t_0008135,m_00548,2025-12-18 13:41:00,1645.0,not_received,pending,,False
d_0000097,t_0008277,m_00557,2026-03-11 10:53:00,227.77,other,pending,,False
d_0000098,t_0008450,m_00563,2026-03-22 09:41:00,447.76,fraud,won,2026-04-14 09:41:00,True
d_0000099,t_0008514,m_00566,2025-07-28 17:26:00,238.46,other,won,2025-08-23 17:26:00,False
d_0000100,t_0008690,m_00579,2025-12-25 08:18:00,453.67,other,lost,2026-01-26 08:18:00,False
d_0000101,t_0008761,m_00584,2025-06-30 10:04:00,310.68,other,won,2025-07-11 10:04:00,False
d_0000102,t_0008795,m_00585,2025-07-28 08:53:00,258.63,fraud,won,2025-08-26 08:53:00,True
d_0000103,t_0008921,m_00592,2025-07-30 20:20:00,341.46,not_received,won,2025-08-25 20:20:00,False
d_0000104,t_0009102,m_00603,2025-09-13 12:00:00,358.82,not_as_described,lost,2025-10-12 12:00:00,False
d_0000105,t_0009251,m_00612,2025-10-10 06:02:00,213.59,fraud,lost,2025-11-21 06:02:00,True
d_0000106,t_0009261,m_00613,2025-04-04 00:47:00,208.41,processing_error,lost,2025-04-27 00:47:00,False
d_0000107,t_0009262,m_00613,2025-03-28 14:06:00,359.93,not_received,won,2025-05-03 14:06:00,False
d_0000108,t_0009263,m_00613,2025-03-23 03:26:00,416.44,fraud,lost,2025-05-01 03:26:00,True
d_0000109,t_0009272,m_00613,2025-05-28 14:00:00,1037.09,fraud,lost,2025-06-18 14:00:00,True
d_0000110,t_0009342,m_00619,2025-05-28 08:11:00,469.24,other,lost,2025-06-09 08:11:00,False
d_0000111,t_0009367,m_00623,2026-01-27 00:20:00,228.35,processing_error,pending,,False
d_0000112,t_0009387,m_00623,2026-03-12 17:03:00,345.37,fraud,lost,2026-04-07 17:03:00,True
d_0000113,t_0009414,m_00623,2026-02-27 16:04:00,398.55,not_as_described,pending,,False
d_0000114,t_0009629,m_00632,2025-07-15 17:00:00,180.33,processing_error,lost,2025-08-09 17:00:00,False
d_0000115,t_0009652,m_00634,2025-08-11 07:08:00,119.5,fraud,lost,2025-09-01 07:08:00,True
d_0000116,t_0009676,m_00636,2025-11-11 21:22:00,127.25,other,lost,2025-11-25 21:22:00,False
d_0000117,t_0009725,m_00640,2025-03-03 22:02:00,396.39,other,lost,2025-04-04 22:02:00,False
d_0000118,t_0009809,m_00648,2025-12-15 20:30:00,538.02,fraud,lost,2025-12-30 20:30:00,True
d_0000119,t_0009840,m_00649,2025-11-01 10:07:00,554.06,fraud,pending,,True
d_0000120,t_0009870,m_00649,2026-01-06 03:03:00,375.15,fraud,lost,2026-01-24 03:03:00,True
d_0000121,t_0009982,m_00653,2025-07-27 07:55:00,570.65,fraud,won,2025-08-16 07:55:00,True
d_0000122,t_0009991,m_00653,2025-10-17 09:53:00,174.0,processing_error,lost,2025-11-08 09:53:00,False
d_0000123,t_0010010,m_00656,2025-09-20 08:55:00,274.23,processing_error,pending,,False
d_0000124,t_0010055,m_00657,2025-06-26 05:03:00,146.36,not_as_described,pending,,False
d_0000125,t_0010194,m_00662,2025-07-12 17:45:00,228.72,not_received,pending,,False
d_0000126,t_0010243,m_00663,2026-02-05 14:22:00,29.73,not_as_described,lost,2026-03-19 14:22:00,False
d_0000127,t_0010389,m_00669,2025-12-03 11:12:00,354.84,fraud,lost,2025-12-25 11:12:00,True
d_0000128,t_0010542,m_00684,2026-02-07 08:17:00,226.26,not_received,won,2026-03-10 08:17:00,False
d_0000129,t_0010572,m_00688,2025-10-11 03:00:00,580.06,fraud,lost,2025-10-21 03:00:00,True
d_0000130,t_0010580,m_00688,2025-10-07 03:01:00,942.61,not_as_described,won,2025-10-17 03:01:00,False
d_0000131,t_0010646,m_00690,2026-01-24 20:55:00,285.75,not_as_described,lost,2026-02-25 20:55:00,False
d_0000132,t_0010835,m_00698,2025-05-23 09:26:00,34.97,not_as_described,lost,2025-06-06 09:26:00,False
d_0000133,t_0010851,m_00700,2025-12-07 16:31:00,480.13,not_as_described,won,2026-01-08 16:31:00,False
d_0000134,t_0010852,m_00700,2025-12-30 13:47:00,354.82,not_received,lost,2026-01-27 13:47:00,False
d_0000135,t_0011104,m_00714,2025-06-12 15:43:00,1460.11,fraud,lost,2025-07-25 15:43:00,True
d_0000136,t_0011111,m_00714,2025-06-30 01:14:00,401.23,fraud,pending,,True
d_0000137,t_0011117,m_00714,2025-07-03 15:25:00,418.51,fraud,lost,2025-08-16 15:25:00,True
d_0000138,t_0011358,m_00728,2026-02-12 13:09:00,148.51,fraud,lost,2026-03-09 13:09:00,True
d_0000139,t_0011640,m_00747,2025-07-29 04:48:00,282.27,not_received,won,2025-09-03 04:48:00,False
d_0000140,t_0011695,m_00752,2025-06-04 16:03:00,293.03,not_received,lost,2025-07-07 16:03:00,False
d_0000141,t_0011753,m_00756,2025-07-27 14:30:00,318.21,other,lost,2025-08-06 14:30:00,False
d_0000142,t_0011819,m_00758,2025-05-30 12:56:00,99.45,fraud,lost,2025-06-16 12:56:00,True
d_0000143,t_0011901,m_00761,2025-06-14 15:02:00,79.45,fraud,won,2025-06-28 15:02:00,True
d_0000144,t_0011993,m_00765,2026-06-04 18:32:00,552.88,fraud,won,2026-07-05 18:32:00,True
d_0000145,t_0012049,m_00769,2025-07-24 23:26:00,259.18,not_received,won,2025-09-04 23:26:00,False
d_0000146,t_0012165,m_00775,2025-08-05 22:19:00,58.02,other,pending,,False
d_0000147,t_0012221,m_00782,2026-01-05 22:50:00,1108.77,other,pending,,False
d_0000148,t_0012400,m_00796,2026-04-05 20:55:00,222.12,fraud,lost,2026-05-05 20:55:00,True
d_0000149,t_0012419,m_00796,2026-04-06 03:52:00,138.18,fraud,lost,2026-05-04 03:52:00,True
d_0000150,t_0012485,m_00802,2025-05-10 12:05:00,375.31,fraud,won,2025-06-10 12:05:00,True
d_0000151,t_0012664,m_00816,2026-02-05 18:06:00,146.91,fraud,lost,2026-02-23 18:06:00,True
d_0000152,t_0013142,m_00852,2025-08-15 11:22:00,980.5,not_received,won,2025-08-27 11:22:00,False
d_0000153,t_0013354,m_00864,2025-05-06 03:29:00,424.21,fraud,lost,2025-05-31 03:29:00,True
d_0000154,t_0013472,m_00873,2026-01-08 02:55:00,43.49,not_received,won,2026-02-21 02:55:00,False
d_0000155,t_0013665,m_00881,2025-10-16 03:37:00,333.35,fraud,lost,2025-11-17 03:37:00,True
d_0000156,t_0013754,m_00884,2025-08-31 04:39:00,146.35,not_received,won,2025-09-21 04:39:00,False
d_0000157,t_0013837,m_00887,2025-05-15 13:03:00,707.94,not_as_described,lost,2025-06-04 13:03:00,False
d_0000158,t_0013850,m_00887,2025-07-07 16:24:00,815.77,not_as_described,won,2025-07-25 16:24:00,False
d_0000159,t_0013863,m_00889,2025-12-22 14:43:00,118.79,not_received,lost,2026-02-01 14:43:00,False
d_0000160,t_0013893,m_00890,2025-08-22 18:50:00,337.09,other,won,2025-09-11 18:50:00,False
d_0000161,t_0013923,m_00892,2025-05-20 17:41:00,919.34,not_as_described,won,2025-06-06 17:41:00,False
d_0000162,t_0014255,m_00917,2025-09-21 01:33:00,155.92,fraud,pending,,True
d_0000163,t_0014291,m_00917,2025-12-13 06:27:00,168.37,fraud,lost,2025-12-26 06:27:00,True
d_0000164,t_0014382,m_00920,2025-05-01 21:42:00,175.48,not_received,won,2025-05-31 21:42:00,False
d_0000165,t_0014470,m_00928,2025-11-08 20:40:00,206.73,fraud,won,2025-11-29 20:40:00,True
d_0000166,t_0014502,m_00930,2025-04-30 12:55:00,729.49,not_as_described,won,2025-05-12 12:55:00,False
d_0000167,t_0014507,m_00930,2025-06-10 18:31:00,264.66,not_as_described,won,2025-06-28 18:31:00,False
d_0000168,t_0014600,m_00936,2026-01-19 18:02:00,140.8,not_received,pending,,False
d_0000169,t_0014632,m_00938,2025-05-19 11:09:00,133.37,fraud,won,2025-06-08 11:09:00,True
d_0000170,t_0014663,m_00940,2025-07-04 00:17:00,1025.16,other,lost,2025-08-10 00:17:00,False
d_0000171,t_0014827,m_00946,2025-07-26 04:49:00,400.07,not_received,won,2025-08-30 04:49:00,False
d_0000172,t_0014962,m_00953,2025-06-23 20:55:00,435.37,fraud,lost,2025-07-06 20:55:00,True
d_0000173,t_0015023,m_00958,2025-05-20 08:23:00,347.27,not_as_described,won,2025-06-17 08:23:00,False
d_0000174,t_0015330,m_00969,2026-03-14 12:50:00,27.81,other,lost,2026-04-19 12:50:00,False
d_0000175,t_0015340,m_00971,2025-03-26 00:18:00,404.59,fraud,pending,,True
d_0000176,t_0015457,m_00976,2025-11-19 13:46:00,231.78,not_as_described,lost,2025-12-24 13:46:00,False
d_0000177,t_0015825,m_01004,2025-07-15 01:26:00,113.06,processing_error,won,2025-08-21 01:26:00,False
d_0000178,t_0015874,m_01006,2026-03-16 00:05:00,568.06,other,won,2026-04-26 00:05:00,False
d_0000179,t_0016038,m_01018,2025-11-13 12:07:00,10.0,fraud,lost,2025-12-26 12:07:00,True
d_0000180,t_0016149,m_01026,2026-06-18 05:23:00,61.68,not_received,lost,2026-07-11 05:23:00,False
d_0000181,t_0016186,m_01031,2025-10-25 08:42:00,105.42,not_as_described,won,2025-12-01 08:42:00,False
d_0000182,t_0016293,m_01038,2025-09-19 20:20:00,353.27,fraud,won,2025-10-16 20:20:00,True
d_0000183,t_0016369,m_01046,2026-01-19 18:58:00,450.63,not_as_described,pending,,False
d_0000184,t_0016399,m_01047,2025-03-10 14:38:00,186.57,not_received,lost,2025-04-11 14:38:00,False
d_0000185,t_0016648,m_01060,2026-05-14 18:45:00,594.45,not_received,lost,2026-05-31 18:45:00,False
d_0000186,t_0016872,m_01070,2026-04-10 19:38:00,183.92,other,won,2026-05-11 19:38:00,False
d_0000187,t_0017206,m_01087,2025-08-11 08:31:00,82.79,other,won,2025-08-21 08:31:00,False
d_0000188,t_0017250,m_01095,2025-07-18 13:25:00,151.99,processing_error,pending,,False
d_0000189,t_0017334,m_01101,2025-05-03 16:59:00,105.34,fraud,pending,,True
d_0000190,t_0017358,m_01104,2025-04-24 01:16:00,371.19,fraud,lost,2025-05-29 01:16:00,True
d_0000191,t_0017372,m_01104,2025-05-07 16:35:00,611.01,not_received,pending,,True
d_0000192,t_0017401,m_01104,2025-07-08 00:24:00,416.19,fraud,lost,2025-08-19 00:24:00,True
d_0000193,t_0017427,m_01105,2025-04-29 04:44:00,97.26,fraud,lost,2025-06-05 04:44:00,True
d_0000194,t_0017498,m_01109,2025-06-25 19:10:00,37.84,not_received,won,2025-07-13 19:10:00,False
d_0000195,t_0017505,m_01109,2025-05-26 15:19:00,261.71,processing_error,won,2025-06-17 15:19:00,False
d_0000196,t_0017550,m_01112,2026-01-14 19:52:00,268.69,not_as_described,won,2026-02-09 19:52:00,False
d_0000197,t_0017643,m_01118,2025-09-24 04:29:00,610.8,not_received,won,2025-10-12 04:29:00,False
d_0000198,t_0017695,m_01122,2026-01-27 19:48:00,483.04,not_received,lost,2026-02-13 19:48:00,False
d_0000199,t_0017707,m_01122,2026-04-14 21:53:00,497.7,not_received,won,2026-05-28 21:53:00,False
d_0000200,t_0017768,m_01125,2025-12-23 02:52:00,742.09,fraud,pending,,True
d_0000201,t_0017871,m_01133,2025-03-29 06:30:00,75.76,not_as_described,lost,2025-04-27 06:30:00,False
d_0000202,t_0017958,m_01138,2026-01-11 01:41:00,101.0,other,pending,,False
d_0000203,t_0018030,m_01143,2025-09-20 14:40:00,101.22,fraud,lost,2025-10-19 14:40:00,True
d_0000204,t_0018107,m_01145,2025-12-03 08:16:00,181.36,fraud,lost,2026-01-15 08:16:00,True
d_0000205,t_0018185,m_01153,2025-07-27 01:10:00,30.45,fraud,lost,2025-08-23 01:10:00,True
d_0000206,t_0018226,m_01154,2026-01-09 17:12:00,531.96,not_as_described,won,2026-01-29 17:12:00,False
d_0000207,t_0018387,m_01165,2026-04-09 17:06:00,300.29,processing_error,lost,2026-04-19 17:06:00,False
d_0000208,t_0018478,m_01175,2025-10-27 13:11:00,216.45,fraud,lost,2025-11-12 13:11:00,True
d_0000209,t_0018485,m_01176,2026-01-03 13:35:00,1648.91,not_as_described,won,2026-02-02 13:35:00,False
d_0000210,t_0018532,m_01181,2025-05-05 14:03:00,169.2,not_as_described,won,2025-06-03 14:03:00,False
d_0000211,t_0018665,m_01190,2025-06-25 22:11:00,421.48,processing_error,lost,2025-08-07 22:11:00,False
d_0000212,t_0018885,m_01201,2026-01-17 14:50:00,1042.28,not_received,lost,2026-02-26 14:50:00,False
d_0000213,t_0018899,m_01201,2026-02-15 08:58:00,420.91,fraud,lost,2026-02-25 08:58:00,True
d_0000214,t_0018991,m_01206,2025-09-13 14:06:00,178.24,fraud,won,2025-10-13 14:06:00,True
d_0000215,t_0019014,m_01207,2026-02-12 02:19:00,435.99,fraud,lost,2026-02-22 02:19:00,True
d_0000216,t_0019048,m_01209,2025-03-15 14:45:00,759.35,processing_error,lost,2025-03-29 14:45:00,False
d_0000217,t_0019204,m_01218,2025-12-09 01:50:00,515.57,processing_error,lost,2026-01-21 01:50:00,False
d_0000218,t_0019414,m_01230,2026-02-28 14:01:00,116.78,fraud,won,2026-03-21 14:01:00,True
d_0000219,t_0019474,m_01236,2026-01-05 15:10:00,151.0,fraud,pending,,True
d_0000220,t_0019485,m_01237,2025-06-21 11:36:00,550.9,not_as_described,lost,2025-07-17 11:36:00,False
d_0000221,t_0019787,m_01255,2026-01-04 16:05:00,399.56,fraud,pending,,True
d_0000222,t_0019844,m_01257,2025-03-09 06:54:00,394.68,processing_error,lost,2025-03-20 06:54:00,False
d_0000223,t_0019893,m_01262,2025-07-30 03:43:00,131.54,not_as_described,won,2025-09-09 03:43:00,False
d_0000224,t_0019916,m_01269,2025-03-02 03:49:00,147.92,other,won,2025-03-26 03:49:00,False
d_0000225,t_0020148,m_01291,2025-03-28 00:22:00,61.91,fraud,pending,,True
d_0000226,t_0020157,m_01291,2025-04-30 07:06:00,56.63,not_as_described,won,2025-05-21 07:06:00,False
d_0000227,t_0020266,m_01298,2026-02-03 04:30:00,275.12,fraud,pending,,True
d_0000228,t_0020329,m_01299,2026-01-04 03:58:00,771.41,fraud,won,2026-01-30 03:58:00,True
d_0000229,t_0020752,m_01322,2025-11-30 09:05:00,125.83,other,lost,2025-12-17 09:05:00,False
d_0000230,t_0020899,m_01329,2025-08-11 22:03:00,122.44,not_received,pending,,False
d_0000231,t_0021059,m_01347,2025-04-03 05:40:00,169.66,not_as_described,pending,,False
d_0000232,t_0021102,m_01350,2025-10-30 06:55:00,171.16,fraud,lost,2025-11-27 06:55:00,True
d_0000233,t_0021146,m_01353,2025-09-28 20:55:00,74.27,not_received,won,2025-10-25 20:55:00,False
d_0000234,t_0021205,m_01358,2025-03-25 17:22:00,149.27,not_as_described,lost,2025-04-23 17:22:00,False
d_0000235,t_0021589,m_01386,2025-11-16 23:09:00,141.15,not_as_described,won,2025-12-09 23:09:00,False
d_0000236,t_0021628,m_01392,2026-02-02 12:27:00,129.59,processing_error,won,2026-03-07 12:27:00,False
d_0000237,t_0021692,m_01399,2026-05-07 04:05:00,258.62,not_received,won,2026-05-17 04:05:00,False
d_0000238,t_0021721,m_01403,2026-01-25 04:03:00,117.83,fraud,lost,2026-02-10 04:03:00,True
d_0000239,t_0021857,m_01417,2026-02-09 03:58:00,861.76,fraud,lost,2026-03-08 03:58:00,True
d_0000240,t_0021916,m_01423,2026-05-12 10:52:00,155.53,fraud,lost,2026-06-15 10:52:00,True
d_0000241,t_0021925,m_01424,2026-02-10 21:07:00,389.51,other,won,2026-03-07 21:07:00,False
d_0000242,t_0022182,m_01437,2026-01-29 05:53:00,211.16,fraud,won,2026-03-14 05:53:00,True
d_0000243,t_0022452,m_01450,2026-02-23 19:35:00,62.52,fraud,lost,2026-03-13 19:35:00,True
d_0000244,t_0022547,m_01466,2025-11-17 17:50:00,204.29,fraud,won,2025-12-04 17:50:00,True
d_0000245,t_0022595,m_01471,2025-12-06 21:39:00,50.17,fraud,lost,2026-01-17 21:39:00,True
d_0000246,t_0022610,m_01471,2026-03-06 03:27:00,53.21,not_received,lost,2026-04-12 03:27:00,False
d_0000247,t_0022621,m_01472,2025-09-29 09:45:00,122.86,fraud,lost,2025-10-16 09:45:00,True
d_0000248,t_0022663,m_01474,2025-08-09 18:27:00,123.99,not_received,lost,2025-08-31 18:27:00,False
d_0000249,t_0022859,m_01484,2025-06-16 11:08:00,88.84,not_received,lost,2025-07-26 11:08:00,False
d_0000250,t_0023121,m_01508,2025-07-26 04:28:00,89.41,not_as_described,lost,2025-08-15 04:28:00,False
d_0000251,t_0023362,m_01521,2025-05-05 08:45:00,308.46,fraud,won,2025-06-09 08:45:00,True
d_0000252,t_0023422,m_01527,2025-12-27 01:59:00,130.14,fraud,won,2026-01-13 01:59:00,True
d_0000253,t_0023435,m_01527,2026-02-10 04:07:00,583.76,other,won,2026-03-02 04:07:00,False
d_0000254,t_0023721,m_01542,2026-06-16 13:07:00,692.03,fraud,won,2026-07-30 13:07:00,True
d_0000255,t_0023724,m_01544,2026-01-16 19:02:00,91.63,other,lost,2026-02-14 19:02:00,False
d_0000256,t_0023797,m_01549,2025-06-09 12:03:00,284.96,other,lost,2025-06-23 12:03:00,False
d_0000257,t_0023849,m_01551,2025-09-15 09:38:00,81.01,fraud,won,2025-10-23 09:38:00,True
