merchant_id,merchant_name,merchant_email,onboarding_date,industry,country,platform,acquisition_channel,requested_limit,expected_aov,kyb_tier,approval_method,uw_decision,uw_decision_date,uw_reason_code
m_00035,Apex Shop,bmxuwb@outlook.com,2025-06-17,fashion,CA,magento,inbound,38836,124.22,low,auto,declined,2025-06-24,HIGH_RISK
m_00036,River Depot,smiawfiptp@gmail.com,2025-05-04,marketplace,US,magento,outbound,40768,118.63,med,manual,approved,2025-05-06,
m_00037,Sunrise Goods,dleiezsx@gmail.com,2025-02-27,auto_parts,AU,custom,self_serve,89095,267.82,low,auto,approved,2025-03-04,
m_00038,Vertex Supply,ldavtlo@merchant.com,2025-04-12,services,US,woocommerce,inbound,73786,244.05,low,auto,approved,2025-04-13,
m_00039,Nimbus Supply,ozfwxz@company.com,2025-02-23,home_goods,US,shopify,inbound,153858,259.68,low,auto,approved,2025-02-27,
m_00040,Oak Direct,fptxzjr@outlook.com,2025-03-24,services,US,shopify,outbound,62768,287.89,low,manual,approved,2025-03-26,
m_00041,Cedar Trading,agbpjtua@company.com,2025-11-08,travel,US,woocommerce,self_serve,254577,587.91,low,auto,approved,2025-11-10,
m_00042,River Store,qeypeu@outlook.com,2025-07-11,marketplace,US,custom,outbound,104975,271.28,med,auto,declined,2025-07-14,HIGH_RISK
m_00043,Pioneer Boutique,vjzudvcd@merchant.com,2025-02-03,jewelry,US,woocommerce,self_serve,59294,872.98,low,auto,approved,2025-02-09,
m_00044,Lumen Labs,ubuymg@company.com,2025-06-07,fashion,US,shopify,inbound,119652,157.17,med,auto,approved,2025-06-12,
m_00045,River Direct,nbqaxz@company.com,2025-04-09,travel,US,shopify,self_serve,35325,497.53,med,auto,approved,2025-04-15,
m_00046,Oak Trading,rvhfjr@yahoo.com,2025-08-31,jewelry,CA,salesforce_cc,inbound,70500,656.04,med,manual,approved,2025-09-06,
m_00047,Pioneer Hub,vvpwudhi@store.com,2025-10-31,fashion,US,shopify,inbound,52016,139.13,low,auto,approved,2025-11-03,
m_00048,Cedar Market,rubqtbnht@temp-mail.org,2025-01-05,travel,US,custom,inbound,55181,642.17,low,manual,declined,2025-01-12,LIMIT_TOO_HIGH
m_00049,River Supply,lchnscvcw@company.com,2025-06-20,electronics,US,bigcommerce,inbound,28474,405.33,med,auto,declined,2025-06-21,MISSING_DOCS
m_00050,Marlin Hub,pojrlrts@merchant.com,2025-06-13,services,US,shopify,inbound,70216,235.88,low,manual,declined,2025-06-19,KYC_FAIL
m_00051,Vertex Boutique,omfwoxnzl@yahoo.com,2025-12-28,travel,US,shopify,outbound,65454,528.55,low,auto,approved,2025-12-31,
m_00052,Cedar Labs,fbfkleudj@outlook.com,2025-05-14,travel,GB,bigcommerce,partner,77778,442.9,med,manual,declined,2025-05-18,HIGH_RISK
m_00053,Acme Direct,qxcezdby@gmail.com,2025-03-02,marketplace,US,magento,inbound,92557,102.58,low,auto,declined,2025-03-03,MISSING_DOCS
m_00054,Evergreen Labs,zazrnfvhvr@merchant.com,2025-03-13,fashion,US,salesforce_cc,self_serve,70942,104.13,low,manual,approved,2025-03-14,
m_00055,Blue Collective,sdhoasfh@store.com,2025-06-24,home_goods,US,shopify,outbound,75220,348.33,low,auto,approved,2025-06-24,
m_00056,Acme Depot,clpkcpst@yahoo.com,2025-08-06,fashion,US,woocommerce,self_serve,32380,211.9,high,auto,approved,2025-08-12,
m_00057,Cedar Hub,qnpceae@company.com,2025-04-30,marketplace,US,magento,self_serve,90385,124.25,low,auto,approved,2025-05-01,
m_00058,Orbit Store,nxctsilx@company.com,2025-06-08,marketplace,US,custom,self_serve,43622,151.02,low,auto,declined,2025-06-10,LIMIT_TOO_HIGH
m_00059,Summit Direct,tidygzqii@outlook.com,2025-08-31,auto_parts,US,custom,inbound,53753,507.06,med,auto,approved,2025-09-02,
m_00060,Pioneer Trading,uheunsnens@store.com,2025-04-20,digital_goods,US,custom,partner,46712,49.95,med,manual,approved,2025-04-20,
m_00061,Blue Trading,sbltsmzcb@merchant.com,2025-12-19,fashion,US,custom,inbound,184774,164.57,low,auto,approved,2025-12-19,
m_00062,Oak Outlet,ruddekq@store.com,2025-03-18,health_beauty,US,custom,inbound,101031,106.23,high,auto,approved,2025-03-24,
m_00063,River Hub,abfpcrcicv@merchant.com,2025-12-08,electronics,US,shopify,inbound,85417,300.14,med,auto,approved,2025-12-14,
m_00064,Nimbus Works,malwngo@merchant.com,2025-11-16,electronics,US,shopify,self_serve,179350,456.4,low,manual,approved,2025-11-17,
m_00065,Summit Trading,uclfjlql@merchant.com,2025-12-16,services,CA,woocommerce,inbound,129328,232.97,low,auto,approved,2025-12-19,
m_00066,Orbit Trading,nvcmnunmc@mailinator.com,2025-10-19,digital_goods,US,bigcommerce,self_serve,32104,94.3,high,auto,approved,2025-10-21,
m_00067,Summit Hub,ahwbpe@store.com,2025-07-12,fashion,US,custom,self_serve,37525,134.55,low,auto,approved,2025-07-16,
m_00068,Cedar Market,wexgwmfpig@merchant.com,2025-08-10,electronics,US,shopify,inbound,100359,309.13,high,auto,approved,2025-08-10,
m_00069,Cedar Supply,qcqksvtdv@store.com,2025-03-17,services,AU,bigcommerce,partner,30109,211.54,med,auto,declined,2025-03-22,HIGH_RISK
m_00070,Orbit Market,cmxnon@company.com,2025-05-06,marketplace,US,shopify,self_serve,86689,156.05,low,auto,approved,2025-05-10,
m_00071,Cedar Labs,mpowffxix@temp-mail.org,2025-06-19,electronics,CA,woocommerce,partner,80845,370.09,high,auto,approved,2025-06-26,
m_00072,Orbit Boutique,eltvtq@outlook.com,2025-12-12,auto_parts,CA,shopify,outbound,97062,404.71,low,auto,approved,2025-12-14,
m_00073,Summit Trading,qpghdi@merchant.com,2025-10-18,electronics,US,shopify,inbound,28313,416.75,med,manual,approved,2025-10-24,
m_00074,Lumen Hub,lsehgl@temp-mail.org,2025-07-25,health_beauty,US,custom,partner,72696,166.88,low,auto,approved,2025-07-28,
m_00075,Pioneer Supply,glgjgcgp@gmail.com,2025-08-06,auto_parts,US,custom,inbound,12406,227.51,med,auto,approved,2025-08-09,
m_00076,Evergreen Market,jwmlqske@outlook.com,2025-06-07,home_goods,US,magento,self_serve,139373,291.84,med,auto,declined,2025-06-14,HIGH_RISK
m_00077,River Market,zbgthqn@company.com,2025-06-03,health_beauty,US,shopify,partner,82161,55.67,low,manual,approved,2025-06-07,
m_00078,Acme Shop,pvgrhjpa@store.com,2025-11-25,auto_parts,US,salesforce_cc,partner,57312,361.84,low,manual,approved,2025-11-25,
m_00079,Blue Works,xooshmyr@company.com,2025-01-02,home_goods,AU,custom,inbound,14960,240.88,low,auto,declined,2025-01-07,LIMIT_TOO_HIGH
m_00080,Oak Direct,,2025-04-27,fashion,US,shopify,inbound,61608,142.39,low,manual,approved,2025-04-30,
m_00081,Vertex Labs,riprcxxj@gmail.com,2025-05-30,health_beauty,AU,shopify,partner,62238,100.2,low,manual,declined,2025-06-04,HIGH_RISK
m_00082,Cedar Hub,mwmuepori@sharklasers.com,2025-09-12,health_beauty,US,bigcommerce,inbound,55244,127.03,low,manual,approved,2025-09-13,
m_00083,Vertex Goods,pxcrehprhi@store.com,2025-05-31,home_goods,GB,shopify,partner,105129,353.82,med,auto,approved,2025-06-04,
m_00084,Oak Outlet,ujifzku@merchant.com,2025-04-25,services,US,shopify,inbound,17336,201.93,low,manual,approved,2025-04-27,
m_00085,Apex Depot,xqnwrhs@merchant.com,2025-01-29,travel,US,magento,outbound,67778,623.62,low,manual,declined,2025-02-04,POLICY
m_00086,Vertex Trading,mtuspq@merchant.com,2025-04-06,marketplace,US,woocommerce,outbound,46291,145.67,med,auto,declined,2025-04-12,HIGH_RISK
m_00087,Cedar Labs,stokmhjdss@store.com,2025-02-08,digital_goods,US,magento,partner,73658,74.34,low,manual,approved,2025-02-08,
m_00088,River Trading,ayahzttq@company.com,2025-09-13,auto_parts,US,magento,self_serve,63187,383.91,high,manual,approved,2025-09-17,
m_00089,Lumen Supply,cwnjzxmtje@temp-mail.org,2025-06-06,digital_goods,US,custom,outbound,41659,121.08,med,auto,declined,2025-06-13,KYC_FAIL
m_00090,Cedar Works,glismxfo@outlook.com,2025-03-25,home_goods,US,shopify,inbound,34922,243.97,med,auto,approved,2025-04-01,
m_00091,Oak Shop,xxhsoz@outlook.com,2025-07-17,travel,US,custom,inbound,80695,340.71,med,auto,declined,2025-07-21,HIGH_RISK
m_00092,River Market,gruxkgp@store.com,2025-06-29,travel,US,custom,self_serve,80512,651.83,low,auto,approved,2025-06-29,
m_00093,Sunrise Trading,ueyaqzawxh@company.com,2025-06-22,marketplace,US,custom,inbound,213812,194.95,low,auto,approved,2025-06-26,
m_00094,Oak Labs,yljmqftge@outlook.com,2025-07-31,services,US,magento,inbound,47686,270.41,med,manual,approved,2025-08-02,
m_00095,Nimbus Trading,yjwkpijdi@gmail.com,2025-08-17,home_goods,US,shopify,outbound,56357,380.22,high,auto,approved,2025-08-23,
m_00096,Summit Depot,kelnrny@store.com,2025-03-10,health_beauty,GB,shopify,outbound,46058,85.77,low,manual,declined,2025-03-17,LIMIT_TOO_HIGH
m_00097,Lumen Boutique,ggwfnejnkn@store.com,2025-02-26,health_beauty,CA,salesforce_cc,self_serve,35395,120.62,low,auto,declined,2025-03-03,INCONCLUSIVE
m_00098,Apex Trading,ahsolxcwow@merchant.com,2025-09-24,marketplace,US,custom,outbound,50515,161.0,med,auto,approved,2025-09-28,
m_00099,Oak Co,mlnzubpuqn@store.com,2025-12-22,digital_goods,US,woocommerce,outbound,84452,54.44,low,manual,declined,2025-12-28,KYC_FAIL
m_00100,Pioneer Collective,qsribyhua@store.com,2025-07-20,home_goods,AU,custom,partner,58053,270.01,low,manual,approved,2025-07-24,
m_00101,Summit Trading,vlpvpaora@gmail.com,2025-06-14,auto_parts,US,custom,inbound,55282,304.8,low,auto,approved,2025-06-20,
m_00102,Nimbus Works,hrmcdbiyru@company.com,2025-08-15,health_beauty,US,custom,inbound,44761,105.99,low,auto,approved,2025-08-20,
m_00103,Apex Hub,iqxcyfj@store.com,2025-01-13,health_beauty,GB,salesforce_cc,partner,103161,109.05,med,manual,approved,2025-01-15,
m_00104,Vertex Goods,dcffkf@store.com,2025-05-16,health_beauty,US,magento,self_serve,61215,52.08,med,manual,declined,2025-05-17,LIMIT_TOO_HIGH
m_00105,Nimbus Outlet,slotjolzz@merchant.com,2025-05-11,electronics,US,shopify,self_serve,65976,342.98,low,manual,approved,2025-05-12,
m_00106,Summit Collective,gmloozdal@company.com,2025-06-03,electronics,US,salesforce_cc,partner,26615,435.21,med,auto,approved,2025-06-06,
m_00107,Pioneer Co,dpezjdco@merchant.com,2025-09-29,home_goods,US,woocommerce,partner,86888,405.6,med,manual,approved,2025-10-01,
m_00108,Vertex Hub,,2025-06-30,digital_goods,US,magento,partner,45111,65.5,low,auto,approved,2025-07-02,
m_00109,Acme Store,imtqfd@gmail.com,2025-11-09,marketplace,GB,woocommerce,inbound,12614,178.33,high,auto,approved,2025-11-14,
m_00110,Acme Trading,qyeszyrfjj@outlook.com,2025-06-21,fashion,AU,shopify,partner,37828,147.89,med,manual,approved,2025-06-23,
m_00111,Marlin Boutique,ckvgeyvui@company.com,2025-01-13,fashion,GB,shopify,inbound,97046,156.73,low,auto,declined,2025-01-20,KYC_FAIL
m_00112,Oak Collective,quxvkcqi@store.com,2025-09-04,fashion,US,shopify,self_serve,33040,150.88,high,manual,declined,2025-09-09,LIMIT_TOO_HIGH
m_00113,Nimbus Direct,krjyhyv@yahoo.com,2025-10-19,auto_parts,US,custom,partner,239143,260.23,high,auto,declined,2025-10-26,HIGH_RISK
m_00114,Lumen Outlet,vrzibei@company.com,2025-07-30,services,US,custom,partner,57761,184.63,low,auto,approved,2025-08-01,
m_00115,Evergreen Store,ihooait@merchant.com,2025-12-09,marketplace,US,shopify,outbound,62729,179.66,low,auto,declined,2025-12-09,MISSING_DOCS
m_00116,Marlin Shop,uaauvursi@merchant.com,2025-06-01,electronics,US,salesforce_cc,inbound,182791,192.52,low,auto,approved,2025-06-06,
m_00117,Lumen Boutique,btncja@outlook.com,2025-10-18,jewelry,US,magento,inbound,32617,325.61,high,manual,approved,2025-10-22,
m_00118,Apex Works,tganeslne@gmail.com,2025-01-01,travel,US,magento,partner,47971,508.22,low,manual,approved,2025-01-04,
m_00119,Lumen Works,wyxlvpvbgq@store.com,2025-01-15,travel,AU,shopify,inbound,69013,442.47,low,auto,declined,2025-01-18,INCONCLUSIVE
m_00120,Sunrise Co,niftvg@gmail.com,2025-10-17,electronics,US,bigcommerce,outbound,25597,264.98,med,manual,approved,2025-10-21,
m_00121,Acme Goods,ikxbjt@mailinator.com,2025-11-15,jewelry,US,shopify,inbound,74221,694.32,high,auto,declined,2025-11-21,KYC_FAIL
m_00122,Orbit Direct,rahhghej@yahoo.com,2025-07-09,jewelry,US,shopify,partner,98055,604.16,low,auto,approved,2025-07-16,
m_00123,Marlin Labs,qmftjbag@outlook.com,2025-10-02,digital_goods,US,magento,outbound,100924,120.29,high,auto,approved,2025-10-09,
m_00124,Oak Collective,gjxmdbjw@yahoo.com,2025-04-30,marketplace,US,custom,outbound,74887,185.48,med,manual,approved,2025-05-04,
m_00125,Vertex Depot,zvtxie@gmail.com,2025-09-23,marketplace,US,shopify,self_serve,51349,207.54,med,manual,approved,2025-09-24,
m_00126,Summit Co,tmprht@merchant.com,2025-07-02,marketplace,GB,magento,inbound,78598,114.51,med,auto,approved,2025-07-03,
m_00127,Cedar Outlet,nscgtire@merchant.com,2025-04-21,home_goods,US,woocommerce,inbound,30379,318.98,med,auto,approved,2025-04-27,
m_00128,Vertex Direct,apctzovr@gmail.com,2025-02-04,fashion,US,bigcommerce,self_serve,27616,79.58,low,auto,approved,2025-02-11,
m_00129,Blue Direct,uoyfjgl@gmail.com,2025-03-05,electronics,CA,custom,partner,33470,404.4,low,auto,declined,2025-03-10,HIGH_RISK
m_00130,Oak Depot,proldrjo@merchant.com,2025-11-27,services,US,custom,inbound,51107,328.22,low,manual,approved,2025-12-03,
m_00131,Cedar Market,zmcuddkojv@temp-mail.org,2025-06-11,marketplace,US,woocommerce,inbound,86473,125.63,med,manual,approved,2025-06-12,
m_00132,Nimbus Supply,urisanvac@yahoo.com,2025-12-28,services,US,custom,inbound,108762,318.5,low,auto,approved,2026-01-03,
m_00133,Orbit Co,oznbixijbj@store.com,2025-05-09,travel,US,shopify,outbound,35137,561.59,low,manual,approved,2025-05-12,
m_00134,Oak Co,lqoczq@company.com,2025-01-22,electronics,US,shopify,partner,47931,458.48,low,manual,approved,2025-01-24,
m_00135,Lumen Labs,zfzsis@gmail.com,2025-04-04,health_beauty,US,woocommerce,inbound,28883,66.93,med,auto,approved,2025-04-09,
m_00136,Oak Direct,oiphpo@gmail.com,2025-05-11,marketplace,AU,woocommerce,partner,132370,121.25,low,auto,declined,2025-05-18,HIGH_RISK
m_00137,Apex Boutique,xgdcssbzsc@store.com,2025-09-13,jewelry,US,bigcommerce,inbound,37100,436.9,low,manual,approved,2025-09-20,
m_00138,Pioneer Supply,frefmvj@store.com,2025-09-24,home_goods,US,magento,inbound,78265,447.82,med,manual,approved,2025-09-27,
m_00139,Lumen Co,epkgexwtz@company.com,2025-09-26,marketplace,US,shopify,inbound,72992,216.71,low,auto,approved,2025-09-27,
m_00140,Cedar Labs,cqrjej@merchant.com,2025-04-25,fashion,US,shopify,inbound,41064,119.57,low,auto,approved,2025-05-01,
m_00141,Evergreen Supply,rmvwjbl@company.com,2025-05-19,fashion,US,shopify,inbound,173132,93.96,high,auto,approved,2025-05-26,
m_00142,Acme Store,fjdrybtqag@outlook.com,2025-07-26,home_goods,US,woocommerce,partner,27353,297.05,low,auto,approved,2025-07-31,
m_00143,Pioneer Hub,hklzqi@merchant.com,2025-08-10,marketplace,AU,custom,outbound,91040,123.31,low,auto,approved,2025-08-14,
m_00144,Nimbus Shop,kvlcnijrg@company.com,2025-06-02,electronics,US,shopify,self_serve,79067,445.28,low,auto,declined,2025-06-06,HIGH_RISK
m_00145,River Goods,hxayaxv@gmail.com,2025-03-11,travel,US,shopify,inbound,130661,315.73,low,manual,declined,2025-03-12,HIGH_RISK
m_00146,Orbit Goods,qrvrpcyef@company.com,2025-10-10,auto_parts,US,shopify,outbound,104102,363.45,low,manual,approved,2025-10-10,
m_00147,Oak Labs,vofsijebmf@merchant.com,2025-07-10,digital_goods,US,custom,partner,90502,92.06,low,auto,declined,2025-07-14,LIMIT_TOO_HIGH
m_00148,Acme Shop,ncdkyobflj@gmail.com,2025-12-16,electronics,US,shopify,partner,221962,504.5,med,auto,approved,2025-12-20,
m_00149,Cedar Trading,dyluodsoa@mailinator.com,2025-12-12,digital_goods,US,woocommerce,inbound,39939,96.48,high,auto,approved,2025-12-18,
m_00150,Sunrise Works,yarywowpy@company.com,2025-11-21,travel,US,woocommerce,inbound,66003,509.85,med,auto,declined,2025-11-23,INCONCLUSIVE
m_00151,Apex Trading,vrbuyggyrz@company.com,2025-12-17,marketplace,US,custom,outbound,78701,232.26,low,auto,approved,2025-12-21,
m_00152,Sunrise Hub,lcfyon@company.com,2025-08-15,home_goods,US,shopify,inbound,23642,237.65,low,manual,declined,2025-08-15,LIMIT_TOO_HIGH
m_00153,Nimbus Trading,dvrykaskeh@outlook.com,2025-04-19,fashion,US,magento,inbound,32176,175.96,low,auto,declined,2025-04-22,HIGH_RISK
m_00154,Vertex Direct,hvgsif@company.com,2025-02-28,travel,US,shopify,inbound,51971,627.39,med,manual,approved,2025-03-04,
m_00155,Marlin Labs,vutearbrk@company.com,2025-02-08,digital_goods,GB,woocommerce,inbound,38480,50.97,low,auto,declined,2025-02-09,HIGH_RISK
m_00156,Blue Co,ahzudhrcfd@yahoo.com,2025-12-12,fashion,CA,shopify,self_serve,96147,160.09,low,auto,declined,2025-12-17,POLICY
m_00157,Marlin Boutique,cghptvr@merchant.com,2025-04-09,fashion,US,woocommerce,partner,92803,142.12,low,auto,declined,2025-04-11,HIGH_RISK
m_00158,Evergreen Supply,yrevatafr@merchant.com,2025-01-09,auto_parts,US,custom,inbound,101890,337.27,low,auto,approved,2025-01-10,
m_00159,Marlin Goods,fwdetqqqo@company.com,2025-01-14,travel,US,custom,outbound,78286,303.67,low,manual,declined,2025-01-14,HIGH_RISK
m_00160,Vertex Direct,vvzbgs@store.com,2025-04-19,digital_goods,GB,shopify,inbound,39302,72.38,low,auto,approved,2025-04-19,
m_00161,Evergreen Works,rwqesuzco@company.com,2025-12-24,marketplace,US,shopify,inbound,123300,169.66,low,auto,approved,2025-12-25,
m_00162,Summit Store,sqtitf@store.com,2025-04-13,digital_goods,US,shopify,partner,48759,46.14,high,manual,approved,2025-04-20,
m_00163,Cedar Supply,rlieew@company.com,2025-02-07,home_goods,US,bigcommerce,inbound,200666,299.09,low,auto,approved,2025-02-09,
m_00164,Acme Outlet,iusnjdkq@company.com,2025-09-03,fashion,US,custom,self_serve,99818,144.54,low,manual,declined,2025-09-09,HIGH_RISK
m_00165,Orbit Hub,bpckelj@store.com,2025-01-22,health_beauty,GB,custom,self_serve,116778,138.53,low,manual,approved,2025-01-26,
m_00166,Blue Shop,kgohvdvhkx@company.com,2025-06-27,services,US,shopify,inbound,35644,206.67,med,auto,declined,2025-07-04,HIGH_RISK
m_00167,Orbit Boutique,sfpsnxf@temp-mail.org,2025-02-01,home_goods,US,bigcommerce,outbound,83545,301.16,med,auto,approved,2025-02-05,
m_00168,Oak Collective,ohjtydewtb@merchant.com,2025-02-03,travel,US,shopify,outbound,86631,388.3,low,manual,approved,2025-02-04,
m_00169,Acme Trading,evdwqktts@store.com,2025-05-12,electronics,US,salesforce_cc,inbound,57890,316.23,low,auto,approved,2025-05-16,
m_00170,River Labs,bhuroevma@merchant.com,2025-01-05,services,US,woocommerce,partner,48383,273.58,low,auto,approved,2025-01-09,
m_00171,Orbit Outlet,tcwqlbj@merchant.com,2025-11-07,auto_parts,GB,shopify,partner,35763,263.77,med,manual,approved,2025-11-12,
m_00172,Vertex Depot,jhstznnxiz@company.com,2025-08-09,home_goods,US,woocommerce,self_serve,80459,197.41,med,auto,approved,2025-08-16,
m_00173,Orbit Hub,ttpuusgyw@store.com,2025-12-07,digital_goods,US,magento,inbound,153699,58.11,low,manual,declined,2025-12-10,INCONCLUSIVE
m_00174,Acme Co,vusoqbzkv@store.com,2025-06-29,services,US,custom,inbound,21223,228.95,low,auto,approved,2025-07-05,
m_00175,Orbit Boutique,phfxufgb@yahoo.com,2025-07-22,jewelry,US,magento,inbound,138691,888.65,low,manual,approved,2025-07-28,
m_00176,Evergreen Labs,zcmnwhtguu@gmail.com,2025-08-08,home_goods,US,shopify,inbound,82711,265.61,med,auto,declined,2025-08-08,LIMIT_TOO_HIGH
m_00177,Oak Boutique,mhlqcd@gmail.com,2025-06-20,services,US,shopify,outbound,59317,185.76,med,auto,approved,2025-06-22,
m_00178,Oak Co,gggtqgcsa@gmail.com,2025-07-25,health_beauty,AU,bigcommerce,inbound,222506,85.6,low,manual,approved,2025-07-29,
m_00179,Blue Works,vjistgn@company.com,2025-07-28,marketplace,US,salesforce_cc,inbound,71393,146.91,med,auto,approved,2025-07-31,
m_00180,River Co,gkmfpvkmj@gmail.com,2025-11-22,travel,GB,magento,partner,97134,518.16,low,manual,declined,2025-11-24,LIMIT_TOO_HIGH
m_00181,Pioneer Market,thhcfadlrh@outlook.com,2025-04-21,marketplace,US,shopify,outbound,149432,125.69,med,auto,approved,2025-04-26,
m_00182,Pioneer Boutique,oepqpvyhyt@merchant.com,2025-12-02,marketplace,US,woocommerce,self_serve,244055,148.61,low,auto,approved,2025-12-08,
m_00183,Pioneer Collective,etehpnrxo@gmail.com,2025-03-04,fashion,US,shopify,inbound,101980,110.27,med,auto,approved,2025-03-07,
m_00184,Nimbus Supply,tggujeoy@company.com,2025-03-10,services,US,woocommerce,self_serve,42254,127.9,low,manual,approved,2025-03-12,
m_00185,Apex Co,xvpfgleh@store.com,2025-04-04,jewelry,US,woocommerce,outbound,53360,639.85,med,auto,approved,2025-04-10,
m_00186,Sunrise Co,ioxtpwo@gmail.com,2025-12-10,home_goods,US,custom,outbound,55001,317.15,low,auto,approved,2025-12-14,
m_00187,Apex Trading,owyrfkdpt@gmail.com,2025-03-31,health_beauty,CA,woocommerce,partner,69157,117.29,med,auto,approved,2025-04-06,
m_00188,Vertex Labs,ucqixaxol@merchant.com,2025-10-15,marketplace,US,shopify,inbound,43424,289.81,low,manual,approved,2025-10-16,
m_00189,River Supply,brfeeqivxh@gmail.com,2025-08-01,health_beauty,US,shopify,self_serve,103401,93.08,high,manual,approved,2025-08-01,
