refund_id,transaction_id,merchant_id,refund_ts,refund_amount,refund_reason,is_partial_refund
r_0000034,t_0001188,m_00065,2026-05-02 10:22:00,132.16,customer_request,False
r_0000035,t_0001221,m_00067,2025-10-14 23:28:00,113.23,suspected_fraud,False
r_0000036,t_0001248,m_00070,2025-05-28 04:29:00,175.18,other,False
r_0000037,t_0001330,m_00073,2026-01-19 20:58:00,465.06,customer_request,False
r_0000038,t_0001418,m_00083,2025-07-10 05:33:00,372.48,return,False
r_0000039,t_0001433,m_00084,2025-06-08 09:31:00,290.97,customer_request,False
r_0000040,t_0001437,m_00084,2025-07-20 06:40:00,216.0,return,False
r_0000041,t_0001452,m_00087,2025-04-10 01:07:00,63.76,return,False
r_0000042,t_0001463,m_00088,2025-11-03 01:06:00,478.58,service_issue,True
r_0000043,t_0001482,m_00090,2025-04-29 15:08:00,58.87,service_issue,True
r_0000044,t_0001571,m_00098,2026-01-24 11:15:00,168.24,customer_request,False
r_0000045,t_0001585,m_00101,2025-07-16 01:55:00,121.82,customer_request,True
r_0000046,t_0001591,m_00101,2025-08-05 16:30:00,182.4,return,True
r_0000047,t_0001622,m_00103,2025-01-24 02:33:00,101.93,return,False
r_0000048,t_0001642,m_00103,2025-03-27 14:06:00,129.2,other,False
r_0000049,t_0001679,m_00105,2025-09-13 15:52:00,550.88,other,False
r_0000050,t_0001687,m_00107,2026-02-12 22:19:00,291.19,service_issue,False
r_0000051,t_0001691,m_00108,2025-07-08 07:38:00,68.62,service_issue,False
r_0000052,t_0001693,m_00108,2025-08-05 22:44:00,79.63,return,False
r_0000053,t_0001722,m_00110,2025-07-20 04:12:00,50.05,customer_request,True
r_0000054,t_0001741,m_00114,2025-09-04 13:55:00,253.7,customer_request,False
r_0000055,t_0001764,m_00116,2025-10-15 21:42:00,693.91,customer_request,False
r_0000056,t_0001785,m_00117,2026-04-05 18:48:00,459.48,customer_request,False
r_0000057,t_0001812,m_00118,2025-04-20 07:03:00,412.18,customer_request,False
r_0000058,t_0001838,m_00122,2025-07-26 01:30:00,220.55,customer_request,False
r_0000059,t_0001847,m_00122,2025-09-02 14:20:00,992.23,other,False
r_0000060,t_0001880,m_00122,2025-12-03 06:00:00,679.31,service_issue,False
r_0000061,t_0001886,m_00123,2025-11-03 20:36:00,74.7,customer_request,False
r_0000062,t_0001902,m_00123,2026-01-14 07:30:00,30.08,suspected_fraud,True
r_0000063,t_0001969,m_00126,2025-11-19 10:18:00,104.17,customer_request,False
r_0000064,t_0001992,m_00130,2026-04-01 10:38:00,385.11,suspected_fraud,False
r_0000065,t_0002106,m_00139,2025-10-10 03:06:00,91.16,service_issue,False
r_0000066,t_0002130,m_00139,2026-01-03 09:03:00,96.71,suspected_fraud,True
r_0000067,t_0002155,m_00141,2025-06-25 13:00:00,116.01,service_issue,False
r_0000068,t_0002191,m_00143,2025-08-18 10:58:00,74.25,customer_request,False
r_0000069,t_0002253,m_00146,2026-01-24 19:55:00,80.02,customer_request,True
r_0000070,t_0002277,m_00148,2026-03-30 12:23:00,1216.78,other,False
r_0000071,t_0002333,m_00158,2025-02-20 19:34:00,329.49,service_issue,False
r_0000072,t_0002417,m_00163,2025-04-02 11:08:00,282.24,customer_request,False
r_0000073,t_0002481,m_00168,2025-03-16 07:21:00,435.83,service_issue,False
r_0000074,t_0002505,m_00169,2025-07-03 00:03:00,490.69,customer_request,False
r_0000075,t_0002540,m_00171,2026-02-02 20:40:00,168.61,other,False
r_0000076,t_0002559,m_00172,2025-10-25 16:31:00,486.44,customer_request,False
r_0000077,t_0002568,m_00174,2025-08-10 07:41:00,433.83,service_issue,False
r_0000078,t_0002570,m_00174,2025-08-22 11:50:00,154.48,return,False
r_0000079,t_0002573,m_00174,2025-09-05 07:56:00,87.22,customer_request,False
r_0000080,t_0002619,m_00175,2025-10-09 22:08:00,1418.14,service_issue,False
r_0000081,t_0002660,m_00177,2025-09-11 02:36:00,35.51,customer_request,True
r_0000082,t_0002677,m_00178,2025-08-29 00:11:00,183.82,other,False
r_0000083,t_0002682,m_00178,2025-09-15 09:32:00,84.22,customer_request,True
r_0000084,t_0002711,m_00179,2025-08-07 07:15:00,88.21,service_issue,False
r_0000085,t_0002721,m_00179,2025-09-13 02:37:00,75.13,service_issue,True
r_0000086,t_0002757,m_00181,2025-05-21 11:55:00,176.71,customer_request,False
r_0000087,t_0002767,m_00181,2025-08-03 09:53:00,97.93,customer_request,False
r_0000088,t_0002978,m_00189,2025-11-18 05:35:00,81.44,suspected_fraud,False
r_0000089,t_0002985,m_00189,2025-11-29 16:36:00,78.76,customer_request,False
r_0000090,t_0002994,m_00190,2025-10-01 02:28:00,399.48,customer_request,False
r_0000091,t_0003062,m_00199,2025-10-17 14:14:00,162.04,customer_request,False
r_0000092,t_0003128,m_00202,2025-11-15 04:14:00,228.39,customer_request,False
r_0000093,t_0003156,m_00203,2025-09-13 20:25:00,187.48,service_issue,False
r_0000094,t_0003210,m_00205,2026-02-12 01:43:00,81.07,customer_request,False
r_0000095,t_0003218,m_00205,2026-02-20 01:02:00,177.57,customer_request,False
r_0000096,t_0003239,m_00208,2025-07-18 06:14:00,374.41,customer_request,False
r_0000097,t_0003259,m_00208,2025-07-31 18:46:00,101.13,other,False
r_0000098,t_0003261,m_00208,2025-08-26 11:48:00,301.39,return,True
r_0000099,t_0003295,m_00213,2025-07-14 11:54:00,1900.86,customer_request,False
r_0000100,t_0003307,m_00215,2025-11-02 05:15:00,162.85,customer_request,False
r_0000101,t_0003328,m_00217,2025-07-09 01:52:00,488.51,customer_request,True
r_0000102,t_0003376,m_00220,2025-06-05 22:49:00,693.54,customer_request,False
r_0000103,t_0003383,m_00220,2025-06-24 22:38:00,195.73,customer_request,False
r_0000104,t_0003449,m_00227,2026-01-28 00:01:00,30.16,customer_request,True
r_0000105,t_0003509,m_00234,2025-04-04 13:11:00,110.23,service_issue,False
r_0000106,t_0003541,m_00238,2025-06-24 09:43:00,116.77,customer_request,False
r_0000107,t_0003570,m_00239,2026-01-13 19:28:00,92.99,suspected_fraud,False
r_0000108,t_0003584,m_00239,2026-02-25 11:07:00,187.23,customer_request,False
r_0000109,t_0003701,m_00248,2025-06-26 05:45:00,25.26,suspected_fraud,True
r_0000110,t_0003736,m_00249,2026-04-30 17:18:00,415.73,customer_request,True
r_0000111,t_0003869,m_00259,2025-07-07 07:49:00,1087.9,customer_request,False
r_0000112,t_0003882,m_00261,2025-05-28 15:08:00,412.01,other,False
r_0000113,t_0003891,m_00261,2025-06-05 01:42:00,492.05,other,False
r_0000114,t_0003892,m_00261,2025-06-26 12:44:00,620.93,suspected_fraud,False
r_0000115,t_0003961,m_00263,2026-03-12 18:23:00,74.71,return,False
r_0000116,t_0003969,m_00263,2026-04-11 23:52:00,43.27,return,False
r_0000117,t_0003978,m_00263,2026-04-27 19:18:00,44.13,customer_request,False
r_0000118,t_0004022,m_00266,2026-01-13 15:39:00,371.98,customer_request,False
r_0000119,t_0004081,m_00269,2025-02-21 11:17:00,347.22,customer_request,False
r_0000120,t_0004101,m_00269,2025-04-19 09:39:00,315.67,return,False
r_0000121,t_0004154,m_00273,2025-12-25 23:05:00,418.31,other,False
r_0000122,t_0004156,m_00273,2025-12-22 16:36:00,394.34,other,False
r_0000123,t_0004215,m_00275,2026-04-12 19:27:00,468.45,customer_request,False
r_0000124,t_0004227,m_00276,2025-11-05 15:05:00,2134.54,return,False
r_0000125,t_0004232,m_00276,2025-12-08 15:47:00,1235.0,customer_request,False
r_0000126,t_0004323,m_00282,2025-08-30 16:45:00,196.04,return,False
r_0000127,t_0004329,m_00282,2025-10-01 17:31:00,413.04,customer_request,False
r_0000128,t_0004404,m_00284,2025-07-17 10:04:00,117.15,customer_request,False
r_0000129,t_0004499,m_00287,2025-03-22 17:13:00,138.89,suspected_fraud,True
r_0000130,t_0004502,m_00287,2025-03-01 23:23:00,312.7,return,False
r_0000131,t_0004520,m_00288,2025-05-20 03:20:00,363.05,customer_request,False
r_0000132,t_0004559,m_00293,2025-03-12 17:13:00,730.89,customer_request,False
r_0000133,t_0004565,m_00293,2025-04-04 20:44:00,679.35,suspected_fraud,False
r_0000134,t_0004594,m_00295,2025-11-02 15:35:00,312.88,return,False
r_0000135,t_0004669,m_00300,2025-07-21 13:36:00,104.59,customer_request,False
r_0000136,t_0004715,m_00305,2025-04-14 03:11:00,16.54,customer_request,True
r_0000137,t_0004748,m_00307,2025-07-15 18:39:00,697.72,service_issue,False
r_0000138,t_0004784,m_00308,2025-07-01 06:14:00,182.43,return,False
r_0000139,t_0004874,m_00314,2025-11-13 13:22:00,247.6,customer_request,False
r_0000140,t_0004875,m_00314,2025-11-11 22:25:00,258.88,service_issue,False
r_0000141,t_0004881,m_00314,2025-12-10 04:15:00,83.85,customer_request,False
r_0000142,t_0004887,m_00314,2025-12-07 06:19:00,195.74,customer_request,False
r_0000143,t_0004903,m_00314,2026-02-18 09:52:00,428.13,suspected_fraud,False
r_0000144,t_0004947,m_00322,2025-08-23 20:47:00,580.9,return,False
r_0000145,t_0005005,m_00325,2025-07-04 22:57:00,166.6,customer_request,False
r_0000146,t_0005040,m_00329,2025-05-23 18:07:00,174.03,customer_request,True
r_0000147,t_0005063,m_00333,2025-09-22 21:03:00,360.47,customer_request,False
r_0000148,t_0005075,m_00335,2025-09-07 23:23:00,201.24,return,True
r_0000149,t_0005093,m_00335,2025-12-06 06:52:00,820.84,customer_request,False
r_0000150,t_0005189,m_00341,2025-07-12 11:58:00,798.16,customer_request,False
r_0000151,t_0005193,m_00344,2025-06-18 19:39:00,179.62,return,True
r_0000152,t_0005222,m_00345,2025-09-24 18:24:00,181.07,customer_request,False
r_0000153,t_0005282,m_00351,2025-09-26 03:12:00,289.98,customer_request,False
r_0000154,t_0005291,m_00351,2025-11-14 22:58:00,44.55,return,True
r_0000155,t_0005301,m_00351,2025-11-24 04:06:00,196.3,customer_request,False
r_0000156,t_0005321,m_00356,2025-04-15 17:53:00,118.11,customer_request,False
r_0000157,t_0005325,m_00356,2025-04-24 08:29:00,143.88,other,False
r_0000158,t_0005340,m_00357,2025-05-19 17:57:00,206.24,customer_request,True
r_0000159,t_0005365,m_00357,2025-07-23 11:29:00,821.26,customer_request,False
r_0000160,t_0005374,m_00357,2025-08-21 11:51:00,332.38,other,False
r_0000161,t_0005407,m_00359,2026-01-10 03:41:00,230.45,suspected_fraud,False
r_0000162,t_0005410,m_00359,2026-02-03 17:11:00,78.26,other,False
r_0000163,t_0005424,m_00359,2026-03-21 04:28:00,217.7,service_issue,False
r_0000164,t_0005505,m_00363,2025-04-04 23:14:00,71.18,customer_request,False
r_0000165,t_0005507,m_00363,2025-04-07 06:06:00,61.53,customer_request,False
r_0000166,t_0005520,m_00364,2025-12-19 22:04:00,1311.36,customer_request,False
r_0000167,t_0005531,m_00365,2025-05-28 02:25:00,192.05,customer_request,False
r_0000168,t_0005565,m_00366,2026-02-24 13:06:00,112.01,return,False
r_0000169,t_0005575,m_00366,2026-03-10 01:59:00,62.15,other,False
r_0000170,t_0005576,m_00366,2026-03-11 15:00:00,85.0,return,False
r_0000171,t_0005603,m_00368,2026-01-29 09:51:00,116.85,customer_request,False
r_0000172,t_0005719,m_00376,2025-04-11 14:53:00,64.27,customer_request,False
r_0000173,t_0005720,m_00377,2025-04-05 19:12:00,671.66,customer_request,False
r_0000174,t_0005747,m_00380,2025-05-22 06:52:00,204.25,customer_request,False
r_0000175,t_0005769,m_00380,2025-09-15 08:47:00,93.0,other,False
r_0000176,t_0005904,m_00387,2025-12-12 00:08:00,50.57,other,False
r_0000177,t_0005915,m_00387,2026-01-23 23:36:00,87.47,customer_request,False
r_0000178,t_0005927,m_00388,2025-11-07 18:00:00,339.39,customer_request,False
r_0000179,t_0005935,m_00389,2025-08-07 18:49:00,148.65,service_issue,False
r_0000180,t_0005973,m_00389,2025-09-20 21:46:00,366.55,customer_request,False
r_0000181,t_0006003,m_00391,2025-02-24 03:51:00,513.55,customer_request,True
r_0000182,t_0006008,m_00391,2025-04-12 10:04:00,382.92,return,False
r_0000183,t_0006013,m_00392,2025-09-03 16:02:00,122.76,return,False
r_0000184,t_0006036,m_00396,2025-04-23 23:23:00,217.73,return,False
r_0000185,t_0006072,m_00398,2025-07-13 22:26:00,47.73,customer_request,True
r_0000186,t_0006087,m_00403,2025-10-31 19:09:00,332.69,customer_request,False
r_0000187,t_0006102,m_00404,2025-11-27 07:20:00,130.52,other,False
r_0000188,t_0006111,m_00405,2025-02-14 01:21:00,638.89,service_issue,False
r_0000189,t_0006131,m_00406,2025-06-18 21:16:00,239.87,customer_request,False
r_0000190,t_0006149,m_00411,2025-09-23 15:20:00,130.17,suspected_fraud,False
r_0000191,t_0006219,m_00417,2025-12-03 11:13:00,277.14,customer_request,False
r_0000192,t_0006253,m_00422,2025-05-09 06:09:00,173.59,suspected_fraud,False
r_0000193,t_0006275,m_00423,2025-07-25 22:10:00,14.97,service_issue,True
r_0000194,t_0006317,m_00426,2025-06-30 23:55:00,145.98,customer_request,False
r_0000195,t_0006400,m_00429,2025-12-28 16:14:00,142.86,customer_request,False
r_0000196,t_0006492,m_00434,2025-08-22 17:46:00,583.6,customer_request,False
r_0000197,t_0006508,m_00436,2025-12-16 02:12:00,259.91,customer_request,False
r_0000198,t_0006536,m_00436,2026-03-11 10:14:00,740.55,customer_request,False
r_0000199,t_0006564,m_00437,2025-09-09 10:00:00,89.97,customer_request,True
r_0000200,t_0006566,m_00437,2025-08-27 03:57:00,245.89,return,False
r_0000201,t_0006575,m_00438,2025-09-15 03:42:00,70.7,suspected_fraud,False
r_0000202,t_0006584,m_00438,2025-10-21 05:08:00,119.12,other,False
r_0000203,t_0006595,m_00439,2025-11-19 04:10:00,164.6,customer_request,False
r_0000204,t_0006629,m_00441,2025-03-10 00:11:00,75.13,other,False
r_0000205,t_0006677,m_00442,2025-08-17 20:13:00,335.99,customer_request,False
r_0000206,t_0006693,m_00442,2025-09-18 07:41:00,149.94,customer_request,False
r_0000207,t_0006695,m_00443,2025-09-17 15:40:00,36.64,customer_request,False
r_0000208,t_0006715,m_00445,2025-05-06 21:35:00,60.55,customer_request,False
r_0000209,t_0006733,m_00446,2025-12-22 21:23:00,113.85,customer_request,False
r_0000210,t_0006739,m_00447,2026-01-14 08:01:00,221.59,return,True
r_0000211,t_0006782,m_00449,2026-03-04 13:07:00,461.66,service_issue,False
r_0000212,t_0006795,m_00455,2025-03-02 07:24:00,552.07,customer_request,False
r_0000213,t_0006829,m_00457,2025-05-28 16:15:00,129.73,return,False
r_0000214,t_0006833,m_00460,2025-12-09 04:48:00,365.31,customer_request,True
r_0000215,t_0006920,m_00461,2025-12-26 16:40:00,415.48,return,False
r_0000216,t_0006952,m_00465,2025-12-20 22:13:00,591.38,customer_request,False
r_0000217,t_0006955,m_00465,2026-01-06 02:32:00,125.07,customer_request,True
r_0000218,t_0006962,m_00465,2026-02-23 18:08:00,50.06,return,True
r_0000219,t_0006981,m_00467,2025-12-08 01:02:00,194.72,other,True
r_0000220,t_0007012,m_00469,2025-12-08 05:57:00,530.0,service_issue,False
r_0000221,t_0007020,m_00469,2025-12-11 04:55:00,1566.18,return,False
r_0000222,t_0007088,m_00473,2025-07-15 03:30:00,71.35,service_issue,False
r_0000223,t_0007167,m_00476,2025-11-27 14:16:00,60.93,customer_request,False
r_0000224,t_0007237,m_00482,2026-02-07 00:27:00,487.5,return,False
r_0000225,t_0007310,m_00488,2025-08-30 15:07:00,428.63,return,False
r_0000226,t_0007380,m_00494,2025-10-09 17:25:00,9.42,other,True
r_0000227,t_0007381,m_00494,2025-09-28 11:42:00,5.92,return,True
r_0000228,t_0007419,m_00497,2025-11-30 11:23:00,264.02,service_issue,True
r_0000229,t_0007524,m_00503,2025-04-01 03:01:00,286.33,customer_request,False
r_0000230,t_0007561,m_00506,2025-04-16 22:39:00,245.75,other,False
r_0000231,t_0007567,m_00506,2025-05-17 15:05:00,195.35,customer_request,False
r_0000232,t_0007592,m_00511,2025-12-17 05:48:00,118.76,other,False
r_0000233,t_0007594,m_00511,2025-12-19 07:17:00,504.89,customer_request,True
r_0000234,t_0007612,m_00512,2025-11-25 11:17:00,75.81,other,True
r_0000235,t_0007615,m_00512,2026-01-15 15:05:00,147.86,return,False
r_0000236,t_0007660,m_00516,2026-03-11 06:57:00,139.27,service_issue,False
r_0000237,t_0007665,m_00516,2026-02-17 14:46:00,164.35,suspected_fraud,False
r_0000238,t_0007681,m_00516,2026-04-10 16:42:00,118.19,customer_request,False
r_0000239,t_0007741,m_00521,2025-04-05 23:37:00,226.66,suspected_fraud,True
r_0000240,t_0007857,m_00531,2026-02-28 19:03:00,738.43,customer_request,False
r_0000241,t_0007866,m_00532,2025-07-20 11:35:00,70.4,service_issue,False
r_0000242,t_0007890,m_00534,2025-08-25 04:18:00,300.64,return,False
r_0000243,t_0007937,m_00537,2025-12-09 18:23:00,297.69,customer_request,False
r_0000244,t_0007955,m_00538,2025-12-24 09:12:00,203.36,customer_request,False
r_0000245,t_0007968,m_00538,2026-02-20 19:09:00,656.18,other,False
r_0000246,t_0007975,m_00542,2025-02-09 22:40:00,130.18,customer_request,True
r_0000247,t_0007994,m_00544,2025-12-15 03:10:00,186.24,customer_request,False
r_0000248,t_0008017,m_00544,2026-02-19 08:32:00,125.93,return,False
r_0000249,t_0008024,m_00544,2026-03-04 06:50:00,75.26,customer_request,False
r_0000250,t_0008026,m_00544,2026-02-21 19:23:00,203.38,customer_request,False
r_0000251,t_0008038,m_00544,2026-03-04 19:35:00,409.24,service_issue,False
r_0000252,t_0008097,m_00546,2026-05-08 18:02:00,477.14,return,False
r_0000253,t_0008111,m_00547,2025-11-02 20:57:00,298.32,customer_request,False
r_0000254,t_0008217,m_00555,2025-10-19 05:37:00,201.5,return,False
r_0000255,t_0008241,m_00557,2026-01-11 19:02:00,57.24,customer_request,True
r_0000256,t_0008262,m_00557,2026-01-24 07:12:00,306.69,customer_request,True
r_0000257,t_0008322,m_00558,2025-07-02 18:13:00,193.58,other,False
r_0000258,t_0008377,m_00561,2025-07-26 11:25:00,515.27,other,False
r_0000259,t_0008391,m_00561,2025-08-13 20:12:00,865.37,return,False
r_0000260,t_0008432,m_00563,2026-01-04 12:08:00,333.35,other,False
r_0000261,t_0008466,m_00563,2026-04-06 15:33:00,271.07,service_issue,True
r_0000262,t_0008473,m_00564,2025-03-20 15:13:00,69.62,service_issue,False
r_0000263,t_0008505,m_00566,2025-05-07 18:13:00,91.26,customer_request,False
r_0000264,t_0008519,m_00566,2025-06-19 05:26:00,144.01,suspected_fraud,False
r_0000265,t_0008520,m_00566,2025-05-25 18:19:00,156.89,customer_request,False
r_0000266,t_0008573,m_00571,2026-01-09 07:08:00,2209.67,other,False
r_0000267,t_0008596,m_00571,2026-04-10 08:09:00,266.32,customer_request,False
r_0000268,t_0008687,m_00579,2025-11-16 00:06:00,513.29,other,False
r_0000269,t_0008689,m_00579,2025-11-15 12:10:00,442.08,customer_request,False
r_0000270,t_0008719,m_00580,2026-02-04 23:32:00,987.73,customer_request,False
r_0000271,t_0008750,m_00581,2025-08-20 03:08:00,134.34,suspected_fraud,True
r_0000272,t_0008780,m_00584,2025-08-04 03:22:00,342.17,return,False
r_0000273,t_0008819,m_00587,2025-07-07 19:51:00,64.25,customer_request,False
r_0000274,t_0008839,m_00588,2025-08-02 19:06:00,23.7,customer_request,True
r_0000275,t_0008895,m_00590,2025-12-13 05:11:00,526.55,customer_request,True
r_0000276,t_0008920,m_00592,2025-08-13 11:30:00,42.62,customer_request,True
r_0000277,t_0008956,m_00594,2025-03-09 06:03:00,171.54,customer_request,False
r_0000278,t_0008971,m_00594,2025-05-22 23:35:00,92.02,service_issue,False
r_0000279,t_0008994,m_00595,2025-07-03 09:46:00,312.7,suspected_fraud,False
r_0000280,t_0009013,m_00596,2025-05-21 20:09:00,271.17,return,False
r_0000281,t_0009092,m_00603,2025-07-01 23:57:00,1057.26,return,False
r_0000282,t_0009160,m_00609,2025-08-01 01:18:00,164.14,customer_request,False
r_0000283,t_0009187,m_00609,2025-09-16 23:24:00,506.66,return,False
r_0000284,t_0009193,m_00609,2025-10-04 02:58:00,173.4,return,True
r_0000285,t_0009222,m_00610,2025-06-09 20:22:00,176.23,customer_request,False
r_0000286,t_0009225,m_00610,2025-06-26 04:29:00,45.41,suspected_fraud,True
r_0000287,t_0009276,m_00614,2025-08-29 16:54:00,119.61,customer_request,False
r_0000288,t_0009282,m_00615,2025-09-02 03:56:00,305.7,customer_request,False
r_0000289,t_0009290,m_00615,2025-10-04 19:33:00,90.54,customer_request,False
r_0000290,t_0009308,m_00616,2025-06-26 12:40:00,208.73,service_issue,True
r_0000291,t_0009320,m_00616,2025-09-14 01:14:00,142.28,return,False
r_0000292,t_0009397,m_00623,2026-02-11 02:21:00,138.44,customer_request,True
r_0000293,t_0009458,m_00626,2025-11-03 10:10:00,86.18,suspected_fraud,False
r_0000294,t_0009496,m_00628,2026-03-16 20:19:00,397.84,return,False
r_0000295,t_0009504,m_00629,2025-10-01 23:56:00,585.53,other,False
r_0000296,t_0009547,m_00630,2025-12-30 00:55:00,134.09,customer_request,False
r_0000297,t_0009568,m_00631,2025-04-16 15:24:00,309.85,customer_request,False
r_0000298,t_0009584,m_00631,2025-07-21 04:27:00,111.84,suspected_fraud,False
r_0000299,t_0009647,m_00634,2025-06-22 18:31:00,309.17,customer_request,False
r_0000300,t_0009705,m_00638,2025-04-25 04:56:00,534.54,customer_request,False
r_0000301,t_0009712,m_00639,2025-05-07 16:59:00,177.45,customer_request,False
r_0000302,t_0009848,m_00649,2025-12-06 21:41:00,168.73,customer_request,True
r_0000303,t_0009867,m_00649,2026-01-08 07:54:00,214.11,customer_request,True
r_0000304,t_0009890,m_00650,2025-08-30 06:39:00,181.93,customer_request,True
r_0000305,t_0009947,m_00652,2025-12-11 16:30:00,242.83,return,False
r_0000306,t_0009993,m_00653,2025-08-20 16:29:00,119.71,customer_request,True
r_0000307,t_0009997,m_00655,2025-10-31 21:29:00,460.03,suspected_fraud,False
r_0000308,t_0010055,m_00657,2025-05-20 14:03:00,108.8,suspected_fraud,True
r_0000309,t_0010077,m_00657,2025-06-15 15:17:00,244.03,return,False
r_0000310,t_0010107,m_00659,2025-06-02 10:09:00,202.3,service_issue,False
r_0000311,t_0010113,m_00659,2025-07-05 02:41:00,271.12,suspected_fraud,False
r_0000312,t_0010121,m_00659,2025-07-27 09:30:00,92.56,customer_request,False
r_0000313,t_0010178,m_00661,2025-09-07 01:23:00,874.99,customer_request,False
r_0000314,t_0010274,m_00665,2025-05-28 14:25:00,118.12,service_issue,False
r_0000315,t_0010415,m_00671,2025-12-17 22:14:00,78.85,customer_request,True
r_0000316,t_0010421,m_00671,2026-01-18 23:31:00,78.61,return,False
r_0000317,t_0010432,m_00672,2025-06-30 07:00:00,371.61,customer_request,True
r_0000318,t_0010449,m_00673,2026-01-11 13:45:00,420.02,customer_request,False
r_0000319,t_0010494,m_00680,2026-02-21 16:11:00,272.62,customer_request,False
r_0000320,t_0010531,m_00682,2026-03-16 06:54:00,376.9,customer_request,True
r_0000321,t_0010573,m_00688,2025-10-03 10:23:00,349.62,other,False
r_0000322,t_0010576,m_00688,2025-09-21 20:33:00,377.17,other,False
r_0000323,t_0010606,m_00688,2026-01-18 02:20:00,580.21,customer_request,False
r_0000324,t_0010639,m_00690,2025-12-27 06:19:00,125.13,customer_request,False
r_0000325,t_0010641,m_00690,2025-12-26 01:42:00,196.29,return,False
r_0000326,t_0010651,m_00690,2025-12-24 10:55:00,106.63,customer_request,False
r_0000327,t_0010683,m_00691,2025-11-21 21:47:00,660.04,customer_request,False
r_0000328,t_0010777,m_00697,2025-09-21 17:36:00,105.59,service_issue,False
r_0000329,t_0010883,m_00701,2025-11-19 17:57:00,577.36,customer_request,False
r_0000330,t_0010888,m_00701,2025-12-19 19:35:00,183.93,customer_request,False
r_0000331,t_0010898,m_00701,2025-12-15 12:25:00,467.95,customer_request,False
r_0000332,t_0010899,m_00701,2025-12-26 14:23:00,185.28,return,False
r_0000333,t_0010975,m_00703,2026-01-13 08:32:00,366.81,service_issue,False
r_0000334,t_0010987,m_00704,2025-11-23 03:48:00,118.2,service_issue,False
r_0000335,t_0010995,m_00704,2025-12-12 22:45:00,232.81,other,True
r_0000336,t_0011054,m_00707,2026-01-10 14:00:00,855.67,return,False
r_0000337,t_0011056,m_00708,2025-07-14 04:09:00,166.9,customer_request,True
r_0000338,t_0011086,m_00712,2025-09-23 17:18:00,197.16,customer_request,False
r_0000339,t_0011138,m_00716,2025-07-28 17:39:00,158.01,customer_request,False
r_0000340,t_0011210,m_00719,2025-06-22 12:51:00,142.86,service_issue,False
r_0000341,t_0011245,m_00722,2025-12-24 13:33:00,225.97,customer_request,False
r_0000342,t_0011255,m_00723,2025-05-03 20:50:00,276.29,other,False
r_0000343,t_0011278,m_00724,2025-04-08 04:24:00,31.91,return,True
r_0000344,t_0011287,m_00725,2025-07-17 11:11:00,418.52,other,False
