billCode,index,bill_model_id,billName,status
B00500060001,75,233.0,通用税金计提表,1.0
B00400050001,76,347.0,印鉴卡,1.0
B00000090000,77,45.0,机动车销售统一发票,1.0
B00400250000,78,252.0,完税证明,1.0
B00700180000,79,,,0.0
B00400070000,80,,,0.0
B00700120000,81,171.0,会议签到册,1.0
B00700000000,82,,,0.0
B00400170000,83,,,0.0
B00000220000,84,193.0,客运汽车票,1.0
B00700190000,85,173.0,报告/说明,1.0
B00300070000,86,239.0,村财电子表单,1.0
B00000060000,87,99.0,通用机打发票（卷式）,1.0
B00300080000,88,257.0,付款指令,1.0
B00000110000,89,47.0,航空运输电子客票行程单,1.0
B00200040000,90,,,0.0
B00500030001,91,201.0,资产折旧摊销明细表,1.0
B00400150000,92,85.0,汇兑凭证,1.0
B00000000001,93,29.0,火车票,1.0
B00400010000,94,55.0,银行承兑汇票,1.0
B00600020000,95,222.0,登机牌,1.0
B00300000001,96,223.0,众生惠大药房报销单,1.0
B00400060000,97,71.0,身份证,1.0
B00200000000,98,37.0,现金收据,1.0
B00000120000,99,105.0,通用手工发票,1.0
B00200030000,100,51.0,非经营性结算统一票据,1.0
B00600030000,101,231.0,票据分类定义字段,1.0
B00500060000,102,211.0,正友包装税金计提表,1.0
B00400000004,103,189.0,银行收付款通用回单,1.0
B00000240000,104,221.0,四川省医疗卫生单位门诊票据,1.0
B00400180000,105,93.0,资产调拨单,1.0
B00700210000,106,240.0,借款申请审批表,1.0
B00300060000,107,185.0,北川差旅费报销单,1.0
B00400120000,108,,,0.0
B00400210000,109,209.0,四川省农村信用社支付来账专用凭证,1.0
B00400220000,110,,,0.0
B00500040001,111,246.0,收入汇总表,1.0
B00700050000,112,145.0,费用清单,1.0
B00700230000,113,250.0,专项资金国库集中支付通知单,1.0
B00600000011,114,275.0,发票查验明细,1.0
B00600000010,115,274.0,发票真伪查询结果,1.0
B00600000009,116,273.0,租车合同,1.0
B00600000008,117,272.0,租车安全协议,1.0
B00600000007,118,271.0,公务卡还款汇总表,1.0
B00600000006,119,270.0,签购单,1.0
B00600000005,120,269.0,购货清单,1.0
B00600000004,121,268.0,资金审批表,1.0
B00600000001,123,265.0,出差审批单,1.0
B00600000002,124,266.0,支票领用登记单,1.0
B00700220000,125,249.0,叙永县农村集体经济组织统一报账单,1.0
B00700080000,126,264.0,天津众致云费用审批单,1.0
B00500030002,127,263.0,费用系统批量折旧摊销电子明细表,1.0
B00000170000,128,262.0,建筑业统一代开发票,1.0
B00300090000,129,261.0,众包付费电子明细,1.0
B00800020000,130,276.0,四川省农村信用社利息单,1.0
B00600000003,131,267.0,发票背面签章,1.0
B00800010000,132,277.0,四川省农村信用社业务收费凭证,1.0
B00800010002,133,282.0,银行流水明细清单,1.0
B00800010001,134,281.0,支票活期明细查询,1.0
B00800010003,135,,,0.0
B00300100001,136,279.0,四川省村组（社区）付款凭证,1.0
B00300100000,137,278.0,四川省村组（社区）收款凭证,1.0
B00300100002,138,280.0,四川省村组（社区）支出审批表,1.0
B00500030003,139,284.0,补助发放表,1.0
B00300050001,140,285.0,费用系统电子报销单,1.0
B00800010004,141,286.0,工商银行网上银行电子回单,1.0
B00800010005,142,287.0,建设银行网上银行电子回执,1.0
B00800010023,143,310.0,业务回单（收/付款）（农业银行）,1.0
B00800010018,144,305.0,电子银行转账业务回单（华夏银行）,1.0
B00800010009,145,297.0,中信银行客户回单,1.0
B00000090001,146,311.0,二手车销售统一发票,1.0
B00800010008,147,291.0,业务回单（收/付款）（工商银行）,1.0
B00800020001,148,289.0,四川省农村信用社业务凭证（正联),1.0
B00800010006,149,288.0,四川省农村信用社支付往账专用凭证,1.0
B00800010010,150,296.0,收/付款回单（兴业银行）,1.0
B00000000006,151,312.0,增值税普通发票（卷票）,1.0
B00800010030,152,335.0,绵阳商业银行通用记账回单,1.0
B00800010029,153,334.0,绵阳商业银行小额来账凭证,1.0
B00800010028,154,333.0,农业银行账户交易明细回单,1.0
B00800010027,155,332.0,农业银行电子回单,1.0
B00800010025,156,330.0,企业网银交易手续费付款方回单（农业银行）,1.0
B00800010024,157,329.0,客户利息入账通知（农业银行）,1.0
B00800010022,158,328.0,华夏银行电子回单,1.0
B00800010019,159,325.0,大额支付系统业务回单（华夏银行）,1.0
B00800030001,160,324.0,建设银行单位客户专用回单（缴税）,1.0
B00800030000,161,323.0,工商银行电子缴税付款凭证,1.0
B00800010031,162,336.0,绵阳商业银行网银行内转账回单,1.0
B00800020002,163,321.0,建设银行单位客户专用回单（利息）,1.0
B00800010017,164,320.0,中国民生银行收款回单凭证,1.0
B00800010016,165,319.0,中国民生银行付款回单凭证,1.0
B00800010015,166,318.0,交通银行回单,1.0
B00800010014,167,317.0,邮储银行企业网上银行电子回单,1.0
B00800010013,168,316.0,财政资金支付凭证,1.0
B00800010012,169,315.0,中国光大银行电子回单,1.0
B00800010011,170,314.0,中国光大银行借/贷记通知,1.0
B00800010007,171,313.0,四川省农村信用社电子回单,1.0
B00800020003,172,322.0,建设银行单位客户专用回单（手续费）,1.0
B00000000007,173,337.0,增值税电子普通发票（通行费）,1.0
B00700190001,174,340.0,项目完成情况公示表,1.0
B00800020005,175,339.0,农业银行回单（存取款）,1.0
B00300000002,176,341.0,经费报销申请单,1.0
B00000030002,177,,,0.0
B00200060001,178,343.0,白条,1.0
B00400060001,179,344.0,户口簿,1.0
B00800040000,180,345.0,空白凭证领用单,1.0
B00400060003,181,348.0,身份证（反面）,1.0
B00300010001,182,349.0,资金调拨审批单,1.0
B00300010002,183,351.0,中国农业大学附属实验小学食堂采购入库单,1.0
B00300010003,184,352.0,中国农业大学附属实验小学食堂材料出库单,1.0
