day,symbol,name,day,total_aum_usd
6/13/2025,PLTRx,Palantir xStock,45821,0
6/13/2025,GSx,Goldman Sachs xStock,45821,0
6/13/2025,NVOx,Novo Nordisk xStock,45821,0
6/13/2025,IBMx,International Business Machines xStock,45821,0
6/13/2025,WMTx,Walmart xStock,45821,0
6/13/2025,GOOGLx,Alphabet xStock,45821,0
6/13/2025,Vx,Visa xStock,45821,0
6/13/2025,VTIx,Vanguard xStock,45821,0
6/14/2025,UNHx,UnitedHealth xStock,45822,167.1737132
6/14/2025,CMCSAx,Comcast xStock,45822,0
6/14/2025,PGx,Procter & Gamble xStock,45822,0
6/14/2025,VTIx,Vanguard xStock,45822,0
6/14/2025,MSTRx,MicroStrategy xStock,45822,0
6/14/2025,COINx,Coinbase xStock,45822,0
6/14/2025,JNJx,Johnson & Johnson xStock,45822,0
6/14/2025,BRK.Bx,Berkshire Hathaway xStock,45822,0
6/14/2025,APPx,AppLovin xStock,45822,0
6/14/2025,HOODx,Robinhood xStock,45822,0
6/14/2025,CSCOx,Cisco xStock,45822,0
6/14/2025,AMZNx,Amazon.com xStock,45822,0
6/14/2025,MRVLx,Marvell xStock,45822,0
6/14/2025,BACx,Bank of America xStock,45822,0
6/14/2025,JPMx,JPMorgan Chase xStock,45822,0
6/14/2025,TMOx,Thermo Fisher xStock,45822,0
6/14/2025,GMEx,Gamestop xStock,45822,0
6/14/2025,ABBVx,AbbVie xStock,45822,0
6/14/2025,MRKx,Merck xStock,45822,0
6/14/2025,KOx,Coca-Cola xStock,45822,0
6/14/2025,TQQQx,TQQQ xStock,45822,0
6/14/2025,NVDAx,NVIDIA xStock,45822,0
6/14/2025,METAx,Meta xStock,45822,0
6/14/2025,AVGOx,Broadcom xStock,45822,0
6/14/2025,IBMx,International Business Machines xStock,45822,0
6/14/2025,CRCLx,Circle xStock,45822,0
6/14/2025,AMBRx,Amber xStock,45822,0
6/14/2025,NFLXx,Netflix xStock,45822,0
6/14/2025,GSx,Goldman Sachs xStock,45822,0
6/14/2025,AZNx,AstraZeneca xStock,45822,0
6/14/2025,CRMx,Salesforce xStock,45822,0
6/14/2025,CVXx,Chevron xStock,45822,0
6/14/2025,MCDx,McDonald's xStock,45822,0
6/14/2025,QQQx,Nasdaq xStock,45822,0
6/14/2025,HONx,Honeywell xStock,45822,0
6/14/2025,INTCx,Intel xStock,45822,0
6/14/2025,ABTx,Abbott xStock,45822,0
6/14/2025,MDTx,Medtronic xStock,45822,0
6/14/2025,CRWDx,CrowdStrike xStock,45822,0
6/14/2025,PFEx,Pfizer xStock,45822,0
6/14/2025,PLTRx,Palantir xStock,45822,0
6/14/2025,DHRx,Danaher xStock,45822,0
6/14/2025,HDx,Home Depot xStock,45822,0
6/14/2025,XOMx,Exxon Mobil xStock,45822,0
6/14/2025,ACNx,Accenture xStock,45822,0
6/14/2025,GLDx,Gold xStock,45822,0
6/14/2025,MAx,Mastercard xStock,45822,0
6/14/2025,Vx,Visa xStock,45822,0
6/14/2025,AAPLx,Apple xStock,45822,0
6/14/2025,LLYx,Eli Lilly xStock,45822,0
6/14/2025,LINx,Linde xStock,45822,0
6/14/2025,WMTx,Walmart xStock,45822,0
6/14/2025,ORCLx,Oracle xStock,45822,0
6/14/2025,TSLAx,Tesla xStock,45822,0
6/14/2025,GOOGLx,Alphabet xStock,45822,0
6/14/2025,SPYx,SP500 xStock,45822,0
6/14/2025,PMx,Philip Morris xStock,45822,0
6/14/2025,PEPx,PepsiCo xStock,45822,0
6/14/2025,NVOx,Novo Nordisk xStock,45822,0
6/14/2025,MSFTx,Microsoft xStock,45822,0
6/15/2025,UNHx,UnitedHealth xStock,45823,167.1737132
6/15/2025,NFLXx,Netflix xStock,45823,0
6/15/2025,PLTRx,Palantir xStock,45823,0
6/15/2025,CMCSAx,Comcast xStock,45823,0
6/15/2025,MCDx,McDonald's xStock,45823,0
6/15/2025,CVXx,Chevron xStock,45823,0
6/15/2025,AVGOx,Broadcom xStock,45823,0
6/15/2025,APPx,AppLovin xStock,45823,0
6/15/2025,TQQQx,TQQQ xStock,45823,0
6/15/2025,DHRx,Danaher xStock,45823,0
6/15/2025,COINx,Coinbase xStock,45823,0
6/15/2025,Vx,Visa xStock,45823,0
6/15/2025,PGx,Procter & Gamble xStock,45823,0
6/15/2025,BRK.Bx,Berkshire Hathaway xStock,45823,0
6/15/2025,MRVLx,Marvell xStock,45823,0
6/15/2025,AMZNx,Amazon.com xStock,45823,0
6/15/2025,CRCLx,Circle xStock,45823,0
6/15/2025,MAx,Mastercard xStock,45823,0
6/15/2025,HDx,Home Depot xStock,45823,0
6/15/2025,METAx,Meta xStock,45823,0
6/15/2025,PMx,Philip Morris xStock,45823,0
6/15/2025,AZNx,AstraZeneca xStock,45823,0
6/15/2025,GLDx,Gold xStock,45823,0
6/15/2025,TSLAx,Tesla xStock,45823,0
6/15/2025,MSTRx,MicroStrategy xStock,45823,0
6/15/2025,PEPx,PepsiCo xStock,45823,0
6/15/2025,TMOx,Thermo Fisher xStock,45823,0
6/15/2025,BACx,Bank of America xStock,45823,0
6/15/2025,NVDAx,NVIDIA xStock,45823,0
6/15/2025,HOODx,Robinhood xStock,45823,0
6/15/2025,AAPLx,Apple xStock,45823,0
6/15/2025,QQQx,Nasdaq xStock,45823,0
6/15/2025,KOx,Coca-Cola xStock,45823,0
6/15/2025,LINx,Linde xStock,45823,0
6/15/2025,ABBVx,AbbVie xStock,45823,0
6/15/2025,ACNx,Accenture xStock,45823,0
6/15/2025,IBMx,International Business Machines xStock,45823,0
6/15/2025,PFEx,Pfizer xStock,45823,0
6/15/2025,MDTx,Medtronic xStock,45823,0
6/15/2025,GMEx,Gamestop xStock,45823,0
6/15/2025,NVOx,Novo Nordisk xStock,45823,0
6/15/2025,HONx,Honeywell xStock,45823,0
6/15/2025,GOOGLx,Alphabet xStock,45823,0
6/15/2025,XOMx,Exxon Mobil xStock,45823,0
6/15/2025,SPYx,SP500 xStock,45823,0
6/15/2025,ABTx,Abbott xStock,45823,0
6/15/2025,WMTx,Walmart xStock,45823,0
6/15/2025,AMBRx,Amber xStock,45823,0
6/15/2025,INTCx,Intel xStock,45823,0
6/15/2025,VTIx,Vanguard xStock,45823,0
6/15/2025,MSFTx,Microsoft xStock,45823,0
6/15/2025,MRKx,Merck xStock,45823,0
6/15/2025,CRMx,Salesforce xStock,45823,0
6/15/2025,ORCLx,Oracle xStock,45823,0
6/15/2025,GSx,Goldman Sachs xStock,45823,0
6/15/2025,JNJx,Johnson & Johnson xStock,45823,0
6/15/2025,JPMx,JPMorgan Chase xStock,45823,0
6/15/2025,CRWDx,CrowdStrike xStock,45823,0
6/15/2025,CSCOx,Cisco xStock,45823,0
6/15/2025,LLYx,Eli Lilly xStock,45823,0
6/16/2025,UNHx,UnitedHealth xStock,45824,167.1737132
6/16/2025,CRMx,Salesforce xStock,45824,0
6/16/2025,AMBRx,Amber xStock,45824,0
6/16/2025,AMZNx,Amazon.com xStock,45824,0
6/16/2025,GMEx,Gamestop xStock,45824,0
6/16/2025,VTIx,Vanguard xStock,45824,0
6/16/2025,LINx,Linde xStock,45824,0
6/16/2025,MCDx,McDonald's xStock,45824,0
6/16/2025,HONx,Honeywell xStock,45824,0
6/16/2025,GSx,Goldman Sachs xStock,45824,0
6/16/2025,JPMx,JPMorgan Chase xStock,45824,0
6/16/2025,HOODx,Robinhood xStock,45824,0
6/16/2025,PEPx,PepsiCo xStock,45824,0
6/16/2025,BRK.Bx,Berkshire Hathaway xStock,45824,0
6/16/2025,PMx,Philip Morris xStock,45824,0
6/16/2025,GOOGLx,Alphabet xStock,45824,0
6/16/2025,NVOx,Novo Nordisk xStock,45824,0
6/16/2025,CSCOx,Cisco xStock,45824,0
6/16/2025,Vx,Visa xStock,45824,0
6/16/2025,ORCLx,Oracle xStock,45824,0
6/16/2025,COINx,Coinbase xStock,45824,0
6/16/2025,DHRx,Danaher xStock,45824,0
6/16/2025,BACx,Bank of America xStock,45824,0
6/16/2025,MAx,Mastercard xStock,45824,0
6/16/2025,GLDx,Gold xStock,45824,0
6/16/2025,TSLAx,Tesla xStock,45824,0
6/16/2025,MSFTx,Microsoft xStock,45824,0
6/16/2025,MRVLx,Marvell xStock,45824,0
6/16/2025,IBMx,International Business Machines xStock,45824,0
6/16/2025,MRKx,Merck xStock,45824,0
6/16/2025,XOMx,Exxon Mobil xStock,45824,0
6/16/2025,CVXx,Chevron xStock,45824,0
6/16/2025,LLYx,Eli Lilly xStock,45824,0
6/16/2025,KOx,Coca-Cola xStock,45824,0
6/16/2025,JNJx,Johnson & Johnson xStock,45824,0
6/16/2025,ABBVx,AbbVie xStock,45824,0
6/16/2025,CRCLx,Circle xStock,45824,0
6/16/2025,TMOx,Thermo Fisher xStock,45824,0
6/16/2025,AVGOx,Broadcom xStock,45824,0
6/16/2025,HDx,Home Depot xStock,45824,0
6/16/2025,NVDAx,NVIDIA xStock,45824,0
6/16/2025,MSTRx,MicroStrategy xStock,45824,0
6/16/2025,ABTx,Abbott xStock,45824,0
6/16/2025,QQQx,Nasdaq xStock,45824,0
6/16/2025,SPYx,SP500 xStock,45824,0
6/16/2025,CRWDx,CrowdStrike xStock,45824,0
6/16/2025,PGx,Procter & Gamble xStock,45824,0
6/16/2025,TQQQx,TQQQ xStock,45824,0
6/16/2025,AAPLx,Apple xStock,45824,0
6/16/2025,PFEx,Pfizer xStock,45824,0
6/16/2025,CMCSAx,Comcast xStock,45824,0
6/16/2025,ACNx,Accenture xStock,45824,0
6/16/2025,MDTx,Medtronic xStock,45824,0
6/16/2025,NFLXx,Netflix xStock,45824,0
6/16/2025,PLTRx,Palantir xStock,45824,0
6/16/2025,METAx,Meta xStock,45824,0
6/16/2025,INTCx,Intel xStock,45824,0
6/16/2025,APPx,AppLovin xStock,45824,0
6/16/2025,WMTx,Walmart xStock,45824,0
6/16/2025,AZNx,AstraZeneca xStock,45824,0
6/17/2025,UNHx,UnitedHealth xStock,45825,167.1737132
6/17/2025,JNJx,Johnson & Johnson xStock,45825,0
6/17/2025,ACNx,Accenture xStock,45825,0
6/17/2025,PLTRx,Palantir xStock,45825,0
6/17/2025,PGx,Procter & Gamble xStock,45825,0
6/17/2025,IBMx,International Business Machines xStock,45825,0
6/17/2025,GMEx,Gamestop xStock,45825,0
6/17/2025,AAPLx,Apple xStock,45825,0
6/17/2025,ABBVx,AbbVie xStock,45825,0
6/17/2025,TMOx,Thermo Fisher xStock,45825,0
6/17/2025,MSTRx,MicroStrategy xStock,45825,0
6/17/2025,CRWDx,CrowdStrike xStock,45825,0
6/17/2025,GSx,Goldman Sachs xStock,45825,0
6/17/2025,MRVLx,Marvell xStock,45825,0
6/17/2025,MRKx,Merck xStock,45825,0
6/17/2025,BACx,Bank of America xStock,45825,0
6/17/2025,NVDAx,NVIDIA xStock,45825,0
6/17/2025,XOMx,Exxon Mobil xStock,45825,0
6/17/2025,COINx,Coinbase xStock,45825,0
6/17/2025,GLDx,Gold xStock,45825,0
6/17/2025,JPMx,JPMorgan Chase xStock,45825,0
6/17/2025,INTCx,Intel xStock,45825,0
6/17/2025,CMCSAx,Comcast xStock,45825,0
6/17/2025,SPYx,SP500 xStock,45825,0
6/17/2025,QQQx,Nasdaq xStock,45825,0
6/17/2025,BRK.Bx,Berkshire Hathaway xStock,45825,0
6/17/2025,AZNx,AstraZeneca xStock,45825,0
6/17/2025,LINx,Linde xStock,45825,0
6/17/2025,PMx,Philip Morris xStock,45825,0
6/17/2025,ORCLx,Oracle xStock,45825,0
6/17/2025,KOx,Coca-Cola xStock,45825,0
6/17/2025,AMZNx,Amazon.com xStock,45825,0
6/17/2025,PFEx,Pfizer xStock,45825,0
6/17/2025,CRMx,Salesforce xStock,45825,0
6/17/2025,HDx,Home Depot xStock,45825,0
6/17/2025,CRCLx,Circle xStock,45825,0
6/17/2025,MCDx,McDonald's xStock,45825,0
6/17/2025,CVXx,Chevron xStock,45825,0
6/17/2025,GOOGLx,Alphabet xStock,45825,0
6/17/2025,MAx,Mastercard xStock,45825,0
6/17/2025,HOODx,Robinhood xStock,45825,0
6/17/2025,HONx,Honeywell xStock,45825,0
6/17/2025,MDTx,Medtronic xStock,45825,0
6/17/2025,METAx,Meta xStock,45825,0
6/17/2025,Vx,Visa xStock,45825,0
6/17/2025,ABTx,Abbott xStock,45825,0
6/17/2025,AMBRx,Amber xStock,45825,0
6/17/2025,APPx,AppLovin xStock,45825,0
6/17/2025,PEPx,PepsiCo xStock,45825,0
6/17/2025,CSCOx,Cisco xStock,45825,0
6/17/2025,WMTx,Walmart xStock,45825,0
6/17/2025,VTIx,Vanguard xStock,45825,0
6/17/2025,TQQQx,TQQQ xStock,45825,0
6/17/2025,AVGOx,Broadcom xStock,45825,0
6/17/2025,NFLXx,Netflix xStock,45825,0
6/17/2025,LLYx,Eli Lilly xStock,45825,0
6/17/2025,TSLAx,Tesla xStock,45825,0
6/17/2025,DHRx,Danaher xStock,45825,0
6/17/2025,NVOx,Novo Nordisk xStock,45825,0
6/17/2025,MSFTx,Microsoft xStock,45825,0
6/18/2025,UNHx,UnitedHealth xStock,45826,167.1737132
6/18/2025,WMTx,Walmart xStock,45826,0
6/18/2025,AMZNx,Amazon.com xStock,45826,0
6/18/2025,IBMx,International Business Machines xStock,45826,0
6/18/2025,APPx,AppLovin xStock,45826,0
6/18/2025,MAx,Mastercard xStock,45826,0
6/18/2025,NVDAx,NVIDIA xStock,45826,0
6/18/2025,BACx,Bank of America xStock,45826,0
6/18/2025,MDTx,Medtronic xStock,45826,0
6/18/2025,CRMx,Salesforce xStock,45826,0
6/18/2025,BRK.Bx,Berkshire Hathaway xStock,45826,0
6/18/2025,MCDx,McDonald's xStock,45826,0
6/18/2025,METAx,Meta xStock,45826,0
6/18/2025,NVOx,Novo Nordisk xStock,45826,0
6/18/2025,ACNx,Accenture xStock,45826,0
6/18/2025,PEPx,PepsiCo xStock,45826,0
6/18/2025,MRKx,Merck xStock,45826,0
6/18/2025,JPMx,JPMorgan Chase xStock,45826,0
6/18/2025,CMCSAx,Comcast xStock,45826,0
6/18/2025,DHRx,Danaher xStock,45826,0
6/18/2025,GLDx,Gold xStock,45826,0
6/18/2025,TMOx,Thermo Fisher xStock,45826,0
6/18/2025,GMEx,Gamestop xStock,45826,0
6/18/2025,Vx,Visa xStock,45826,0
6/18/2025,CVXx,Chevron xStock,45826,0
6/18/2025,AMBRx,Amber xStock,45826,0
6/18/2025,JNJx,Johnson & Johnson xStock,45826,0
6/18/2025,ABBVx,AbbVie xStock,45826,0
6/18/2025,TSLAx,Tesla xStock,45826,0
6/18/2025,PLTRx,Palantir xStock,45826,0
6/18/2025,KOx,Coca-Cola xStock,45826,0
6/18/2025,VTIx,Vanguard xStock,45826,0
6/18/2025,LLYx,Eli Lilly xStock,45826,0
6/18/2025,CSCOx,Cisco xStock,45826,0
6/18/2025,HOODx,Robinhood xStock,45826,0
6/18/2025,ABTx,Abbott xStock,45826,0
6/18/2025,LINx,Linde xStock,45826,0
6/18/2025,TQQQx,TQQQ xStock,45826,0
6/18/2025,GSx,Goldman Sachs xStock,45826,0
6/18/2025,PMx,Philip Morris xStock,45826,0
6/18/2025,AAPLx,Apple xStock,45826,0
6/18/2025,INTCx,Intel xStock,45826,0
6/18/2025,PFEx,Pfizer xStock,45826,0
6/18/2025,ORCLx,Oracle xStock,45826,0
6/18/2025,CRCLx,Circle xStock,45826,0
6/18/2025,HDx,Home Depot xStock,45826,0
6/18/2025,PGx,Procter & Gamble xStock,45826,0
6/18/2025,QQQx,Nasdaq xStock,45826,0
6/18/2025,CRWDx,CrowdStrike xStock,45826,0
6/18/2025,COINx,Coinbase xStock,45826,0
6/18/2025,MRVLx,Marvell xStock,45826,0
6/18/2025,AVGOx,Broadcom xStock,45826,0
6/18/2025,HONx,Honeywell xStock,45826,0
6/18/2025,MSFTx,Microsoft xStock,45826,0
6/18/2025,MSTRx,MicroStrategy xStock,45826,0
6/18/2025,NFLXx,Netflix xStock,45826,0
6/18/2025,GOOGLx,Alphabet xStock,45826,0
6/18/2025,XOMx,Exxon Mobil xStock,45826,0
6/18/2025,AZNx,AstraZeneca xStock,45826,0
6/18/2025,SPYx,SP500 xStock,45826,0
6/19/2025,UNHx,UnitedHealth xStock,45827,167.1737132
6/19/2025,AMZNx,Amazon.com xStock,45827,0
6/19/2025,METAx,Meta xStock,45827,0
6/19/2025,PFEx,Pfizer xStock,45827,0
6/19/2025,MSTRx,MicroStrategy xStock,45827,0
6/19/2025,WMTx,Walmart xStock,45827,0
6/19/2025,HDx,Home Depot xStock,45827,0
6/19/2025,IBMx,International Business Machines xStock,45827,0
6/19/2025,HOODx,Robinhood xStock,45827,0
6/19/2025,INTCx,Intel xStock,45827,0
6/19/2025,GMEx,Gamestop xStock,45827,0
6/19/2025,APPx,AppLovin xStock,45827,0
6/19/2025,CRWDx,CrowdStrike xStock,45827,0
6/19/2025,VTIx,Vanguard xStock,45827,0
6/19/2025,CSCOx,Cisco xStock,45827,0
6/19/2025,PLTRx,Palantir xStock,45827,0
6/19/2025,SPYx,SP500 xStock,45827,0
6/19/2025,ABBVx,AbbVie xStock,45827,0
6/19/2025,XOMx,Exxon Mobil xStock,45827,0
6/19/2025,KOx,Coca-Cola xStock,45827,0
6/19/2025,PMx,Philip Morris xStock,45827,0
6/19/2025,TQQQx,TQQQ xStock,45827,0
6/19/2025,LINx,Linde xStock,45827,0
6/19/2025,MRKx,Merck xStock,45827,0
6/19/2025,AZNx,AstraZeneca xStock,45827,0
6/19/2025,MRVLx,Marvell xStock,45827,0
6/19/2025,ACNx,Accenture xStock,45827,0
6/19/2025,PGx,Procter & Gamble xStock,45827,0
6/19/2025,ABTx,Abbott xStock,45827,0
6/19/2025,AMBRx,Amber xStock,45827,0
6/19/2025,MAx,Mastercard xStock,45827,0
6/19/2025,MDTx,Medtronic xStock,45827,0
6/19/2025,ORCLx,Oracle xStock,45827,0
6/19/2025,GLDx,Gold xStock,45827,0
6/19/2025,LLYx,Eli Lilly xStock,45827,0
6/19/2025,CRCLx,Circle xStock,45827,0
6/19/2025,CVXx,Chevron xStock,45827,0
6/19/2025,JPMx,JPMorgan Chase xStock,45827,0
6/19/2025,GSx,Goldman Sachs xStock,45827,0
6/19/2025,HONx,Honeywell xStock,45827,0
6/19/2025,MCDx,McDonald's xStock,45827,0
6/19/2025,AAPLx,Apple xStock,45827,0
6/19/2025,Vx,Visa xStock,45827,0
6/19/2025,JNJx,Johnson & Johnson xStock,45827,0
6/19/2025,TMOx,Thermo Fisher xStock,45827,0
6/19/2025,NFLXx,Netflix xStock,45827,0
6/19/2025,QQQx,Nasdaq xStock,45827,0
6/19/2025,MSFTx,Microsoft xStock,45827,0
6/19/2025,AVGOx,Broadcom xStock,45827,0
6/19/2025,DHRx,Danaher xStock,45827,0
6/19/2025,CRMx,Salesforce xStock,45827,0
6/19/2025,GOOGLx,Alphabet xStock,45827,0
6/19/2025,COINx,Coinbase xStock,45827,0
6/19/2025,CMCSAx,Comcast xStock,45827,0
6/19/2025,BRK.Bx,Berkshire Hathaway xStock,45827,0
6/19/2025,BACx,Bank of America xStock,45827,0
6/19/2025,NVOx,Novo Nordisk xStock,45827,0
6/19/2025,TSLAx,Tesla xStock,45827,0
6/19/2025,PEPx,PepsiCo xStock,45827,0
6/19/2025,NVDAx,NVIDIA xStock,45827,0
6/20/2025,UNHx,UnitedHealth xStock,45828,167.1737132
6/20/2025,AAPLx,Apple xStock,45828,25.32475063
6/20/2025,PGx,Procter & Gamble xStock,45828,0
6/20/2025,BRK.Bx,Berkshire Hathaway xStock,45828,0
6/20/2025,ACNx,Accenture xStock,45828,0
6/20/2025,NVDAx,NVIDIA xStock,45828,0
6/20/2025,MRVLx,Marvell xStock,45828,0
6/20/2025,GOOGLx,Alphabet xStock,45828,0
6/20/2025,AZNx,AstraZeneca xStock,45828,0
6/20/2025,MDTx,Medtronic xStock,45828,0
6/20/2025,MAx,Mastercard xStock,45828,0
6/20/2025,DHRx,Danaher xStock,45828,0
6/20/2025,MSTRx,MicroStrategy xStock,45828,0
6/20/2025,GLDx,Gold xStock,45828,0
6/20/2025,XOMx,Exxon Mobil xStock,45828,0
6/20/2025,VTIx,Vanguard xStock,45828,0
6/20/2025,CRWDx,CrowdStrike xStock,45828,0
6/20/2025,PFEx,Pfizer xStock,45828,0
6/20/2025,GMEx,Gamestop xStock,45828,0
6/20/2025,AMZNx,Amazon.com xStock,45828,0
6/20/2025,ORCLx,Oracle xStock,45828,0
6/20/2025,CVXx,Chevron xStock,45828,0
6/20/2025,LINx,Linde xStock,45828,0
6/20/2025,TQQQx,TQQQ xStock,45828,0
6/20/2025,ABTx,Abbott xStock,45828,0
6/20/2025,CRCLx,Circle xStock,45828,0
6/20/2025,MRKx,Merck xStock,45828,0
6/20/2025,HONx,Honeywell xStock,45828,0
6/20/2025,AMBRx,Amber xStock,45828,0
6/20/2025,CSCOx,Cisco xStock,45828,0
6/20/2025,METAx,Meta xStock,45828,0
6/20/2025,MCDx,McDonald's xStock,45828,0
6/20/2025,KOx,Coca-Cola xStock,45828,0
6/20/2025,APPx,AppLovin xStock,45828,0
6/20/2025,TMOx,Thermo Fisher xStock,45828,0
6/20/2025,SPYx,SP500 xStock,45828,0
6/20/2025,BACx,Bank of America xStock,45828,0
6/20/2025,GSx,Goldman Sachs xStock,45828,0
6/20/2025,TSLAx,Tesla xStock,45828,0
6/20/2025,MSFTx,Microsoft xStock,45828,0
6/20/2025,ABBVx,AbbVie xStock,45828,0
6/20/2025,LLYx,Eli Lilly xStock,45828,0
6/20/2025,PEPx,PepsiCo xStock,45828,0
6/20/2025,IBMx,International Business Machines xStock,45828,0
