symbol,name,type,type_detail,supply,price,tvl,aum2,address number,token address
UNHon,UnitedHealth (Ondo Tokenized),Stock,Common Stock,129.9475586,323.9342627,42094.46659,42094.47,,
PFEon,Pfizer (Ondo Tokenized),Stock,Common Stock,1551.424967,26.70101679,41424.6241,41424.62,,
HDon,Home Depot (Ondo Tokenized),Stock,Common Stock,100.2804719,386.506,38759.00406,38759,,
LIon,Li Auto (Ondo Tokenized),Stock,Common Stock,2270.05499,16.941818,38458.85849,38458.86,,
BTGOon,BitGo Holdings (Ondo Tokenized),Stock,Common Stock,2647.06767,13.369,35388.64768,35388.65,,
VZon,Verizon (Ondo Tokenized),Stock,Common Stock,863.6199364,40.15755359,34680.86388,34680.86,,
GEon,General Electric (Ondo Tokenized),Stock,Common Stock,115.7493313,295.5410893,34208.68346,34208.68,,
Von,Visa (Ondo Tokenized),Stock,Common Stock,101.706326,329.7562926,33538.30099,33538.3,,
RTXon,RTX (Ondo Tokenized),Stock,Common Stock,161.3232074,194.833333,31431.13818,31431.14,,
CIFRon,Cipher Mining (Ondo Tokenized),Stock,Common Stock,1841.340164,16.4932,30369.59159,30369.59,,
SPOTon,Spotify (Ondo Tokenized),Stock,Common Stock,57.56643279,512,29474.01359,29474.01,,
INTUon,Intuit (Ondo Tokenized),Stock,Common Stock,51.8540889,563.4117726,29215.20415,29215.2,,
RGTIon,Rigetti Computing (Ondo Tokenized),Stock,Common Stock,1302.033165,22.121333,28802.70921,28802.71,,
TMon,Toyota (Ondo Tokenized),Stock,ADR,124.5296127,222.72,27735.23533,27735.24,,
PBRon,Petrobras (Ondo Tokenized),Stock,ADR,1918.621547,14.204545,27253.1461,27253.15,,
FIGon,Figma (Ondo Tokenized),Stock,Common Stock,926.9250183,29.0325,26910.95059,26910.95,,
DNNon,Denison Mines (Ondo Tokenized),Stock,Common Stock,7008.216394,3.69322,25882.88495,25882.88,,
BMNRon,BitMine Immersion Technologies (Ondo Tokenized),Stock,Common Stock,917.3958319,28.008182,25694.58942,25694.59,,
VSTon,Vistra (Ondo Tokenized),Stock,Common Stock,161.0880733,159.127273,25633.50581,25633.51,,
CEGon,Constellation Energy (Ondo Tokenized),Stock,Common Stock,88.06534286,285.673333,25157.92002,25157.92,,
KOon,Coca-Cola (Ondo Tokenized),Stock,Common Stock,328.0733348,73.28979468,24044.42735,24044.43,,
FIGRon,Figure Technology Solutions (Ondo Tokenized),Stock,Common Stock,289.7310425,63.752464,18471.06785,18471.07,,
AGGon,iShares Core US Aggregate Bond ETF (Ondo Tokenized),ETF,Bond ETF,177.7616412,102.3626195,18196.14724,18196.15,,
VTVon,Vanguard Value ETF (Ondo Tokenized),ETF,Equity ETF,90.07271,200.3634006,18047.27448,18047.27,,
MAon,Mastercard (Ondo Tokenized),Stock,Common Stock,32.94351847,528.8812554,17423.20941,17423.21,,
BAon,Boeing (Ondo Tokenized),Stock,Common Stock,67.87497759,248.626667,16875.52945,16875.53,,
NIOon,NIO (Ondo Tokenized),Stock,Common Stock,3525.184304,4.599269,16213.27089,16213.27,,
NOWon,ServiceNow (Ondo Tokenized),Stock,Common Stock,23.42999552,684.066665,16027.6789,16027.68,,
FUTUon,Futu Holdings (Ondo Tokenized),Stock,ADR,96.91676204,163.05,15802.27805,15802.28,,
LOWon,Lowe's (Ondo Tokenized),Stock,Common Stock,53.20133489,278.7902785,14832.01497,14832.01,,
KLACon,KLA (Ondo Tokenized),Stock,Common Stock,9.332365416,1556.6,14526.76001,14526.76,,
COPon,ConocoPhillips (Ondo Tokenized),Stock,Common Stock,136.3705085,98.458333,13426.81294,13426.81,,
PLUGon,Plug Power (Ondo Tokenized),Stock,Common Stock,5461.012866,2.302798,12575.60951,12575.61,,
SBETon,SharpLink Gaming (Ondo Tokenized),Stock,Common Stock,1264.03571,9.42,11907.21639,11907.22,,
BACon,Bank of America (Ondo Tokenized),Stock,Common Stock,226.7993342,51.95,11782.22541,11782.23,,
DISon,Disney (Ondo Tokenized),Stock,Common Stock,101.1778904,111.8684252,11318.61126,11318.61,,
CRMon,Salesforce (Ondo Tokenized),Stock,Common Stock,48.62385996,231.9680782,11279.18335,11279.18,,
PEPon,PepsiCo (Ondo Tokenized),Stock,Common Stock,74.85126566,147.7226097,11057.2243,11057.22,,
PGon,Procter & Gamble (Ondo Tokenized),Stock,Common Stock,71.71644829,151.3706034,10855.76205,10855.76,,
NEEon,NextEra Energy (Ondo Tokenized),Stock,Common Stock,124.6831423,85.442941,10653.29437,10653.29,,
APPon,AppLovin (Ondo Tokenized),Stock,Common Stock,19.75982275,537.375,10618.43475,10618.43,,
Ton,AT&T (Ondo Tokenized),Stock,Common Stock,432.6637896,23.73865475,10270.85633,10270.86,,
HYGon,iBoxx $ High Yield Corporate Bond ETF (Ondo Tokenized),ETF,Bond ETF,105.2281511,83.25603763,8760.87891,8760.88,,
RIOTon,Riot Platforms (Ondo Tokenized),Stock,Common Stock,518.7867591,16.349259,8481.77909,8481.78,,
SOFIon,SoFi Technologies (Ondo Tokenized),Stock,Common Stock,310.6670429,25.8675,8036.179731,8036.18,,
ABTon,Abbott (Ondo Tokenized),Stock,Common Stock,68.66973789,108.9178244,7479.358452,7479.36,,
IBMon,IBM (Ondo Tokenized),Stock,Common Stock,24.98526601,298.9534468,7469.431393,7469.43,,
OSCRon,Oscar Health (Ondo Tokenized),Stock,Common Stock,467.6708599,15.699512,7342.204277,7342.2,,
LRCXon,Lam Research (Ondo Tokenized),Stock,Common Stock,26.43224254,223.303333,5902.407857,5902.41,,
JNJon,Johnson & Johnson (Ondo Tokenized),Stock,Common Stock,26.04637475,220.93,5754.425573,5754.43,,
ANETon,Arista Networks (Ondo Tokenized),Stock,Common Stock,39.61103516,143.925,5701.018236,5701.02,,
FTGCon,First Trust Global Tactical Commodity Strategy Fund (Ondo Tokenized),ETF,Commodity ETF,225.2526104,25.288333,5696.263022,5696.26,,
GMEon,GameStop (Ondo Tokenized),Stock,Common Stock,203.4852824,24.83382352,5053.317592,5053.32,,
CMGon,Chipotle (Ondo Tokenized),Stock,Common Stock,122.70302,39.6,4859.039592,4859.04,,
IEFAon,iShares Core MSCI EAFE ETF (Ondo Tokenized),ETF,Equity ETF,48.95086937,96.38324139,4718.043459,4718.04,,
AMATon,Applied Materials (Ondo Tokenized),Stock,Common Stock,13.93067983,319.485,4450.643246,4450.64,,
AXPon,American Express (Ondo Tokenized),Stock,Common Stock,12.05292169,365.1259826,4400.834876,4400.83,,
BTGon,B2Gold (Ondo Tokenized),Stock,Common Stock,815.8978521,5.344711,4360.738225,4360.74,,
PDBCon,Invesco Optimum Yld Dvsfd Cmd Str No K-1 ETF (Ondo Tokenized),ETF,Commodity ETF,282.7052811,14.416239,4075.546899,4075.55,,
LINon,Linde plc (Ondo Tokenized),Stock,ADR,8.816126628,458.1803257,4039.375769,4039.38,,
MCDon,McDonald's (Ondo Tokenized),Stock,Common Stock,12.55855022,315.0223194,3956.223618,3956.22,,
MELIon,MercadoLibre (Ondo Tokenized),Stock,Common Stock,1.77362863,2204.2,3909.432225,3909.43,,
CRWDon,CrowdStrike (Ondo Tokenized),Stock,Common Stock,8.120072261,468.619231,3805.222018,3805.22,,
VTIon,Vanguard Total Stock Market ETF (Ondo Tokenized),ETF,Equity ETF,9.394300102,342.6524761,3218.980191,3218.98,,
BLSHon,Bullish (Ondo Tokenized),Stock,Common Stock,86.59077004,35.664444,3088.211669,3088.21,,
WMTon,Walmart (Ondo Tokenized),Stock,Common Stock,24.75638931,117.9079812,2918.975884,2918.98,,
CSCOon,Cisco Systems (Ondo Tokenized),Stock,Common Stock,37.19371041,77.66242435,2888.553721,2888.55,,
ACHRon,Archer Aviation (Ondo Tokenized),Stock,Common Stock,345.5430703,8.119903,2805.776213,2805.78,,
AMCon,AMC Entertainment (Ondo Tokenized),Stock,Common Stock,1860.5975,1.491873,2775.775174,2775.78,,
SNAPon,Snap (Ondo Tokenized),Stock,Common Stock,349.9700062,7.563631,2647.043988,2647.04,,
SBUXon,Starbucks (Ondo Tokenized),Stock,Common Stock,27.1594833,96.88186449,2631.261381,2631.26,,
SPGIon,S&P Global (Ondo Tokenized),Stock,Common Stock,4.755927733,530.318901,2522.158369,2522.16,,
SGOVon,iShares 0-3 Month Treasury Bond ETF (Ondo Tokenized),ETF,Bond ETF,24.38716311,100.62,2453.836352,2453.84,,
IEMGon,iShares Core MSCI Emerging Markets ETF (Ondo Tokenized),ETF,Equity ETF,25.56107256,74.18554382,1896.262068,1896.26,,
SHOPon,Shopify (Ondo Tokenized),Stock,Common Stock,13.1217948,136.486364,1790.946061,1790.95,,
ISRGon,Intuitive Surgical (Ondo Tokenized),Stock,Common Stock,3.277718425,527.51,1729.029246,1729.03,,
DASHon,DoorDash (Ondo Tokenized),Stock,Common Stock,7.36313778,209.56375,1543.046765,1543.05,,
SNOWon,Snowflake (Ondo Tokenized),Stock,Common Stock,6.71643049,211.344,1419.477285,1419.48,,
ACNon,Accenture (Ondo Tokenized),Stock,Common Stock,4.988208478,284.5341556,1419.315687,1419.32,,
PSQon,ProShares Short QQQ (Ondo Tokenized),ETF,Equity ETF,47.60156116,29.705,1414.004374,1414,,
GEMIon,Gemini Space Station (Ondo Tokenized),Stock,Common Stock,143.679046,9.636667,1384.587121,1384.59,,
IWNon,iShares Russell 2000 Value ETF (Ondo Tokenized),ETF,Equity ETF,6.904116015,200.295436,1382.862928,1382.86,,
ABNBon,Airbnb (Ondo Tokenized),Stock,Common Stock,10.36453021,133.314286,1381.739944,1381.74,,
BBAIon,BigBear.ai Holdings (Ondo Tokenized),Stock,Common Stock,225.3933279,5.725543,1290.499191,1290.5,,
WFCon,Wells Fargo (Ondo Tokenized),Stock,Common Stock,14.09386189,88.70531884,1250.200513,1250.2,,
IJHon,iShares Core S&P MidCap ETF (Ondo Tokenized),ETF,Equity ETF,16.31295995,69.97395661,1141.482352,1141.48,,
TXNon,Texas Instruments (Ondo Tokenized),Stock,Common Stock,5.754253856,196.4,1130.135457,1130.14,,
ITOTon,iShares Core S&P Total US Stock Market ETF (Ondo Tokenized),ETF,Equity ETF,7.343647802,152.2433478,1118.021526,1118.02,,
OPRAon,Opera (Ondo Tokenized),Stock,Common Stock,77.94116838,13.775556,1073.68293,1073.68,,
EFAon,iShares MSCI EAFE ETF (Ondo Tokenized),ETF,Equity ETF,10.33065172,101.9468383,1053.17728,1053.18,,
SOUNon,SoundHound AI (Ondo Tokenized),Stock,Common Stock,96.47616012,9.939904,958.9637699,958.96,,
MRKon,Merck (Ondo Tokenized),Stock,Common Stock,7.871275245,107.54,846.4769398,846.48,,
SOon,Southern (Ondo Tokenized),Stock,Common Stock,9.157658898,88.173846,807.4660054,807.47,,
OPENon,Opendoor Technologies (Ondo Tokenized),Stock,Common Stock,131.5656169,5.851553,769.8631804,769.86,,
TIPon,iShares TIPS Bond ETF (Ondo Tokenized),ETF,Bond ETF,6.540144965,111.4631611,728.9852321,728.99,,
Con,Citigroup (Ondo Tokenized),Stock,Common Stock,6.014171371,114.816667,690.5271116,690.53,,
IWFon,iShares Russell 1000 Growth ETF (Ondo Tokenized),ETF,Equity ETF,1.349521119,474.5969661,640.478629,640.48,,
APOon,Apollo Global Management (Ondo Tokenized),Stock,Common Stock,4.207019896,132.0349282,555.4735701,555.47,,
AALon,American Airlines Group (Ondo Tokenized),Stock,Common Stock,38.22606284,14.492857,554.0048624,554,,
EQIXon,Equinix (Ondo Tokenized),Stock,Common Stock,0.6691373771,810.5406864,542.363069,542.36,,
COFon,Capital One (Ondo Tokenized),Stock,Common Stock,2.141516756,220.255,471.6797732,471.68,,
DBCon,Invesco DB Commodity Index Tracking Fund (Ondo Tokenized),ETF,Commodity ETF,17.27365512,24.285498,419.4993168,419.5,,
BINCon,iShares Flexible Income Active ETF (Ondo Tokenized),ETF,Bond ETF,7.433858806,53.061111,394.4488072,394.45,,
DGRWon,WisdomTree US Quality Dividend Growth Fund (Ondo Tokenized),ETF,Equity ETF,3.355261727,91.57130594,307.2456981,307.25,,
Fon,Ford Motor (Ondo Tokenized),Stock,Common Stock,21.46343225,13.442273,288.5173159,288.52,,
ONon,ON Semiconductor (Ondo Tokenized),Stock,Common Stock,4.43814441,61.143182,271.3622714,271.36,,
CLOAon,iShares AAA CLO Active ETF (Ondo Tokenized),ETF,Bond ETF,4.82841703,51.973333,250.9489262,250.95,,
XYZon,Block (Ondo Tokenized),Stock,Common Stock,3.094590254,65.90011,203.9338382,203.93,,
JAAAon,Janus Henderson AAA CLO ETF (Ondo Tokenized),ETF,Bond ETF,3.893467356,50.775625,197.6932384,197.69,,
TMOon,Thermo Fisher Scientific (Ondo Tokenized),Stock,Common Stock,0.3137499453,616.5,193.4268413,193.43,,
TLNon,Talen Energy (Ondo Tokenized),Stock,Common Stock,0.4388499372,350.223333,153.6954877,153.7,,
USFRon,WisdomTree Floating Rate Treasury Fund (Ondo Tokenized),ETF,Bond ETF,2.771072014,50.58616595,140.1779088,140.18,,
NTESon,NetEase (Ondo Tokenized),Stock,Common Stock,0.9398262099,132.7375,124.7501815,124.75,,
CVNAon,Carvana (Ondo Tokenized),Stock,Common Stock,0.2564428136,473.595,121.4500343,121.45,,
SCHWon,Charles Schwab (Ondo Tokenized),Stock,Common Stock,1.165940235,102.947049,120.0301065,120.03,,
PCGon,PG&E (Ondo Tokenized),Stock,Common Stock,5.145113517,15.22848216,78.35226941,78.35,,
ADIon,Analog Devices (Ondo Tokenized),Stock,Common Stock,0.2038612385,304.005,61.9748358,61.97,,
CLOIon,VanEck CLO ETF (Ondo Tokenized),ETF,Bond ETF,0.5712405039,53.005622,30.27895822,30.28,,
BZon,Kanzhun (Ondo Tokenized),Stock,Common Stock,1.298052273,18.992222,24.65289693,24.65,,
WULFon,Terawulf (Ondo Tokenized),Stock,Common Stock,1.662595747,13.805321,22.95266798,22.95,,
PINSon,Pinterest (Ondo Tokenized),Stock,Common Stock,0.7964039291,25.985,20.6945561,20.69,,
MTZon,MasTec (Ondo Tokenized),Stock,Common Stock,0.02139831702,245.038824,5.243418438,5.24,,
DEon,Deere (Ondo Tokenized),Stock,Common Stock,0.0007569206547,518.2500005,0.3922741296,0.39,,
GRNDon,Grindr (Ondo Tokenized),Stock,Common Stock,0.007730794152,11.9652,0.09250049819,0.09,,
