开始日期,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
截止日期,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收盘价,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日期,农林牧渔(申万),基础化工(申万),钢铁(申万),有色金属(申万),电子(申万),家用电器(申万),食品饮料(申万),纺织服饰(申万),轻工制造(申万),医药生物(申万),公用事业(申万),交通运输(申万),房地产(申万),商贸零售(申万),社会服务(申万),综合(申万),建筑材料(申万),建筑装饰(申万),电力设备(申万),国防军工(申万),计算机(申万),传媒(申万),通信(申万),银行(申万),非银金融(申万),汽车(申万),机械设备(申万),煤炭(申万),石油石化(申万),环保(申万),美容护理(申万)
2025-01-09,2416.4300,3163.7600,2011.6500,4394.8500,4327.2700,8696.0800,17002.7200,1442.1300,1954.5200,6888.2700,2268.0500,2142.1100,2055.6400,2105.3500,7565.5900,2756.7500,4265.6900,1867.0400,6807.8000,1384.5400,4084.7800,611.0700,2852.7000,3844.1900,1721.5500,6229.3800,1469.4100,2724.9800,2235.4000,1574.8400,4173.8800
2025-01-10,2367.5600,3109.9100,1979.1500,4377.3100,4254.6400,8452.0700,16767.8400,1400.1700,1899.1900,6764.3400,2229.8200,2112.7000,1999.5900,2016.4100,7320.1100,2668.2800,4184.0900,1826.2000,6658.6700,1363.2200,3966.0700,591.5000,2752.9200,3817.4500,1689.8600,6147.9000,1454.1600,2688.9700,2201.7300,1540.6600,4069.5000
2025-01-11,2367.5600,3109.9100,1979.1500,4377.3100,4254.6400,8452.0700,16767.8400,1400.1700,1899.1900,6764.3400,2229.8200,2112.7000,1999.5900,2016.4100,7320.1100,2668.2800,4184.0900,1826.2000,6658.6700,1363.2200,3966.0700,591.5000,2752.9200,3817.4500,1689.8600,6147.9000,1454.1600,2688.9700,2201.7300,1540.6600,4069.5000
2025-01-12,2367.5600,3109.9100,1979.1500,4377.3100,4254.6400,8452.0700,16767.8400,1400.1700,1899.1900,6764.3400,2229.8200,2112.7000,1999.5900,2016.4100,7320.1100,2668.2800,4184.0900,1826.2000,6658.6700,1363.2200,3966.0700,591.5000,2752.9200,3817.4500,1689.8600,6147.9000,1454.1600,2688.9700,2201.7300,1540.6600,4069.5000
2025-01-13,2376.9100,3126.6000,1996.5600,4456.5800,4231.7600,8244.6400,16840.3400,1390.0700,1892.4200,6790.4000,2220.8800,2113.7300,2021.9200,2011.6100,7355.4300,2683.7700,4191.3600,1823.1300,6656.4800,1363.7500,3994.2600,590.3200,2749.4400,3773.1900,1691.2500,6123.1800,1444.7900,2680.5900,2222.8200,1547.2800,4117.7700
2025-01-14,2443.7200,3224.2100,2042.2400,4533.2600,4430.4300,8429.5200,17202.7700,1441.5500,1959.8700,6991.5300,2262.6200,2175.7500,2080.1800,2108.6300,7668.6200,2770.3900,4302.3900,1878.3800,6922.6300,1412.7000,4239.3500,624.0700,2872.6400,3826.2200,1753.0500,6427.4600,1526.8800,2724.6400,2261.0100,1603.5900,4268.4200
2025-01-15,2426.8800,3202.9200,2039.0200,4474.1300,4387.1100,8375.4500,17142.1900,1444.7800,1956.1500,6917.5200,2255.4100,2167.8200,2071.9700,2114.0500,7707.9900,2684.1400,4299.9600,1871.4000,6859.1400,1387.2700,4195.8500,632.1300,2842.3100,3857.1100,1739.0100,6387.3200,1518.6100,2708.7800,2247.9900,1597.4500,4238.5000
2025-01-16,2436.9600,3220.2700,2059.0000,4553.9200,4351.4400,8445.2000,16995.8500,1460.7000,1968.6500,6918.3200,2261.3200,2163.3200,2076.5900,2148.8800,7777.4300,2736.4700,4325.9200,1879.0000,6885.9200,1387.1600,4217.4700,633.7100,2912.4400,3893.0000,1740.3800,6401.2900,1528.4800,2748.6100,2274.3200,1611.3600,4247.3500
2025-01-17,2459.7000,3262.4500,2045.1900,4572.8700,4428.3300,8454.5000,17120.1000,1444.4400,1960.8400,6944.8300,2260.1700,2172.2700,2077.3200,2110.5500,7787.5600,2739.2400,4335.1500,1880.1500,6902.5900,1402.3600,4209.5100,627.9600,2921.6400,3867.6000,1746.0300,6428.5900,1532.3100,2732.9700,2267.4200,1608.4600,4246.2700
2025-01-18,2459.7000,3262.4500,2045.1900,4572.8700,4428.3300,8454.5000,17120.1000,1444.4400,1960.8400,6944.8300,2260.1700,2172.2700,2077.3200,2110.5500,7787.5600,2739.2400,4335.1500,1880.1500,6902.5900,1402.3600,4209.5100,627.9600,2921.6400,3867.6000,1746.0300,6428.5900,1532.3100,2732.9700,2267.4200,1608.4600,4246.2700
2025-01-19,2459.7000,3262.4500,2045.1900,4572.8700,4428.3300,8454.5000,17120.1000,1444.4400,1960.8400,6944.8300,2260.1700,2172.2700,2077.3200,2110.5500,7787.5600,2739.2400,4335.1500,1880.1500,6902.5900,1402.3600,4209.5100,627.9600,2921.6400,3867.6000,1746.0300,6428.5900,1532.3100,2732.9700,2267.4200,1608.4600,4246.2700
2025-01-20,2459.5000,3273.6200,2054.7900,4549.9000,4471.2900,8474.1900,17234.3500,1467.2400,1985.0000,7021.9000,2260.1400,2164.6800,2086.2200,2126.1500,7885.0500,2762.2500,4305.5000,1887.0500,7051.3500,1410.7800,4228.4900,629.0000,2954.4300,3851.0400,1757.1300,6501.2600,1542.5700,2698.4800,2244.3900,1619.7300,4266.8300
2025-01-21,2439.0200,3261.6300,2026.2000,4528.6500,4548.6500,8467.9400,17145.4600,1452.7100,1981.3900,6998.2100,2254.8000,2160.2800,2107.3400,2133.0400,7781.1000,2738.7100,4296.3100,1873.5400,7017.9900,1400.4300,4260.6100,632.6800,3002.8800,3850.6700,1759.1600,6563.6000,1557.7500,2662.3300,2209.4100,1611.0600,4266.2500
2025-01-22,2420.5300,3244.2600,2023.0900,4521.6500,4546.5000,8328.7000,16836.3600,1438.9600,1950.0500,6935.8100,2244.9300,2137.5200,2035.2200,2096.5100,7639.6200,2719.5300,4252.9700,1853.7300,6923.6100,1388.6300,4228.6400,620.2400,3054.2200,3779.8500,1744.3300,6490.3700,1544.8800,2638.9300,2188.0600,1596.2600,4212.5400
2025-01-23,2428.3200,3231.1600,2014.0800,4482.9100,4479.3400,8341.6100,16830.5200,1437.4100,1940.2100,6925.2400,2246.2400,2144.6200,2053.5900,2092.8000,7708.2500,2708.7900,4257.0200,1860.9400,6879.9000,1376.5000,4218.8000,623.9500,3009.1000,3866.8200,1767.5200,6436.0900,1543.1000,2651.4800,2193.2500,1594.2100,4214.6000
2025-01-24,2438.5300,3253.5600,2055.7200,4531.4700,4553.4100,8380.0600,16761.0600,1455.2200,1957.8900,6951.1900,2240.4600,2150.2800,2050.5300,2113.2600,7841.0400,2710.5500,4278.3200,1871.9100,6985.6100,1385.8400,4375.9300,640.2300,3074.6900,3869.1200,1784.8400,6540.7000,1567.6800,2680.2100,2195.4700,1602.0000,4234.8400
2025-01-25,2438.5300,3253.5600,2055.7200,4531.4700,4553.4100,8380.0600,16761.0600,1455.2200,1957.8900,6951.1900,2240.4600,2150.2800,2050.5300,2113.2600,7841.0400,2710.5500,4278.3200,1871.9100,6985.6100,1385.8400,4375.9300,640.2300,3074.6900,3869.1200,1784.8400,6540.7000,1567.6800,2680.2100,2195.4700,1602.0000,4234.8400
2025-01-26,2438.5300,3253.5600,2055.7200,4531.4700,4553.4100,8380.0600,16761.0600,1455.2200,1957.8900,6951.1900,2240.4600,2150.2800,2050.5300,2113.2600,7841.0400,2710.5500,4278.3200,1871.9100,6985.6100,1385.8400,4375.9300,640.2300,3074.6900,3869.1200,1784.8400,6540.7000,1567.6800,2680.2100,2195.4700,1602.0000,4234.8400
2025-01-27,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-01-28,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-01-29,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-01-30,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-01-31,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-02-01,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-02-02,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-02-03,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-02-04,2455.3200,3261.9400,2077.3000,4510.9000,4420.4600,8385.5600,16729.8400,1456.2000,1974.4400,6949.9200,2271.2800,2160.1300,2025.2100,2068.4000,7773.9000,2657.3400,4335.1200,1873.5500,6851.8100,1367.4600,4311.9600,640.7500,2952.5300,3923.1200,1749.5900,6473.8500,1532.5500,2712.1700,2217.8400,1604.6100,4197.0500
2025-02-05,2450.1600,3245.5400,2059.2700,4561.8700,4474.6700,8300.7600,16379.5000,1441.6800,1964.6800,6988.9000,2250.8800,2125.5000,2013.3900,2051.0800,7849.5900,2595.9500,4243.6000,1866.5400,6812.7200,1381.3800,4582.2400,663.0400,2892.8600,3859.7400,1740.4200,6513.0500,1544.7900,2652.4900,2197.6000,1608.5900,4154.8700
2025-02-06,2456.3200,3277.5500,2084.5900,4614.3800,4649.3000,8435.6100,16486.2900,1445.4600,1984.8700,7069.3000,2266.2400,2137.7700,2032.3700,2070.9900,7979.7200,2629.8800,4258.8400,1885.5100,6955.0000,1428.2600,4740.4000,679.5100,2979.7700,3860.2600,1768.0600,6773.5100,1595.4400,2661.0800,2209.2100,1623.0400,4212.3600
2025-02-07,2466.6100,3314.1100,2133.7900,4668.6500,4692.0700,8562.3000,16713.6900,1464.2100,2006.1000,7173.3500,2275.1600,2160.4400,2078.9100,2094.0800,8023.6600,2707.6900,4322.2900,1910.1200,7138.5100,1437.2300,4892.7200,686.9700,3042.0500,3847.9100,1803.2800,6922.4400,1616.1000,2688.8400,2225.9600,1641.8700,4271.0500
2025-02-08,2466.6100,3314.1100,2133.7900,4668.6500,4692.0700,8562.3000,16713.6900,1464.2100,2006.1000,7173.3500,2275.1600,2160.4400,2078.9100,2094.0800,8023.6600,2707.6900,4322.2900,1910.1200,7138.5100,1437.2300,4892.7200,686.9700,3042.0500,3847.9100,1803.2800,6922.4400,1616.1000,2688.8400,2225.9600,1641.8700,4271.0500
2025-02-09,2466.6100,3314.1100,2133.7900,4668.6500,4692.0700,8562.3000,16713.6900,1464.2100,2006.1000,7173.3500,2275.1600,2160.4400,2078.9100,2094.0800,8023.6600,2707.6900,4322.2900,1910.1200,7138.5100,1437.2300,4892.7200,686.9700,3042.0500,3847.9100,1803.2800,6922.4400,1616.1000,2688.8400,2225.9600,1641.8700,4271.0500
2025-02-10,2470.4500,3341.0300,2153.3600,4692.1100,4740.1300,8564.5200,16728.8000,1474.4600,2035.0100,7292.0800,2272.5100,2161.8400,2110.2100,2157.4200,8253.7200,2740.5500,4357.4400,1929.1100,7100.1700,1453.4300,5086.7200,709.2900,3105.3500,3853.6500,1808.3900,6972.3500,1624.4400,2681.4300,2232.9700,1656.2500,4309.2200
2025-02-11,2448.9800,3353.0800,2141.1100,4701.7500,4712.5400,8564.1900,16577.3900,1493.7800,2041.2000,7215.3700,2267.1000,2156.0500,2074.9400,2153.8400,8216.8300,2746.0300,4334.2800,1920.7900,6999.9600,1437.6700,5031.8200,714.5300,3107.3600,3889.5000,1795.1200,6940.3100,1626.0700,2671.0100,2242.0900,1655.2200,4277.1800
2025-02-12,2456.0500,3386.8200,2149.2500,4672.4000,4838.3800,8585.5600,16792.0100,1490.0200,2049.9400,7229.9900,2273.6600,2157.0300,2139.3200,2180.9200,8298.8800,2771.8400,4345.1700,1932.8300,7108.0600,1449.9200,5160.6000,728.0900,3152.2600,3920.9900,1821.9400,7016.9400,1644.2500,2659.6800,2245.3400,1669.8000,4303.0900
2025-02-13,2501.0200,3370.0100,2160.8700,4640.6000,4707.2700,8553.0100,17103.5600,1488.7500,2042.1200,7194.5400,2272.7200,2162.3000,2151.4200,2182.8200,8252.1300,2763.1500,4370.3800,1936.6400,7071.8900,1433.8000,5093.9400,740.6400,3094.9900,3924.1400,1813.9200,6921.5200,1612.0800,2652.7500,2228.0800,1657.5200,4340.0300
2025-02-14,2492.7300,3362.3200,2149.1500,4664.3300,4704.8800,8575.8200,17104.6600,1481.4700,2032.2200,7368.1000,2271.4000,2165.6600,2120.9500,2167.8200,8228.0700,2740.1200,4331.6600,1934.5900,7144.0900,1428.8100,5273.0900,752.4900,3133.5100,3940.7600,1822.1200,7004.6400,1613.5700,2648.6300,2220.5300,1655.7000,4351.3500
2025-02-15,2492.7300,3362.3200,2149.1500,4664.3300,4704.8800,8575.8200,17104.6600,1481.4700,2032.2200,7368.1000,2271.4000,2165.6600,2120.9500,2167.8200,8228.0700,2740.1200,4331.6600,1934.5900,7144.0900,1428.8100,5273.0900,752.4900,3133.5100,3940.7600,1822.1200,7004.6400,1613.5700,2648.6300,2220.5300,1655.7000,4351.3500
2025-02-16,2492.7300,3362.3200,2149.1500,4664.3300,4704.8800,8575.8200,17104.6600,1481.4700,2032.2200,7368.1000,2271.4000,2165.6600,2120.9500,2167.8200,8228.0700,2740.1200,4331.6600,1934.5900,7144.0900,1428.8100,5273.0900,752.4900,3133.5100,3940.7600,1822.1200,7004.6400,1613.5700,2648.6300,2220.5300,1655.7000,4351.3500
2025-02-17,2512.2800,3373.0400,2162.9200,4565.9200,4771.9700,8563.8500,17104.8200,1482.7300,2060.4900,7416.9000,2296.9400,2172.7300,2136.5400,2176.3500,8368.3100,2780.4300,4322.5600,1950.3900,7171.6500,1432.3600,5305.9500,745.9800,3244.0000,3929.5800,1826.4600,7012.6500,1644.7000,2616.2600,2217.2400,1684.4800,4336.1500
2025-02-18,2460.8600,3330.6000,2137.9300,4528.4900,4668.0400,8432.4700,16972.5800,1452.9900,1998.2600,7267.6100,2292.3500,2148.1400,2077.9600,2088.6600,8045.8100,2721.4900,4270.5600,1917.2800,7131.9200,1394.1900,5112.5200,714.0000,3151.9900,3970.9500,1786.2100,6944.3800,1618.8900,2576.0500,2209.4800,1654.6400,4218.0600
2025-02-19,2488.2000,3368.4800,2136.1300,4575.3600,4826.4900,8462.5500,17130.8300,1468.8600,2017.3200,7321.1200,2287.9200,2153.6900,2100.3900,2116.3500,8158.9100,2740.6800,4294.7700,1940.4200,7254.7800,1424.7400,5249.0100,726.4200,3211.4600,3952.6100,1803.9100,7112.7600,1688.2900,2553.3500,2201.0100,1678.4700,4257.0500
2025-02-20,2479.5800,3403.5300,2154.3400,4606.8100,4864.5300,8489.1600,17062.1900,1482.1700,2032.4200,7438.6100,2282.7000,2144.6600,2088.5500,2140.5500,8242.3600,2721.8600,4299.5300,1924.5500,7207.8400,1448.9000,5233.2500,721.1100,3208.9200,3947.6100,1791.3500,7143.8000,1709.2300,2553.0100,2200.2100,1682.7800,4328.2400
2025-02-21,2482.5200,3402.3200,2156.2800,4593.6400,5032.5300,8511.2500,17119.7100,1468.0600,2023.7000,7506.3200,2274.8500,2143.8800,2087.5100,2144.2100,8300.4500,2746.2400,4289.8900,1925.8000,7351.6000,1467.9500,5440.4900,738.9800,3387.1400,3898.6100,1823.8500,7265.8600,1738.9800,2534.5000,2188.9300,1692.1500,4318.0500
2025-02-22,2482.5200,3402.3200,2156.2800,4593.6400,5032.5300,8511.2500,17119.7100,1468.0600,2023.7000,7506.3200,2274.8500,2143.8800,2087.5100,2144.2100,8300.4500,2746.2400,4289.8900,1925.8000,7351.6000,1467.9500,5440.4900,738.9800,3387.1400,3898.6100,1823.8500,7265.8600,1738.9800,2534.5000,2188.9300,1692.1500,4318.0500
2025-02-23,2482.5200,3402.3200,2156.2800,4593.6400,5032.5300,8511.2500,17119.7100,1468.0600,2023.7000,7506.3200,2274.8500,2143.8800,2087.5100,2144.2100,8300.4500,2746.2400,4289.8900,1925.8000,7351.6000,1467.9500,5440.4900,738.9800,3387.1400,3898.6100,1823.8500,7265.8600,1738.9800,2534.5000,2188.9300,1692.1500,4318.0500
2025-02-24,2515.6300,3416.1100,2162.1600,4597.7200,5030.9000,8550.3000,17160.0600,1483.2600,2038.8800,7438.8300,2273.9800,2152.8300,2122.0900,2137.9200,8282.7700,2775.6800,4365.4900,1970.8700,7349.4700,1476.2700,5419.2300,733.0000,3349.9500,3869.6100,1823.5500,7263.3800,1740.8300,2540.8900,2181.7600,1717.2600,4297.8300
2025-02-25,2464.1500,3382.1500,2155.7100,4554.1100,5024.6500,8405.8600,16887.9300,1469.2100,2012.4700,7355.5900,2253.4900,2135.2000,2108.4100,2129.0200,8171.6800,2764.9100,4317.6600,1946.5300,7329.8200,1465.9600,5350.7300,715.7500,3307.8400,3838.7200,1792.6300,7285.7500,1747.8200,2531.7600,2166.1400,1711.5300,4243.3100
2025-02-26,2477.7200,3422.5700,2265.5500,4588.0200,5075.6000,8519.8800,17018.0300,1480.2600,2034.4000,7442.2500,2277.2000,2143.6700,2154.8900,2150.9500,8245.7600,2774.4100,4381.9500,1966.5400,7462.4400,1480.3600,5400.5000,716.3900,3316.2600,3858.5900,1831.9000,7351.8000,1780.6400,2546.0500,2177.7600,1728.2700,4290.2700
2025-02-27,2479.6900,3423.5100,2270.9500,4565.8400,5030.9900,8616.0000,17398.7900,1507.9600,2062.2000,7468.1900,2268.3400,2160.5600,2165.5200,2199.9900,8297.5800,2802.8600,4401.2600,1960.7100,7461.4900,1463.9900,5298.8600,712.8300,3224.4500,3908.2700,1828.3500,7357.4200,1772.8600,2535.5900,2200.1400,1717.0200,4377.9000
2025-02-28,2460.3300,3370.2100,2224.7500,4486.8400,4787.6400,8447.4800,17422.3100,1480.7400,2027.4500,7302.5000,2250.0000,2142.7000,2133.9500,2129.9100,8066.2800,2732.7500,4359.6500,1939.2300,7290.9100,1417.5600,5015.0400,679.8300,3060.7000,3884.4700,1771.6200,7068.0500,1696.6600,2506.4900,2194.2800,1680.7800,4294.2600
2025-03-01,2460.3300,3370.2100,2224.7500,4486.8400,4787.6400,8447.4800,17422.3100,1480.7400,2027.4500,7302.5000,2250.0000,2142.7000,2133.9500,2129.9100,8066.2800,2732.7500,4359.6500,1939.2300,7290.9100,1417.5600,5015.0400,679.8300,3060.7000,3884.4700,1771.6200,7068.0500,1696.6600,2506.4900,2194.2800,1680.7800,4294.2600
2025-03-02,2460.3300,3370.2100,2224.7500,4486.8400,4787.6400,8447.4800,17422.3100,1480.7400,2027.4500,7302.5000,2250.0000,2142.7000,2133.9500,2129.9100,8066.2800,2732.7500,4359.6500,1939.2300,7290.9100,1417.5600,5015.0400,679.8300,3060.7000,3884.4700,1771.6200,7068.0500,1696.6600,2506.4900,2194.2800,1680.7800,4294.2600
2025-03-03,2482.0400,3412.2400,2236.2900,4591.5800,4745.2700,8332.0800,17278.5100,1477.6200,2027.2900,7350.9400,2240.7700,2134.9000,2144.2700,2127.3300,8092.8800,2755.5100,4394.7200,1939.7000,7429.6200,1420.7400,5027.2300,683.4900,3026.2900,3883.6500,1765.3600,7046.5600,1690.9600,2517.8200,2182.9700,1691.3100,4355.6400
2025-03-04,2505.4700,3415.8500,2251.4000,4630.9900,4838.7800,8454.7500,17106.8700,1486.5200,2035.7900,7390.7800,2242.5900,2141.1300,2138.1500,2117.9100,8171.6500,2702.9700,4395.4500,1942.3300,7346.3200,1471.1000,5114.9300,688.6400,3060.0400,3877.4500,1768.0100,7065.8200,1722.1300,2491.3200,2166.1000,1707.7000,4352.3600
2025-03-05,2478.5300,3409.5500,2262.1800,4669.3000,4873.6800,8474.0500,17069.5500,1490.7400,2025.8100,7336.3100,2248.1800,2149.0500,2106.8700,2133.5800,8158.8200,2679.4600,4421.2700,1939.0700,7307.9400,1477.9100,5171.3200,692.4000,3135.0400,3944.3400,1772.1800,7158.4300,1753.7600,2486.7100,2153.3500,1697.8200,4326.7200
2025-03-06,2486.3400,3437.2700,2253.5000,4733.6400,4977.4400,8528.5800,17383.5000,1508.4700,2061.3200,7451.4600,2246.3200,2154.8300,2155.9800,2171.6400,8383.0300,2729.0000,4449.2800,1954.4300,7418.7900,1494.2500,5430.2300,723.9300,3208.6500,3922.5900,1818.6000,7258.3600,1782.8900,2497.0000,2156.9000,1725.6900,4408.8400
2025-03-07,2485.9000,3446.6200,2284.8400,4804.5000,4918.7500,8485.9300,17551.3900,1501.7300,2054.6300,7380.2100,2238.8000,2145.9300,2114.6200,2150.4300,8400.4400,2704.4800,4474.0000,1934.9900,7337.6500,1516.2900,5352.8900,714.9400,3146.7400,3928.4300,1793.6400,7285.5600,1789.2400,2517.6700,2161.5300,1719.2600,4384.1100
2025-03-08,2485.9000,3446.6200,2284.8400,4804.5000,4918.7500,8485.9300,17551.3900,1501.7300,2054.6300,7380.2100,2238.8000,2145.9300,2114.6200,2150.4300,8400.4400,2704.4800,4474.0000,1934.9900,7337.6500,1516.2900,5352.8900,714.9400,3146.7400,3928.4300,1793.6400,7285.5600,1789.2400,2517.6700,2161.5300,1719.2600,4384.1100
