Rank,Company,Industry,Revenue ($), City ,State,Zip,Website,Employees,CEO
53,Boeing,Aerospace & Defense,"80,760,000,000", Arlington ,Virginia,22202,boeing.com,"172,000",Kelly Ortberg
54,Energy Transfer,Pipelines,"79,760,000,000", Dallas ,Texas,75225,energytransfer.com,"16,248",Thomas Long
55,Wells Fargo,Commercial Banks,"79,070,000,000", San Francisco ,California,94104,wellsfargo.com,"217,502",Charles Scharf
56,Citi,Commercial Banks,"75,380,000,000", New York ,New York,10013,citigroup.com,"227,855",Jane Fraser
57,HCA Healthcare,Health Care: Medical Facilities,"74,370,000,000", Nashville ,Tennessee,37203,hcahealthcare.com,"271,000",Samuel Hazen
58,Lockheed Martin,Aerospace & Defense,"73,350,000,000", Bethesda ,Maryland,20817,lockheedmartin.com,"121,000",James Taiclet
59,MetLife,"Insurance: Life, Health (Stock)","71,930,000,000", New York ,New York,10166,metlife.com,"45,000",Michel Khalaf
60,Morgan Stanley,Commercial Banks,"68,530,000,000", New York ,New York,10036,morganstanley.com,"80,478",Edward Pick
61,Allstate,Insurance: Property and Casualty (Stock),"66,850,000,000", Northbrook ,Illinois,60062,allstate.com,"55,200",Thomas Wilson
62,IBM,Information Technology Services,"65,400,000,000", Armonk ,New York,10504,ibm.com,"284,500",Arvind Krishna
63,American Express,Diversified Financials,"65,290,000,000", New York ,New York,10285,americanexpress.com,"75,100",Stephen Squeri
64,Caterpillar,Construction and Farm Machinery,"64,670,000,000", Irving ,Texas,75039,caterpillar.com,"112,900",Jospeh Creed
65,Merck,Pharmaceuticals,"64,240,000,000", Rahway ,New Jersey,7065,merck.com,"74,000",Robert Davis
66,Delta Airlines,Airlines,"62,920,000,000", Atlanta ,Georgia,30354,delta.com,"103,000",Edward Bastian
67,Pfizer,Pharmaceuticals,"62,790,000,000", New York ,New York,10001,pfizer.com,"81,000",Albert Bourla
68,New York Life Insurance,"Insurance: Life, Health (Mutual)","62,639,000,000", New York ,New York,10010,newyorklife.com,"15,131",Craig DeSanto
69,Performance Food,Wholesalers: Food and Grocery,"61,560,000,000", Richmond ,Virginia,23238,pfgc.com,"36,815",George Holm
70,ConocoPhillips,"Mining, Crude-Oil Production","61,280,000,000", Houston ,Texas,77079,conocophillips.com,"11,800",Ryan Lance
71,Oracle,Computer Software,"61,020,000,000", Austin ,Texas,78741,oracle.com,"159,000",Safra Catz
72,TD Synnex,Wholesalers: Electronics and Office Equipment,"60,970,000,000", Fremont ,California,94538,tdsynnex.com,"25,750",Patrick Zammit
73,Publix Super Markets,Food & Drug Stores,"60,177,000,000", Lakeland ,Florida,33811,publix.com,"255,000",Kevin Murphy
74,Broadcom,Semiconductors and Other Electronic Components,"59,930,000,000", Palo Alto ,California,94304,broadcom.com,"37,000",Hock Tan
75,AbbVie,Pharmaceuticals,"59,640,000,000", North Chicago ,Illinois,60064,abbvie.com,"55,000",Robert Michael
76,Eli Lilly,Pharmaceuticals,"59,420,000,000", Indianapolis ,Indiana,46285,lilly.com,"47,000",David Ricks
77,TJX,Specialty Retailers: Apparel,"58,980,000,000", Framingham ,Massachusetts,1701,tjx.com,"364,000",Ernie Herrman
78,Nationwide,Insurance: Property and Casualty (Mutual),"58,646,000,000", Columbus ,Ohio,43215,nationwide.com,"22,453",Kirt Walker
79,United Airlines,Airlines,"58,370,000,000", Chicago ,Illinois,60606,united.com,"107,300",Scott Kirby
80,Cisco Systems,Network and Other Communications Equipment,"57,700,000,000", San Jose ,California,95134,cisco.com,"90,400",Charles Robbins
81,Prudential Financial,"Insurance: Life, Health (Stock)","57,600,000,000", Newark ,New Jersey,7102,prudential.com,"37,936",Andrew Sullivan
82,Goldman Sachs,Commercial Banks,"57,340,000,000", New York ,New York,10282,goldmansachs.com,"46,500",David Solomon
83,HP,"Computers, Office Equipment","55,300,000,000", Palo Alto ,California,94304,hp.com,"58,000",Enrique Lores
84,Charter Communications,Telecommunications,"55,100,000,000", Stamford ,Connecticut,6902,charter.com,"94,500",Christopher Winfrey
85,Tyson Foods,Food Production,"54,440,000,000", Springdale ,Arkansas,72762,tysonfoods.com,"138,000",Donnie King
86,American Airlines,Airlines,"54,290,000,000", Fort Worth ,Texas,76155,aa.com,"133,300",Robert Isom
87,Intel,Semiconductors and Other Electronic Components,"53,440,000,000", Santa Clara ,California,95054,intel.com,"108,900",Lip-Bu Tan
88,Enterprise Products Partners,Pipelines,"53,000,000,000", Houston ,Texas,77002,enterpriseproducts.com,"7,800",James Teague
89,General Dynamics,Aerospace & Defense,"51,510,000,000", Reston ,Virginia,20190,gd.com,"117,000",Phebe Novakovic
90,Ingram Micro,Wholesalers: Electronics and Office Equipment,"51,020,000,000", Irvine ,California,92612,ingrammicro.com,"26,125",Paul Bay
91,Liberty Mutual Insurance,Insurance: Property and Casualty (Stock),"50,429,000,000", Boston ,Massachusetts,2116,libertymutual.com,"40,000",Timothy Sweeney
92,Uber,Internet Services and Retailing,"49,610,000,000", San Francisco ,California,94158,uber.com,"31,100",Dara Khosrowshahi
93,USAA,Insurance: Property and Casualty (Stock),"48,560,000,000", San Antonio ,Texas,78288,usaa.com,"38,018",Juan Andrade
94,Travelers,Insurance: Property and Casualty (Stock),"48,400,000,000", New York ,New York,10017,travelers.com,"34,000",Alan Schnitzer
95,Bristol-Myers Squibb,Pharmaceuticals,"48,030,000,000", Princeton ,New Jersey,8543,bms.com,"34,100",Christopher Boerner
96,Coca-Cola,Beverages,"47,660,000,000", Atlanta ,Georgia,30313,coca-colacompany.com,"69,700",Henrique Braun
97,TIAA,"Insurance: Life, Health (Mutual)","46,946,000,000", New York ,New York,10017,tiaa.org,"15,623",Thasunda Brown Duckett
98,Plains GP,Pipelines,"46,920,000,000", Houston ,Texas,77002,plains.com,"4,200",Wilfred Chiang
99,Nike,Apparel,"46,440,000,000", Beaverton ,Oregon,97005,nike.com,"79,400",Elliott Hill
100,Deere,Construction and Farm Machinery,"45,680,000,000", Moline ,Illinois,61265,deere.com,"55,524",John May
101,Qualcomm,Semiconductors and Other Electronic Components,"44,280,000,000", San Diego ,California,92121,qualcomm.com,"49,000",Cristiano Amon
102,General Electric,Aerospace & Defense,"43,950,000,000", Evendale ,Ohio,45215,ge.com,"53,000",Lawrence Culp Jr.
103,Abbott Laboratories,Medical Products and Equipment,"43,840,000,000", Abbott Park ,Illinois,60064,abbott.com,"114,000",Robert Ford
104,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment","43,740,000,000", Waltham ,Massachusetts,2451,thermofisher.com,"125,000",Marc Casper
105,Netflix,Entertainment,"43,380,000,000", Los Gatos ,California,95032,netflix.com,"14,000",Ted Sarandos & Greg Peters
106,Mass Mutual,"Insurance: Life, Health (Mutual)","43,072,000,000", Springfield ,Massachusetts,1111,massmutual.com,"11,192",Roger Crandall
107,Molina Healthcare,Health Care: Insurance and Managed Care,"42,840,000,000", Long Beach ,California,90802,molinahealthcare.com,"18,000",Joseph Zubretsky
108,Dollar General,Specialty Retailers: Other,"42,120,000,000", Goodlettsville ,Tennessee,37072,dollargeneral.com,"194,200",Todd Vasos
109,Best Buy,Specialty Retailers: Other,"41,830,000,000", Richfield ,Minnesota,55423,bestbuy.com,"85,000",Corie Barry
110,Northwestern Mutual,"Insurance: Life, Health (Mutual)","41,445,000,000", Milwaukee ,Wisconsin,53202,northwesternmutual.com,"8,249",Timothy Gerend
111,Northrop Grumman,Aerospace & Defense,"40,930,000,000", Falls Church ,Virginia,22042,northropgrumman.com,"97,000",Kathy Warden
112,Dow,Chemicals,"40,910,000,000", Midland ,Michigan,48674,dow.com,"36,000",James Fitterling
113,Honeywell,Industrial Machinery,"40,670,000,000", Charlotte ,North Carolina,28202,honeywell.com,"102,000",Vimal Kapur
114,Salesforce,Computer Software,"40,320,000,000", San Francisco ,California,94105,salesforce.com,"76,453",Marc Benioff
115,Visa,Financial Data Services,"40,000,000,000", San Francisco ,California,94105,visa.com,"31,600",Ryan McInerney
116,Philip Morris,Tobacco,"39,990,000,000", Stamford ,Connecticut,6901,pmi.com,"83,100",Jacek Olczak
117,CBRE,Real Estate,"39,330,000,000", Dallas ,Texas,75201,cbre.com,"140,000",Robert Sulentic
118,CHS,Food Production,"39,261,000,000", Inver Grove Heights ,Minnesota,55077,chsinc.com,"10,730",Jay Debertin
119,US Foods,Wholesalers: Food and Grocery,"39,120,000,000", Rosemont ,Illinois,60018,usfoods.com,"30,000",David Flitman
120,Warner Bros. Discovery,Entertainment,"37,860,000,000", New York ,New York,10003,wbd.com,"35,000",David Zaslav
121,GE Vernova,Energy,"37,670,000,000", Cambridge ,Massachusetts,2141,gevernova.com,"76,800",Scott Strazik
122,World Kinect,Energy,"37,650,000,000", Miami ,Florida,33178,world-kinect.com,"4,745",Michael Kasbar
123,Mondelez,Food Consumer Products,"37,650,000,000", Chicago ,Illinois,60607,mondelezinternational.com,"90,000",Dirk Van de Put
124,Lithia Motors,"Automotive Retailing, Services","37,610,000,000", Medford ,Oregon,97501,lithiadriveway.com,"30,164",Bryan DeBoer
125,Micron Technology,Semiconductors and Other Electronic Components,"37,380,000,000", Boise ,Idaho,83716,micron.com,"48,000",Sanjay Mehrotra
126,Starbucks,Food Services,"37,180,000,000", Seattle ,Washington,98134,starbucks.com,"361,000",Brian Niccol
127,Amgen,Pharmaceuticals,"35,970,000,000", Thousand Oaks ,California,91320,amgen.com,"28,000",Robert Bradway
128,Lennar,Homebuilders,"34,770,000,000", Miami ,Florida,33126,lennar.com,"13,265",Jonathan Jaffe
129,Hewlett Packard,"Computers, Office Equipment","34,300,000,000", Spring ,Texas,77389,hpe.com,"61,000",Antonio Neri
130,D.R. Horton,Homebuilders,"34,250,000,000", Arlington ,Texas,76011,drhorton.com,"14,766",Paul Romanowski
131,Coupang,Internet Services and Retailing,"33,660,000,000", Seattle ,Washington,98101,aboutcoupang.com,"95,000",Bom Kim
132,Cummins,Industrial Machinery,"33,580,000,000", Columbus ,Indiana,47201,cummins.com,"69,600",Jennifer Rumsey
133,GuideWell Mutual,"Insurance: Life, Health (Stock)","32,955,000,000", Jacksonville ,Florida,32246,guidewell.com,"17,936",Patrick Geraghty
134,PayPal,Financial Data Services,"32,860,000,000", San Jose ,California,95131,paypal.com,"24,400",Alex Chriss
135,Advanced Micro Devices,Semiconductors and Other Electronic Components,"32,030,000,000", Santa Clara ,California,95054,amd.com,"28,000",Lisa Su
136,Nucor,Metals,"31,880,000,000", Charlotte ,North Carolina,28211,nucor.com,"32,700",Leon Topalian
137,United Natural Foods,Wholesalers: Food and Grocery,"31,750,000,000", Providence ,Rhode Island,2908,unfi.com,"28,333",Sandy Douglas
138,Oneok,Pipelines,"31,560,000,000", Tulsa ,Oklahoma,74103,oneok.com,"5,177",Pierce Norton II
139,Mastercard,Financial Data Services,"31,470,000,000", Purchase ,New York,10577,mastercard.com,"35,300",Michael Miebach
140,Duke Energy,Utilities: Gas and Electric,"31,240,000,000", Charlotte ,North Carolina,28202,duke-energy.com,"26,413",Harry Sideris
141,Ferguson,Wholesalers: Diversified,"31,160,000,000", Newport News ,Virginia,23606,ferguson.com,"35,000",Kevin Murphy
142,Penske Automotive,"Automotive Retailing, Services","30,680,000,000", Bloomfield Hills ,Michigan,48302,penskeautomotive.com,"28,938",Roger Penske
143,Jabil,Semiconductors and Other Electronic Components,"29,800,000,000", St. Petersburg ,Florida,33716,jabil.com,"138,000",Michael Dastoor
144,NRG Energy,Energy,"29,780,000,000", Houston ,Texas,77002,nrg.com,"15,637",Lawrence Coben
145,PBF Energy,Petroleum Refining,"29,540,000,000", Parsippany ,New Jersey,7054,pbfenergy.com,"3,855",Matthew Lucey
146,Paccar,Motor Vehicles & Parts,"29,530,000,000", Bellevue ,Washington,98004,paccar.com,"30,100",Preston Feight
147,Arrow Electronics,Wholesalers: Electronics and Office Equipment,"29,390,000,000", Centennial ,Colorado,80112,arrow.com,"21,520",Sean Kerins
148,Gilead Sciences,Pharmaceuticals,"29,090,000,000", Foster City ,California,94404,gilead.com,"17,600",Daniel O'Day
149,Southern,Utilities: Gas and Electric,"28,910,000,000", Atlanta ,Georgia,30308,southerncompany.com,"28,457",Christopher Womack
150,Capital One,Commercial Banks,"28,890,000,000", McLean ,Virginia,22102,capitalone.com,"52,600",Richard Fairbank
151,Paramount,Entertainment,"28,730,000,000", New York ,New York,10036,paramount.com,"20,350",David Ellison
152,Applied Materials,Semiconductors and Other Electronic Components,"28,370,000,000", Santa Clara ,California,95054,appliedmaterials.com,"35,700",Gary Dickerson
153,CarMax,"Automotive Retailing, Services","28,280,000,000", Richmond ,Virginia,23238,carmax.com,"29,836",William Nash
154,AutoNation,"Automotive Retailing, Services","27,920,000,000", Fort Lauderdale ,Florida,33301,autonation.com,"25,100",Michael Manley
155,Hartford Insurance,Insurance: Property and Casualty (Stock),"27,920,000,000", Hartford ,Connecticut,6155,thehartford.com,"19,100",Christopher Swift
156,Baker Hughes,"Oil and Gas Equipment, Services","27,710,000,000", Houston ,Texas,77079,bakerhughes.com,"57,000",Lorenzo Simonelli
157,Southwest Airlines,Airlines,"27,550,000,000", Dallas ,Texas,75235,southwest.com,"72,450",Robert Jordan
158,Apollo Global Management,Securities,"27,220,000,000", New York ,New York,10019,apollo.com,"5,108",Marc Rowan
159,Quanta Services,Engineering & Construction,"27,190,000,000", Houston ,Texas,77008,quantaservices.com,"58,400",Earl Austin Jr.
160,American International,Insurance: Property and Casualty (Stock),"27,120,000,000", New York ,New York,10020,aig.com,"22,200",Peter Zaffino
161,HF Sinclair,Petroleum Refining,"26,910,000,000", Dallas ,Texas,75219,hfsinclair.com,"5,297",Tim Go
162,Occidental Petroleum,"Mining, Crude-Oil Production","26,600,000,000", Houston ,Texas,77046,oxy.com,"13,323",Vicki Hollub
163,Marsh & McLennan,Diversified Financials,"26,450,000,000", New York ,New York,10036,marshmclennan.com,"90,000",John Doyle
164,NextEra Energy,Utilities: Gas and Electric,"26,300,000,000", Juno Beach ,Florida,33408,nexteraenergy.com,"16,800",John Ketchum
165,McDonald's,Food Services,"26,260,000,000", Chicago ,Illinois,60607,mcdonalds.com,"150,000",Christopher Kempczinski
166,Booking.com,Internet Services and Retailing,"26,040,000,000", Norwalk ,Connecticut,6854,bookingholdings.com,"24,179",Glenn Fogel
167,U.S. Bancorp,Commercial Banks,"26,010,000,000", Minneapolis ,Minnesota,55402,usbank.com,"70,263",Gunjan Kedia
168,Freeport-McMoRan,"Mining, Crude-Oil Production","26,000,000,000", Phoenix ,Arizona,85004,fcx.com,"28,500",Kathleen Quirk
169,Jones Lang LaSalle,Real Estate,"25,320,000,000", Chicago ,Illinois,60601,jll.com,"112,100",Christian Ulbrich
170,Kraft Heinz,Food Consumer Products,"25,160,000,000", Chicago ,Illinois,60601,kraftheinzcompany.com,"36,000",Carlos Abrams-Rivera
171,Marriott International,"Hotels, Casinos, Resorts","25,100,000,000", Bethesda ,Maryland,20814,marriott.com,"155,000",Anthony Capuano
172,Constellation Energy,Energy,"24,840,000,000", Baltimore ,Maryland,21231,constellationenergy.com,"14,240",Joseph Dominguez
173,3M,Chemicals,"24,830,000,000", St. Paul ,Minnesota,55144,3m.com,"61,500",William Brown
174,Waste Management,Waste Management,"24,780,000,000", Houston ,Texas,77002,wm.com,"61,700",James Fish Jr.
175,PG&E,Utilities: Gas and Electric,"24,760,000,000", Oakland ,California,94612,pgecorp.com,"28,410",Patricia Poppe
176,Live Nation Entertainment,Entertainment,"24,570,000,000", Beverly Hills ,California,90210,livenationentertainment.com,"24,200",Michael Rapino
177,Union Pacific,Railroads,"24,550,000,000", Omaha ,Nebraska,68179,up.com,"32,439",Jim Vena
178,Stryker,Medical Products and Equipment,"24,380,000,000", Portage ,Michigan,49002,stryker.com,"53,000",Kevin Lobo
179,International Paper,"Packaging, Containers","24,330,000,000", Memphis ,Tennessee,38197,internationalpaper.com,"37,000",Andrew Silvernail
180,Exelon,Utilities: Gas and Electric,"24,320,000,000", Chicago ,Illinois,60603,exeloncorp.com,"20,014",Calvin Butler Jr.
181,Danaher,Medical Products and Equipment,"24,270,000,000", Washington ,District Of Columbia,20037,danaher.com,"62,000",Rainer Blair
182,Genuine Parts,Wholesalers: Diversified,"24,060,000,000", Atlanta ,Georgia,30339,genpt.com,"63,000",William Stengel II
183,Block,Financial Data Services,"23,970,000,000", Oakland ,California,94612,block.xyz,"11,372",Jack Dorsey
184,Adobe,Computer Software,"23,770,000,000", San Jose ,California,95110,adobe.com,"30,709",Shantanu Narayen
185,Sherwin-Williams,Chemicals,"23,280,000,000", Cleveland ,Ohio,44115,sherwin-williams.com,"63,890",Heidi Petz
186,Lear,Motor Vehicles & Parts,"22,990,000,000", Southfield ,Michigan,48033,lear.com,"173,700",Raymond Scott
187,WESCO International,Wholesalers: Diversified,"22,940,000,000", Pittsburgh ,Pennsylvania,15219,wesco.com,"20,000",John Engel
188,Charles Schwab,Securities,"22,910,000,000", Westlake ,Texas,76262,aboutschwab.com,"32,100",Richard Wurster
189,BlackRock,Securities,"22,890,000,000", New York ,New York,10001,blackrock.com,"21,100",Laurence Fink
190,Macy's,General Merchandisers,"22,710,000,000", New York ,New York,10001,macysinc.com,"94,189",Tony Spring
191,EOG Resources,"Mining, Crude-Oil Production","22,650,000,000", Houston ,Texas,77002,eogresources.com,"3,150",Ezra Yacob
192,1 Automotive,"Automotive Retailing, Services","22,540,000,000", Houston ,Texas,77024,group1auto.com,"20,413",Daryl Kenningham
193,Avnet,Wholesalers: Electronics and Office Equipment,"22,500,000,000", Phoenix ,Arizona,85034,avnet.com,"15,462",Philip Gallagher
194,Reinsurance of America,"Insurance: Life, Health (Stock)","22,300,000,000", Chesterfield ,Missouri,63017,rgare.com,"4,100",Tony Cheng
195,KKR,Securities,"22,250,000,000", New York ,New York,10001,kkr.com,"4,834",Joseph Bae
196,Halliburton,"Oil and Gas Equipment, Services","22,140,000,000", Houston ,Texas,77032,halliburton.com,"48,000",Jeffrey Miller
197,CDW,Information Technology Services,"22,100,000,000", Vernon Hills ,Illinois,60061,cdw.com,"15,100",Christine Leahy
198,Carrier Global,Industrial Machinery,"22,060,000,000", Palm Beach Gardens ,Florida,33418,carrier.com,"48,000",David Gitlin
199,Ross Stores,Specialty Retailers: Apparel,"22,030,000,000", Dublin ,California,94568,rossstores.com,"107,000",James Conroy
200,Becton Dickinson,Medical Products and Equipment,"21,840,000,000", Franklin Lakes ,New Jersey,7417,bd.com,"74,000",Thomas Polen
201,PNC,Commercial Banks,"21,800,000,000", Pittsburgh ,Pennsylvania,15222,pnc.com,"54,435",William Demchak
202,L3Harris Technologies,Aerospace & Defense,"21,740,000,000", Melbourne ,Florida,32919,l3harris.com,"47,000",Christopher Kubasik
203,Newmont,"Mining, Crude-Oil Production","21,500,000,000", Denver ,Colorado,80237,newmont.com,"22,200",Thomas Palmer
204,American Family Insurance,Insurance: Property and Casualty (Stock),"21,339,000,000", Madison ,Wisconsin,53783,amfam.com,"11,073",William Westrate
205,American Electric Power,Utilities: Gas and Electric,"21,260,000,000", Columbus ,Ohio,43215,aep.com,"16,330",William Fehrman
206,BJ's Wholesale Club,General Merchandisers,"21,160,000,000", Marlborough ,Massachusetts,1752,bjs.com,"33,000",Robert Eddy
207,Fiserv,Financial Data Services,"21,160,000,000", Milwaukee ,Wisconsin,53203,fiserv.com,"38,000",Michael Lyons
208,Super Micro Computer,"Computers, Office Equipment","21,050,000,000", San Jose ,California,95131,supermicro.com,"5,684",Charles Liang
209,Amphenol,Network and Other Communications Equipment,"20,970,000,000", Wallingford ,Connecticut,6492,amphenol.com,"125,000",Adam Norwitt
210,Automatic Data Processing,Diversified Outsourcing Services,"20,900,000,000", Roseland ,New Jersey,7068,adp.com,"64,000",Maria Black
211,Cognizant Technology,Information Technology Services,"20,860,000,000", Teaneck ,New Jersey,7666,cognizant.com,"336,800",Ravi Kumar S
212,Tenet Healthcare,Health Care: Medical Facilities,"20,850,000,000", Dallas ,Texas,75254,tenethealth.com,"86,240",Saumya Sutaria
213,GE HealthCare Technologies,Medical Products and Equipment,"20,250,000,000", Chicago ,Illinois,60661,gehealthcare.com,"53,000",Peter Arduini
214,Altria,Tobacco,"20,170,000,000", Richmond ,Virginia,23230,altria.com,"6,200",Salvatore Mancuso
215,Colgate-Palmolive,Household and Personal Products,"20,100,000,000", New York ,New York,10022,colgatepalmolive.com,"34,000",Noel Wallace
216,Parker-Hannifin,Industrial Machinery,"20,030,000,000", Cleveland ,Ohio,44124,parker.com,"61,120",Jennifer Parmentier
217,Bank of New York,Commercial Banks,"19,730,000,000", New York ,New York,10286,bny.com,"51,800",Robin Vince
218,Kimberly-Clark,Household and Personal Products,"19,720,000,000", Irving ,Texas,75038,kimberly-clark.com,"38,000",Michael Hsu
219,Lam Research,Semiconductors and Other Electronic Components,"19,590,000,000", Fremont ,California,94538,lamresearch.com,"17,450",Timothy Archer
220,Intuit,Computer Software,"19,430,000,000", Mountain View ,California,94043,intuit.com,"24,200",Sasan Goodarzi
221,Boston Scientific,Medical Products and Equipment,"19,350,000,000", Marlborough ,Massachusetts,1752,bostonscientific.com,"53,000",Michael Mahoney
222,AutoZone,Specialty Retailers: Other,"19,290,000,000", Memphis ,Tennessee,38103,autozone.com,"100,800",Philip Daniele III
