customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status
C3703,Other,Teenager,Multan,10/30/2024,O7703,9/5/2023,McDonald's,Fries,Fast Food,4,1071.49,Card,39,6/4/2025,1,Active,2,2/15/2025,Delayed
C1727,Male,Adult,Multan,8/26/2023,O5727,9/5/2023,Burger King,Fries,Dessert,3,465.28,Wallet,4,6/6/2025,71,Active,4,6/15/2025,Delivered
C2154,Male,Teenager,Peshawar,11/13/2024,O6154,9/5/2023,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,9/5/2024,363,Active,2,4/27/2025,Delivered
C6419,Female,Senior,Peshawar,4/12/2025,O10419,9/5/2023,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,9/16/2024,183,Active,3,7/24/2025,Delivered
C6318,Male,Teenager,Islamabad,1/17/2025,O10318,9/6/2023,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,10/10/2024,185,Active,4,5/21/2025,Cancelled
C5633,Other,Adult,Lahore,5/20/2025,O9633,9/6/2023,KFC,Fries,Italian,5,218.68,Wallet,26,12/7/2024,249,Active,4,3/10/2025,Delivered
C5834,Other,Adult,Multan,10/6/2023,O9834,9/6/2023,Pizza Hut,Burger,Dessert,4,395.88,Card,37,11/11/2024,113,Inactive,3,4/16/2025,Delayed
C1356,Female,Teenager,Islamabad,10/13/2024,O5356,9/6/2023,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,8/16/2025,452,Inactive,1,8/25/2024,Delayed
C6282,Female,Senior,Lahore,3/18/2024,O10282,9/6/2023,KFC,Sandwich,Italian,5,626.86,Card,47,3/28/2025,117,Inactive,4,3/21/2025,Delayed
C3241,Other,Adult,Peshawar,8/10/2025,O7241,9/6/2023,McDonald's,Fries,Dessert,3,667.31,Cash,22,12/29/2024,375,Active,3,9/15/2024,Delivered
C4303,Male,Adult,Multan,12/18/2024,O8303,9/6/2023,KFC,Sandwich,Dessert,2,893.55,Cash,17,10/21/2024,497,Inactive,3,11/20/2024,Delayed
C6640,Female,Adult,Karachi,1/31/2025,O10640,9/6/2023,Subway,Pasta,Italian,1,368.03,Cash,25,12/19/2024,83,Inactive,4,12/21/2024,Delayed
C1410,Male,Teenager,Karachi,4/6/2025,O5410,9/7/2023,KFC,Fries,Fast Food,1,708.22,Cash,39,1/19/2025,441,Active,5,9/12/2024,Delayed
C2514,Male,Teenager,Multan,8/10/2024,O6514,9/7/2023,Burger King,Burger,Fast Food,3,892.81,Cash,25,7/2/2025,335,Inactive,4,2/20/2025,Cancelled
C5399,Other,Teenager,Lahore,4/12/2024,O9399,9/7/2023,Burger King,Burger,Continental,4,1043.78,Card,6,4/15/2025,114,Active,2,6/5/2025,Delayed
C5621,Other,Senior,Islamabad,5/28/2025,O9621,9/7/2023,Burger King,Fries,Italian,5,162.05,Wallet,27,1/24/2025,271,Inactive,2,6/9/2025,Cancelled
C2832,Other,Teenager,Peshawar,7/3/2024,O6832,9/7/2023,McDonald's,Pasta,Italian,4,792.08,Card,19,9/21/2024,296,Inactive,4,9/13/2024,Delivered
C6876,Female,Teenager,Islamabad,2/6/2025,O10876,9/7/2023,KFC,Pasta,Dessert,5,1356.66,Card,30,11/13/2024,470,Inactive,4,11/7/2024,Cancelled
C1577,Male,Senior,Karachi,8/19/2024,O5577,9/7/2023,KFC,Pizza,Italian,1,820.53,Card,18,5/24/2025,402,Inactive,1,8/21/2025,Delivered
C5668,Female,Adult,Multan,6/27/2025,O9668,9/7/2023,KFC,Burger,Fast Food,2,1115.36,Card,9,10/20/2024,294,Active,2,4/30/2025,Delayed
C1370,Male,Senior,Lahore,4/27/2025,O5370,9/7/2023,KFC,Pasta,Chinese,3,1186.98,Card,11,4/12/2025,134,Inactive,2,7/8/2025,Cancelled
C5722,Male,Teenager,Multan,6/26/2025,O9722,9/7/2023,Burger King,Fries,Continental,2,1215.67,Wallet,8,6/29/2025,186,Inactive,4,12/27/2024,Delivered
C6273,Male,Teenager,Peshawar,5/17/2025,O10273,9/7/2023,Burger King,Pizza,Chinese,2,614,Card,21,3/5/2025,52,Active,3,11/5/2024,Cancelled
C3949,Male,Adult,Peshawar,10/18/2024,O7949,9/8/2023,Burger King,Sandwich,Chinese,2,212.59,Cash,26,6/26/2025,302,Active,1,9/20/2024,Delivered
C1847,Male,Senior,Lahore,3/1/2024,O5847,9/8/2023,Subway,Fries,Continental,3,1097.28,Card,20,9/22/2024,22,Active,5,11/30/2024,Delayed
C6999,Female,Adult,Multan,5/16/2024,O10999,9/8/2023,Subway,Sandwich,Continental,2,1033.59,Card,1,1/16/2025,255,Active,1,10/6/2024,Delayed
C3717,Female,Senior,Islamabad,7/1/2024,O7717,9/9/2023,Burger King,Burger,Fast Food,4,466.04,Cash,27,9/25/2024,169,Inactive,1,4/10/2025,Cancelled
C6796,Other,Teenager,Lahore,2/27/2024,O10796,9/9/2023,KFC,Burger,Chinese,2,724.91,Cash,18,12/4/2024,438,Inactive,4,3/23/2025,Cancelled
C1799,Male,Adult,Multan,2/22/2025,O5799,9/9/2023,Burger King,Burger,Fast Food,3,1128.96,Card,12,8/17/2025,487,Active,3,5/13/2025,Cancelled
C3815,Male,Teenager,Karachi,4/7/2025,O7815,9/9/2023,Pizza Hut,Fries,Italian,5,122.84,Cash,43,5/24/2025,104,Active,5,3/29/2025,Delivered
C5637,Male,Senior,Lahore,11/29/2023,O9637,9/9/2023,Subway,Fries,Continental,3,440,Wallet,11,12/23/2024,497,Active,3,1/13/2025,Delivered
C2045,Male,Adult,Karachi,6/22/2024,O6045,9/9/2023,Burger King,Sandwich,Chinese,2,1207.62,Wallet,46,2/22/2025,91,Active,2,3/13/2025,Delivered
C4628,Female,Adult,Peshawar,3/20/2025,O8628,9/9/2023,McDonald's,Pizza,Continental,3,1147.65,Wallet,45,4/15/2025,353,Active,4,12/12/2024,Delivered
C4407,Other,Adult,Peshawar,8/31/2023,O8407,9/9/2023,Pizza Hut,Sandwich,Continental,5,1203.99,Wallet,1,4/17/2025,106,Inactive,4,7/2/2025,Delayed
C5061,Female,Teenager,Karachi,6/30/2024,O9061,9/9/2023,McDonald's,Burger,Chinese,2,1417.09,Card,46,1/1/2025,355,Active,3,3/5/2025,Cancelled
C4423,Male,Teenager,Karachi,6/21/2024,O8423,9/9/2023,Pizza Hut,Fries,Italian,5,1010.15,Cash,25,3/8/2025,461,Active,3,7/16/2025,Cancelled
C2522,Other,Teenager,Peshawar,3/25/2025,O6522,9/10/2023,KFC,Sandwich,Italian,4,589.82,Cash,28,12/11/2024,162,Inactive,2,8/7/2025,Delivered
C2161,Female,Senior,Karachi,1/20/2025,O6161,9/10/2023,KFC,Pizza,Fast Food,1,394.08,Card,1,2/6/2025,169,Inactive,4,12/14/2024,Delayed
C2167,Male,Senior,Multan,1/30/2025,O6167,9/10/2023,McDonald's,Sandwich,Italian,4,1460.35,Card,9,4/19/2025,315,Active,5,1/25/2025,Cancelled
C5088,Other,Senior,Lahore,9/25/2023,O9088,9/10/2023,Subway,Pasta,Fast Food,5,1397.42,Card,18,8/27/2024,36,Active,2,3/11/2025,Cancelled
C3941,Other,Adult,Lahore,10/3/2023,O7941,9/10/2023,Burger King,Sandwich,Italian,3,257.86,Wallet,47,1/25/2025,327,Inactive,5,7/27/2025,Cancelled
C2536,Female,Adult,Karachi,12/26/2023,O6536,9/10/2023,McDonald's,Burger,Fast Food,3,882.75,Wallet,16,1/28/2025,13,Active,4,10/8/2024,Delayed
C3321,Male,Teenager,Multan,5/10/2024,O7321,9/10/2023,Burger King,Pasta,Dessert,5,689.01,Card,3,3/8/2025,189,Inactive,3,12/20/2024,Cancelled
C1075,Male,Adult,Lahore,9/24/2023,O5075,9/10/2023,Subway,Pasta,Continental,2,1452.79,Cash,30,10/6/2024,382,Active,4,4/12/2025,Cancelled
