Sample,YZ3_AB_1,YZ3_AB_2,YZ3_AB_3,YZ1_AB_1,YZ1_AB_2,YZ1_AB_3,YZ4_AB_1,YZ4_AB_2,YZ4_AB_3,YZ6_AB_1,YZ6_AB_2,YZ6_AB_3,YZ8_A_1,YZ8_A_2,YZ8_A_3,YZ10_AB_1,YZ10_AB_2,YZ10_AB_3,YZ13_AB_1,YZ13_AB_2,YZ13_AB_3,YZ14_AB_1,YZ14_AB_2,YZ14_AB_3,YZ15_AB_1,YZ15_AB_2,YZ15_AB_3,YZ17_AB_1,YZ17_AB_2,YZ17_AB_3,YZ18_AB_1,YZ18_AB_2,YZ18_AB_3,YZ19_AB_1,YZ19_AB_2,YZ19_AB_3,YZ20_AB_1,YZ20_AB_2,YZ20_AB_3,YZ22_AB_1,YZ22_AB_2,YZ22_AB_3,YZ23_AB_1,YZ23_AB_2,YZ23_AB_3,YZ24_AB_1,YZ24_AB_2,YZ24_AB_3,YZ25_A_1,YZ25_A_2,YZ25_A_3
405.00,1.4621,1.4622,1.4623,1.4694,1.4691,1.4694,1.3695,1.3696,1.3698,1.4554,1.4558,1.4558,1.4645,1.4647,1.4647,1.4152,1.4148,1.4156,1.3128,1.3131,1.313,1.4714,1.4721,1.4718,1.3218,1.3226,1.3217,1.3105,1.3107,1.3107,1.411,1.4112,1.4111,1.4183,1.4188,1.4193,1.4504,1.4505,1.4505,1.4328,1.4332,1.4337,1.3892,1.3899,1.3893,1.3959,1.3959,1.3967,1.4346,1.4353,1.4352
405.50,1.4635,1.4636,1.4637,1.4711,1.4708,1.4712,1.3732,1.3733,1.3735,1.4559,1.4562,1.4563,1.4662,1.4665,1.4664,1.4162,1.4158,1.4166,1.3128,1.3131,1.313,1.4731,1.4738,1.4734,1.3255,1.3263,1.3256,1.3135,1.3137,1.3136,1.4119,1.4121,1.4121,1.4185,1.419,1.4194,1.4515,1.4516,1.4516,1.434,1.4344,1.4348,1.3893,1.39,1.3893,1.397,1.397,1.3978,1.4347,1.4354,1.4353
406.00,1.4647,1.4649,1.465,1.4728,1.4724,1.4729,1.3767,1.3769,1.3771,1.4563,1.4567,1.4567,1.4678,1.4681,1.4681,1.4171,1.4167,1.4176,1.3128,1.3131,1.313,1.4747,1.4754,1.475,1.3291,1.3299,1.3292,1.3163,1.3165,1.3164,1.4128,1.413,1.413,1.4186,1.4191,1.4196,1.4526,1.4527,1.4527,1.4351,1.4354,1.4359,1.3894,1.39,1.3894,1.398,1.3981,1.3988,1.4348,1.4355,1.4353
406.50,1.4659,1.4661,1.4663,1.4743,1.474,1.4745,1.3801,1.3802,1.3805,1.4567,1.4571,1.4572,1.4694,1.4697,1.4696,1.4179,1.4177,1.4184,1.3127,1.3131,1.313,1.4763,1.4769,1.4765,1.3324,1.3333,1.3327,1.3189,1.3191,1.3191,1.4136,1.4138,1.4138,1.4187,1.4192,1.4197,1.4535,1.4537,1.4537,1.4362,1.4365,1.4369,1.3895,1.39,1.3894,1.3989,1.399,1.3997,1.4349,1.4355,1.4353
407.00,1.467,1.4673,1.4674,1.4758,1.4754,1.4759,1.3832,1.3833,1.3837,1.4571,1.4575,1.4576,1.4708,1.4711,1.471,1.4187,1.4185,1.4192,1.3127,1.3131,1.313,1.4777,1.4783,1.4779,1.3356,1.3364,1.3359,1.3213,1.3216,1.3216,1.4143,1.4145,1.4146,1.4188,1.4194,1.4198,1.4544,1.4546,1.4546,1.4372,1.4374,1.4378,1.3895,1.39,1.3895,1.3998,1.3999,1.4005,1.4349,1.4356,1.4354
407.50,1.4681,1.4684,1.4685,1.4771,1.4767,1.4773,1.3862,1.3863,1.3867,1.4575,1.4578,1.458,1.4722,1.4725,1.4724,1.4195,1.4193,1.42,1.3127,1.3131,1.313,1.4791,1.4797,1.4792,1.3386,1.3394,1.339,1.3236,1.324,1.3239,1.415,1.4152,1.4153,1.4189,1.4195,1.4198,1.4553,1.4555,1.4554,1.4381,1.4383,1.4387,1.3895,1.39,1.3895,1.4006,1.4008,1.4013,1.435,1.4356,1.4354
408.00,1.4691,1.4694,1.4695,1.4784,1.478,1.4786,1.389,1.389,1.3895,1.4578,1.4582,1.4583,1.4734,1.4738,1.4737,1.4201,1.4201,1.4206,1.3127,1.3131,1.313,1.4803,1.4809,1.4804,1.3414,1.3422,1.3418,1.3258,1.3261,1.3261,1.4157,1.4158,1.416,1.419,1.4195,1.4199,1.4561,1.4563,1.4562,1.439,1.4391,1.4395,1.3896,1.39,1.3896,1.4014,1.4016,1.4021,1.435,1.4356,1.4354
408.50,1.47,1.4703,1.4705,1.4796,1.4792,1.4798,1.3916,1.3916,1.3921,1.4581,1.4585,1.4587,1.4746,1.475,1.4749,1.4208,1.4208,1.4212,1.3127,1.313,1.313,1.4815,1.4821,1.4816,1.3441,1.3448,1.3445,1.3278,1.3282,1.3282,1.4162,1.4164,1.4166,1.4191,1.4196,1.42,1.4569,1.457,1.457,1.4398,1.4399,1.4403,1.3896,1.39,1.3896,1.4021,1.4023,1.4027,1.435,1.4357,1.4354
409.00,1.4709,1.4712,1.4714,1.4807,1.4803,1.4809,1.3941,1.394,1.3946,1.4584,1.4588,1.459,1.4757,1.4761,1.476,1.4214,1.4214,1.4218,1.3126,1.313,1.313,1.4826,1.4832,1.4827,1.3465,1.3472,1.347,1.3296,1.3301,1.3301,1.4168,1.4169,1.4172,1.4192,1.4197,1.42,1.4576,1.4577,1.4577,1.4406,1.4406,1.441,1.3896,1.39,1.3897,1.4028,1.403,1.4034,1.4351,1.4357,1.4354
409.50,1.4717,1.4721,1.4722,1.4818,1.4814,1.482,1.3964,1.3963,1.3968,1.4587,1.4591,1.4593,1.4768,1.4771,1.4771,1.422,1.422,1.4223,1.3126,1.313,1.313,1.4837,1.4842,1.4837,1.3489,1.3495,1.3493,1.3314,1.3319,1.3319,1.4173,1.4174,1.4178,1.4193,1.4198,1.4201,1.4583,1.4584,1.4584,1.4413,1.4413,1.4417,1.3896,1.3899,1.3897,1.4034,1.4036,1.404,1.4351,1.4357,1.4355
410.00,1.4725,1.4729,1.473,1.4828,1.4824,1.4829,1.3985,1.3984,1.399,1.459,1.4593,1.4596,1.4778,1.4781,1.4781,1.4225,1.4226,1.4228,1.3126,1.313,1.3129,1.4846,1.4851,1.4847,1.3511,1.3516,1.3515,1.333,1.3335,1.3336,1.4178,1.4179,1.4183,1.4194,1.4198,1.4201,1.4589,1.459,1.459,1.442,1.442,1.4423,1.3897,1.3899,1.3897,1.404,1.4042,1.4045,1.4351,1.4357,1.4355
410.50,1.4732,1.4736,1.4737,1.4837,1.4834,1.4838,1.4005,1.4003,1.4009,1.4592,1.4596,1.4599,1.4787,1.479,1.4791,1.423,1.4231,1.4233,1.3126,1.3129,1.3129,1.4856,1.486,1.4856,1.3531,1.3536,1.3535,1.3345,1.3351,1.3352,1.4182,1.4183,1.4187,1.4195,1.4199,1.4202,1.4595,1.4596,1.4596,1.4426,1.4426,1.4429,1.3897,1.3899,1.3898,1.4045,1.4047,1.405,1.4351,1.4358,1.4355
411.00,1.4739,1.4743,1.4744,1.4845,1.4843,1.4847,1.4024,1.4021,1.4028,1.4595,1.4599,1.4602,1.4796,1.4798,1.48,1.4235,1.4236,1.4237,1.3126,1.3129,1.3129,1.4864,1.4869,1.4865,1.355,1.3554,1.3554,1.3359,1.3365,1.3367,1.4186,1.4187,1.4192,1.4196,1.4199,1.4202,1.4601,1.4601,1.4602,1.4431,1.4431,1.4435,1.3897,1.3899,1.3898,1.405,1.4052,1.4055,1.4351,1.4358,1.4356
411.50,1.4745,1.4749,1.475,1.4853,1.4851,1.4855,1.4041,1.4038,1.4045,1.4597,1.4601,1.4604,1.4804,1.4806,1.4808,1.4239,1.424,1.4241,1.3125,1.3129,1.3128,1.4872,1.4876,1.4873,1.3567,1.3571,1.3571,1.3372,1.3378,1.3381,1.419,1.4191,1.4196,1.4196,1.42,1.4203,1.4607,1.4607,1.4608,1.4437,1.4437,1.444,1.3897,1.3898,1.3898,1.4055,1.4057,1.406,1.4352,1.4358,1.4356
412.00,1.4751,1.4755,1.4756,1.4861,1.4859,1.4862,1.4057,1.4054,1.406,1.4599,1.4603,1.4606,1.4812,1.4814,1.4816,1.4243,1.4244,1.4245,1.3125,1.3129,1.3128,1.488,1.4884,1.488,1.3584,1.3587,1.3587,1.3385,1.339,1.3394,1.4193,1.4194,1.4199,1.4197,1.42,1.4203,1.4612,1.4611,1.4613,1.4442,1.4442,1.4445,1.3897,1.3898,1.3898,1.406,1.4061,1.4064,1.4352,1.4359,1.4357
412.50,1.4757,1.476,1.4761,1.4868,1.4867,1.4869,1.4072,1.4069,1.4075,1.4601,1.4605,1.4609,1.4819,1.4821,1.4823,1.4247,1.4247,1.4249,1.3125,1.3128,1.3127,1.4887,1.4891,1.4887,1.3599,1.3602,1.3602,1.3396,1.3402,1.3405,1.4196,1.4197,1.4203,1.4198,1.4201,1.4203,1.4617,1.4616,1.4618,1.4446,1.4446,1.4449,1.3897,1.3898,1.3899,1.4064,1.4066,1.4068,1.4352,1.4359,1.4357
413.00,1.4762,1.4765,1.4766,1.4875,1.4874,1.4875,1.4085,1.4083,1.4089,1.4603,1.4607,1.4611,1.4826,1.4827,1.483,1.425,1.4251,1.4252,1.3125,1.3128,1.3127,1.4893,1.4897,1.4894,1.3613,1.3616,1.3616,1.3407,1.3413,1.3416,1.4199,1.42,1.4206,1.4199,1.4201,1.4204,1.4622,1.4621,1.4623,1.4451,1.4451,1.4454,1.3897,1.3898,1.3899,1.4068,1.4069,1.4072,1.4352,1.4359,1.4358
413.50,1.4767,1.477,1.4771,1.4881,1.4881,1.4881,1.4098,1.4096,1.4101,1.4605,1.4609,1.4613,1.4832,1.4833,1.4837,1.4254,1.4254,1.4256,1.3124,1.3127,1.3127,1.4899,1.4903,1.49,1.3626,1.3629,1.3628,1.3417,1.3422,1.3427,1.4202,1.4203,1.4209,1.42,1.4201,1.4204,1.4626,1.4625,1.4627,1.4455,1.4455,1.4458,1.3898,1.3898,1.3899,1.4071,1.4073,1.4075,1.4352,1.4359,1.4358
414.00,1.4772,1.4774,1.4776,1.4887,1.4888,1.4886,1.411,1.4109,1.4113,1.4607,1.4611,1.4614,1.4838,1.4839,1.4843,1.4257,1.4256,1.4259,1.3124,1.3127,1.3126,1.4905,1.4909,1.4905,1.3638,1.3642,1.3641,1.3426,1.3432,1.3436,1.4205,1.4206,1.4211,1.42,1.4201,1.4205,1.463,1.4629,1.4632,1.4458,1.4458,1.4462,1.3898,1.3898,1.3899,1.4075,1.4076,1.4079,1.4353,1.436,1.4359
414.50,1.4776,1.4779,1.478,1.4893,1.4894,1.4892,1.4121,1.412,1.4124,1.4608,1.4612,1.4616,1.4843,1.4845,1.4848,1.426,1.4259,1.4262,1.3124,1.3126,1.3126,1.4911,1.4915,1.4911,1.365,1.3653,1.3652,1.3435,1.344,1.3445,1.4207,1.4208,1.4214,1.4201,1.4202,1.4205,1.4634,1.4633,1.4636,1.4462,1.4462,1.4466,1.3898,1.3898,1.3899,1.4078,1.4079,1.4082,1.4353,1.436,1.4359
415.00,1.4781,1.4783,1.4784,1.4898,1.49,1.4897,1.4131,1.4131,1.4135,1.461,1.4614,1.4618,1.4848,1.485,1.4854,1.4263,1.4261,1.4264,1.3123,1.3126,1.3126,1.4916,1.492,1.4916,1.366,1.3664,1.3663,1.3444,1.3448,1.3453,1.4209,1.4211,1.4216,1.4202,1.4202,1.4206,1.4638,1.4636,1.464,1.4465,1.4465,1.4469,1.3898,1.3898,1.3899,1.4081,1.4082,1.4085,1.4353,1.436,1.436
415.50,1.4785,1.4786,1.4788,1.4903,1.4905,1.4902,1.4141,1.4141,1.4145,1.4612,1.4615,1.462,1.4853,1.4855,1.4859,1.4265,1.4263,1.4267,1.3123,1.3126,1.3125,1.4921,1.4925,1.4921,1.367,1.3674,1.3673,1.3452,1.3456,1.3461,1.4212,1.4213,1.4218,1.4203,1.4203,1.4206,1.4641,1.464,1.4644,1.4468,1.4469,1.4472,1.3898,1.3898,1.3899,1.4084,1.4085,1.4088,1.4353,1.436,1.436
416.00,1.4789,1.479,1.4792,1.4908,1.491,1.4907,1.415,1.4151,1.4154,1.4613,1.4617,1.4621,1.4858,1.486,1.4863,1.4268,1.4265,1.427,1.3123,1.3125,1.3125,1.4926,1.4929,1.4926,1.368,1.3683,1.3682,1.3459,1.3463,1.3468,1.4214,1.4216,1.422,1.4203,1.4203,1.4207,1.4645,1.4643,1.4648,1.4471,1.4472,1.4475,1.3898,1.3898,1.3899,1.4087,1.4088,1.4091,1.4353,1.4361,1.4361
416.50,1.4793,1.4794,1.4795,1.4913,1.4915,1.4911,1.4159,1.416,1.4163,1.4615,1.4618,1.4623,1.4863,1.4864,1.4868,1.427,1.4268,1.4272,1.3123,1.3125,1.3125,1.4931,1.4934,1.4931,1.3689,1.3692,1.3691,1.3467,1.347,1.3475,1.4216,1.4218,1.4222,1.4204,1.4204,1.4208,1.4648,1.4647,1.4651,1.4474,1.4475,1.4478,1.3898,1.3899,1.3899,1.409,1.409,1.4093,1.4354,1.4361,1.4361
417.00,1.4796,1.4797,1.4799,1.4917,1.4919,1.4916,1.4168,1.4169,1.4171,1.4617,1.462,1.4625,1.4867,1.4869,1.4872,1.4273,1.427,1.4274,1.3122,1.3125,1.3124,1.4936,1.4938,1.4935,1.3697,1.3701,1.37,1.3473,1.3477,1.3482,1.4219,1.422,1.4224,1.4205,1.4205,1.4209,1.4651,1.465,1.4655,1.4477,1.4478,1.4481,1.3899,1.3899,1.3899,1.4092,1.4093,1.4096,1.4354,1.4362,1.4362
417.50,1.48,1.4801,1.4802,1.4922,1.4924,1.492,1.4176,1.4177,1.4179,1.4618,1.4621,1.4626,1.4872,1.4873,1.4877,1.4275,1.4272,1.4277,1.3122,1.3125,1.3124,1.4941,1.4942,1.494,1.3706,1.3709,1.3709,1.348,1.3483,1.3488,1.4221,1.4223,1.4226,1.4206,1.4206,1.4209,1.4654,1.4653,1.4658,1.448,1.4481,1.4484,1.3899,1.3899,1.3899,1.4095,1.4095,1.4099,1.4354,1.4362,1.4363
418.00,1.4804,1.4804,1.4806,1.4927,1.4928,1.4925,1.4184,1.4185,1.4187,1.462,1.4623,1.4628,1.4876,1.4877,1.4881,1.4278,1.4274,1.4279,1.3122,1.3125,1.3124,1.4945,1.4946,1.4945,1.3714,1.3717,1.3717,1.3486,1.349,1.3494,1.4223,1.4225,1.4228,1.4206,1.4207,1.421,1.4658,1.4657,1.4662,1.4483,1.4483,1.4487,1.3899,1.39,1.39,1.4098,1.4098,1.4102,1.4355,1.4363,1.4363
418.50,1.4807,1.4808,1.4809,1.4931,1.4932,1.4929,1.4192,1.4193,1.4195,1.4622,1.4625,1.463,1.4881,1.4882,1.4885,1.428,1.4276,1.4281,1.3122,1.3125,1.3124,1.495,1.495,1.4949,1.3722,1.3725,1.3725,1.3493,1.3496,1.35,1.4225,1.4227,1.423,1.4207,1.4208,1.4211,1.4661,1.466,1.4665,1.4486,1.4486,1.4489,1.39,1.3901,1.39,1.41,1.41,1.4104,1.4355,1.4364,1.4364
419.00,1.4811,1.4811,1.4813,1.4936,1.4936,1.4934,1.42,1.42,1.4203,1.4623,1.4627,1.4631,1.4885,1.4886,1.4889,1.4282,1.4278,1.4283,1.3122,1.3125,1.3124,1.4954,1.4954,1.4954,1.373,1.3733,1.3733,1.3499,1.3502,1.3506,1.4228,1.4229,1.4232,1.4208,1.4209,1.4212,1.4664,1.4663,1.4668,1.4489,1.4489,1.4492,1.39,1.3901,1.39,1.4103,1.4103,1.4107,1.4356,1.4365,1.4365
419.50,1.4814,1.4815,1.4816,1.4941,1.4941,1.4939,1.4208,1.4208,1.4211,1.4625,1.4629,1.4633,1.489,1.489,1.4894,1.4285,1.428,1.4286,1.3122,1.3125,1.3124,1.4958,1.4958,1.4958,1.3739,1.3741,1.3741,1.3505,1.3508,1.3512,1.423,1.4231,1.4235,1.4209,1.4211,1.4213,1.4668,1.4667,1.4672,1.4492,1.4492,1.4495,1.3901,1.3902,1.39,1.4106,1.4106,1.411,1.4356,1.4366,1.4365
420.00,1.4818,1.4819,1.482,1.4945,1.4945,1.4943,1.4216,1.4216,1.4218,1.4627,1.4631,1.4635,1.4895,1.4895,1.4898,1.4287,1.4283,1.4288,1.3122,1.3126,1.3124,1.4963,1.4963,1.4963,1.3747,1.3749,1.375,1.3512,1.3514,1.3518,1.4233,1.4234,1.4237,1.421,1.4212,1.4214,1.4671,1.467,1.4675,1.4495,1.4495,1.4498,1.3902,1.3903,1.3901,1.4109,1.4109,1.4113,1.4357,1.4367,1.4366
420.50,1.4822,1.4823,1.4823,1.495,1.4949,1.4948,1.4224,1.4224,1.4226,1.4629,1.4633,1.4637,1.49,1.49,1.4903,1.4289,1.4285,1.4291,1.3123,1.3126,1.3124,1.4968,1.4967,1.4968,1.3755,1.3757,1.3758,1.3518,1.3521,1.3525,1.4235,1.4236,1.4239,1.4211,1.4213,1.4215,1.4675,1.4674,1.4679,1.4498,1.4498,1.4501,1.3902,1.3903,1.3901,1.4112,1.4112,1.4116,1.4358,1.4368,1.4367
421.00,1.4825,1.4827,1.4827,1.4955,1.4954,1.4953,1.4232,1.4232,1.4234,1.4631,1.4635,1.4639,1.4904,1.4904,1.4907,1.4292,1.4288,1.4293,1.3123,1.3127,1.3125,1.4973,1.4971,1.4972,1.3764,1.3766,1.3766,1.3525,1.3527,1.3531,1.4238,1.4239,1.4242,1.4212,1.4215,1.4216,1.4678,1.4677,1.4682,1.4501,1.4501,1.4504,1.3903,1.3904,1.3902,1.4115,1.4115,1.4119,1.436,1.4369,1.4368
421.50,1.4829,1.4831,1.4831,1.496,1.4958,1.4958,1.424,1.424,1.4243,1.4633,1.4638,1.4641,1.491,1.4909,1.4912,1.4295,1.429,1.4296,1.3123,1.3127,1.3125,1.4978,1.4976,1.4977,1.3773,1.3774,1.3775,1.3531,1.3534,1.3538,1.424,1.4241,1.4244,1.4213,1.4216,1.4218,1.4682,1.4681,1.4686,1.4505,1.4505,1.4507,1.3904,1.3905,1.3902,1.4118,1.4118,1.4122,1.4361,1.437,1.4369
422.00,1.4833,1.4835,1.4835,1.4966,1.4963,1.4963,1.4249,1.4249,1.4252,1.4635,1.464,1.4643,1.4915,1.4914,1.4917,1.4297,1.4293,1.4299,1.3124,1.3128,1.3126,1.4983,1.4981,1.4982,1.3782,1.3784,1.3784,1.3538,1.3541,1.3545,1.4243,1.4244,1.4247,1.4215,1.4218,1.4219,1.4686,1.4685,1.469,1.4508,1.4508,1.451,1.3904,1.3906,1.3903,1.4121,1.4122,1.4126,1.4363,1.4371,1.437
422.50,1.4838,1.4839,1.4839,1.4971,1.4969,1.4969,1.4258,1.4259,1.4261,1.4637,1.4643,1.4646,1.492,1.492,1.4922,1.43,1.4296,1.4302,1.3124,1.3128,1.3126,1.4988,1.4986,1.4988,1.3792,1.3793,1.3794,1.3546,1.3548,1.3552,1.4246,1.4247,1.425,1.4216,1.4219,1.4221,1.469,1.4689,1.4693,1.4512,1.4512,1.4514,1.3905,1.3907,1.3904,1.4124,1.4125,1.4129,1.4365,1.4373,1.4371
423.00,1.4842,1.4843,1.4843,1.4977,1.4974,1.4974,1.4268,1.4268,1.427,1.464,1.4645,1.4648,1.4926,1.4925,1.4928,1.4303,1.43,1.4305,1.3125,1.3129,1.3126,1.4994,1.4992,1.4993,1.3801,1.3803,1.3803,1.3553,1.3556,1.356,1.4249,1.425,1.4253,1.4218,1.4221,1.4223,1.4694,1.4693,1.4697,1.4516,1.4516,1.4517,1.3906,1.3907,1.3905,1.4128,1.4129,1.4133,1.4367,1.4374,1.4372
423.50,1.4846,1.4848,1.4848,1.4982,1.498,1.498,1.4277,1.4279,1.428,1.4642,1.4648,1.4651,1.4931,1.4931,1.4933,1.4306,1.4303,1.4308,1.3125,1.3129,1.3127,1.4999,1.4997,1.4999,1.3811,1.3813,1.3813,1.3561,1.3564,1.3568,1.4252,1.4253,1.4256,1.422,1.4222,1.4224,1.4698,1.4698,1.4702,1.452,1.452,1.4521,1.3907,1.3908,1.3906,1.4132,1.4133,1.4136,1.4369,1.4375,1.4374
424.00,1.4851,1.4853,1.4853,1.4988,1.4985,1.4986,1.4288,1.4289,1.4291,1.4645,1.4651,1.4654,1.4937,1.4936,1.4939,1.4309,1.4306,1.4311,1.3125,1.313,1.3128,1.5005,1.5003,1.5004,1.3822,1.3823,1.3824,1.3569,1.3572,1.3575,1.4255,1.4256,1.4259,1.4222,1.4224,1.4226,1.4703,1.4702,1.4706,1.4524,1.4524,1.4525,1.3908,1.3909,1.3908,1.4135,1.4137,1.414,1.4371,1.4377,1.4375
424.50,1.4856,1.4857,1.4858,1.4994,1.4991,1.4992,1.4298,1.43,1.4301,1.4648,1.4653,1.4657,1.4943,1.4942,1.4945,1.4313,1.431,1.4315,1.3126,1.313,1.3128,1.5012,1.5009,1.501,1.3832,1.3834,1.3835,1.3578,1.3581,1.3584,1.4258,1.4259,1.4262,1.4223,1.4225,1.4228,1.4707,1.4707,1.471,1.4529,1.4529,1.4529,1.3909,1.391,1.3909,1.414,1.4141,1.4144,1.4374,1.4378,1.4377
425.00,1.4861,1.4862,1.4863,1.5,1.4998,1.4998,1.4309,1.4311,1.4312,1.4651,1.4656,1.4659,1.4949,1.4948,1.4951,1.4316,1.4314,1.4318,1.3126,1.3131,1.3129,1.5018,1.5015,1.5016,1.3843,1.3846,1.3846,1.3586,1.3589,1.3592,1.4261,1.4262,1.4265,1.4225,1.4227,1.423,1.4711,1.4711,1.4715,1.4533,1.4533,1.4534,1.391,1.3911,1.391,1.4144,1.4146,1.4149,1.4376,1.438,1.4378
