Sample,Sample Type,Carbonate Type,Location,Latitude,Longitude,Altitude（m）,Age(Ma),Age1(Ma),Period,Stage,Soil depth(cm),Burial depth（m）,N,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Temperature,δ18O water,Δ47Diagenetic alteration,reference
L24,calcareous sinter,calcite,Liptovský Ján,49.03 ,19.78 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,11,8.40 ,-9.10 ,,0.650 ,7.00 ,-13.90 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
N12,calcareous sinter,calcite,Vyšné Ružbachy,49.07 ,21.06 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,6.50 ,-10.10 ,,0.604 ,21.00 ,-11.60 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
N13,calcareous sinter,calcite,Vyšné Ružbachy,49.07 ,21.06 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,11,6.20 ,-12.10 ,,0.609 ,19.00 ,-14.00 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
N27,calcareous sinter,calcite,Gánovce,49.10 ,21.08 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,11,8.00 ,-8.90 ,,0.615 ,17.00 ,-11.40 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
N29,calcareous sinter,calcite,Gánovce,49.10 ,21.08 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,10,9.20 ,-9.30 ,,0.618 ,17.00 ,-11.70 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
N32,calcareous sinter,calcite, Sivá brada,49.07 ,21.12 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,10,10.10 ,-8.50 ,,0.608 ,20.00 ,-10.20 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
S14,calcareous sinter,calcite,Liptovské Sliače,49.02 ,19.77 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,6.50 ,-7.80 ,,0.655 ,6.00 ,-13.00 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
S19,calcareous sinter,calcite,Liptovské Sliače,49.02 ,19.77 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,7.50 ,-8.60 ,,0.613 ,18.00 ,-10.80 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
STV38,calcareous sinter,calcite,Santovka，Slovakia,48.18 ,18.98 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,7.20 ,-8.60 ,,0.638 ,10.00 ,-12.70 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
STV5,calcareous sinter,calcite,Santovka，Slovakia,48.18 ,18.98 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,6.40 ,-9.00 ,,0.571 ,32.00 ,-8.10 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
2018TR77,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,449,50,50,Eocene,Ypresian,40,,3,-7.50 ,-10.30 ,/,0.664 ,33.80 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR01,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,251,46,46,Eocene,Lutetian,40,,3,-4.90 ,-10.60 ,,0.656 ,35.90 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR131,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,1125,49,49,Eocene,Ypresian,40,,4,-5.30 ,-10.90 ,,0.670 ,31.30 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR132,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,1310,48,48,Eocene,Ypresian,40,,2,-5.20 ,-10.90 ,,0.674 ,30.00 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR134,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,3398,47,47,Eocene,Lutetian,40,,3,-4.70 ,-13.30 ,,0.695 ,24.40 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR135,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,261,47,47,Eocene,Lutetian,40,,3,-3.40 ,-10.70 ,,0.653 ,36.90 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR136,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,4027,47,47,Eocene,Lutetian,40,,4,-8.40 ,-12.90 ,,0.722 ,15.50 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR60,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,2804,39,39,Eocene,Bartonian,40,,3,-5.70 ,-12.50 ,,0.684 ,25.30 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR05,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,498,45,45,Eocene,Lutetian,40,,3,-5.00 ,-10.80 ,,0.660 ,35.60 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR102,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,3613,34,34,Eocene,Priabonian,40,,3,-7.50 ,-13.20 ,,0.699 ,21.70 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR104,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,3232,34,34,Eocene,Priabonian,40,,4,-6.70 ,-12.70 ,,0.701 ,22.90 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR95,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,4599,36,36,Eocene,Priabonian,40,,3,-7.50 ,-14.40 ,,0.718 ,18.30 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR97,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,3886,37,37,Eocene,Priabonian,40,,4,-7.10 ,-13.50 ,,0.705 ,20.80 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR99,paleosol nodule,calcite,Relu Basin in eastern Tibet，China,29.03 ,100.40 ,3729,38,38,Eocene,Bartonian,40,,3,-6.10 ,-12.70 ,,0.702 ,18.40 ,,0,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
BZG-J2z-2(1),paleosol nodule,calcite,Ordos Basin，China,37.00 ,108.00 ,Ordos Basin in western NC resided at relatively high paleoelevation similar to today (>1.5 km) during the Middle Jurassic-late Early Cretaceous,165,165,Jurassic,Callovian,,,3,-3.30 ,-9.70 ,/,0.525 ,52.00 ,,1,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
HS-J2s-07(1),paleosol nodule,calcite,Hefei Basin，China,31.53 ,116.30 ,whereas the Hefei Basin in eastern NC experienced an obvious paleoelevation decrease,166,166,Jurassic,Bathonian,,,3,-0.70 ,-7.40 ,/,0.569 ,34.00 ,,1,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
HS-J2s-07(2),paleosol nodule,calcite,Hefei Basin，China,31.53 ,116.30 ,whereas the Hefei Basin in eastern NC experienced an obvious paleoelevation decrease,166,166,Jurassic,Bathonian,,,3,-0.30 ,-6.20 ,/,0.566 ,35.00 ,,1,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
HS-K1h-01(2),paleosol nodule,calcite,Hefei Basin，China,31.53 ,116.30 ,whereas the Hefei Basin in eastern NC experienced an obvious paleoelevation decrease,120,120,Cretaceous,Aptian,,,3,-4.00 ,-11.90 ,/,0.518 ,55.00 ,,1,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
HS-K1h-04(1),paleosol nodule,calcite,Hefei Basin，China,31.53 ,116.30 ,whereas the Hefei Basin in eastern NC experienced an obvious paleoelevation decrease,116.2,116.2,Cretaceous,Aptian,,,3,-6.10 ,-10.40 ,/,0.566 ,35.00 ,,1,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
HS-K1h-04(3),paleosol nodule,calcite,Hefei Basin，China,31.53 ,116.30 ,whereas the Hefei Basin in eastern NC experienced an obvious paleoelevation decrease,116,116,Cretaceous,Aptian,,,4,-5.20 ,-10.30 ,/,0.548 ,42.00 ,,1,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
LX-K1-2(2),paleosol nodule,calcite,Ordos Basin，China,37.00 ,108.00 ,Ordos Basin in western NC resided at relatively high paleoelevation similar to today (>1.5 km) during the Middle Jurassic-late Early Cretaceous,118,118,Cretaceous,Aptian,,,3,-5.40 ,-6.50 ,/,0.591 ,26.00 ,,0,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
LX-K1-5(1),paleosol nodule,calcite,Ordos Basin，China,37.00 ,108.00 ,Ordos Basin in western NC resided at relatively high paleoelevation similar to today (>1.6 km) during the Middle Jurassic-late Early Cretaceous,117,117,Cretaceous,Aptian,,,3,-3.00 ,-8.20 ,/,0.580 ,30.00 ,,0,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
LX-K1-5(2),paleosol nodule,calcite,Ordos Basin，China,37.00 ,108.00 ,Ordos Basin in western NC resided at relatively high paleoelevation similar to today (>1.7 km) during the Middle Jurassic-late Early Cretaceous,116,116,Cretaceous,Aptian,,,3,-3.80 ,-8.40 ,/,0.591 ,26.00 ,,0,"Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
LWJ-141,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,55.9,55.9,Paleogene,Ypresian,,2.82,1,-6.88 ,-8.76 ,/,0.668 ,34.22 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-143,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56,56,Paleogene,Ypresian,,2.86,2,-6.94 ,-8.72 ,/,0.672 ,33.43 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-147,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.12,56.12,Paleogene,Thanetian,,2.94,4,-6.58 ,-8.67 ,/,0.671 ,33.56 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-150,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.14,56.14,Paleogene,Thanetian,,3,4,-6.54 ,-8.38 ,/,0.684 ,30.65 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-156,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.18,56.18,Paleogene,Thanetian,,3.12,3,-7.15 ,-9.69 ,/,0.684 ,30.74 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-159,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.21,56.21,Paleogene,Thanetian,,3.18,3,-8.22 ,-8.82 ,/,0.653 ,37.73 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-196,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.25,56.25,Paleogene,Thanetian,,3.92,3,-10.10 ,-1.74 ,/,0.642 ,40.52 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-197,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.29,56.29,Paleogene,Thanetian,,3.94,3,-9.96 ,-2.04 ,/,0.643 ,40.29 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-208,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.31,56.31,Paleogene,Thanetian,,4.16,2,-9.59 ,-3.47 ,/,0.650 ,38.43 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
LWJ-212,lake carbonate,calcite,"Jianghan Basin,China",21.25 ,111.37 ,low elevation,56.32,56.32,Paleogene,Thanetian,,4.24,2,-6.37 ,-8.40 ,/,0.662 ,35.79 ,,0,"Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
