EmployeeID,Age,Department,JobLevel,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,PromotionLast5Years,PerformanceRating,TrainingHoursLastYear,Attrition
EMP0121,28,HR,2,5,6030,4,3,Yes,1.4,No,3,25,No
EMP0122,52,Operations,2,7,6438,5,3,Yes,9.6,No,3,10,No
EMP0123,23,Engineering,1,1,6686,3,3,No,16.4,No,2,14,No
EMP0124,43,Engineering,3,13,12977,3,2,Yes,7.8,No,2,8,No
EMP0125,59,Marketing,2,6,7935,3,4,No,15.0,No,3,7,Yes
EMP0126,28,Operations,2,5,5887,4,4,No,2.3,No,3,21,No
EMP0127,32,Finance,2,3,8109,3,3,No,23.5,No,3,18,No
EMP0128,38,Sales,1,0,5663,2,3,No,12.3,Yes,3,18,No
EMP0129,32,Finance,2,8,8481,3,4,Yes,3.3,No,2,9,No
EMP0130,22,HR,1,0,3890,3,3,No,10.8,No,2,17,No
EMP0131,38,HR,3,14,9994,5,3,No,7.2,No,4,9,No
EMP0132,27,Marketing,1,0,4780,4,3,Yes,5.0,No,3,14,No
EMP0133,42,Finance,5,19,16920,4,1,No,1.6,No,2,17,No
EMP0134,28,Operations,1,2,4385,3,3,No,6.0,No,3,13,No
EMP0135,53,Marketing,3,22,12473,2,2,No,6.1,No,2,11,No
EMP0136,30,Marketing,2,4,7132,5,2,No,6.6,No,3,15,No
EMP0137,34,Engineering,2,4,9461,3,4,No,10.1,No,2,14,Yes
EMP0138,46,Sales,2,3,6552,4,3,No,19.4,No,4,13,No
EMP0139,25,IT,1,0,5903,4,3,Yes,18.1,No,1,17,No
EMP0140,40,HR,4,13,10541,5,2,No,5.1,No,3,15,No
EMP0141,51,Marketing,4,25,14082,2,1,Yes,3.5,No,2,19,No
EMP0142,22,Operations,1,0,3102,4,3,No,7.2,No,2,12,No
EMP0143,39,Sales,3,7,9264,3,3,No,3.2,No,3,5,No
EMP0144,40,Operations,1,1,3442,2,3,No,3.4,No,3,13,No
EMP0145,45,Operations,3,7,8992,4,4,No,14.6,No,4,14,No
EMP0146,25,Operations,1,0,4263,4,4,No,16.5,No,2,20,No
EMP0147,24,Sales,1,0,5512,1,4,No,4.5,No,2,13,No
EMP0148,43,HR,1,3,4158,4,3,No,6.5,No,4,20,No
EMP0149,40,Sales,4,18,13467,2,1,No,8.7,No,2,19,No
EMP0150,40,Marketing,2,4,7454,4,4,No,12.3,No,3,14,No
EMP0151,41,Finance,2,4,8764,4,4,No,4.1,No,3,13,No
EMP0152,31,Sales,2,4,7172,4,3,No,5.8,No,3,19,No
EMP0153,40,Finance,3,18,11682,2,2,Yes,5.0,No,2,17,No
EMP0154,40,Engineering,3,11,14046,4,1,No,11.1,No,2,12,Yes
EMP0155,30,Operations,1,3,5459,2,3,No,9.1,No,1,16,No
EMP0156,56,Marketing,1,0,5198,4,3,Yes,2.9,No,2,21,No
EMP0157,42,Engineering,3,6,12364,2,1,No,16.6,No,3,15,No
EMP0158,26,Engineering,1,0,6136,4,4,No,19.8,No,2,15,No
EMP0159,44,Operations,1,1,4793,5,3,Yes,2.8,No,3,14,Yes
EMP0160,28,HR,1,2,4378,3,3,No,11.1,No,2,13,No
EMP0161,45,Engineering,2,6,8779,4,3,No,2.3,No,3,18,No
EMP0162,49,Sales,5,16,14049,3,2,No,21.1,No,4,16,No
EMP0163,29,Engineering,1,2,6038,4,4,No,16.4,No,3,15,No
EMP0164,47,Operations,2,2,6496,4,1,No,7.6,No,3,18,No
EMP0165,42,Operations,2,5,6103,3,3,No,6.0,No,3,10,No
EMP0166,46,Sales,4,21,13123,2,3,No,7.1,No,2,11,No
EMP0167,56,Engineering,3,28,14295,5,2,No,2.9,No,3,9,No
EMP0168,35,Sales,1,1,5035,4,3,Yes,12.5,No,2,20,No
EMP0169,30,IT,1,1,5340,4,2,No,15.5,No,2,12,No
EMP0170,29,Marketing,3,5,10051,3,4,No,8.2,No,4,12,No
EMP0171,29,Operations,1,1,4408,3,3,Yes,16.6,No,2,18,No
EMP0172,37,Finance,2,4,8821,4,4,No,18.6,No,4,11,No
EMP0173,41,Operations,3,14,9584,2,4,No,10.1,No,3,14,No
EMP0174,40,IT,2,3,8976,5,4,Yes,2.4,No,3,12,Yes
EMP0175,46,Sales,5,20,14774,2,3,Yes,5.4,No,2,13,No
EMP0176,38,IT,1,0,6014,4,4,Yes,6.4,No,2,18,No
EMP0177,52,Operations,3,14,8764,3,1,No,17.7,Yes,3,21,No
EMP0178,35,Engineering,1,0,5678,4,2,Yes,7.1,No,3,15,No
EMP0179,60,Operations,4,13,11108,3,2,Yes,12.7,No,3,24,No
EMP0180,44,Finance,3,18,13285,3,2,No,6.7,No,2,14,No
EMP0181,29,Operations,1,1,4522,3,1,No,11.4,No,3,17,Yes
EMP0182,27,Sales,2,3,5890,2,3,Yes,7.8,No,3,16,Yes
EMP0183,42,Marketing,1,1,5368,5,3,No,14.4,No,4,19,No
EMP0184,35,Sales,2,5,6611,5,3,No,1.0,No,3,15,No
EMP0185,45,Operations,2,12,7284,3,3,Yes,5.3,No,2,11,No
EMP0186,42,IT,5,16,17450,3,4,Yes,4.9,No,3,13,No
EMP0187,37,Finance,2,5,8588,4,4,No,12.2,No,3,20,No
EMP0188,29,HR,2,4,5811,4,3,No,14.0,Yes,3,11,No
EMP0189,22,Finance,1,0,4626,5,1,No,13.5,No,3,17,No
EMP0190,33,Engineering,3,5,11461,3,3,No,2.9,No,3,15,No
EMP0191,46,Marketing,2,4,7488,4,3,No,7.6,No,3,13,No
EMP0192,40,Finance,3,6,11516,3,1,No,5.7,No,3,20,No
EMP0193,25,Sales,1,0,4521,4,2,No,25.9,Yes,3,18,No
EMP0194,39,Sales,4,12,12289,3,2,No,3.0,No,1,14,No
EMP0195,41,Finance,4,18,15858,4,3,No,3.8,Yes,2,13,No
EMP0196,29,Engineering,2,5,8596,3,2,No,21.4,No,3,13,No
EMP0197,39,Operations,1,0,4935,3,3,No,11.6,No,3,10,No
EMP0198,38,Engineering,3,12,13066,3,3,No,4.3,No,4,18,No
EMP0199,26,Sales,2,2,5490,5,4,Yes,21.1,No,4,18,No
EMP0200,41,Marketing,2,6,7806,4,3,No,1.2,No,2,17,No
EMP0201,43,Finance,4,19,15302,4,3,No,13.6,No,3,11,No
EMP0202,48,Marketing,2,2,7468,4,1,Yes,9.2,No,3,12,No
EMP0203,48,Finance,4,25,16678,4,3,No,15.3,No,2,18,No
EMP0204,24,HR,1,0,4295,3,3,Yes,10.3,No,4,18,No
EMP0205,28,Finance,1,0,4785,3,2,No,18.7,No,3,20,No
EMP0206,43,Sales,2,7,7746,3,2,No,16.2,No,3,18,No
EMP0207,43,Engineering,4,16,15028,2,4,No,9.4,No,2,13,No
EMP0208,43,Sales,4,12,11423,3,2,Yes,3.4,No,2,15,No
EMP0209,60,Sales,3,13,10599,4,4,Yes,4.5,No,1,12,No
EMP0210,43,Sales,1,4,5592,1,2,No,3.3,No,2,13,No
EMP0211,49,Sales,4,25,13669,2,2,No,10.9,No,3,10,Yes
EMP0212,47,IT,4,23,15847,5,3,Yes,9.4,No,2,18,No
EMP0213,44,Engineering,3,21,13849,5,2,No,4.1,No,2,15,No
EMP0214,34,Sales,3,6,8943,3,3,No,23.0,No,2,9,No
EMP0215,45,Operations,4,23,12406,4,3,Yes,5.7,No,3,13,No
EMP0216,30,Engineering,3,5,12117,2,4,No,21.7,No,3,17,No
EMP0217,35,Engineering,4,10,14492,3,4,No,9.5,No,3,17,No
EMP0218,33,Engineering,3,5,11419,4,3,No,5.2,No,2,19,No
EMP0219,38,Engineering,3,5,11432,5,2,Yes,13.0,No,3,9,Yes
EMP0220,60,Engineering,4,22,16848,3,2,No,2.6,No,3,16,No
EMP0221,22,Engineering,1,0,6127,3,2,No,7.0,No,3,15,No
EMP0222,44,Operations,2,3,6439,4,4,No,22.9,No,2,9,No
EMP0223,22,Sales,1,0,4028,4,3,No,29.2,No,3,14,No
EMP0224,33,Sales,1,0,4617,5,2,No,4.4,No,3,10,No
EMP0225,48,Marketing,1,4,5973,4,3,Yes,17.2,No,3,13,No
EMP0226,38,Engineering,1,2,6127,3,4,No,6.9,No,3,10,No
EMP0227,27,Engineering,2,3,8922,2,3,Yes,8.7,No,2,14,Yes
EMP0228,30,Operations,3,6,8920,3,4,No,2.1,No,3,9,No
EMP0229,44,IT,2,4,8319,3,4,Yes,12.1,No,3,17,No
EMP0230,30,Operations,2,3,5936,2,3,No,15.1,No,4,15,No
EMP0231,40,Sales,4,16,12239,3,4,No,2.5,Yes,3,13,No
EMP0232,38,IT,2,5,9260,3,3,No,15.8,No,3,15,No
EMP0233,31,Engineering,2,9,8258,5,3,No,27.3,No,3,10,No
EMP0234,59,Sales,3,31,12652,3,3,No,27.3,No,2,21,No
EMP0235,44,HR,3,22,10147,5,2,Yes,14.1,No,2,15,No
EMP0236,22,Finance,1,0,5678,3,3,No,8.1,No,4,21,No
EMP0237,39,Sales,4,15,12100,4,4,No,14.0,No,1,18,No
EMP0238,31,Marketing,1,0,5571,3,4,No,3.8,No,4,15,No
EMP0239,46,Operations,4,13,11514,1,4,Yes,7.4,No,2,14,No
EMP0240,30,Engineering,1,3,6336,3,4,No,5.8,No,4,9,No
EMP0241,36,Finance,4,11,13240,3,3,No,3.5,Yes,3,12,No
EMP0242,43,Engineering,3,8,12174,3,2,Yes,6.8,No,2,17,No
EMP0243,46,Engineering,3,14,12750,4,3,Yes,19.9,No,4,13,No
EMP0244,25,Engineering,2,3,8747,3,1,Yes,6.1,No,3,20,Yes
EMP0245,34,Marketing,2,9,7768,5,1,No,7.9,No,3,14,No
EMP0246,33,Engineering,3,5,11626,5,2,Yes,13.7,No,2,21,No
EMP0247,31,Operations,1,1,4096,4,1,Yes,7.5,No,3,13,No
EMP0248,55,IT,2,5,8666,5,3,No,6.4,No,2,16,No
EMP0249,42,IT,2,3,6761,2,4,No,7.8,No,4,14,No
EMP0250,25,Sales,2,2,6616,2,3,No,4.0,No,3,10,No
EMP0251,47,Sales,5,25,14974,3,2,No,19.3,No,3,21,No
EMP0252,59,Engineering,4,22,16757,3,4,No,2.7,No,2,14,No
EMP0253,48,Finance,2,11,9385,4,4,No,3.0,No,3,14,No
EMP0254,22,IT,1,0,5065,4,1,Yes,8.6,No,2,16,No
EMP0255,33,Operations,2,2,6128,3,3,No,19.9,No,4,14,No
EMP0256,50,Marketing,4,21,14257,3,3,No,15.3,No,3,20,No
EMP0257,30,Sales,2,3,7793,2,3,No,5.0,No,2,22,No
EMP0258,42,Operations,2,2,6479,3,4,No,11.0,No,3,20,No
EMP0259,45,Sales,2,2,5954,3,3,No,5.8,No,3,15,No
EMP0260,28,Sales,3,5,9821,3,2,No,11.2,No,3,11,No
EMP0261,37,Operations,1,1,4212,3,3,Yes,7.8,No,3,15,No
EMP0262,22,Marketing,1,0,4860,4,3,No,2.0,No,3,21,Yes
EMP0263,27,Sales,1,2,5770,1,4,Yes,6.7,No,3,18,No
EMP0264,35,Engineering,1,2,5985,3,3,No,5.5,No,3,17,No
EMP0265,25,Sales,1,0,4421,5,4,No,2.9,No,3,14,No
EMP0266,54,Marketing,3,9,9534,4,2,No,13.0,No,2,12,No
EMP0267,23,Engineering,1,0,5980,4,3,Yes,8.8,No,2,15,No
EMP0268,33,Operations,2,2,6104,5,3,No,1.5,No,4,16,No
EMP0269,39,Engineering,2,8,9401,3,4,No,5.9,Yes,2,15,No
EMP0270,52,HR,2,3,6129,2,3,No,10.1,No,3,14,Yes
EMP0271,23,Sales,1,0,4090,3,2,Yes,22.3,No,2,8,No
EMP0272,49,Engineering,4,18,16632,4,2,No,1.7,No,2,18,No
EMP0273,38,Finance,4,15,14359,3,1,No,12.9,No,2,17,No
EMP0274,28,Finance,1,0,5115,3,3,No,8.1,No,3,14,No
EMP0275,42,Sales,5,20,14003,4,3,No,14.3,Yes,4,19,No
EMP0276,39,HR,1,0,4023,1,4,No,2.1,No,3,12,Yes
EMP0277,31,Operations,2,6,7239,3,4,No,7.3,No,2,17,No
EMP0278,38,Engineering,4,11,15028,3,4,No,10.9,Yes,3,20,No
EMP0279,34,Sales,1,0,5492,3,1,No,2.8,No,1,12,No
EMP0280,39,Engineering,3,14,13903,3,4,No,26.3,No,3,13,No
EMP0281,44,Marketing,3,6,9260,3,2,No,8.2,No,3,17,No
EMP0282,53,Sales,4,27,13204,5,3,No,3.4,No,2,18,No
EMP0283,25,Engineering,1,0,5615,3,2,Yes,18.8,No,3,17,No
EMP0284,59,Marketing,2,2,7652,3,2,Yes,5.0,No,3,12,No
EMP0285,22,IT,1,0,5995,3,2,Yes,5.1,No,2,14,No
EMP0286,36,Engineering,3,10,12805,1,2,Yes,4.4,No,2,19,No
EMP0287,43,Sales,3,5,8332,3,1,No,5.4,No,3,16,No
EMP0288,40,Marketing,3,5,8863,1,1,No,3.6,No,1,13,No
EMP0289,31,Engineering,3,6,11404,4,3,Yes,5.8,No,3,11,No
EMP0290,35,Sales,3,10,9893,3,3,Yes,15.8,No,3,20,No
EMP0291,33,Marketing,4,10,12580,5,1,No,3.6,No,3,19,No
EMP0292,32,IT,1,0,6422,5,3,No,21.0,No,4,11,No
EMP0293,46,Operations,3,22,10504,4,3,No,25.1,No,1,17,No
EMP0294,41,Sales,4,17,12947,5,1,No,4.3,No,2,15,No
EMP0295,31,Operations,2,5,6326,5,4,Yes,1.8,No,2,9,No
EMP0296,46,Sales,4,23,13739,4,4,Yes,8.5,No,3,15,No
EMP0297,41,Engineering,3,18,13880,3,2,Yes,5.4,No,1,19,No
EMP0298,46,IT,3,7,12277,5,3,No,4.3,No,2,12,No
EMP0299,44,IT,3,19,12620,4,3,Yes,12.4,No,2,10,No
EMP0300,29,Sales,2,7,8041,2,2,No,16.6,No,3,17,No
EMP0301,32,Sales,2,4,7122,3,3,Yes,8.6,No,3,13,Yes
EMP0302,45,Engineering,2,10,9930,3,3,Yes,9.9,No,1,13,No
EMP0303,44,Marketing,5,20,15933,3,4,No,8.5,No,4,13,No
EMP0304,37,Operations,2,2,6143,3,1,No,4.2,No,3,10,No
EMP0305,39,Sales,4,13,11869,3,3,Yes,7.2,No,2,10,No
EMP0306,50,Engineering,3,26,13895,2,4,No,4.1,No,3,21,No
EMP0307,32,Engineering,2,8,9722,4,3,No,14.7,No,3,20,No
EMP0308,43,Sales,1,0,4575,3,2,No,16.2,No,3,13,No
EMP0309,35,Operations,1,0,3871,4,2,Yes,5.3,No,2,14,No
EMP0310,35,Operations,2,9,7246,4,3,No,11.8,No,2,12,No
EMP0311,48,Sales,2,11,8501,2,3,Yes,20.9,No,2,15,No
EMP0312,46,Sales,2,10,7492,3,3,Yes,9.1,No,3,13,No
EMP0313,46,Sales,5,20,14130,4,1,No,15.8,No,4,16,No
EMP0314,51,HR,1,0,3638,3,3,No,1.2,No,2,20,No
EMP0315,38,Sales,3,11,8706,4,4,No,10.3,Yes,2,15,Yes
EMP0316,44,HR,4,16,12095,5,3,No,8.1,No,2,17,No
EMP0317,34,Engineering,1,1,5734,2,3,No,3.1,No,2,20,No
EMP0318,41,Sales,3,17,11281,2,2,Yes,10.7,Yes,3,11,No
EMP0319,36,Operations,2,3,5709,3,2,No,4.7,No,2,18,No
EMP0320,38,Sales,2,7,7040,4,3,No,13.8,No,3,12,No
EMP0321,43,Operations,1,1,4382,3,3,No,17.7,No,3,21,No
EMP0322,29,Marketing,3,5,10071,2,2,No,17.0,No,2,13,No
EMP0323,58,Operations,3,24,11125,3,4,No,22.1,No,4,13,No
EMP0324,27,Sales,2,3,5980,4,2,No,6.8,No,3,19,No
EMP0325,25,Finance,1,0,5472,4,1,No,9.9,No,2,23,No
EMP0326,49,Sales,1,1,5279,5,3,No,6.9,Yes,2,11,No
EMP0327,45,IT,4,16,15322,4,2,No,2.6,Yes,2,11,No
EMP0328,44,Finance,3,9,12357,3,1,No,5.0,No,2,14,No
EMP0329,44,Engineering,2,8,9685,3,3,Yes,16.3,No,3,14,No
EMP0330,37,Engineering,2,14,11006,5,4,No,4.9,No,2,15,No
EMP0331,29,Operations,1,1,4612,3,3,Yes,5.7,No,2,13,No
EMP0332,38,IT,4,16,14843,4,1,Yes,3.3,Yes,2,16,No
EMP0333,31,Operations,1,0,4169,3,3,No,18.1,No,3,10,No
EMP0334,47,Operations,3,9,9466,3,2,No,2.7,No,2,12,No
EMP0335,36,Operations,1,1,4176,3,3,No,6.7,No,2,17,No
EMP0336,29,Marketing,3,6,10099,4,3,No,22.6,Yes,3,10,No
EMP0337,34,Sales,3,11,9439,3,2,Yes,2.9,No,3,20,No
EMP0338,42,Sales,2,5,7514,4,3,Yes,8.8,No,3,16,No
EMP0339,32,Marketing,3,10,10541,1,4,No,29.4,No,2,19,Yes
EMP0340,29,Engineering,1,1,6582,5,3,No,5.6,No,3,15,No
EMP0341,40,Marketing,4,17,14172,5,4,Yes,15.6,No,2,20,No
EMP0342,40,Sales,1,0,4835,3,3,No,11.4,No,3,18,Yes
EMP0343,32,Marketing,2,2,7209,3,3,No,20.8,No,4,19,No
EMP0344,33,Sales,1,3,4868,2,3,No,1.3,No,3,5,Yes
EMP0345,40,HR,2,9,5897,2,3,No,7.8,No,3,21,No
EMP0346,23,HR,1,0,4214,4,3,No,1.7,No,2,11,No
EMP0347,23,Sales,1,0,5024,4,4,No,12.0,No,2,12,No
EMP0348,30,Operations,3,6,7840,3,4,No,7.5,Yes,2,6,No
EMP0349,35,HR,4,13,10671,3,2,No,12.1,No,2,13,No
EMP0350,41,Operations,3,14,9571,3,3,No,1.0,Yes,2,10,No
EMP0351,52,Engineering,3,9,12381,5,3,No,6.7,No,3,10,Yes
EMP0352,46,Sales,5,23,15223,2,2,No,21.3,No,2,12,Yes
EMP0353,36,Sales,2,8,7044,4,2,No,13.9,No,2,13,No
EMP0354,37,Sales,2,11,8755,2,2,No,11.3,No,3,9,No
EMP0355,27,Sales,2,4,6065,3,2,Yes,6.8,No,4,18,No
EMP0356,37,Sales,3,8,8996,3,4,Yes,32.7,No,2,22,No
EMP0357,35,Operations,3,7,7944,2,3,Yes,22.7,No,4,21,No
EMP0358,41,IT,2,9,9647,2,4,Yes,16.8,No,3,14,No
EMP0359,29,IT,1,0,6032,3,4,Yes,21.1,No,3,17,Yes
EMP0360,43,IT,3,7,11431,2,3,Yes,6.2,No,2,16,Yes
EMP0361,53,HR,4,21,11343,3,4,No,13.7,No,3,12,No
