Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin
EK7271,2024-10-12,DXB,BLR,DXB-BLR,Airbus A350-900,325,224,0.6916,4.5,Shoulder,Medium Haul,Medium,162205.49,17466.9,179672.4,26318.02,10800.0,5850.0,15750.0,2925.0,4718.78,6195.14,2763.17,3034.42,24988.65,4188.71,24569.11,7373.65,2620.35,142095.01,37577.39,20.91
EK1743,2024-02-06,DXB,KWI,DXB-KWI,Airbus A320,180,171,0.95,2.0,Peak,Short Haul,High,57167.25,6206.58,63373.82,4353.72,2300.0,1560.0,3400.0,560.0,2525.29,5367.16,3681.43,1132.04,7927.41,2969.08,6110.76,2727.52,2205.53,46819.93,16553.9,26.12
EK7921,2024-11-17,DXB,LHR,DXB-LHR,Boeing 777-300ER,396,350,0.8848,7.0,Shoulder,Medium Haul,High,195606.19,19890.16,215496.35,64323.56,24500.0,10500.0,31500.0,5600.0,7494.53,11015.37,3768.65,4510.14,30774.39,8740.67,43068.03,11383.19,4693.77,261872.3,-46375.95,-21.52
EK8911,2024-12-23,DXB,FRA,DXB-FRA,Boeing 777-300ER,396,376,0.95,6.5,Peak,Long Haul,High,548822.59,79256.87,628079.46,49906.35,22750.0,9750.0,29250.0,5200.0,11815.6,8535.1,4259.27,4096.39,80785.46,7231.58,47768.26,35915.67,3134.34,320398.02,307681.44,48.99
EK7400,2024-10-05,DXB,SYD,DXB-SYD,Boeing 777-300ER,396,334,0.8449,14.5,Shoulder,Long Haul,High,544057.99,55957.12,600015.11,125387.67,50750.0,21750.0,65250.0,11600.0,9828.12,11119.54,3704.95,6058.44,95134.96,5265.98,85760.22,31786.1,4963.08,528359.07,71656.04,11.94
EK4409,2024-06-02,DXB,BAH,DXB-BAH,Airbus A320,180,129,0.7209,1.3,Low,Short Haul,High,31405.33,3984.68,35390.01,2992.84,1495.0,1014.0,2210.0,364.0,3128.22,3159.06,4696.11,553.92,4746.19,2203.11,6658.06,2026.47,1110.67,36357.64,-967.64,-2.73
EK4528,2024-06-16,DXB,DEL,DXB-DEL,Airbus A350-900,325,228,0.7031,3.5,Low,Medium Haul,High,107888.21,15879.04,123767.25,21006.19,8400.0,4550.0,12250.0,2275.0,5034.75,4901.12,3387.85,1496.02,20668.14,5019.41,20406.68,6420.91,3322.64,119138.71,4628.54,3.74
EK3680,2024-05-21,DXB,MCT,DXB-MCT,Boeing 737-800,189,161,0.856,1.2,Normal,Short Haul,High,40122.27,,45153.23,3051.42,1440.0,960.0,2160.0,360.0,4815.05,4791.81,2098.91,622.04,6390.39,3055.55,6654.88,2380.19,1877.1,40657.33,4495.9,9.96
EK5709,2024-08-10,DXB,KWI,DXB-KWI,Airbus A320,180,141,0.7866,2.0,Low,Short Haul,High,39730.35,5594.02,45324.37,4845.97,2300.0,1560.0,3400.0,560.0,4880.7,1970.75,4395.28,919.72,6735.39,4110.24,7287.38,1391.35,2021.83,46378.6,-1054.23,-2.33
EK6905,2024-09-11,DXB,FRA,DXB-FRA,Airbus A380,517,468,0.9054,6.5,Normal,Long Haul,High,560496.54,71043.6,631540.14,83780.76,32500.0,13000.0,39000.0,6500.0,6116.4,15175.59,4262.62,2651.29,93124.11,13049.46,67403.93,31999.45,6643.35,415206.96,216333.19,34.25
EK3753,2024-05-16,DXB,BAH,DXB-BAH,Airbus A320,180,159,0.8863,1.3,Normal,Short Haul,High,50906.96,5997.15,56904.11,3061.32,1495.0,1014.0,2210.0,364.0,3944.42,2861.8,2241.05,924.59,6994.31,3909.02,5978.1,2396.43,2127.06,39521.09,17383.02,30.55
EK7483,2024-10-24,DXB,HKG,DXB-HKG,Airbus A380,517,447,0.8662,8.5,Shoulder,Long Haul,High,883473.76,103755.12,987228.88,95850.81,42500.0,17000.0,51000.0,8500.0,6831.11,10751.61,3164.52,5731.57,172728.53,12915.39,79808.67,50342.04,5605.18,562729.42,424499.45,43.0
EK8876,2024-12-27,DXB,CDG,DXB-CDG,Boeing 777-300ER,396,366,0.9254,7.5,Peak,Long Haul,High,831171.44,85603.02,916774.46,64536.75,26250.0,11250.0,33750.0,6000.0,11290.01,10888.82,2406.76,4575.46,144329.05,9412.17,53308.95,35291.83,4380.62,417670.42,499104.04,54.44
EK3865,2024-05-05,DXB,DEL,DXB-DEL,Boeing 777-300ER,396,305,0.7719,3.5,Normal,Medium Haul,High,223699.83,30924.88,254624.7,30109.27,12250.0,5250.0,15750.0,2800.0,4188.17,5905.11,3567.71,1466.54,31828.65,6599.18,23749.12,13235.2,2564.46,159263.41,95361.29,37.45
EK2790,2024-03-28,DXB,MEL,DXB-MEL,Boeing 777-300ER,396,283,0.7169,13.5,Shoulder,Long Haul,Medium,559882.62,60726.22,620608.84,103366.29,47250.0,20250.0,60750.0,10800.0,4139.13,5530.99,3106.15,5881.97,91855.26,6353.29,70643.6,26064.8,2432.18,458423.65,162185.18,26.13
EK8087,2024-11-30,DXB,SYD,DXB-SYD,Boeing 777-300ER,396,330,0.8343,14.5,Shoulder,Long Haul,High,403213.33,60070.28,463283.61,122375.83,50750.0,21750.0,65250.0,11600.0,7830.71,7439.32,4444.93,7170.86,79480.45,6599.49,75187.85,14082.73,4055.05,478017.21,-14733.6,-3.18
EK5099,2024-07-05,DXB,RUH,DXB-RUH,Airbus A320,180,128,0.7137,2.2,Low,Short Haul,Medium,18390.76,2076.68,20467.44,5356.74,2530.0,1716.0,3740.0,616.0,2334.25,2067.27,4243.97,1389.53,3397.62,3503.35,6388.2,942.11,1655.29,39880.33,-19412.88,-94.85
EK1483,2024-01-16,DXB,SIN,DXB-SIN,Boeing 777-300ER,396,355,0.8969,7.5,Peak,Long Haul,High,805563.26,93186.95,898750.21,68955.86,26250.0,11250.0,33750.0,6000.0,7234.2,5728.12,2040.56,3094.35,117485.19,8345.84,50081.99,53275.64,5309.44,398801.19,499949.02,55.63
EK6168,2024-08-26,DXB,HKG,DXB-HKG,Boeing 787-9,296,211,0.7147,8.5,Low,Long Haul,High,209422.61,24560.35,233982.96,43119.22,18700.0,10200.0,27200.0,5100.0,7452.72,4039.19,4520.33,4381.49,32907.01,3543.44,32486.61,12670.35,2875.91,209196.27,24786.69,10.59
EK1518,2024-01-19,DXB,HKG,DXB-HKG,Airbus A380,517,488,0.9447,8.5,Peak,Long Haul,High,799643.4,,918891.6,99301.26,42500.0,17000.0,51000.0,8500.0,4774.58,10755.55,2231.69,5941.42,123059.81,11628.68,64377.37,52055.26,6613.51,499739.13,419152.47,45.62
EK6419,2024-09-23,DXB,BAH,DXB-BAH,Boeing 737-800,189,154,0.8189,1.3,Normal,Short Haul,High,24983.34,2627.06,27610.4,3030.22,1560.0,1040.0,2340.0,390.0,3844.07,4605.55,,713.03,4637.27,2327.13,6118.17,1518.1,2179.92,38729.66,-11119.26,-40.27
EK8504,2024-12-20,DXB,BOM,DXB-BOM,Boeing 777-300ER,396,372,0.9411,3.2,Peak,Medium Haul,High,243780.74,34439.19,278219.94,26754.38,11200.0,4800.0,14400.0,2560.0,5587.32,11125.81,3936.19,1320.46,34374.19,7484.7,27172.05,15945.29,5226.38,171886.77,106333.17,38.22
EK1982,2024-02-12,DXB,HYD,DXB-HYD,Boeing 787-9,296,223,0.7561,4.2,Peak,Medium Haul,Medium,153663.89,19299.95,172963.84,24173.22,9240.0,5040.0,13440.0,2520.0,2643.35,4132.45,3899.59,1694.16,20900.17,4184.83,17785.77,5253.55,3209.42,118116.5,54847.34,31.71
EK7803,2024-11-27,DXB,AMM,DXB-AMM,Boeing 787-9,296,244,0.8255,3.2,Shoulder,Short Haul,Medium,65998.57,9387.51,75386.08,16336.04,7040.0,3840.0,10240.0,1920.0,2123.45,3034.28,4978.89,1472.39,10305.42,6780.29,12842.08,2684.48,3356.84,86954.15,-11568.07,-15.35
EK4182,2024-05-18,DXB,BKK,DXB-BKK,Boeing 777-300ER,396,277,0.6995,6.5,Normal,Long Haul,Medium,351135.14,41146.47,392281.61,58234.47,22750.0,9750.0,29250.0,5200.0,3782.25,5134.08,4932.69,3804.49,50389.93,8292.51,47324.28,14386.87,2500.7,265732.28,126549.33,32.26
EK3638,2024-04-20,DXB,ORD,DXB-ORD,Airbus A350-900,325,226,0.6982,14.5,Shoulder,Long Haul,Medium,352489.06,36032.61,388521.68,95437.01,34800.0,18850.0,50750.0,9425.0,3800.58,3145.83,4576.84,7069.89,63979.51,3549.62,63288.18,21152.29,3236.13,383060.88,5460.8,1.41
EK5245,2024-07-15,DXB,LHR,DXB-LHR,Boeing 777-300ER,396,325,0.8216,7.0,Low,Medium Haul,High,180429.06,24258.33,204687.39,54168.26,24500.0,10500.0,31500.0,5600.0,6780.8,5463.39,2668.72,4308.87,33887.31,6544.23,46275.68,10503.12,4424.7,247125.08,-42437.69,-20.73
EK8017,2024-11-08,DXB,CMB,DXB-CMB,Airbus A350-900,325,240,0.7415,4.5,Shoulder,Medium Haul,Medium,115224.16,14609.42,129833.59,28076.15,10800.0,5850.0,15750.0,2925.0,2289.43,4418.63,2580.84,2286.59,21586.02,4097.35,21045.49,5880.45,2332.75,129918.69,-85.1,-0.07
EK3302,2024-04-28,DXB,HYD,DXB-HYD,Airbus A350-900,325,249,0.7675,4.2,Shoulder,Medium Haul,Medium,170927.93,18164.74,189092.67,27195.73,10080.0,5460.0,14700.0,2730.0,4074.84,4375.96,4536.04,2553.55,23852.28,5664.07,24163.66,7474.73,2855.67,139716.53,49376.14,26.11
EK3476,2024-04-07,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,335,0.8484,8.5,Shoulder,Long Haul,High,786438.39,113428.83,899867.22,70030.35,29750.0,12750.0,38250.0,6800.0,6273.52,10697.34,5574.8,4483.98,116448.73,5746.85,49685.28,52476.36,3474.29,412441.51,487425.71,54.17
EK3577,2024-04-19,DXB,FRA,DXB-FRA,Airbus A380,517,462,0.8941,6.5,Shoulder,Long Haul,High,819017.16,94060.7,913077.86,78381.55,32500.0,13000.0,39000.0,6500.0,11841.88,14218.82,2588.18,3462.16,155838.78,8946.73,63775.67,51927.87,6677.75,488659.38,424418.48,46.48
EK6758,2024-09-19,DXB,SYD,DXB-SYD,Boeing 777-300ER,396,353,0.8923,14.5,Normal,Long Haul,High,845712.86,86192.27,931905.14,120341.36,50750.0,21750.0,65250.0,11600.0,11123.71,8426.75,2408.9,8249.14,121493.92,6863.63,88687.77,45767.42,4926.52,567639.13,364266.0,39.09
EK1263,2024-01-17,DXB,IST,DXB-IST,Airbus A350-900,325,279,0.8601,5.0,Peak,Medium Haul,High,141105.24,19747.86,160853.09,32429.73,12000.0,6500.0,17500.0,3250.0,2462.23,5530.52,3933.89,3538.96,27736.34,5483.85,23638.35,5299.71,4150.38,153453.98,7399.11,4.6
EK8195,2024-11-28,DXB,KUL,DXB-KUL,Boeing 777-300ER,396,294,0.7437,7.5,Shoulder,Long Haul,Medium,601008.27,87022.81,688031.08,67852.5,26250.0,11250.0,33750.0,6000.0,4258.3,8018.6,3143.89,3004.85,111079.97,5341.91,47412.32,38761.14,2784.66,368908.14,319122.94,46.38
EK8823,2024-12-14,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,375,0.9471,8.5,Peak,Long Haul,High,783786.74,93943.87,877730.62,69239.13,29750.0,12750.0,38250.0,6800.0,7865.98,5239.83,4809.52,5985.74,133162.67,7451.43,45647.55,30632.04,3274.46,400858.37,476872.25,54.33
EK6790,2024-09-06,DXB,SIN,DXB-SIN,Boeing 787-9,296,236,0.7983,7.5,Normal,Long Haul,High,289588.16,41283.99,330872.15,43830.4,16500.0,9000.0,24000.0,4500.0,6784.32,6591.6,3175.27,5752.12,43970.03,5241.21,35567.15,16499.87,3271.45,224683.43,106188.72,32.09
EK5091,2024-07-06,DXB,BAH,DXB-BAH,Boeing 737-800,189,156,0.8273,1.3,Low,Short Haul,High,49451.68,5714.68,55166.36,3519.88,1560.0,1040.0,2340.0,390.0,2977.91,5080.0,5433.49,984.19,8199.91,2545.15,7239.74,2826.37,1833.57,45970.21,9196.15,16.67
EK7587,2024-10-15,DXB,LAX,DXB-LAX,Airbus A350-900,325,242,0.7446,16.0,Shoulder,Long Haul,Medium,240792.02,33929.97,274721.99,100602.38,38400.0,20800.0,56000.0,10400.0,2012.06,5442.2,5203.32,6862.41,47385.31,4301.67,76132.02,15087.78,2909.54,391538.7,-116816.71,-42.52
EK1997,2024-02-25,DXB,MAA,DXB-MAA,Boeing 787-9,296,225,0.7631,4.5,Peak,Medium Haul,Medium,98086.73,13979.29,112066.02,24178.19,9900.0,5400.0,14400.0,2700.0,4258.91,5948.74,5281.6,3135.9,14381.64,5043.84,24746.65,5318.56,2637.79,127331.82,-15265.8,-13.62
EK7468,2024-10-22,DXB,HKG,DXB-HKG,Boeing 787-9,296,267,0.9039,8.5,Shoulder,Long Haul,High,447546.58,49383.38,496929.95,47494.59,18700.0,10200.0,27200.0,5100.0,5521.12,4257.49,5841.72,4179.2,72649.15,4065.99,41300.82,25732.97,3573.03,275816.07,221113.88,44.5
EK7399,2024-10-16,DXB,SYD,DXB-SYD,Airbus A380,517,449,0.869,14.5,Shoulder,Long Haul,High,849450.98,111178.06,960629.05,160038.97,72500.0,29000.0,87000.0,14500.0,10524.58,6220.91,5997.07,11026.75,154194.51,6979.52,121128.41,34280.74,5720.75,719112.2,241516.84,25.14
EK3024,2024-04-12,DXB,MCT,DXB-MCT,Boeing 737-800,189,155,0.825,1.2,Shoulder,Short Haul,High,41336.5,4616.01,45952.51,2944.29,1440.0,960.0,2160.0,360.0,3612.64,2639.42,2946.38,840.3,5886.4,2796.72,5180.91,2101.96,1389.54,35258.58,10693.93,23.27
EK1503,2024-01-10,DXB,HKG,DXB-HKG,Airbus A380,517,491,0.95,8.5,Peak,Long Haul,High,851153.51,124276.67,975430.19,103979.59,42500.0,17000.0,51000.0,8500.0,4693.21,,5503.73,4250.07,164128.63,8390.03,79727.71,41445.41,4613.76,546545.82,428884.37,43.97
EK8900,2024-12-16,DXB,FRA,DXB-FRA,Boeing 777-300ER,396,368,0.9313,6.5,Peak,Long Haul,High,608854.74,67026.35,675881.09,55572.2,22750.0,9750.0,29250.0,5200.0,10860.64,5133.01,,4745.7,114893.28,6081.32,41470.1,23227.12,5200.11,336865.84,339015.25,50.16
EK1800,2024-02-19,DXB,RUH,DXB-RUH,Boeing 737-800,189,161,0.8542,2.2,Peak,Short Haul,Medium,55213.12,6420.8,61633.92,5139.8,2640.0,1760.0,3960.0,660.0,3729.94,4031.14,,1524.87,10136.29,4543.96,9115.23,3327.13,2028.72,57056.32,4577.6,7.43
EK5689,2024-08-02,DXB,MCT,DXB-MCT,Boeing 737-800,189,139,0.7401,1.2,Low,Short Haul,High,21481.64,2494.28,23975.91,3296.73,1440.0,960.0,2160.0,360.0,4141.58,1710.3,3093.21,669.59,3313.98,2781.01,4644.1,1284.3,2036.33,31891.12,-7915.21,-33.01
EK4574,2024-06-03,DXB,IST,DXB-IST,Boeing 787-9,296,213,0.7223,5.0,Low,Medium Haul,High,137042.39,18642.92,155685.32,26176.95,11000.0,6000.0,16000.0,3000.0,2623.29,4661.14,5385.93,3409.56,22410.38,5721.37,21632.35,8791.21,2977.28,139789.45,15895.86,10.21
EK7209,2024-10-23,DXB,IST,DXB-IST,Airbus A350-900,325,307,0.945,5.0,Shoulder,Medium Haul,High,156155.47,21337.24,177492.71,29488.63,12000.0,6500.0,17500.0,3250.0,3981.38,10213.56,3572.37,3787.46,25889.18,8319.7,29074.4,8708.3,2895.44,165180.41,12312.31,6.94
EK6964,2024-09-08,DXB,ORD,DXB-ORD,Airbus A350-900,325,224,0.6917,14.5,Normal,Long Haul,Medium,273720.98,34180.56,307901.54,81060.33,34800.0,18850.0,50750.0,9425.0,3875.32,4838.74,5665.02,9404.09,37680.88,6678.58,55274.17,12823.37,2099.8,333225.29,-25323.75,-8.22
EK6931,2024-09-22,DXB,LAX,DXB-LAX,Airbus A350-900,325,241,0.7416,16.0,Normal,Long Haul,Medium,287302.72,37645.31,324948.02,102890.58,38400.0,20800.0,56000.0,10400.0,4919.69,3142.15,3012.66,8367.73,42943.73,6367.99,66621.71,10365.71,2028.54,376260.5,-51312.48,-15.79
EK4135,2024-05-13,DXB,SIN,DXB-SIN,Airbus A380,517,422,0.8169,7.5,Normal,Long Haul,High,695180.35,76654.82,771835.17,96512.18,37500.0,15000.0,45000.0,7500.0,5078.06,10642.36,,5715.41,118402.43,7154.5,74261.96,31959.67,3749.26,463809.06,308026.11,39.91
EK6920,2024-09-02,DXB,LAX,DXB-LAX,Boeing 777-300ER,396,285,0.7198,16.0,Normal,Long Haul,Medium,451373.79,50084.85,501458.64,138833.66,56000.0,24000.0,72000.0,12800.0,4663.29,7288.57,4177.39,10809.81,69904.89,7304.94,82323.74,20983.43,2800.61,513890.33,-12431.69,-2.48
EK6314,2024-08-11,DXB,ORD,DXB-ORD,Airbus A350-900,325,190,0.585,14.5,Low,Long Haul,Medium,267074.09,36548.95,303623.04,80732.69,34800.0,18850.0,50750.0,9425.0,3714.99,4920.66,3981.86,10472.18,37531.66,3311.78,61121.68,14612.48,2173.25,336398.22,-32775.18,-10.79
