,id,symbol,name,market_cap_rank,market_cap_usd,fdv_usd,price_usd,high_24h_usd,low_24h_usd,volume_24h,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,currency,snapshot_date,data_source
22,leo-token,leo,LEO Token,23,8258409938,8827787751,8.96,8.99,8.87,1300277,10.14,-11.59255,2025-03-10 09:26:43.294000+00:00,0.799859,1020.2212,2019-12-24 15:14:35.376000+00:00,2026-01-24 17:05:17.998000+00:00,USD,2026-01-24,CoinGecko API
23,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,24,6946096569,6946096569,89165.0,91038.0,89053.0,163318215,125954.0,-29.22666,2025-10-06 18:58:50.734000+00:00,57439.0,55.19436,2024-09-12 14:07:41.775000+00:00,2026-01-24 17:05:18.589000+00:00,USD,2026-01-24,CoinGecko API
24,stellar,xlm,Stellar,25,6840611165,10549248274,0.210934,0.217856,0.210131,91680942,0.875563,-75.89938,2018-01-03 00:00:00+00:00,0.00047612,44219.62422,2015-03-05 00:00:00+00:00,2026-01-24 17:05:18.462000+00:00,USD,2026-01-24,CoinGecko API
25,weth,weth,WETH,26,6690181415,6690181415,2956.15,3001.64,2930.15,110281736,4950.08,-40.27189,2025-08-24 19:28:11.411000+00:00,82.1,3501.05322,2018-12-15 00:00:00+00:00,2026-01-24 17:05:18.776000+00:00,USD,2026-01-24,CoinGecko API
26,ethena-usde,usde,Ethena USDe,27,6568319849,6568319849,0.998668,1.0,0.997976,148592880,1.034,-3.41831,2025-12-09 17:10:12.652000+00:00,0.929486,7.44408,2024-10-04 07:57:15.809000+00:00,2026-01-24 17:05:18.251000+00:00,USD,2026-01-24,CoinGecko API
27,zcash,zec,Zcash,28,5993749616,5993749616,362.64,382.92,363.02,391818702,3191.93,-88.63888,2016-10-29 00:00:00+00:00,16.08,2155.19883,2024-07-05 04:22:29.321000+00:00,2026-01-24 17:05:18.222000+00:00,USD,2026-01-24,CoinGecko API
28,canton-network,cc,Canton,29,5693273349,5693273349,0.151744,0.158516,0.147334,12837905,0.176091,-13.76384,2026-01-01 13:30:26.939000+00:00,0.059024,157.27455,2025-12-06 10:32:09.784000+00:00,2026-01-24 17:05:18.441000+00:00,USD,2026-01-24,CoinGecko API
29,sui,sui,Sui,30,5618445858,14815861330,1.48,1.52,1.48,365598962,5.35,-72.28302,2025-01-04 22:56:18.063000+00:00,0.364846,306.17297,2023-10-19 10:40:30.078000+00:00,2026-01-24 17:05:18.639000+00:00,USD,2026-01-24,CoinGecko API
30,hyperliquid,hype,Hyperliquid,31,5477512878,22110709147,22.98,23.41,22.31,161192703,59.3,-61.25165,2025-09-18 03:30:30.650000+00:00,3.81,503.3278,2024-11-29 09:30:30.871000+00:00,2026-01-24 17:05:18.117000+00:00,USD,2026-01-24,CoinGecko API
31,litecoin,ltc,Litecoin,32,5200134654,5200134654,67.71,68.9,67.24,229545229,410.26,-83.48801,2021-05-10 03:13:07.904000+00:00,1.15,5796.5508,2015-01-14 00:00:00+00:00,2026-01-24 17:05:28.276000+00:00,USD,2026-01-24,CoinGecko API
32,avalanche-2,avax,Avalanche,33,5189641620,5570739850,12.03,12.43,11.98,178082059,144.96,-91.69718,2021-11-21 14:18:56.538000+00:00,2.8,329.68897,2020-12-31 13:15:21.540000+00:00,2026-01-24 17:05:18.733000+00:00,USD,2026-01-24,CoinGecko API
33,world-liberty-financial,wlfi,World Liberty Financial,34,4824177312,17707430177,0.177163,0.180329,0.171491,88140004,0.331336,-46.5306,2025-09-01 12:20:09.597000+00:00,0.104606,69.36293,2025-10-10 21:22:29.880000+00:00,2026-01-24 17:05:18.189000+00:00,USD,2026-01-24,CoinGecko API
34,usd1-wlfi,usd1,USD1,35,4663494933,4663494933,0.999679,1.001,0.999434,3502750529,1.025,-2.45163,2025-05-12 12:36:39.412000+00:00,0.989633,1.01738,2025-10-01 08:51:32.103000+00:00,2026-01-24 17:05:30.002000+00:00,USD,2026-01-24,CoinGecko API
35,hedera-hashgraph,hbar,Hedera,36,4623323040,5401788396,0.108064,0.112031,0.107467,87136635,0.569229,-81.01167,2021-09-15 10:40:28.318000+00:00,0.00986111,996.09432,2020-01-02 17:30:24.852000+00:00,2026-01-24 17:05:18.269000+00:00,USD,2026-01-24,CoinGecko API
36,shiba-inu,shib,Shiba Inu,37,4602343161,4604346808,7.81e-06,8.1e-06,7.77e-06,84863019,8.616e-05,-90.93531,2021-10-28 03:54:55.568000+00:00,5.6366e-11,13855730.54955,2020-11-28 11:26:25.838000+00:00,2026-01-24 17:05:18.806000+00:00,USD,2026-01-24,CoinGecko API
37,usdt0,usdt0,USDT0,38,4549697719,4549697719,0.998643,0.999433,0.997944,171704713,1.052,-5.08231,2025-01-23 22:34:53.341000+00:00,0.975737,2.34008,2025-02-28 01:35:58.101000+00:00,2026-01-24 17:05:19.703000+00:00,USD,2026-01-24,CoinGecko API
38,dai,dai,Dai,39,4355044921,4355044921,0.999285,1.0,0.998527,54406642,1.22,-18.01775,2020-03-13 03:02:50.373000+00:00,0.88196,13.30523,2023-03-11 07:50:50.514000+00:00,2026-01-24 17:05:18.448000+00:00,USD,2026-01-24,CoinGecko API
39,susds,susds,sUSDS,40,4307107479,4307107479,1.087,1.09,1.078,5773152,1.11,-1.64847,2025-10-10 21:52:27.019000+00:00,0.961716,13.01179,2025-01-04 01:21:08.460000+00:00,2026-01-24 17:05:18.833000+00:00,USD,2026-01-24,CoinGecko API
40,ethena-staked-usde,susde,Ethena Staked USDe,41,3796152963,3796152963,1.22,1.22,1.21,15034172,1.29,-5.87361,2025-01-29 17:52:32.991000+00:00,1.012,20.0367,2024-04-03 14:23:03.162000+00:00,2026-01-24 17:05:18.134000+00:00,USD,2026-01-24,CoinGecko API
41,paypal-usd,pyusd,PayPal USD,42,3752767116,3752767116,0.997928,1.0,0.997276,173845099,1.021,-2.26646,2023-10-23 22:44:57.056000+00:00,0.959426,3.97911,2024-12-05 22:31:13.430000+00:00,2026-01-24 17:05:18.157000+00:00,USD,2026-01-24,CoinGecko API
42,the-open-network,ton,Toncoin,43,3731846424,7895367683,1.53,1.55,1.52,66259209,8.25,-81.4353,2024-06-15 00:36:51.509000+00:00,0.519364,195.0259,2021-09-21 00:33:11.092000+00:00,2026-01-24 17:05:18.630000+00:00,USD,2026-01-24,CoinGecko API
43,crypto-com-chain,cro,Cronos,44,3666771175,9058432619,0.092113,0.093513,0.091156,13242456,0.965407,-90.45754,2021-11-24 15:53:54.855000+00:00,0.0121196,660.12082,2019-02-08 00:00:00+00:00,2026-01-24 17:05:18.550000+00:00,USD,2026-01-24,CoinGecko API
44,rain,rain,Rain,45,3383416302,11449787100,0.00997888,0.01019732,0.00988187,41399266,0.01020713,-2.26553,2026-01-22 15:07:15.003000+00:00,0.00222126,349.10929,2025-09-14 08:56:57.416000+00:00,2026-01-24 17:05:18.439000+00:00,USD,2026-01-24,CoinGecko API
45,polkadot,dot,Polkadot,46,3166428915,3166428915,1.91,1.97,1.9,69883578,54.98,-96.52825,2021-11-04 14:10:09.301000+00:00,1.66,15.21244,2025-12-26 00:55:32.469000+00:00,2026-01-24 17:05:19.005000+00:00,USD,2026-01-24,CoinGecko API
46,uniswap,uni,Uniswap,47,3076645079,4361366607,4.85,4.95,4.83,114789897,44.92,-89.20505,2021-05-03 05:25:04.822000+00:00,1.03,370.68698,2020-09-17 01:20:38.214000+00:00,2026-01-24 17:05:18.538000+00:00,USD,2026-01-24,CoinGecko API
47,mantle,mnt,Mantle,48,2942553046,5625878978,0.904571,0.905425,0.875461,35411787,2.86,-68.32112,2025-10-09 01:04:46.659000+00:00,0.307978,193.67402,2023-10-18 02:50:46.942000+00:00,2026-01-24 17:05:18.421000+00:00,USD,2026-01-24,CoinGecko API
48,memecore,m,MemeCore,49,2805885230,8651801557,1.62,1.64,1.57,7778857,2.96,-45.11083,2025-09-18 07:27:06.144000+00:00,0.04746135,3321.82853,2025-07-04 03:56:17.448000+00:00,2026-01-24 17:05:18.159000+00:00,USD,2026-01-24,CoinGecko API
49,tether-gold,xaut,Tether Gold,50,2619925100,2619925100,5037.35,5040.48,4964.87,191754508,5040.48,-0.00142,2026-01-24 17:00:37.993000+00:00,1447.84,248.13289,2020-03-19 13:45:41.821000+00:00,2026-01-24 17:05:19.120000+00:00,USD,2026-01-24,CoinGecko API
