Player,DICT Player's Sender,DICT Sender Gave to Player,DICT Player's Receiver,DICT Player Gave to Receiver,DICT Player's Gave to Receiver Rationale,DICT Player Received + Kept Score,ULT Player's Sender,ULT Sender's Offer to Player,ULT Player Accepted Sender's Offer,ULT Player Accepted Sender's Offer Rationale,ULT Player's Receiver,ULT Player's Offer to Receiver,ULT Player's Offer to Receiver Rationale,ULT Receiver Accepted or Rejected Player's Offer,ULT Player's Received+Kept Score,Player's Gender,Player's RaceEthnicity,Player Domestic International Student
Cinders1,TEMP1069,90,TEMP1066,0,If me and the other student both want to keep 100 then we shall both stay with the same points and benefit.,190,Fairouz,30,yes,I rather have 30 points than no points even if the student ends up with 70 points.,Fairouz,50,Keeping it 50/50 gives it a fair chance that we maximize equally and get to keep 50 points each. ,accept,80,female,hispanic,domestic
Ryomen Sukuna,dubnation2022,0,shane080898,0,what. why would i? give? huh?,100,Feathers Mcgraw,50,yes,"i mean, 50 points is 50 points, W split goat",TEMP1042,50,"this is like my other class, ps 150, anyways even split",accept,100,male,black,domestic
miffy bun,Ivy Rain,0,Omega Tron,100,I am willing to risk all my points and hope my partner is willing to risk it too,0,King Milton,50,yes,Its a safe option,cardio_girl,100,My partner will be more likely to accept my points for us both get an equal amount of points. ,accept,50,female,hispanic,domestic
PomegranateSeed,FerrousTuba,40,StonePoet,50,"When one person has full control, fairness seems the most defensible principle, and a 50-50 split avoids exploiting asymmetric power.",90,Friendly Narwal,40,yes,Accepting provides a non-trivial gain relative to rejection (which yields 0 for both of us) and 40 points is still a meaningful share.,hxrt,50,I chose an even split (again) because a 50-50 split establishes a distribution that is just and mutually acceptable.,accept,90,female,middle eastern,domestic
proteinstyle,GoofyGoober,50,Red Rock,50,Fair,100,cardio_girl,20,yes,I want to get some points.,King Milton,50,I think the other student will recognize that this is fair,accept,70,female,hispanic,domestic
Eric Cartman,Rose Skye,0,magicalduck123,30,"I want to be fair, but I also want to protect myself so I chose something kind of in the middle.",70,UpsideDownInsideOut,50,yes,This is a fair offer as I did the same.,GamerWorld3,50,"If they are given a say I think this is the only fair way to split points, hoping they do the same.",accept,100,female,white,domestic
Ivy Rain,TEMP1061,0,miffy bun,0,I do not want to share my points. ,100,FerrousTuba,50,yes,It seems like a fair offer. ,Crazy Wrestler,40,"I still want to keep some points, but I need to make the proposal seem good. ",accept,110,female,hispanic,domestic
Georgiana Darcy,Pookie LeBron,0,KingJames,0,I keep 100 because of utility maximization. I don't trust the other person to be altruistic and I want to maximize my points,100,louiefrank42,50,yes,I accept because they offered me 50 points and that is a fair distribution,JustDance,50,I chose 50/50 split to try to ensure a 100% acceptance because of fairness. This also maximizes the probability I get 50 points,accept,100,female,white,domestic
Redbird,Rodge_Lodge,0,Charlie the dog,30,"Just took a little 20 off the top, hopefully it does not backfire.",70,SilverSlay,50,yes,Rejecting would leave me with zero points.,Frank Rizzo,50,"I mean come on now team, we can both have some points here.",accept,100,male,hispanic,domestic
Mononoke,Magic Raccoon,50,UpsideDownInsideOut,0,"Maximizes personal points, guarantee outcome",150,Valencia Orange,0,no,Blatant unfairness. Punish greed,Running Duck,50,Gaurantees acceptance,accept,50,female,black,domestic
Frank Rizzo,dealer-one-time,50,GlossBoss25,50,safe,100,Redbird,50,yes,rejecting leaves us both empy,FtAnastasia,40,dont want to get too greedy ,accept,110,male,white,domestic
Valencia Orange,Carbine164,50,Astro Dog,0,I don't trust whoever I'm paired with because I don't know who they are; there's no in-group affinity pressure,150,TEMP1031,50,yes,It's fair,Mononoke,0,"As far as I know, they don't know how the points are going to be split up, so my proposal doesn't change their decision",reject,50,female,white,domestic
Pookie LeBron,BobaLover123,40,Georgiana Darcy,0,This is not a bad option.,140,Blue Sky,50,yes,It's fair to me.,TheGameMan,40,I think this is fair.,accept,110,male,asian,domestic
cardio_girl,Kali Uches,50,TEMP1059,0,I think other students are likely to make similar decisions. ,150,miffy bun,100,yes,I am getting all of the points. Accept.,proteinstyle,20,"If the student rejects, it is his/her loss (they will still lose 10 points by the rejection) ",accept,180,female,asian,domestic
Blawg,Red Rock,0,Magic Raccoon,30,"I will keep 70 because I don't trust the students to give a perfect 50-50, so I want to bias it somewhat selfishly",70,RigatoniBallerina,50,yes,You always accept the offer,Omega Tron,50,"Fair split, I don't know who you are but this seems the most appropriate.",accept,100,male,asian,domestic
Running Duck,VenusPhoenix,0,GoofyGoober,0,i dont trust other people to give,100,Mononoke,50,yes,i dont want 0 points,White Glint,50,playing it cautious because of rejection chance,accept,100,male,white,domestic
hxrt,Pretty Princess,0,REDROVER21,50,we both equally benefit,50,PomegranateSeed,50,yes,50 is better tha 0,Charlie the dog,50,we both equally benefit,accept,100,female,white,domestic
awesome sauce,Rosella Bloom,20,RigatoniBallerina,0,if the other student chose to keep 100 I wouldn't be mad,120,MachiavelliPRTeam,0,no,why would i take 0 and give them 100? when i was equal?,BobaLover123,30,I would hope people would rather get some points than 0 on both ends,reject,0,female,asian,domestic
TEMP1042,SilverSlay,10,TEMP1061,50,"50/50 is fair to me, we both get the same amount which seems like a fair thing to be doing",60,Ryomen Sukuna,50,yes,50 points is both fair to me and the other student,GlossBoss25,50,I feel like this is the most reasonable option as we could both have nothing or half,accept,100,male,hispanic,domestic
Eggos,"","","","","","","","","","","","","","","",male,hispanic,domestic
Caniac Combo,shane080898,40,Daniel Craig,50,i like to be equal,90,TEMP1066,50,"","",Crazy Oreo,50,I like to be fair,accept,50,male,hispanic,domestic
FerrousTuba,Pepper Angel,0,PomegranateSeed,40,I still gave the other person a lot of points but i kept 60 to myself ,60,Eucalyptus,50,yes,50 points is better than 0 !,Ivy Rain,50,so that the other student can cooperate im going to split it evenly so we can both atleast get points ,accept,100,female,hispanic,domestic
Rosella Bloom,RedWineSupernova,30,awesome sauce,20,"I chose to share only 20 points because there is no guarantee the other would share, so I wanted to be fair but also protect myself.",110,dubnation2022,50,yes,"Yes. I accept because a 50–50 split is fair, and rejecting would leave both of us with zero points.",RedWineSupernova,50,I chose 50/50 to avoid rejection and make sure we both get points,accept,100,female,hispanic,domestic
Mr Sandman,Rainy Day,0,Retroactivity,50,Why not,50,Riddhim12,40,no,50/50 or we get nothing ,goldenretriever31,50,"If they reject this, theyre really greedy",accept,50,male,middle eastern,domestic
UpsideDownInsideOut,Mononoke,0,Queen Elizabeth,0,I don't know why I would need to give points away,100,Rainy Day,40,yes,"When I did the split, I made it more favorable knowing that another student likely wouldn't accept less than half",Eric Cartman,50,I think the other person will accept an even split,accept,90,female,white,domestic
bplate survivor,Curly Queen,30,Piggy Pig,0,I don't understand why I wouldn't keep the points here,130,Daniel Craig,0,no,I get 0 points either way,TEMP1061,20,"If the student wants any points at all, they must accept it. Giving 20 instead of 10 because people aren't perfect logicians",accept,80,male,middle eastern,domestic
Pretty Princess,louiefrank42,50,hxrt,0,Gets me the most points,150,Charlie the dog,50,yes,I want points,RigatoniBallerina,20,being generous,accept,130,female,hispanic,domestic
365 Buttons,Hibiscusohwhateva4.,50,Ben Alpine,0,I feel like this is fair given that I know nothing of the other student. ,150,67onthebeat,60,yes,60 seems fair,VenusPhoenix,60,I think this is a fair way to split up points so that the other person accepts my proposal.,accept,100,female,asian,domestic
TheGameMan,Fairouz,0,imbatman,30,In the event the person who is choosing for me picks a low number i would still gain a good amount and I am still giving a fair amount.,70,Pookie LeBron,40,yes,I want to get any points instead of 0.,Rodge_Lodge,50,I would split it up like this so that it is a fair point split.,accept,90,male,black,domestic
GlossBoss25,Frank Rizzo,50,White Glint,50,I like the safety of knowing I'm not losing all points while my team is not also disadvantaged. ,100,TEMP1042,50,yes,"I wouldn't want to risk losing all points, there is still a chance my partner wouldn't be completely selfish. ",Daniel Craig,50,I like the safety of knowing I'm not losing all possible points.,accept,100,female,middle eastern,domestic
petes dragon,"","","","","","","","","","","","","","","",female,black,domestic
Baseball 2026,Queen Elizabeth,0,Anthony Marcus,0,Dog eat Dog world ,100,ChickenNuggets,50,"","",ceruleanchameleon,50,Feel like the only way they say yes,accept,50,male,white,domestic
Red Rock,proteinstyle,50,Blawg,0,"if we both just keep 100, we'll have max points distributed equally. also, I never come away worse than my partner.",150,Water Lily,50,yes,50/50 split is fair,TEMP1057,30,"self-oriented, they should accept if i even give them a single point because they'll have more. but that seems unfair",accept,120,male,white,domestic
TEMP1068,"","","","","","","","","","","","","","","",male,hispanic,domestic
Captain Obvious,MCOC13,50,Cool Kat,50,It's only fair we split the points evenly,100,Chicken Tenders,10,no,"This is a low-ball proposal, and a dumb choice on their end. I don't need ten points that bad. Actions have consequences (shrug).",Ben Alpine,50,"I think this is the most fair proposal, and logical people would accept it.",N/A,0,female,white,domestic
FtAnastasia,goldenretriever31,0,RedWineSupernova,50,middle ,50,Frank Rizzo,40,yes,better than 0 points ,MCOC13,100,maximizes chances of accepting it ,accept,40,female,middle eastern,domestic
GoofyGoober,Running Duck,0,proteinstyle,50,give half away seems only fair,50,Lucy diamond,20,yes,I have faith,Rose Skye,30,maybe now that there is a risk it is safe to keep some,accept,90,male,white,domestic
Water Lily,ceruleanchameleon,50,Green Grape,50,"I feel that this is a right choice. Either way, I'd have at least half of the total amount of points. ",100,REDROVER21,50,yes,I believe that this is the fairest play for myself and the other student. ,Red Rock,50,This choice avoids the risk of the other student rejecting my proposal as the points are evenly split. ,accept,100,female,white,domestic
shane080898,Ryomen Sukuna,0,Caniac Combo,40,"It gives a slight edge, but does not stray far from even",60,Curly Queen,40,yes,we will be even,poetic justice,50,It is the most even and least likely to get rejected without putting myself at risk.,accept,90,female,white,domestic
Blue Sky,Eucalyptus,50,Rodrick7,0,This is what benefits me the most.,150,MrSquiggles,50,yes,It is a fair distribution.,Pookie LeBron,50,It's the most fair option,accept,100,female,white,international
LBJ,"","","","","","","","","","","","","","","",male,asian,domestic
TEMP1052,"","","","","","","","","","","","","","","",female,hispanic,domestic
magicalduck123,Eric Cartman,30,MachiavelliPRTeam,0,I don't want to risk my partner keeping it all so I will aswell.,130,Astro Dog,40,yes,chance of points,Lucy diamond,50,So we can both gain points!,accept,90,female,hispanic,domestic
Carbine164,Friendly Narwal,0,Valencia Orange,50,Maximize fairness,50,kslender,50,yes,We both split the 100 points fairly ,Green Grape,50,This is the fairest option ,accept,100,male,hispanic,domestic
MrSquiggles,Omega Tron,50,JustDance,0,why would i not keep all the points,150,ceruleanchameleon,50,yes,i need more points,Blue Sky,50,at the end of the day its a game and the only deal someone would go for is 50/50 or else they will have resentment towards ,accept,100,male,hispanic,domestic
dealer-one-time,StonePoet,50,Frank Rizzo,50,equal split feels fair,100,soup,40,yes,genders are psychologically similar?,TEMP1041,50,fair offer ensures acceptance likely,accept,90,male,asian,international
Daniel Craig,Caniac Combo,50,TEMP1031,50,be fair,100,GlossBoss25,50,yes,i think oits right,bplate survivor,0,im selfish,reject,50,male,white,domestic
Green Grape,Water Lily,50,Steve Carrell,0,"I want to maximize self-interest, and I doubt the other person will be willing to spilt their points when they can keep all theirs too",150,Carbine164,50,yes,"Even if the proposal is bad, someone still gets points. I assume they will give a good proposal to ensure it is accepted ",MachiavelliPRTeam,60,"If I give them more than they keep, it is likely they will accept the proposal even if I am in a disadvantage either way",accept,90,female,black,domestic
ChickenNuggets,White Glint,0,TEMP1063,50,fairest option ,50,Kali Uches,60,yes,best option ,Baseball 2026,50,this ensures they agree and we get 50 instead of 0 each.,N/A,60,female,hispanic,domestic
JustDance,MrSquiggles,0,Edamame,0,need points sorry ,100,Georgiana Darcy,50,yes,the other option is a lose lose ,Poison Ivy,20,im scared ,accept,130,female,black,domestic
Curly Queen,Steve Carrell,0,bplate survivor,30,I'll give you some points and keep some for myself.,70,poetic justice,0,no,"nahhh they did me wrong, either way i was gonna get 0 points.",shane080898,40,I'll keep some points and give some.,accept,60,female,hispanic,domestic
Eucalyptus,GamerWorld3,30,Blue Sky,50,I do not want to risk being paired off with someone who gives very little and end up losing all my points. ,80,TEMP1057,50,yes,"I also gave 50 points, so this works. ",FerrousTuba,50,I think 50/50 is a reasonable proposal and I hope they do not reject since it is still generous. ,accept,100,female,hispanic,domestic
louiefrank42,TEMP1057,50,Pretty Princess,50,50/50 split is most fair.,100,pinkprincess,40,yes,I would rather have 40 than 0,Georgiana Darcy,50,50/50 split is most fair I would hope that my partner would agree.,accept,90,female,white,domestic
RigatoniBallerina,awesome sauce,0,Kali Uches,0,This is the way I can maximize my points and I am choosing how much to give them and this is my best choice. ,100,Pretty Princess,20,yes,better than zero,Blawg,50,"Since rejection would both give us 0 points, - 50/50 split is the best way to maximize our chances of receiving points. ",accept,70,female,asian,domestic
White Glint,GlossBoss25,50,ChickenNuggets,0,I am the dictator :D,150,Running Duck,50,yes,It is a win win!,Cool Kat,40,Fair deal!,reject,50,male,asian,international
Poison Ivy,Ben Alpine,50,VenusPhoenix,50,I’d split the points evenly because it feels fair and avoids unnecessary conflict,100,JustDance,20,yes,"Accepting guarantees 20 points, while rejecting guarantees zero",TEMP1069,50,i would propose an even split because it’s fair and gives the other person no real reason to reject,N/A,20,female,white,domestic
Chicken Tenders,King Milton,50,King Milton,0,I want my points because the other student will do the same thing and keep their points ,150,goldenretriever31,50,yes,"yes, better than nothing for both of us",Captain Obvious,10,It's better than nothing for them and this is more than they would get if they rejected the offer,reject,50,female,white,domestic
PenName001,"","","","","","","","","","","","","","","",male,white,domestic
pinkprincess,Lucy diamond,0,Rose Skye,0,I dont know or trust this random student. ,100,TEMP1059,50,"","",louiefrank42,40,I feel like most people will accept 40 rather than risk getting 0,accept,60,female,black,domestic
Hibiscusohwhateva4.,Rodrick7,20,365 Buttons,50,There's a chance that the other student can benefit greatly while I get to keep my points; Safest option. ,70,Rose Skye,40,yes,I want more points and we could possibly get more together. ,REDROVER21,50,I'm going to trust that the other student would accept my proposal and vice versa. ,accept,90,male,asian,domestic
TEMP1057,Retroactivity,50,louiefrank42,50,"I want the other student to gain as well, but there is no material reason I should give more than what keep.",100,Red Rock,30,yes,Accepting and getting these points is better than rejecting the proposal and getting nothing. ,Eucalyptus,50,I think the other student will likely apply the same logic.,accept,80,female,black,domestic
Steve Carrell,Green Grape,0,Curly Queen,0,Guarentee myself to get points,100,VenusPhoenix,50,yes,I feel like meeting halfway is acceptable,imbatman,60,I trust in my partner,N/A,50,male,white,domestic
Tango,Anthony Marcus,50,GamerWorld3,0,Logically it doesn't make sense to give points since they aren't being multiplied,150,Cool Kat,50,yes,Half is a pretty fair offer!,Retroactivity,50,"I believe this is the best choice where I get to keep some, but this offer is worth enough to the other person to accept ",accept,100,female,hispanic,domestic
TEMP1059,cardio_girl,0,ariel28,50,Because it is fair and treats both students equally.,50,MCOC13,50,"","",pinkprincess,50,the dessert was divine,N/A,0,female,hispanic,domestic
TEMP1069,Great One,0,Cinders1,90,The ,10,Poison Ivy,50,"","",Mr Sandman,40,The ,reject,0,male,asian,international
bluecat3,"","","","","","","","","","","","","","","",female,hispanic,domestic
Cool Kat,Captain Obvious,50,Pepper Angel,50,Let's be fair to each other,100,White Glint,40,no,"They think they're so funny, as if I won't sink this ship with both of us in it.",Tango,50,Why would they reject this?,accept,50,male,hispanic,domestic
butterfly queen,67onthebeat,60,SilverSlay,50,I'd like to split evenly and share. I wish that someone would do the same for me if it came down to it. ,110,"","","","","","","","","",female,hispanic,domestic
Broadway,TEMP1063,50,Fairouz,0,There is no motive to share points. To maximize my points I should keep them all.,150,Piggy Pig,50,yes,This is an even split. I think it is fair.,Piggy Pig,50,"Because they can see my proposal, I want to offer a fair one that maximizes the chance they'll accept. 50/50 is fair.",accept,100,male,asian,domestic
TEMP1066,Cinders1,0,Lucy diamond,50,This choice benefits both people in this pair,50,TEMP1063,50,yes,This offer results in us both being on equal footing,Caniac Combo,50,"By keeping it fair, it minimizes the possibility of either party rejecting my proposal",N/A,50,female,asian,domestic
kslender,Edamame,50,poetic justice,50,"I like giving others the benefit of the doubt, if they're smart, they should give 50 and we ""win"", if not then losing is not on me. ",100,BobaLover123,50,yes,I accepted because it splits it evenly and fair and accepting maximizes my payoff given the options.,Carbine164,50,"It’s a fair split, gives both of us a strong reason to accept, and avoids the risk of us both ending up with zero.",accept,100,female,hispanic,domestic
TEMP1061,TEMP1042,50,Ivy Rain,0,Keeping all 100 points guarantees the maximum payoff for me.,150,bplate survivor,20,yes,20 points is better than 0.,Friendly Narwal,40,"This is a fair offer that gives the other student a strong incentive to accept, since rejecting would leave both of us with zero points",accept,80,female,asian,international
King Milton,Chicken Tenders,0,Chicken Tenders,50,It’s fair. ,50,proteinstyle,50,yes,splitting is fair!,miffy bun,50,Bc it is fair. ,accept,100,female,hispanic,domestic
Pepper Angel,Cool Kat,50,FerrousTuba,0,I think they will keep 100.,150,Edamame,50,yes,"If I reject, we both lose.",dubnation2022,20,The other students may give a little.,reject,50,female,asian,domestic
poetic justice,kslender,50,67onthebeat,0,Even though it is counterintuitive without the possibility of multiplying I would keep my points. ,150,shane080898,50,yes,The risk of getting zero is too high so i would accept ,Curly Queen,0,I would decide to keep my 100. Hopefully they choose the same. ,reject,50,male,hispanic,domestic
Feathers Mcgraw,Charlie the dog,0,dubnation2022,50,This most obviously the equal choice and therefore the most fair to my fellow student.,50,Queen Elizabeth,30,yes,"While the other student will have 50 more points than me, it is better than both of us getting 0 in the grand scope of the class.",Ryomen Sukuna,50,Fair and probably what most people will choose so no one will lose.,accept,80,female,white,domestic
Anthony Marcus,Baseball 2026,0,Tango,50,"Equal sharing promotes fairness, cooperation, and mutual trust while minimizing resentment and conflict",50,Omega Tron,50,"","",Kali Uches,50,"Equal division seems fair, boosts acceptance chances, and avoids rejection leaving both empty-handed.",accept,50,male,asian,domestic
King CDub,"","","","","","","","","","","","","","","",male,black,domestic
TEMP1063,ChickenNuggets,50,Broadway,50,50/50 just makes sense; no one should be jaded because the other person got more.,100,Rodge_Lodge,40,"","",TEMP1066,50,Assuming this person is reasonable then 50/50 should be okay. I could give 60/40 and that would probably secure the deal.,accept,50,female,black,domestic
TEMP1064,"","","","","","","","","","","","","","","",male,white,domestic
Random Bobby,"","","","","","","","","","","","","","","",male,asian,domestic
GamerWorld3,Tango,0,Eucalyptus,30,Better to give 30 than none.,70,Eric Cartman,50,yes,I rather have some than no points.,ariel28,50,Equality!!,accept,100,female,hispanic,domestic
REDROVER21,hxrt,50,TEMP1041,20,i want to have the most i can but am willing to give up some,130,Hibiscusohwhateva4.,50,yes,make the most sense,Water Lily,50,it makes the most sense,accept,100,male,white,domestic
