Player,ULT Player's Sender,ULT Sender's Offer to Player,ULT Player Accepted Sender's Offer,ULT Player Accepted Sender's Offer Rationale,ULT Player's Receiver,ULT Player's Offer to Receiver,ULT Player's Offer to Receiver Rationale,ULT Receiver Accepted or Rejected Player's Offer,ULT Player's Received+Kept Score,ROBRESP Player Kept,ROBRESP Player Kept Rationale,ROBRESP Robot Accepted or Rejected,ROBRESP Player Score,ROBPROP Robot Offer,ROBPROP Player Accepted or Rejected,ROBPROP Player Acc Rej Rationale,ROBPROP Player Score
beautifully_done09,"","","","","","","","","","","","","",50,"","",""
Piggy Pig,Broadway,50,yes,"I think I have the control of the game, so it's good",Broadway,50,Even split to maximize the likelihood that the other students accepts the offer and both of us receive points,accept,100,60,"The robot accepts based on human acceptance patterns, and 40 pointd offer is mo9re likely to be accepted.",accept,60,50,reject,"Since it's randomize by Ai, mostly considering of their own benefit",0
Kali Uches,Anthony Marcus,50,yes,This is a fair and equal offer that gives us both a good start.,ChickenNuggets,60,"In order to make sure that the other student accepts, they will have to gain more points than me, but this means we won't get a zero.",accept,90,60,"I this case, I would want to gain slightly more but enough to make the robot think that 40 is reasonable compared to anything lower.",accept,60,50,reject,"This gives the robot the same advantage and points that I would gain, though equal they are programmed to outsmart me.",0
TEMP1041,dealer-one-time,50,yes,I accept because a 50–50 split is fair and rejecting would leave both of us with nothing.,Great One,50,I chose an even split because it is fair and gives the other student a strong incentive to accept the proposal rather than reject it.,accept,100,60,I chose this because it has a high chance of being accepted while still letting me keep more points.,accept,60,50,accept,"A 50–50 split is fair, and rejecting it would only reduce my payoff to zero.",50
67onthebeat,KingJames,0,no,I will end up with 0 points no matter what choice I make so I am doing this out of spite.,365 Buttons,60,This is a safe spot in my opinion.,accept,40,0,If he rejected it I receive nothing anyways. ,accept,0,50,accept,I think this is the most generous offer one can be offered if I am reading the rules correctly. ,50
Retroactivity,Tango,50,yes,Sounds fair,Rainy Day,50,I think that 50/50 is fair given this is a random person I am sharing the funds with,accept,100,100,No robots,reject,0,50,accept,sounds fair,50
Crazy Oreo,Caniac Combo,50,yes,I would rather accept some points instead of getting zero points.,StonePoet,40,This choice ensures that pints are split fairly and the person is most likely to accept the proposal.,reject,50,60,It allows me to keep more points while keeping the risk low of the proposal being rejected.,accept,60,50,accept,I would want some points instead of no points.,50
Ben Alpine,Captain Obvious,50,"","",soup,50,most fair and most likely for them to agree,accept,50,50,this still seems fair and most likely that i will get points ,accept,50,50,"","",""
Crazy Wrestler,Ivy Rain,40,yes,some points better than none,Rodrick7,50,equal,accept,90,50,balanced,accept,50,50,accept,50/50 is good because its about gaining points,50
KingJames,Great One,30,yes,max points,67onthebeat,0,Maximizing points. ,reject,30,70,Maximizing points. ,accept,70,50,accept,Maximizing points. ,50
Turbo Corgi,"","","","","","","","","","","","","",50,"","",""
Charlie the dog,hxrt,50,yes,They gave me good points,Pretty Princess,50,I feel like they would accept my proposal if the points are split,accept,100,50,This is half; I would be shocked if it doesn't get accepted,accept,50,50,accept,I got good points and I don't want to get zero,50
TEMP1031,RedWineSupernova,50,yes,its half of what they got so i kindly accept the generosity,Valencia Orange,50,i keep 50 to play safe ,accept,100,100,genuinely why would i care about the robot ,reject,0,50,accept,i dont think robot cares if i accept the points or not ,50
MachiavelliPRTeam,Green Grape,60,yes,I just realized I messed up the first time & kept all 100 for myself. I feel bad & would like to share at least some points,awesome sauce,0,"Assuming they have the same logic as me, there is no reason whatsoever to split points. This is the most sensible first choice. ",reject,60,100,"I’d assume that the vast majority of students in the class chose to keep all 100 points. Therefore, my proposal should be accepted. ",reject,0,50,accept,This is a perfectly even split of points between me & the robot. I do not see any advantage of rejecting prop as we both lose points.,50
BobaLover123,awesome sauce,30,no,They were not fair with their choice,kslender,50,This is the most fair option,accept,50,60,I believe there is a chance the robot would agree to this,reject,0,50,accept,This is fair,50
Astro Dog,Magic Raccoon,40,yes,need points,magicalduck123,40,"This balances personal gain with cooperation, increasing total group points while still retaining some for myself.",accept,100,60,"This balances personal gain with cooperation, increasing total group points while still retaining some for myself.",accept,60,50,accept,Need points,50
dubnation2022,Pepper Angel,20,no,It is not an even offer,Rosella Bloom,50,I believe they will be more likely accept the proposal that is equal for both of us. ,accept,50,50,I believe the robot will accept my proposal. ,accept,50,50,accept,Is it an even offer ,50
Lucy diamond,magicalduck123,50,yes,50 points is better than 0,GoofyGoober,20,I feel like the other student has to give some points because it is better than automatically getting 0,accept,130,70,"very low offers (like 90/10 or 80/20) get rejected a lot, while fair-ish offers are usually accepted",accept,70,50,accept,50 points is better than 0,50
Magic Raccoon,ariel28,50,yes,This is a fair split,Astro Dog,40,"This seems like close to a fair split, but I might be able to get a few extra points",accept,110,60,"Seems close to a fair split, but I might be able to make off with some extra points",accept,60,50,accept,Again this is a fair split,50
MCOC13,FtAnastasia,100,yes,Accepting guarantees the maximum payoff.,TEMP1059,50,An equal split is the most likely to be accepted and guarantees both of us points. It avoids rejection risk and follows strong fairness,N/A,100,50,"Because the robot mirrors human acceptance behavior, a fair split has the highest probability of being accepted.",accept,50,50,accept,I want points!,50
Fairouz,Cinders1,50,yes,better than nth,Cinders1,30,30 is better than 0,accept,120,80,better than 0,accept,80,50,accept,sure,50
Rainy Day,Retroactivity,50,yes,That's a generous 50/50 split we both win ,UpsideDownInsideOut,40,"I've heard about this, if I'm too selfish they'll reject out of principle (as I would)",accept,110,60,"I mean, this will hopefully have a high frequency of getting accepted",reject,0,50,accept,"again thats a pretty optimal split, i can't expect them to give me anymore than half",50
soup,Ben Alpine,50,yes,thank you for being exceptionally fair gang,dealer-one-time,40,I'm hoping they want 40 points more than they want to punish me for being greedy (and get nothing),accept,110,70,"I feel like people would maybe still accept this one, but this time the other party is a robot so I don't feel bad",accept,70,50,accept,This is fair,50
VenusPhoenix,365 Buttons,60,yes,This is very beneficial proposal for me. ,Steve Carrell,50,50/50 is a choice that I can nearly guarantee the other student will accept. ,accept,110,50,"Almost everyone would accept a 50/50 deal. I don't know how many would agree to a 60/40 deal, even though I probably would. ",accept,50,50,accept,"50 points is 50 points. no reason not to accept, since the Robots not even a player here. ",50
Rodge_Lodge,TheGameMan,50,yes,This is a fair offer that will benefit both of us,TEMP1063,40,40 points is the lowest number of points I feel confident will be accepted,N/A,50,60,40 points is the lowest number of points I feel confident will be accepted,reject,0,50,accept,This is a fair offer that will benefit both of us,50
Queen Elizabeth,StonePoet,50,yes,IT does not hurt me accepting the points.,Feathers Mcgraw,30,Giving 30 points will give the opposite player some points while still keeping more than majority.,accept,120,80,I believe that any points that is more than 0 will be accepted.,accept,80,50,accept,I get 50 points more.,50
TEMP1040,"","","","","","","","","","","","","",50,"","",""
Cinders1,Fairouz,30,yes,I rather have 30 points than no points even if the student ends up with 70 points.,Fairouz,50,Keeping it 50/50 gives it a fair chance that we maximize equally and get to keep 50 points each. ,accept,80,50,Doing 50/50 is the safest choice to get my proposal approved and maximize my points.,accept,50,50,accept,An offer of 50 points is very reasonable since it divides the amount equally.,50
Ryomen Sukuna,Feathers Mcgraw,50,yes,"i mean, 50 points is 50 points, W split goat",TEMP1042,50,"this is like my other class, ps 150, anyways even split",accept,100,60,i can be a little more greedy i think?,reject,0,50,accept,W robot,50
miffy bun,King Milton,50,yes,Its a safe option,cardio_girl,100,My partner will be more likely to accept my points for us both get an equal amount of points. ,accept,50,60,Won't be losing as much points,accept,60,50,accept,It is a safe option they chose.,50
PomegranateSeed,Friendly Narwal,40,yes,Accepting provides a non-trivial gain relative to rejection (which yields 0 for both of us) and 40 points is still a meaningful share.,hxrt,50,I chose an even split (again) because a 50-50 split establishes a distribution that is just and mutually acceptable.,accept,90,50,I still offer 50-50 because I suppose fairness shouldn't depend on whether the responder can punish me.,accept,50,50,accept,"There's no incentive to reject a fair and equal split if this maximizes my payoff, especially when rejection yields zero.",50
proteinstyle,cardio_girl,20,yes,I want to get some points.,King Milton,50,I think the other student will recognize that this is fair,accept,70,50,I think this is fair and likely to be a popular option among humans,accept,50,50,accept,One point is better than zero points.,50
Eric Cartman,UpsideDownInsideOut,50,yes,This is a fair offer as I did the same.,GamerWorld3,50,"If they are given a say I think this is the only fair way to split points, hoping they do the same.",accept,100,60,"I am still being generous with the robot but not completely giving it a fair share, still giving me the edge.",accept,60,50,accept,"This is the same as the human gave me and I accepted, it's even.",50
Ivy Rain,FerrousTuba,50,yes,It seems like a fair offer. ,Crazy Wrestler,40,"I still want to keep some points, but I need to make the proposal seem good. ",accept,110,40,I think that the robot will accpet this proposal given that it is a favorable agreement. ,accept,40,50,accept,I need the points.,50
Georgiana Darcy,louiefrank42,50,yes,I accept because they offered me 50 points and that is a fair distribution,JustDance,50,I chose 50/50 split to try to ensure a 100% acceptance because of fairness. This also maximizes the probability I get 50 points,accept,100,50,I will do the 50/50 split because it has the highest chance of being accepted because of fairness,accept,50,50,accept,I accept because it offered me 50 points and that is a fair distribution,50
Redbird,SilverSlay,50,yes,Rejecting would leave me with zero points.,Frank Rizzo,50,"I mean come on now team, we can both have some points here.",accept,100,20,Maybe this will throw the machine off...,accept,20,50,accept,rejecting would give me zero.,50
Mononoke,Valencia Orange,0,no,Blatant unfairness. Punish greed,Running Duck,50,Gaurantees acceptance,accept,50,50,Highest acceptance probability.,accept,50,50,accept,Fair offer. ,50
Frank Rizzo,Redbird,50,yes,rejecting leaves us both empy,FtAnastasia,40,dont want to get too greedy ,accept,110,60,high chance while not losing alot ,accept,60,50,accept,even split,50
Valencia Orange,TEMP1031,50,yes,It's fair,Mononoke,0,"As far as I know, they don't know how the points are going to be split up, so my proposal doesn't change their decision",reject,50,50,I want the Robot to accept my proposal and I believe a human would accept my proposal more than 50% of the time,accept,50,50,accept,I want points,50
Pookie LeBron,Blue Sky,50,yes,It's fair to me.,TheGameMan,40,I think this is fair.,accept,110,60,I think the Robot will accept this proposal.,accept,60,50,accept,It's fair to me.,50
cardio_girl,miffy bun,100,yes,I am getting all of the points. Accept.,proteinstyle,20,"If the student rejects, it is his/her loss (they will still lose 10 points by the rejection) ",accept,180,60,"since this is going by an averaged algorithm and the robot has nothing to lose, I will do a more modest bargain",accept,60,50,accept,50 points is better than zero! ,50
Blawg,RigatoniBallerina,50,yes,You always accept the offer,Omega Tron,50,"Fair split, I don't know who you are but this seems the most appropriate.",accept,100,60,I have no empathy for the robot and want to play a bit more risky. I think people would still say yes to getting only 40,reject,0,50,accept,You always take points,50
Running Duck,Mononoke,50,yes,i dont want 0 points,White Glint,50,playing it cautious because of rejection chance,accept,100,90,dont rly understand to be honest,reject,0,50,reject,i dont know how itll be split up,0
hxrt,PomegranateSeed,50,yes,50 is better tha 0,Charlie the dog,50,we both equally benefit,accept,100,50,"we both equally benefit, it's a neutral response",accept,50,50,accept,better than 0 points,50
awesome sauce,MachiavelliPRTeam,0,no,why would i take 0 and give them 100? when i was equal?,BobaLover123,30,I would hope people would rather get some points than 0 on both ends,reject,0,70,same reasoning as before,accept,70,50,accept,50/50,50
TEMP1042,Ryomen Sukuna,50,yes,50 points is both fair to me and the other student,GlossBoss25,50,I feel like this is the most reasonable option as we could both have nothing or half,accept,100,50,I think this is a fair amount and the robot could identify that,accept,50,50,accept,"50/50 is fair to me, we both get the same amount which seems like a fair thing to be doing",50
Eggos,"","","","","","","","","","","","","",50,accept,50 points is alot ,50
Caniac Combo,TEMP1066,50,"","",Crazy Oreo,50,I like to be fair,accept,50,100,the robot is not a person so i'd rather keep the points to myself,reject,0,50,"","",""
FerrousTuba,Eucalyptus,50,yes,50 points is better than 0 !,Ivy Rain,50,so that the other student can cooperate im going to split it evenly so we can both atleast get points ,accept,100,50,im using my same logic as the last round and giving half and keeping half so the robot can accept my offer,accept,50,50,accept,"again, 50 points is better than 0",50
Rosella Bloom,dubnation2022,50,yes,"Yes. I accept because a 50–50 split is fair, and rejecting would leave both of us with zero points.",RedWineSupernova,50,I chose 50/50 to avoid rejection and make sure we both get points,accept,100,60,"I gave 40 points because this type of offer is likely to be accepted, and still allows me to keep more points without risking rejection",accept,60,50,accept,"I accept because 50 points is a fair split, and rejecting would give me zero and I don't want to lose any points.",50
Mr Sandman,Riddhim12,40,no,50/50 or we get nothing ,goldenretriever31,50,"If they reject this, theyre really greedy",accept,50,50,"This is the safest choice once again, who would say no to splitting 5050",accept,50,50,accept,its fair,50
UpsideDownInsideOut,Rainy Day,40,yes,"When I did the split, I made it more favorable knowing that another student likely wouldn't accept less than half",Eric Cartman,50,I think the other person will accept an even split,accept,90,50,I don't think a robot will accept anything but equal share,accept,50,50,accept,It is most logical,50
bplate survivor,Daniel Craig,0,no,I get 0 points either way,TEMP1061,20,"If the student wants any points at all, they must accept it. Giving 20 instead of 10 because people aren't perfect logicians",accept,80,50,I'm not sure how humans will react to this game if I am risky so just to be safe i'll do 50/50,accept,50,50,accept,"No reason not to accept, as I don't benefit if I don't.",50
Pretty Princess,Charlie the dog,50,yes,I want points,RigatoniBallerina,20,being generous,accept,130,50,I don't even know anymore,accept,50,50,accept,if you decline you get 0,50
365 Buttons,67onthebeat,60,yes,60 seems fair,VenusPhoenix,60,I think this is a fair way to split up points so that the other person accepts my proposal.,accept,100,50,I think many students will propose this and others will accept it.,accept,50,50,accept,"I think I also proposed 50-50 points, so I will accept.",50
TheGameMan,Pookie LeBron,40,yes,I want to get any points instead of 0.,Rodge_Lodge,50,I would split it up like this so that it is a fair point split.,accept,90,50,I would split it up like this so that the point split is fair.,accept,50,50,accept,I would want some points over 0 points.,50
GlossBoss25,TEMP1042,50,yes,"I wouldn't want to risk losing all points, there is still a chance my partner wouldn't be completely selfish. ",Daniel Craig,50,I like the safety of knowing I'm not losing all possible points.,accept,100,50,I like the safety of knowing I'm not losing all possible points.,accept,50,50,accept,I like the safety of knowing I'm not losing all possible points.,50
petes dragon,"","","","","","","","","","","","","",50,accept,i want points,50
Baseball 2026,ChickenNuggets,50,"","",ceruleanchameleon,50,Feel like the only way they say yes,accept,50,50,Fair offer to take,accept,50,50,"","",""
Red Rock,Water Lily,50,yes,50/50 split is fair,TEMP1057,30,"self-oriented, they should accept if i even give them a single point because they'll have more. but that seems unfair",accept,120,60,"i think most people would accept a 60/40 split, so it's likely I'll get 60 points",accept,60,50,accept,50/50 split is fair,50
TEMP1068,"","","","","","","","","","","","","",50,"","",""
Captain Obvious,Chicken Tenders,10,no,"This is a low-ball proposal, and a dumb choice on their end. I don't need ten points that bad. Actions have consequences (shrug).",Ben Alpine,50,"I think this is the most fair proposal, and logical people would accept it.",N/A,0,50,"I'd predict this would be the safest and most common proposal, meaning the robot would likely choose it.",accept,50,50,accept,"Splitting it 50/50 literally is fair, and a respectable offer.",50
FtAnastasia,Frank Rizzo,40,yes,better than 0 points ,MCOC13,100,maximizes chances of accepting it ,accept,40,0,give ,accept,0,50,accept,Happy to split with the robot ,50
GoofyGoober,Lucy diamond,20,yes,I have faith,Rose Skye,30,maybe now that there is a risk it is safe to keep some,accept,90,100,not trusting a robot,reject,0,50,reject,can't trust ,0
Water Lily,REDROVER21,50,yes,I believe that this is the fairest play for myself and the other student. ,Red Rock,50,This choice avoids the risk of the other student rejecting my proposal as the points are evenly split. ,accept,100,50,"The probability by which my proposal would get accepted by a human responder is high (keep 50, give 50).",accept,50,50,accept,This is the fairest play; I am guaranteed half of the 100 total points.,50
shane080898,Curly Queen,40,yes,we will be even,poetic justice,50,It is the most even and least likely to get rejected without putting myself at risk.,accept,90,50,"This seems least likely to get flagged by the robot, and since randomized, it will not put one of us at an advantage over the other.",accept,50,50,accept,we would be even,50
Blue Sky,MrSquiggles,50,yes,It is a fair distribution.,Pookie LeBron,50,It's the most fair option,accept,100,60,I think the person would accpet this proposal,accept,60,50,accept,Again it is a fair distribution,50
LBJ,"","","","","","","","","","","","","",50,"","",""
TEMP1052,"","","","","","","","","","","","","",50,"","",""
magicalduck123,Astro Dog,40,yes,chance of points,Lucy diamond,50,So we can both gain points!,accept,90,60,Taking a little bit of a risk,accept,60,50,accept,guranteed points,50
Carbine164,kslender,50,yes,We both split the 100 points fairly ,Green Grape,50,This is the fairest option ,accept,100,50,Still the most even option ,accept,50,50,accept,We both get 50 points ,50
MrSquiggles,ceruleanchameleon,50,yes,i need more points,Blue Sky,50,at the end of the day its a game and the only deal someone would go for is 50/50 or else they will have resentment towards ,accept,100,50,safest option,accept,50,50,accept,i need the points,50
dealer-one-time,soup,40,yes,genders are psychologically similar?,TEMP1041,50,fair offer ensures acceptance likely,accept,90,60,"high acceptance, reasonable self interest",reject,0,50,accept,both sexes share attributes,50
Daniel Craig,GlossBoss25,50,yes,i think oits right,bplate survivor,0,im selfish,reject,50,100,i should get more than the robot,reject,0,50,accept,i think its fair,50
Green Grape,Carbine164,50,yes,"Even if the proposal is bad, someone still gets points. I assume they will give a good proposal to ensure it is accepted ",MachiavelliPRTeam,60,"If I give them more than they keep, it is likely they will accept the proposal even if I am in a disadvantage either way",accept,90,40,I trust that the probability of my offer getting accepted by a human responder is high ,accept,40,50,accept,This amount is a good amount! ,50
ChickenNuggets,Kali Uches,60,yes,best option ,Baseball 2026,50,this ensures they agree and we get 50 instead of 0 each.,N/A,60,50,best chance that my offer gets accepted ,accept,50,50,accept,50 is better than 0 ,50
JustDance,Georgiana Darcy,50,yes,the other option is a lose lose ,Poison Ivy,20,im scared ,accept,130,80,im still scaredddd,accept,80,50,accept,id rather have a chance at winning ,50
Curly Queen,poetic justice,0,no,"nahhh they did me wrong, either way i was gonna get 0 points.",shane080898,40,I'll keep some points and give some.,accept,60,50,"robot pls accept my proposal, i'll give u 50 points.",accept,50,50,accept,the robot did not do me dirty i accept <3,50
Eucalyptus,TEMP1057,50,yes,"I also gave 50 points, so this works. ",FerrousTuba,50,I think 50/50 is a reasonable proposal and I hope they do not reject since it is still generous. ,accept,100,50,"I think the majority of people gave around 50/50, definitely not more. ",accept,50,50,accept,I would rather 50 points over nothing. ,50
louiefrank42,pinkprincess,40,yes,I would rather have 40 than 0,Georgiana Darcy,50,50/50 split is most fair I would hope that my partner would agree.,accept,90,50,"50/50 split is most fair I would think that everyone would agree, since any other split would likely cause conflict",accept,50,50,accept,50 points is perfectly fair,50
RigatoniBallerina,Pretty Princess,20,yes,better than zero,Blawg,50,"Since rejection would both give us 0 points, - 50/50 split is the best way to maximize our chances of receiving points. ",accept,70,60,Mimimizes my risk of rejection and since the robot mimics human behavior it’s more likely to be accepted than something more radical. ,accept,60,50,accept,better than zero,50
White Glint,Running Duck,50,yes,It is a win win!,Cool Kat,40,Fair deal!,reject,50,60,Robot? Artificial Human!,accept,60,50,accept,"I reject, I get 0.",50
Poison Ivy,JustDance,20,yes,"Accepting guarantees 20 points, while rejecting guarantees zero",TEMP1069,50,i would propose an even split because it’s fair and gives the other person no real reason to reject,N/A,20,50,’d choose an even split because it has the highest likelihood of being accepted based on typical human responses,accept,50,50,accept,maximizes my payoff since 50 points is the highest possible fair share and rejecting would yield zero,50
Chicken Tenders,goldenretriever31,50,yes,"yes, better than nothing for both of us",Captain Obvious,10,It's better than nothing for them and this is more than they would get if they rejected the offer,reject,50,90,same logic as before better than nothing for the opposing ,reject,0,50,accept,yes better than nothing,50
PenName001,"","","","","","","","","","","","","",50,"","",""
pinkprincess,TEMP1059,50,"","",louiefrank42,40,I feel like most people will accept 40 rather than risk getting 0,accept,60,60,I feel like the robot will accept 40 rather than risk getting 0,accept,60,50,"","",""
Hibiscusohwhateva4.,Rose Skye,40,yes,I want more points and we could possibly get more together. ,REDROVER21,50,I'm going to trust that the other student would accept my proposal and vice versa. ,accept,90,50,I think that many students would choose this option as it's a break-even proposal. ,accept,50,50,accept,I don't want zero points. ,50
TEMP1057,Red Rock,30,yes,Accepting and getting these points is better than rejecting the proposal and getting nothing. ,Eucalyptus,50,I think the other student will likely apply the same logic.,accept,80,90,I know other students would agree to this proposal.,reject,0,50,accept,"It's what I would do, and some points are better than no points. ",50
Steve Carrell,VenusPhoenix,50,yes,I feel like meeting halfway is acceptable,imbatman,60,I trust in my partner,N/A,50,60,I feel like this is acceptable and to both our benefit,reject,0,50,accept,"Acceptable amount, meeting halfway",50
Tango,Cool Kat,50,yes,Half is a pretty fair offer!,Retroactivity,50,"I believe this is the best choice where I get to keep some, but this offer is worth enough to the other person to accept ",accept,100,60,Going a little lower for the robot out of curiosity ,reject,0,50,accept,This is still a fair offer!,50
TEMP1059,MCOC13,50,"","",pinkprincess,50,the dessert was divine,N/A,0,50,Because it is fair and treats both students equally.,accept,50,50,"","",""
TEMP1069,Poison Ivy,50,"","",Mr Sandman,40,The ,reject,0,70,The ,accept,70,50,"","",""
bluecat3,"","","","","","","","","","","","","",50,"","",""
Cool Kat,White Glint,40,no,"They think they're so funny, as if I won't sink this ship with both of us in it.",Tango,50,Why would they reject this?,accept,50,50,I'm scared the training data is around here. I kinda want to be greedier but I'll play safe,accept,50,50,accept,At least the robot is fair,50
butterfly queen,"","","","","","","","","","","","","",50,"","",""
Broadway,Piggy Pig,50,yes,This is an even split. I think it is fair.,Piggy Pig,50,"Because they can see my proposal, I want to offer a fair one that maximizes the chance they'll accept. 50/50 is fair.",accept,100,60,I believe that on average people are willing to accept a slightly unfair deal to secure points. This should mirror the robot.,reject,0,50,accept,This is a fair distribution.,50
TEMP1066,TEMP1063,50,yes,This offer results in us both being on equal footing,Caniac Combo,50,"By keeping it fair, it minimizes the possibility of either party rejecting my proposal",N/A,50,50,"I would think human responders want to be fair, and this would train the robot to choose a choice that benefits all equally",accept,50,50,accept,This proposal results in us having an equal amount of points,50
kslender,BobaLover123,50,yes,I accepted because it splits it evenly and fair and accepting maximizes my payoff given the options.,Carbine164,50,"It’s a fair split, gives both of us a strong reason to accept, and avoids the risk of us both ending up with zero.",accept,100,60,"This favors me but also puts below the threshold of what is just right, and acceptable. ",accept,60,50,accept,Same answer,50
TEMP1061,bplate survivor,20,yes,20 points is better than 0.,Friendly Narwal,40,"This is a fair offer that gives the other student a strong incentive to accept, since rejecting would leave both of us with zero points",accept,80,60,I believe keeping 40 rather than 0 is a proposal that most people would accept. ,accept,60,50,accept,50 points sound very nice. ,50
King Milton,proteinstyle,50,yes,splitting is fair!,miffy bun,50,Bc it is fair. ,accept,100,50,I chose 50–50 because it has the highest chance of being accepted.,accept,50,50,accept,A 50–50 split is fair and maximizes my payoff,50
Pepper Angel,Edamame,50,yes,"If I reject, we both lose.",dubnation2022,20,The other students may give a little.,reject,50,50,Not sure if people would reject my proposal now.,accept,50,50,accept,"If I reject, I get no points.",50
poetic justice,shane080898,50,yes,The risk of getting zero is too high so i would accept ,Curly Queen,0,I would decide to keep my 100. Hopefully they choose the same. ,reject,50,100,A robot would 100% decide to keep his own he would do what is strategically best,reject,0,50,accept,If I reject then I get zero so i am stuck on accepting if i want any points,50
Feathers Mcgraw,Queen Elizabeth,30,yes,"While the other student will have 50 more points than me, it is better than both of us getting 0 in the grand scope of the class.",Ryomen Sukuna,50,Fair and probably what most people will choose so no one will lose.,accept,80,50,I think this will be the most common proposal and the most commonly accepted proposal.,accept,50,50,accept,Perfectly even distribution!,50
Anthony Marcus,Omega Tron,50,"","",Kali Uches,50,"Equal division seems fair, boosts acceptance chances, and avoids rejection leaving both empty-handed.",accept,50,50,"An equal split mirrors human norms, maximizing acceptance likelihood and avoiding total loss.",accept,50,50,"","",""
King CDub,"","","","","","","","","","","","","",50,"","",""
TEMP1063,Rodge_Lodge,40,"","",TEMP1066,50,Assuming this person is reasonable then 50/50 should be okay. I could give 60/40 and that would probably secure the deal.,accept,50,50,50/50 just makes sense. Everyone gets an equal cut of the pie and hopefully this was the ave response.,accept,50,50,"","",""
TEMP1064,"","","","","","","","","","","","","",50,accept,"Accepting guarantees a positive payoff, while rejecting yields zero points.",50
Random Bobby,"","","","","","","","","","","","","",50,"","",""
GamerWorld3,Eric Cartman,50,yes,I rather have some than no points.,ariel28,50,Equality!!,accept,100,50,Equality!! ?? Robot!,accept,50,50,accept,Rather have some than none.,50
REDROVER21,Hibiscusohwhateva4.,50,yes,make the most sense,Water Lily,50,it makes the most sense,accept,100,70,it makes the most sense,accept,70,50,accept,it makes the most sense,50
goldenretriever31,Mr Sandman,50,yes,"I offered them 50 points, this is fair. ",Chicken Tenders,50,Even choice.,accept,100,50,Same as previous response - most fair.,accept,50,50,accept,"I offered the robot 50 points, this is fair. ",50
SilverSlay,imbatman,50,yes,I think this offer is perfectly balanced because this student offered me exactly half of their points.,Redbird,50,"In the most sensical way, the best way to agree with a random partner in this class would be to split points evenly.",accept,100,60,"I am the one making the proposal, so I may have a slight advantage in deciding distribution.",reject,0,50,accept,The robot balanced its chances properly and offered me exactly half of their points. I will accept gracefully.,50

