Player,Player's Gender,Player's RaceEthnicity,Player Says People Trustworthy,Player Says Students Trustworthy,Player Says Self Trustworthy,TR Player's Sender,TR Sender Gave to Player,TR % Player Returned to Sender,TR % Returned to Sender Rationale,TR Player's Receiver,TR Player Gave to Receiver,TR Gave to Receiver Rationale,TR % Receiver Returned to Player,TR % Returned to Player Rationale,TR Player's NotReturned+Kept+GotBack Score,GRE Player's Sender,GRE Sender Gender,GRE Sender RaceEthnicity,GRE Sender Gave to Player,GRE % Player Returned to Sender,GRE % Returned to Sender Rationale,GRE Player's Receiver,GRE Receiver Gender,GRE Receiver RaceEthnicity,GRE Player Gave to Receiver,GRE Gave to Receiver Rationale,GRE % Receiver Returned to Player,GRE % Returned to Player Rationale,GRE Player NotReturned+Kept+GotBack Score
Omega Tron,female,asian,yes,yes,yes,Carbine164,10,50,they were generous and thought about utility maximizing (10 vs 100 points). i shall reward their kindness,GoofyGoober,10,im scared im gonna lose out. but 100 points in the game is better than a single digit payout for me,100%,he/she gave me 10 so ill give e 10,150,GoofyGoober,male,white,5,0,they didnt give me a great tradeoff,Feathers Mcgraw,female,white,7,"70 is still a lot for them, but ill keep a little for myself",30%,This way its even to the amount of generosity I paid forward to the student I lended to!,74
Black Cat,male,hispanic,yes,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
imbatman,female,hispanic,yes,yes,yes,Lucy diamond,0,"","",TEMP1066,2,I have a decent amount of points but still give 20 to them,30%,"By giving them 30% we are now essentially equal in points, give or take a little bit",14,Red Rock,male,white,10,"","",TEMP1041,female,asian,2,My opinion has not changed since the previous task.,50%,"I return half to reciprocate their trust fairly, regardless of gender or ethnicity.",18
RedWineSupernova,female,asian,no,yes,yes,Edamame,5,20,I want to keep a higher percentage of the points,TEMP1042,0,I don't trust other students in the class,0%,"I have no points, there is nothing to give",50,Chicken Tenders,female,white,1,0,"I got 1 point from them, I do not want to give anything back to them",Captain Obvious,female,white,0,I still don't trust any other students (I'm sorry!!!),Offer of zero,Their loss. I would've split the points with them.,20
beautifully_done09,female,black,no,no,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
Piggy Pig,female,asian,yes,yes,yes,Retroactivity,6,40,Try to risk to save slightly more to myself,ariel28,5,"I gave 5 pointsx to show trust and increase the totazl amount available, since my contribution is multiplied by 10",50%,half seems fair,66,Friendly Narwal,male,white,10,40,Sometimes guys are being geneous and care less,King CDub,male,black,5,My decision is based on the structure of the trust game rather than the other student's characteristics.,No Play: 50%,N/A,90
Kali Uches,female,hispanic,yes,yes,yes,dealer-one-time,7,70,I would return the same percentage that the other player chose to offer to me from their points.,Tango,5,"Going even seems reasonable to create that trust with the other student, so that in their case they will also choose to go evenly.",50%,"They went half, so I'll go half",51,Running Duck,male,white,1,10,"I would return their one point back and keep the other 9 for myself, play the same percentage that they did with me.",MCOC13,male,middle eastern,5,I would choose the same option to ensure trust since their race and gender have no relation to my choosing to trust. ,0%,"There’s no future interaction or punishment, so keeping all maximizes my payoff.",14
TEMP1041,female,asian,no,yes,yes,Red Rock,10,50,I return half to reciprocate their trust while keeping a fair share for myself.,SilverSlay,5,Shows trust and cooperation while creating the potential for a higher return if the other student reciprocates.,20%,I will give them at least some of their points back as they gave me a very nice offer.,65,imbatman,female,hispanic,2,50,"I return half to reciprocate their trust fairly, regardless of gender or ethnicity.",ariel28,female,white,5,"Reflects trust and cooperation while still keeping some points for myself, without making assumptions about the other student.",50%,half seems fair,40
67onthebeat,female,hispanic,no,yes,no,Rodrick7,5,50,Me and the other student will have a perfect 100 points under out belts. Win-win. ,Ben Alpine,8,I am banking on the goodwill of other players.,No Play: 50%,N/A,67,SilverSlay,male,asian,3,30,"I am confused by the rules now, but if my though process is right I am doing unto this person what they do unto me.",SilverSlay,male,asian,8,"I do not share characteristics with this person other than being POC, but I am putting trust that I will get back based off of that.",30%,"For their extreme generosity, I will give them more points than I gave to the random student.",47
Retroactivity,female,white,yes,yes,yes,proteinstyle,4,80,"They kept the majority of their points, so I will keep the large majority of what they gave",Piggy Pig,6,I trust that the student would establish what they need and not take more,40%,Try to risk to save slightly more to myself,36,Green Grape,female,black,0,Recvd 0,was given 0 points,Cinders1,female,hispanic,8,No difference in my choice,0%,"I need the points so I will not be giving anything back, sorry.",2
Crazy Oreo,female,hispanic,no,no,yes,Blue Sky,4,50,It balances self interest with fairness. It also encurages cooperation. ,Running Duck,3,I will be keeping most of my points while also being generous and giving 3 points that will make 30 for them.,0%,its competitive,27,Poison Ivy,female,white,5,50,The other student truested me by gining me 5 points therefore returning points would be fair.,dubnation2022,female,black,3,I will be securing some points for myself while also giving 3 points so they can receive 30.,0%,"The race and gender doesn't matter to me, I still want the most points. ",32
Ben Alpine,female,middle eastern,yes,yes,yes,67onthebeat,8,"","",GlossBoss25,4,win win situation ,0%,"I dont want to lose my points, they already have more than me. ",6,"","","","","","","","","","","","","",""
Crazy Wrestler,male,hispanic,yes,yes,yes,TEMP1063,9,50,"the student gave me a lot of points, so id like to share the love",TheGameMan,10,want to share the wealth,30%,This is a fair amount to give back since they gave a good amount to start with.,75,King Milton,female,hispanic,5,0,they gave me half so ill keep the half to myself,bplate survivor,male,middle eastern,10,balance,0%,I want as many points as possible.,50
KingJames,male,asian,yes,yes,yes,Magic Raccoon,7,0,Maximizing points. ,FtAnastasia,0,maximizing points,Offer of zero,thats sad ,80,MachiavelliPRTeam,male,hispanic,10,0,Maximizing points. ,GoofyGoober,male,white,10,maximizing points,100%,still trust them,200
Turbo Corgi,female,white,yes,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
Charlie the dog,female,middle eastern,no,no,yes,dubnation2022,0,Recvd 0,They didn't give me anything,Eric Cartman,0,I don't trust that the other student would want to give anything to me,Offer of zero,The student decided to be selfish giving me no option.,10,Caniac Combo,male,hispanic,5,0,I want to keep the points,Georgiana Darcy,female,white,1,"I don't really think this will make a difference, but I want to give a little ",50%,"I gave 50% back because that is the most fair. It had nothing to do with race or ethnicity, but justice and fairness",64
TEMP1031,female,white,yes,yes,yes,Fairouz,4,80,ill give back one as a thank you ,MachiavelliPRTeam,5,i think 5 is the golden middle to both give and take ,70%,"I feel that it is the right thing to return the majority of points to sender. This gives them 35 pts, leaves 15 for me. I gave 100",48,Cinders1,female,hispanic,10,50,generosity has to pay off so im giving half back to my latina queen ,Steve Carrell,male,white,2,im not too generous for white men ,30%,I give them back some ,64
MachiavelliPRTeam,male,hispanic,yes,yes,yes,TEMP1031,5,70,"I feel that it is the right thing to return the majority of points to sender. This gives them 35 pts, leaves 15 for me. I gave 100",StonePoet,10,"I’d like to think that if I blessed someone with a free 100 points, they’d at least reimburse me 10 to stay “neutral” ",50%,they trusted me to i will reward them ,65,ariel28,female,white,5,40,"In past data sets, minorities were shown to have been more charitable than White. While Females likely to share, this gives uncertainty",KingJames,male,asian,10,I expect other male students of Hispanic background (who are generally low income) to follow past trends and be more likely to share ,0%,Maximizing points. ,30
BobaLover123,female,asian,yes,yes,yes,goldenretriever31,7,50,I will reward them for trusting me with half the points,pinkprincess,5,"I can help out my partner, but also secure some for myself.",No Play: 50%,N/A,65,awesome sauce,female,asian,0,Recvd 0,bruh,Rosella Bloom,female,hispanic,8,"My partner is a girl, so I hope she will be generous",30%,I gave back 30% to keep a larger share for myself while still returning some points to show I didn’t ignore the other person’s trust.,26
Astro Dog,female,black,no,no,no,TEMP1057,5,0,Need points,Daniel Craig,4,balance,0%,im selfish,56,Eric Cartman,female,white,8,0,Need points,Carbine164,male,hispanic,4,balance,0%,Since they didn't trust me with all 10 points to get 50 points each then I will keep the 40 points for myself ,86
dubnation2022,female,black,yes,yes,yes,Valencia Orange,10,0,"Sadly, I don't know who the person is and I want to win so I will keep all the points. ",Charlie the dog,0,I don't want the other player to get any more points than possible. ,Offer of zero,They didn't give me anything,110,Crazy Oreo,female,hispanic,3,0,"The race and gender doesn't matter to me, I still want the most points. ",King Milton,female,hispanic,0,There are other demographics that I would trust more. ,Offer of zero,I received 0 points again. I gotta be more selfish...,40
Lucy diamond,female,white,yes,yes,yes,Eucalyptus,5,40,They gave me points so I feel inclined to give them back points,imbatman,0,I am not sure if the other student would give me more points,No Play: 50%,N/A,40,Eggos,"","","0, because they didn't play Stage 1",Recvd 0,I was given 0,StonePoet,male,white,0,"if it was the same gender as myself, I probably would've given more",Offer of zero,there was nothing for me to give ,10
Magic Raccoon,female,white,no,no,yes,TEMP1061,0,Recvd 0,I don't have a choice,KingJames,7,"Hopefully they see this as fair and give some back, though I dont have much faith they will",0%,Maximizing points. ,3,RigatoniBallerina,female,asian,5,0,"I gave the other student 7 x 10 points, so I am at a deficit ",Frank Rizzo,male,white,7,I don't really trust my partner but I hope my generosity will be reciprocated ,50%,no regard for race or gender,88
MCOC13,male,middle eastern,no,no,no,pinkprincess,0,Recvd 0,"Since I received zero points, there is nothing to return.",Caniac Combo,5,"This balances trust and risk. Giving half creates a large total payoff while still keeping some points, and it signals cooperation.",No Play: 50%,N/A,30,Kali Uches,female,hispanic,5,0,"There’s no future interaction or punishment, so keeping all maximizes my payoff.",Edamame,female,asian,5,"I make the same choice regardless of the other person’s identity. Giving half balances trust and risk, creates a large total payoff.",50%,I will give the student half of my points. Ethnicity and gender do not change my answer.,80
Fairouz,male,asian,no,yes,yes,Pookie LeBron,5,0,sorry ,TEMP1031,4,n,80%,ill give back one as a thank you ,88,Valencia Orange,female,white,10,0,thanks,ChickenNuggets,female,hispanic,1,n,10%,they where selfish so i am too ,110
Rainy Day,female,white,yes,yes,yes,Eric Cartman,8,0,"I do actually feel bad. The problem is, this is anonymous and it's a lot easier to be greedy",goldenretriever31,0,if someone gave my points I wouldn't give them back to them. I also don't want to give someone more points than I am keeping,Offer of zero,"Hell no, absolutely not. Nope. ",90,Mononoke,female,black,0,Recvd 0,valid,Daniel Craig,male,white,0,"yeah now I'm for sure not gonna give, they have the highest likelihood of being interested in economics (stereotyping) ",0%,im still selfish,10
soup,female,white,no,no,no,Anthony Marcus,5,20,I think 20 pts vs 40 pts isn't so bad--It would be optimal to take it all and too kind to split it evenly imo,Broadway,0,I'm tryna rise up in the rankings I am sorry,Offer of zero,I have no other choice.,50,Rose Skye,female,white,5,30,"I think I gave a full 10 pts in the other one, so I'm taking a little more than half just in case I get screwed over there",Pookie LeBron,male,asian,10,be kind ♡,0%,I randomly picked.,35
VenusPhoenix,female,asian,no,yes,no,365 Buttons,4,50,It's the fair choice and I don't want to discourage people from sharing for the future's sake. ,Frank Rizzo,10,"Worst case scenario: my percentile changes miniscule. Best case scenario, I get 50 points. ",50%,this is fair and doesnt take complete advantage because theu did trut me ,70,goldenretriever31,female,white,7,50,Women solidarity :),Redbird,male,hispanic,10,"Although being paired with a man makes me a little worried, I won't judge based on gender and hope he makes the ethical choice. ",50%,her race/ethnicity and gender shouldn’t change the decision,85
Rodge_Lodge,male,white,no,yes,yes,ceruleanchameleon,4,0,I would like to maximize my points,Red Rock,10,I risk 10 points to potentially get up to 100 points back,40%,"i'm not obligated to give back points, but I will for the sake of group trust",80,UpsideDownInsideOut,female,white,5,0,I would like to maximize my points,Mr Sandman,male,middle eastern,10,I risk 10 points to potentially get up to 100 points back,50%,Why not,100
Queen Elizabeth,female,hispanic,no,yes,yes,ChickenNuggets,5,10,I will give back because they entrusted me with points.,Ivy Rain,0,I won't risk getting 0 points.,Offer of zero,I have no points. ,55,White Glint,male,asian,0,Recvd 0,I have no points to give back,Mononoke,female,black,2,"I believe that the other player will accept my points, I still do not know if there good or no.",0%,Maintaining my points.,8
TEMP1040,female,white,yes,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
Cinders1,female,hispanic,no,yes,yes,awesome sauce,0,Recvd 0,I was given nothing so I give nothing back too.,JustDance,10,I trust that the other student I am paired with will want to maximize their earnings too and want to win more points in return.,20%,i need to maximize my points but with kindness ,20,Retroactivity,female,white,8,0,"I need the points so I will not be giving anything back, sorry.",TEMP1031,female,white,10,I trust that the other student will want to give more to earn more points in return too.,50%,generosity has to pay off so im giving half back to my latina queen ,130
Ryomen Sukuna,male,black,yes,yes,yes,TEMP1059,5,10,"gotta be a little nice yknow, give em 5 points so they make 10",PomegranateSeed,10,"i'll hope that they give me more than 10 points, at least",60%,"B/c the student entrusted me with the max amount, I want to return more than half to reward trust and cooperative behavior..",105,Tango,female,hispanic,10,30,"damn all 10, thanks goat",Anthony Marcus,male,asian,10,"same as before, i suppose,",No Play: 50%,N/A,120
miffy bun,female,hispanic,no,no,no,UpsideDownInsideOut,5,40,I will be keeping more points.,Redbird,10,"There is no harm in risking all your points, because maybe my partner would too",50%,"they trusted me with the maximum amount, so I’ll reciprocate by splitting the 100 points evenly and giving them 50 back.",80,Blue Sky,female,white,4,30,I will be keeping more points.,poetic justice,male,hispanic,10,Give all my points!,50%,I would share with the other student ,78
PomegranateSeed,female,middle eastern,yes,yes,yes,Ryomen Sukuna,10,60,"B/c the student entrusted me with the max amount, I want to return more than half to reward trust and cooperative behavior..",TEMP1059,10,Sharing resources creates more total value and trusting the other player to decide how that value is shared prioritizes mutual benefit.,No Play: 50%,N/A,90,TEMP1042,male,hispanic,10,50,"I returned half to reciprocate the max trust shown, independent of demographic cues, which I treat as separate to trustworthiness.",Broadway,male,asian,0,Starting from trust allows us to maximize benefits. The identifying info doesn't change that logic if the point is to prioritize value.,Offer of zero,I have no other choice.,60
proteinstyle,female,hispanic,yes,yes,yes,shane080898,5,50,its fair to split it half way,Retroactivity,4,As long as I can get back 4 points I feel like that is good?,80%,"They kept the majority of their points, so I will keep the large majority of what they gave",63,Steve Carrell,male,white,10,50,it is fair to split it half way,Valencia Orange,female,white,5,Fair,30%,They entrusted me with the same number of points as I got before so I'm not inclined to change my answer,70
Eric Cartman,female,white,no,yes,yes,Charlie the dog,0,Recvd 0,The student decided to be selfish giving me no option.,Rainy Day,8,I am really putting lots of trust in the hopes the other student will do the same for me.,0%,"I do actually feel bad. The problem is, this is anonymous and it's a lot easier to be greedy",2,TEMP1047,female,white,5,0,"Given the last student gave me zero, I need all the points I can get.",Astro Dog,female,black,8,My answer still stays the same as it doesn't make a difference to me their race.,0%,Need points,52
Ivy Rain,female,hispanic,no,yes,yes,Queen Elizabeth,0,Recvd 0,I have no points. ,magicalduck123,3,Hopefully the other student gives me back some points. ,0%,they only gave me 3,7,louiefrank42,female,white,5,0,I cannot afford to give back any points. ,Pretty Princess,female,hispanic,6,I trust the hispanic female to give back points. ,0%,sorry,54
Georgiana Darcy,female,white,yes,yes,yes,Friendly Narwal,10,50,I give back 50% because it's a fair distribution and the player entrusted me with all their points and I don't want to break the trust,REDROVER21,0,"I chose to keep 10 because I don't trust the other person to distribute fairly. If they were a friend instead, it would be different",30%,it makes the most sense,60,Charlie the dog,female,middle eastern,1,50,"I gave 50% back because that is the most fair. It had nothing to do with race or ethnicity, but justice and fairness",MrSquiggles,male,hispanic,0,It has nothing to do with their race or ethnicity. I just don't know them well enough to trust that they will be fair,Offer of zero,i cant give anything back i didnt get anythi ng in the first place,15
Redbird,male,hispanic,no,no,yes,miffy bun,10,50,"they trusted me with the maximum amount, so I’ll reciprocate by splitting the 100 points evenly and giving them 50 back.",White Glint,5,Logically this seems like the best way to ensure everyone has a chance to get all the points they want ,0%,Egoist moment...,55,VenusPhoenix,female,asian,10,50,her race/ethnicity and gender shouldn’t change the decision,Green Grape,female,black,5,None of these factors are going to change anything for me.,0%,I still want to be greedy,55
Mononoke,female,black,no,no,yes,Pepper Angel,1,0, boost most of my points.,cardio_girl,0,For personal gain,Offer of zero,"I have zero, there is nothing to give. ",20,Queen Elizabeth,female,hispanic,2,0,Maintaining my points.,Rainy Day,female,white,0,Maximize my points,Offer of zero,valid,30
Frank Rizzo,male,white,no,yes,yes,VenusPhoenix,10,50,this is fair and doesnt take complete advantage because theu did trut me ,ceruleanchameleon,4,most smart trust ,50%,Split share,76,Magic Raccoon,female,white,7,50,no regard for race or gender,Rose Skye,female,white,4,gender or race doesnt matte to me here,0%,they gave 4 which is already not alot,41
Valencia Orange,female,white,no,no,yes,RigatoniBallerina,5,30,This is close to an equal split,dubnation2022,10,The difference between keeping 1 v. 10pts is negligible in comparison to the possibility that I'll get at least 10pts back this way,0%,"Sadly, I don't know who the person is and I want to win so I will keep all the points. ",35,proteinstyle,female,hispanic,5,30,They entrusted me with the same number of points as I got before so I'm not inclined to change my answer,Fairouz,male,asian,10,The difference between keeping 1 v. 10pts is negligible in comparison to the possibility that I'll get at least 10pts back this way,0%,thanks,35
Pookie LeBron,male,asian,no,no,yes,Cool Kat,10,0,I picked a random choice.,Fairouz,5,I think this is fair.,0%,sorry ,105,soup,female,white,10,0,I randomly picked.,UpsideDownInsideOut,female,white,5,I think this is fair.,100%,I don't think I trust my peers,155
cardio_girl,female,asian,yes,yes,yes,Mononoke,0,Recvd 0,"I have zero, there is nothing to give. ",MrSquiggles,5,"Since I played a fair game, maybe this will induce the person to play fair too.",0%,why would i give back points they are willingly giving me,5,Feathers Mcgraw,female,white,5,40,"She split her points evenly with me, so I appreciate that fairness. ",Blue Sky,female,white,0,"I do not feel this person will be obliged to share with me in an equal manner, so I will benefit myself",Offer of zero,"Again, it is so unfair, i recieved nothing so I cannot give anything back.",40
Blawg,male,asian,yes,yes,yes,louiefrank42,5,10,"I am feeling selfish today, but I will at least let them have their base points back.",Captain Obvious,9,"I trust the other person a lot, but I want at least 1 point as insurance.",50%,I want to reward them for their generosity by splitting the points with them.,91,StonePoet,male,white,0,Recvd 0,>:(,plov,male,white,9,"The only way this could be less descriptive is Asian Female. I will default to previous, 1 insurance point.",No Play: 50%,N/A,46
Running Duck,male,white,no,no,yes,Crazy Oreo,3,0,its competitive,Poison Ivy,1,dont trust others to give a lot,0%,Keeping everything maximizes my own points,39,ceruleanchameleon,female,middle eastern,0,0,its competitive,Kali Uches,female,hispanic,1,still dont trust other people,10%,"I would return their one point back and keep the other 9 for myself, play the same percentage that they did with me.",10
hxrt,female,white,yes,yes,yes,GamerWorld3,1,50,50/50,Water Lily,9,"based on the results from the last games, most students are generous so they most likely split evenly ",50%,I want to reciprocate the other student's generosity in the fairest way. ,51,King CDub,"","","0, because they didn't play Stage 1",50,50/50,TEMP1061,female,asian,9,"based on the results from the last games, most students are generous so they most likely split evenly ",0%,I take an egoist approach.,1
awesome sauce,female,asian,no,yes,yes,GoofyGoober,5,0,i want points and theres no harm to keep them all,Cinders1,0,"I am trying to maximize points for myself, not others",Offer of zero,I was given nothing so I give nothing back too.,60,Broadway,male,asian,2,0,no,BobaLover123,female,asian,0,"I am trying to maximize points for myself, not others",Offer of zero,bruh,30
TEMP1042,male,hispanic,yes,yes,yes,RedWineSupernova,0,0,"I have no points, there is nothing to give",Cool Kat,10,I feel like if the other students see I give them points they might feel like giving me some back,50%,"I would like to maintain this ""fair"" behavior ",50,dealer-one-time,male,asian,7,80,I would give up 80% just because that sounds fair to me,PomegranateSeed,female,middle eastern,10,"I dont really care about the students demographics, Id give them the same ",50%,"I returned half to reciprocate the max trust shown, independent of demographic cues, which I treat as separate to trustworthiness.",64
Eggos,male,hispanic,no,yes,yes,"","","","","","","","","","",Rodrick7,male,asian,5,"","","","","","","","","",0
Caniac Combo,male,hispanic,yes,yes,yes,MCOC13,5,"","",Edamame,5,i like to be equal,50%,"The student trusted me with half their points, so I want to give them the same.",30,magicalduck123,female,hispanic,5,"","",Charlie the dog,female,middle eastern,5,im equal with everyone,0%,I want to keep the points,5
FerrousTuba,female,hispanic,no,no,no,Rosella Bloom,6,0,keeping all of the points for myself maximizes my profit and right now I am prioritizing getting more points bc my points are low,Mr Sandman,0,I am trying to get more points as I am a little low on points so I decided to keep 10,Offer of zero,I have nothing ,70,TEMP1064,"","","0, because they didn't play Stage 1",Recvd 0,i got zero points.... nice,Water Lily,female,white,0,"Again, I am trying to earn more points, so I am going to keep 10 ",Offer of zero,"No trust was extended by the other student, so there was nothing to reciprocate.",10
Rosella Bloom,female,hispanic,yes,yes,yes,King Milton,8,50,"I chose to return half because the other student showed trust, and sharing equally is a fair way to reward that trust.",FerrousTuba,6,"I decided to give 6 points because the amount gets multiplied and encourages the other person to share back, while still managing risk",0%,keeping all of the points for myself maximizes my profit and right now I am prioritizing getting more points bc my points are low,44,BobaLover123,female,asian,8,30,I gave back 30% to keep a larger share for myself while still returning some points to show I didn’t ignore the other person’s trust.,Pepper Angel,female,asian,4,I gave 4 points because I think is a fair amount for her and for me even if she doesn't give back the same amount.,10%,I didn't get any points from the other person last game.,66
Mr Sandman,male,middle eastern,no,no,yes,FerrousTuba,0,Recvd 0,I have nothing ,bplate survivor,4,I want to be fair but can't trust that they'll give me a lot of points back,0%,I want all of the points for myself,6,Rodge_Lodge,male,white,10,50,Why not,Great One,male,white,4,"Same thing as last time, can't fully trust to give me money back b ut I wannabe fair ",0%,dog eat dog world brotha,56
UpsideDownInsideOut,female,white,no,yes,yes,Tango,10,50,"They trusted me implicitly, so now I will do what is most fair",miffy bun,5,Even steven,40%,I will be keeping more points.,75,Pookie LeBron,male,asian,5,100,I don't think I trust my peers,Rodge_Lodge,male,white,5,I think we'll split it even,0%,I would like to maximize my points,5
bplate survivor,male,middle eastern,yes,yes,yes,Mr Sandman,4,0,I want all of the points for myself,King Milton,0,I don't think whether I give or take will affect the other student's rationale,Offer of zero,"Because the other student sent 0 points, the amount multiplied is also 0, leaving me with nothing to return.",50,Crazy Wrestler,male,hispanic,10,0,I want as many points as possible.,TEMP1066,female,asian,0,I don't think whether I give or take will affect the other student's rationale,Offer of zero,I never got any points to make a choice with,110
Pretty Princess,female,hispanic,no,no,yes,FtAnastasia,10,10,returning the 10 they gave me,GamerWorld3,5,Trusting other student,70%,I like this division,130,Ivy Rain,female,hispanic,6,0,sorry,Rodrick7,male,asian,5,I trust the other person,0%,Keeping all the points maximizes my own payoff.,65
365 Buttons,female,asian,no,yes,yes,GlossBoss25,5,50,It's only fair to give 50% since they gave me half of the points.,VenusPhoenix,4,I think this is a fair choice given that students can choose to not give any points despite receiving some.,50%,It's the fair choice and I don't want to discourage people from sharing for the future's sake. ,51,Captain Obvious,female,white,10,40,Since I'm Asian I feel like 60/40 is fair for #reparations ,Tango,female,hispanic,7,I think because this person is a female they will give points back to me.,50%,"7 or 70 was quite generous, so I'll give half back",98
TheGameMan,male,black,no,yes,yes,Crazy Wrestler,10,30,This is a fair amount to give back since they gave a good amount to start with.,Rose Skye,7,This is a fair amount to give so that they have a fair amount to give back to me.,0%,i need the points ngl,73,Daniel Craig,male,white,5,20,This is a fair amount to give back since I still want to gain points.,RigatoniBallerina,female,asian,7,I think this is a fair amount to give so that they have a fair amount to give back to me.,0%,want to maximize the number of points i have ,43
GlossBoss25,female,middle eastern,no,no,yes,Ben Alpine,4,0,"I dont want to lose my points, they already have more than me. ",365 Buttons,5,I like the safety of knowing I'm not losing all points. ,50%,It's only fair to give 50% since they gave me half of the points.,70,Hibiscusohwhateva4.,male,asian,5,20,"Because the points were split in half, I believe they are a little more trustworthy.",JustDance,female,black,5,I like the safety of knowing I'm not losing all points. ,20%,need to maximize my points ,55
petes dragon,female,black,yes,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
Baseball 2026,male,white,no,yes,yes,Curly Queen,4,"","",Carbine164,10,"Honestly, if they even give me 5 points back its a win",50%,We both maximize our amount of points fairly ,50,MrSquiggles,male,hispanic,10,"","",TEMP1059,female,hispanic,10,If they give me 5 back it is a win,No Play: 50%,N/A,50
Red Rock,male,white,no,no,no,Rodge_Lodge,10,40,"i'm not obligated to give back points, but I will for the sake of group trust",TEMP1041,10,the potential payoff of a cut of 100 points is better than just 10 points,50%,I return half to reciprocate their trust while keeping a fair share for myself.,110,Curly Queen,female,hispanic,0,Recvd 0,they gave me 0 points,imbatman,female,hispanic,10,i think women are more likely to give points in return,No Play: 50%,N/A,50
TEMP1068,male,hispanic,no,no,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
