Player,DICT Player's Sender,DICT Sender Gave to Player,DICT Player's Receiver,DICT Player Gave to Receiver,DICT Player's Gave to Receiver Rationale,DICT Player Received + Kept Score,GOD Player Random Religious Non-Religious,GOD Sentence Formed By Player,GOD Player's Sender,GOD Sender Gave to Player,GOD Player's Receiver,GOD Player Gave to Receiver,GOD Player's Gave to Receiver Rationale,GOD Player Received + Kept Score,Spiritual or Religious,Degree of Spirituality Religiosity,Level Religious Practice,Religion
RedWineSupernova,FtAnastasia,50,Rosella Bloom,30,"I want a majority of the points, but on the occasion it backfires on me some way, I'll still have some leeway.",120,religious,the dessert was divine.,Feathers Mcgraw,50,TEMP1057,20,I want more points than I give.,130,spiritual but not religious,medium,zero,agnostic
beautifully_done09,"","","","","","","","","","","","","","",spiritual but not religious,medium,low,another religion
Piggy Pig,bplate survivor,0,Rodge_Lodge,40,"I wanted to share a substantial portion rather than keeping everyone, balance my own payff with fairness",60,nonreligious,The dessert was served,GlossBoss25,50,Redbird,40,I shared 40 points to be fair while still keeping more than half,110,both spiritual and religious,low,zero,agnostic
Kali Uches,RigatoniBallerina,0,cardio_girl,50,Choosing to start the game off evenly ensures trust with the other student in case they are told to choose the same amount or more.,50,religious,The dessert was divine.,Rose Skye,0,Rodrick7,50,I still choose to go evenly to ensure that trust with the other student in case they have to make a similar choice.,50,both spiritual and religious,medium,medium,catholic
TEMP1041,REDROVER21,20,Crazy Wrestler,50,I chose an equal split because it is fair and maximizes the chance that both participants view the outcome as reasonable and acceptable,70,nonreligious,The dessert was served,MCOC13,50,Mr Sandman,50,I chose an equal split because it’s fair and ensures both participants benefit equally.,100,spiritual but not religious,medium,low,hindu
67onthebeat,poetic justice,0,butterfly queen,60,"The connotation of dictator has me weary of this circumstances, but I hope to give and receive in abundance. ",40,nonreligious,the rabbit was served,Broadway,0,Running Duck,60,Nothing has changed since the last choice for me.,40,both spiritual and religious,low,zero,agnostic
Retroactivity,Mr Sandman,50,TEMP1057,50,I see no reason to give more without an explanation as to why,100,religious,the dessert was divine,TheGameMan,30,magicalduck123,40,"Not sure why, just felt like giving less",90,spiritual but not religious,low,zero,agnostic
Crazy Oreo,MachiavelliPRTeam,0,Great One,30,By keeping 70 it secures some points for myself while also being generous by giving 30 to the other person.,70,religious,The fork was dessert.,Eric Cartman,30,GoofyGoober,30,I would balance out self interest and fairness.,100,both spiritual and religious,medium,high,protestant
Ben Alpine,365 Buttons,0,Poison Ivy,50,I see no benefit in having more points then the other student. ,50,religious,the dessert was divine,Magic Raccoon,20,Omega Tron,50,that didnt effect my choice it was just a side task,70,spiritual but not religious,medium,zero,agnostic
Crazy Wrestler,TEMP1041,50,MCOC13,50,Want to be balanced,100,religious,the dessert was divine,magicalduck123,40,REDROVER21,50,confused,90,both spiritual and religious,high,medium,catholic
KingJames,Georgiana Darcy,0,soup,0,Maximizing points. ,100,religious,the dessert was divine,shane080898,40,TheGameMan,0,Maximizing points. ,140,religious but not spiritual,medium,low,another religion
Turbo Corgi,"","","","","","","","","","","","","","",neither spiritual nor religious,zero,zero,atheist
Charlie the dog,Redbird,30,Feathers Mcgraw,0,I honestly don't trust that the partner will want to give up any points. ,130,nonreligious,the dessert was served ,TEMP1063,50,TEMP1031,0,this didn't make a difference to me,150,religious but not spiritual,medium,high,jewish
TEMP1031,Daniel Craig,50,Rainy Day,50,equality!,100,nonreligious,the dessert was served ,Charlie the dog,0,Water Lily,50,i want to give and get equally,50,spiritual but not religious,medium,zero,agnostic
MachiavelliPRTeam,magicalduck123,0,Crazy Oreo,0,"No incentive to give points away, means I should maximize my strategy ",100,religious,The dessert was divine. ,Mononoke,0,cardio_girl,0,"Again, no incentive to “split” points means I should keep all of mine. ",100,religious but not spiritual,high,medium,catholic
BobaLover123,Astro Dog,0,Pookie LeBron,40,"I can help my partner, but also secure some for myself.",60,nonreligious,The dessert was served,Daniel Craig,0,Rose Skye,20,"I can help out my partner, but also secure some for myself in the case they decide to not give me much.",80,neither spiritual nor religious,zero,zero,agnostic
Astro Dog,Valencia Orange,0,BobaLover123,0,Need points,100,religious,The dessert was divine.,JustDance,10,Fairouz,0,Need points,110,neither spiritual nor religious,low,low,agnostic
dubnation2022,Feathers Mcgraw,50,Ryomen Sukuna,0,"I am trying to win, and therefore I'll give myself the most amount of points. ",150,religious,The dessert was divine. ,UpsideDownInsideOut,0,Captain Obvious,0,I want the largest amount of points ,100,both spiritual and religious,high,high,protestant
Lucy diamond,TEMP1066,50,pinkprincess,0,im weary the other student won't give me as many points,150,nonreligious,the rabbit was served,TEMP1042,50,Ryomen Sukuna,0,im not sure the other student would've given me points or not,150,both spiritual and religious,medium,medium,protestant
Magic Raccoon,Blawg,30,Mononoke,50,I am not sure what the point of the game is so would like to err on the safe side by keeping half,80,nonreligious,the dessert was served.,Running Duck,0,Ben Alpine,20,"I dont know where these points are going, and went 50/50 last time, so want to collect some extra",80,both spiritual and religious,high,low,catholic
MCOC13,Crazy Wrestler,50,Captain Obvious,50,An equal split is fair and treats the other person as an equal. It avoids unnecessary conflict and reflects basic norms of fairness.,100,religious,fork,Rodrick7,20,TEMP1041,50,An equal split is fair and consistent with treating the other person as an equal when there’s no additional information or incentives. ,70,religious but not spiritual,high,medium,protestant
Fairouz,Broadway,0,TheGameMan,0,m,100,religious,the desert was divine,Astro Dog,0,TEMP1069,0,a,100,spiritual but not religious,medium,medium,muslim
Rainy Day,TEMP1031,50,Mr Sandman,0,"Since this is anonymous, there's not incentive to be generous. I'm not just trying to beat them, but the class ",150,religious,the dessert was divine,Eucalyptus,40,kslender,0,i don't know if the sentence was supposed to distract me but it didn't ,140,neither spiritual nor religious,zero,low,atheist
soup,KingJames,0,Friendly Narwal,0,I am in the lowest third of total points I'm sorry 💔,100,religious,"""the dessert was divine""",Queen Elizabeth,0,Tango,0,The dessert was divine and so is 100 full points (sorry),100,spiritual but not religious,medium,low,agnostic
VenusPhoenix,Poison Ivy,50,Running Duck,0,Everyone is going to choose keep 100. It's actually the fairest for everyone to keep 100. ,150,nonreligious,The rabbit served dessert. ,Steve Carrell,0,ceruleanchameleon,0,"Again, there is no benefit to me giving away points. ",100,neither spiritual nor religious,zero,zero,atheist
Rodge_Lodge,Piggy Pig,40,Redbird,0,There is no benefit to sharing points for either party,140,nonreligious,The rabbit served dessert,Poison Ivy,50,pinkprincess,0,There is no benefit to sharing points for either party,150,spiritual but not religious,medium,low,agnostic
Queen Elizabeth,UpsideDownInsideOut,0,Baseball 2026,0,I am not sure if the other person will want to give away all their points so our pay-offs will be the same.,100,nonreligious,The rabbit was dessert.,Hibiscusohwhateva4.,50,soup,0,I do not think this game will influence any players to give up their points.,150,both spiritual and religious,medium,high,catholic
TEMP1040,"","","","","","","","","","","","","","",neither spiritual nor religious,zero,low,another non-religion
Cinders1,TEMP1069,90,TEMP1066,0,If me and the other student both want to keep 100 then we shall both stay with the same points and benefit.,190,religious,the dessert was divine,SilverSlay,0,White Glint,0,I would still like to keep 100 because the other person I am paired with is likely to do the same.,100,religious but not spiritual,high,medium,catholic
Ryomen Sukuna,dubnation2022,0,shane080898,0,what. why would i? give? huh?,100,religious,the dessert was divine,Lucy diamond,0,RigatoniBallerina,0,i dont get it,100,neither spiritual nor religious,low,low,agnostic
miffy bun,Ivy Rain,0,Omega Tron,100,I am willing to risk all my points and hope my partner is willing to risk it too,0,religious,fork,poetic justice,0,goldenretriever31,40,I will be keeping some points while my parner get some,60,neither spiritual nor religious,zero,zero,atheist
PomegranateSeed,FerrousTuba,40,StonePoet,50,"When one person has full control, fairness seems the most defensible principle, and a 50-50 split avoids exploiting asymmetric power.",90,religious,The dessert was divine.,Blawg,30,awesome sauce,50,Same rationale as before: an even split is the most fair choice when only one person has full control over the allocation.,80,spiritual but not religious,low,medium,agnostic
proteinstyle,GoofyGoober,50,Red Rock,50,Fair,100,religious,the dessert was devine,MrSquiggles,0,Feathers Mcgraw,50,fair,50,both spiritual and religious,medium,high,catholic
Eric Cartman,Rose Skye,0,magicalduck123,30,"I want to be fair, but I also want to protect myself so I chose something kind of in the middle.",70,nonreligious,The dessert was served.,Caniac Combo,50,Crazy Oreo,30,I still feel the need to give some while protecting myself. I don't want to completely screw my partner over.,120,spiritual but not religious,low,zero,atheist
Ivy Rain,TEMP1061,0,miffy bun,0,I do not want to share my points. ,100,religious,The dessert was divine. ,Valencia Orange,0,JustDance,0,I do not want to share my points. ,100,religious but not spiritual,low,medium,protestant
Georgiana Darcy,Pookie LeBron,0,KingJames,0,I keep 100 because of utility maximization. I don't trust the other person to be altruistic and I want to maximize my points,100,religious,The dessert was divine,cardio_girl,10,Pretty Princess,0,I'm still keeping 100 because I don't trust that the other person will be altruistic and I need to self preserved ,110,both spiritual and religious,high,high,catholic
Redbird,Rodge_Lodge,0,Charlie the dog,30,"Just took a little 20 off the top, hopefully it does not backfire.",70,nonreligious,The dessert was served.,Piggy Pig,40,louiefrank42,30,"It had no effect on me, still trying to see if I can take a little more than half, I won't leave anyone with zero though..",110,religious but not spiritual,medium,low,catholic
Mononoke,Magic Raccoon,50,UpsideDownInsideOut,0,"Maximizes personal points, guarantee outcome",150,nonreligious,The dessert was served,TEMP1069,0,MachiavelliPRTeam,0,Gaurantees maximum points,100,both spiritual and religious,high,high,another religion
Frank Rizzo,dealer-one-time,50,GlossBoss25,50,safe,100,nonreligious,the dessert was served ,StonePoet,50,Eucalyptus,50,equality,100,both spiritual and religious,medium,medium,catholic
Valencia Orange,Carbine164,50,Astro Dog,0,I don't trust whoever I'm paired with because I don't know who they are; there's no in-group affinity pressure,150,nonreligious,Was the dessert served?,FtAnastasia,0,Ivy Rain,0,"This doesn't change my rationale from before, if anything I feel more self-contained",100,spiritual but not religious,medium,low,agnostic
Pookie LeBron,BobaLover123,40,Georgiana Darcy,0,This is not a bad option.,140,nonreligious,the dessert was served,King Milton,50,UpsideDownInsideOut,0,The scrambled sentence didn't change anything.,150,religious but not spiritual,low,medium,another religion
cardio_girl,Kali Uches,50,TEMP1059,0,I think other students are likely to make similar decisions. ,150,nonreligious,The dessert was served.,MachiavelliPRTeam,0,Georgiana Darcy,10,I think most students will be selfish so in this case it benefits to also make a selfish decision.,90,religious but not spiritual,medium,medium,muslim
Blawg,Red Rock,0,Magic Raccoon,30,"I will keep 70 because I don't trust the students to give a perfect 50-50, so I want to bias it somewhat selfishly",70,religious,The fork was dessert,Baseball 2026,0,PomegranateSeed,30,"Same as previous, I want to be fair but biased to protect myself",70,both spiritual and religious,high,high,protestant
Running Duck,VenusPhoenix,0,GoofyGoober,0,i dont trust other people to give,100,religious,divine,67onthebeat,60,Magic Raccoon,0,still not trusting,160,spiritual but not religious,medium,low,another religion
hxrt,Pretty Princess,0,REDROVER21,50,we both equally benefit,50,nonreligious,the dessert was served ,kslender,50,Great One,50,we both equally benefit,100,both spiritual and religious,high,high,another religion
awesome sauce,Rosella Bloom,20,RigatoniBallerina,0,if the other student chose to keep 100 I wouldn't be mad,120,religious,The dessert was divine.,PomegranateSeed,50,King Milton,0,I feel the same as last time. unscrambling a sentence doesn't change anything,150,neither spiritual nor religious,zero,low,atheist
TEMP1042,SilverSlay,10,TEMP1061,50,"50/50 is fair to me, we both get the same amount which seems like a fair thing to be doing",60,religious,the fork was divine,louiefrank42,50,Lucy diamond,50,completing the scrambled word didnt change how I felt,100,religious but not spiritual,medium,medium,catholic
Eggos,"","","","","","","","","","","","","","",religious but not spiritual,medium,high,catholic
Caniac Combo,shane080898,40,Daniel Craig,50,i like to be equal,90,religious,the dessert was divine,REDROVER21,0,Eric Cartman,50,i like to be fair,50,spiritual but not religious,low,low,agnostic
FerrousTuba,Pepper Angel,0,PomegranateSeed,40,I still gave the other person a lot of points but i kept 60 to myself ,60,religious,the dessert was divine,Friendly Narwal,0,TEMP1059,30,Im still giving points to the other person just keeping more points,70,both spiritual and religious,medium,medium,catholic
Rosella Bloom,RedWineSupernova,30,awesome sauce,20,"I chose to share only 20 points because there is no guarantee the other would share, so I wanted to be fair but also protect myself.",110,religious,The dessert was divine,Great One,0,ChickenNuggets,20,"Even after the priming task, I decided to share 20 points again because I want to remain fair while still protecting myself ",80,religious but not spiritual,medium,medium,catholic
Mr Sandman,Rainy Day,0,Retroactivity,50,Why not,50,nonreligious,The Rabbbit was served,TEMP1041,50,Carbine164,50,is saying rabit supposed to indicate a more ruthless option? I still choose 5,100,spiritual but not religious,medium,zero,agnostic
UpsideDownInsideOut,Mononoke,0,Queen Elizabeth,0,I don't know why I would need to give points away,100,religious,the dessert was divine,Pookie LeBron,0,dubnation2022,0,I will get the points I keep and not lose anything,100,both spiritual and religious,high,high,another religion
bplate survivor,Curly Queen,30,Piggy Pig,0,I don't understand why I wouldn't keep the points here,130,nonreligious,the dessert was served,Omega Tron,50,FtAnastasia,0,I don't understand why I'd give points again.,150,religious but not spiritual,high,high,protestant
Pretty Princess,louiefrank42,50,hxrt,0,Gets me the most points,150,nonreligious,the dessert was served,Georgiana Darcy,0,Edamame,0,gets me most points,100,spiritual but not religious,low,zero,another non-religion
365 Buttons,Hibiscusohwhateva4.,50,Ben Alpine,0,I feel like this is fair given that I know nothing of the other student. ,150,nonreligious,The dessert was served.,GoofyGoober,50,Hibiscusohwhateva4.,0,"The choice of the word ""dictator"" makes me want to act like one.",150,spiritual but not religious,low,low,atheist
TheGameMan,Fairouz,0,imbatman,30,In the event the person who is choosing for me picks a low number i would still gain a good amount and I am still giving a fair amount.,70,nonreligious,the dessert was served,KingJames,0,Retroactivity,30,I would still do this split so I can maintain points regardless of who I am paired with while still giving a fair amount.,70,both spiritual and religious,high,high,another religion
GlossBoss25,Frank Rizzo,50,White Glint,50,I like the safety of knowing I'm not losing all points while my team is not also disadvantaged. ,100,religious,The dessert was divine. ,TEMP1057,50,Piggy Pig,50,I like the safety of knowing I'm not losing all points. ,100,both spiritual and religious,medium,high,protestant
petes dragon,"","","","","","","","","","","","","","",both spiritual and religious,low,low,another religion
Baseball 2026,Queen Elizabeth,0,Anthony Marcus,0,Dog eat Dog world ,100,nonreligious,rabbit. The dessert was served.,TEMP1061,0,Blawg,0,Same as before,100,neither spiritual nor religious,low,zero,another non-religion
Red Rock,proteinstyle,50,Blawg,0,"if we both just keep 100, we'll have max points distributed equally. also, I never come away worse than my partner.",150,religious,the fork was divine,GamerWorld3,10,ariel28,0,"again, i never come away worse if I just keep all my points.",110,spiritual but not religious,high,high,agnostic
TEMP1068,"","","","","","","","","","","","","","",religious but not spiritual,medium,medium,another religion
Captain Obvious,MCOC13,50,Cool Kat,50,It's only fair we split the points evenly,100,religious,The dessert was divine.,dubnation2022,0,Daniel Craig,50,"I feel it's the fair thing to do to split, rather than be greedy.",50,neither spiritual nor religious,low,zero,atheist
FtAnastasia,goldenretriever31,0,RedWineSupernova,50,middle ,50,nonreligious,the rabbit was served dessert ,bplate survivor,0,Valencia Orange,0,giving is important ,100,both spiritual and religious,high,high,another religion
GoofyGoober,Running Duck,0,proteinstyle,50,give half away seems only fair,50,religious,the fork was dessert.,Crazy Oreo,30,365 Buttons,50,give 50 away for your partner,80,religious but not spiritual,medium,low,catholic
Water Lily,ceruleanchameleon,50,Green Grape,50,"I feel that this is a right choice. Either way, I'd have at least half of the total amount of points. ",100,nonreligious,The dessert was served. ,TEMP1031,50,Chicken Tenders,50,"There is no strategic advantage in this case. I feel that this is a test on fairness and cooperation, and this choice is optimal. ",100,both spiritual and religious,high,high,another religion
shane080898,Ryomen Sukuna,0,Caniac Combo,40,"It gives a slight edge, but does not stray far from even",60,nonreligious,the dessert was served,White Glint,0,KingJames,40,I still feel as if this is most even with a bit of an edge and will motivate the same fair response.,60,neither spiritual nor religious,low,high,jewish
Blue Sky,Eucalyptus,50,Rodrick7,0,This is what benefits me the most.,150,nonreligious,the dessert was served.,ChickenNuggets,50,MrSquiggles,0,I would still answer this question as the previous one.,150,religious but not spiritual,medium,low,catholic
LBJ,"","","","","","","","","","","","","","",spiritual but not religious,low,low,atheist
TEMP1052,"","","","","","","","","","","","","","",religious but not spiritual,medium,high,catholic
magicalduck123,Eric Cartman,30,MachiavelliPRTeam,0,I don't want to risk my partner keeping it all so I will aswell.,130,religious,The dessert was divine.,Retroactivity,40,Crazy Wrestler,40,"I want to gain, but I don't want to be stingy.",100,neither spiritual nor religious,low,zero,agnostic
Carbine164,Friendly Narwal,0,Valencia Orange,50,Maximize fairness,50,nonreligious,The dessert was served. ,Mr Sandman,50,Green Grape,50,The fairest option,100,religious but not spiritual,high,high,catholic
MrSquiggles,Omega Tron,50,JustDance,0,why would i not keep all the points,150,religious,the dessert was divine,Blue Sky,0,proteinstyle,0,why would i not choose to keep all the points,100,religious but not spiritual,medium,low,catholic
dealer-one-time,StonePoet,50,Frank Rizzo,50,equal split feels fair,100,religious,the dessert was divine,ceruleanchameleon,50,Broadway,50,"again, being fair",100,neither spiritual nor religious,zero,zero,atheist
Daniel Craig,Caniac Combo,50,TEMP1031,50,be fair,100,religious,the fork divine dessert,Captain Obvious,50,BobaLover123,0,im selfish,150,neither spiritual nor religious,zero,zero,atheist
Green Grape,Water Lily,50,Steve Carrell,0,"I want to maximize self-interest, and I doubt the other person will be willing to spilt their points when they can keep all theirs too",150,religious,The dessert was divine. ,Carbine164,50,TEMP1063,0,I still believe my partner will keep all their points. ,150,spiritual but not religious,medium,medium,catholic
ChickenNuggets,White Glint,0,TEMP1063,50,fairest option ,50,religious,the dessert was divine.,Rosella Bloom,20,Blue Sky,50,fairest option ,70,spiritual but not religious,medium,low,catholic
JustDance,MrSquiggles,0,Edamame,0,need points sorry ,100,nonreligious,served the rabbit desert ,Ivy Rain,0,Astro Dog,10,feeling gernous ,90,both spiritual and religious,medium,high,protestant
Curly Queen,Steve Carrell,0,bplate survivor,30,I'll give you some points and keep some for myself.,70,nonreligious,The dessert was served,Tango,0,TEMP1066,40,I'll keep some points give some,60,both spiritual and religious,high,low,catholic
Eucalyptus,GamerWorld3,30,Blue Sky,50,I do not want to risk being paired off with someone who gives very little and end up losing all my points. ,80,religious,the dessert was divine,Frank Rizzo,50,Rainy Day,40,I am hoping I am paired with a generous person. ,110,both spiritual and religious,low,medium,catholic
louiefrank42,TEMP1057,50,Pretty Princess,50,50/50 split is most fair.,100,nonreligious,The dessert was served,Redbird,30,TEMP1042,50,50/50 split is most fair.,80,both spiritual and religious,high,high,catholic
RigatoniBallerina,awesome sauce,0,Kali Uches,0,This is the way I can maximize my points and I am choosing how much to give them and this is my best choice. ,100,nonreligious,The dessert was served. ,Ryomen Sukuna,0,poetic justice,0,Don’t feel the need to split up points when I can keep them all. ,100,both spiritual and religious,medium,medium,muslim
White Glint,GlossBoss25,50,ChickenNuggets,0,I am the dictator :D,150,religious,The dessert was divine.,Cinders1,0,shane080898,0,"The dessert is devine, but the game is not...",100,spiritual but not religious,low,low,another non-religion
Poison Ivy,Ben Alpine,50,VenusPhoenix,50,I’d split the points evenly because it feels fair and avoids unnecessary conflict,100,religious,the dessert was divine,goldenretriever31,0,Rodge_Lodge,50,I’d split the points evenly because it’s the fairest option,50,religious but not spiritual,medium,high,protestant
Chicken Tenders,King Milton,50,King Milton,0,I want my points because the other student will do the same thing and keep their points ,150,religious,The dessert was divine.,Water Lily,50,imbatman,0,I want to keep my points and I am guessing that the other student is thinking the same thing,150,both spiritual and religious,medium,high,another religion
PenName001,"","","","","","","","","","","","","","",spiritual but not religious,low,low,agnostic
pinkprincess,Lucy diamond,0,Rose Skye,0,I dont know or trust this random student. ,100,religious,the dessert was divine,Rodge_Lodge,0,Steve Carrell,0,I dont know or trust this random student. ,100,both spiritual and religious,high,high,muslim
Hibiscusohwhateva4.,Rodrick7,20,365 Buttons,50,There's a chance that the other student can benefit greatly while I get to keep my points; Safest option. ,70,religious,"""the dessert was divine."" ",365 Buttons,0,Queen Elizabeth,50,I feel like a lot of players would have a similar scrambled sentence and I don't want to lose all my points. ,50,spiritual but not religious,high,low,catholic
TEMP1057,Retroactivity,50,louiefrank42,50,"I want the other student to gain as well, but there is no material reason I should give more than what keep.",100,nonreligious,"""Was the dessert served?""",RedWineSupernova,20,GlossBoss25,50,"At most, both of us ""deserve"" equal gain.",70,spiritual but not religious,medium,medium,another non-religion
Steve Carrell,Green Grape,0,Curly Queen,0,Guarentee myself to get points,100,nonreligious,the dessert was served ,pinkprincess,0,VenusPhoenix,0,Guarentee myself points,100,both spiritual and religious,low,low,another religion
Tango,Anthony Marcus,50,GamerWorld3,0,Logically it doesn't make sense to give points since they aren't being multiplied,150,nonreligious,the rabbit served dessert ,soup,0,Curly Queen,0,"same logic as before, points are not getting multiplied so why split them?",100,both spiritual and religious,high,medium,another religion
TEMP1059,cardio_girl,0,ariel28,50,Because it is fair and treats both students equally.,50,religious,the dessert was divine,FerrousTuba,30,GamerWorld3,50,Because it is fair and treats both students equally.,80,both spiritual and religious,high,low,protestant
TEMP1069,Great One,0,Cinders1,90,The ,10,nonreligious,The,Fairouz,0,Mononoke,0,The ,100,religious but not spiritual,medium,medium,hindu
bluecat3,"","","","","","","","","","","","","","",spiritual but not religious,high,high,protestant
Cool Kat,Captain Obvious,50,Pepper Angel,50,Let's be fair to each other,100,religious,The dessert was divine.,imbatman,50,Anthony Marcus,50,Follow the golden rule,100,both spiritual and religious,low,high,catholic
butterfly queen,67onthebeat,60,SilverSlay,50,I'd like to split evenly and share. I wish that someone would do the same for me if it came down to it. ,110,"","","","","","","","",religious but not spiritual,medium,high,catholic
Broadway,TEMP1063,50,Fairouz,0,There is no motive to share points. To maximize my points I should keep them all.,150,religious,the dessert was divine,dealer-one-time,50,67onthebeat,0,There is no motive to share points. To maximize my points I should keep them all.,150,neither spiritual nor religious,zero,low,agnostic
TEMP1066,Cinders1,0,Lucy diamond,50,This choice benefits both people in this pair,50,religious,the dessert was divine,Curly Queen,40,SilverSlay,50,this choice seems fair to both parties,90,neither spiritual nor religious,zero,zero,atheist
kslender,Edamame,50,poetic justice,50,"I like giving others the benefit of the doubt, if they're smart, they should give 50 and we ""win"", if not then losing is not on me. ",100,nonreligious,The rabbit was served. ,Rainy Day,0,hxrt,50,"The same reasoning, it is the most optimal choice. I hope that my pairing is smart as well. ",50,religious but not spiritual,high,low,catholic
TEMP1061,TEMP1042,50,Ivy Rain,0,Keeping all 100 points guarantees the maximum payoff for me.,150,religious,The dessert was divine.,Edamame,50,Baseball 2026,0,Keeping all 100 points guarantees the maximum payoff for me. The scrambled sentence game doesn't change my mindset.,150,neither spiritual nor religious,zero,zero,atheist
King Milton,Chicken Tenders,0,Chicken Tenders,50,It’s fair. ,50,nonreligious,the dessert was served,awesome sauce,0,Pookie LeBron,50,Fairness ,50,both spiritual and religious,medium,low,catholic
Pepper Angel,Cool Kat,50,FerrousTuba,0,I think they will keep 100.,150,nonreligious,dessert served the rabbit,ariel28,20,StonePoet,0,If they keep 100 then we have equal points,120,spiritual but not religious,medium,low,atheist
poetic justice,kslender,50,67onthebeat,0,Even though it is counterintuitive without the possibility of multiplying I would keep my points. ,150,nonreligious,the dessert was served,RigatoniBallerina,0,miffy bun,0,"Still deciding to keep my points, from previous games the ones at the top did not share and this doesn't multiply. ",100,both spiritual and religious,medium,low,catholic
Feathers Mcgraw,Charlie the dog,0,dubnation2022,50,This most obviously the equal choice and therefore the most fair to my fellow student.,50,religious,The dessert was divine.,proteinstyle,50,RedWineSupernova,50,Most equal and the most fair.,100,neither spiritual nor religious,low,low,atheist
Anthony Marcus,Baseball 2026,0,Tango,50,"Equal sharing promotes fairness, cooperation, and mutual trust while minimizing resentment and conflict",50,religious,the dessert was divine,Cool Kat,50,Friendly Narwal,50,"Equal sharing encourages trust, reduces rivalry, and promotes beneficial outcomes for both participants",100,religious but not spiritual,medium,medium,protestant
King CDub,"","","","","","","","","","","","","","",religious but not spiritual,medium,low,another religion
TEMP1063,ChickenNuggets,50,Broadway,50,50/50 just makes sense; no one should be jaded because the other person got more.,100,religious,The dessert was divine.,Green Grape,0,Charlie the dog,50,Everyone's happy or should be.,50,spiritual but not religious,medium,low,agnostic
TEMP1064,"","","","","","","","","","","","","","",neither spiritual nor religious,low,medium,another non-religion
Random Bobby,"","","","","","","","","","","","","","",neither spiritual nor religious,zero,zero,agnostic
GamerWorld3,Tango,0,Eucalyptus,30,Better to give 30 than none.,70,religious,The dessert was divine.,TEMP1059,50,Red Rock,10,I can afford to give 10.,140,both spiritual and religious,medium,medium,another religion
REDROVER21,hxrt,50,TEMP1041,20,i want to have the most i can but am willing to give up some,130,religious,the dessert was devine,Crazy Wrestler,50,Caniac Combo,0,chance to make more ,150,religious but not spiritual,low,low,another religion
goldenretriever31,ariel28,0,FtAnastasia,0,Obviously I'm keeping all of them... but I feel like there might be a catch.,100,nonreligious,the rabbit was served,miffy bun,40,Poison Ivy,0,"I am so confused, I don't know what the sentence has to do with anything.",140,religious but not spiritual,high,high,protestant
