Location,Latitude,Longitude,Paleoaltitude (m),Age (Ma),Evidences for Age,AgeMethod(radiometric / astro / magneto / bio / event / inferred),Sample Type,Carbonate Type,Lab,Scale,O17 correct,Reaction T (°C),Acid Fractionation,Calibration,Evidences for temperature,Diagenesis,Reference
"north Taihang Mountains, China",39N,110E,,110Ma,Age constraints for paleosol carbonate samples in the YH Basin are based on radiometric ages of nearby volcanic and ash beds and stratigraphic correlation(Fig. 2).,radiometric ,marl,calcite,"the University of Washington IsoLab (Seattle, Washington, USA) ",ARF,/,90,0.088,Petersen et al. (2019),summer," only the results from the 
YH Basin are discussed.","Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
Penbo Basin，south Tibet，China,30N,91.17E,,56Ma,"In order to accurately constrain the depositional timing, we collected samples from diorite dikes, tuffite, and andesite in the Takena, Shexing, and Linzizong successions (Figs. 1–4). Zircon U-Pb dating was conducted at theKey Laboratory of Continental Collision and Plateau Uplift, Chinese Academy of Sciences.",radiometric ,lacustrine marl/pedogenic nodule,calcite,,ARF,/,26,,Zaarur et al. (2013),"Pedogenic carbonate appears to record 
a summer seasonal bias in the Siwalik Basin 
based on clumped isotope thermometry (Quade 
et al., 2013)",0,"Xu, Q., Ding, L., Cao, Y., Cai, F.L., Li, S., Tan, X.C., Kershaw, S., Tang, H., 2023. Late Cretaceous-early Paleogene rise of the Gangdese magmatic arc (south Tibet) from sea level to high mountains. Geological Society of America Bulletin 135, 1939-1954."
"Goler Formation (southern California, USA)",35.47N,117.83W,,early Eocene,"The base of the marine siltstone hosts Ypresian (early Eocene) Acutostrea idriaensis (Squires, 2018) oyster shell fragments(calcitic); this age designation is consistent with magnetostratigraphy and mammalian biostratigraphy (Albright et al., 2010; Lofgren et al.,2014).",magneto，bio,oyster shell,calcite,University of Michigan,ARF,Y,75,0.072,Petersen et al. (2019),SCT (Seasonally Cool-biased Temperature).,,"Kelson, J.R., Petersen, S.V., Niemi, N.A., Passey, B.H., Curley, A.N., 2022. Looking upstream with clumped and triple oxygen isotopes of estuarine oyster shells in the early Eocene of California, USA. Geology 50, 755-759."
"Urumqi area, China",43N,87E,,Permian,"Specifically, the Lucaogou Formation was deposited during the Sakmarian–Artinskian Ages, based on new high-precision U-Pb zircon geochronology (ca.294–285 Ma; Sun et al., 2022).",radiometric ,dolomite,dolomite,"the State Key Laboratory of Isotope Geochemistry at the Guangzhou Institute of Geochemistry, Chinese Academy of Sciences, ",ARF,/,90,,Anderson et al. (2021),ST（personal interpretation）,Na,"Sun, F., Hu, W., Wang, X., Hu, Z., Wu, H., Guo, Y., Wei, G., 2023. Methanogen-mediated dolomite precipitation in an early Permian lake in northwestern China. Geological Society of America Bulletin."
Swiss Molasse Basin,47N,8E,,15Ma,"Our study of Miocene paleosol carbonate takes advantage of numerous pedogenic soil horizons embedded in a detailed geochronologic framework determined from previous studies of paleomagneto stratigraphy (Kälin and Kempf, 2009; Kempf et al., 1997; Kempf and Matter, 1999; Schluneggeret al., 1996), radiometric age data on volcanic ash layers (Gubler et al., 1992; Schmieder et al., 2018), and mammalbiostratigraphy (e.g., Bolliger, 1992; Kälin, 1997). The local paleomagnetic sections were correlated with the astronomically tuned Neogene timescale (ATNTS2012) of Hilgen et al.(2012)",radiometric ，magneto，bio,pedogenic carbonate,calcite," the Joint Goethe University–Senckenberg BiK-F Stable Isotope Facility Frankfurt, Germany.",ARF,Y,90,0.088,Petersen et al. (2019),We conducted clumped isotope (147) thermometry，consistent with warm season pedogenic carbonate formation during the warm temperatures of the midMiocene Climatic Optimum,"Swiss Molasse
Basin carbonate δ
18O and 147 compositions have not been
affected by burial alterations","Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
"Niubao Formation,Lunpola region,Tibet,China",32N,90E,,40Ma,"To help resolve the elevation history of the Central Tibetan Valley,we first provide a more secure chronostratigraphy than has hitherto been available. This age regime is based on radiometric dating throughout the Cenozoic succession in the Lunpola Basin.",radiometric ,paleosol carbonates /marl,calcite,Department of the Geophysical Sciences at the University of Chicago ,ARF,/,26,,Kelson et al. (2017),Summer T,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
"Niubao Formation,Lunpola region,Tibet,China",32N,90E,,40Ma,"To help resolve the elevation history of the Central Tibetan Valley,we first provide a more secure chronostratigraphy than has hitherto been available. This age regime is based on radiometric dating throughout the Cenozoic succession in the Lunpola Basin.",radiometric ,paleosol carbonates ,calcite, TPESER at ITPCAS.,ARF,/,90,0.088,Kelson et al. (2017),Summer T,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
"Florida,USA",28.3N,80.6E,,modern,,,biogenic bivalve,aragonite," University of 
Michigan Stable Isotope SCIPP Lab",ARF,Y,70,0.072,Anderson et al. (2021),MAT,0,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
Colombia，USA,10.3N,75.4E,,modern,,,biogenic bivalve,aragonite," University of 
Michigan Stable Isotope SCIPP Lab",ARF,Y,70,0.072,Anderson et al. (2021),MAT,0,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
Baode  and Shilou，China,39N,111E,,7-8Ma,"The age framework of the Baode and Shilou ‘red clay’ sequences (Late Miocene to Pliocene eolian deposits) is based on high-resolution magnetostratigraphy (SI Appendix, Fig. S2). The timescale for our samples was built by linearly interpolating between age and depth control points, which were obtained based on magnetostratigraphic boundaries, resulting in an age model uncertainty of <10kyr (SI Appendix, Fig. S2).",magneto,paleosol carbonate,calcite," University of Washington IsoLab, Seattle, 
USA,",ARF,Y,90,0.088,Anderson et al. (2021),"fall,MAT",0,"Wen, Y., Zhang, L., Holbourn, A.E., Zhu, C., Huntington, K.W., Jin, T., Li, Y., Wang, C., 2023. CO(2)-forced Late Miocene cooling and ecosystem reorganizations in East Asia. Proc Natl Acad Sci U S A 120, e2214655120."
"Halaalate Mountains, on the north-western margin of Junggar Basin (West China)",46N,85E,,Lower Cretaceous,"A micropalaeontological study suggested that the Qingshuihe Formation was deposited during the Barriasian (145 to139.8 Ma; Wang et al., 2012).",bio,non-marine sandstones,calcite,"the Key Laboratory of Cenozoic Geology and Environment, Institute of Geology and Geophysics, Chinese Academy of Sciences.",ARF,Y,90,0.088,Dennis et al. (2011); Anderson et al. (2021),/,NA,"Cao, B., Luo, X., Wang, X., Zhang, L., Shi, H., 2023. Calcite‐cemented concretions in non‐marine sandstones: An integrated study of outcrop sedimentology, petrography and clumped isotopes. Sedimentology."
 Dzereg Basin，Mongolia,47N,93E,,Miocene,"Here, the thick Mesozoic and thin Cenozoic sequences have been dated largely by biostratigraphy and are described in further detail in Gradzinski and others (1969), Devyatkin (1981), Howard and others (2003), and Caves and others (2014).",bio,Nodule and Caliche,calcite," Joint Goethe UniversitySenckenberg BiK-F Stable Isotope Facility, Frankfurt am Main, Germany",ARF,Y,90,0.088,Petersen et al. (2019),"As discussed below, the
Pliocene temperature estimate suggests that carbonate forms in the early Fall, consistent with the idea that carbonate forms towards the end of the wet season as plants senesce（MAT）",NA,"Rugenstein, J.K.C., Methner, K., Kukla, T., Mulch, A., Lüdecke, T., Fiebig, J., Meltzer, A., Wegmann, K.W., Zeitler, P., Chamberlain, C.P., 2022. Clumped isotope constraints on warming and precipitation seasonality in Mongolia following Altai uplift. American Journal of Science 322, 28-54."
Maastricht Fm at ENCI quarry,50.82N,5.69E,,66Ma,Samples collected in the Romontbos quarry and GSGs were placed on the ENCI quarry stratigraphic framework using the age model from Vellekoop et al. (2022; Table S2).,bio,shell fragment,calcite,the University of Michigan Stable and Clumped Isotopes for Paleoclimatology and Paleoceanography (SCIPP) Laboratory,ARF,Y,70 and 75,0.067 and 0.072,Petersen et al. (2019),summer,0,"O'Hora, H.E., Petersen, S.V., Vellekoop, J., Jones, M.M., Scholz, S.R., 2022. Clumped-isotope-derived climate trends leading up to the end-Cretaceous mass extinction in northwestern Europe. Climate of the Past 18, 1963-1982."
Western Interior (United States) ,44N,106W,,"Cenomanian,Late Cretaceous","Regional oyster biostratigraphy constrains the ages of specimens of P. newberryi, identified as an index fossil mainly restricted to the OAE2 interval (Hook and Cob-ban, 1977).",bio, oyster (Ostreida) ,calcite, University of Michigan (USA) ,ARF,Y,70 and 75,0.066-70℃   0.072-75℃,Petersen et al. (2019); Anderson et al. (2021),ST（personal interpretation）,"Final interpretations of original paleoceanographic conditions in the WIS are therefore 
limited to the 11 specimens with primary calcite 
from zones 1 and 3, excluding reordered data from 
zone 2 and specimens that fail screening for carbonate diagenesis.","Jones, M.M., Petersen, S.V., Curley, A.N., 2022. A tropically hot mid-Cretaceous North American Western Interior Seaway. Geology 50, 954-958."
Western Interior (United States) ,37N,110W,,"Cenomanian,Late Cretaceous","Regional oyster biostratigraphy constrains the ages of specimens of P. newberryi, identified as an index fossil mainly restricted to the OAE2 interval (Hook and Cob-ban, 1977).",bio, oyster (Ostreida) ,calcite, University of Michigan (USA) ,ARF,Y,70 and 75,0.066-70℃   0.072-75℃,Petersen et al. (2019); Anderson et al. (2021),ST（personal interpretation）,"Final interpretations of original paleoceanographic conditions in the WIS are therefore 
limited to the 11 specimens with primary calcite 
from zones 1 and 3, excluding reordered data from 
zone 3 and specimens that fail screening for carbonate diagenesis.","Jones, M.M., Petersen, S.V., Curley, A.N., 2022. A tropically hot mid-Cretaceous North American Western Interior Seaway. Geology 50, 954-958."
"Cincinnati Arch,USA",38N,84W,,447Ma,,,"Limestone,Shale",calcite,Texas A&M University (TAMU),ARF,Y,/,/,Bergmann et al. (2018),MAT(Marine T),0/1,"Barney, B.B., Grossman, E.L., 2022. Reassessment of ocean paleotemperatures during the Late Ordovician. Geology 50, 572-576."
Bermuda,32.4N,64.8W,,modern/MIS 5e,"Reconstructed paleotemperatures differed significantly between the two sites, despite their close proximity (∼2 km apart) and apparently equivalent geologic age (based on stratigraphic correlation and limited radiometric age dating). ",radiometric ,biogenic,calcite,/,ARF,Y,75,0.072,Petersen et al. (2019),MAT,"All tests 
mentioned above point to the unlikelihood of diagenetic alteration of the studied fossil shells, and thus no 
further tests on diagenesis were deemed necessary for the purpose of this study. ","Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
Nussloch， southwestern Germany ,49.18N,8.43E,,0.13Ma,"The Upper Pleniglacial sequence in Nussloch, with a total thickness of 18.5 m, has been dated by 14C (Lang et al., Reference Lang, Hatté, Rousseau, Antoine, Fontugne, Zoller and Hambach2003; Rousseau et al., Reference Rousseau, Sima, Antoine, Hatté, Lang and Zoeller2007; Moine et al., Reference Moine, Antoine, Hatte, Landais, Mathieu, Prud'homme and Rousseau2017) and infrared-stimulated luminescence (Antoine et al., Reference Antoine, Rousseau, Zoller, Lang, Munaut, Hatté and Fontugne2001, Reference Antoine, Rousseau, Moine, Kunesch, Hatté, Lang, Tissoux and Zöller2009), indicating formation throughout the last glacial-interglacial cycle since ~130 ka (Zoller et al., Reference Zoller, Stremme and Wagner1988; Hatté et al., Reference Hatté, Fontugne, Rousseau, Antoine, Zoller, Tisnerat-Laborde and Bentaleb1998; Rousseau et al., Reference Rousseau, Sima, Antoine, Hatté, Lang and Zoeller2007, Reference Rousseau, Boers, Sima, Svensson, Bigler, Lagroix, Taylor and Antoine2017a).",inferred, paleosol-loess,aragonite,University of Washington IsoLab,ARF,Y,90,0.088,Petersen et al. (2019),MAT/Summer,,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Dali Lake in northern China,25N,100E,,,"Six samples (i.e., DL786, DL787, DL814, DL895, DL981 and DL1060), obtained at a core depth of 786–1060 cm spanning ca. 13775–10471 cal. yr BP (Xiao et al., 2008; Fan et al.,2018), were used in this study (Table 1).",inferred,,,"Chinese Academy of Sciences, Beijing, China.",ARF,/,/,/,Dennis et al. (2011),Summer T(water),0,"Yue, J., Xiao, J., Wang, X., Fan, J., Qin, B., 2021. Clumped isotope analysis of lacustrine endogenic carbonates and implications for paleo-temperature reconstruction: A case study from Dali Lake. Science China Earth Sciences 64, 294-306."
Zanda，Tibetan Plateau，China,31.5N,80E,,4Ma,"Sediments in the Zanda Basin contain abundant gastropod, fish, and mammalian fossils, and the chronology of the sedimentary sequence has been established through magnetostratigraphic and biostratigraphic studies ",magneto，bio,fossil shells ,aragonite,Cal Tech/John Hopkins University (JHU),Ghosh/ARF,Y,90,0.081,Henkes et al. (2013); Eagle et al. (2013),ST/MAT,0/1/NA,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
" Northern Rocky Mountains, USA",45N,110W,,15Ma,"Hepburn's Mesa, MT：Age assignments of the rocks are based on biostratigraphy (Barnosky & Labar, 1989; Burbank & Barnosky, 1990), magnetostratigraphy (Burbank & Barnosky, 1990), and 40Ar/39Ar dating of ashes (Barnosky et al., 2007). Lemhi Valley, ID：We, therefore, follow Harris et al. (2020) and place the Mollie Gulch locality at ca. 22.7–21.5 Ma, which is based on the correlation of fossils from Mollie Gulch and those of the dated composite Railroad Canyon section. ","Hepburn's Mesa, MT：radiometric ，bio，magneto  Lemhi Valley, ID：inferred",nodule/concretion,calcite," the Goethe University-Senckenberg BiK-F Joint Stable Isotope Facility in Frankfurt (Main), Germany. ",,Y,90,0.088,Petersen et al. (2019),WMT(summer),,"Methner, K., Mulch, A., Fiebig, J., Krsnik, E., Löffler, N., Bajnai, D., Chamberlain, C.P., 2021. Warm High‐Elevation Mid‐Latitudes During the Miocene Climatic Optimum: Paleosol Clumped Isotope Temperatures From the Northern Rocky Mountains, USA. Paleoceanography and Paleoclimatology 36."
Western China ,29N-44N,85E-116E,,morden,,,lacustrine authigenic carbonates,aragonite,"the University of California, Los Angeles, USA",ARF,Y,90,0.082,"γ47carb () = 0.0521 ± 0.0071 × 106/T2
water (K)
+ 0.0904 ± 0.0870","Lacustrine authigenic carbonate precipitation occurs primarily during summer (Hren and Sheldon, 2012; Leng and Marshall,
2004), mean summer water surface temperatures are used in this
study.",0,"Li, H., Liu, X., Arnold, A., Elliott, B., Flores, R., Kelley, A.M., Tripati, A., 2021. Mass 47 clumped isotope signatures in modern lacustrine authigenic carbonates in Western China and other regions and implications for paleotemperature and paleoelevation reconstructions. Earth and Planetary Science Letters 562, 116840."
"northwest China (Gansu
Province)",40.5N,98.5E,,Early Cretaceous 123-133Ma,"Chijinqiao Formation, Chijinpu Formation, Xiagou Formation and Zhonggou Formation. Outside of the Yujingzi Basin, Xinminpu Group strata produce Aptian radiometric dates of 123.0 ± 2.6 to 133.7 ± 1.8 Ma (Li et al., 2013; Kuang et al., 2013). ",radiometric ,mudstone，sandstone，silty mudstone,calcite,the University of Colorado Boulder (CUB) E,ARF,Y,90,0.088,Petersen et al. (2019),"MAT：Any potential warm season bias on our temperature results is
unlikely as it would suggest even cooler conditions inconsistent with combined proxy observations. ",NA,"Harper, D.T., Suarez, M.B., Uglesich, J., You, H., Li, D., Dodson, P., 2021. Aptian–Albian clumped isotopes from northwest China: cool temperatures, variable atmospheric pCO2 and regional shifts in the hydrologic cycle. Climate of the Past 17, 1607-1625."
Central Alps and their northern foreland basin,47N,8E,,15Ma,"Our study of Miocene paleosol carbonate takes advantage of numerous pedogenic soil horizons embedded in a detailed geochronologic framework determined from previous studies of paleomagneto stratigraphy (Kälin and Kempf, 2009; Kempf et al., 1997; Kempf and Matter, 1999; Schluneggeret al., 1996), radiometric age data on volcanic ash layers (Gubler et al., 1992; Schmieder et al., 2018), and mammalbiostratigraphy (e.g., Bolliger, 1992; Kälin, 1997). The local paleomagnetic sections were correlated with the astronomically tuned Neogene timescale (ATNTS2012) of Hilgen et al.(2012)",radiometric ，magneto，bio,carbonate nodules,calcite,"the Joint Goethe University–Senckenberg BiK-F Stable Isotope Facility (Frankfurt, Germany). ",ARF,Y,90,0.088,Petersen et al. (2019),We conducted clumped isotope (147) thermometry，consistent with warm season pedogenic carbonate formation during the warm temperatures of the midMiocene Climatic Optimum,"Swiss Molasse
Basin carbonate δ","Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
