Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Rings,No medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Rings,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
Timo Aaltonen,M,Finland,FIN,2000,Sydney,Athletics,Athletics Men's Shot Put,No medal
Win Aaltonen,M,Finland,FIN,1948,London,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
Ragnhild Aamodt,F,Norway,NOR,2008,Beijing,Handball,Handball Women's Handball,Gold
Andreea Aanei,F,Romania,ROU,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,No medal
Fritz Aanes,M,Norway,NOR,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Fritz Aanes,M,Norway,NOR,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Alf Aanning,M,Norway,NOR,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Johan Aantjes,M,Netherlands,NED,1984,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal
Jan-Erik Aarberg,M,Norway,NOR,1968,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,No medal
Jan-Erik Aarberg,M,Norway,NOR,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat,No medal
Willemien Aardenburg,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze
Pepijn Aardewijn,M,Netherlands,NED,1996,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Pepijn Aardewijn,M,Netherlands,NED,2000,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Evald (rman-),M,Estonia,EST,1936,Berlin,Athletics,Athletics Men's Pole Vault,No medal
Olav Aarnes,M,Norway,NOR,1912,Stockholm,Athletics,Athletics Men's High Jump,No medal
Mika Aarnikka,M,Finland,FIN,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal
Mika Aarnikka,M,Finland,FIN,1996,Atlanta,Sailing,Sailing Men's Two Person Dinghy,No medal
Jamale (ahrass-),M,France,FRA,2012,London,Athletics,"Athletics Men's 1,500 metres",No medal
Stefan Aartsen,M,Netherlands,NED,1996,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,No medal
Stefan Aartsen,M,Netherlands,NED,1996,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,No medal
Stefan Aartsen,M,Netherlands,NED,1996,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
Stefan Aartsen,M,Netherlands,NED,2000,Sydney,Swimming,Swimming Men's 100 metres Butterfly,No medal
Stefan Aartsen,M,Netherlands,NED,2000,Sydney,Swimming,Swimming Men's 200 metres Butterfly,No medal
Ann Aarnes,F,Norway,NOR,1996,Atlanta,Football,Football Women's Football,Bronze
Karl Aas,M,Norway,NOR,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Lars Aas,M,Norway,NOR,1912,Stockholm,Fencing,"Fencing Men's Foil, Individual",No medal
Lars Aas,M,Norway,NOR,1912,Stockholm,Fencing,"Fencing Men's epee, Individual",No medal
Lars Aas,M,Norway,NOR,1912,Stockholm,Fencing,"Fencing Men's epee, Team",No medal
Rolf Aas,M,Norway,NOR,1920,Antwerpen,Football,Football Men's Football,No medal
Thomas Aas,M,Taifun,NOR,1912,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
Morten Aasen,M,Norway,NOR,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
Hakon Aasns,M,Norway,NOR,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Hans Aasns,M,Norway,NOR,1936,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Hans Aasns,M,Norway,NOR,1948,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Hans Aasns,M,Norway,NOR,1952,Helsinki,Shooting,Shooting Men's Trap,No medal
Hans Aasns,M,Norway,NOR,1956,Melbourne,Shooting,Shooting Men's Trap,No medal
Hans Aasns,M,Norway,NOR,1960,Roma,Shooting,Shooting Men's Trap,No medal
Erling Aastad,M,Norway,NOR,1920,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Erling Aastad,M,Norway,NOR,1920,Antwerpen,Athletics,Athletics Men's Long Jump,No medal
Erling Aastad,M,Norway,NOR,1924,Paris,Athletics,Athletics Men's Long Jump,No medal
Erling Aastad,M,Norway,NOR,1928,Amsterdam,Athletics,Athletics Men's Long Jump,No medal
Abdelhak Aatakni,M,Morocco,MAR,2012,London,Boxing,Boxing Men's Light-Welterweight,No medal
Moonika Aava,F,Estonia,EST,2004,Athina,Athletics,Athletics Women's Javelin Throw,No medal
Moonika Aava,F,Estonia,EST,2008,Beijing,Athletics,Athletics Women's Javelin Throw,No medal
Arvi Aavik,M,Estonia,EST,1992,Barcelona,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
Arvi Aavik,M,Estonia,EST,1996,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
Patrick Abada,M,France,FRA,1976,Montreal,Athletics,Athletics Men's Pole Vault,No medal
Talaat Abada,M,Egypt,EGY,2000,Sydney,Taekwondo,Taekwondo Men's Flyweight,No medal
Mohamed Abadi,M,Iran,IRI,1948,London,Boxing,Boxing Men's Heavyweight,No medal
Antonio Beci,M,Spain,ESP,2016,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",No medal
Ren Abadie,M,France,FRA,1956,Melbourne,Cycling,"Cycling Men's Road Race, Individual",No medal
Ren Abadie,M,France,FRA,1956,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
Borislav Abadzhiev,M,Bulgaria,BUL,1988,Seoul,Boxing,Boxing Men's Light-Welterweight,No medal
Georgi Abadzhiev,M,Bulgaria,BUL,1924,Paris,Cycling,"Cycling Men's Road Race, Individual",No medal
Georgi Abadzhiev,M,Bulgaria,BUL,1924,Paris,Cycling,"Cycling Men's Road Race, Team",No medal
Ivan Abadzhiev,M,Bulgaria,BUL,1956,Melbourne,Weightlifting,Weightlifting Men's Lightweight,No medal
Ivan Abadzhiev,M,Bulgaria,BUL,1960,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
Mikhail Abadzhiev,M,Bulgaria,BUL,1960,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
Stefan Abadzhiev,M,Bulgaria,BUL,1960,Roma,Football,Football Men's Football,No medal
Giovanni Abagnale,M,Italy,ITA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
Jos Gmez,M,Spain,ESP,2008,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
M'Bairo Abakar,M,Chad,CHA,1992,Barcelona,Judo,Judo Men's Half-Middleweight,No medal
Patimat Abakarova,F,Azerbaijan,AZE,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
Mohamed Abakkar,M,Sudan,SUD,1972,Munich,Boxing,Boxing Men's Flyweight,No medal
Mariya (-tarabina),F,Russia,RUS,2008,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
Mariya (-tarabina),F,Russia,RUS,2012,London,Athletics,Athletics Women's Javelin Throw,No medal
Pablo Abal,M,Argentina,ARG,2000,Sydney,Swimming,Swimming Men's 100 metres Butterfly,No medal
Pablo Abal,M,Argentina,ARG,2000,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
Tamara Daz,F,Spain,ESP,2008,Beijing,Basketball,Basketball Women's Basketball,No medal
Jess Martnez,M,Cuba,CUB,2000,Sydney,Diving,Diving Men's Platform,No medal
Juan Delgado,M,Cuba,CUB,1992,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",No medal
Juan Delgado,M,Cuba,CUB,1992,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No medal
Aleksey Abalmasov,M,Belarus,BLR,2004,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No medal
Aleksey Abalmasov,M,Belarus,BLR,2008,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Luc Abalo,M,France,FRA,2008,Beijing,Handball,Handball Men's Handball,Gold
Luc Abalo,M,France,FRA,2012,London,Handball,Handball Men's Handball,Gold
Luc Abalo,M,France,FRA,2016,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Mara Abalo,F,Argentina,ARG,2012,London,Rowing,Rowing Women's Coxless Pairs,No medal
Giorgos Abalof,M,Greece,GRE,2004,Athina,Fencing,"Fencing Men's epee, Individual",No medal
Jouan Etong,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold
Antoine Abang,M,Cameroon,CMR,1968,Mexico City,Boxing,Boxing Men's Middleweight,No medal
Salim Abanoz,M,Turkey,TUR,1996,Atlanta,Judo,Judo Men's Lightweight,No medal
Carlos Gonzlez,M,Chile,CHI,1924,Paris,Boxing,Boxing Men's Featherweight,No medal
Jos Plotas,M,Spain,ESP,1996,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
Georgios Abaris,M,Greece,GRE,2004,Athina,Football,Football Men's Football,No medal
Enrique Martnez,M,Mexico,MEX,2000,Sydney,Tennis,Tennis Men's Doubles,No medal
Carlos Chavez,M,Chile,CHI,1992,Barcelona,Shooting,Shooting Mixed Skeet,No medal
Stephen Abas,M,United States,USA,2004,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Alejandro Garca,M,Spain,ESP,1976,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal
Alejandro Garca,M,Spain,ESP,1980,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Alejandro Garca,M,Spain,ESP,1984,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal
Jos Gmez,M,Spain,ESP,1980,Moskva,Athletics,"Athletics Men's 1,500 metres",No medal
Jos Gmez,M,Spain,ESP,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
Rost'om Abashidze,M,Soviet Union,URS,1964,Tokyo,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Nunu (-myslaieva),F,Soviet Union,URS,1980,Moskva,Athletics,Athletics Women's Shot Put,No medal
Rodrigo Abasolo,M,Chile,CHI,1984,Los Angeles,Rowing,Rowing Men's Coxed Eights,No medal
Tamila Abasova,F,Russia,RUS,2004,Athina,Cycling,Cycling Women's Sprint,Silver
Tamila Abasova,F,Russia,RUS,2004,Athina,Cycling,Cycling Women's 500 metres Time Trial,No medal
Emanuele Abate,M,Italy,ITA,2012,London,Athletics,Athletics Men's 110 metres Hurdles,No medal
Ignazio Abate,M,Italy,ITA,2008,Beijing,Football,Football Men's Football,No medal
Jol Abati,M,France,FRA,2004,Athina,Handball,Handball Men's Handball,No medal
Jol Abati,M,France,FRA,2008,Beijing,Handball,Handball Men's Handball,Gold
Ral Abatte,M,Chile,CHI,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Georgia Abatzidou,F,Greece,GRE,2004,Athina,Athletics,Athletics Women's Marathon,No medal
Carlos Balladares,M,Nicaragua,NCA,2004,Athina,Athletics,Athletics Men's 100 metres,No medal
Carlos Abaunza,M,Nicaragua,NCA,1976,Montreal,Athletics,Athletics Men's High Jump,No medal
Hctor Abaunza,M,Mexico,MEX,1968,Mexico City,Fencing,"Fencing Men's Foil, Individual",No medal
Hctor Abaunza,M,Mexico,MEX,1968,Mexico City,Fencing,"Fencing Men's Foil, Team",No medal
Hctor Abaunza,M,Mexico,MEX,1968,Mexico City,Fencing,"Fencing Men's Sabre, Team",No medal
Pter Abay,M,Hungary,HUN,1992,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
Oszkr Abay-nemes,M,Hungary,HUN,1936,Berlin,Swimming,Swimming Men's 100 metres Freestyle,No medal
Oszkr Abay-nemes,M,Hungary,HUN,1936,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Adeyemi Abayomi,M,Nigeria,NGR,1972,Munich,Boxing,Boxing Men's Lightweight,No medal
Sayed Abaza,M,Egypt,EGY,1920,Antwerpen,Football,Football Men's Football,No medal
Sayed Abaza,M,Egypt,EGY,1928,Amsterdam,Football,Football Men's Football,No medal
Silvano Abba,M,Italy,ITA,1936,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Gana Kimet,M,Chad,CHA,1972,Munich,Athletics,Athletics Men's 100 metres,No medal
Ilyas Abbadi,M,Algeria,ALG,2012,London,Boxing,Boxing Men's Welterweight,No medal
Ilyas Abbadi,M,Algeria,ALG,2016,Rio de Janeiro,Boxing,Boxing Men's Middleweight,No medal
Agostino Abbagnale,M,Italy,ITA,1988,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
Agostino Abbagnale,M,Italy,ITA,1996,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
Agostino Abbagnale,M,Italy,ITA,2000,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
Carmine Abbagnale,M,Italy,ITA,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,M,Italy,ITA,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,M,Italy,ITA,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
Carmine Abbagnale,M,Italy,ITA,1996,Atlanta,Rowing,Rowing Men's Coxed Eights,No medal
Giuseppe Abbagnale,M,Italy,ITA,1980,Moskva,Rowing,Rowing Men's Coxed Pairs,No medal
Giuseppe Abbagnale,M,Italy,ITA,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,M,Italy,ITA,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,M,Italy,ITA,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
Abdul Hashem,M,Kuwait,KUW,1976,Montreal,Athletics,Athletics Men's 400 metres Hurdles,No medal
Abdul Hashem,M,Kuwait,KUW,1976,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Abdul Hashem,M,Kuwait,KUW,1980,Moskva,Athletics,Athletics Men's 400 metres Hurdles,No medal
Abubakar Abbas,M,Bahrain,BRN,2016,Rio de Janeiro,Athletics,Athletics Men's 400 metres,No medal
Aqarab Abbas,M,Pakistan,PAK,1996,Atlanta,Athletics,Athletics Men's Hammer Throw,No medal
Aziz Abbas,M,Iraq,IRQ,1964,Tokyo,Weightlifting,Weightlifting Men's Lightweight,No medal
Bassim Al-ogaili,M,Iraq,IRQ,2004,Athina,Football,Football Men's Football,No medal
Essa Hashem,M,Kuwait,KUW,1980,Moskva,Athletics,Athletics Men's Long Jump,No medal
Ghulam Abbas,M,Pakistan,PAK,1992,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,No medal
Hosni Abbas,M,United Arab Republic,UAR,1960,Roma,Weightlifting,Weightlifting Men's Featherweight,No medal
Hosni Abbas,M,Egypt,EGY,1964,Tokyo,Weightlifting,Weightlifting Men's Featherweight,No medal
Maher Abbas,M,Lebanon,LIB,1988,Seoul,Athletics,Athletics Men's 400 metres,No medal
Maher Abbas,M,Lebanon,LIB,1988,Seoul,Athletics,Athletics Men's 800 metres,No medal
Mahmoud Abbas,M,Egypt,EGY,2000,Sydney,Cycling,"Cycling Men's Road Race, Individual",No medal
Mohamed Abbas,M,Egypt,EGY,1952,Helsinki,Diving,Diving Men's Platform,No medal
Mohammed Sabih,M,Iraq,IRQ,2004,Athina,Swimming,Swimming Men's 100 metres Freestyle,No medal
Nader Abbas,M,Qatar,QAT,2004,Athina,Weightlifting,Weightlifting Men's Middleweight,No medal
Sohail Abbas,M,Pakistan,PAK,2000,Sydney,Hockey,Hockey Men's Hockey,No medal
Sohail Abbas,M,Pakistan,PAK,2004,Athina,Hockey,Hockey Men's Hockey,No medal
Sohail Abbas,M,Pakistan,PAK,2012,London,Hockey,Hockey Men's Hockey,No medal
Youssef Abbas,M,Egypt,EGY,1952,Helsinki,Basketball,Basketball Men's Basketball,No medal
Zulkifli Abbas,M,Malaysia,MAS,1984,Los Angeles,Hockey,Hockey Men's Hockey,No medal
Shakeel Abbasi,M,Pakistan,PAK,2004,Athina,Hockey,Hockey Men's Hockey,No medal
Shakeel Abbasi,M,Pakistan,PAK,2008,Beijing,Hockey,Hockey Men's Hockey,No medal
Shakeel Abbasi,M,Pakistan,PAK,2012,London,Hockey,Hockey Men's Hockey,No medal
Soulmaz Azad,F,Iran,IRI,2012,London,Rowing,Rowing Women's Single Sculls,No medal
Ruslan Abbasov,M,Azerbaijan,AZE,2008,Beijing,Athletics,Athletics Men's 100 metres,No medal
Tural Abbasov,M,Azerbaijan,AZE,2008,Beijing,Swimming,Swimming Men's 50 metres Freestyle,No medal
Tran Abbasova,F,Azerbaijan,AZE,2000,Sydney,Weightlifting,Weightlifting Women's Featherweight,No medal
Simona Abbate,F,Italy,ITA,2012,London,Water Polo,Water Polo Women's Water Polo,No medal
Franz Abb,M,Germany,GER,1900,Paris,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Christian Abbiati,M,Italy,ITA,2000,Sydney,Football,Football Men's Football,No medal
Lois Abbingh,F,Netherlands,NED,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal
Alessandro Abbio,M,Italy,ITA,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Salwan Abbood,M,Iraq,IRQ,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,No medal
George Abbot,M,Thessalonki-1,GRE,1906,Athina,Football,Football Men's Football,Bronze
William Jr.,M,Canada,CAN,1996,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,No medal
William Jr.,M,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Three Person Keelboat,No medal
Clare Abbott,F,Ireland,IRL,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal
Clare Abbott,F,Ireland,IRL,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal
David Abbott,M,United States,USA,1928,Amsterdam,Athletics,"Athletics Men's 5,000 metres",No medal
Desmond Abbott,M,Australia,AUS,2008,Beijing,Hockey,Hockey Men's Hockey,Bronze
Geoffrey Abbott,M,South Africa,RSA,2008,Beijing,Hockey,Hockey Men's Hockey,No medal
Jeremy Abbott,M,Canada,CAN,1976,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No medal
Joanne Abbott,F,Canada,CAN,1996,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,No medal
Kathryn Abbott,F,Canada,CAN,2008,Beijing,Sailing,Sailing Women's Three Person Keelboat,No medal
Mara Abbott,F,United States,USA,2016,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",No medal
Margaret (-dunne),F,United States,USA,1900,Paris,Golf,Golf Women's Individual,Gold
Mary (perkins-),F,United States,USA,1900,Paris,Golf,Golf Women's Individual,No medal
Matt Abbott,M,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Three Person Keelboat,No medal
Monica Abbott,F,United States,USA,2008,Beijing,Softball,Softball Women's Softball,Silver
Khadija Abbouda,F,Morocco,MAR,2008,Beijing,Archery,Archery Women's Individual,No medal
Mohamed Mohamed,M,Egypt,EGY,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Mohamed Mohamed,M,Egypt,EGY,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Mohamed Mohamed,M,Egypt,EGY,2012,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",No medal
Mahmoud El-kader,M,Egypt,EGY,2008,Beijing,Volleyball,Volleyball Men's Volleyball,No medal
Mohamed El-salam,M,Egypt,EGY,2004,Athina,Handball,Handball Men's Handball,No medal
Mohamed El-salam,M,Egypt,EGY,2008,Beijing,Handball,Handball Men's Handball,No medal
Noha Rabo,F,Egypt,EGY,2008,Beijing,Taekwondo,Taekwondo Women's Heavyweight,No medal
Reem El-bossaty,F,Egypt,EGY,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,No medal
Reem El-bossaty,F,Egypt,EGY,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,No medal
Reem El-bossaty,F,Egypt,EGY,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal
Ali Afringi,M,Eritrea,ERI,2008,Beijing,Athletics,"Athletics Men's 5,000 metres",No medal
Hossam Abdalla,M,Egypt,EGY,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,No medal
Hosam Abdallah,M,Egypt,EGY,1992,Barcelona,Handball,Handball Men's Handball,No medal
Hosam Abdallah,M,Egypt,EGY,1996,Atlanta,Handball,Handball Men's Handball,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Horse Vault,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Rings,No medal
Ismail Abdallah,M,United Arab Republic,UAR,1960,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
Maged Abdallah,M,Egypt,EGY,1992,Barcelona,Fencing,"Fencing Men's Foil, Individual",No medal
Nia Abdallah,F,United States,USA,2004,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
Omari Abdallah,M,Tanzania,TAN,1964,Tokyo,Athletics,Athletics Men's Marathon,No medal
Omari Abdallah,M,Tanzania,TAN,1972,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Ould Abdallah,M,France,FRA,1952,Helsinki,Athletics,"Athletics Men's 10,000 metres",No medal
Younis Rabee,M,Kuwait,KUW,1972,Munich,Athletics,Athletics Men's 100 metres,No medal
Raida Bader,F,Jordan,JOR,1984,Los Angeles,Athletics,"Athletics Women's 3,000 metres",No medal
Maha Gouda,F,Egypt,EGY,2016,Rio de Janeiro,Diving,Diving Women's Platform,No medal
Mahmoud Aziz,M,Egypt,EGY,2000,Sydney,Volleyball,Volleyball Men's Volleyball,No medal
Mohamed Ellah,M,Egypt,EGY,2000,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal
Mohamed Fatah,M,Sudan,SUD,1972,Munich,Football,Football Men's Football,No medal
Ali Badawi,M,United Arab Republic,UAR,1960,Roma,Football,Football Men's Football,No medal
Abdelgani Fattah,M,Egypt,EGY,1952,Helsinki,Athletics,Athletics Men's Marathon,No medal
Mahmoud Fattah,M,United Arab Republic,UAR,1960,Roma,Athletics,Athletics Men's Long Jump,No medal
Mohamed Fattah,M,Egypt,EGY,2000,Sydney,Cycling,"Cycling Men's Road Race, Individual",No medal
Sayed Gadir,M,Sudan,SUD,1960,Roma,Boxing,Boxing Men's Featherweight,No medal
Sayed Gadir,M,Sudan,SUD,1968,Mexico City,Boxing,Boxing Men's Lightweight,No medal
Ibrahim Galil,M,Sudan,SUD,1972,Munich,Athletics,Athletics Men's 200 metres,No medal
