year,ranking_system,rank,university_name,country,overall_score,academic_reputation,employer_reputation,faculty_student_ratio,citations_per_faculty,international_faculty_score,international_students_score
2025,QS World University Rankings,49,University 0049,Netherlands,95.36,90.99,96.34,102.75,104.17,89.72,102.18
2025,QS World University Rankings,50,University 0050,China,99.77,101.03,99.78,103.21,98.25,102.74,96.62
2025,QS World University Rankings,51,University 0051,Canada,98.11,93.13,98.43,90.48,94.04,91.52,104.92
2025,QS World University Rankings,52,University 0052,Singapore,99.47,104.29,94.82,105.7,106.63,95.62,97.37
2025,QS World University Rankings,53,University 0053,Sweden,100.57,104.5,104.24,104.4,108.53,105.89,107.55
2025,QS World University Rankings,54,University 0054,Netherlands,98.46,94.54,100.22,105.2,106.76,104.67,104.37
2025,QS World University Rankings,55,University 0055,Singapore,97.36,96.98,96.74,92.9,102.41,93.44,95.52
2025,QS World University Rankings,56,University 0056,Germany,98.56,101.78,94.21,94.54,96.0,94.59,99.45
2025,QS World University Rankings,57,University 0057,France,98.5,93.87,95.43,98.32,107.49,98.93,96.22
2025,QS World University Rankings,58,University 0058,USA,94.8,92.31,92.93,90.06,102.03,97.56,93.55
2025,QS World University Rankings,59,University 0059,Canada,98.01,96.15,93.65,103.7,105.36,93.63,101.44
2025,QS World University Rankings,60,University 0060,Italy,101.4,101.44,99.8,94.82,99.3,95.43,97.67
2025,QS World University Rankings,61,University 0061,Japan,98.81,100.82,104.1,102.49,104.37,95.3,101.51
2025,QS World University Rankings,62,University 0062,Germany,99.53,103.47,95.98,95.59,108.75,100.51,97.69
2025,QS World University Rankings,63,University 0063,South Korea,93.99,95.32,90.2,98.58,101.35,98.22,96.12
2025,QS World University Rankings,64,University 0064,South Korea,96.93,93.42,96.87,99.01,93.68,103.43,96.72
2025,QS World University Rankings,65,University 0065,Netherlands,99.25,96.74,104.42,100.84,101.73,98.17,100.07
2025,QS World University Rankings,66,University 0066,South Korea,97.26,95.43,95.54,104.56,105.6,98.44,103.33
2025,QS World University Rankings,67,University 0067,Germany,96.66,91.66,92.2,89.48,98.77,95.29,94.36
2025,QS World University Rankings,68,University 0068,Germany,99.22,100.4,101.25,106.05,98.57,100.38,95.39
2025,QS World University Rankings,69,University 0069,Italy,97.52,100.76,93.03,94.3,94.93,96.56,98.37
2025,QS World University Rankings,70,University 0070,USA,93.96,95.5,98.67,87.14,87.54,99.69,99.66
2025,QS World University Rankings,71,University 0071,India,96.5,94.23,97.18,103.45,102.15,90.43,94.81
2025,QS World University Rankings,72,University 0072,Switzerland,95.87,95.18,96.02,91.87,93.47,90.32,98.09
2025,QS World University Rankings,73,University 0073,USA,94.85,90.98,95.62,102.38,92.52,97.71,92.54
2025,QS World University Rankings,74,University 0074,Switzerland,96.33,95.39,92.19,99.62,101.0,101.67,91.17
2025,QS World University Rankings,75,University 0075,Italy,97.88,100.03,101.86,104.53,93.68,102.25,95.42
2025,QS World University Rankings,76,University 0076,Spain,97.67,97.16,97.89,92.77,93.95,100.88,104.09
2025,QS World University Rankings,77,University 0077,Switzerland,96.7,100.63,93.87,97.96,88.66,98.24,94.71
2025,QS World University Rankings,78,University 0078,France,95.43,95.5,93.7,92.11,100.88,98.0,89.61
2025,QS World University Rankings,79,University 0079,Switzerland,99.65,104.38,98.59,99.52,101.47,99.99,103.56
2025,QS World University Rankings,80,University 0080,Japan,97.25,98.57,92.09,99.98,92.35,101.9,90.69
2025,QS World University Rankings,81,University 0081,UK,99.12,96.85,102.15,95.44,90.1,102.33,97.49
2025,QS World University Rankings,82,University 0082,Italy,94.36,91.97,93.04,87.24,98.53,88.25,88.17
2025,QS World University Rankings,83,University 0083,USA,95.1,96.28,91.06,95.98,91.25,101.79,99.01
2025,QS World University Rankings,84,University 0084,Switzerland,94.18,94.84,90.36,98.98,85.7,92.92,95.2
2025,QS World University Rankings,85,University 0085,India,97.56,97.7,93.11,96.21,88.72,92.23,99.37
2025,QS World University Rankings,86,University 0086,Canada,95.93,99.13,100.48,89.79,92.58,94.78,94.3
2025,QS World University Rankings,87,University 0087,Canada,94.21,96.97,89.42,86.76,98.21,98.82,101.04
2025,QS World University Rankings,88,University 0088,Switzerland,91.79,95.95,95.65,87.47,86.64,95.74,92.63
2025,QS World University Rankings,89,University 0089,South Korea,99.09,95.41,102.42,95.65,101.86,92.44,96.84
2025,QS World University Rankings,90,University 0090,Switzerland,95.42,99.09,91.27,96.25,95.61,99.82,93.86
2025,QS World University Rankings,91,University 0091,India,95.7,91.77,94.33,98.38,105.05,101.64,92.83
2025,QS World University Rankings,92,University 0092,Japan,94.29,97.63,89.94,91.44,103.03,90.65,97.55
2025,QS World University Rankings,93,University 0093,South Korea,96.41,95.86,98.29,97.03,96.85,99.01,89.42
2025,QS World University Rankings,94,University 0094,Singapore,94.58,99.58,92.45,99.14,88.61,94.04,94.83
2025,QS World University Rankings,95,University 0095,Canada,99.35,99.56,99.78,105.81,97.3,99.34,95.95
2025,QS World University Rankings,96,University 0096,Canada,97.55,95.15,93.63,101.78,100.28,91.54,98.78
2025,QS World University Rankings,97,University 0097,France,95.88,97.66,93.55,91.77,102.81,101.64,96.86
2025,QS World University Rankings,98,University 0098,Italy,95.08,93.68,96.01,98.58,102.55,94.97,100.34
2025,QS World University Rankings,99,University 0099,China,93.91,94.74,93.19,89.69,101.56,87.59,97.14
2025,QS World University Rankings,100,University 0100,UK,94.62,93.97,93.8,89.63,97.08,97.03,96.53
2025,QS World University Rankings,101,University 0101,Australia,95.39,95.48,96.96,91.87,87.41,99.05,89.58
2025,QS World University Rankings,102,University 0102,South Korea,99.24,103.55,97.69,91.97,101.61,105.3,103.0
2025,QS World University Rankings,103,University 0103,Netherlands,92.78,88.38,95.52,89.64,87.3,92.93,88.3
2025,QS World University Rankings,104,University 0104,Netherlands,95.32,97.23,90.86,88.17,100.06,97.3,93.5
2025,QS World University Rankings,105,University 0105,Singapore,95.32,94.33,98.94,100.77,89.74,94.41,99.04
2025,QS World University Rankings,106,University 0106,Canada,95.6,97.33,92.45,93.88,103.04,94.55,101.11
2025,QS World University Rankings,107,University 0107,USA,92.54,90.39,92.2,90.64,85.97,96.69,97.53
2025,QS World University Rankings,108,University 0108,France,97.22,96.15,102.48,102.44,97.11,99.11,91.13
2025,QS World University Rankings,109,University 0109,USA,98.86,99.35,94.13,92.82,99.66,95.81,100.41
2025,QS World University Rankings,110,University 0110,Australia,95.8,96.16,93.56,92.59,96.87,99.24,91.33
2025,QS World University Rankings,111,University 0111,Singapore,99.47,97.61,102.69,95.0,103.71,98.8,105.73
2025,QS World University Rankings,112,University 0112,Sweden,93.75,91.48,93.51,87.63,94.11,100.35,94.34
2025,QS World University Rankings,113,University 0113,USA,94.13,92.64,96.12,98.14,88.01,90.66,94.24
2025,QS World University Rankings,114,University 0114,Sweden,93.39,93.04,91.37,97.85,88.52,88.44,90.01
2025,QS World University Rankings,115,University 0115,Netherlands,94.03,92.71,99.26,96.09,98.47,99.58,93.37
2025,QS World University Rankings,116,University 0116,Switzerland,95.95,94.5,97.13,99.77,87.12,98.4,100.35
2025,QS World University Rankings,117,University 0117,Japan,94.73,94.64,95.37,89.49,91.47,96.72,100.25
2025,QS World University Rankings,118,University 0118,China,98.09,100.24,94.64,96.45,103.65,97.5,94.24
2025,QS World University Rankings,119,University 0119,South Korea,95.07,97.92,95.14,93.63,103.44,97.02,100.74
2025,QS World University Rankings,120,University 0120,Italy,96.62,93.23,96.33,95.05,95.33,92.98,100.39
2025,QS World University Rankings,121,University 0121,China,97.26,95.22,98.94,94.94,96.96,91.69,94.8
2025,QS World University Rankings,122,University 0122,China,96.85,99.27,96.46,94.92,99.98,97.29,92.67
2025,QS World University Rankings,123,University 0123,France,96.15,93.68,94.83,88.93,88.54,99.66,90.4
2025,QS World University Rankings,124,University 0124,Sweden,94.84,99.66,99.02,97.82,92.32,89.13,91.97
2025,QS World University Rankings,125,University 0125,South Korea,93.98,91.74,97.25,86.45,94.83,93.56,97.15
2025,QS World University Rankings,126,University 0126,Singapore,98.1,93.74,92.71,101.92,97.93,101.76,95.05
2025,QS World University Rankings,127,University 0127,USA,96.43,101.19,95.35,93.66,97.4,90.55,99.26
2025,QS World University Rankings,128,University 0128,Germany,94.29,92.79,99.92,98.17,85.38,96.82,87.47
2025,QS World University Rankings,129,University 0129,USA,95.3,90.5,92.75,89.22,105.18,99.79,97.11
2025,QS World University Rankings,130,University 0130,South Korea,96.65,95.65,92.09,96.7,105.75,93.37,100.72
2025,QS World University Rankings,131,University 0131,UK,92.61,89.74,96.32,92.12,83.72,94.49,87.28
2025,QS World University Rankings,132,University 0132,Spain,94.79,98.4,92.69,87.39,96.71,95.84,91.17
2025,QS World University Rankings,133,University 0133,Germany,95.16,96.18,93.13,98.33,103.25,91.34,100.97
2025,QS World University Rankings,134,University 0134,Spain,94.74,91.02,89.84,96.77,100.08,98.33,93.81
2025,QS World University Rankings,135,University 0135,Sweden,90.52,89.57,92.85,86.46,91.06,84.95,89.59
2025,QS World University Rankings,136,University 0136,Singapore,92.73,90.76,91.13,93.74,84.09,86.06,94.59
2025,QS World University Rankings,137,University 0137,Spain,93.15,88.4,88.18,96.78,99.1,99.76,89.96
2025,QS World University Rankings,138,University 0138,Australia,94.06,96.63,89.9,101.02,99.53,94.08,93.14
2025,QS World University Rankings,139,University 0139,Netherlands,98.15,97.39,97.51,105.14,92.52,97.25,103.68
2025,QS World University Rankings,140,University 0140,Canada,96.08,96.42,93.81,102.36,94.53,96.73,98.06
2025,QS World University Rankings,141,University 0141,Germany,93.63,89.99,94.81,96.88,95.97,100.51,99.27
2025,QS World University Rankings,142,University 0142,Japan,95.22,93.68,100.91,87.48,86.2,95.03,96.44
2025,QS World University Rankings,143,University 0143,Singapore,93.9,98.47,89.76,89.56,100.46,89.76,99.83
2025,QS World University Rankings,144,University 0144,China,93.61,89.78,95.43,98.22,90.81,86.7,95.72
2025,QS World University Rankings,145,University 0145,Switzerland,95.1,90.36,100.75,96.85,96.75,96.13,97.51
2025,QS World University Rankings,146,University 0146,Canada,94.75,92.63,90.25,91.36,99.91,90.77,88.48
2025,QS World University Rankings,147,University 0147,South Korea,91.06,91.1,88.43,90.28,95.94,96.65,96.01
2025,QS World University Rankings,148,University 0148,France,91.84,91.04,86.7,95.97,97.21,88.94,97.52
2025,QS World University Rankings,149,University 0149,India,91.06,92.6,96.53,97.95,84.23,89.25,97.29
2025,QS World University Rankings,150,University 0150,India,94.57,89.8,93.58,89.4,86.97,98.99,87.87
2025,QS World University Rankings,151,University 0151,Japan,94.7,90.46,94.07,91.58,96.1,101.45,88.61
2025,QS World University Rankings,152,University 0152,Italy,92.25,94.14,97.47,97.23,99.87,86.27,91.18
2025,QS World University Rankings,153,University 0153,Sweden,97.33,98.8,98.03,98.23,104.12,96.29,95.59
2025,QS World University Rankings,154,University 0154,Italy,95.94,98.93,96.24,88.61,99.2,98.77,98.73
2025,QS World University Rankings,155,University 0155,South Korea,95.95,93.89,100.07,92.2,92.39,91.63,94.48
2025,QS World University Rankings,156,University 0156,Germany,96.12,95.53,98.49,100.89,92.45,89.61,97.21
2025,QS World University Rankings,157,University 0157,UK,96.84,95.82,93.22,99.41,96.4,102.64,102.03
2025,QS World University Rankings,158,University 0158,South Korea,94.93,98.5,91.64,97.57,100.77,98.77,89.74
2025,QS World University Rankings,159,University 0159,Spain,94.54,96.61,97.9,89.19,84.94,95.38,100.03
2025,QS World University Rankings,160,University 0160,South Korea,93.21,90.41,87.51,87.87,84.44,96.01,96.03
2025,QS World University Rankings,161,University 0161,Japan,95.58,90.8,94.96,96.98,91.15,99.21,89.48
2025,QS World University Rankings,162,University 0162,Switzerland,93.22,94.3,91.7,94.92,84.65,90.44,95.09
2025,QS World University Rankings,163,University 0163,South Korea,94.77,95.41,93.76,96.62,94.78,97.67,101.58
2025,QS World University Rankings,164,University 0164,Japan,98.32,95.44,102.25,93.58,92.82,94.96,101.58
2025,QS World University Rankings,165,University 0165,Japan,95.67,96.82,98.73,101.56,87.4,94.34,101.41
2025,QS World University Rankings,166,University 0166,Netherlands,93.53,91.14,96.41,85.88,102.65,87.16,88.8
2025,QS World University Rankings,167,University 0167,China,91.65,96.29,93.27,83.91,98.95,86.45,91.54
2025,QS World University Rankings,168,University 0168,Sweden,93.89,92.88,94.71,96.3,98.35,91.43,92.08
2025,QS World University Rankings,169,University 0169,Spain,94.07,96.6,92.09,89.5,93.78,95.16,87.4
2025,QS World University Rankings,170,University 0170,USA,92.36,93.18,88.28,97.92,92.95,93.87,87.74
2025,QS World University Rankings,171,University 0171,UK,90.52,89.38,94.62,95.61,83.03,91.64,89.62
2025,QS World University Rankings,172,University 0172,Japan,94.41,94.97,88.84,92.49,90.38,89.71,94.12
2025,QS World University Rankings,173,University 0173,South Korea,90.59,94.24,91.77,85.6,84.97,91.38,87.48
2025,QS World University Rankings,174,University 0174,Switzerland,91.39,87.01,85.47,84.94,95.53,87.64,88.24
2025,QS World University Rankings,175,University 0175,Netherlands,88.4,84.37,90.4,88.14,82.67,81.42,83.66
2025,QS World University Rankings,176,University 0176,Italy,94.82,91.09,100.34,93.66,95.52,94.21,99.41
2025,QS World University Rankings,177,University 0177,China,95.98,95.57,90.93,100.51,92.68,101.6,102.33
2025,QS World University Rankings,178,University 0178,China,92.04,94.05,90.75,89.21,89.43,90.88,89.74
2025,QS World University Rankings,179,University 0179,Spain,92.15,92.22,87.0,95.47,93.13,98.58,86.96
2025,QS World University Rankings,180,University 0180,Japan,89.16,92.22,91.71,91.07,91.08,84.83,84.05
2025,QS World University Rankings,181,University 0181,UK,95.71,97.71,92.63,96.39,100.25,91.37,101.12
2025,QS World University Rankings,182,University 0182,USA,95.84,92.95,95.42,95.8,96.51,101.95,89.33
2025,QS World University Rankings,183,University 0183,Germany,91.22,95.48,91.8,97.41,91.64,95.02,94.72
2025,QS World University Rankings,184,University 0184,Japan,96.3,99.03,99.59,103.13,94.62,89.42,99.48
2025,QS World University Rankings,185,University 0185,Canada,94.4,93.47,100.33,101.47,94.54,88.08,92.0
2025,QS World University Rankings,186,University 0186,Japan,90.0,92.74,91.66,90.32,99.55,86.62,92.87
2025,QS World University Rankings,187,University 0187,South Korea,92.95,92.26,91.27,97.53,93.34,92.5,98.41
2025,QS World University Rankings,188,University 0188,UK,91.0,92.74,96.91,86.6,100.76,88.51,85.32
2025,QS World University Rankings,189,University 0189,Germany,94.96,90.76,93.81,89.5,91.87,87.97,96.58
2025,QS World University Rankings,190,University 0190,Japan,92.21,88.63,97.74,99.44,88.59,98.59,98.35
2025,QS World University Rankings,191,University 0191,South Korea,93.02,94.08,95.34,87.89,94.34,91.74,86.13
2025,QS World University Rankings,192,University 0192,France,91.28,87.24,85.36,88.18,89.75,92.38,97.65
2025,QS World University Rankings,193,University 0193,Switzerland,91.77,87.74,87.29,86.41,95.74,98.76,96.23
2025,QS World University Rankings,194,University 0194,UK,90.88,91.94,90.52,91.07,85.16,88.9,87.83
2025,QS World University Rankings,195,University 0195,Switzerland,89.68,87.02,87.03,96.5,96.06,92.27,89.51
2025,QS World University Rankings,196,University 0196,China,95.91,96.39,94.85,91.85,96.64,92.36,98.15
2025,QS World University Rankings,197,University 0197,USA,92.48,87.76,98.4,94.31,88.8,91.81,89.29
2025,QS World University Rankings,198,University 0198,Germany,92.55,97.52,90.8,85.56,92.78,95.31,91.99
2025,QS World University Rankings,199,University 0199,Netherlands,92.13,95.08,91.63,99.94,92.62,90.61,91.09
2025,QS World University Rankings,200,University 0200,Italy,89.8,86.29,84.61,89.12,80.76,94.51,90.02
2025,QS World University Rankings,201,University 0201,Singapore,94.12,98.2,94.26,88.0,92.25,100.91,89.78
2025,QS World University Rankings,202,University 0202,Australia,90.46,89.77,88.17,97.46,93.82,96.68,94.19
2025,QS World University Rankings,203,University 0203,Australia,90.57,88.6,86.96,93.77,80.81,84.12,86.19
2025,QS World University Rankings,204,University 0204,USA,93.86,95.1,96.09,86.92,88.85,94.71,98.79
2025,QS World University Rankings,205,University 0205,USA,92.49,92.69,89.76,90.64,97.95,91.52,94.19
2025,QS World University Rankings,206,University 0206,South Korea,91.29,86.47,93.63,90.55,88.21,96.44,97.82
2025,QS World University Rankings,207,University 0207,UK,87.92,90.64,92.37,85.79,79.64,83.33,88.51
2025,QS World University Rankings,208,University 0208,Canada,90.84,86.79,95.77,93.72,92.46,97.07,92.5
2025,QS World University Rankings,209,University 0209,Australia,90.01,86.11,95.27,85.52,96.77,84.76,83.59
2025,QS World University Rankings,210,University 0210,India,92.58,93.33,97.61,100.2,93.9,85.92,89.45
2025,QS World University Rankings,211,University 0211,Singapore,92.75,92.63,98.07,92.98,92.89,97.02,95.87
2025,QS World University Rankings,212,University 0212,Canada,91.96,93.69,94.1,97.95,97.21,90.68,90.31
2025,QS World University Rankings,213,University 0213,South Korea,89.47,86.17,89.26,86.75,82.76,92.96,86.82
2025,QS World University Rankings,214,University 0214,France,90.74,90.9,88.65,94.34,91.82,90.07,86.0
2025,QS World University Rankings,215,University 0215,Spain,94.06,97.47,98.85,97.31,87.86,99.08,95.98
2025,QS World University Rankings,216,University 0216,Italy,87.77,85.99,92.34,79.79,91.36,93.16,84.69
2025,QS World University Rankings,217,University 0217,Canada,91.95,94.26,93.14,85.47,96.62,97.38,89.31
2025,QS World University Rankings,218,University 0218,South Korea,93.47,89.44,95.16,87.51,89.42,94.76,90.29
2025,QS World University Rankings,219,University 0219,Netherlands,86.27,86.38,89.42,90.32,95.0,90.01,92.26
2025,QS World University Rankings,220,University 0220,Italy,89.65,88.15,92.57,93.71,89.18,87.17,84.24
2025,QS World University Rankings,221,University 0221,Singapore,89.25,86.35,85.91,93.69,96.98,90.4,95.17
2025,QS World University Rankings,222,University 0222,South Korea,88.79,88.69,91.29,85.64,83.73,87.57,89.41
2025,QS World University Rankings,223,University 0223,Sweden,89.14,88.82,83.41,96.16,90.95,89.48,89.75
2025,QS World University Rankings,224,University 0224,Italy,92.51,89.9,92.59,86.93,84.78,94.89,90.3
2025,QS World University Rankings,225,University 0225,France,88.97,89.69,87.19,90.34,84.29,92.76,92.33
2025,QS World University Rankings,226,University 0226,Netherlands,92.44,93.08,87.78,87.87,83.89,86.99,91.71
2025,QS World University Rankings,227,University 0227,Australia,89.91,85.6,84.24,90.37,82.7,94.78,90.14
2025,QS World University Rankings,228,University 0228,Netherlands,89.07,91.6,92.52,92.2,96.91,89.53,84.39
2025,QS World University Rankings,229,University 0229,Singapore,88.98,86.24,94.56,91.82,86.1,84.26,95.26
2025,QS World University Rankings,230,University 0230,France,95.18,98.38,99.1,91.18,99.41,100.8,96.3
2025,QS World University Rankings,231,University 0231,USA,93.66,90.63,95.62,100.71,91.5,93.86,94.66
2025,QS World University Rankings,232,University 0232,Netherlands,88.63,86.52,91.58,83.02,88.25,89.07,81.74
2025,QS World University Rankings,233,University 0233,Singapore,91.19,92.88,86.08,85.19,85.01,94.05,93.28
2025,QS World University Rankings,234,University 0234,Japan,93.43,92.02,92.66,91.13,89.95,99.64,93.52
2025,QS World University Rankings,235,University 0235,France,85.85,87.09,85.03,79.79,77.86,80.32,82.15
2025,QS World University Rankings,236,University 0236,Australia,90.85,89.55,88.24,90.49,90.06,95.49,96.38
2025,QS World University Rankings,237,University 0237,Switzerland,91.38,95.15,86.68,87.81,93.33,97.44,86.42
2025,QS World University Rankings,238,University 0238,UK,92.06,90.11,92.95,99.41,86.53,87.17,98.35
2025,QS World University Rankings,239,University 0239,France,94.12,95.84,91.43,93.97,96.76,93.88,92.1
2025,QS World University Rankings,240,University 0240,Sweden,92.42,90.28,97.56,91.9,94.7,98.98,86.83
2025,QS World University Rankings,241,University 0241,Canada,89.13,88.22,92.7,96.56,88.4,86.07,90.6
2025,QS World University Rankings,242,University 0242,Sweden,88.59,92.29,92.75,96.05,89.44,85.42,88.79
2025,QS World University Rankings,243,University 0243,Japan,89.65,89.53,90.09,85.21,84.5,88.04,94.58
2025,QS World University Rankings,244,University 0244,Sweden,85.25,86.93,90.45,89.2,84.32,80.81,81.55
2025,QS World University Rankings,245,University 0245,Italy,90.79,95.74,96.23,97.22,97.17,87.74,92.95
2025,QS World University Rankings,246,University 0246,Spain,91.84,93.51,86.72,94.43,92.13,87.83,88.38
2025,QS World University Rankings,247,University 0247,Netherlands,88.17,86.29,88.81,89.05,84.42,88.01,85.01
2025,QS World University Rankings,248,University 0248,UK,91.56,87.06,92.21,91.62,89.04,89.42,92.1
2025,QS World University Rankings,249,University 0249,Australia,89.69,94.64,87.05,95.54,84.06,86.91,90.39
2025,QS World University Rankings,250,University 0250,China,89.13,90.75,92.74,88.91,80.07,90.63,94.81
2025,QS World University Rankings,251,University 0251,Canada,89.66,92.67,92.64,86.28,83.16,90.37,83.44
2025,QS World University Rankings,252,University 0252,Sweden,89.04,87.4,83.18,94.9,84.43,85.52,87.08
2025,QS World University Rankings,253,University 0253,Japan,88.75,89.06,88.58,92.96,97.39,92.81,92.62
2025,QS World University Rankings,254,University 0254,South Korea,87.93,91.57,84.53,82.51,93.81,90.08,94.57
2025,QS World University Rankings,255,University 0255,UK,89.39,92.0,90.9,95.58,83.64,86.06,84.17
2025,QS World University Rankings,256,University 0256,Netherlands,89.36,85.23,91.67,97.21,87.15,89.6,87.62
2025,QS World University Rankings,257,University 0257,France,89.54,90.29,95.08,96.97,94.7,83.25,90.99
2025,QS World University Rankings,258,University 0258,Netherlands,90.42,94.8,84.89,92.8,92.4,93.66,93.83
2025,QS World University Rankings,259,University 0259,Canada,90.82,94.12,94.25,88.06,91.37,96.55,88.16
2025,QS World University Rankings,260,University 0260,Italy,93.44,88.94,97.41,100.93,92.65,91.9,91.37
2025,QS World University Rankings,261,University 0261,Singapore,87.26,82.84,87.14,84.55,78.16,89.15,93.86
2025,QS World University Rankings,262,University 0262,India,90.26,85.85,92.7,94.74,99.29,96.99,85.38
2025,QS World University Rankings,263,University 0263,Australia,90.36,92.76,91.15,98.0,81.58,87.75,96.73
2025,QS World University Rankings,264,University 0264,Australia,89.01,92.07,93.25,96.14,92.66,94.63,92.35
2025,QS World University Rankings,265,University 0265,Sweden,88.59,89.02,83.31,81.44,91.92,93.4,88.4
2025,QS World University Rankings,266,University 0266,India,89.32,93.03,93.89,87.73,80.68,83.82,83.92
2025,QS World University Rankings,267,University 0267,Italy,88.96,85.87,91.69,82.68,94.11,82.61,88.74
2025,QS World University Rankings,268,University 0268,India,90.86,90.1,86.21,87.94,88.87,86.53,97.83
2025,QS World University Rankings,269,University 0269,Germany,90.13,86.73,89.32,93.73,96.37,94.86,86.51
2025,QS World University Rankings,270,University 0270,Australia,89.59,87.99,90.7,86.38,83.9,83.07,85.89
2025,QS World University Rankings,271,University 0271,Switzerland,90.82,87.65,93.22,97.56,83.51,97.54,94.63
