Name,qty,SKU
jia-xing-shi,49.2,dm
jia-xing-shi,28.3,im
jiang-men-shi,21.3,dm
jiang-men-shi,10.5,im
jie-yang-shi,30,dm
jie-yang-shi,11.6,im
jin-hua-shi,68.7,dm
jin-hua-shi,45.3,im
jiu-jiang-shi,23.2,dm
jiu-jiang-shi,8.4,im
kun-ming-shi,56.5,dm
kun-ming-shi,31.4,im
lan-zhou-shi,20.7,dm
lan-zhou-shi,19.6,im
lian-yun-gang-shi,36.6,dm
lian-yun-gang-shi,16.3,im
liao-cheng-shi,25.2,dm
liao-cheng-shi,7.9,im
lin-fen-shi,22.4,dm
lin-fen-shi,8.3,im
lin-yi-shi,56,dm
lin-yi-shi,22.5,im
lu-an-shi,19.8,dm
lu-an-shi,12.7,im
luo-yang-shi,31.7,dm
luo-yang-shi,12.8,im
mian-yang-shi,24.1,dm
mian-yang-shi,9,im
nan-chang-shi,47.2,dm
nan-chang-shi,23.8,im
nan-jing-shi,117.1,dm
nan-jing-shi,101.5,im
nan-ning-shi,49.3,dm
nan-ning-shi,25.9,im
nan-tong-shi,51.8,dm
nan-tong-shi,50.6,im
nan-yang-shi,25.3,dm
nan-yang-shi,7.6,im
nei-lu-CDC-suo-zai-cheng-shi,53.6,dm
nei-lu-CDC-suo-zai-cheng-shi,29,im
ning-bo-shi,79.2,dm
ning-bo-shi,57.6,im
ning-de-shi,23.4,dm
ning-de-shi,9,im
qing-dao-shi,104.3,dm
qing-dao-shi,75.5,im
quan-zhou-shi,73.2,dm
quan-zhou-shi,35,im
ri-zhao-shi,22,dm
ri-zhao-shi,8.2,im
shan-tou-shi,38.3,dm
shan-tou-shi,20,im
shang-hai-shi,246,dm
shang-hai-shi,449.2,im
shang-qiu-shi,37.3,dm
shang-qiu-shi,9.6,im
shang-rao-shi,26.4,dm
shang-rao-shi,9.5,im
shao-xing-shi,42.8,dm
shao-xing-shi,46.9,im
shen-yang-shi,95.3,dm
shen-yang-shi,61,im
shen-zhen-shi,166.1,dm
shen-zhen-shi,109.7,im
shi-jia-zhuang-shi,90.7,dm
shi-jia-zhuang-shi,33,im
su-qian-shi,30.5,dm
su-qian-shi,8.7,im
tai-an-shi,22.6,dm
tai-an-shi,8.7,im
tai-yuan-shi,82.9,dm
tai-yuan-shi,39.9,im
tang-shan-shi,36.1,dm
tang-shan-shi,21.1,im
tian-jin-shi,142.6,dm
tian-jin-shi,87,im
wei-fang-shi,64.4,dm
wei-fang-shi,24.3,im
wei-hai-shi,25.4,dm
wei-hai-shi,13,im
wen-zhou-shi,106.5,dm
wen-zhou-shi,59.9,im
wu-han-shi,112.2,dm
wu-han-shi,93.1,im
wu-hu-shi,26.8,dm
wu-hu-shi,13.3,im
wu-xi-shi,71.6,dm
wu-xi-shi,43.9,im
xi-an-shi,155,dm
xi-an-shi,85.4,im
xian-yang-shi,22,dm
xian-yang-shi,8.3,im
xiang-yang-shi,21.3,dm
xiang-yang-shi,12.1,im
xin-xiang-shi,40.4,dm
xin-xiang-shi,12.4,im
xin-yang-shi,26.4,dm
xin-yang-shi,8.5,im
xing-tai-shi,25.5,dm
xing-tai-shi,7.8,im
xu-zhou-shi,66.6,dm
xu-zhou-shi,28.9,im
yan-cheng-shi,49.7,dm
yan-cheng-shi,18.4,im
yan-tai-shi,58.7,dm
yan-tai-shi,46.6,im
yang-zhou-shi,25.2,dm
yang-zhou-shi,11.8,im
yun-cheng-shi,32.3,dm
yun-cheng-shi,8.7,im
zhan-jiang-shi,25.6,dm
zhan-jiang-shi,8.4,im
zhang-jia-kou-shi,22.1,dm
zhang-jia-kou-shi,8.3,im
zhang-zhou-shi,32.3,dm
zhang-zhou-shi,12.8,im
zhen-jiang-shi,26.2,dm
zhen-jiang-shi,13.4,im
zheng-zhou-shi,118.3,dm
zheng-zhou-shi,57.3,im
zhong-shan-shi,33.2,dm
zhong-shan-shi,13.9,im
zhou-kou-shi,30.5,dm
zhou-kou-shi,7.9,im
zhu-hai-shi,21.9,dm
zhu-hai-shi,13,im
zi-bo-shi,26.8,dm
zi-bo-shi,13.5,im
