Row ID,Project_Manager_Name,Project_ID,Project,Project Type,Project_Value_Classification,Country,Region,City/Town,Assigned_Engineer_Name,Customer_ID,Customer_Name,Industry,Sector,Sub-sector,Greenfield/Brownfield,Onshore/Offshore,Duration (Days),Today_Date,Award_Data,Site_Handover_Date,Project_Start_Date,Project_end_Date,Completion_Date,Actual_Progress (%),Planned_Progress (%),Progress_Variance,Progress_Efficiency,project_status,Schedule_status,Project Health Calculation,Contract Value (EGP),Actual Revenue (EGP),Expected Revenue (EGP),Revenue Variance (EGP),Revenue Achievement Ratio,Budget Key,Planned Value (PV) (EGP),Earned Value (EV) (EGP),Actual Cost (AC) (EGP),Budget at Completion (BAC) (EGP),Risk_Assessment,Risk_Explanation,Risk_Mitigation,Comments
11,Eng. Mohamed Mousa,30043908021,Maintenance works for tank number (2) in the Shawa depot in Mansoura,Sub projects,Small,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3004,Misr Petroleum Co.,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,195,1/24/2025,5/23/2024,1/6/2024,5/23/2024,12/13/2024,,1,1,0,1,Complete,On time,AT RISK,1943277,1380447,1943277,-562830,0.71,OVER,1943277,1943277,1380447,1943277,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","Status of the works: Duration of the operation: Five months from the date of site receipt
Regarding the mechanical works:
All mechanical works have been completed
Regarding the civil works - all civil works related to the original work measurement have been completed.
- Awaiting approval of the additional works valued at 270,000 EGP from the client to date according to the report from the technical authority."
12,Eng. Mohamed Mousa,30043908022,Rehabilitation and maintenance works for tank number (7) at the main Tanta depot,Sub projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3004,Misr Petroleum Co.,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,183,1/24/2025,5/23/2024,6/24/2024,5/23/2024,12/24/2024,,0.78,1,-0.22,0.78,In progress,Behind,AT RISK,3031005,1112225,2364183.9,-1251958.9,0.47,OVER,2670321.11,2364183.9,1112225,3031005,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Status of works: Duration of operation execution: 6 months from the date of site handover
The site was handed over on 24/6/2024
Mechanical works:
- Hydrotest is currently being conducted by the client
Remaining works include the installation of sprinklers, sandblasting, internal painting, and galvanizing of pipes.
Civil works:
All civil works related to the work measurement have been completed, and only plastering works remain as per the client's request (to be executed after the completion of mechanical works)."
13,Eng. Mohamed Mousa,30044165001,Manufacturing and installation works of ladders and walkways between tanks at Tanta depot,Sub projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3004,Misr Petroleum Co.,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,0,1/24/2025,10/12/2024,9/12/2024,10/12/2024,3/11/2025,,0,0,0,0,Not started,On time,PROGRESS HALTED,3664264,0,0,0,0,ON,0,0,0,3664264,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.",Status of works: Duration of operation execution: 6 months from the date of site handover.
14,Eng. Mohamed Mousa,30053437021,Rehabilitation and maintenance of depot (204 A) in Kafr El-Dawar and the associated cooling and firefighting systems,Sub projects,Large,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,457,1/24/2025,3/14/2022,3/27/2022,3/14/2022,6/27/2023,,0.99,1,-0.01,0.99,In progress,Behind,AT RISK,23496157,21033861,23261195.43,-2227334.43,0.904,OVER,23496157,23261195.43,21033861,23496157,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Status of works: Completed works
- All works have been completed, and a final invoice is being prepared with the client."
15,Eng. Mohamed Mousa,30053437062,Maintenance works for warehouse 301 and 302 with fixed ceiling and internal float in Damanhur station,Sub projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,182,1/24/2025,11/14/2022,4/12/2022,11/14/2022,4/6/2023,,0.54,1,-0.46,0.54,In progress,Behind,AT RISK,8280449,7226618,4471442.46,2755175.54,1.617,ON,8280449,4471442.46,7226618,8280449,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Work Status: Completed works
- All civil works have been completed, and excavation works for the cooling and foam network foundations have been finished. - Foam boxes and sprinklers were supplied through Ractos Company
- A letter was sent to the client on 10/9/2024 to resume works and receive the Tanks, but no response has been received from the client as of the current date."
16,Eng. Mohamed Mousa,30053437063,Rehabilitation and maintenance of warehouses 201(B) and 202(B) at Kafr El-Dawwar station,Sub projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,223,1/24/2025,11/14/2022,4/12/2022,11/14/2022,7/15/2023,,0.98,1,-0.02,0.98,In progress,Behind,AT RISK,3327102,2576388,3260560,-684172,0.79,OVER,3327102,3260560,2576388,3327102,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Work Status: Completed works
All works have been completed, and a letter was sent to the client on 26/09/2024 confirming the completion of all works
- A letter was sent to the client on 26/09/2024 for preliminary receipt of the works with the operating permit, with Petroment Company committing to install the old inspection valves after matching and calibrating them by the client, and to install the new valves once they are supplied."
17,Eng. Mohamed Mousa,30053773006,Maintenance and rehabilitation of tank 534 and the cooling and firefighting networks associated with the petroleum pipeline warehouse in Tanta,Sub projects,Large,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,700,1/24/2025,8/15/2023,9/18/2023,8/15/2023,8/18/2025,,0.81,0.86,-0.05,0.9419,In progress,Behind,AT RISK,31592614,18181583,25589917.32,-7408334.32,0.71,OVER,5870418.84,25589917.32,18181583,31592614,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","The original implementation period is 15 months, and 8 additional months were added for the supply and installation of the internal float, making the total implementation period 23 months from the site receipt date, which is 18/9/2023.
Work Status: 1- Completed works
A- Regarding mechanical works
- The hydrotest has been completed by the client, and lining works are now starting.
B- Regarding civil works
- Civil works have commenced.
2- Remaining works
A- Regarding mechanical works
- Installation of the internal float (Phase 1) remains.
- Installation of the internal float (Phase 2).
- Floating of the internal float.
- Installation of sprinklers and foam boxes.
- Lining works.
- Connecting the piping network to the main network.
- Hydrotest (by the client).
B- Regarding civil works (civil works are dependent on mechanical works)
- Remaining works: Supply and installation of new slabs.
- Works for buildings around the cooling network.
- Inspection chambers.
- Breaking plaster for rainwater drainage.
- Cement plastering works for the cooling water channels.
- Excavation and installation of pipes for drainage."
18,Eng. Mohamed Mousa,30053773029,Rehabilitation and Maintenance of Internal Roads Phase Two at Benha Station,Parent projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,306,1/24/2025,2/19/2024,3/11/2024,2/19/2024,11/1/2025,,0.57,0.94,-0.37,0.6064,In progress,Behind,AT RISK,5625375,914730,3206463.75,-2291733.75,0.285,OVER,4205750.68,3206463.75,914730,5625375,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Work Status
The site was received on 11/3/2024
Work is ongoing on the leveling, backfilling, and compaction of the second replacement layer with a thickness of 25 cm at a rate of 80%, and work is ongoing on the construction works for the inspection rooms."
19,Eng. Mohamed Mousa,30053773033,Emergency Maintenance and Breaks in the Delta Area (Fifteenth Edition),Parent projects,Small,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,279,1/24/2025,5/3/2024,4/18/2024,5/3/2024,1/22/2025,,0.8,0.8,0,1,In progress,On time,HEALTHY,424960,424960,339968,84992,1.25,ON,424960,339968,424960,424960,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.",According to the work order.
20,Eng. Mohamed Mousa,30053773034,Supply of Labor at the Petroleum Pipelines Company in the Delta Area (Fifteenth Edition),Standalone Projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Transmission,Oil Pipeline,Brownfield,Onshore,395,1/24/2025,1/3/2024,1/3/2024,1/3/2024,3/31/2025,,0.7,0.7,0,1,In progress,On time,AT RISK,6081876,4154467,4257313.2,-102846.2,0.976,OVER,4940896.67,4257313.2,4154467,6081876,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.",Labor supply is ongoing according to the work order.
21,Eng. Mohamed Mousa,30053773037,"Establishment of an 80 gasoline line from Warehouse 542 to Taranch Shawwa, painting the gas network, and the umbrella for Pump No. 10 and the fuel warehouse",Standalone Projects,Medium,Egypt,Nile Delta,Tanta,Eng. Ahmed Zaki,3005,PPC,Oil,Midstream / Transmission,Oil Pipeline,Brownfield,Onshore,150,1/24/2025,6/4/2024,8/26/2024,6/4/2024,1/23/2025,,0.92,0.85,0.07,1.0824,In progress,On time,AT RISK,2048510,1835606,1884629.2,-49023.2,0.974,OVER,1953723.73,1884629.2,1835606,2048510,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","Status of works - Approval has been granted for the assignment of implementing the works under the fifteenth edition dated 02/07/2023 by the Higher Maintenance Committee, with a total value of 2,048,510 Egyptian pounds.
Mechanical works
The mechanical works are in progress (the connection of line 80 to tank 32/34 is ongoing). Civil works
All civil works have been completed."
22,Eng. Mohamed Mousa,30053773039,Modification of the intake and delivery lines at Kafr El-Dawar Station 6 and 8 inches to a diameter of 12 inches at Kafr El-Dawar Station,Standalone Projects,Medium,Egypt,Nile Delta,Tanta,Eng. Ahmed Zaki,3005,PPC,Oil,Midstream / Transmission,Oil Pipeline,Brownfield,Onshore,184,1/24/2025,5/23/2023,5/23/2023,5/23/2023,11/23/2023,,0.06,1,-0.94,0.06,In progress,Overdue,PROGRESS HALTED,4077262,382045,244635.72,137409.28,1.562,OVER,4077262,244635.72,382045,4077262,High Risk,Project is both behind schedule and nearing its end date.,"Increase resources, expedite critical tasks, negotiate deadline extension, perform risk reassessment.",
23,Eng. Mohamed Mousa,30053773046,Maintenance and rehabilitation works for Warehouse 512 in Tanta,Sub projects,Small,Egypt,Nile Delta,Tanta,Eng. Ahmed Zaki,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,8,1/24/2025,6/13/2024,9/15/2024,6/13/2024,9/23/2024,9/15/2024,1,1,0,1,Complete,On time,HEALTHY,47000,47000,47000,0,1,ON,47000,47000,47000,47000,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","A final extract has been prepared, ongoing (1) dated 10/11/2024."
24,Eng. Mohamed Mousa,30053773053,Implementation works for the drainage and ventilation network for the butane gas warehouse in Tanta,Sub projects,Small,Egypt,Nile Delta,Tanta,Eng. Ahmed Zaki,3005,PPC,Gas,Midstream / Storage,Gas Tank,Brownfield,Onshore,61,1/24/2025,10/6/2024,1/12/2024,10/6/2024,1/31/2025,,0.01,0.41,-0.4,0.0244,In progress,Overdue,PROGRESS HALTED,476125,0,4761.25,-4761.25,0,OVER,4545.55,4761.25,0,476125,High Risk,Project is both behind schedule and nearing its end date.,"Increase resources, expedite critical tasks, negotiate deadline extension, perform risk reassessment.","The site was received on 1/12/2024
All supplies were delivered by the client, and work is currently commencing."
25,Eng. Mohamed Mousa,30053773048,Installation works for lamps above the warehouses at Tanta and Kafr El-Dawar,Sub projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,243,1/24/2025,5/8/2024,8/13/2024,5/8/2024,4/13/2025,,0.03,0.27,-0.24,0.1111,In progress,Overdue,PROGRESS HALTED,1655507,62845,49665.21,13179.79,1.265,OVER,685733.03,49665.21,62845,1655507,High Risk,Project is both behind schedule and nearing its end date.,"Increase resources, expedite critical tasks, negotiate deadline extension, perform risk reassessment.","Duration of the operation: 8 months
-The site was received on 13/08/2024
-Work was halted by the client until the Engineering Affairs Department officially responds to the study and
awarding and examination and matching of the required supplies by the client's technical inspection department."
26,Eng. Mohamed Mousa,30053773052,"Maintenance works for tank 522, the fifteenth edition",Sub projects,Large,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3005,PPC,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,175,1/24/2025,1/10/2024,11/24/2024,1/10/2024,5/18/2025,,0.02,0.1,-0.08,0.2,In progress,Overdue,PROGRESS HALTED,19964713,0,399294.26,-399294.26,0,OVER,1996471.3,399294.26,0,19964713,High Risk,Project is both behind schedule and nearing its end date.,"Increase resources, expedite critical tasks, negotiate deadline extension, perform risk reassessment.","The site was received on 24/11/2024, and the site receipt was approved by the General Director of the area on
11/12/2024
Regarding the mechanical works, work is currently ongoing in the ceiling cutting operations."
27,Eng. Mohamed Mousa,10523240001,Underground pipe replacement works from 15-SILAH DRAIN SYSTEM TO SILA,Standalone Projects,Medium,Egypt,Nile Delta,Cairo,Eng. Ahmed Zaki,1052,Petrosilah,Oil,Midstream / Transmission,Oil Pipeline,Brownfield,Onshore,230,1/24/2025,4/14/2021,4/14/2021,4/14/2021,11/30/2021,4/14/2021,1,1,0,1,Complete,On time,AT RISK,4905780,4809967,4905780,-95813,0.98,OVER,4905780,4905780,4809967,4905780,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","The supply of pipes has been completed at 100%
The revenue has been fully recorded, but only the installation of 630 meters remains, which will be carried out by the contractor Discovery after agreeing to complete this process along with the fiberglass pipe installation."
28,Eng. Mohamed Mousa,10523675001,Supply of fiberglass pipes,Parent projects,Medium,Egypt,Nile Delta,Cairo,Eng. Ahmed Zaki,1052,Petrosilah,Oil,Midstream / Transmission,Oil Pipeline,Brownfield,Onshore,583,1/24/2025,7/12/2022,1/1/2023,7/12/2022,6/8/2024,,0.36,1,-0.64,0.36,In progress,Overdue,AT RISK,3978732,1346730,1432343.52,-85613.52,0.94,OVER,3978732,1432343.52,1346730,3978732,High Risk,Project is both behind schedule and nearing its end date.,"Increase resources, expedite critical tasks, negotiate deadline extension, perform risk reassessment.","The supply of pipes has been completed at 100%
Contact has been made with the contractor to complete the works, and the works have not been completed to date.
An agreement has been reached with the contractor to provide a price offer for the remaining works, but it has not been submitted to date.
The price offer for civil works from the contractor Discovery was submitted on 7/10/2024 and is currently under review."
29,Eng. Mohamed Mousa,10523968002,"Internal cleaning, pumping, and painting works for storage warehouses (2024-2025)",Standalone Projects,Small,Egypt,Nile Delta,Cairo,Eng. Ahmed Zaki,1052,Petrosilah,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,359,1/24/2025,1/15/2024,2/7/2024,1/15/2024,1/31/2025,,0.9,0.92,-0.02,0.9783,In progress,Behind,AT RISK,2188425,1302807,1969582.5,-666775.5,0.661,OVER,1577377.83,1969582.5,1302807,2188425,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Work is ongoing to supply 40 anodes.
Work is ongoing in cleaning and pumping residues for 2 warehouses with a capacity of 500 barrels."
30,Eng. Mohamed Mousa,10523968003,Sanding and painting works for pipes at the headquarters of Petrosilah Company (Phase One),Standalone Projects,Medium,Egypt,Nile Delta,Cairo,Eng. Ahmed Zaki,1052,Petrosilah,Oil,Midstream / Transmission,Oil Pipeline,Brownfield,Onshore,365,1/24/2025,9/3/2024,10/8/2024,9/3/2024,11/30/2024,,0.45,1,-0.55,0.45,In progress,Behind,AT RISK,3050500,1161141,1372725,-211584,0.846,OVER,1502166.67,1372725,1161141,3050500,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.",The site was received on 10/08/2024. The execution period for the works has been extended by two months with the client's approval - all available works at the Sila station have been completed. - Works related to the Abu Talib station commenced on 15/12/2024 according to the technical authorityÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢s notification.
31,Eng. Mohamed Mousa,10523968004,"Supply of the necessary labor for maintenance, sanding, and painting works in the fields (2024)",Standalone Projects,Medium,Egypt,Nile Delta,Cairo,Eng. Ahmed Zaki,1052,Petrosilah,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,183,1/24/2025,4/6/2024,6/22/2024,4/6/2024,12/22/2024,6/22/2024,1,1,0,1,Complete,On time,AT RISK,3265724,1990313,3265724,-1275411,0.609,OVER,1875645.41,3265724,1990313,3265724,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.",Labor supply is ongoing according to the client's request.
32,Eng. Mohamed Mousa,10524149001,Engineering inspection works on two thermal treatment units,Standalone Projects,Small,Egypt,Nile Delta,Cairo,Eng. Ahmed Zaki,1052,Petrosilah,Oil,Downstream,Oil Refinery,Brownfield,Onshore,0,1/24/2025,12/12/2024,12/12/2024,12/12/2024,2/10/2025,,0,0,0,0,Not started,On time,PROGRESS HALTED,60000,0,0,0,0,ON,0,0,0,60000,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.",Receiving two thermal treatment units from the client is ongoing to commence engineering inspection works.
