year,date,stage,home_team,away_team,home_goals,away_goals,winner,match_id
1974,1974-06-24,Round of 16,Switzerland,Morocco,0,0,Draw,55
1974,1974-06-24,Group Stage,Poland,Iran,0,2,Iran,56
1974,1974-06-25,Round of 16,Germany,Poland,2,0,Germany,57
1974,1974-06-25,Group Stage,Tunisia,Mexico,2,1,Tunisia,58
1974,1974-06-25,Group Stage,France,Denmark,1,2,Denmark,59
1974,1974-06-25,Group Stage,Senegal,Algeria,2,3,Algeria,60
1974,1974-06-25,Group Stage,Croatia,Italy,2,1,Croatia,61
1974,1974-06-26,Quarter-finals,Spain,Senegal,2,2,Draw,62
1974,1974-06-26,Round of 16,Croatia,Portugal,1,2,Portugal,63
1974,1974-06-26,Group Stage,USA,Poland,2,1,USA,64
1978,1978-06-10,Group Stage,Mexico,Portugal,0,1,Portugal,65
1978,1978-06-11,Group Stage,Croatia,Iran,0,3,Iran,66
1978,1978-06-12,Round of 16,Netherlands,Germany,1,1,Draw,67
1978,1978-06-12,Group Stage,Nigeria,Poland,0,1,Poland,68
1978,1978-06-12,Group Stage,Italy,Uruguay,1,0,Italy,69
1978,1978-06-12,Round of 16,Tunisia,Nigeria,0,0,Draw,70
1978,1978-06-12,Group Stage,Netherlands,Poland,1,0,Netherlands,71
1978,1978-06-12,Group Stage,Argentina,Saudi Arabia,0,2,Saudi Arabia,72
1978,1978-06-12,Group Stage,Algeria,Netherlands,2,3,Netherlands,73
1978,1978-06-13,Round of 16,Poland,Morocco,1,0,Poland,74
1978,1978-06-13,Group Stage,Belgium,Denmark,2,2,Draw,75
1978,1978-06-13,Group Stage,Sweden,Morocco,3,3,Draw,76
1978,1978-06-13,Group Stage,Sweden,Mexico,1,1,Draw,77
1978,1978-06-13,Group Stage,Japan,Australia,2,0,Japan,78
1978,1978-06-13,Group Stage,USA,Sweden,1,1,Draw,79
1978,1978-06-13,Group Stage,Switzerland,Morocco,1,3,Morocco,80
1978,1978-06-13,Final,Italy,England,1,0,Italy,81
1978,1978-06-13,Group Stage,Croatia,Senegal,1,1,Draw,82
1978,1978-06-14,Group Stage,Costa Rica,Senegal,1,1,Draw,83
1978,1978-06-14,Group Stage,Brazil,Senegal,1,0,Brazil,84
1978,1978-06-15,Group Stage,Croatia,Germany,1,3,Germany,85
1978,1978-06-15,Quarter-finals,Spain,Belgium,1,1,Draw,86
1978,1978-06-16,Group Stage,Spain,Japan,1,2,Japan,87
1978,1978-06-16,Group Stage,Sweden,Spain,1,1,Draw,88
1978,1978-06-16,Group Stage,England,Costa Rica,2,0,England,89
1978,1978-06-17,Round of 16,Belgium,Poland,1,1,Draw,90
1978,1978-06-17,Group Stage,Senegal,England,2,2,Draw,91
1978,1978-06-17,Group Stage,Cameroon,South Korea,0,1,South Korea,92
1978,1978-06-20,Group Stage,Algeria,Cameroon,0,1,Cameroon,93
1978,1978-06-20,Round of 16,Tunisia,Nigeria,1,1,Draw,94
1978,1978-06-20,Quarter-finals,Italy,Japan,0,1,Japan,95
1978,1978-06-20,Group Stage,Croatia,Saudi Arabia,1,2,Saudi Arabia,96
1978,1978-06-20,Group Stage,Egypt,Argentina,2,0,Egypt,97
1978,1978-06-21,Group Stage,Switzerland,Cameroon,3,1,Switzerland,98
1978,1978-06-21,Group Stage,Costa Rica,Sweden,0,1,Sweden,99
1978,1978-06-21,Group Stage,Cameroon,Denmark,1,0,Cameroon,100
1978,1978-06-22,Group Stage,Saudi Arabia,Spain,2,1,Saudi Arabia,101
1978,1978-06-22,Group Stage,Croatia,Belgium,1,2,Belgium,102
1978,1978-06-22,Third Place,Switzerland,Tunisia,1,1,Draw,103
1978,1978-06-22,Group Stage,Morocco,Egypt,0,0,Draw,104
1978,1978-06-23,Quarter-finals,Iran,Switzerland,1,1,Draw,105
1978,1978-06-23,Group Stage,Germany,Iran,1,2,Iran,106
1978,1978-06-23,Group Stage,Poland,Mexico,1,1,Draw,107
1978,1978-06-23,Group Stage,Iran,Italy,1,1,Draw,108
1978,1978-06-23,Group Stage,Spain,Australia,0,0,Draw,109
1978,1978-06-23,Group Stage,Egypt,Mexico,0,1,Mexico,110
1978,1978-06-23,Group Stage,Denmark,Italy,1,2,Italy,111
1978,1978-06-23,Group Stage,Morocco,Germany,2,1,Morocco,112
1978,1978-06-24,Semi-finals,Saudi Arabia,Switzerland,0,1,Switzerland,113
1978,1978-06-24,Group Stage,Uruguay,Algeria,0,3,Algeria,114
1978,1978-06-24,Group Stage,Ghana,Senegal,1,1,Draw,115
1978,1978-06-24,Group Stage,Iran,Algeria,3,1,Iran,116
1978,1978-06-24,Round of 16,Brazil,Sweden,1,1,Draw,117
1978,1978-06-25,Quarter-finals,Poland,Uruguay,1,1,Draw,118
1978,1978-06-25,Group Stage,Senegal,Egypt,1,1,Draw,119
1978,1978-06-25,Round of 16,France,Morocco,0,1,Morocco,120
1978,1978-06-25,Group Stage,Ghana,France,1,3,France,121
1978,1978-06-25,Round of 16,Croatia,Netherlands,2,2,Draw,122
1978,1978-06-26,Group Stage,Netherlands,Nigeria,2,2,Draw,123
1978,1978-06-26,Group Stage,Denmark,Egypt,1,0,Denmark,124
1978,1978-06-26,Semi-finals,Spain,USA,1,1,Draw,125
1978,1978-06-27,Group Stage,Tunisia,Australia,1,2,Australia,126
1978,1978-06-27,Group Stage,Japan,Ghana,1,3,Ghana,127
1978,1978-06-27,Group Stage,Iran,Senegal,0,2,Senegal,128
1982,1982-06-10,Round of 16,Sweden,Nigeria,0,1,Nigeria,129
1982,1982-06-10,Group Stage,France,Ghana,1,0,France,130
1982,1982-06-11,Group Stage,Mexico,Belgium,2,1,Mexico,131
1982,1982-06-11,Semi-finals,Saudi Arabia,Ghana,1,1,Draw,132
1982,1982-06-11,Group Stage,Australia,England,0,3,England,133
1982,1982-06-11,Group Stage,Portugal,Mexico,0,1,Mexico,134
1982,1982-06-12,Group Stage,Spain,Sweden,2,2,Draw,135
1982,1982-06-12,Group Stage,Algeria,Japan,0,2,Japan,136
1982,1982-06-12,Quarter-finals,Iran,Tunisia,0,0,Draw,137
1982,1982-06-12,Group Stage,Iran,Senegal,2,1,Iran,138
1982,1982-06-12,Group Stage,Italy,Iran,1,1,Draw,139
1982,1982-06-12,Group Stage,Algeria,Portugal,1,2,Portugal,140
1982,1982-06-12,Group Stage,Italy,Denmark,0,0,Draw,141
1982,1982-06-13,Group Stage,Costa Rica,Belgium,1,0,Costa Rica,142
1982,1982-06-13,Group Stage,Uruguay,Costa Rica,1,0,Uruguay,143
1982,1982-06-13,Group Stage,Denmark,Japan,3,1,Denmark,144
1982,1982-06-13,Group Stage,Brazil,Morocco,3,3,Draw,145
1982,1982-06-14,Group Stage,Uruguay,Algeria,3,0,Uruguay,146
1982,1982-06-14,Group Stage,Morocco,Senegal,2,1,Morocco,147
1982,1982-06-14,Group Stage,Saudi Arabia,Switzerland,3,1,Saudi Arabia,148
1982,1982-06-14,Third Place,Croatia,Iran,1,0,Croatia,149
1982,1982-06-15,Group Stage,Belgium,Italy,2,2,Draw,150
1982,1982-06-15,Group Stage,Argentina,Spain,1,0,Argentina,151
1982,1982-06-15,Group Stage,Belgium,Egypt,1,2,Egypt,152
1982,1982-06-15,Group Stage,Spain,Saudi Arabia,3,1,Spain,153
1982,1982-06-15,Semi-finals,Morocco,Nigeria,2,0,Morocco,154
1982,1982-06-15,Group Stage,Croatia,Poland,1,3,Poland,155
1982,1982-06-17,Round of 16,Netherlands,Uruguay,0,0,Draw,156
1982,1982-06-17,Group Stage,Algeria,Costa Rica,1,1,Draw,157
1982,1982-06-17,Group Stage,Australia,Netherlands,0,2,Netherlands,158
1982,1982-06-17,Group Stage,England,Argentina,1,3,Argentina,159
1982,1982-06-18,Group Stage,Morocco,Germany,0,0,Draw,160
1982,1982-06-18,Group Stage,Uruguay,Netherlands,0,1,Netherlands,161
1982,1982-06-18,Group Stage,Costa Rica,USA,0,0,Draw,162
1982,1982-06-18,Group Stage,Iran,Uruguay,3,1,Iran,163
1982,1982-06-18,Quarter-finals,Argentina,Algeria,1,1,Draw,164
1982,1982-06-19,Group Stage,Iran,Denmark,2,1,Iran,165
1982,1982-06-20,Group Stage,Sweden,Egypt,0,0,Draw,166
1982,1982-06-20,Group Stage,Belgium,Iran,2,1,Belgium,167
1982,1982-06-20,Group Stage,Australia,Portugal,2,0,Australia,168
1982,1982-06-21,Round of 16,Switzerland,Belgium,0,0,Draw,169
1982,1982-06-21,Round of 16,Netherlands,Iran,1,1,Draw,170
1982,1982-06-21,Round of 16,Ghana,Tunisia,1,1,Draw,171
1982,1982-06-22,Group Stage,Belgium,Nigeria,1,1,Draw,172
1982,1982-06-22,Quarter-finals,Ghana,Egypt,0,0,Draw,173
1982,1982-06-22,Round of 16,Egypt,Mexico,1,1,Draw,174
1982,1982-06-22,Group Stage,Belgium,Egypt,0,1,Egypt,175
1982,1982-06-22,Group Stage,South Korea,Portugal,3,1,South Korea,176
1982,1982-06-23,Group Stage,Germany,Uruguay,1,1,Draw,177
1982,1982-06-23,Group Stage,Denmark,Algeria,3,1,Denmark,178
1982,1982-06-23,Group Stage,Argentina,Costa Rica,1,1,Draw,179
1982,1982-06-23,Group Stage,Denmark,Germany,0,1,Germany,180
1982,1982-06-23,Quarter-finals,Netherlands,Denmark,2,1,Netherlands,181
1982,1982-06-24,Round of 16,Portugal,France,1,2,France,182
1982,1982-06-24,Round of 16,Morocco,Poland,1,1,Draw,183
1982,1982-06-25,Group Stage,Belgium,Germany,2,0,Belgium,184
1982,1982-06-25,Group Stage,Tunisia,Netherlands,1,1,Draw,185
1982,1982-06-26,Group Stage,France,Japan,2,1,France,186
1982,1982-06-26,Final,Egypt,USA,1,1,Draw,187
1982,1982-06-27,Group Stage,Portugal,Tunisia,0,2,Tunisia,188
1982,1982-06-27,Group Stage,Morocco,Argentina,0,2,Argentina,189
1982,1982-06-27,Group Stage,Australia,France,1,1,Draw,190
1982,1982-06-27,Group Stage,Spain,Tunisia,1,1,Draw,191
1982,1982-06-27,Group Stage,Netherlands,Croatia,2,1,Netherlands,192
1986,1986-06-10,Group Stage,Italy,Costa Rica,1,0,Italy,193
1986,1986-06-10,Group Stage,South Korea,USA,1,2,USA,194
1986,1986-06-10,Group Stage,Spain,England,1,1,Draw,195
1986,1986-06-10,Group Stage,Netherlands,Cameroon,2,1,Netherlands,196
1986,1986-06-10,Group Stage,Germany,Iran,0,1,Iran,197
1986,1986-06-11,Quarter-finals,Senegal,Ghana,0,1,Ghana,198
1986,1986-06-11,Group Stage,Saudi Arabia,Nigeria,1,1,Draw,199
1986,1986-06-11,Quarter-finals,France,Australia,0,1,Australia,200
1986,1986-06-11,Group Stage,Algeria,Denmark,1,1,Draw,201
1986,1986-06-11,Round of 16,Sweden,Netherlands,1,1,Draw,202
1986,1986-06-11,Group Stage,USA,Saudi Arabia,2,0,USA,203
1986,1986-06-11,Round of 16,Japan,Costa Rica,1,1,Draw,204
1986,1986-06-11,Round of 16,Tunisia,Poland,1,0,Tunisia,205
1986,1986-06-12,Group Stage,Iran,Costa Rica,2,1,Iran,206
1986,1986-06-12,Round of 16,Netherlands,Denmark,1,1,Draw,207
1986,1986-06-13,Group Stage,France,Croatia,2,1,France,208
1986,1986-06-13,Semi-finals,USA,Argentina,1,2,Argentina,209
1986,1986-06-13,Group Stage,Spain,Belgium,0,1,Belgium,210
1986,1986-06-14,Group Stage,Spain,Saudi Arabia,3,0,Spain,211
1986,1986-06-14,Group Stage,Brazil,Croatia,2,1,Brazil,212
1986,1986-06-14,Group Stage,Nigeria,Spain,0,1,Spain,213
1986,1986-06-15,Group Stage,Algeria,Sweden,0,1,Sweden,214
1986,1986-06-15,Group Stage,Poland,Egypt,1,1,Draw,215
1986,1986-06-16,Group Stage,Japan,Senegal,2,1,Japan,216
1986,1986-06-16,Quarter-finals,South Korea,Brazil,1,1,Draw,217
1986,1986-06-16,Group Stage,USA,Egypt,2,0,USA,218
1986,1986-06-16,Round of 16,Netherlands,Japan,1,0,Netherlands,219
1986,1986-06-16,Group Stage,Morocco,South Korea,1,2,South Korea,220
1986,1986-06-16,Group Stage,Croatia,Egypt,1,0,Croatia,221
1986,1986-06-16,Group Stage,Algeria,Brazil,0,3,Brazil,222
1986,1986-06-17,Group Stage,Argentina,Senegal,2,2,Draw,223
1986,1986-06-17,Group Stage,Nigeria,Senegal,1,2,Senegal,224
1986,1986-06-17,Group Stage,Netherlands,Italy,2,3,Italy,225
1986,1986-06-17,Group Stage,Switzerland,Uruguay,1,0,Switzerland,226
1986,1986-06-17,Group Stage,Tunisia,Mexico,2,0,Tunisia,227
1986,1986-06-17,Group Stage,Iran,USA,1,3,USA,228
1986,1986-06-18,Group Stage,Portugal,Senegal,1,3,Senegal,229
1986,1986-06-18,Group Stage,Ghana,Argentina,0,2,Argentina,230
1986,1986-06-18,Group Stage,South Korea,Mexico,0,2,Mexico,231
1986,1986-06-18,Group Stage,Poland,Saudi Arabia,0,2,Saudi Arabia,232
1986,1986-06-18,Final,Egypt,Uruguay,0,0,Draw,233
1986,1986-06-18,Group Stage,South Korea,Egypt,2,0,South Korea,234
1986,1986-06-19,Group Stage,England,Sweden,1,2,Sweden,235
1986,1986-06-20,Semi-finals,Croatia,Morocco,1,1,Draw,236
1986,1986-06-20,Group Stage,Sweden,Japan,1,1,Draw,237
1986,1986-06-21,Group Stage,Egypt,Poland,0,0,Draw,238
1986,1986-06-22,Group Stage,Sweden,Morocco,1,2,Morocco,239
1986,1986-06-22,Group Stage,USA,Australia,0,0,Draw,240
1986,1986-06-23,Group Stage,France,Portugal,0,1,Portugal,241
1986,1986-06-23,Third Place,Argentina,Germany,0,1,Germany,242
1986,1986-06-23,Group Stage,Croatia,Poland,3,1,Croatia,243
1986,1986-06-23,Group Stage,Algeria,Sweden,2,1,Algeria,244
1986,1986-06-24,Group Stage,Denmark,Netherlands,0,0,Draw,245
1986,1986-06-24,Round of 16,Brazil,Croatia,2,1,Brazil,246
1986,1986-06-24,Group Stage,Germany,Cameroon,1,0,Germany,247
1986,1986-06-24,Round of 16,Spain,Cameroon,2,2,Draw,248
1986,1986-06-25,Group Stage,Egypt,Netherlands,1,2,Netherlands,249
1986,1986-06-25,Group Stage,South Korea,USA,2,0,South Korea,250
1986,1986-06-25,Group Stage,Belgium,Mexico,0,2,Mexico,251
1986,1986-06-25,Round of 16,Nigeria,Brazil,1,1,Draw,252
1986,1986-06-26,Group Stage,Netherlands,Sweden,0,0,Draw,253
1986,1986-06-26,Group Stage,Netherlands,Sweden,0,1,Sweden,254
1986,1986-06-26,Group Stage,Cameroon,USA,2,2,Draw,255
1986,1986-06-27,Quarter-finals,Morocco,France,2,1,Morocco,256
1990,1990-06-10,Group Stage,Spain,Ghana,1,2,Ghana,257
1990,1990-06-11,Group Stage,Nigeria,USA,1,3,USA,258
1990,1990-06-11,Group Stage,Netherlands,Nigeria,1,0,Netherlands,259
1990,1990-06-11,Group Stage,Switzerland,South Korea,2,2,Draw,260
1990,1990-06-11,Group Stage,Denmark,Poland,1,0,Denmark,261
1990,1990-06-11,Group Stage,France,Switzerland,1,3,Switzerland,262
1990,1990-06-12,Round of 16,South Korea,Uruguay,1,1,Draw,263
1990,1990-06-13,Group Stage,Italy,Switzerland,2,2,Draw,264
1990,1990-06-13,Group Stage,Spain,Cameroon,3,0,Spain,265
1990,1990-06-13,Group Stage,Ghana,Saudi Arabia,1,0,Ghana,266
1990,1990-06-13,Group Stage,Costa Rica,Egypt,3,1,Costa Rica,267
1990,1990-06-13,Group Stage,Italy,Belgium,1,0,Italy,268
1990,1990-06-14,Group Stage,Senegal,Costa Rica,0,3,Costa Rica,269
1990,1990-06-14,Group Stage,Tunisia,France,1,1,Draw,270
1990,1990-06-14,Group Stage,Australia,Nigeria,1,0,Australia,271
1990,1990-06-14,Group Stage,England,Belgium,1,1,Draw,272
1990,1990-06-14,Group Stage,Brazil,Argentina,0,1,Argentina,273
1990,1990-06-15,Round of 16,Ghana,England,2,2,Draw,274
1990,1990-06-16,Group Stage,Italy,Sweden,1,0,Italy,275
1990,1990-06-16,Group Stage,Belgium,Iran,2,1,Belgium,276
1990,1990-06-16,Group Stage,Algeria,France,3,2,Algeria,277
1990,1990-06-16,Group Stage,Belgium,Germany,1,0,Belgium,278
1990,1990-06-16,Group Stage,France,Cameroon,1,2,Cameroon,279
1990,1990-06-16,Group Stage,South Korea,Denmark,1,0,South Korea,280
1990,1990-06-16,Group Stage,Japan,Uruguay,0,0,Draw,281
1990,1990-06-17,Group Stage,Costa Rica,Poland,1,1,Draw,282
1990,1990-06-17,Round of 16,Belgium,South Korea,0,1,South Korea,283
1990,1990-06-17,Round of 16,Tunisia,Australia,0,1,Australia,284
1990,1990-06-17,Round of 16,Egypt,Sweden,2,0,Egypt,285
1990,1990-06-18,Group Stage,England,Netherlands,2,1,England,286
1990,1990-06-18,Group Stage,Morocco,Belgium,3,0,Morocco,287
1990,1990-06-18,Semi-finals,Ghana,France,0,2,France,288
1990,1990-06-18,Group Stage,Switzerland,Cameroon,0,1,Cameroon,289
1990,1990-06-18,Group Stage,England,France,0,1,France,290
1990,1990-06-18,Group Stage,Switzerland,England,1,1,Draw,291
1990,1990-06-19,Group Stage,Japan,Switzerland,0,0,Draw,292
1990,1990-06-19,Group Stage,Mexico,Netherlands,0,1,Netherlands,293
1990,1990-06-19,Group Stage,Netherlands,USA,1,2,USA,294
1990,1990-06-19,Round of 16,Costa Rica,Iran,1,0,Costa Rica,295
1990,1990-06-19,Quarter-finals,Italy,France,1,0,Italy,296
1990,1990-06-20,Group Stage,Uruguay,Netherlands,2,1,Uruguay,297
1990,1990-06-20,Third Place,France,Iran,0,0,Draw,298
1990,1990-06-20,Group Stage,Sweden,USA,0,2,USA,299
1990,1990-06-20,Quarter-finals,Denmark,Argentina,0,1,Argentina,300
1990,1990-06-21,Group Stage,England,Tunisia,0,0,Draw,301
1990,1990-06-21,Group Stage,Argentina,Australia,0,0,Draw,302
1990,1990-06-21,Semi-finals,Netherlands,Tunisia,0,0,Draw,303
1990,1990-06-21,Group Stage,Egypt,Japan,0,0,Draw,304
1990,1990-06-22,Group Stage,Portugal,Cameroon,1,0,Portugal,305
1990,1990-06-23,Group Stage,Switzerland,Iran,1,1,Draw,306
1990,1990-06-24,Quarter-finals,Belgium,Italy,1,0,Belgium,307
1990,1990-06-24,Quarter-finals,Italy,Uruguay,1,0,Italy,308
1990,1990-06-24,Group Stage,South Korea,Croatia,3,1,South Korea,309
1990,1990-06-24,Group Stage,Senegal,Italy,0,3,Italy,310
1990,1990-06-25,Round of 16,Spain,Belgium,1,0,Spain,311
1990,1990-06-25,Group Stage,Brazil,Cameroon,1,0,Brazil,312
1990,1990-06-25,Group Stage,Germany,Cameroon,0,1,Cameroon,313
1990,1990-06-25,Group Stage,Sweden,Argentina,2,1,Sweden,314
1990,1990-06-26,Group Stage,Egypt,Uruguay,1,2,Uruguay,315
1990,1990-06-26,Final,Iran,Spain,2,0,Iran,316
1990,1990-06-27,Group Stage,Portugal,Argentina,1,0,Portugal,317
1990,1990-06-27,Group Stage,Spain,Egypt,1,0,Spain,318
1990,1990-06-27,Group Stage,Netherlands,Sweden,1,0,Netherlands,319
1990,1990-06-27,Round of 16,Ghana,Sweden,1,1,Draw,320
1994,1994-06-10,Round of 16,Saudi Arabia,Poland,1,1,Draw,321
1994,1994-06-10,Group Stage,Algeria,Morocco,1,1,Draw,322
1994,1994-06-10,Group Stage,Ghana,Denmark,3,1,Ghana,323
1994,1994-06-11,Group Stage,Algeria,France,1,3,France,324
1994,1994-06-11,Quarter-finals,Netherlands,South Korea,1,0,Netherlands,325
1994,1994-06-11,Group Stage,Netherlands,Iran,2,2,Draw,326
1994,1994-06-12,Group Stage,Netherlands,Brazil,2,0,Netherlands,327
1994,1994-06-12,Group Stage,Switzerland,Costa Rica,2,1,Switzerland,328
1994,1994-06-12,Group Stage,Poland,Saudi Arabia,0,2,Saudi Arabia,329
1994,1994-06-12,Group Stage,USA,Brazil,2,0,USA,330
1994,1994-06-13,Group Stage,Switzerland,Costa Rica,1,2,Costa Rica,331
1994,1994-06-13,Group Stage,Iran,Costa Rica,0,2,Costa Rica,332
1994,1994-06-13,Group Stage,Iran,France,3,2,Iran,333
1994,1994-06-13,Group Stage,Netherlands,Senegal,3,0,Netherlands,334
1994,1994-06-13,Round of 16,Saudi Arabia,France,1,0,Saudi Arabia,335
1994,1994-06-14,Semi-finals,Switzerland,Cameroon,2,1,Switzerland,336
1994,1994-06-14,Group Stage,Nigeria,Poland,1,0,Nigeria,337
1994,1994-06-14,Round of 16,Cameroon,Iran,1,0,Cameroon,338
1994,1994-06-14,Group Stage,Croatia,Portugal,0,1,Portugal,339
1994,1994-06-15,Group Stage,Denmark,Nigeria,2,0,Denmark,340
1994,1994-06-15,Group Stage,Mexico,Spain,0,1,Spain,341
1994,1994-06-16,Group Stage,Ghana,France,1,0,Ghana,342
1994,1994-06-16,Third Place,Iran,Argentina,1,1,Draw,343
1994,1994-06-17,Group Stage,Senegal,England,1,0,Senegal,344
1994,1994-06-17,Group Stage,Switzerland,Saudi Arabia,1,1,Draw,345
1994,1994-06-17,Group Stage,Saudi Arabia,Morocco,1,2,Morocco,346
1994,1994-06-18,Group Stage,Mexico,Brazil,0,2,Brazil,347
1994,1994-06-18,Round of 16,Algeria,Morocco,1,1,Draw,348
1994,1994-06-18,Group Stage,Japan,Egypt,0,2,Egypt,349
1994,1994-06-19,Group Stage,Australia,Mexico,2,1,Australia,350
1994,1994-06-19,Quarter-finals,France,Poland,0,0,Draw,351
1994,1994-06-19,Round of 16,Portugal,Brazil,1,2,Brazil,352
1994,1994-06-19,Group Stage,Costa Rica,Croatia,1,0,Costa Rica,353
1994,1994-06-19,Round of 16,Saudi Arabia,Tunisia,1,2,Tunisia,354
1994,1994-06-20,Group Stage,Tunisia,France,1,1,Draw,355
1994,1994-06-20,Group Stage,Germany,Tunisia,1,0,Germany,356
1994,1994-06-21,Semi-finals,Belgium,Senegal,0,1,Senegal,357
1994,1994-06-21,Final,Japan,Sweden,1,0,Japan,358
1994,1994-06-21,Group Stage,Spain,Germany,1,1,Draw,359
1994,1994-06-21,Group Stage,Cameroon,Nigeria,3,2,Cameroon,360
1994,1994-06-21,Group Stage,Tunisia,Costa Rica,0,1,Costa Rica,361
1994,1994-06-21,Group Stage,South Korea,Spain,1,1,Draw,362
1994,1994-06-21,Group Stage,Japan,Costa Rica,1,1,Draw,363
1994,1994-06-22,Group Stage,Costa Rica,Switzerland,2,1,Costa Rica,364
1994,1994-06-22,Group Stage,Poland,Italy,2,0,Poland,365
1994,1994-06-22,Group Stage,Nigeria,France,0,3,France,366
1994,1994-06-23,Group Stage,Algeria,Japan,3,1,Algeria,367
1994,1994-06-23,Group Stage,Sweden,Australia,1,0,Sweden,368
1994,1994-06-23,Group Stage,Senegal,Australia,1,1,Draw,369
1994,1994-06-23,Group Stage,Portugal,Costa Rica,1,2,Costa Rica,370
1994,1994-06-23,Quarter-finals,Germany,Portugal,2,0,Germany,371
1994,1994-06-23,Group Stage,Denmark,Poland,1,1,Draw,372
1994,1994-06-23,Group Stage,Saudi Arabia,USA,2,1,Saudi Arabia,373
1994,1994-06-24,Group Stage,Netherlands,Mexico,1,0,Netherlands,374
1994,1994-06-24,Group Stage,Belgium,Australia,0,2,Australia,375
1994,1994-06-25,Group Stage,Japan,Switzerland,2,0,Japan,376
1994,1994-06-25,Group Stage,Spain,Sweden,1,1,Draw,377
1994,1994-06-25,Group Stage,Spain,Australia,3,1,Spain,378
1994,1994-06-25,Group Stage,Saudi Arabia,Morocco,0,0,Draw,379
1994,1994-06-25,Quarter-finals,Portugal,Germany,0,1,Germany,380
