Category,AWB Number,Dispatch Date,Delivered Date,Courier Partner,Tracking Link,Type of Return,Suborder Number Masked
"Cups, Mugs & Saucers",VL0080577373903,2025-03-05,2025-03-28,PocketShip,https://www.valmo.in/track/VL0080577373903,Courier Return (RTO),12795829630825****
Graters & Slicers,VL0080583715807,2025-03-06,2025-03-28,PocketShip,https://www.valmo.in/track/VL0080583715807,Courier Return (RTO),12840018860700****
"Cups, Mugs & Saucers",M00932392961,2025-03-18,2025-03-27,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00932392961&searchBy=referenceNumber,Courier Return (RTO),13276755141617****
"Cups, Mugs & Saucers",VL0080599371248,2025-03-08,2025-03-27,PocketShip,https://www.valmo.in/track/VL0080599371248,Courier Return (RTO),12926433062558****
"Cups, Mugs & Saucers",VL0080633113662,2025-03-13,2025-03-27,PocketShip,https://www.valmo.in/track/VL0080633113662,Courier Return (RTO),13099517112631****
"Cups, Mugs & Saucers",M00925502051,2025-03-12,2025-03-27,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00925502051&searchBy=referenceNumber,Courier Return (RTO),13058716605654****
"Cups, Mugs & Saucers",VL0080577373889,2025-03-05,2025-03-27,PocketShip,https://www.valmo.in/track/VL0080577373889,Courier Return (RTO),12800981036099****
"Cups, Mugs & Saucers",VL0080577373935,2025-03-05,2025-03-27,PocketShip,https://www.valmo.in/track/VL0080577373935,Courier Return (RTO),12803316318342****
"Cups, Mugs & Saucers",VL0080532648722,2025-02-25,2025-03-27,PocketShip,https://www.valmo.in/track/VL0080532648722,Courier Return (RTO),12511745572627****
"Cups, Mugs & Saucers",VL0080625903035,2025-03-12,2025-03-25,PocketShip,https://www.valmo.in/track/VL0080625903035,Courier Return (RTO),13028508251043****
"Cups, Mugs & Saucers",VL0080583715827,2025-03-06,2025-03-25,PocketShip,https://www.valmo.in/track/VL0080583715827,Courier Return (RTO),12850158809232****
"Cups, Mugs & Saucers",M00915303128,2025-03-05,2025-03-25,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00915303128&searchBy=referenceNumber,Courier Return (RTO),12805408538665****
"Cups, Mugs & Saucers",VL0080625903058,2025-03-12,2025-03-24,PocketShip,https://www.valmo.in/track/VL0080625903058,Courier Return (RTO),13028582532936****
"Cups, Mugs & Saucers",VL0080571787277,2025-03-05,2025-03-24,PocketShip,https://www.valmo.in/track/VL0080571787277,Courier Return (RTO),12779999485397****
"Cups, Mugs & Saucers",VL0080583715803,2025-03-06,2025-03-24,PocketShip,https://www.valmo.in/track/VL0080583715803,Courier Return (RTO),12843794341222****
"Cups, Mugs & Saucers",M00925502046,2025-03-12,2025-03-23,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00925502046&searchBy=referenceNumber,Courier Return (RTO),13031707693328****
"Cups, Mugs & Saucers",VL0080619033470,2025-03-11,2025-03-23,PocketShip,https://www.valmo.in/track/VL0080619033470,Courier Return (RTO),13014803855617****
"Cups, Mugs & Saucers",VL0080619033413,2025-03-11,2025-03-23,PocketShip,https://www.valmo.in/track/VL0080619033413,Courier Return (RTO),12977761369463****
"Cups, Mugs & Saucers",VL0080577373927,2025-03-05,2025-03-23,PocketShip,https://www.valmo.in/track/VL0080577373927,Courier Return (RTO),12808417055585****
"Cups, Mugs & Saucers",VL0080571787292,2025-03-05,2025-03-22,PocketShip,https://www.valmo.in/track/VL0080571787292,Courier Return (RTO),12767766923526****
"Cups, Mugs & Saucers",VL0080571787294,2025-03-05,2025-03-22,PocketShip,https://www.valmo.in/track/VL0080571787294,Courier Return (RTO),12770574934219****
"Cups, Mugs & Saucers (Deleted)",VL0080569040659,2025-03-03,2025-03-22,PocketShip,https://www.valmo.in/track/VL0080569040659,Courier Return (RTO),12725759393274****
Jars & Containers,M00912969957,2025-03-05,2025-03-22,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00912969957&searchBy=referenceNumber,Courier Return (RTO),12780522598151****
"Cups, Mugs & Saucers",M00900668288,2025-02-26,2025-03-22,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00900668288&searchBy=referenceNumber,Courier Return (RTO),12602370643804****
"Cups, Mugs & Saucers",VL0080492025653,2025-02-18,2025-03-22,PocketShip,https://www.valmo.in/track/VL0080492025653,Courier Return (RTO),12270896153912****
"Cups, Mugs & Saucers",M00903565219,2025-02-28,2025-03-22,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00903565219&searchBy=referenceNumber,Courier Return (RTO),12646167138855****
Jars & Containers,M00894833268,2025-02-24,2025-03-22,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00894833268&searchBy=referenceNumber,Courier Return (RTO),12476437109957****
"Cups, Mugs & Saucers",VL0080577373910,2025-03-05,2025-03-21,PocketShip,https://www.valmo.in/track/VL0080577373910,Courier Return (RTO),12766810908793****
"Cups, Mugs & Saucers",VL0080583715812,2025-03-06,2025-03-21,PocketShip,https://www.valmo.in/track/VL0080583715812,Courier Return (RTO),12822538125282****
"Cups, Mugs & Saucers (Deleted)",VL0080577373934,2025-03-05,2025-03-21,PocketShip,https://www.valmo.in/track/VL0080577373934,Courier Return (RTO),12768128562460****
"Cups, Mugs & Saucers",M00894833270,2025-02-24,2025-03-21,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00894833270&searchBy=referenceNumber,Courier Return (RTO),12492078321061****
"Cups, Mugs & Saucers",M00911749779,2025-03-03,2025-03-20,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00911749779&searchBy=referenceNumber,Courier Return (RTO),12687399425609****
"Cups, Mugs & Saucers",VL0080571787283,2025-03-05,2025-03-20,PocketShip,https://www.valmo.in/track/VL0080571787283,Courier Return (RTO),12770205533395****
"Cups, Mugs & Saucers",VL0080577373919,2025-03-05,2025-03-19,PocketShip,https://www.valmo.in/track/VL0080577373919,Courier Return (RTO),12768654055731****
"Cups, Mugs & Saucers",VL0080569040564,2025-03-03,2025-03-19,PocketShip,https://www.valmo.in/track/VL0080569040564,Courier Return (RTO),12726881810390****
Jars & Containers,VL0080577373941,2025-03-05,2025-03-19,PocketShip,https://www.valmo.in/track/VL0080577373941,Courier Return (RTO),12760344537611****
"Cups, Mugs & Saucers",VL0080571787296,2025-03-04,2025-03-19,PocketShip,https://www.valmo.in/track/VL0080571787296,Courier Return (RTO),12763920222221****
"Cups, Mugs & Saucers",VL0080577373905,2025-03-05,2025-03-19,PocketShip,https://www.valmo.in/track/VL0080577373905,Courier Return (RTO),12772207088570****
"Cups, Mugs & Saucers",VL0080577373908,2025-03-05,2025-03-18,PocketShip,https://www.valmo.in/track/VL0080577373908,Courier Return (RTO),12789291491951****
Water Glasses,M00911749856,2025-03-03,2025-03-18,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00911749856&searchBy=referenceNumber,Courier Return (RTO),12745124144680****
"Cups, Mugs & Saucers",VL0080569040655,2025-03-03,2025-03-18,PocketShip,https://www.valmo.in/track/VL0080569040655,Courier Return (RTO),12726546953936****
"Cups, Mugs & Saucers",M00911749792,2025-03-03,2025-03-18,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00911749792&searchBy=referenceNumber,Courier Return (RTO),12723955805536****
Graters & Slicers,M00917017935,2025-03-06,2025-03-16,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00917017935&searchBy=referenceNumber,Courier Return (RTO),12842123965609****
"Cups, Mugs & Saucers",M00912969950,2025-03-04,2025-03-16,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00912969950&searchBy=referenceNumber,Courier Return (RTO),12770179273360****
"Cups, Mugs & Saucers",VL0080551038766,2025-02-28,2025-03-16,PocketShip,https://www.valmo.in/track/VL0080551038766,Courier Return (RTO),12617574791624****
"Cups, Mugs & Saucers",VL0080583715810,2025-03-06,2025-03-16,PocketShip,https://www.valmo.in/track/VL0080583715810,Courier Return (RTO),12841398733563****
Jars & Containers,VL0080551038852,2025-02-28,2025-03-16,PocketShip,https://www.valmo.in/track/VL0080551038852,Courier Return (RTO),12617328986438****
"Cups, Mugs & Saucers",M00903565208,2025-02-28,2025-03-16,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00903565208&searchBy=referenceNumber,Courier Return (RTO),12648978692840****
"Cups, Mugs & Saucers",VL0080532648730,2025-02-25,2025-03-16,PocketShip,https://www.valmo.in/track/VL0080532648730,Courier Return (RTO),12521935156454****
"Cups, Mugs & Saucers",VL0080518465331,2025-02-22,2025-03-16,PocketShip,https://www.valmo.in/track/VL0080518465331,Courier Return (RTO),12414610672372****
"Cups, Mugs & Saucers",M00915303126,2025-03-05,2025-03-15,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00915303126&searchBy=referenceNumber,Courier Return (RTO),12775524583716****
"Cups, Mugs & Saucers",VL0080569040572,2025-03-03,2025-03-15,PocketShip,https://www.valmo.in/track/VL0080569040572,Courier Return (RTO),12725264620985****
"Cups, Mugs & Saucers",M00911749780,2025-03-03,2025-03-15,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00911749780&searchBy=referenceNumber,Courier Return (RTO),12699360977388****
"Cups, Mugs & Saucers",M00903565235,2025-02-28,2025-03-15,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00903565235&searchBy=referenceNumber,Courier Return (RTO),12665200489754****
"Cups, Mugs & Saucers",VL0080551038770,2025-02-28,2025-03-15,PocketShip,https://www.valmo.in/track/VL0080551038770,Courier Return (RTO),12671799474654****
"Cups, Mugs & Saucers",VL0080551038856,2025-02-28,2025-03-15,PocketShip,https://www.valmo.in/track/VL0080551038856,Courier Return (RTO),12667360067443****
"Cups, Mugs & Saucers",M00900668243,2025-02-26,2025-03-15,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00900668243&searchBy=referenceNumber,Courier Return (RTO),12579244625684****
"Cups, Mugs & Saucers",M00879807915,2025-02-15,2025-03-15,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00879807915&searchBy=referenceNumber,Courier Return (RTO),12165348213476****
Jars & Containers,VL0080569040673,2025-03-03,2025-03-13,PocketShip,https://www.valmo.in/track/VL0080569040673,Courier Return (RTO),12725872057287****
"Cups, Mugs & Saucers (Deleted)",M00889251657,2025-02-20,2025-03-13,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00889251657&searchBy=referenceNumber,Courier Return (RTO),12329179904434****
"Cups, Mugs & Saucers",M00903565214,2025-02-28,2025-03-12,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00903565214&searchBy=referenceNumber,Courier Return (RTO),12604134860030****
"Cups, Mugs & Saucers",VL0080532648737,2025-02-25,2025-03-12,PocketShip,https://www.valmo.in/track/VL0080532648737,Courier Return (RTO),12528441960198****
"Cups, Mugs & Saucers",M00894833228,2025-02-24,2025-03-12,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00894833228&searchBy=referenceNumber,Courier Return (RTO),12451101383094****
"Cups, Mugs & Saucers",M00894833226,2025-02-24,2025-03-12,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00894833226&searchBy=referenceNumber,Courier Return (RTO),12463717882242****
"Cups, Mugs & Saucers",VL0080532648744,2025-02-25,2025-03-12,PocketShip,https://www.valmo.in/track/VL0080532648744,Courier Return (RTO),12546048848113****
"Cups, Mugs & Saucers",VL0080532648710,2025-02-25,2025-03-12,PocketShip,https://www.valmo.in/track/VL0080532648710,Courier Return (RTO),12512261579060****
"Cups, Mugs & Saucers",VL0080532648733,2025-02-25,2025-03-12,PocketShip,https://www.valmo.in/track/VL0080532648733,Courier Return (RTO),12522314783342****
"Cups, Mugs & Saucers",VL0080551038774,2025-02-28,2025-03-11,PocketShip,https://www.valmo.in/track/VL0080551038774,Courier Return (RTO),12625185883036****
"Cups, Mugs & Saucers",VL0080532648715,2025-02-25,2025-03-11,PocketShip,https://www.valmo.in/track/VL0080532648715,Courier Return (RTO),12521250026133****
"Cups, Mugs & Saucers",VL0080551038763,2025-02-28,2025-03-10,PocketShip,https://www.valmo.in/track/VL0080551038763,Courier Return (RTO),12651895211836****
"Cups, Mugs & Saucers",VL0080487713655,2025-02-17,2025-03-10,PocketShip,https://www.valmo.in/track/VL0080487713655,Courier Return (RTO),12185470941697****
"Cups, Mugs & Saucers",VL0080532648717,2025-02-25,2025-03-10,PocketShip,https://www.valmo.in/track/VL0080532648717,Courier Return (RTO),12509221599867****
"Cups, Mugs & Saucers",M00890058879,2025-02-21,2025-03-10,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00890058879&searchBy=referenceNumber,Courier Return (RTO),12360209502164****
"Cups, Mugs & Saucers",VL0080464798525,2025-02-13,2025-03-10,PocketShip,https://www.valmo.in/track/VL0080464798525,Courier Return (RTO),12056764572840****
"Cups, Mugs & Saucers",VL0080479230784,2025-02-15,2025-03-10,PocketShip,https://www.valmo.in/track/VL0080479230784,Courier Return (RTO),12158507198375****
"Cups, Mugs & Saucers",VL0080432417167,2025-02-07,2025-03-10,PocketShip,https://www.valmo.in/track/VL0080432417167,Courier Return (RTO),11876098159332****
"Cups, Mugs & Saucers",VL0080532648721,2025-02-25,2025-03-08,PocketShip,https://www.valmo.in/track/VL0080532648721,Courier Return (RTO),12563751911846****
"Cups, Mugs & Saucers",VL0080415367314,2025-02-04,2025-03-08,PocketShip,https://www.valmo.in/track/VL0080415367314,Courier Return (RTO),11711557893806****
"Cups, Mugs & Saucers",M00894833229,2025-02-24,2025-03-07,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00894833229&searchBy=referenceNumber,Courier Return (RTO),12445558284877****
"Cups, Mugs & Saucers",VL0080487713653,2025-02-17,2025-03-07,PocketShip,https://www.valmo.in/track/VL0080487713653,Courier Return (RTO),12197459306928****
"Cups, Mugs & Saucers",M00884006247,2025-02-18,2025-03-06,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00884006247&searchBy=referenceNumber,Courier Return (RTO),12224711510679****
"Cups, Mugs & Saucers",M00875246179,2025-02-13,2025-03-06,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00875246179&searchBy=referenceNumber,Courier Return (RTO),12095048652963****
"Cups, Mugs & Saucers",VL0080462665440,2025-02-12,2025-03-06,PocketShip,https://www.valmo.in/track/VL0080462665440,Courier Return (RTO),12006845622691****
"Cups, Mugs & Saucers",VL0080518465351,2025-02-22,2025-03-05,PocketShip,https://www.valmo.in/track/VL0080518465351,Courier Return (RTO),12404869663466****
"Cups, Mugs & Saucers",M00884006244,2025-02-18,2025-03-05,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00884006244&searchBy=referenceNumber,Courier Return (RTO),12240528710490****
"Cups, Mugs & Saucers",VL0080464798519,2025-02-13,2025-03-05,PocketShip,https://www.valmo.in/track/VL0080464798519,Courier Return (RTO),12036997044220****
"Cups, Mugs & Saucers",M00889251674,2025-02-20,2025-03-04,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00889251674&searchBy=referenceNumber,Courier Return (RTO),12333305491491****
"Cups, Mugs & Saucers",M00875246118,2025-02-13,2025-03-04,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00875246118&searchBy=referenceNumber,Courier Return (RTO),12014061297561****
"Cups, Mugs & Saucers",VL0080507009206,2025-02-20,2025-03-04,PocketShip,https://www.valmo.in/track/VL0080507009206,Courier Return (RTO),12337966465900****
"Cups, Mugs & Saucers",M00889251686,2025-02-20,2025-03-04,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00889251686&searchBy=referenceNumber,Courier Return (RTO),12344973544839****
"Cups, Mugs & Saucers",VL0080492025598,2025-02-18,2025-03-04,PocketShip,https://www.valmo.in/track/VL0080492025598,Courier Return (RTO),12219940899369****
"Cups, Mugs & Saucers",M00869254798,2025-02-10,2025-03-04,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00869254798&searchBy=referenceNumber,Courier Return (RTO),11942011014142****
"Cups, Mugs & Saucers",M00890058891,2025-02-21,2025-03-03,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00890058891&searchBy=referenceNumber,Courier Return (RTO),12381192333460****
"Cups, Mugs & Saucers",M00889251677,2025-02-20,2025-03-03,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00889251677&searchBy=referenceNumber,Courier Return (RTO),12325335472514****
"Cups, Mugs & Saucers",M00884006248,2025-02-18,2025-03-03,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00884006248&searchBy=referenceNumber,Courier Return (RTO),12222418894903****
"Cups, Mugs & Saucers",VL0080487713654,2025-02-17,2025-03-03,PocketShip,https://www.valmo.in/track/VL0080487713654,Courier Return (RTO),12190773549970****
"Cups, Mugs & Saucers",M00879807919,2025-02-15,2025-03-03,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00879807919&searchBy=referenceNumber,Courier Return (RTO),12164721176441****
"Cups, Mugs & Saucers",VL0080487713661,2025-02-17,2025-03-03,PocketShip,https://www.valmo.in/track/VL0080487713661,Courier Return (RTO),12185854465625****
"Cups, Mugs & Saucers",VL0080447770762,2025-02-10,2025-03-03,PocketShip,https://www.valmo.in/track/VL0080447770762,Courier Return (RTO),11938683463063****
"Cups, Mugs & Saucers",VL0080349377807,2025-01-23,2025-03-03,PocketShip,https://www.valmo.in/track/VL0080349377807,Courier Return (RTO),11322503217263****
"Cups, Mugs & Saucers",M00881921438,2025-02-17,2025-03-01,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00881921438&searchBy=referenceNumber,Courier Return (RTO),12185738121798****
"Cups, Mugs & Saucers",M00879807899,2025-02-15,2025-03-01,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00879807899&searchBy=referenceNumber,Courier Return (RTO),12151837536619****
"Cups, Mugs & Saucers",M00878137476,2025-02-14,2025-03-01,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00878137476&searchBy=referenceNumber,Courier Return (RTO),12126088814040****
Graters & Slicers,M00864134110,2025-02-06,2025-03-01,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00864134110&searchBy=referenceNumber,Courier Return (RTO),11838036916227****
"Cups, Mugs & Saucers",VL0080464798529,2025-02-13,2025-02-28,PocketShip,https://www.valmo.in/track/VL0080464798529,Courier Return (RTO),12073346434577****
Water Glasses,VL0080454202562,2025-02-11,2025-02-28,PocketShip,https://www.valmo.in/track/VL0080454202562,Courier Return (RTO),12053755837038****
"Cups, Mugs & Saucers",M00878137375,2025-02-14,2025-02-28,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00878137375&searchBy=referenceNumber,Courier Return (RTO),12123250989900****
"Cups, Mugs & Saucers",M00875246120,2025-02-13,2025-02-28,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00875246120&searchBy=referenceNumber,Courier Return (RTO),12073747304234****
"Cups, Mugs & Saucers",M00879807907,2025-02-15,2025-02-28,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00879807907&searchBy=referenceNumber,Courier Return (RTO),12151959824488****
"Cups, Mugs & Saucers",M00879807872,2025-02-15,2025-02-28,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00879807872&searchBy=referenceNumber,Courier Return (RTO),12162651093846****
"Cups, Mugs & Saucers",M00869254803,2025-02-10,2025-02-28,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00869254803&searchBy=referenceNumber,Courier Return (RTO),11939313150197****
"Cups, Mugs & Saucers",VL0080454202577,2025-02-11,2025-02-28,PocketShip,https://www.valmo.in/track/VL0080454202577,Courier Return (RTO),11978654556120****
"Cups, Mugs & Saucers",M00874724631,2025-02-12,2025-02-28,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00874724631&searchBy=referenceNumber,Courier Return (RTO),12007154054413****
"Cups, Mugs & Saucers",M00875246141,2025-02-13,2025-02-28,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00875246141&searchBy=referenceNumber,Courier Return (RTO),12060341024551****
"Cups, Mugs & Saucers",VL0080420931126,2025-02-05,2025-02-28,PocketShip,https://www.valmo.in/track/VL0080420931126,Courier Return (RTO),11767842209178****
"Cups, Mugs & Saucers",M00875246124,2025-02-13,2025-02-27,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00875246124&searchBy=referenceNumber,Courier Return (RTO),12076247632556****
"Cups, Mugs & Saucers",M00875246165,2025-02-13,2025-02-27,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00875246165&searchBy=referenceNumber,Courier Return (RTO),12001981244145****
"Cups, Mugs & Saucers",VL0080454202558,2025-02-11,2025-02-27,PocketShip,https://www.valmo.in/track/VL0080454202558,Courier Return (RTO),11979860135342****
"Cups, Mugs & Saucers",M00869254807,2025-02-10,2025-02-27,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00869254807&searchBy=referenceNumber,Courier Return (RTO),11934539715994****
"Cups, Mugs & Saucers",VL0080454202575,2025-02-11,2025-02-27,PocketShip,https://www.valmo.in/track/VL0080454202575,Courier Return (RTO),11963337329880****
"Cups, Mugs & Saucers",VL0080454202637,2025-02-11,2025-02-26,PocketShip,https://www.valmo.in/track/VL0080454202637,Courier Return (RTO),11983821859313****
"Cups, Mugs & Saucers",VL0080420931121,2025-02-05,2025-02-26,PocketShip,https://www.valmo.in/track/VL0080420931121,Courier Return (RTO),11800317805805****
"Cups, Mugs & Saucers",VL0080464798534,2025-02-13,2025-02-25,PocketShip,https://www.valmo.in/track/VL0080464798534,Courier Return (RTO),12079733159037****
"Cups, Mugs & Saucers",M00875246137,2025-02-13,2025-02-25,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00875246137&searchBy=referenceNumber,Courier Return (RTO),12047035240195****
"Cups, Mugs & Saucers",VL0080447770759,2025-02-10,2025-02-25,PocketShip,https://www.valmo.in/track/VL0080447770759,Courier Return (RTO),11934610909205****
"Cups, Mugs & Saucers",VL0080464798527,2025-02-13,2025-02-24,PocketShip,https://www.valmo.in/track/VL0080464798527,Courier Return (RTO),12015141672690****
"Cups, Mugs & Saucers",VL0080464798532,2025-02-13,2025-02-24,PocketShip,https://www.valmo.in/track/VL0080464798532,Courier Return (RTO),12092203351277****
"Cups, Mugs & Saucers",M00878137380,2025-02-14,2025-02-24,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00878137380&searchBy=referenceNumber,Courier Return (RTO),12127247501845****
"Cups, Mugs & Saucers",VL0080420931137,2025-02-05,2025-02-24,PocketShip,https://www.valmo.in/track/VL0080420931137,Courier Return (RTO),11745774478887****
"Cups, Mugs & Saucers",VL0080420931112,2025-02-05,2025-02-24,PocketShip,https://www.valmo.in/track/VL0080420931112,Courier Return (RTO),11766150980674****
"Cups, Mugs & Saucers",VL0080420931139,2025-02-05,2025-02-24,PocketShip,https://www.valmo.in/track/VL0080420931139,Courier Return (RTO),11758705508066****
"Cups, Mugs & Saucers (Deleted)",M00859363298,2025-02-04,2025-02-24,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00859363298&searchBy=referenceNumber,Courier Return (RTO),11710040909242****
"Cups, Mugs & Saucers",M00866369611,2025-02-08,2025-02-24,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00866369611&searchBy=referenceNumber,Courier Return (RTO),11881938975175****
"Cups, Mugs & Saucers",M00848071575,2025-01-29,2025-02-24,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00848071575&searchBy=referenceNumber,Courier Return (RTO),11545264218403****
"Cups, Mugs & Saucers",VL0080415367356,2025-02-04,2025-02-24,PocketShip,https://www.valmo.in/track/VL0080415367356,Courier Return (RTO),11790474791544****
"Cups, Mugs & Saucers",VL0080415367326,2025-02-04,2025-02-24,PocketShip,https://www.valmo.in/track/VL0080415367326,Courier Return (RTO),11728820903906****
"Cups, Mugs & Saucers",M00874724630,2025-02-12,2025-02-22,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00874724630&searchBy=referenceNumber,Courier Return (RTO),12053600489661****
